"seen","see","Spatřili","spatřit","pf"," The two schooners, under all sail and joined by a third, could be seen making back."," Spatřili oba škunery, vracející se s plnými plachtami a doprovázené třetím."
"drop","drop","spustil","spustit","pf"," Huru-Huru, watching on the beach, saw a third schooner that he knew heave to outside the entrance and drop a boat."," Huru - Huru mezitím z pláže pozoroval, jak při vjezdu do laguny zakotvil a spustil člun třetí škuner, který Huru - Huru také poznával."
"remember","remember","pamatuju","pamatovat","impf"," “ Oh, I ’ m after your time, but I remember you in my freshman year, - you were doing P. G. work then."," "" Já přišel až po tobě, ale pamatuju si tě z prvního ročníku - tys tehdy studoval postgraduálně."
"doing","do","studoval","studovat","impf"," “ Oh, I ’ m after your time, but I remember you in my freshman year, - you were doing P. G. work then."," "" Já přišel až po tobě, ale pamatuju si tě z prvního ročníku - tys tehdy studoval postgraduálně."
"called","call","zvolal","zvolat","pf"," Boys, ” he called, turning half about, “ this is Sutherland, Jack Sutherland, erstwhile full-back on the ‘ Varsity."," Chlapci, "" zvolal, obraceje se, "" tohle je Sutherland, Jack Sutherland, někdejší univerzitní obránce."
"turning","turn","obraceje","obracet","impf"," Boys, ” he called, turning half about, “ this is Sutherland, Jack Sutherland, erstwhile full-back on the ‘ Varsity."," Chlapci, "" zvolal, obraceje se, "" tohle je Sutherland, Jack Sutherland, někdejší univerzitní obránce."
"demonstrated","demonstrate","prokázali","prokázat","pf"," Disregarding the possibilities of the ice-run, they had fittingly demonstrated their inefficiency by their choice of the island on which they located."," Svou neschopnost dostatečně prokázali již výběrem ostrova, na kterém se usadili, aniž by brali ohled na nebezpečí hrozící od plujících ker."
"located","locate","usadili","usadit","pf"," Disregarding the possibilities of the ice-run, they had fittingly demonstrated their inefficiency by their choice of the island on which they located."," Svou neschopnost dostatečně prokázali již výběrem ostrova, na kterém se usadili, aniž by brali ohled na nebezpečí hrozící od plujících ker."
"came","come","Přišlo","přijít","pf"," Summer came on."," Přišlo léto."
"disappeared","disappear","zmizel","zmizet","pf"," The snow disappeared, save on the far peaks of the Rockies to the east."," Sníh zmizel, s výjimkou vzdálených vrcholků Skalistých hor na východě."
"lengthened","lengthen","prodlužovaly","prodlužovat","impf"," The days lengthened till there was no darkness, the sun dipping at midnight, due north, for a few minutes beneath the horizon."," Dny se prodlužovaly, až přestala být tma, a slunce se přímo na severu nořilo za obzor jen na několik málo minut."
"want","want","potřebovali","potřebovat","impf"," “ If you want any assistance - ”"," "" Kdybyste potřebovali s něčím pomoct - """
"Get","get","Přineste","přinést","pf"," Get a bucket of water!"," Přineste kbelík vody!"
"Set","set","Postavte","postavit","pf"," Set it down outside! ”"," Postavte ho za dveře! """
"said","say","řekla","říci","pf"," “ Listen, Grant, ” she said steadily."," "" Poslouchej, Grante, "" řekla rozhodně."
"tell","tell","Povím","povědět","pf"," “ I shall tell his brother."," "" Povím to jeho bratrovi."
"forget","forget","zapomenout","zapomenout","pf"," If you can forget old sake, so can I."," Když ty můžeš zapomenout na starou známost, tak já taky."
"do","do","neuděláš","udělat","pf"," If you don ’ t do something, he ’ ll kill you."," Jestli něco neuděláš, zabije tě."
"kill","kill","zabije","zabít","pf"," If you don ’ t do something, he ’ ll kill you."," Jestli něco neuděláš, zabije tě."
"do","do","nepůjde","jít","impf"," “ I know all about your house, but it won ’ t do."," "" O domě už jsem slyšel dost, ale takhle to nepůjde."
"give","give","Dám","dát","pf"," I ’ ll give you a thousand Chili dollars. ”"," Dám ti tisíc chilských dolarů. """
"want","want","Chci","chtít","impf"," “ I want the house, ” Mapuhi began."," "" Chci dům, "" nadechl se Mapuhi."
"says","say","říkal","říkat","impf"," Captain Raffy says it looks like a hurricane right now. ”"," Kapitán Raffy říkal, že se k jednomu zrovna schyluje. """
"exclaimed","exclaim","vykřikl","vykřiknout","pf"," “ Why, blime me, if it ain ’ t Montana Kid! ” exclaimed on of the men whom the Kid was just placing upon his feet, at the top of the bank."," "" No to mě podrž, jestli tohle není Montana Kid! "" vykřikl jeden z mužů, jemuž zrovna Kid na břehu pomáhal na nohy."
"wore","wear","měl","mít","impf"," He wore the scarlet tunic of the Mounted Police and jocularly raised his right hand in salute"," Na sobě měl šarlatovou uniformu jízdní policie a bodře zasalutoval pravou rukou."
"build","build","postavit","postavit","pf"," And you must build the house on my island, which is Fakarava. ”"," A ten dům musíte postavit na mém ostrově, na Fakaravě. """
"ceased","cease","přestala","přestat","pf"," The mangled right arm ceased from its healing, burst open again in a frightful wound."," Potrhaná pravá paže se přestala hojit a rána se znovu hrozivě rozšklebila."
"said","say","řekl","říci","pf"," “ Necrosis, ” said Linday."," "" Nekróza, "" řekl Linday."
"Take","take","Vezměte","vzít","pf"," Take Daw with you."," Vezměte s sebou Dawa."
"Get","get","Sežeňte","sehnat","pf"," Get rabbits - alive - healthy ones."," Sežeňte zajíce - živé - zdravé kusy."
"asked","ask","zeptal","zeptat","pf"," “ How many? ” the brother asked."," "" Kolik? "" zeptal se muž."
"Clear","clear","Zmizte","zmizet","pf"," Clear out. ”"," Zmizte. """
"went","go","pokračoval","pokračovat","impf"," “ This is a serious case, ” Linday went on."," "" Tohle je vážný případ, "" pokračoval Linday."
"want","want","Chci","chtít","impf"," “ I want to talk to his wife. ”"," "" Chci si promluvit s jeho ženou. """
"talk","talk","promluvit","promluvit","pf"," “ I want to talk to his wife. ”"," "" Chci si promluvit s jeho ženou. """
"said","say","řekl","říci","pf"," “ I ’ m his brother, ” said the other."," "" Jsem jeho bratr, "" řekl muž."
"looked","look","pohlédla","pohlédnout","pf"," To him the woman looked, praying with her eyes."," Žena na něj prosebně pohlédla."
"nodded","nod","přikývl","přikývnout","pf"," He nodded reluctantly and turned toward the door."," Muž neochotně přikývl a obrátil se čelem ke dveřím."
"turned","turn","obrátil","obrátit","pf"," He nodded reluctantly and turned toward the door."," Muž neochotně přikývl a obrátil se čelem ke dveřím."
"got","get","dorazíme","dorazit","pf"," “ You got to work as soon as you get there."," "" Hned jak dorazíme, musíte se dát do práce."
"get","get","dorazíme","dorazit","pf"," “ You got to work as soon as you get there."," "" Hned jak dorazíme, musíte se dát do práce."
"Come","come","Jdeme","jít","impf"," Come on. ”"," Jdeme. """
"started","start","začali","začít","pf"," It was one in the afternoon when they started to climb."," Když začali s výstupem, byla jedna hodina odpoledne."
"lay","lie","ležet","ležet","impf"," At eight that evening they cleared the rim and for half an hour lay where they had fallen."," V osm hodin večer se přehoupli přes okraj kaňonu a půl hodiny zůstali ležet tam, kde padli."
"fallen","fall","padli","padnout","pf"," At eight that evening they cleared the rim and for half an hour lay where they had fallen."," V osm hodin večer se přehoupli přes okraj kaňonu a půl hodiny zůstali ležet tam, kde padli."
"found","find","zjistil","zjistit","pf"," But first Linday hefted the two packs, and found his own lighter by half."," Nejprve ale Linday potěžkal oba rance a zjistil, že jeho je o plnou polovinu lehčí."
"want","want","Chtěl","chtít","impf"," ” I want - ” Mapuhi began, and behind him, framing his own dark face, the dark faces of two women and a girl nodded concurrence in what he wanted."," "" Chtěl bych - "" spustil Mapuhi, přičemž za jeho vlastní snědou tváří se rýsovaly souhlasně přikyvující snědé tváře dvou žen a děvčete, z nichž vyzařovala potlačovaná dychtivost."
"wanted","want","Chtěl","chtít","impf"," ” I want - ” Mapuhi began, and behind him, framing his own dark face, the dark faces of two women and a girl nodded concurrence in what he wanted."," "" Chtěl bych - "" spustil Mapuhi, přičemž za jeho vlastní snědou tváří se rýsovaly souhlasně přikyvující snědé tváře dvou žen a děvčete, z nichž vyzařovala potlačovaná dychtivost."
"want","want","Chtěl","chtít","impf"," “ I want a house, ” Mapuhi went on."," "" Chtěl bych dům, "" pokračoval Mapuhi."
"went","go","pokračoval","pokračovat","impf"," “ I want a house, ” Mapuhi went on."," "" Chtěl bych dům, "" pokračoval Mapuhi."
"dropped","drop","klesla","klesnout","pf"," As though satisfied with this damage, the ice-flood quickly dropped to its old level and began to slacken its pace."," Jako by se spokojila s napáchanou škodou, klesla ledová záplava rychle na svou původní úroveň a její tempo se začalo zvolňovat."
"began","begin","začalo","začít","pf"," As though satisfied with this damage, the ice-flood quickly dropped to its old level and began to slacken its pace."," Jako by se spokojila s napáchanou škodou, klesla ledová záplava rychle na svou původní úroveň a její tempo se začalo zvolňovat."
"hear","hear","uslyšeli","uslyšet","pf"," The noise likewise eased down, and the others could hear Donald shouting from his eyrie to look downstream."," Ubylo také hluku a ostatní uslyšeli Donalda, jak ze svého orlího hnízda volá, aby se podívali po proudu."
"look","look","podívali","podívat","pf"," The noise likewise eased down, and the others could hear Donald shouting from his eyrie to look downstream."," Ubylo také hluku a ostatní uslyšeli Donalda, jak ze svého orlího hnízda volá, aby se podívali po proudu."
"ceasing","cease","přestal","přestat","pf"," He picked up his hand, and without ceasing from sorting called “ Come in, ” to a knock on the door."," Pak zvedl své karty, a aniž je přestal rovnat, vykřikl "" Jen dál "", sotva se ozvalo zaklepání na dveře."
"called","call","vykřikl","vykřiknout","pf"," He picked up his hand, and without ceasing from sorting called “ Come in, ” to a knock on the door."," Pak zvedl své karty, a aniž je přestal rovnat, vykřikl "" Jen dál "", sotva se ozvalo zaklepání na dveře."
"entered","enter","vstoupil","vstoupit","pf"," The man who entered was a big, broad-shouldered Swede, though his nationality was not discernible until he had removed his ear-flapped cap and thawed away the ice which had formed on beard and mustache and which served to mask his face."," Dovnitř vstoupil urostlý ramenatý Švéd, jehož národnost vyšla najevo, až když si sundal čepici s klapkami na uši a nechal roztát led na kníru a vousech, který mu zakrýval tvář."
"removed","remove","sundal","sundat","pf"," The man who entered was a big, broad-shouldered Swede, though his nationality was not discernible until he had removed his ear-flapped cap and thawed away the ice which had formed on beard and mustache and which served to mask his face."," Dovnitř vstoupil urostlý ramenatý Švéd, jehož národnost vyšla najevo, až když si sundal čepici s klapkami na uši a nechal roztát led na kníru a vousech, který mu zakrýval tvář."
"show","show","ukázat","ukázat","pf"," So when I hooks up with Rocky on our first hunt I had a mean idea to show ‘ m a few."," Takže když jsem byl s Rockym poprvé na lovu, měl jsem zlomyslnej plán trochu mu ukázat."
"struck","strike","vyrazila","vyrazit","pf"," For the pearl had struck him a blow."," Perla mu vyrazila dech."
"reflected","reflect","odrážela","odrážet","impf"," It was large as a pigeon egg, a perfect sphere, of a whiteness that reflected opalescent lights from all colors about it."," Byla veliká jako holubí vejce, dokonale kulatá a tak bílá, že se v ní odrážela opalizující světla všech barev z okolí."
"examined","examine","prohlédl","prohlédnout","pf"," He examined it closely, through a pocket magnifying-glass."," Raoul si ji pozorně prohlédl skrz kapesní lupu."
"shot","shoot","zastřelil","zastřelit","pf"," But I shot a many of ‘ em down in Curry County, Oregon, where I come from, an ’ we called ‘ em panther."," Ale těch já u nás dole v Curry County v Oregonu zastřelil pěknou řádku a my jim říkali panter."
"called","call","říkali","říkat","impf"," But I shot a many of ‘ em down in Curry County, Oregon, where I come from, an ’ we called ‘ em panther."," Ale těch já u nás dole v Curry County v Oregonu zastřelil pěknou řádku a my jim říkali panter."
"seen","see","viděl","vidět","impf"," Anyway, it was a bigger cat than ever I seen."," Každopádně to byla ta největší kočka, jakou jsem kdy viděl."
"give","give","Dám","dát","pf"," I ’ ll give the anaesthetic, but you must keep it going afterward."," Dám mu anestetikum, ale pak už to bude na vás."
"listen","listen","poslouchejte","poslouchat","impf"," Now listen, while I instruct you."," Teď poslouchejte moje pokyny."
"said","say","řekl","říci","pf"," “ The day ’ s half done, ” Linday said to the Swede, at the end of the hand, while he shuffled."," "" Polovina dne je pryč, "" řekl Linday Švédovi na konci hry při míchání karet."
"finding","find","najít","najít","pf"," So translucently white was it, that when he dropped it into a glass of water he had difficulty in finding it."," Její běl byla tak čirá, že když ji Raoul ponořil do sklenice vody, nebylo snadné ji najít."
"want","want","chceš","chtít","impf"," “ Well, what do you want for it? ” he asked, with a fine assumption of nonchalance."," "" Dobrá tedy, co za ni chceš? "" zeptal se s umně předstíranou nenuceností."
"asked","ask","zeptal","zeptat","pf"," “ Well, what do you want for it? ” he asked, with a fine assumption of nonchalance."," "" Dobrá tedy, co za ni chceš? "" zeptal se s umně předstíranou nenuceností."
"come","come","jít","jít","impf"," ‘ Mebbe you ’ d like to come to the front and show me how to travel, ’ I says."," "" Možná bys chtěl jít na špici a ukázat mi, jak to má vypadat, ' povídám."
"travel","travel","jít","jít","impf"," ‘ Mebbe you ’ d like to come to the front and show me how to travel, ’ I says."," "" Možná bys chtěl jít na špici a ukázat mi, jak to má vypadat, ' povídám."
"show","show","ukázat","ukázat","pf"," ‘ Mebbe you ’ d like to come to the front and show me how to travel, ’ I says."," "" Možná bys chtěl jít na špici a ukázat mi, jak to má vypadat, ' povídám."
"says","say","povídám","povídat","impf"," ‘ Mebbe you ’ d like to come to the front and show me how to travel, ’ I says."," "" Možná bys chtěl jít na špici a ukázat mi, jak to má vypadat, ' povídám."
"held","hold","Zadržela","zadržet","pf"," She held her breath and tugged at the buckles."," Zadržela dech a zaškubala přezkou, která povolila snáze, než čekala."
"dragging","drag","táhnouc","táhnout","impf"," They gave easier than she had expected, and she crawled hurriedly away across the sand, dragging the belt after her."," Nauri se rychle odplazila přes pláž, táhnouc opasek za sebou."
"put","put","dát","dát","pf"," Where could he have put it?"," Kam ji jen mohl dát?"
"found","find","Našla","najít","pf"," In the last pocket of all she found it, the first and only pearl he had bought on the voyage."," Našla ji až v té poslední, první a jedinou perlu, kterou Levy na téhle cestě koupil."
"bought","buy","koupil","koupit","pf"," In the last pocket of all she found it, the first and only pearl he had bought on the voyage."," Našla ji až v té poslední, první a jedinou perlu, kterou Levy na téhle cestě koupil."
"escape","escape","unikla","uniknout","pf"," She crawled a few feet farther, to escape the pestilence of the belt, and examined the pearl."," Nauri se odplazila ještě o několik stop dál, aby unikla zhoubné blízkosti opasku, a perlu si prohlédla."
"examined","examine","prohlédla","prohlédnout","pf"," She crawled a few feet farther, to escape the pestilence of the belt, and examined the pearl."," Nauri se odplazila ještě o několik stop dál, aby unikla zhoubné blízkosti opasku, a perlu si prohlédla."
"work","work","nepracoval","pracovat","impf"," But he had never had a healthier specimen of human wreck to work upon."," Nikdy předtím však také nepracoval se zdravějším exemplářem lidské trosky."
"shining","shine","svítilo","svítit","impf"," And by six it was dead calm and the sun was shining."," V šest bylo úplné bezvětří a svítilo slunce."
"saw","see","uviděl","uvidět","pf"," On the yet restless edge of the lagoon, Mapuhi saw the broken bodies of those that had failed in the landing."," Na stále ještě neklidném břehu laguny uviděl Mapuhi rozbitá těla těch, kterým se nepodařilo dosáhnout souše."
"examining","examine","prohlížel","prohlížet","impf"," He went along the beach examining them, and came upon his wife, lying half in and half out of the water."," Mapuhi se vydal po pláži a prohlížel mrtvé, až narazil na svou ženu, ležící napůl ve vodě a napůl v písku."
"sat","sit","Posadil","posadit","pf"," He sat down and wept, making harsh animal-noises after the manner of primitive grief."," Posadil se a dal se do pláče, vyluzuje přitom pronikavé zvířecí skřeky po způsobu primitivního zármutku."
"stirred","stir","pohnula","pohnout","pf"," Then she stirred uneasily, and groaned."," V tom se Tefara pohnula a zasténala."
"said","say","řekl","říci","pf"," “ A thousand Chili dollars, cash down, Mapuhi, ” he said."," "" Tisíc chilských dolarů v hotovosti, Mapuhi, "" řekl."
"want","want","Chci","chtít","impf"," “ I want a house - ” the other began."," "" Chci dům - "" spustil ten druhý."
"bought","buy","koupil","koupit","pf"," It was Levy, the German Jew, the man who had bought the pearl and carried it away on the Hira."," Byl to Levy, německý žid, muž, který koupil perlu a odvezl ji na Hirovi."
"lost","lose","ztracen","ztratit","pf"," Well, one thing was evident : the Hira had been lost."," Jedna věc tedy byla jistá : Hira byl ztracen."
"see","see","spatřila","spatřit","pf"," His shirt had been torn away, and she could see the leather money-belt about his waist."," Pod roztrženou košilí spatřila u jeho pasu kožený opasek na peníze."
"see","see","vidět","vidět","impf"," You ought to see Rocky."," Měl byste vidět Rockyho."
"said","say","řekl","říci","pf"," “ There are twelve hundred men, women, and children here, ” said Captain Lynch."," "" Je tu dvanáct set mužů, žen a dětí, "" řekl kapitán Lynch."
"blow","blow","nefouká","foukat","impf"," “ But why don ’ t it blow? - that ’ s what I want to know, ” Raoul demanded."," "" Ale proč nefouká? - to mi vrtá hlavou, "" trval si na svém Raoul."
"smote","smite","zasáhla","zasáhnout","pf"," Even as Captain Lynch spoke, a great watery mass smote the atoll."," Ještě než kapitán Lynch domluvil, zasáhla atol obrovská vodní masa."
"remarked","remark","poznamenal","poznamenat","pf"," “ Well, I say, you ’ re a good ‘ un, ” the policeman remarked as he pulled on the other man ’ s socks."," "" Jsi správnej chlap, to se musí nechat, "" poznamenal policista, zatímco si natahoval jeho ponožky."
"robbed","rob","oloupen","oloupit","pf"," He had been robbed of his pearl."," Byl oloupen o svou perlu."
"said","say","řekla","říci","pf"," “ You are a fool, ” said Tefara."," "" Jsi blázen, "" řekla Tefara."
"said","say","řekla","říci","pf"," “ You are a fool, ” said Nauri, his mother."," "" Jsi blázen, "" řekla Nauri, jeho matka."
"owed","owe","Dlužil","dlužit","impf"," “ I owed him the money."," "" Dlužil jsem mu peníze."
"heard","hear","slyšela","slyšet","impf"," You heard him yourself ask to see it."," Sama jsi slyšela, jak říká, že si ji chce prohlédnout."
"heard","hear","uslyšeli","uslyšet","pf"," The house quivered and vibrated, and they heard the thrumming of a mighty note of sound."," Dům se zachvěl, potom se roztřásl a muži uslyšeli mohutné, jednotvárné hučení."
"crashed","crash","praskly","prasknout","pf"," Two panes crashed; a draught of wind tore in, striking them and making them stagger."," Dvě okenní tabulky praskly a dovnitř se vehnal průvan tak silný, až se oba zapotáceli."
"shut","shut","zavřely","zavřít","pf"," The door opposite banged shut, shattering the latch."," Dveře na opačné straně domu se s třesknutím zavřely a zámek se rozpadl."
"shrink","shrink","zmenšila","zmenšit","pf"," She seemed to shrink and droop, but her head nodded."," Madge jakoby se celá zmenšila a nahrbila, její hlava však přikývla."
"nodded","nod","přikývla","přikývnout","pf"," She seemed to shrink and droop, but her head nodded."," Madge jakoby se celá zmenšila a nahrbila, její hlava však přikývla."
"need","need","potřebovat","potřebovat","impf"," “ I shall need help."," "" Budu potřebovat pomoc."
"brought","bring","přivezl","přivézt","pf"," I ’ ve brought bandages, but let me see what you have in that line."," Obvazy jsem přivezl, ale ukaž, co máte vy."
"boiling","boil","vařit","vařit","impf"," - Here, Daw, build up that fire and start boiling all the water you can."," - Dawe, přiložte do ohně a dejte vařit tolik vody, kolik můžete."
"seemed","seem","zdála","zdát","impf"," Thin and wan, the face seemed too small for the muscular neck, yet the delicate features, despite their waste, were firmly molded."," Pohublá a sinalá tvář se zdála být na svalnatý krk příliš drobná, její ušlechtilé rysy však přes prodělané útrapy nepozbyly pevných tvarů."
"turned","turn","obrátil","obrátit","pf"," Linday turned to the men."," Linday se obrátil k mužům."
"thought","think","myslela","myslet","impf"," She was nearer than she had thought."," Byla blíže, než si myslela."
"lost","lose","ztrácela","ztrácet","impf"," The wedges in the paddle-lashing worked loose, and she lost much time, at frequent intervals, in driving them tight."," Klínky v úvazech pádla se uvolňovaly a Nauri ztrácela mnoho času jejich častým upevňováním."
"drifted","drift","unášena","unášet","impf"," And all the time she drifted to the westward."," Celou dobu přitom byla unášena na západ."
"lost","lose","ztratili","ztratit","pf"," “ Mapuhi is a fool! ” was the answering yell, and the next moment they were lost to each other in the descending water."," "" Mapuhi je blázen! "" zakřičel Raoul v odpověď a v dalším okamžiku se jeden druhému ztratili v přívalu deště."
"saw","see","uviděl","uvidět","pf"," Half an hour later, Huru-Huru, watching from the seaward side of the atoll, saw the two boats hoisted in and the Aorai pointing her nose out to sea."," O půl hodiny později uviděl Huru - Huru ze svého stanoviště na přímořském břehu atolu, jak námořníci vytahují oba čluny do lodi a jak Aorai obrací svou příď k moři."
"saw","see","Viděl","vidět","impf"," And near her, just come in from the sea on the wings of the squall, he saw another schooner hove to and dropping a boat into the water."," Viděl také, jak nedaleko od ní kotví a spouští člun další škuner, který se přihnal na křídlech bouře."
"dropping","drop","spouští","spouštět","impf"," And near her, just come in from the sea on the wings of the squall, he saw another schooner hove to and dropping a boat into the water."," Viděl také, jak nedaleko od ní kotví a spouští člun další škuner, který se přihnal na křídlech bouře."
"Come","come","Pojďme","jít","impf"," Come on!"," Pojďme!"
"tell","tell","povídám","povídat","impf"," I didn ’ t climb no tree, but when that bear come down a-cussin ’ among the dawgs, an ’ only creased, I want to tell you I was sure hankering for a tree."," Na žádnej strom jsem nevylez, ale když se ten řvoucí medvěd, kterýho rána sotva škrábla, poroučel mezi psy, to vám povídám, že bych se bejval nějakýho hned chytil."
"come","come","jít","jít","impf"," Then things come on real bad."," A pak začalo jít teprve do tuhýho."
"slipped","slip","sklouzla","sklouznout","pf"," She breathed a prayer to her shark god, slipped over the side, and began to swim."," Nauri se tiše pomodlila ke svému žraločímu bohu, sklouzla přes bok lodi a dala se do plavání."
"came","come","přišlo","přijít","pf"," Then came her fright."," Pak přišlo leknutí."
"swam","swim","plavat","plavat","impf"," She swam steadily toward it, and slowly it glided away, curving off toward the right and circling around her."," Žena nepřestávala pravidelnými pohyby plavat směrem k ní a ploutev se pomalu a klouzavě vzdálila, uhnula vpravo a zakroužila kolem."
"started","start","vyrazila","vyrazit","pf"," On the eighteenth day, at midnight, she launched the canoe through the surf and started back for Hikueru."," Osmnáctého dne o půlnoci vyrazila Nauri s kanoí skrz příbojové vlny na zpáteční cestu na Hikueru."
"climbed","climb","vylezl","vylézt","pf"," A Paumotan, with a litter of new-born puppies in a basket, climbed into a cocoanut-tree and twenty feet above the ground made the basket fast."," Jeden Paumotánec vylezl s košíkem novorozených štěňat na kokosovou palmu a upevnil jej dvacet stop nad zemí."
"said","say","řekl","říci","pf"," “ Here, get into some dry togs, ” he said, pulling them from out his canty kit."," "" Tady máš, oblíkni si nějaký suchý hadry, "" řekl Montana Kid, vytahuje oblečení ze své brašny."
"pulling","pull","vytahuje","vytahovat","impf"," “ Here, get into some dry togs, ” he said, pulling them from out his canty kit."," "" Tady máš, oblíkni si nějaký suchý hadry, "" řekl Montana Kid, vytahuje oblečení ze své brašny."
"return","return","navrátil","navrátit","pf"," Anointed on his eyes, the sight would surely and fully return. ”"," Potřít jim mužovi oči, zrak by se mu docela navrátil. """
"paint","paint","namalovat","namalovat","pf"," With sight, he could paint his five pictures."," S navráceným zrakem by mohl namalovat svých pět obrazů."
"leave","leave","opustil","opustit","pf"," Also, he would leave her."," Zároveň by ji však opustil."
"love","love","miluješ","milovat","impf"," “ The question is, do you love Rex Strang as much as that? ”"," "" Otázka je, jestli miluješ Rexe Stranga stejně tak. """
"countered","counter","odpověděla","odpovědět","pf"," “ And if I do? ” she countered."," "" A pokud ano? "" odpověděla."
"understand","understand","Chápeš","chápat","impf"," “ You understand."," "" Chápeš tedy."
"written","write","napsal","napsat","pf"," The dominie had written home to England complaining that the Company folk, from the head factor down, were addicted to Indian wives. ”"," Pastor napsal do Anglie dopis, ve kterém si stěžoval, že zaměstnanci společnosti, od hlavního hospodáře až dolů, trpí závislostí na indiánských manželkách."
"complaining","complain","stěžoval","stěžovat","impf"," The dominie had written home to England complaining that the Company folk, from the head factor down, were addicted to Indian wives. ”"," Pastor napsal do Anglie dopis, ve kterém si stěžoval, že zaměstnanci společnosti, od hlavního hospodáře až dolů, trpí závislostí na indiánských manželkách."
"explain","explain","nevysvětlil","vysvětlit","pf"," ‘ Why didn ’ t you explain the extenuating circumstances? ’ demanded the baron."," "" Proč jste nevysvětlil polehčující okolnosti? ' chtěl vědět magnát."
"Replied","reply","odpověděl","odpovědět","pf"," Replied the dominie :"," Pastor odpověděl :"
"grows","grow","roste","růst","impf"," ‘ A cow ’ s tail grows downward."," "" Krávě roste ocas dolů."
"explain","explain","vysvětlit","vysvětlit","pf"," I do not attempt to explain why the cow ’ s tail grows downward."," Nepokouším se vysvětlit, proč kravský ocas roste dolů."
"grows","grow","roste","růst","impf"," I do not attempt to explain why the cow ’ s tail grows downward."," Nepokouším se vysvětlit, proč kravský ocas roste dolů."
"cried","cry","vykřikl","vykřiknout","pf"," “ Damn clever woman! ” cried Linday, his eyes flashing with irritation."," "" Zatraceně chytrá ženská! "" vykřikl Linday a v očích mu zablesklo podráždění."
"hide","hide","skrýt","skrýt","pf"," I had to hide, so I ran away to Klondike."," Musel jsem se skrýt, tak jsem utekl na Klondike."
"ran","run","utekl","utéci","pf"," I had to hide, so I ran away to Klondike."," Musel jsem se skrýt, tak jsem utekl na Klondike."
"found","find","našel","najít","pf"," And - well, Tom Daw found me playing whist in a cabin down on the Yukon. ”"," No a - Tom Daw mě našel, jak hraju whist v jednom srubu dole na Yukonu. """
"playing","play","hraju","hrát","impf"," And - well, Tom Daw found me playing whist in a cabin down on the Yukon. ”"," No a - Tom Daw mě našel, jak hraju whist v jednom srubu dole na Yukonu. """
"Let","let","Dovol","dovolit","pf"," “ Let me tell him now, ” she said to Linday."," "" Dovol mi, abych mu to řekla teď, "" žádala Madge Lindaye."
"tell","tell","řekla","říci","pf"," “ Let me tell him now, ” she said to Linday."," "" Dovol mi, abych mu to řekla teď, "" žádala Madge Lindaye."
"said","say","řekla","říci","pf"," “ Let me tell him now, ” she said to Linday."," "" Dovol mi, abych mu to řekla teď, "" žádala Madge Lindaye."
"answered","answer","odpověděl","odpovědět","pf"," “ No; wait, ” he answered."," "" Ne, ještě počkej, "" odpověděl."
"sit","sit","posadit","posadit","pf"," Later, Strang was able to sit up on the edge of the bed, able to walk his first giddy steps, supported on either side."," Později se již Strang mohl posadit na pelest postele a - podpírán z obou stran - ušel prvních pár nejistých kroků."
"practising","practise","neprovozuji","provozovat","impf"," “ Nothing, I ’ m not practising - Your play, Bob. ”"," "" Nic, medicínu už neprovozuji - jsi na řadě, Bobe. """
"answered","answer","odpověděl","odpovědět","pf"," “ Linday, Doctor Linday, ” Strothers answered, as if solicitous to save his opponent from further irritation."," "" Linday, doktor Linday, "" odpověděl Strothers, zřejmě ve snaze ušetřit svého protihráče dalšího vyrušení."
"save","save","ušetřit","ušetřit","pf"," “ Linday, Doctor Linday, ” Strothers answered, as if solicitous to save his opponent from further irritation."," "" Linday, doktor Linday, "" odpověděl Strothers, zřejmě ve snaze ušetřit svého protihráče dalšího vyrušení."
"wait","wait","čekat","čekat","impf"," I was watching it, but I had to wait and chance it."," Byl jsem si toho vědom, ale nezbývalo než čekat a doufat."
"wait","wait","doufat","doufat","impf"," I was watching it, but I had to wait and chance it."," Byl jsem si toho vědom, ale nezbývalo než čekat a doufat."
"strangled","strangle","dusil","dusit","impf"," The wind strangled him."," Vítr ho dusil."
"breathe","breathe","dýchat","dýchat","impf"," He could not face it and breathe, for it rushed in through this mouth and nostrils, distending his lungs like bladders."," Byl - li k němu natočen tváří, nemohl dýchat, protože pak mu vítr vnikal do úst a nosních dírek a roztahoval mu plíce jako měchýře."
"listened","listen","poslouchal","poslouchat","impf"," And while Levy and Toriki drank absinthe and chaffered over the pearl, Huru-Huru listened and heard the stupendous price of twenty-five thousand francs agreed upon."," A zatímco Levy a Toriki popíjeli absint a handrkovali se o perlu, Huru - Huru poslouchal a slyšel, jak smluvili omračující cenu dvaceti pěti tisíc franků."
"heard","hear","poslouchal","poslouchat","impf"," And while Levy and Toriki drank absinthe and chaffered over the pearl, Huru-Huru listened and heard the stupendous price of twenty-five thousand francs agreed upon."," A zatímco Levy a Toriki popíjeli absint a handrkovali se o perlu, Huru - Huru poslouchal a slyšel, jak smluvili omračující cenu dvaceti pěti tisíc franků."
"listened","listen","slyšel","slyšet","impf"," And while Levy and Toriki drank absinthe and chaffered over the pearl, Huru-Huru listened and heard the stupendous price of twenty-five thousand francs agreed upon."," A zatímco Levy a Toriki popíjeli absint a handrkovali se o perlu, Huru - Huru poslouchal a slyšel, jak smluvili omračující cenu dvaceti pěti tisíc franků."
