"says","say","říkají","říkat","impf"," some says gal, some says girl – both 's right, like enough."," Někteří říkají holka a jiní děvče, ale myslím, že to vyjde na stejno."
"made","make","získala","získat","pf"," and so, instead of winning him, it only "" set him up "" the more and made him the more diligent to avoid betraying that he knew she was about."," A tak místo aby ho tím získala, jen ho utvrzovala v nadutosti a Tom si tím víc dával pozor, aby neprozradil, že o její přítomnosti ví."
"betraying","betray","neprozradil","prozradit","pf"," and so, instead of winning him, it only "" set him up "" the more and made him the more diligent to avoid betraying that he knew she was about."," A tak místo aby ho tím získala, jen ho utvrzovala v nadutosti a Tom si tím víc dával pozor, aby neprozradil, že o její přítomnosti ví."
"observed","observe","všimla","všimnout","pf"," Then she observed that now Tom was talking more particularly to Amy Lawrence than to any one else."," Potom si všimla, že Tom teď mluví s Amy Lawrencovou víc než s kýmkoliv jiným."
"talking","talk","mluví","mluvit","impf"," Then she observed that now Tom was talking more particularly to Amy Lawrence than to any one else."," Potom si všimla, že Tom teď mluví s Amy Lawrencovou víc než s kýmkoliv jiným."
"confessed","confess","přiznávali","přiznávat","impf"," they brought their children, and all sorts of provisions, and confessed that they had had almost as satisfactory a time at the funeral as they could have had at the hanging."," Vzali s sebou děti a zásoby jídla všeho druhu a otevřeně přiznávali, že si při Joeově pohřbu přišli na své skoro stejně, jako by si přišli při jeho věšení."
"entered","enter","nevešel","vejít","pf"," nobody resembling the Spaniard entered or left the tavern door."," Nikdo do uličky nevešel ani z ní nevyšel, nikdo podobný Španělovi nevešel do dveří hostince ani z nich nevyšel."
"entered","enter","nevešel","vejít","pf"," nobody resembling the Spaniard entered or left the tavern door."," Nikdo do uličky nevešel ani z ní nevyšel, nikdo podobný Španělovi nevešel do dveří hostince ani z nich nevyšel."
"come","come","přišel","přijít","pf"," I 've come now becuz I wanted to know about it, you know;"," Teď jsem přišel, protože bych rád věděl, co se stalo."
"come","come","přišel","přijít","pf"," and I come before daylight becuz I did n't want to run across them devils, even if they was dead. """," A přišel jsem ještě za tmy, protože jsem se nechtěl srazit s těmi lotry, ani kdyby byli mrtví. """
"want","want","nechtěl","chtít","impf"," and I come before daylight becuz I did n't want to run across them devils, even if they was dead. """," A přišel jsem ještě za tmy, protože jsem se nechtěl srazit s těmi lotry, ani kdyby byli mrtví. """
"doing","do","neděláme","dělat","impf"," We ai n't doing any harm."," My nic zlého neděláme."
"notice","notice","nevšimnou","všimnout","pf"," If we keep perfectly still, maybe they wo n't notice us at all. """," Když budeme zticha, možná si nás ani nevšimnou. """
"try","try","zkusím","zkusit","pf"," "" I 'll try to, Tom, but, Lord, I 'm all of a shiver. """," "" Já to zkusím, Tome, ale běhá mi mráz po zádech. """
"Listen","listen","Poslouchej","poslouchat","impf"," "" Listen! """," "" Poslouchej! """
"breathed","breathe","dýchali","dýchat","impf"," The boys bent their heads together and scarcely breathed."," Chlapci dali hlavy dohromady a sotva dýchali."
"whispered","whisper","zašeptal","zašeptat","pf"," See there! "" whispered Tom."," Podívej se! "" zašeptal Tom."
"appeared","appear","objevila","objevit","pf"," At last the enemy 's mother appeared, and called Tom a bad, vicious, vulgar child, and ordered him away."," Potom se objevila nepřítelova matka, nazvala Toma zlým, zpustlým a sprostým dítkem a kázala mu odejít."
"called","call","nazvala","nazvat","pf"," At last the enemy 's mother appeared, and called Tom a bad, vicious, vulgar child, and ordered him away."," Potom se objevila nepřítelova matka, nazvala Toma zlým, zpustlým a sprostým dítkem a kázala mu odejít."
"got","get","dostal","dostat","pf"," He got home pretty late that night, and when he climbed cautiously in at the window, he uncovered an ambuscade, in the person of his aunt;"," Domů se dostal velmi pozdě večer, a když opatrně vlezl oknem do své světnice, zjistil, že padl do pasti v podobě své tety."
"uncovered","uncover","zjistil","zjistit","pf"," He got home pretty late that night, and when he climbed cautiously in at the window, he uncovered an ambuscade, in the person of his aunt;"," Domů se dostal velmi pozdě večer, a když opatrně vlezl oknem do své světnice, zjistil, že padl do pasti v podobě své tety."
"went","go","pokračovalo","pokračovat","impf"," "" Holler ' nuff! "" - and the pounding went on."," "" Křikni dost! "" - a bušení pokračovalo."
"saw","see","viděl","vidět","impf"," Right yonder 's where I saw Injun Joe poke up his candle, Huck! """," Zrovna tam, kde jsem viděl Indiána Joea vystrkovat svíčku, Hucku! """
"said","say","řekl","říci","pf"," Huck stared at the mystic sign awhile, and then said with a shaky voice :"," Huck chvíli koukal na mystický symbol a pak řekl chvějícím se hlasem :"
"done","do","dělat","dělat","impf"," it 's got to be done very careful;"," Musí se to dělat moc opatrně."
"do","do","udělat","udělat","pf"," I reckon there ai n't one boy in a thousand, maybe two thousand, that can do it the way it 's got to be done. """," Myslím, že bys mezi tisícem, ba snad mezi dvěma tisíci nenašel druhého, který by to uměl udělat jaksepatří. """
"done","do","udělat","udělat","pf"," I reckon there ai n't one boy in a thousand, maybe two thousand, that can do it the way it 's got to be done. """," Myslím, že bys mezi tisícem, ba snad mezi dvěma tisíci nenašel druhého, který by to uměl udělat jaksepatří. """
"try","try","zkusit","zkusit","pf"," Oh come, now - lemme just try."," Ale heleď, nech mě to aspoň zkusit."
"sprang","spring","skočil","skočit","pf"," At last the frantic sufferer sheered from its course, and sprang into its master 's lap;"," Konečně se poblázněný trpitel uchýlil z dráhy a skočil svému pánovi na klín."
"flung","fling","vyhodil","vyhodit","pf"," he flung it out of the window, and the voice of distress quickly thinned away and died in the distance."," Ten jej vyhodil oknem a hlas úzkosti rychle slábl, až v dáli ztichl."
"do","do","nepůjdu","jít","impf"," "" Lordy, I do n't want to foller him by myself! """," "" Kryndypindy, já za ním sám nepůjdu! """
"try","try","Zkusím","zkusit","pf"," I 'll try. """," Zkusím to. """
"ran","run","nevedly","vést","impf"," Every few steps other lofty and still narrower crevices branched from it on either hand - for McDougal 's cave was but a vast labyrinth of crooked aisles that ran into each other and out again and led nowhere."," Každých pár kroků z ní odbočovaly na obě strany další vysoké a ještě užší chodbičky, neboť MacDougalova sluj byla v podstatě obrovským bludištěm křivolakých chodeb, jež se vzájemně proplétaly a nikam nevedly."
"led","lead","nevedly","vést","impf"," Every few steps other lofty and still narrower crevices branched from it on either hand - for McDougal 's cave was but a vast labyrinth of crooked aisles that ran into each other and out again and led nowhere."," Každých pár kroků z ní odbočovaly na obě strany další vysoké a ještě užší chodbičky, neboť MacDougalova sluj byla v podstatě obrovským bludištěm křivolakých chodeb, jež se vzájemně proplétaly a nikam nevedly."
"find","find","našel","najít","pf"," It was said that one might wander days and nights together through its intricate tangle of rifts and chasms, and never find the end of the cave;"," Tvrdilo se, že by člověk mohl chodit celé dny a noci složitou spletí uliček, propustí a jeskyní, aniž by našel konec sluje."
"hastened","hasten","pospíchal","pospíchat","impf"," And he hastened away, hating her for it."," Tom od ní pospíchal a nenáviděl ji za to."
"hating","hate","nenáviděl","nenávidět","impf"," And he hastened away, hating her for it."," Tom od ní pospíchal a nenáviděl ji za to."
"said","say","řekl","říci","pf"," "" Oh, do n't I! "" said Joe."," "" A myslíš, že já bych ho nechtěl vidět? "" řekl Joe."
"bet","bet","Vsadím","vsadit","pf"," "" Why, I bet you Johnny Miller could n't any more do this than nothing."," "" Vsadím se s tebou, že by to nedokázal za nic na světě."
"Say","say","povídám","povídat","impf"," Say – I wish the boys could see us now. """," A povídám - škoda, že nás teď nevidí, kluci. """
"see","see","nevidí","vidět","impf"," Say – I wish the boys could see us now. """," A povídám - škoda, že nás teď nevidí, kluci. """
"go","go","pokračovali","pokračovat","impf"," Ah, there ai n't many left, now, that 's got hope enough, or strength enough, either, to go on searching. """," Ach, už nezbylo mnoho těch, kdo mají dost naděje a síly, aby pokračovali v hledání. """
"return","return","VRÁTILI","vrátit","pf"," NOW to return to Tom and Becky 's share in the picnic."," ABYCHOM SE VŠAK VRÁTILI k Tomovi a Becky a k tomu, co dělali na výletě."
"visiting","visit","navštěvovali","navštěvovat","impf"," They tripped along the murky aisles with the rest of the company, visiting the familiar wonders of the cave – wonders dubbed with rather over-descriptive names, such as "" The Drawing-Room, "" "" The Cathedral, "" "" Aladdin 's Palace, "" and so on."," Procházeli s ostatními ponurými chodbami a navštěvovali známé divy jeskyně, ozdobené poněkud přemrštěnými názvy : "" Salón "", "" Dóm "", "" Aladinův palác "" a podobně."
"turned","turn","změnil","změnit","pf"," Now a weird flash turned night into day and showed every little grass-blade, separate and distinct, that grew about their feet."," Pak vzplál strašidelný blesk, jenž změnil noc v den a jasně a přesně ukázal jednotlivá stébla trávy u jejich nohou."
"showed","show","ukázal","ukázat","pf"," Now a weird flash turned night into day and showed every little grass-blade, separate and distinct, that grew about their feet."," Pak vzplál strašidelný blesk, jenž změnil noc v den a jasně a přesně ukázal jednotlivá stébla trávy u jejich nohou."
"showed","show","ukázal","ukázat","pf"," And it showed three white, startled faces, too."," A ukázal také tři bledé, vystrašené tváře."
"rolling","roll","valil","valit","impf"," A deep peal of thunder went rolling and tumbling down the heavens and lost itself in sullen rumblings in the distance."," Hrom temně zaduněl, s rachotem se valil po obloze, a když se ztrácel v dáli, ještě reptal a nakvašeně huboval."
"lost","lose","ztrácel","ztrácet","impf"," A deep peal of thunder went rolling and tumbling down the heavens and lost itself in sullen rumblings in the distance."," Hrom temně zaduněl, s rachotem se valil po obloze, a když se ztrácel v dáli, ještě reptal a nakvašeně huboval."
"went","go","začal","začít","pf"," By-andby the procession went filing down the steep descent of the main avenue, the flickering rank of lights dimly revealing the lofty walls of rock almost to their point of junction sixty feet overhead."," Za chvíli začal průvod sestupovat po příkrém svahu hlavní chodby, blikající řady světel matně ukazovaly vysoké skalní stěny skoro až k místům, kde se nad hlavami děti spojovaly v klenbu."
"fall","fall","klesl","klesnout","pf"," He would have liked to fall down and worship him, if it were in the dark."," Byl by klesl na kolena a modlil se k němu, kdyby byla bývala tma."
"put","put","položil","položit","pf"," The Judge put his hand on Tom 's head and called him a fine little man, and asked him what his name was."," Soudce položil ruku na Tomovu hlavu a řekl mu, že je znamenitý mladý muž, a ptal se ho, jak se jmenuje."
"put","put","řekl","říci","pf"," The Judge put his hand on Tom 's head and called him a fine little man, and asked him what his name was."," Soudce položil ruku na Tomovu hlavu a řekl mu, že je znamenitý mladý muž, a ptal se ho, jak se jmenuje."
"asked","ask","ptal","ptát","impf"," The Judge put his hand on Tom 's head and called him a fine little man, and asked him what his name was."," Soudce položil ruku na Tomovu hlavu a řekl mu, že je znamenitý mladý muž, a ptal se ho, jak se jmenuje."
"wish","wish","nechtěl","chtít","impf"," By jings, do n't you wish you was Jeff? """," Jé - nechtěl bys být na jeho místě? """
"got","get","přiletím","přiletět","pf"," All you got to do is to trot up Hooper Street a block and maow – and if I 'm asleep, you throw some gravel at the window and that 'll fetch me. """," Stačí, když doběhneš kousek do Obroučnické ulice a zamňoukáš - a kdybych spal, hodíš na okno pár kamínků a já přiletím. """
"go","go","jdu","jít","impf"," "" Now, Huck, the storm 's over, and I 'll go home."," "" Už neprší, Hucku, tak já jdu domů."
"go","go","Půjdeš","jít","impf"," You go back and watch that long, will you? """," Půjdeš zpátky hlídat? """
"watch","watch","hlídat","hlídat","impf"," You go back and watch that long, will you? """," Půjdeš zpátky hlídat? """
"said","say","Řekl","říci","pf"," "" I said I would, Tom, and I will."," "" Řekl jsem, že budu hlídat, tak budu, Tome."
"believed","believe","Věřil","věřit","impf"," He believed he had taxed the forbearance of the powers above to the extremity of endurance and that this was the result."," Věřil, že pokoušel trpělivost vyšších mocností nad hranici její únosnosti a že to má z toho."
"kill","kill","zabíjet","zabíjet","impf"," It might have seemed to him a waste of pomp and ammunition to kill a bug with a battery of artillery, but there seemed nothing incongruous about the getting up such an expensive thunderstorm as this to knock the turf from under an insect like himself."," Snad by si pomyslel, že zabíjet brouka palbou dělostřelecké baterie je plýtvání municí a režijními pomůckami, ale nezdálo se mu neúměrné použít tak nákladnou bouřku ke shození píďalky, jako byl on, ze stébla trávy."
"seemed","seem","nezdálo","zdát","impf"," It might have seemed to him a waste of pomp and ammunition to kill a bug with a battery of artillery, but there seemed nothing incongruous about the getting up such an expensive thunderstorm as this to knock the turf from under an insect like himself."," Snad by si pomyslel, že zabíjet brouka palbou dělostřelecké baterie je plýtvání municí a režijními pomůckami, ale nezdálo se mu neúměrné použít tak nákladnou bouřku ke shození píďalky, jako byl on, ze stébla trávy."
"seemed","seem","nezdálo","zdát","impf"," It might have seemed to him a waste of pomp and ammunition to kill a bug with a battery of artillery, but there seemed nothing incongruous about the getting up such an expensive thunderstorm as this to knock the turf from under an insect like himself."," Snad by si pomyslel, že zabíjet brouka palbou dělostřelecké baterie je plýtvání municí a režijními pomůckami, ale nezdálo se mu neúměrné použít tak nákladnou bouřku ke shození píďalky, jako byl on, ze stébla trávy."
"keeping","keep","měl","mít","impf"," It seemed to Tom that his schoolmates never would get done holding inquests on dead cats, and thus keeping his trouble present to his mind."," Tom měl dojem, že jeho spolužáky jakživ neomrzí pořádat koronerova řízení o mrtvých kočkách a že mu nikdy nepřestanou takovým způsobem připomínat jeho starosti."
"noticed","notice","všiml","všimnout","pf"," Sid noticed that Tom never was coroner at one of these inquiries, though it had been his habit to take the lead in all new enterprises;"," Sid si všiml, že Tom nebyl ani u jednoho koronerova řízení, ačkoliv jindy hrál při takových podnicích největší roli."
"listened","listen","naslouchal","naslouchat","impf"," Tom listened a moment, but no sound disturbed the quiet."," Tom chvíli naslouchal, ale hluboký mír nevyrušil žádný zvuk."
"say","say","neříkají","říkat","impf"," "" But they do n't say anything over it, "" said Huck."," "" Ale oni nad ním nic neříkají, "" řekl Huck."
"said","say","neříkají","říkat","impf"," "" But they do n't say anything over it, "" said Huck."," "" Ale oni nad ním nic neříkají, "" řekl Huck."
"say","say","řekl","říci","pf"," "" But they do n't say anything over it, "" said Huck."," "" Ale oni nad ním nic neříkají, "" řekl Huck."
"said","say","řekl","říci","pf"," "" But they do n't say anything over it, "" said Huck."," "" Ale oni nad ním nic neříkají, "" řekl Huck."
"seen","see","viděl","vidět","impf"," "" I 've seen ' em and they do n't. """," "" Já je viděl a nic neříkali. """
"said","say","řekl","říci","pf"," "" Well, that 's funny, "" said Tom."," "" To je divné, "" řekl Tom."
"say","say","říkají","říkat","impf"," "" But maybe they say it to themselves."," "" Ale možná, že to říkají potichu, jen pro sebe ..."
"expected","expect","očekávat","očekávat","impf"," The other boys agreed that there was reason in what Tom said, because an ignorant lump of bread, uninstructed by an incantation, could not be expected to act very intelligently when set upon an errand of such gravity."," Oba ostatní chlapci uznali, že Tom má pravdu, protože se rozumí samo sebou, že od nemyslícího, nevzdělaného kusu chleba nelze očekávat, že by bez poučení a zařikáváni něco pořídil v tak vážném poslání."
"said","say","Řekla","říci","pf"," She said she would wait, now, where she was, and die – it would not be long."," Řekla, že už zůstane tady a že tu také umře - což bude co nevidět."
"die","die","umře","umřít","pf"," She said she would wait, now, where she was, and die – it would not be long."," Řekla, že už zůstane tady a že tu také umře - což bude co nevidět."
"go","go","šel","jít","impf"," She told Tom to go with the kite-line and explore if he chose;"," Navrhla Tomovi, aby vzal motouz od draka a šel na výzkum sám."
"implored","implore","prosila","prosit","impf"," but she implored him to come back every little while and speak to her;"," Úpěnlivě ho však prosila, aby se hodně často vracel a mluvil s ní."
"speak","speak","mluvil","mluvit","impf"," but she implored him to come back every little while and speak to her;"," Úpěnlivě ho však prosila, aby se hodně často vracel a mluvil s ní."
"promise","promise","slíbit","slíbit","pf"," and she made him promise that when the awful time came, he would stay by her and hold her hand until all was over."," A musel slíbit, že až nadejde ta hrozná chvíle, že zůstane u ní a bude ji držet za ruku tak dlouho, dokud nebude po všem."
"stay","stay","zůstane","zůstat","pf"," and she made him promise that when the awful time came, he would stay by her and hold her hand until all was over."," A musel slíbit, že až nadejde ta hrozná chvíle, že zůstane u ní a bude ji držet za ruku tak dlouho, dokud nebude po všem."
"hold","hold","držet","držet","impf"," and she made him promise that when the awful time came, he would stay by her and hold her hand until all was over."," A musel slíbit, že až nadejde ta hrozná chvíle, že zůstane u ní a bude ji držet za ruku tak dlouho, dokud nebude po všem."
"began","begin","začalo","začít","pf"," Then he began to feel badly and fear that he was in the wrong."," Potom mu začalo být úzko a začal se bát, že vina je na něm."
"began","begin","začal","začít","pf"," Then he began to feel badly and fear that he was in the wrong."," Potom mu začalo být úzko a začal se bát, že vina je na něm."
"fear","fear","bát","bát","impf"," Then he began to feel badly and fear that he was in the wrong."," Potom mu začalo být úzko a začal se bát, že vina je na něm."
"entered","enter","vstoupil","vstoupit","pf"," It was a hard struggle with him to make new advances, now, but he nerved himself to it and entered."," Vnitřní boj byl tuhý, ale nakonec se vzmužil a vstoupil do třídy, odhodlán ještě jednou nabídnout udobření."
"sprang","spring","Vyskočili","vyskočit","pf"," They sprang to their feet and hurried to the shore toward the town."," Vyskočili a běželi na břeh obrácený k městu."
"drifting","drift","unášet","unášet","impf"," The little steam ferryboat was about a mile below the village, drifting with the current."," Převozní parník byl asi půldruhého kilometru pod městem a dával se unášet proudem."
"floating","float","plula","plout","impf"," There were a great many skiffs rowing about or floating with the stream in the neighborhood of the ferryboat, but the boys could not determine what the men in them were doing."," Kolem parníku plula spousta loděk a člunů, jejichž osazenstvo zčásti veslovalo, zčásti se nechalo unášet proudem, ale chlapci nemohli rozpoznat, co lidé v člunech dělají."
"doing","do","dělají","dělat","impf"," There were a great many skiffs rowing about or floating with the stream in the neighborhood of the ferryboat, but the boys could not determine what the men in them were doing."," Kolem parníku plula spousta loděk a člunů, jejichž osazenstvo zčásti veslovalo, zčásti se nechalo unášet proudem, ale chlapci nemohli rozpoznat, co lidé v člunech dělají."
"lay","lie","ležel","ležet","impf"," As he lay in the early morning recalling the incidents of his great adventure, he noticed that they seemed curiously subdued and far away – somewhat as if they had happened in another world, or in a time long gone by."," Časné ráno, když ležel v posteli a vzpomínal na podrobnosti velkého dobrodružství, si všiml, že jsou jaksi podivně tlumené, matné a odlehlé, jako by se seběhly v jiném světě nebo před dávnými časy."
"recalling","recall","vzpomínal","vzpomínat","impf"," As he lay in the early morning recalling the incidents of his great adventure, he noticed that they seemed curiously subdued and far away – somewhat as if they had happened in another world, or in a time long gone by."," Časné ráno, když ležel v posteli a vzpomínal na podrobnosti velkého dobrodružství, si všiml, že jsou jaksi podivně tlumené, matné a odlehlé, jako by se seběhly v jiném světě nebo před dávnými časy."
"occurred","occur","napadlo","napadnout","pf"," Then it occurred to him that the great adventure itself must be a dream!"," Potom ho napadlo, že se mu vše jen zdálo!"
"began","begin","Začal","začít","pf"," He began to hate himself for throwing away the chance Becky had offered for a reconciliation."," Začal se nenávidět, že promrhal příležitost, když Becky nabízela smír."
"hate","hate","nenávidět","nenávidět","impf"," He began to hate himself for throwing away the chance Becky had offered for a reconciliation."," Začal se nenávidět, že promrhal příležitost, když Becky nabízela smír."
"offered","offer","nabízela","nabízet","impf"," He began to hate himself for throwing away the chance Becky had offered for a reconciliation."," Začal se nenávidět, že promrhal příležitost, když Becky nabízela smír."
"come","come","přiletěl","přiletět","pf"," and a whippoorwill come in and lit on the banisters and sung, the very same evening;"," A sýček přiletěl ten samý večer a posadil se na plot a houkal."
"straightened","straighten","narovnaly","narovnat","pf"," His arms straightened and stiffened down his sides."," Jeho paže se narovnaly podle těla a ztuhly."
"stiffened","stiffen","ztuhly","ztuhnout","pf"," His arms straightened and stiffened down his sides."," Jeho paže se narovnaly podle těla a ztuhly."
"describing","describe","opisovala","opisovat","impf"," His right hand, meantime, describing stately circles - for it was representing a forty-foot wheel."," Jeho pravice opisovala velkolepé kruhy, neboť představovala dvanáctimetrové koleso."
"representing","represent","představovala","představovat","impf"," His right hand, meantime, describing stately circles - for it was representing a forty-foot wheel."," Jeho pravice opisovala velkolepé kruhy, neboť představovala dvanáctimetrové koleso."
"waited","wait","čekal","čekat","impf"," Huck waited what seemed a weary long time, but nothing happened."," Huck čekal, ale stále se nic nedělo."
"weakening","weaken","slábnout","slábnout","impf"," His faith was weakening."," Jeho odhodlání začalo slábnout."
"closed","close","zavřely","zavřít","pf"," The alley door closed softly."," Dveře do uličky se tiše zavřely."
"sprang","spring","Skočil","skočit","pf"," He sprang to the corner of the brick store."," Skočil k rohu cihlářského stavení."
"told","tell","řekl","říci","pf"," SOMEBODY told – that 's enough. """," Někdo to řekl - a to je hlavní. """
"told","tell","neřekl","říci","pf"," If you had been in Huck 's place you 'd ' a ' sneaked down the hill and never told anybody on the robbers."," Kdybys byl na Huckově místě, vzal bys do zaječích, ztratil se z kopečka a nikdy bys to nikomu na ty lupiče neřekl."
"failed","fail","selhala","selhat","pf"," But now, this thing had actually and unquestionably failed."," Ale hle, věc nesporně selhala."
"shaken","shake","otřesena","otřást","pf"," Tom 's whole structure of faith was shaken to its foundations."," Tomova víra byla do základů otřesena."
"tried","try","zkoušel","zkoušet","impf"," It did not occur to him that he had tried it several times before, himself, but could never find the hiding-places afterward."," Neuvědomil si, že to už předtím několikrát zkoušel, ale nikdy nemohl skrýš najít."
"find","find","najít","najít","pf"," It did not occur to him that he had tried it several times before, himself, but could never find the hiding-places afterward."," Neuvědomil si, že to už předtím několikrát zkoušel, ale nikdy nemohl skrýš najít."
"interfered","interfere","zasáhla","zasáhnout","pf"," He puzzled over the matter some time, and finally decided that some witch had interfered and broken the charm."," Chvíli přemýšlel a luštil záhadu, až si řekl, že asi zasáhla nějaká čarodějnice a kouzlo zmařila."
"satisfy","satisfy","přesvědčí","přesvědčit","pf"," He thought he would satisfy himself on that point;"," Umínil si, že se o tom přesvědčí."
"released","release","vypustil","vypustit","pf"," He released the tick and put him on the long flat desk."," Tom vypustil klíště a dal je na dlouhou plochou desku stolu."
"put","put","dal","dát","pf"," He released the tick and put him on the long flat desk."," Tom vypustil klíště a dal je na dlouhou plochou desku stolu."
"sighed","sigh","vzdychala","vzdychat","impf"," "" At such a time, so dark, so dreary, for human sympathy my very spirit sighed;"," V takovýto čas, tak ponurý, tak drtivý, duše mé duše samotná vzdychala po lidském účastenství."
"try","try","Zkusme","zkusit","pf"," Let 's try some other way, so as not to go through there. """," Zkusme jít jinudy, abychom nemuseli procházet jejich jeskyní. """
"go","go","jít","jít","impf"," Let 's try some other way, so as not to go through there. """," Zkusme jít jinudy, abychom nemuseli procházet jejich jeskyní. """
"followed","follow","následovala","následovat","impf"," Tom 's followed."," Tomova dýmka ji následovala."
"going","go","pracovaly","pracovat","impf"," Both fountains were going furiously and both pumps bailing with might and main."," Oba vodotrysky pracovaly zuřivě a obě pumpy odčerpávaly, jak mohly."
"go","go","jít","jít","impf"," I reckon I better go and find it. """," "" Musím se jít po něm podívat. """
"go","go","jdi","jít","impf"," You go over that way and I 'll hunt around by the spring."," "" Ty jdi na tu stranu a já budu hledat kolem pramene ..."
"hunt","hunt","hledat","hledat","impf"," You go over that way and I 'll hunt around by the spring."," "" Ty jdi na tu stranu a já budu hledat kolem pramene ..."
"made","make","přinutila","přinutit","pf"," His aunt detected the act and made him let it go."," Teta Polly čin zpozorovala a přinutila ho mouchu pustit."
"kill","kill","zabít","zabít","pf"," or I 'll be the Sheriff of Nottingham and you be Robin Hood a little while and kill me. """," Anebo já budu šerif nottinghamský a ty budeš chvilku Robinem Hoodem a můžeš mě zabít. """
"hide","hide","ukrývají","ukrývat","impf"," They always hide it and leave it there. """," Vždycky peníze ukrývají. """
"come","come","nechodí","chodit","impf"," "" Do n't they come after it any more? """," "" A vůbec si pro ně nechodí? """
"lays","lay","leží","ležet","impf"," Anyway, it lays there a long time and gets rusty;"," Zkrátka, leží to tam dlouho a rezaví to."
"done","do","udělal","udělat","pf"," Everything you 've ever done to me."," Všecko, cos mi udělal, ti opouštím."
"dying","die","neumřeš","umřít","pf"," "" Oh, Tom, you ai n't dying, are you?"," "" Tome, snad neumřeš?"
"said","say","řekla","říci","pf"," "" He did n't stay with us, "" said Mrs. Harper, beginning to look uneasy."," "" U nás nenocoval, "" řekla paní Harperová a začala vypadat nesvá."
"beginning","begin","začala","začít","pf"," "" He did n't stay with us, "" said Mrs. Harper, beginning to look uneasy."," "" U nás nenocoval, "" řekla paní Harperová a začala vypadat nesvá."
"seen","see","viděl","vidět","impf"," "" Joe Harper, have you seen my Tom this morning? """," "" Joe Harpere, viděl jsi dnes ráno našeho Toma? """
"see","see","viděl","vidět","impf"," "" When did you see him last? """," "" Kdy jsi ho viděl naposled? """
"remember","remember","vzpomínat","vzpomínat","impf"," Joe tried to remember, but was not sure he could say."," Joe začal vzpomínat, ale nemohl říct nic určitého."
"say","say","říct","říci","pf"," Joe tried to remember, but was not sure he could say."," Joe začal vzpomínat, ale nemohl říct nic určitého."
"stopped","stop","přestali","přestat","pf"," The people had stopped moving out of church."," Lidé přestali vycházet z kostela."
"questioned","question","vyslýcháni","vyslýchat","impf"," Children were anxiously questioned, and young teachers."," Děti i mladí učitelé byli úzkostlivě vyslýcháni."
"reached","reach","sahat","sahat","impf"," Before the depth reached his middle he was half-way over;"," Než mu voda začala sahat po pás, měl polovinu cesty za sebou."
"swim","swim","plavat","plavat","impf"," the current would permit no more wading, now, so he struck out confidently to swim the remaining hundred yards."," Proud už byl tak silný, že nemohl pokračovat dál, proto se ponořil a začal plavat, aby překonal zbývajících sto metrů."
"came","come","přišel","přijít","pf"," and last of all came the Model Boy, Willie Mufferson, taking as heedful care of his mother as if she were cut glass."," Úplně poslední přišel vzorný hošánek Vilíček Muffersonů, který si vedl svojí matinku tak opatrně, jako by byla z broušeného skla."
"taking","take","vedl","vést","impf"," and last of all came the Model Boy, Willie Mufferson, taking as heedful care of his mother as if she were cut glass."," Úplně poslední přišel vzorný hošánek Vilíček Muffersonů, který si vedl svojí matinku tak opatrně, jako by byla z broušeného skla."
"brought","bring","přiváděl","přivádět","impf"," He always brought his mother to church, and was the pride of all the matrons."," Vilíček Muffersonů přiváděl svojí matinku do kostela každou neděli a místní paničky se v něm viděly."
"hated","hate","nenáviděli","nenávidět","impf"," The boys all hated him, he was so good."," Zato kluci ho nenáviděli - byl tak hodný!"
"set","set","napravit","napravit","pf"," He knew what the matter was, and set himself to right it."," Věděl, co je toho příčinou, a snažil se to napravit."
"right","right","napravit","napravit","pf"," He knew what the matter was, and set himself to right it."," Věděl, co je toho příčinou, a snažil se to napravit."
"put","put","nedat","dát","pf"," He threw his entire attention upon his work, now, as if determined not to be put down by the mirth."," Teď se plně soustředil na svou práci, jako by byl odhodlán nedat se udolat veselím."
"felt","feel","Cítil","cítit","impf"," He felt that all eyes were fastened upon him;"," Cítil, že jsou na něho upřeny všechny pohledy."
"wait","wait","vyčkával","vyčkávat","impf"," All who got this vague hint were cautioned to "" be mum and wait. """," A každému bylo doporučeno, aby "" byl zticha a vyčkával ""."
"arrived","arrive","přišel","přijít","pf"," About midnight Tom arrived with a boiled ham and a few trifles, and stopped in a dense undergrowth on a small bluff overlooking the meeting-place."," Kolem půlnoci přišel Tom s vařenou šunkou a několika zákusky a zastavil se v hustém porostu na strmém břehu, odkud bylo vidět na pobřeží, na místo schůzky."
"give","give","nedal","dát","pf"," I would n't give a dern for spunkwater. """," Zlámanou grešli bych nedal za kurážnou vodu. """
"try","try","zkusil","zkusit","pf"," D'you ever try it? """," A už jsi to někdy zkusil? """
"told","tell","řekl","říci","pf"," "" Who told you so! """," "" Kdo ti to řekl? """
"ran","run","běžela","běžet","impf"," The moment he was gone, she ran to a closet and got out the ruin of a jacket which Tom had gone pirating in."," Sotva byl pryč, běžela ke skříni a vytáhla zříceninu kabátu, v kterém Tom provozoval pirátství."
"ran","run","provozoval","provozovat","impf"," The moment he was gone, she ran to a closet and got out the ruin of a jacket which Tom had gone pirating in."," Sotva byl pryč, běžela ke skříni a vytáhla zříceninu kabátu, v kterém Tom provozoval pirátství."
"stopped","stop","zarazila","zarazit","pf"," Then she stopped, with it in her hand, and said to herself :"," Pak se zarazila."
