"convinced","convince","přesvědčit","přesvědčit","pf"," You 've known me for long enough, Mr. K., I 'm sure you 're convinced of that."," Znáte mě přece už dost dlouho, pane K., abyste se mohl o tom přesvědčit."
"went","go","vést","vést","impf"," As he reached the fifth floor, he decided to give up the search, took his leave of a friendly, young worker who wanted to lead him on still further and went down the stairs."," Před pátým, poschodím se rozhodl, že už hledání nechá, rozloučil se s přívětivým mladým dělníkem, který ho chtěl vést dál nahoru, a sestupoval po schodech."
"imagined","imagine","představoval","představovat","impf"," And he imagined the most laughable scene possible as an example of this, if this contemptible student, this inflated child, this knock-kneed redbeard, if he were kneeling at Elsa 's bed wringing his hands and begging for forgiveness."," A představoval si k popukání směsný výjev, k jakému by došlo, kdyby ten ubohý student, to nafoukané děcko, ten křivonohý vousáč klečel před Elsinou postelí a se sepjatýma rukama prosil o milost."
"begging","beg","prosil","prosit","impf"," And he imagined the most laughable scene possible as an example of this, if this contemptible student, this inflated child, this knock-kneed redbeard, if he were kneeling at Elsa 's bed wringing his hands and begging for forgiveness."," A představoval si k popukání směsný výjev, k jakému by došlo, kdyby ten ubohý student, to nafoukané děcko, ten křivonohý vousáč klečel před Elsinou postelí a se sepjatýma rukama prosil o milost."
"enjoyed","enjoy","líbila","líbit","impf"," K. so enjoyed imagining this scene that he decided to take the student along to Elsa with him if ever he should get the opportunity."," K. se ta představa líbila natolik, až si umínil, že studenta vezme jednou s sebou k Else, naskytne - li se k tomu sebemenší příležitost."
"take","take","vezme","vzít","pf"," K. so enjoyed imagining this scene that he decided to take the student along to Elsa with him if ever he should get the opportunity."," K. se ta představa líbila natolik, až si umínil, že studenta vezme jednou s sebou k Else, naskytne - li se k tomu sebemenší příležitost."
"said","say","řekla","říci","pf"," "" We 're not clearing anything out, Mr. K., "" she said, "" it 's just that Miss Montag is moving in with Miss Bürstner and is moving her things across. """," "" Neuklízí se, pane K., "" řekla, "" to se jen slečna Montagová stěhuje k slečně Bürstnerové a přenáší si k ní své věci. """
"moving","move","stěhuje","stěhovat","impf"," "" We 're not clearing anything out, Mr. K., "" she said, "" it 's just that Miss Montag is moving in with Miss Bürstner and is moving her things across. """," "" Neuklízí se, pane K., "" řekla, "" to se jen slečna Montagová stěhuje k slečně Bürstnerové a přenáší si k ní své věci. """
"moving","move","stěhuje","stěhovat","impf"," "" We 're not clearing anything out, Mr. K., "" she said, "" it 's just that Miss Montag is moving in with Miss Bürstner and is moving her things across. """," "" Neuklízí se, pane K., "" řekla, "" to se jen slečna Montagová stěhuje k slečně Bürstnerové a přenáší si k ní své věci. """
"said","say","neřekla","říci","pf"," She said nothing more, but just waited to see how K. would take it and whether he would allow her to carry on speaking."," Dál už neřekla nic, čekala, jak to K. přijme a zda jí dovolí, aby mluvila dál."
"speaking","speak","neřekla","říci","pf"," She said nothing more, but just waited to see how K. would take it and whether he would allow her to carry on speaking."," Dál už neřekla nic, čekala, jak to K. přijme a zda jí dovolí, aby mluvila dál."
"waited","wait","čekala","čekat","impf"," She said nothing more, but just waited to see how K. would take it and whether he would allow her to carry on speaking."," Dál už neřekla nic, čekala, jak to K. přijme a zda jí dovolí, aby mluvila dál."
"carry","carry","čekala","čekat","impf"," She said nothing more, but just waited to see how K. would take it and whether he would allow her to carry on speaking."," Dál už neřekla nic, čekala, jak to K. přijme a zda jí dovolí, aby mluvila dál."
"see","see","přijme","přijmout","pf"," She said nothing more, but just waited to see how K. would take it and whether he would allow her to carry on speaking."," Dál už neřekla nic, čekala, jak to K. přijme a zda jí dovolí, aby mluvila dál."
"take","take","přijme","přijmout","pf"," She said nothing more, but just waited to see how K. would take it and whether he would allow her to carry on speaking."," Dál už neřekla nic, čekala, jak to K. přijme a zda jí dovolí, aby mluvila dál."
"allow","allow","dovolí","dovolit","pf"," She said nothing more, but just waited to see how K. would take it and whether he would allow her to carry on speaking."," Dál už neřekla nic, čekala, jak to K. přijme a zda jí dovolí, aby mluvila dál."
"said","say","mluvila","mluvit","impf"," She said nothing more, but just waited to see how K. would take it and whether he would allow her to carry on speaking."," Dál už neřekla nic, čekala, jak to K. přijme a zda jí dovolí, aby mluvila dál."
"speaking","speak","mluvila","mluvit","impf"," She said nothing more, but just waited to see how K. would take it and whether he would allow her to carry on speaking."," Dál už neřekla nic, čekala, jak to K. přijme a zda jí dovolí, aby mluvila dál."
"stirred","stir","míchal","míchat","impf"," But K. kept her in uncertainty, took the spoon and pensively stirred his coffee while he remained silent."," K. ji však chtěl vyzkoušet, zamyšleně míchal kávu lžičkou a mlčel."
"send","send","poslali","poslat","pf"," "" Why did they send you, of all people! "" he cried out, more a shout than a question."," "" Proč poslali právě vás! "" spíše zavolal, než se otázal."
"waited","wait","čekali","čekat","impf"," The two gentleman clearly knew no answer to give, they waited, their free arms hanging down, like nurses when the patient needs to rest."," Pánové patrně nevěděli, co odpovědět, čekali, volnou ruku svěšenou, jako čeká ošetřovatel, když si chce nemocný odpočinout."
"waited","wait","čeká","čekat","impf"," The two gentleman clearly knew no answer to give, they waited, their free arms hanging down, like nurses when the patient needs to rest."," Pánové patrně nevěděli, co odpovědět, čekali, volnou ruku svěšenou, jako čeká ošetřovatel, když si chce nemocný odpočinout."
"rest","rest","odpočinout","odpočinout","pf"," The two gentleman clearly knew no answer to give, they waited, their free arms hanging down, like nurses when the patient needs to rest."," Pánové patrně nevěděli, co odpovědět, čekali, volnou ruku svěšenou, jako čeká ošetřovatel, když si chce nemocný odpočinout."
"go","go","nejdu","jít","impf"," "" I will go no further, "" said K. as if to see what would happen."," "" Dál nejdu, "" řekl K. na zkoušku."
"said","say","řekl","říci","pf"," "" I will go no further, "" said K. as if to see what would happen."," "" Dál nejdu, "" řekl K. na zkoušku."
"seen","see","viděl","vidět","impf"," No, K. has seen for himself that the court officials, including some who are quite high up, come forward without being asked, are glad to give information which is fully open or at least easy to understand, they discuss the next stages in the proceedings, in fact in some cases they can be won over and are quite willing to adopt the other person 's point of view."," Nikoli, vždyť to K. viděl na vlastní oči, úředníci, a mezi nimi hodně vysocí, přicházejí sami, poskytnou ochotně informace, jasné nebo aspoň snadno rozluštitelné, pojednají o tom, jak proces bude v nejbližší budoucnosti probíhat, v ojedinělých případech se dají dokonce přesvědčit a rádi přistoupí na cizí mínění."
"come","come","přicházejí","přicházet","impf"," No, K. has seen for himself that the court officials, including some who are quite high up, come forward without being asked, are glad to give information which is fully open or at least easy to understand, they discuss the next stages in the proceedings, in fact in some cases they can be won over and are quite willing to adopt the other person 's point of view."," Nikoli, vždyť to K. viděl na vlastní oči, úředníci, a mezi nimi hodně vysocí, přicházejí sami, poskytnou ochotně informace, jasné nebo aspoň snadno rozluštitelné, pojednají o tom, jak proces bude v nejbližší budoucnosti probíhat, v ojedinělých případech se dají dokonce přesvědčit a rádi přistoupí na cizí mínění."
"give","give","poskytnou","poskytnout","pf"," No, K. has seen for himself that the court officials, including some who are quite high up, come forward without being asked, are glad to give information which is fully open or at least easy to understand, they discuss the next stages in the proceedings, in fact in some cases they can be won over and are quite willing to adopt the other person 's point of view."," Nikoli, vždyť to K. viděl na vlastní oči, úředníci, a mezi nimi hodně vysocí, přicházejí sami, poskytnou ochotně informace, jasné nebo aspoň snadno rozluštitelné, pojednají o tom, jak proces bude v nejbližší budoucnosti probíhat, v ojedinělých případech se dají dokonce přesvědčit a rádi přistoupí na cizí mínění."
"give","give","dají","dát","pf"," No, K. has seen for himself that the court officials, including some who are quite high up, come forward without being asked, are glad to give information which is fully open or at least easy to understand, they discuss the next stages in the proceedings, in fact in some cases they can be won over and are quite willing to adopt the other person 's point of view."," Nikoli, vždyť to K. viděl na vlastní oči, úředníci, a mezi nimi hodně vysocí, přicházejí sami, poskytnou ochotně informace, jasné nebo aspoň snadno rozluštitelné, pojednají o tom, jak proces bude v nejbližší budoucnosti probíhat, v ojedinělých případech se dají dokonce přesvědčit a rádi přistoupí na cizí mínění."
"intended","intend","chtěl","chtít","impf"," He was in a bad mood, he had originally intended a detailed discussion of his business with Leni, especially the question of his giving the lawyer notice, but now he no longer wanted to because of the presence of the businessman."," Byl rozmrzen, původně chtěl s Lenkou dopodrobna projednat svou záležitost, zejména zamýšlenou výpovědi advokátovi, ale odradilo ho, že tu byl ten obchodník."
"wanted","want","chtěl","chtít","impf"," He was in a bad mood, he had originally intended a detailed discussion of his business with Leni, especially the question of his giving the lawyer notice, but now he no longer wanted to because of the presence of the businessman."," Byl rozmrzen, původně chtěl s Lenkou dopodrobna projednat svou záležitost, zejména zamýšlenou výpovědi advokátovi, ale odradilo ho, že tu byl ten obchodník."
"considered","consider","pokládal","pokládat","impf"," Now he considered his affair too important to let this little businessman take part in it and perhaps change some of his decisions, and so he called Leni back even though she was already on her way to the lawyer."," Teď však pokládal svou věc přece jen za příliš důležitou, než aby ten obchodníček směl do ní zasáhnout možná rozhodujícím způsobem, a tak zavolal Lenku, jež byla už na chodbě, zase zpátky."
"called","call","zavolal","zavolat","pf"," Now he considered his affair too important to let this little businessman take part in it and perhaps change some of his decisions, and so he called Leni back even though she was already on her way to the lawyer."," Teď však pokládal svou věc přece jen za příliš důležitou, než aby ten obchodníček směl do ní zasáhnout možná rozhodujícím způsobem, a tak zavolal Lenku, jež byla už na chodbě, zase zpátky."
"said","say","řekl","říci","pf"," "" Yes, certainly, "" said K., who had not meant to criticise anyone by that comment."," "" Ovšem, "" řekl K., jenž se svou poznámkou nechtěl nikoho dotknout."
"meant","mean","nechtěl","chtít","impf"," "" Yes, certainly, "" said K., who had not meant to criticise anyone by that comment."," "" Ovšem, "" řekl K., jenž se svou poznámkou nechtěl nikoho dotknout."
"painted","paint","namaloval","namalovat","pf"," "" You 've painted the figure as it actually appears on the throne. """," "" Tu postavu jste namaloval tak, jak skutečně trůní na stolci. """
"seen","see","neviděl","vidět","impf"," "" No, "" said the painter, "" I 've never seen that figure or that throne, it 's all just invention, but they told me what it was I had to paint. """," "" Ne, neviděl jsem ani postavu, ani stolec, to všechno je pouhý výmysl, ale bylo mi určeno, co mám malovat. """
"paint","paint","malovat","malovat","impf"," "" No, "" said the painter, "" I 've never seen that figure or that throne, it 's all just invention, but they told me what it was I had to paint. """," "" Ne, neviděl jsem ani postavu, ani stolec, to všechno je pouhý výmysl, ale bylo mi určeno, co mám malovat. """
"gave","give","dala","dát","pf"," Then at eight o'clock I let him out and gave him something to eat. """," V osm hodin jsem ho pak pustila ven a dala mu něco k jídlu. """
"impress","impress","zapůsobit","zapůsobit","pf"," Block glanced sideways at K., as if he were being praised and had to impress K. as well."," Block se po očku podíval na K., jako by se o něm vyprávělo něco pochvalného a jako by to muselo i na K. zapůsobit."
"moved","move","pohyboval","pohybovat","impf"," He now seemed more optimistic, he moved more freely and rocked back and forth on his knees."," Byl teď zřejmě pln nadějí, pohyboval se volněji a lezl po kolenou sem a tam."
"believe","believe","Myslíte","myslet","impf"," "" Do you believe you really will be able to make things better? """," "" Myslíte, že se vám podaří něco zlepšit? """
"smiled","smile","usmál","usmát","pf"," K. smiled and twisted his hand round a little in her soft hands."," K. se usmál a pootočil svou rukou v jejích měkkých dlaních."
"come","come","přišel","přijít","pf"," He was glad he had come into the office so early and was able to be of service immediately, nobody could seriously have expected that of him."," Byl šťasten, že přišel tak časně do kanceláře a že se může hned ujmout svého úkolu, což jistě nikdo nečekal."
"expected","expect","nečekal","čekat","impf"," He was glad he had come into the office so early and was able to be of service immediately, nobody could seriously have expected that of him."," Byl šťasten, že přišel tak časně do kanceláře a že se může hned ujmout svého úkolu, což jistě nikdo nečekal."
"watched","watch","Díval","dívat","impf"," He watched her in irritation as Leni now took the candle from the businessman 's hand – which he had been holding on to all this time – wiped his hand with her apron and then knelt beside him to scratch off some wax that had dripped from the candle onto his trousers."," Díval se s nevolí, jak teď Lenka vzala obchodníkovi z ruky svíčku, kterou celý ten čas držel, utřela mu ruku zástěrou a poklekla pak vedle něho, aby seškrábala trochu vosku, který mu ze svíčky ukápl na kalhoty."
"took","take","vzala","vzít","pf"," He watched her in irritation as Leni now took the candle from the businessman 's hand – which he had been holding on to all this time – wiped his hand with her apron and then knelt beside him to scratch off some wax that had dripped from the candle onto his trousers."," Díval se s nevolí, jak teď Lenka vzala obchodníkovi z ruky svíčku, kterou celý ten čas držel, utřela mu ruku zástěrou a poklekla pak vedle něho, aby seškrábala trochu vosku, který mu ze svíčky ukápl na kalhoty."
"holding","hold","držel","držet","impf"," He watched her in irritation as Leni now took the candle from the businessman 's hand – which he had been holding on to all this time – wiped his hand with her apron and then knelt beside him to scratch off some wax that had dripped from the candle onto his trousers."," Díval se s nevolí, jak teď Lenka vzala obchodníkovi z ruky svíčku, kterou celý ten čas držel, utřela mu ruku zástěrou a poklekla pak vedle něho, aby seškrábala trochu vosku, který mu ze svíčky ukápl na kalhoty."
"wiped","wipe","utřela","utřít","pf"," He watched her in irritation as Leni now took the candle from the businessman 's hand – which he had been holding on to all this time – wiped his hand with her apron and then knelt beside him to scratch off some wax that had dripped from the candle onto his trousers."," Díval se s nevolí, jak teď Lenka vzala obchodníkovi z ruky svíčku, kterou celý ten čas držel, utřela mu ruku zástěrou a poklekla pak vedle něho, aby seškrábala trochu vosku, který mu ze svíčky ukápl na kalhoty."
"tell","tell","říci","říci","pf"," "" You were about to tell me about the petty lawyers, "" said K., shoving Leni 's hand away with no further comment."," "" Chtěl jste mi něco říci o těch pokoutních advokátech, "" řekl K. a beze slova odstrčil Lenčinu ruku."
"said","say","říci","říci","pf"," "" You were about to tell me about the petty lawyers, "" said K., shoving Leni 's hand away with no further comment."," "" Chtěl jste mi něco říci o těch pokoutních advokátech, "" řekl K. a beze slova odstrčil Lenčinu ruku."
"tell","tell","řekl","říci","pf"," "" You were about to tell me about the petty lawyers, "" said K., shoving Leni 's hand away with no further comment."," "" Chtěl jste mi něco říci o těch pokoutních advokátech, "" řekl K. a beze slova odstrčil Lenčinu ruku."
"said","say","řekl","říci","pf"," "" You were about to tell me about the petty lawyers, "" said K., shoving Leni 's hand away with no further comment."," "" Chtěl jste mi něco říci o těch pokoutních advokátech, "" řekl K. a beze slova odstrčil Lenčinu ruku."
"put","put","řekl","říci","pf"," "" It 's really not my job to make things better here, as you put it, "" he said, "" and if you said that to the examining judge he would laugh at you or punish you for it."," "" Vlastně, "" řekl, "" mě nikdo nepověřil, abych tu něco zlepšoval, jak tomu říkáte, a kdybyste to například řekla vyšetřujícímu soudci, vysmál by se vám, nebo by vás potrestal."
"said","say","řekl","říci","pf"," "" It 's really not my job to make things better here, as you put it, "" he said, "" and if you said that to the examining judge he would laugh at you or punish you for it."," "" Vlastně, "" řekl, "" mě nikdo nepověřil, abych tu něco zlepšoval, jak tomu říkáte, a kdybyste to například řekla vyšetřujícímu soudci, vysmál by se vám, nebo by vás potrestal."
"said","say","řekl","říci","pf"," "" It 's really not my job to make things better here, as you put it, "" he said, "" and if you said that to the examining judge he would laugh at you or punish you for it."," "" Vlastně, "" řekl, "" mě nikdo nepověřil, abych tu něco zlepšoval, jak tomu říkáte, a kdybyste to například řekla vyšetřujícímu soudci, vysmál by se vám, nebo by vás potrestal."
"said","say","říkáte","říkat","impf"," "" It 's really not my job to make things better here, as you put it, "" he said, "" and if you said that to the examining judge he would laugh at you or punish you for it."," "" Vlastně, "" řekl, "" mě nikdo nepověřil, abych tu něco zlepšoval, jak tomu říkáte, a kdybyste to například řekla vyšetřujícímu soudci, vysmál by se vám, nebo by vás potrestal."
"said","say","říkáte","říkat","impf"," "" It 's really not my job to make things better here, as you put it, "" he said, "" and if you said that to the examining judge he would laugh at you or punish you for it."," "" Vlastně, "" řekl, "" mě nikdo nepověřil, abych tu něco zlepšoval, jak tomu říkáte, a kdybyste to například řekla vyšetřujícímu soudci, vysmál by se vám, nebo by vás potrestal."
"put","put","řekla","říci","pf"," "" It 's really not my job to make things better here, as you put it, "" he said, "" and if you said that to the examining judge he would laugh at you or punish you for it."," "" Vlastně, "" řekl, "" mě nikdo nepověřil, abych tu něco zlepšoval, jak tomu říkáte, a kdybyste to například řekla vyšetřujícímu soudci, vysmál by se vám, nebo by vás potrestal."
"said","say","řekla","říci","pf"," "" It 's really not my job to make things better here, as you put it, "" he said, "" and if you said that to the examining judge he would laugh at you or punish you for it."," "" Vlastně, "" řekl, "" mě nikdo nepověřil, abych tu něco zlepšoval, jak tomu říkáte, a kdybyste to například řekla vyšetřujícímu soudci, vysmál by se vám, nebo by vás potrestal."
"said","say","řekla","říci","pf"," "" It 's really not my job to make things better here, as you put it, "" he said, "" and if you said that to the examining judge he would laugh at you or punish you for it."," "" Vlastně, "" řekl, "" mě nikdo nepověřil, abych tu něco zlepšoval, jak tomu říkáte, a kdybyste to například řekla vyšetřujícímu soudci, vysmál by se vám, nebo by vás potrestal."
"punish","punish","potrestal","potrestat","pf"," "" It 's really not my job to make things better here, as you put it, "" he said, "" and if you said that to the examining judge he would laugh at you or punish you for it."," "" Vlastně, "" řekl, "" mě nikdo nepověřil, abych tu něco zlepšoval, jak tomu říkáte, a kdybyste to například řekla vyšetřujícímu soudci, vysmál by se vám, nebo by vás potrestal."
"thought","think","pomyslel","pomyslet","pf"," So that 's what all this is about, thought K., she 's offering herself to me, she 's as degenerate as everything else around here, she 's had enough of the court officials, which is understandable I suppose, and so she approaches any stranger and makes compliments about his eyes."," To je tedy všechno, pomyslel si K., nabízí se mi, je zkažená jako všichni tady, soudních úředníků má až po krk, což konečně chápu, a vítá proto každého cizího člověka poklonou o jeho očích."
"offering","offer","nabízí","nabízet","impf"," So that 's what all this is about, thought K., she 's offering herself to me, she 's as degenerate as everything else around here, she 's had enough of the court officials, which is understandable I suppose, and so she approaches any stranger and makes compliments about his eyes."," To je tedy všechno, pomyslel si K., nabízí se mi, je zkažená jako všichni tady, soudních úředníků má až po krk, což konečně chápu, a vítá proto každého cizího člověka poklonou o jeho očích."
"thought","think","má","mít","impf"," So that 's what all this is about, thought K., she 's offering herself to me, she 's as degenerate as everything else around here, she 's had enough of the court officials, which is understandable I suppose, and so she approaches any stranger and makes compliments about his eyes."," To je tedy všechno, pomyslel si K., nabízí se mi, je zkažená jako všichni tady, soudních úředníků má až po krk, což konečně chápu, a vítá proto každého cizího člověka poklonou o jeho očích."
"spoken","speak","vyslovil","vyslovit","pf"," With that, K. stood up in silence as if he had spoken his thoughts out loud and thus explained his action to the woman."," A K. mlčky vstal, jako by byl své myšlenky vyslovil nahlas a tím jí své chování vysvětlil."
"explained","explain","vysvětlil","vysvětlit","pf"," With that, K. stood up in silence as if he had spoken his thoughts out loud and thus explained his action to the woman."," A K. mlčky vstal, jako by byl své myšlenky vyslovil nahlas a tím jí své chování vysvětlil."
"think","think","mají","mít","impf"," Even the most junior lawyer can understand the relationship there to some extent, but one significant point is that almost every defendant, even very simple people, begins to think of suggestions for improving the court as soon as his proceedings have begun, many of them often even spend time and energy on the matter that could be spent far better elsewhere."," Neboť advokátům - a i nejnepatrnější mají přece o poměrech aspoň částečný přehled - ani zdaleka nepřijde na mysl, aby chtěli u soudu zavádět nebo vymáhat nějaké nápravy, zato však - a to je velmi příznačné - skoro každý obžalovaný, i úplní prosťáčkové, začne hned po zahájení procesu myslet na zlepšovací návrhy a tím často promarní čas a sílu, jichž by se dalo mnohem lépe použít jinak."
"begins","begin","nepřijde","přijít","pf"," Even the most junior lawyer can understand the relationship there to some extent, but one significant point is that almost every defendant, even very simple people, begins to think of suggestions for improving the court as soon as his proceedings have begun, many of them often even spend time and energy on the matter that could be spent far better elsewhere."," Neboť advokátům - a i nejnepatrnější mají přece o poměrech aspoň částečný přehled - ani zdaleka nepřijde na mysl, aby chtěli u soudu zavádět nebo vymáhat nějaké nápravy, zato však - a to je velmi příznačné - skoro každý obžalovaný, i úplní prosťáčkové, začne hned po zahájení procesu myslet na zlepšovací návrhy a tím často promarní čas a sílu, jichž by se dalo mnohem lépe použít jinak."
"begun","begin","nepřijde","přijít","pf"," Even the most junior lawyer can understand the relationship there to some extent, but one significant point is that almost every defendant, even very simple people, begins to think of suggestions for improving the court as soon as his proceedings have begun, many of them often even spend time and energy on the matter that could be spent far better elsewhere."," Neboť advokátům - a i nejnepatrnější mají přece o poměrech aspoň částečný přehled - ani zdaleka nepřijde na mysl, aby chtěli u soudu zavádět nebo vymáhat nějaké nápravy, zato však - a to je velmi příznačné - skoro každý obžalovaný, i úplní prosťáčkové, začne hned po zahájení procesu myslet na zlepšovací návrhy a tím často promarní čas a sílu, jichž by se dalo mnohem lépe použít jinak."
"begins","begin","začne","začít","pf"," Even the most junior lawyer can understand the relationship there to some extent, but one significant point is that almost every defendant, even very simple people, begins to think of suggestions for improving the court as soon as his proceedings have begun, many of them often even spend time and energy on the matter that could be spent far better elsewhere."," Neboť advokátům - a i nejnepatrnější mají přece o poměrech aspoň částečný přehled - ani zdaleka nepřijde na mysl, aby chtěli u soudu zavádět nebo vymáhat nějaké nápravy, zato však - a to je velmi příznačné - skoro každý obžalovaný, i úplní prosťáčkové, začne hned po zahájení procesu myslet na zlepšovací návrhy a tím často promarní čas a sílu, jichž by se dalo mnohem lépe použít jinak."
"begun","begin","začne","začít","pf"," Even the most junior lawyer can understand the relationship there to some extent, but one significant point is that almost every defendant, even very simple people, begins to think of suggestions for improving the court as soon as his proceedings have begun, many of them often even spend time and energy on the matter that could be spent far better elsewhere."," Neboť advokátům - a i nejnepatrnější mají přece o poměrech aspoň částečný přehled - ani zdaleka nepřijde na mysl, aby chtěli u soudu zavádět nebo vymáhat nějaké nápravy, zato však - a to je velmi příznačné - skoro každý obžalovaný, i úplní prosťáčkové, začne hned po zahájení procesu myslet na zlepšovací návrhy a tím často promarní čas a sílu, jichž by se dalo mnohem lépe použít jinak."
"think","think","myslet","myslet","impf"," Even the most junior lawyer can understand the relationship there to some extent, but one significant point is that almost every defendant, even very simple people, begins to think of suggestions for improving the court as soon as his proceedings have begun, many of them often even spend time and energy on the matter that could be spent far better elsewhere."," Neboť advokátům - a i nejnepatrnější mají přece o poměrech aspoň částečný přehled - ani zdaleka nepřijde na mysl, aby chtěli u soudu zavádět nebo vymáhat nějaké nápravy, zato však - a to je velmi příznačné - skoro každý obžalovaný, i úplní prosťáčkové, začne hned po zahájení procesu myslet na zlepšovací návrhy a tím často promarní čas a sílu, jichž by se dalo mnohem lépe použít jinak."
"spend","spend","promarní","promarnit","pf"," Even the most junior lawyer can understand the relationship there to some extent, but one significant point is that almost every defendant, even very simple people, begins to think of suggestions for improving the court as soon as his proceedings have begun, many of them often even spend time and energy on the matter that could be spent far better elsewhere."," Neboť advokátům - a i nejnepatrnější mají přece o poměrech aspoň částečný přehled - ani zdaleka nepřijde na mysl, aby chtěli u soudu zavádět nebo vymáhat nějaké nápravy, zato však - a to je velmi příznačné - skoro každý obžalovaný, i úplní prosťáčkové, začne hned po zahájení procesu myslet na zlepšovací návrhy a tím často promarní čas a sílu, jichž by se dalo mnohem lépe použít jinak."
"spent","spend","promarní","promarnit","pf"," Even the most junior lawyer can understand the relationship there to some extent, but one significant point is that almost every defendant, even very simple people, begins to think of suggestions for improving the court as soon as his proceedings have begun, many of them often even spend time and energy on the matter that could be spent far better elsewhere."," Neboť advokátům - a i nejnepatrnější mají přece o poměrech aspoň částečný přehled - ani zdaleka nepřijde na mysl, aby chtěli u soudu zavádět nebo vymáhat nějaké nápravy, zato však - a to je velmi příznačné - skoro každý obžalovaný, i úplní prosťáčkové, začne hned po zahájení procesu myslet na zlepšovací návrhy a tím často promarní čas a sílu, jichž by se dalo mnohem lépe použít jinak."
"said","say","řekla","říci","pf"," "" No, "" said the woman as she re-closed the door, "" that 's not allowed."," "" Ne, "" řekla žena a zavřela dveře, "" to není dovoleno."
"allowed","allow","dovoleno","dovolit","pf"," "" No, "" said the woman as she re-closed the door, "" that 's not allowed."," "" Ne, "" řekla žena a zavřela dveře, "" to není dovoleno."
"said","say","řekl","říci","pf"," "" I see, "" said K., and nodded, "" those books must be law books, and that 's how this court does things, not only to try people who are innocent but even to try them without letting them know what 's going on. """," "" Ach tak, "" řekl K. a přikývl, "" ty knihy jsou asi zákoníky a v podstatě tohoto soudnictví je, že jsou odsuzováni lidé nejen nevinní, ale i nevědoucí. """
"nodded","nod","přikývl","přikývnout","pf"," "" I see, "" said K., and nodded, "" those books must be law books, and that 's how this court does things, not only to try people who are innocent but even to try them without letting them know what 's going on. """," "" Ach tak, "" řekl K. a přikývl, "" ty knihy jsou asi zákoníky a v podstatě tohoto soudnictví je, že jsou odsuzováni lidé nejen nevinní, ale i nevědoucí. """
"said","say","řekla","říci","pf"," "" I expect you 're right, "" said the woman, who had not understood exactly what he meant."," "" Tak už to bude, "" řekla žena, jež mu dobře neporozuměla."
"understood","understand","neporozuměla","porozumět","pf"," "" I expect you 're right, "" said the woman, who had not understood exactly what he meant."," "" Tak už to bude, "" řekla žena, jež mu dobře neporozuměla."
"move","move","posunout","posunout","pf"," "" May I move this table away from your bedside and put it here? """," "" Smím sem posunout noční stolek od vaší postele? """
"show","show","ukázat","ukázat","pf"," "" In that case I ca n't show you, "" said K., quite upset, as if Miss Bürstner had committed some incomprehensible offence against him."," "" Pak vám to nemohu ukázat, "" řekl K. vzrušeně, jako by se mu tím působilo nesmírné příkoří."
"said","say","řekl","říci","pf"," "" In that case I ca n't show you, "" said K., quite upset, as if Miss Bürstner had committed some incomprehensible offence against him."," "" Pak vám to nemohu ukázat, "" řekl K. vzrušeně, jako by se mu tím působilo nesmírné příkoří."
"hear","hear","Slyšíte","slyšet","impf"," "" Do you hear that? "" asked K. pointing his hand at the door."," "" Slyšíte to? "" zeptal se K. a ukázal rukou ke dveřím."
"asked","ask","zeptal","zeptat","pf"," "" Do you hear that? "" asked K. pointing his hand at the door."," "" Slyšíte to? "" zeptal se K. a ukázal rukou ke dveřím."
"pointing","point","ukázal","ukázat","pf"," "" Do you hear that? "" asked K. pointing his hand at the door."," "" Slyšíte to? "" zeptal se K. a ukázal rukou ke dveřím."
"said","say","řekla","říci","pf"," "" Yes, "" said Mrs. Grubach with a sigh, "" I wanted to give her some help and I wanted the maid to help her too but she 's stubborn, she wants to move everything in herself."," "" Ano, "" řekla paní Grubachová a povzdechla si, "" chtěla jsem jí pomoci a říci také služebné, aby jí pomohla, ale ona je umíněná, chce si všechno přestěhovat sama."
"wanted","want","chtěla","chtít","impf"," "" Yes, "" said Mrs. Grubach with a sigh, "" I wanted to give her some help and I wanted the maid to help her too but she 's stubborn, she wants to move everything in herself."," "" Ano, "" řekla paní Grubachová a povzdechla si, "" chtěla jsem jí pomoci a říci také služebné, aby jí pomohla, ale ona je umíněná, chce si všechno přestěhovat sama."
"wanted","want","chtěla","chtít","impf"," "" Yes, "" said Mrs. Grubach with a sigh, "" I wanted to give her some help and I wanted the maid to help her too but she 's stubborn, she wants to move everything in herself."," "" Ano, "" řekla paní Grubachová a povzdechla si, "" chtěla jsem jí pomoci a říci také služebné, aby jí pomohla, ale ona je umíněná, chce si všechno přestěhovat sama."
"wants","want","chtěla","chtít","impf"," "" Yes, "" said Mrs. Grubach with a sigh, "" I wanted to give her some help and I wanted the maid to help her too but she 's stubborn, she wants to move everything in herself."," "" Ano, "" řekla paní Grubachová a povzdechla si, "" chtěla jsem jí pomoci a říci také služebné, aby jí pomohla, ale ona je umíněná, chce si všechno přestěhovat sama."
"help","help","pomoci","pomoci","pf"," "" Yes, "" said Mrs. Grubach with a sigh, "" I wanted to give her some help and I wanted the maid to help her too but she 's stubborn, she wants to move everything in herself."," "" Ano, "" řekla paní Grubachová a povzdechla si, "" chtěla jsem jí pomoci a říci také služebné, aby jí pomohla, ale ona je umíněná, chce si všechno přestěhovat sama."
