"thought","think","pomyslel","pomyslet","pf"," At the sight of that bag, Pinocchio felt slightly happier and thought to himself :"," Když Pinocchio čepici uviděl, skoro ho to potěšilo a hned si v duchu pomyslel :"
"come","come","pojď","jít","impf"," Get up as quickly as you can and come along with us. """," Okamžitě vstaň a pojď s námi. """
"Come","come","Půjdeš","jít","impf"," "" Come with us! """," "" Půjdeš s námi! """
"Come","come","Půjdeš","jít","impf"," "" Come with us! """," "" Půjdeš s námi! """
"tell","tell","řekl","říci","pf"," "" To tell you the truth, "" answered Pinocchio, "" if I must choose, I should much rather go free so I may return home! """," "" Abych pravdu řekl, "" odpověděl Pinocchio, "" jestli si mám vybrat, nejradši bych, abyste mě pustil, poněvadž se chci vrátit domů. """
"answered","answer","odpověděl","odpovědět","pf"," "" To tell you the truth, "" answered Pinocchio, "" if I must choose, I should much rather go free so I may return home! """," "" Abych pravdu řekl, "" odpověděl Pinocchio, "" jestli si mám vybrat, nejradši bych, abyste mě pustil, poněvadž se chci vrátit domů. """
"return","return","odpověděl","odpovědět","pf"," "" To tell you the truth, "" answered Pinocchio, "" if I must choose, I should much rather go free so I may return home! """," "" Abych pravdu řekl, "" odpověděl Pinocchio, "" jestli si mám vybrat, nejradši bych, abyste mě pustil, poněvadž se chci vrátit domů. """
"choose","choose","vybrat","vybrat","pf"," "" To tell you the truth, "" answered Pinocchio, "" if I must choose, I should much rather go free so I may return home! """," "" Abych pravdu řekl, "" odpověděl Pinocchio, "" jestli si mám vybrat, nejradši bych, abyste mě pustil, poněvadž se chci vrátit domů. """
"choose","choose","chci","chtít","impf"," "" To tell you the truth, "" answered Pinocchio, "" if I must choose, I should much rather go free so I may return home! """," "" Abych pravdu řekl, "" odpověděl Pinocchio, "" jestli si mám vybrat, nejradši bych, abyste mě pustil, poněvadž se chci vrátit domů. """
"return","return","vrátit","vrátit","pf"," "" To tell you the truth, "" answered Pinocchio, "" if I must choose, I should much rather go free so I may return home! """," "" Abych pravdu řekl, "" odpověděl Pinocchio, "" jestli si mám vybrat, nejradši bych, abyste mě pustil, poněvadž se chci vrátit domů. """
"think","think","Myslíš","myslet","impf"," Do you think that I want to lose the opportunity to taste such a rare fish?"," Myslíš, že bych si nechal ujít příležitost ochutnat tak vzácnou rybu?"
"taste","taste","ochutnat","ochutnat","pf"," Do you think that I want to lose the opportunity to taste such a rare fish?"," Myslíš, že bych si nechal ujít příležitost ochutnat tak vzácnou rybu?"
"obey","obey","poslouchat","poslouchat","impf"," "" You will obey me always and do as I wish? """," "" Budeš mě poslouchat a vždycky uděláš, co ti řeknu. """
"do","do","uděláš","udělat","pf"," "" You will obey me always and do as I wish? """," "" Budeš mě poslouchat a vždycky uděláš, co ti řeknu. """
"go","go","pokračovala","pokračovat","impf"," "" Beginning tomorrow, "" said the Fairy, "" you 'll go to school every day. """," "" Hned od zítřka, "" pokračovala víla, "" začneš chodit do školy. """
"go","go","začneš","začít","pf"," "" Beginning tomorrow, "" said the Fairy, "" you 'll go to school every day. """," "" Hned od zítřka, "" pokračovala víla, "" začneš chodit do školy. """
"go","go","chodit","chodit","impf"," "" Beginning tomorrow, "" said the Fairy, "" you 'll go to school every day. """," "" Hned od zítřka, "" pokračovala víla, "" začneš chodit do školy. """
"choose","choose","vybereš","vybrat","pf"," "" Then you will choose the trade you like best. """," "" Potom si podle svého uvážení vybereš nějaké pěkné řemeslo ... """
"asked","ask","zeptala","zeptat","pf"," "" What are you mumbling to yourself? "" asked the Fairy."," "" Co si to bručíš pod vousy? "" zeptala se víla trochu dotčeně."
"want","want","chci","chtít","impf"," I want another lump of sugar, then I 'll drink it. """," Nejdřív chci další cukrovou kuličku ... a potom to vypiju! """
"drink","drink","vypiju","vypít","pf"," I want another lump of sugar, then I 'll drink it. """," Nejdřív chci další cukrovou kuličku ... a potom to vypiju! """
"gave","give","podala","podat","pf"," The Fairy, with all the patience of a good mother, gave him more sugar and again handed him the glass."," A tak mu víla s trpělivostí hodné maminky vložila do úst další kousek cukru a pak mu znovu podala sklenici."
"handed","hand","podala","podat","pf"," The Fairy, with all the patience of a good mother, gave him more sugar and again handed him the glass."," A tak mu víla s trpělivostí hodné maminky vložila do úst další kousek cukru a pak mu znovu podala sklenici."
"drink","drink","vypít","vypít","pf"," "" I ca n't drink it like that, "" the Marionette said, making more wry faces."," "" Takhle to vypít nemůžu! "" řekl panáček a zašklebil se na celé kolo."
"said","say","řekl","říci","pf"," "" I ca n't drink it like that, "" the Marionette said, making more wry faces."," "" Takhle to vypít nemůžu! "" řekl panáček a zašklebil se na celé kolo."
"drink","drink","vypít","vypít","pf"," I ca n't drink it even now. """," Ani takhle to nemůžu vypít ... """
"lifted","lift","zvedl","zvednout","pf"," In the meantime, Pinocchio lifted himself up from the ground, and with one leap landed on the donkey 's back."," Mezitím se Pinocchio celý nazlobený zvedl ze země a jediným skokem se tomu nebohému zvířeti vyšvihl na hřbet."
"shouted","shout","křičet","křičet","impf"," The leap was so well taken that all the boys shouted,"," A ten skok byl tak krásný, že se chlapci přestali smát a začali křičet :"
"clapped","clap","tleskali","tleskat","impf"," "" Hurrah for Pinocchio! "" and clapped their hands in hearty applause."," Ať žije Pinocchio! a nadšeně tleskali."
"wear","wear","měli","mít","impf"," The strangest thing of all was that those twenty-four donkeys, instead of being iron-shod like any other beast of burden, had on their feet laced shoes made of leather, just like the ones boys wear."," Ale nejpodivnější bylo to, že těch dvanáct párů neboli těch čtyřiadvacet oslíků nebylo okovaných, tak jako všechna ostatní tažná zvířata nebo soumaři, ale všichni měli na nohách polobotky z bílé teletiny, jaké nosí lidé."
"wear","wear","nosí","nosit","impf"," The strangest thing of all was that those twenty-four donkeys, instead of being iron-shod like any other beast of burden, had on their feet laced shoes made of leather, just like the ones boys wear."," Ale nejpodivnější bylo to, že těch dvanáct párů neboli těch čtyřiadvacet oslíků nebylo okovaných, tak jako všechna ostatní tažná zvířata nebo soumaři, ale všichni měli na nohách polobotky z bílé teletiny, jaké nosí lidé."
"imagine","imagine","představit","představit","pf"," As you can well imagine, the bass, the flounders, the whitefish, and even the little anchovies all went together into the tub to keep the mullets company."," Jak si dovedete představit, tresky, cípalové, platýsi, pavoučci i sardelky skončili na jedné hromadě ve škopku a dělali tam společnost parmicím."
"went","go","dělali","dělat","impf"," As you can well imagine, the bass, the flounders, the whitefish, and even the little anchovies all went together into the tub to keep the mullets company."," Jak si dovedete představit, tresky, cípalové, platýsi, pavoučci i sardelky skončili na jedné hromadě ve škopku a dělali tam společnost parmicím."
"pulled","pull","vytáhl","vytáhnout","pf"," As soon as the Fisherman pulled him out, his green eyes opened wide with surprise, and he cried out in fear :"," Když ho rybář vytáhl ven, úžasem vytřeštil ty své zelené oči a trochu polekaně vykřikl :"
"cried","cry","vykřikl","vykřiknout","pf"," As soon as the Fisherman pulled him out, his green eyes opened wide with surprise, and he cried out in fear :"," Když ho rybář vytáhl ven, úžasem vytřeštil ty své zelené oči a trochu polekaně vykřikl :"
"remember","remember","Nevzpomínám","vzpomínat","impf"," I do n't remember ever eating anything like it. """," Nevzpomínám si, že bych někdy jedl rybu, která by vypadala takhle! """
"eating","eat","jedl","jíst","impf"," I do n't remember ever eating anything like it. """," Nevzpomínám si, že bych někdy jedl rybu, která by vypadala takhle! """
"asked","ask","zeptal","zeptat","pf"," "" Is this Shark very big? "" asked Pinocchio, who was beginning to tremble with fright."," "" Je ten žralok velký? "" zeptal se Pinocchio a začínal se třást strachy."
"beginning","begin","začínal","začínat","impf"," "" Is this Shark very big? "" asked Pinocchio, who was beginning to tremble with fright."," "" Je ten žralok velký? "" zeptal se Pinocchio a začínal se třást strachy."
"replied","reply","odpověděla","odpovědět","pf"," "" Is he big? "" replied the Dolphin."," "" To bych řekla! "" odpověděla delfínice."
"tell","tell","řeknu","říci","pf"," "" Just to give you an idea of his size, let me tell you that he is larger than a five story building and that he has a mouth so big and so deep, that a whole train and engine could easily get into it. """," "" Aby sis udělal představu, řeknu ti, že je větší než pětipatrový dům a tlamu má tak širokou a hlubokou, že by mu tam pohodlně projel celý vlak i s kouřící lokomotivou. """
"come","come","přišel","přijít","pf"," Wo n't someone come to save me? """," To se nenajde nikdo, kdo by mě přišel zachránit? """
"save","save","zachránit","zachránit","pf"," Wo n't someone come to save me? """," To se nenajde nikdo, kdo by mě přišel zachránit? """
"talking","talk","mluví","mluvit","impf"," "" Who is talking? "" asked Pinocchio, frozen with terror."," "" Kdo to mluví? "" zeptal se Pinocchio a cítil, jak mu hrůzou běhá mráz po zádech."
"asked","ask","zeptal","zeptat","pf"," "" Who is talking? "" asked Pinocchio, frozen with terror."," "" Kdo to mluví? "" zeptal se Pinocchio a cítil, jak mu hrůzou běhá mráz po zádech."
"flew","fly","Letěli","letět","impf"," They flew all day."," Letěli celý den."
"said","say","řekl","říci","pf"," Toward evening the Pigeon said :"," Když se začalo stmívat, holub řekl :"
"seen","see","uviděl","uvidět","pf"," He looked all about him and instead of the usual walls of straw, he found himself in a beautifully furnished little room, the prettiest he had ever seen."," Rozhlédl se kolem a místo známých slaměných stěn chaloupky uviděl pěkný, jednoduše a vkusně zařízený pokojík."
"dressed","dress","oblékl","obléknout","pf"," As soon as he was dressed, he put his hands in his pockets and pulled out a little leather purse on which were written the following words :"," Sotva se oblékl, bezděčně si strčil ruce do kapes a vytáhl malou slonovinovou peněženku, na které byla napsána tato slova :"
"pulled","pull","vytáhl","vytáhnout","pf"," As soon as he was dressed, he put his hands in his pockets and pulled out a little leather purse on which were written the following words :"," Sotva se oblékl, bezděčně si strčil ruce do kapes a vytáhl malou slonovinovou peněženku, na které byla napsána tato slova :"
"written","write","napsána","napsat","pf"," As soon as he was dressed, he put his hands in his pockets and pulled out a little leather purse on which were written the following words :"," Sotva se oblékl, bezděčně si strčil ruce do kapes a vytáhl malou slonovinovou peněženku, na které byla napsána tato slova :"
"come","come","přijdeme","přijít","pf"," We 'll come once in a while, as in the past, to pay a visit to this henhouse, and we 'll take away eight chickens."," "" Jednou týdně si tak jako dřív v noci přijdeme sem do kurníku pro osm slepic."
"see","see","vidět","vidět","impf"," But they were disappointed, for the Dog and Pinocchio raised so much dust on the road that, after a few moments, it was impossible to see them."," Ale zvědavost ukojit nemohli, protože hlídací pes a Pinocchio zvířili na cestě takový oblak prachu, že za chvíli nebylo vůbec nic vidět."
"come","come","přišel","přijít","pf"," It was the Innkeeper who had come to tell him that midnight had struck."," Hostinský mu přišel říct, že už odbila půlnoc."
"tell","tell","říct","říci","pf"," It was the Innkeeper who had come to tell him that midnight had struck."," Hostinský mu přišel říct, že už odbila půlnoc."
"asked","ask","zeptal","zeptat","pf"," "" Are my friends ready? "" the Marionette asked him."," "" A co moji kamarádi, už jsou připraveni? "" zeptal se ho panáček."
"went","go","odešli","odejít","pf"," They went two hours ago. """," Ti odešli už před dvěma hodinami. """
"received","receive","dostal","dostat","pf"," "" Unfortunately the Cat received a telegram which said that his first-born was suffering from chilblains and was on the point of death."," "" Kocour dostal vzkaz, že jeho nejstaršímu koťátku omrzly nožičky a jeho život visí na vlásku. """
"pay","pay","zaplatili","zaplatit","pf"," "" Did they pay for the supper? """," "" A za večeři zaplatili? """
"answered","answer","odpověděl","odpovědět","pf"," "" I think as you do, "" answered the Marionette, laughing."," "" Souhlasím s vámi, "" odpověděl panáček se smíchem."
"ran","run","utíkal","utíkat","impf"," In desperation, he ran to the city and went straight to the courthouse to report the robbery to the magistrate."," Celý zoufalý utíkal zpátky do města a běžel rovnou k soudu, aby podal žalobu na ty dva lumpy, co ho okradli."
"ran","run","běžel","běžet","impf"," In desperation, he ran to the city and went straight to the courthouse to report the robbery to the magistrate."," Celý zoufalý utíkal zpátky do města a běžel rovnou k soudu, aby podal žalobu na ty dva lumpy, co ho okradli."
"laughing","laugh","Směju","smát","impf"," "" I am laughing at those simpletons who believe everything they hear and who allow themselves to be caught so easily in the traps set for them. """," "" Směju se trumberům, kteří uvěří každé hlouposti a sednou na lep každému, kdo je mazanější než oni. """
"believe","believe","uvěří","uvěřit","pf"," "" I am laughing at those simpletons who believe everything they hear and who allow themselves to be caught so easily in the traps set for them. """," "" Směju se trumberům, kteří uvěří každé hlouposti a sednou na lep každému, kdo je mazanější než oni. """
"mean","mean","myslíš","myslet","impf"," "" I certainly do mean you, poor Pinocchio - you who are such a little silly as to believe that gold can be sown in a field just like beans or squash."," "" Ano, mluvím o tobě, chudáčku Pinocchio, ty jsi takový jelimánek, že si myslíš, že se peníze dají vysévat a sklízet na poli jako fazole nebo tykve."
"believe","believe","myslíš","myslet","impf"," "" I certainly do mean you, poor Pinocchio - you who are such a little silly as to believe that gold can be sown in a field just like beans or squash."," "" Ano, mluvím o tobě, chudáčku Pinocchio, ty jsi takový jelimánek, že si myslíš, že se peníze dají vysévat a sklízet na poli jako fazole nebo tykve."
"believed","believe","myslel","myslet","impf"," I, too, believed that once and today I am very sorry for it."," Já jsem si to kdysi myslel také, a dnes za to pykám."
"answered","answer","odpověděl","odpovědět","pf"," "" You may be right, "" answered Pinocchio, "" but I will not eat the pears if they are not peeled."," "" Určitě máte pravdu, "" odpověděl Pinocchio, "" ale já nikdy nesním neoloupané ovoce."
"eat","eat","nesním","sníst","pf"," "" You may be right, "" answered Pinocchio, "" but I will not eat the pears if they are not peeled."," "" Určitě máte pravdu, "" odpověděl Pinocchio, "" ale já nikdy nesním neoloupané ovoce."
"peeled","peel","oloupal","oloupat","pf"," And good old Geppetto took out a knife, peeled the three pears, and put the skins in a row on the table."," A tak ten dobrák Geppetto vytáhl nůž a se svatou trpělivostí všechny tři hrušky oloupal a slupky položil na roh stolu."
"put","put","položil","položit","pf"," And good old Geppetto took out a knife, peeled the three pears, and put the skins in a row on the table."," A tak ten dobrák Geppetto vytáhl nůž a se svatou trpělivostí všechny tři hrušky oloupal a slupky položil na roh stolu."
"throw","throw","vyhodit","vyhodit","pf"," Pinocchio ate one pear in a twinkling and started to throw the core away, but Geppetto held his arm."," Pinocchio dvěma hlty spořádal první hrušku a už se chystal vyhodit ohryzek, ale Geppetto ho zarazil a řekl mu :"
"make","make","dělat","dělat","impf"," Of these, seven are for us, and one for you, provided, of course, that you will make believe you are sleeping and will not bark for the Farmer. """," Z těch osmi slepic jich sedm sežereme my a jednu dáme tobě, ovšem pod podmínkou - to se rozumí -, že budeš dělat, že spíš, a nikdy tě ani nenapadne zaštěkat a vzbudit hospodáře. """
"Did","do","dělal","dělat","impf"," "" Did Melampo really do that? "" asked Pinocchio."," "" Přesně takhle to dělal Melampus? "" zeptal se Pinocchio."
"do","do","dělal","dělat","impf"," "" Did Melampo really do that? "" asked Pinocchio."," "" Přesně takhle to dělal Melampus? "" zeptal se Pinocchio."
"asked","ask","zeptal","zeptat","pf"," "" Did Melampo really do that? "" asked Pinocchio."," "" Přesně takhle to dělal Melampus? "" zeptal se Pinocchio."
"did","do","Dělal","dělat","impf"," "" Indeed he did, and because of that we were the best of friends."," "" Dělal to tak, a vždycky jsme se dohodli k oboustranné spokojenosti."
"Sleep","sleep","spát","spát","impf"," Sleep away peacefully, and remember that before we go we shall leave you a nice fat chicken all ready for your breakfast in the morning."," Klidně běž spát a můžeš si být jistý, že než odsud odejdeme, necháme ti na boudě pěkně oškubanou slepici na zítřejší snídani."
"go","go","odejdeme","odejít","pf"," Sleep away peacefully, and remember that before we go we shall leave you a nice fat chicken all ready for your breakfast in the morning."," Klidně běž spát a můžeš si být jistý, že než odsud odejdeme, necháme ti na boudě pěkně oškubanou slepici na zítřejší snídani."
"leave","leave","odejdeme","odejít","pf"," Sleep away peacefully, and remember that before we go we shall leave you a nice fat chicken all ready for your breakfast in the morning."," Klidně běž spát a můžeš si být jistý, že než odsud odejdeme, necháme ti na boudě pěkně oškubanou slepici na zítřejší snídani."
"leave","leave","necháme","nechat","pf"," Sleep away peacefully, and remember that before we go we shall leave you a nice fat chicken all ready for your breakfast in the morning."," Klidně běž spát a můžeš si být jistý, že než odsud odejdeme, necháme ti na boudě pěkně oškubanou slepici na zítřejší snídani."
"understood","understand","Rozuměli","rozumět","impf"," Is that understood? """," Rozuměli jsme si? """
"came","come","přišel","přijít","pf"," The day came at last when Pinocchio 's master was able to announce an extraordinary performance."," Konečně přišel den, kdy mohl jeho pán ohlásit vskutku podivuhodné představení."
"announce","announce","ohlásit","ohlásit","pf"," The day came at last when Pinocchio 's master was able to announce an extraordinary performance."," Konečně přišel den, kdy mohl jeho pán ohlásit vskutku podivuhodné představení."
"lose","lose","ztrácet","ztrácet","impf"," "" Then, my dear Father, "" said Pinocchio, "" there is no time to lose."," "" V tom případě, tatínku, nesmíme ztrácet čas."
"read","read","Přečetl","přečíst","pf"," "" I 'd like to read, but somehow I ca n't today. """," "" Přečetl bych si to moc rád, ale zrovna dneska neumím číst. """
"read","read","číst","číst","impf"," "" I 'd like to read, but somehow I ca n't today. """," "" Přečetl bych si to moc rád, ale zrovna dneska neumím číst. """
"read","read","přečtu","přečíst","pf"," Then I 'll read it to you."," Tak ti to tedy přečtu já."
"starting","start","začíná","začínat","impf"," "" It is starting now. """," "" Právě to začíná. """
"started","start","začal","začít","pf"," When his legs were limbered up, Pinocchio started walking by himself and ran all around the room."," Když si Pinocchio nohy protáhl, začal chodit sám a běhal po světnici."
"walking","walk","chodit","chodit","impf"," When his legs were limbered up, Pinocchio started walking by himself and ran all around the room."," Když si Pinocchio nohy protáhl, začal chodit sám a běhal po světnici."
"ran","run","běhal","běhat","impf"," When his legs were limbered up, Pinocchio started walking by himself and ran all around the room."," Když si Pinocchio nohy protáhl, začal chodit sám a běhal po světnici."
"catch","catch","dohonit","dohonit","pf"," Poor Geppetto ran after him but was unable to catch him, for Pinocchio ran in leaps and bounds, his two wooden feet, as they beat on the stones of the street, making as much noise as twenty peasants in wooden shoes."," Chudák Geppetto se rozběhl za ním, ale nemohl ho dohonit, protože ten uličník Pinocchio hopkal jako zajíc a dřevěnýma nohama bouchal o dlažbu ulice tak silně, že dělal rámus jako dvacet párů sedláckých dřeváků."
"making","make","dělal","dělat","impf"," Poor Geppetto ran after him but was unable to catch him, for Pinocchio ran in leaps and bounds, his two wooden feet, as they beat on the stones of the street, making as much noise as twenty peasants in wooden shoes."," Chudák Geppetto se rozběhl za ním, ale nemohl ho dohonit, protože ten uličník Pinocchio hopkal jako zajíc a dřevěnýma nohama bouchal o dlažbu ulice tak silně, že dělal rámus jako dvacet párů sedláckých dřeváků."
"Catch","catch","Chyťte","chytit","pf"," "" Catch him!"," "" Chyťte ho!"
"insult","insult","neurážejte","urážet","impf"," "" Geppetto, do not insult me or I shall call you Polendina. """," "" Geppetto, neurážejte mě, jinak vám řeknu Kukuřičko! """
"said","say","řekla","říci","pf"," "" Here it is, "" said the Fairy, taking a lump from a golden sugar bowl."," "" Tady, "" řekla víla a vyndala ji ze zlaté cukřenky."
"taking","take","vyndala","vyndat","pf"," "" Here it is, "" said the Fairy, taking a lump from a golden sugar bowl."," "" Tady, "" řekla víla a vyndala ji ze zlaté cukřenky."
"want","want","chci","chtít","impf"," "" I want the sugar first, then I 'll drink the bitter water. """," "" Nejdřív chci cukrovou kuličku a potom vypiju tu ošklivou hořkou medicínu ... """
"drink","drink","vypiju","vypít","pf"," "" I want the sugar first, then I 'll drink the bitter water. """," "" Nejdřív chci cukrovou kuličku a potom vypiju tu ošklivou hořkou medicínu ... """
"promise","promise","Slibuješ","slibovat","impf"," "" Do you promise? """," "" Slibuješ? """
"gave","give","podala","podat","pf"," The Fairy gave him the sugar and Pinocchio, after chewing and swallowing it in a twinkling, said, smacking his lips :"," Víla mu podala kuličku, Pinocchio ji okamžitě rozkousl a spolkl, pak si olízl rty a řekl :"
"swallowing","swallow","spolkl","spolknout","pf"," The Fairy gave him the sugar and Pinocchio, after chewing and swallowing it in a twinkling, said, smacking his lips :"," Víla mu podala kuličku, Pinocchio ji okamžitě rozkousl a spolkl, pak si olízl rty a řekl :"
"said","say","řekl","říci","pf"," The Fairy gave him the sugar and Pinocchio, after chewing and swallowing it in a twinkling, said, smacking his lips :"," Víla mu podala kuličku, Pinocchio ji okamžitě rozkousl a spolkl, pak si olízl rty a řekl :"
"take","take","užíval","užívat","impf"," I should take it every day. """," To bych tu medicínu užíval každý den. """
"closed","close","Zavřel","zavřít","pf"," He closed his eyes, opened his mouth, stretched out his legs, and hung there, as if he were dead."," Zavřel oči, otevřel pusu, natáhl nohy, prudce sebou škubl a celý ztuhl."
"opened","open","otevřel","otevřít","pf"," He closed his eyes, opened his mouth, stretched out his legs, and hung there, as if he were dead."," Zavřel oči, otevřel pusu, natáhl nohy, prudce sebou škubl a celý ztuhl."
"stretched","stretch","natáhl","natáhnout","pf"," He closed his eyes, opened his mouth, stretched out his legs, and hung there, as if he were dead."," Zavřel oči, otevřel pusu, natáhl nohy, prudce sebou škubl a celý ztuhl."
"sends","send","pošle","poslat","pf"," The Lovely Maiden with Azure Hair sends for the poor Marionette, puts him to bed, and calls three Doctors to tell her if Pinocchio is dead or alive"," Krásná Modrovláska pošle pro panáčka, položí ho na postel a zavolá tři doktory, aby zjistili, jestli je živý, nebo mrtvý"
"puts","put","položí","položit","pf"," The Lovely Maiden with Azure Hair sends for the poor Marionette, puts him to bed, and calls three Doctors to tell her if Pinocchio is dead or alive"," Krásná Modrovláska pošle pro panáčka, položí ho na postel a zavolá tři doktory, aby zjistili, jestli je živý, nebo mrtvý"
"calls","call","zavolá","zavolat","pf"," The Lovely Maiden with Azure Hair sends for the poor Marionette, puts him to bed, and calls three Doctors to tell her if Pinocchio is dead or alive"," Krásná Modrovláska pošle pro panáčka, položí ho na postel a zavolá tři doktory, aby zjistili, jestli je živý, nebo mrtvý"
"tell","tell","zjistili","zjistit","pf"," The Lovely Maiden with Azure Hair sends for the poor Marionette, puts him to bed, and calls three Doctors to tell her if Pinocchio is dead or alive"," Krásná Modrovláska pošle pro panáčka, položí ho na postel a zavolá tři doktory, aby zjistili, jestli je živý, nebo mrtvý"
"paid","pay","zaplatil","zaplatit","pf"," Pinocchio paid a gold piece for the three suppers and started on his way toward the field that was to make him a rich man."," Pinocchio zaplatil jeden zlaťák za sebe a za večeři svých kamarádů a potom se vydal na cestu."
"walked","walk","šel","jít","impf"," He walked on, not knowing where he was going, for it was dark, so dark that not a thing was visible."," Ale dá se říct, že šel poslepu a tápal, protože venku byla černočerná tma a nebylo vidět na krok."
"going","go","šel","jít","impf"," He walked on, not knowing where he was going, for it was dark, so dark that not a thing was visible."," Ale dá se říct, že šel poslepu a tápal, protože venku byla černočerná tma a nebylo vidět na krok."
"stirred","stir","nepohnul","pohnout","pf"," Round about him, not a leaf stirred."," Nikde kolem se nepohnul ani lísteček."
"began","begin","přišel","přijít","pf"," As soon as he reached home, Geppetto took his tools and began to cut and shape the wood into a Marionette."," Sotva Geppetto přišel domů, hned se chopil náčiní a začal vyřezávat panáčka."
"took","take","chopil","chopit","pf"," As soon as he reached home, Geppetto took his tools and began to cut and shape the wood into a Marionette."," Sotva Geppetto přišel domů, hned se chopil náčiní a začal vyřezávat panáčka."
"began","begin","začal","začít","pf"," As soon as he reached home, Geppetto took his tools and began to cut and shape the wood into a Marionette."," Sotva Geppetto přišel domů, hned se chopil náčiní a začal vyřezávat panáčka."
"call","call","Pojmenuji","pojmenovat","pf"," "" I think I 'll call him PINOCCHIO."," "" Pojmenuji ho Pinocchio."
"deserving","deserve","zaslouží","zasloužit","pf"," He had said that the real poor in this world, deserving of our pity and help, were only those who, either through age or sickness, had lost the means of earning their bread with their own hands."," Opravdoví chudáci, kteří si zaslouží pomoc a slitování, jsou na tomto světě jen ti, kteří si kvůli stáří nebo nemoci nemohou na chleba vydělávat vlastníma rukama."
"earning","earn","zaslouží","zasloužit","pf"," He had said that the real poor in this world, deserving of our pity and help, were only those who, either through age or sickness, had lost the means of earning their bread with their own hands."," Opravdoví chudáci, kteří si zaslouží pomoc a slitování, jsou na tomto světě jen ti, kteří si kvůli stáří nebo nemoci nemohou na chleba vydělávat vlastníma rukama."
"earning","earn","vydělávat","vydělávat","impf"," He had said that the real poor in this world, deserving of our pity and help, were only those who, either through age or sickness, had lost the means of earning their bread with their own hands."," Opravdoví chudáci, kteří si zaslouží pomoc a slitování, jsou na tomto světě jen ti, kteří si kvůli stáří nebo nemoci nemohou na chleba vydělávat vlastníma rukama."
"work","work","pracovat","pracovat","impf"," All others should work, and if they did n't, and went hungry, so much the worse for them."," Všichni ostatní mají povinnost pracovat, a když nepracují a mají hlad, dobře jim tak."
"went","go","pracovat","pracovat","impf"," All others should work, and if they did n't, and went hungry, so much the worse for them."," Všichni ostatní mají povinnost pracovat, a když nepracují a mají hlad, dobře jim tak."
"work","work","nepracují","pracovat","impf"," All others should work, and if they did n't, and went hungry, so much the worse for them."," Všichni ostatní mají povinnost pracovat, a když nepracují a mají hlad, dobře jim tak."
"went","go","nepracují","pracovat","impf"," All others should work, and if they did n't, and went hungry, so much the worse for them."," Všichni ostatní mají povinnost pracovat, a když nepracují a mají hlad, dobře jim tak."
"go","go","půjdu","jít","impf"," "" To show you how grateful I am to you, Father, I 'll go to school now."," "" Abych se vám odvděčil za to, co jste pro mě udělal, "" řekl Pinocchio tatínkovi, "" půjdu hned do školy. """
"go","go","chodit","chodit","impf"," But to go to school I need a suit of clothes. """," "" Jenže abych mohl chodit do školy, potřebuji něco na sebe. """
"need","need","potřebuji","potřebovat","impf"," But to go to school I need a suit of clothes. """," "" Jenže abych mohl chodit do školy, potřebuji něco na sebe. """
"did","do","udělal","udělat","pf"," Geppetto did not have a penny in his pocket, so he made his son a little suit of flowered paper, a pair of shoes from the bark of a tree, and a tiny cap from a bit of dough."," Geppetto byl chudý a neměl v kapse ani vindru, a tak mu udělal šatičky z květovaného papíru, pár bot ze stromové kůry a čapku z chlebové střídky."
"made","make","udělal","udělat","pf"," Geppetto did not have a penny in his pocket, so he made his son a little suit of flowered paper, a pair of shoes from the bark of a tree, and a tiny cap from a bit of dough."," Geppetto byl chudý a neměl v kapse ani vindru, a tak mu udělal šatičky z květovaného papíru, pár bot ze stromové kůry a čapku z chlebové střídky."
"ran","run","běžel","běžet","impf"," Pinocchio ran to look at himself in a bowl of water, and he felt so happy that he said proudly :"," Pinocchio se na sebe hned běžel podívat do umyvadla s vodou a byl se sebou tak spokojený, že se začal naparovat :"
"look","look","podívat","podívat","pf"," Pinocchio ran to look at himself in a bowl of water, and he felt so happy that he said proudly :"," Pinocchio se na sebe hned běžel podívat do umyvadla s vodou a byl se sebou tak spokojený, že se začal naparovat :"
"promised","promise","slíbil","slíbit","pf"," I have promised my kind Fairy to become a good boy, and I want to keep my word."," Jednou jsem slíbil své dobré víle, že ze mě bude chlapec, jak se sluší a patří, a chci ten slib dodržet."
"want","want","chci","chtít","impf"," I have promised my kind Fairy to become a good boy, and I want to keep my word."," Jednou jsem slíbil své dobré víle, že ze mě bude chlapec, jak se sluší a patří, a chci ten slib dodržet."
"keep","keep","dodržet","dodržet","pf"," I have promised my kind Fairy to become a good boy, and I want to keep my word."," Jednou jsem slíbil své dobré víle, že ze mě bude chlapec, jak se sluší a patří, a chci ten slib dodržet."
"wants","want","přeje","přát","impf"," My good Fairy wants me to return home before night. """," Moje dobrá víla si přeje, abych se vrátil do setmění. """
"return","return","vrátil","vrátit","pf"," My good Fairy wants me to return home before night. """," Moje dobrá víla si přeje, abych se vrátil do setmění. """
"Wait","wait","Počkej","počkat","pf"," "" Wait two minutes more. """," "" Počkej ještě pár minut. """
"asked","ask","zeptal","zeptat","pf"," "" Where is the Field of Wonders? "" asked Pinocchio, growing tired of waiting."," "" A kde je Pole zázraků? "" zeptal se Pinocchio."
"awoke","awake","vzbudil","vzbudit","pf"," When I awoke they were gone and I started out in the darkness all alone."," Ale když jsem se vzbudil, oni už tam nebyli, jelikož už byli pryč."
