"nodded","nod","Přikývla","přikývnout","pf"," She nodded."," Přikývla."
"bring","bring","přinesu","přinést","pf"," "" Not even if I bring you some worms? """," "" A když přinesu žížaly? """
"remains","remain","zbývají","zbývat","impf"," So in the end all that remains is confusion and shame over events and actions whose authenticity is very questionable."," A tak zbývají nakonec jen rozpaky a stud nad událostmi a činy, jejichž autentičnost je sporná."
"experience","experience","prožít","prožít","pf"," She had to experience it herself."," Musela si to prožít sama."
"tidy","tidy","uklízet","uklízet","impf"," "" Why must I tidy the classroom to prepare for the cleaner? """," "" Proč musím uklízet třídu kvůli uklízečce? "" nechápala jindy."
"like","like","Nechci","chtít","impf"," Would n't I like to drop by some time?"," Nechci se někdy stavit?"
"ask","ask","Zeptám","zeptat","pf"," I ask her about a lamp - and she almost bursts a blood vessel."," Zeptám se na lustr - a málem si natrhne bránici."
"go","go","Pojedem","jet","impf"," "" We 'll go first thing in the morning, "" she said with eyes full of happy tears."," "" Pojedem hned ráno, "" řekla s očima plnýma veselých slz."
"said","say","řekla","říci","pf"," "" We 'll go first thing in the morning, "" she said with eyes full of happy tears."," "" Pojedem hned ráno, "" řekla s očima plnýma veselých slz."
"sleep","sleep","spát","spát","impf"," "" You can sleep here if you like. """," "" Můžeš spát klidně tady. """
"said","say","pravil","pravit","pf"," "" There 's a job I still have to do at home, "" I said in strangled tones."," "" Mám doma ještě nějakou práci, "" pravil jsem přiškrceně."
"call","call","říkám","říkat","impf"," Most likely out of excessive consideration for the reader - I call it the hospitality syndrome."," Patrně z přílišných ohledů na čtenáře - říkám tomu hostitelský syndrom."
"drink","drink","pít","pít","impf"," Have you all got something to drink?"," Máte všichni co pít?"
"laugh","laugh","smát","smát","impf"," Have you all got something to laugh at?"," Máte se všichni čemu smát?"
"entered","enter","vstoupil","vstoupit","pf"," When, after my third round of knocking, I received no audible response, I entered the room with the words May I come in?"," Když jsem se ani po třetím zaklepání nedočkal žádné slyšitelné výzvy, se slovy Mohu dál? jsem vstoupil."
"come","come","vstoupil","vstoupit","pf"," When, after my third round of knocking, I received no audible response, I entered the room with the words May I come in?"," Když jsem se ani po třetím zaklepání nedočkal žádné slyšitelné výzvy, se slovy Mohu dál? jsem vstoupil."
"refused","refuse","odmítla","odmítnout","pf"," Despite the fact that Beata refused to comment on the film version of Month on the River and regarded Silver Wind to be a painfully transparent fictionalisation of adolescence, they managed to talk on the topic for a full thirty minutes."," Navzdory tomu, že ztvárnění Měsíce nad řekou odmítla Beáta komentovat a že Stříbrný vítr považovala za trapně průhlednou beletrizaci adolescence, vydrželo jim dané téma plných třicet minut."
"regarded","regard","považovala","považovat","impf"," Despite the fact that Beata refused to comment on the film version of Month on the River and regarded Silver Wind to be a painfully transparent fictionalisation of adolescence, they managed to talk on the topic for a full thirty minutes."," Navzdory tomu, že ztvárnění Měsíce nad řekou odmítla Beáta komentovat a že Stříbrný vítr považovala za trapně průhlednou beletrizaci adolescence, vydrželo jim dané téma plných třicet minut."
"recalled","recall","vzpomněl","vzpomenout","pf"," Oskar, to my amazement, even recalled the word impressionism, though Beata indulgently explained to him that it was no more than a torn canvas that Sramek used to throw across the bare theses of his themes in a naive attempt to mask them."," Oskar si k mému úžasu vzpomněl i na slovo impresionismus, ale Beáta mu shovívavě vysvětlila, že je to jen potrhaná maskovací celta, kterou Šrámek naivně přehazoval přes holé teze svých syžetů."
"explained","explain","vysvětlila","vysvětlit","pf"," Oskar, to my amazement, even recalled the word impressionism, though Beata indulgently explained to him that it was no more than a torn canvas that Sramek used to throw across the bare theses of his themes in a naive attempt to mask them."," Oskar si k mému úžasu vzpomněl i na slovo impresionismus, ale Beáta mu shovívavě vysvětlila, že je to jen potrhaná maskovací celta, kterou Šrámek naivně přehazoval přes holé teze svých syžetů."
"consoled","console","utěšoval","utěšovat","impf"," It 'll make a great story, I consoled myself wearily."," Ještě z toho bude prima historka, utěšoval jsem se unaveně."
"said","say","řekl","říci","pf"," "" Hey, "" I said, "" ca n't we put the radio on, at least? """," "" Hele, "" řekl jsem, "" nemůžeme pustit aspoň rádio? """
"put","put","řekl","říci","pf"," "" Hey, "" I said, "" ca n't we put the radio on, at least? """," "" Hele, "" řekl jsem, "" nemůžeme pustit aspoň rádio? """
"lost","lose","ztratí","ztratit","pf"," I was more or less resigned to the fact that every one of my remarks would be lost without trace in that tenebrous space."," Víceméně jsem se už smířil s tím, že každá moje replika se bez užitku ztratí v potemnělém prostoru."
"sent","send","poslal","poslat","pf"," The second - and last - letter that Kral sent me arrived at the beginning of July ( at first I considered antedating the arrival of the letter for better effect, in order to have it arrive a year and a day later like in the fairy stories, but later it struck me as taking poetic licence a bit far, and I abandoned the idea ). The tone of the letter was affable and spontaneous."," Druhý a zároveň poslední dopis, který mi Král kdy poslal, přišel začátkem července ( původně jsem přemýšlel, jestli bych pro větší účinek neměl doručení jeho dopisu antedatovat, abych přesněji naplnil ono pohádkové když se rok s rokem sešel, ale později mi to přišlo přece jen příliš svévolné a tak jsem od tohoto nápadu zase upustil )."
"arrived","arrive","přišel","přijít","pf"," The second - and last - letter that Kral sent me arrived at the beginning of July ( at first I considered antedating the arrival of the letter for better effect, in order to have it arrive a year and a day later like in the fairy stories, but later it struck me as taking poetic licence a bit far, and I abandoned the idea ). The tone of the letter was affable and spontaneous."," Druhý a zároveň poslední dopis, který mi Král kdy poslal, přišel začátkem července ( původně jsem přemýšlel, jestli bych pro větší účinek neměl doručení jeho dopisu antedatovat, abych přesněji naplnil ono pohádkové když se rok s rokem sešel, ale později mi to přišlo přece jen příliš svévolné a tak jsem od tohoto nápadu zase upustil )."
"arrive","arrive","přišel","přijít","pf"," The second - and last - letter that Kral sent me arrived at the beginning of July ( at first I considered antedating the arrival of the letter for better effect, in order to have it arrive a year and a day later like in the fairy stories, but later it struck me as taking poetic licence a bit far, and I abandoned the idea ). The tone of the letter was affable and spontaneous."," Druhý a zároveň poslední dopis, který mi Král kdy poslal, přišel začátkem července ( původně jsem přemýšlel, jestli bych pro větší účinek neměl doručení jeho dopisu antedatovat, abych přesněji naplnil ono pohádkové když se rok s rokem sešel, ale později mi to přišlo přece jen příliš svévolné a tak jsem od tohoto nápadu zase upustil )."
"considered","consider","přemýšlel","přemýšlet","impf"," The second - and last - letter that Kral sent me arrived at the beginning of July ( at first I considered antedating the arrival of the letter for better effect, in order to have it arrive a year and a day later like in the fairy stories, but later it struck me as taking poetic licence a bit far, and I abandoned the idea ). The tone of the letter was affable and spontaneous."," Druhý a zároveň poslední dopis, který mi Král kdy poslal, přišel začátkem července ( původně jsem přemýšlel, jestli bych pro větší účinek neměl doručení jeho dopisu antedatovat, abych přesněji naplnil ono pohádkové když se rok s rokem sešel, ale později mi to přišlo přece jen příliš svévolné a tak jsem od tohoto nápadu zase upustil )."
"arrived","arrive","přišlo","přijít","pf"," The second - and last - letter that Kral sent me arrived at the beginning of July ( at first I considered antedating the arrival of the letter for better effect, in order to have it arrive a year and a day later like in the fairy stories, but later it struck me as taking poetic licence a bit far, and I abandoned the idea ). The tone of the letter was affable and spontaneous."," Druhý a zároveň poslední dopis, který mi Král kdy poslal, přišel začátkem července ( původně jsem přemýšlel, jestli bych pro větší účinek neměl doručení jeho dopisu antedatovat, abych přesněji naplnil ono pohádkové když se rok s rokem sešel, ale později mi to přišlo přece jen příliš svévolné a tak jsem od tohoto nápadu zase upustil )."
"arrive","arrive","přišlo","přijít","pf"," The second - and last - letter that Kral sent me arrived at the beginning of July ( at first I considered antedating the arrival of the letter for better effect, in order to have it arrive a year and a day later like in the fairy stories, but later it struck me as taking poetic licence a bit far, and I abandoned the idea ). The tone of the letter was affable and spontaneous."," Druhý a zároveň poslední dopis, který mi Král kdy poslal, přišel začátkem července ( původně jsem přemýšlel, jestli bych pro větší účinek neměl doručení jeho dopisu antedatovat, abych přesněji naplnil ono pohádkové když se rok s rokem sešel, ale později mi to přišlo přece jen příliš svévolné a tak jsem od tohoto nápadu zase upustil )."
"abandoned","abandon","upustil","upustit","pf"," The second - and last - letter that Kral sent me arrived at the beginning of July ( at first I considered antedating the arrival of the letter for better effect, in order to have it arrive a year and a day later like in the fairy stories, but later it struck me as taking poetic licence a bit far, and I abandoned the idea ). The tone of the letter was affable and spontaneous."," Druhý a zároveň poslední dopis, který mi Král kdy poslal, přišel začátkem července ( původně jsem přemýšlel, jestli bych pro větší účinek neměl doručení jeho dopisu antedatovat, abych přesněji naplnil ono pohádkové když se rok s rokem sešel, ale později mi to přišlo přece jen příliš svévolné a tak jsem od tohoto nápadu zase upustil )."
"transformed","transform","proměnilo","proměnit","pf"," The repetition of that name transformed my superiority into a hot-air balloon soaring above the heads of my colleagues."," Opětovné vyslovení toho jména proměnilo mou převahu v horkovzdušný balón, v němž jsem se vznesl vysoko nad hlavy kolegů."
"took","take","odebrali","odebrat","pf"," Just before nine o'clock we took ourselves off to the staff meeting room for the beginning-of-term briefing."," Před devátou jsme se odebrali do sborovny na zahajovací schůzi."
"sent","send","zaslal","zaslat","pf"," So that afternoon I drafted a rather emotively tinged complaint ( ... in the hands of the Principal, Mr Naskocil, the apportioning of personal bonuses and premiums is increasingly becoming a tool for settling scores with his opponents ... ), which I sent by registered mail to Dr Jiri Najmon, D.Ed., Director of the Education Department for Prague 5. I quote verbatim from his reply :"," Odpoledne jsem proto sepsal poněkud emotivně zabarvenou stížnost ( ... rozdělování osobních odměn a příplatků se v rukou ředitele Naskočila stává stále častěji nástrojem, s jehož pomocí si vyřizuje spory s oponenty ... ), kterou jsem doporučeně zaslal PaedDr. Jiřímu Najmonovi, řediteli Školského úřadu Praha S, Na Valentince 5."
"expressed","express","vyjádřila","vyjádřit","pf"," She then appealed to all pedagogues present not to neglect in their teaching the development of the emotional component of our pupils, and expressed the view that the best medium for developing the emotional component was beautiful music, and best of all the music which pupils were able to hear at the well-loved educational concerts."," Poté všechny přítomné pedagogy vyzvala, aby při výuce nezapomínali na rozvoj citové složky našeho žactva, a vyjádřila domněnku, že nejlepším prostředkem, jak citovou složku rozvíjet, je krásná hudba, nejlépe ta, kterou mohou žáci slyšet na oblíbených výchovných koncertech."
"developing","develop","rozvíjet","rozvíjet","impf"," She then appealed to all pedagogues present not to neglect in their teaching the development of the emotional component of our pupils, and expressed the view that the best medium for developing the emotional component was beautiful music, and best of all the music which pupils were able to hear at the well-loved educational concerts."," Poté všechny přítomné pedagogy vyzvala, aby při výuce nezapomínali na rozvoj citové složky našeho žactva, a vyjádřila domněnku, že nejlepším prostředkem, jak citovou složku rozvíjet, je krásná hudba, nejlépe ta, kterou mohou žáci slyšet na oblíbených výchovných koncertech."
"hear","hear","slyšet","slyšet","impf"," She then appealed to all pedagogues present not to neglect in their teaching the development of the emotional component of our pupils, and expressed the view that the best medium for developing the emotional component was beautiful music, and best of all the music which pupils were able to hear at the well-loved educational concerts."," Poté všechny přítomné pedagogy vyzvala, aby při výuce nezapomínali na rozvoj citové složky našeho žactva, a vyjádřila domněnku, že nejlepším prostředkem, jak citovou složku rozvíjet, je krásná hudba, nejlépe ta, kterou mohou žáci slyšet na oblíbených výchovných koncertech."
"met","meet","nesetkalo","setkat","pf"," Her comments met with little understanding, however."," Její vystoupení se nicméně nesetkalo s velkým porozuměním."
"ran","run","vedla","vést","impf"," An extension cord ran back through the open door into the murky depths of the front hall."," Prodlužovací šňůra vedla otevřenými dveřmi kamsi do stinných útrob vstupní haly."
"see","see","neviděl","vidět","impf"," "" Hi there! "" Kral boomed out from inside, but I could n't see him in that darkness."," "" Nazdárek! "" zahlaholil odtamtud Král, ale v té tmě jsem ho neviděl."
"called","call","zavolal","zavolat","pf"," "" Good morning, "" I called nonetheless."," "" Dobrý den, "" zavolal jsem nicméně."
"heard","hear","slyšet","slyšet","impf"," He could be heard going upstairs somewhere."," Bylo slyšet, jak stoupá kamsi do patra."
"published","publish","vyšla","vyjít","pf"," The book had been published in 1983, and she unfortunately failed to notice that the exercise which she gave the children contained, among other things, several members of the Central Committee of the Communist Party of Czechoslovakia, one rally of the People 's Militia and one Soviet ice-breaker Krasin."," Kniha vyšla v roce 1983 a ona naneštěstí přehlédla, že cvičení, která dětem ukládá, obsahují mimo jiné i několik členů ústředního výboru Komunistické strany Československa, jedno shromáždění Lidových milicionářů a jeden sovětský ledoborec Krasin."
"contained","contain","obsahují","obsahovat","impf"," The book had been published in 1983, and she unfortunately failed to notice that the exercise which she gave the children contained, among other things, several members of the Central Committee of the Communist Party of Czechoslovakia, one rally of the People 's Militia and one Soviet ice-breaker Krasin."," Kniha vyšla v roce 1983 a ona naneštěstí přehlédla, že cvičení, která dětem ukládá, obsahují mimo jiné i několik členů ústředního výboru Komunistické strany Československa, jedno shromáždění Lidových milicionářů a jeden sovětský ledoborec Krasin."
"handed","hand","předal","předat","pf"," When Jirik had had a good laugh, he handed me the familiar white envelope : apart from five one-thousand-crown notes, it also contained a brief letter from Kral apologising for not having managed to say goodbye to me and informing me both about the date of their expected flight home and about his firm conviction that I was coping truly excellently."," Když se Jiřík dosyta vysmál, předal mi známou bílou obálku : kromě pěti tisícikorunových bankovek obsahovala ještě krátký Králův dopis, ve kterém se omlouval, že se nestihl rozloučit, a zároveň mne informoval jak o datu předpokládaného příletu, tak i o svém pevném přesvědčení, že mi to jde vážně výborně."
"contained","contain","obsahovala","obsahovat","impf"," When Jirik had had a good laugh, he handed me the familiar white envelope : apart from five one-thousand-crown notes, it also contained a brief letter from Kral apologising for not having managed to say goodbye to me and informing me both about the date of their expected flight home and about his firm conviction that I was coping truly excellently."," Když se Jiřík dosyta vysmál, předal mi známou bílou obálku : kromě pěti tisícikorunových bankovek obsahovala ještě krátký Králův dopis, ve kterém se omlouval, že se nestihl rozloučit, a zároveň mne informoval jak o datu předpokládaného příletu, tak i o svém pevném přesvědčení, že mi to jde vážně výborně."
"apologising","apologise","omlouval","omlouvat","impf"," When Jirik had had a good laugh, he handed me the familiar white envelope : apart from five one-thousand-crown notes, it also contained a brief letter from Kral apologising for not having managed to say goodbye to me and informing me both about the date of their expected flight home and about his firm conviction that I was coping truly excellently."," Když se Jiřík dosyta vysmál, předal mi známou bílou obálku : kromě pěti tisícikorunových bankovek obsahovala ještě krátký Králův dopis, ve kterém se omlouval, že se nestihl rozloučit, a zároveň mne informoval jak o datu předpokládaného příletu, tak i o svém pevném přesvědčení, že mi to jde vážně výborně."
"lie","lie","Nelžu","lhát","impf"," I tell no lie."," Nelžu."
"looked","look","Pohlédl","pohlédnout","pf"," He looked at one of the girls."," Pohlédl na jednu z holek."
"sound","sound","znít","znít","impf"," My original thought was that in the given context my question would sound resolute, nay worldly, but Kral 's expression gave me to understand that my inquiry was simply rather silly."," Měl jsem původně pocit, že v daném kontextu bude má otázka znít odhodlaně, ne - li do konce světácky, ale z Králova obličeje jsem pochopil, že se ptám víceméně hloupě."
"understand","understand","pochopil","pochopit","pf"," My original thought was that in the given context my question would sound resolute, nay worldly, but Kral 's expression gave me to understand that my inquiry was simply rather silly."," Měl jsem původně pocit, že v daném kontextu bude má otázka znít odhodlaně, ne - li do konce světácky, ale z Králova obličeje jsem pochopil, že se ptám víceméně hloupě."
"go","go","odejde","odejít","pf"," He might go off to the Alps, or he might try returning to his studies."," Možná odejde vysoko do hor, možná zkusí ještě studovat."
"try","try","zkusí","zkusit","pf"," He might go off to the Alps, or he might try returning to his studies."," Možná odejde vysoko do hor, možná zkusí ještě studovat."
"telling","tell","říkal","říkat","impf"," At the moment he was telling her this he was n't touching the wheel at all;"," Ve chvíli, kdy to říkal, se už vůbec nedotýkal volantu;"
"touching","touch","nedotýkal","dotýkat","impf"," At the moment he was telling her this he was n't touching the wheel at all;"," Ve chvíli, kdy to říkal, se už vůbec nedotýkal volantu;"
"like","like","nelíbilo","líbit","impf"," "" Do n't you like Sramek 's Body? "" Beata assailed me."," "" Vám se Šrámkovo Tělo nelíbilo? "" zaútočila Beáta přímo."
"assailed","assail","zaútočila","zaútočit","pf"," "" Do n't you like Sramek 's Body? "" Beata assailed me."," "" Vám se Šrámkovo Tělo nelíbilo? "" zaútočila Beáta přímo."
"said","say","řekl","říci","pf"," "" No, "" I said."," "" Ne, "" řekl jsem."
"said","say","řekl","říci","pf"," Nothing at all really, "" I said."," Vůbec nic, "" řekl jsem."
"sitting","sit","sedí","sedět","impf"," "" Just a Zbraslav schoolmaster sitting on a bar-stool at midnight in a local brothel."," "" Jeden zbraslavský učitel jednoduše sedí o půlnoci u baru v jednom zbraslavském nevěstinci."
"thought","think","měla","mít","impf"," Trakarova would give me full marks, I thought to myself."," Trakařová by ze mě měla radost, pomyslil jsem si."
"thought","think","pomyslil","pomyslit","pf"," Trakarova would give me full marks, I thought to myself."," Trakařová by ze mě měla radost, pomyslil jsem si."
"take","take","berete","brát","impf"," "" You take your job too seriously. """," "" Příliš si to svý povolání berete. """
"said","say","řekl","říci","pf"," "" That 's not the right question, "" I said."," "" To není dobrá otázka, "" řekl jsem."
"said","say","řekl","říci","pf"," "" Who else does n't like Mozart? "" I said in their parlance."," "" Koho to ještě nebaví? "" řekl jsem jejich jazykem."
"listen","listen","poslouchejte","poslouchat","impf"," "" Fine - so you listen to what you do like. """," "" Dobrá - poslouchejte teda to, co vás baví. """
"believe","believe","Nevěřili","věřit","impf"," They could n't believe their ears."," Nevěřili vlastním uším."
"made","make","učinilo","učinit","pf"," My single populist nod made me the hero of the day."," Jediné populistické přikývnutí mne učinilo hrdinou dne."
"hurt","hurt","Ublížit","ublížit","pf"," To hurt my wife."," Ublížit manželce."
"hurt","hurt","Ublížit","ublížit","pf"," To hurt some of my former colleagues."," Ublížit některým bývalým kolegům."
"win","win","Získat","získat","pf"," To win another literary prize."," Získat další literární cenu."
"make","make","Vydělat","vydělat","pf"," To make some more money."," Vydělat další prachy."
"write","write","Napsat","napsat","pf"," To write a good novel."," Napsat dobrý román."
"gained","gain","získal","získat","pf"," I gained Agata 's forgiveness rather more easily : for a tub of banana ice cream bought at the candy store in the Zbraslavanka shopping centre that I had popped into to buy some refreshing Orbit chewing gum while on my way to the Krals '."," Agátino odpuštění jsem získal o poznání snadněji : za kelímek banánové zmrzliny zakoupené v cukrárně ve Zbraslavance, kam jsem cestou ke Králům původně zašel pro osvěžující žvýkačky Orbit."
"want","want","Nechci","chtít","impf"," "" I do n't want it, "" she said defiantly at first, of course."," "" Nechci, "" řekla ovšem zprvu vzdorně."
"said","say","řekla","říci","pf"," "" I do n't want it, "" she said defiantly at first, of course."," "" Nechci, "" řekla ovšem zprvu vzdorně."
"sitting","sit","Seděla","sedět","impf"," She was sitting on the edge of the swimming pool, dangling her legs in the bluish water."," Seděla na okraji bazénu, nohy spuštěné do modravé vody."
"reckon","reckon","Počítám","počítat","impf"," I reckon we 're about quits with the teachers, I said to myself. Anyway, we 're packing it in in a couple of days ' time, so why bother with thanks? """," Počítám, že jsme si s učitelama celkem kvit, říkal jsem si, za pár dní to stejně balíme, tak jakýpak děkování. """
"said","say","říkal","říkat","impf"," I reckon we 're about quits with the teachers, I said to myself. Anyway, we 're packing it in in a couple of days ' time, so why bother with thanks? """," Počítám, že jsme si s učitelama celkem kvit, říkal jsem si, za pár dní to stejně balíme, tak jakýpak děkování. """
"packing","pack","balíme","balit","impf"," I reckon we 're about quits with the teachers, I said to myself. Anyway, we 're packing it in in a couple of days ' time, so why bother with thanks? """," Počítám, že jsme si s učitelama celkem kvit, říkal jsem si, za pár dní to stejně balíme, tak jakýpak děkování. """
"caused","cause","vyvolala","vyvolat","pf"," The unprecedented unconventionality of this valedictory message caused a flurry of excitement amidst those historic surroundings - but happily also attracted rapt attention."," Dosud neslýchaná nekonvenčnost rozlučkového projevu vyvolala v historických prostorách poplašený rozruch - ale naštěstí také napjatou pozornost."
"read","read","četl","číst","impf"," "" But I could n't get it out of my head, "" Doubek read."," "" Jenže v hlavě mi to leželo pořád, "" četl Doubek."
"said","say","pravila","pravit","pf"," "" Oh, good morning, "" said my colleague Irenka."," "" Á, dobré ráno, "" pravila kolegyně Irenka."
"said","say","pravila","pravit","pf"," "" Good morning, "" said my colleague Liba."," "" Dobré ráno, "" pravila kolegyně Líba."
"said","say","pravila","pravit","pf"," "" Good morning, good morning! "" my colleague Lenka said."," "" Dobré ranko! "" pravila kolegyně Lenka."
"said","say","nepravila","pravit","pf"," Colleague Chvatalova-Sukova said nothing."," Kolegyně Chvátalová - Suková nepravila nic."
"gave","give","věnovala","věnovat","impf"," In lieu of a greeting, she gave me the sort of look a driver gives a squashed hedgehog."," Namísto pozdravu mi věnovala pohled, jímž si řidič na dálnici prohlíží přejetého ježka."
"gives","give","věnovala","věnovat","impf"," In lieu of a greeting, she gave me the sort of look a driver gives a squashed hedgehog."," Namísto pozdravu mi věnovala pohled, jímž si řidič na dálnici prohlíží přejetého ježka."
"resumed","resume","pokračovala","pokračovat","impf"," Her face then resumed its former worried expression, and she continued rummaging through the office cupboards."," Nato se do jejího výrazu vrátila původní starost a ona pokračovala v prohlídce kabinetních skříní."
"continued","continue","pokračovala","pokračovat","impf"," Her face then resumed its former worried expression, and she continued rummaging through the office cupboards."," Nato se do jejího výrazu vrátila původní starost a ona pokračovala v prohlídce kabinetních skříní."
"hear","hear","Neslyšel","slyšet","impf"," "" I did n't hear him reply. """," "" Neslyšel jsem, že by odpověděl. """
"reply","reply","odpověděl","odpovědět","pf"," "" I did n't hear him reply. """," "" Neslyšel jsem, že by odpověděl. """
"treated","treat","Jednala","jednat","impf"," She treated me as if I were a clerk in an information bureau in some boring provincial town."," Jednala se mnou jako s úředníkem informační kanceláře v naprosto nezajímavém okresním městě."
"hesitated","hesitate","Zaváhal","zaváhat","pf"," I hesitated."," Zaváhal jsem :"
"want","want","nepřejeme","přát","impf"," We do n't want any great upheaval."," My si nepřejeme žádný velký zlom."
"wanted","want","chtěl","chtít","impf"," Elbowing my way along the overcrowded corridors, I kept my eyes lowered, so I almost missed Doubek 's mother, whom I wanted to ask for advice on how finally to make her son finish the promised farewell speech - I tried explaining to her that the mere thought that I myself would once more have to draft the thanks to the teachers made me almost physically ill."," Prodíraje se přeplněnými chodbami, klopil jsem oči k zemi, takže jsem málem přehlédl paní Doubkovou, s níž jsem se chtěl poradit, jak konečně přimět jejího syna k dopsání slíbené rozlučkové řeči - snažil jsem se jí vysvětlit, jak už jen pouhá představa, že bych ono poděkování učitelům musel i letos psát já sám, je pro mne takřka fyzicky odpudivá."
"make","make","přimět","přimět","pf"," Elbowing my way along the overcrowded corridors, I kept my eyes lowered, so I almost missed Doubek 's mother, whom I wanted to ask for advice on how finally to make her son finish the promised farewell speech - I tried explaining to her that the mere thought that I myself would once more have to draft the thanks to the teachers made me almost physically ill."," Prodíraje se přeplněnými chodbami, klopil jsem oči k zemi, takže jsem málem přehlédl paní Doubkovou, s níž jsem se chtěl poradit, jak konečně přimět jejího syna k dopsání slíbené rozlučkové řeči - snažil jsem se jí vysvětlit, jak už jen pouhá představa, že bych ono poděkování učitelům musel i letos psát já sám, je pro mne takřka fyzicky odpudivá."
"made","make","přimět","přimět","pf"," Elbowing my way along the overcrowded corridors, I kept my eyes lowered, so I almost missed Doubek 's mother, whom I wanted to ask for advice on how finally to make her son finish the promised farewell speech - I tried explaining to her that the mere thought that I myself would once more have to draft the thanks to the teachers made me almost physically ill."," Prodíraje se přeplněnými chodbami, klopil jsem oči k zemi, takže jsem málem přehlédl paní Doubkovou, s níž jsem se chtěl poradit, jak konečně přimět jejího syna k dopsání slíbené rozlučkové řeči - snažil jsem se jí vysvětlit, jak už jen pouhá představa, že bych ono poděkování učitelům musel i letos psát já sám, je pro mne takřka fyzicky odpudivá."
"tried","try","snažil","snažit","impf"," Elbowing my way along the overcrowded corridors, I kept my eyes lowered, so I almost missed Doubek 's mother, whom I wanted to ask for advice on how finally to make her son finish the promised farewell speech - I tried explaining to her that the mere thought that I myself would once more have to draft the thanks to the teachers made me almost physically ill."," Prodíraje se přeplněnými chodbami, klopil jsem oči k zemi, takže jsem málem přehlédl paní Doubkovou, s níž jsem se chtěl poradit, jak konečně přimět jejího syna k dopsání slíbené rozlučkové řeči - snažil jsem se jí vysvětlit, jak už jen pouhá představa, že bych ono poděkování učitelům musel i letos psát já sám, je pro mne takřka fyzicky odpudivá."
"explaining","explain","vysvětlit","vysvětlit","pf"," Elbowing my way along the overcrowded corridors, I kept my eyes lowered, so I almost missed Doubek 's mother, whom I wanted to ask for advice on how finally to make her son finish the promised farewell speech - I tried explaining to her that the mere thought that I myself would once more have to draft the thanks to the teachers made me almost physically ill."," Prodíraje se přeplněnými chodbami, klopil jsem oči k zemi, takže jsem málem přehlédl paní Doubkovou, s níž jsem se chtěl poradit, jak konečně přimět jejího syna k dopsání slíbené rozlučkové řeči - snažil jsem se jí vysvětlit, jak už jen pouhá představa, že bych ono poděkování učitelům musel i letos psát já sám, je pro mne takřka fyzicky odpudivá."
"kept","keep","psát","psát","impf"," Elbowing my way along the overcrowded corridors, I kept my eyes lowered, so I almost missed Doubek 's mother, whom I wanted to ask for advice on how finally to make her son finish the promised farewell speech - I tried explaining to her that the mere thought that I myself would once more have to draft the thanks to the teachers made me almost physically ill."," Prodíraje se přeplněnými chodbami, klopil jsem oči k zemi, takže jsem málem přehlédl paní Doubkovou, s níž jsem se chtěl poradit, jak konečně přimět jejího syna k dopsání slíbené rozlučkové řeči - snažil jsem se jí vysvětlit, jak už jen pouhá představa, že bych ono poděkování učitelům musel i letos psát já sám, je pro mne takřka fyzicky odpudivá."
"counting","count","Nepočítám","počítat","impf"," Not counting the main break and occasional encounters in the canteen, the only times we met in school were when moving between our classrooms and offices."," Nepočítám - li velkou přestávku a občasná setkání v jídelně, potkávali jsme se ve škole jen během přecházení z kabinetů do tříd."
"met","meet","potkávali","potkávat","impf"," Not counting the main break and occasional encounters in the canteen, the only times we met in school were when moving between our classrooms and offices."," Nepočítám - li velkou přestávku a občasná setkání v jídelně, potkávali jsme se ve škole jen během přecházení z kabinetů do tříd."
"gave","give","dát","dát","pf"," I was mostly happy about this as it seemed to me that if we gave up entirely our national service vocabulary, we would be giving up something that was intrinsic to our friendship, which came about at a time when, in Oskar 's words, foxes ' holes were the only ones available on occasion."," Byl jsem tomu víceméně rád, neboť mi připadalo, že kdybychom se našeho vojenského slovníku zřekli úplně, museli bychom se zříci i čehosi velice podstatného pro naše přátelství, jež vznikalo v dobách, kdy - řečeno s Oskarem - nám občas byly ochotné dát jenom lišky."
"giving","give","dát","dát","pf"," I was mostly happy about this as it seemed to me that if we gave up entirely our national service vocabulary, we would be giving up something that was intrinsic to our friendship, which came about at a time when, in Oskar 's words, foxes ' holes were the only ones available on occasion."," Byl jsem tomu víceméně rád, neboť mi připadalo, že kdybychom se našeho vojenského slovníku zřekli úplně, museli bychom se zříci i čehosi velice podstatného pro naše přátelství, jež vznikalo v dobách, kdy - řečeno s Oskarem - nám občas byly ochotné dát jenom lišky."
"met","meet","potkali","potkat","pf"," But then we met Beata."," Jenomže potom jsme potkali Beátu."
"permitted","permit","dovolil","dovolit","pf"," Just two minutes after l broke the rules that rainy morning and permitted him to stop for that drenched girl hitch-hiker, / was already regretting my decision."," Už pár minut poté, co jsem mu onoho deštivého rána dovolil, aby navzdory předpisům té promoklé stopařce zastavil, jsem svého rozhodnutí litoval."
"regretting","regret","litoval","litovat","impf"," Just two minutes after l broke the rules that rainy morning and permitted him to stop for that drenched girl hitch-hiker, / was already regretting my decision."," Už pár minut poté, co jsem mu onoho deštivého rána dovolil, aby navzdory předpisům té promoklé stopařce zastavil, jsem svého rozhodnutí litoval."
"felt","feel","cítil","cítit","impf"," The only people I felt truly deep animosity towards that summer were cep gatherers."," Jestli jsem onoho léta cítil k někomu skutečně upřímnou nenávist, byli to houbaři."
