"hesitated","hesitate","zaváhal","zaváhat","pf"," Gatsby hesitated, then added coolly :"," Gatsby zaváhal a potom chladně dodal :"
"see","see","Vidím","vidět","impf"," T see you 're looking at my cuff buttons. '"," "" Vidím, že se mi díváte na knoflíčky u manžet. """
"see","see","díváte","dívat","impf"," T see you 're looking at my cuff buttons. '"," "" Vidím, že se mi díváte na knoflíčky u manžet. """
"looking","look","díváte","dívat","impf"," T see you 're looking at my cuff buttons. '"," "" Vidím, že se mi díváte na knoflíčky u manžet. """
"looking","look","Nedíval","dívat","impf"," I had n't been looking at them, but I did now."," Nedíval jsem se na ně, ale teď jsem se podíval."
"looking","look","podíval","podívat","pf"," I had n't been looking at them, but I did now."," Nedíval jsem se na ně, ale teď jsem se podíval."
"want","want","Nechtěl","chtít","impf"," I did n't want it to be in the papers and draw a sightseeing crowd, so I 'd been calling up a few people myself."," Nechtěl jsem to oznamovat v novinách a přilákat tak dav lačný podívané, a tak jsem telefonoval sám několika lidem."
"calling","call","telefonoval","telefonovat","impf"," I did n't want it to be in the papers and draw a sightseeing crowd, so I 'd been calling up a few people myself."," Nechtěl jsem to oznamovat v novinách a přilákat tak dav lačný podívané, a tak jsem telefonoval sám několika lidem."
"said","say","řekl","říci","pf"," ' The funeral 's to-morrow, ' I said."," "" Pohřeb je zítra, "" řekl jsem."
"tell","tell","řekl","říci","pf"," I wish you 'd tell anybody who 'd be interested. '"," Rád bych, abyste to řekl každému, kdo o to má zájem. """
"see","see","neuvidím","uvidět","pf"," ' Of course I 'm riot likely to see anybody, but if I do."," "" Já ovšem asi nikoho neuvidím, ale kdybych někoho viděl. """
"see","see","viděl","vidět","impf"," ' Of course I 'm riot likely to see anybody, but if I do."," "" Já ovšem asi nikoho neuvidím, ale kdybych někoho viděl. """
"came","come","Přišel","přijít","pf"," ' He came to us dead broke."," "" Přišel k nám, když byl úplně na mizině."
"call","call","Neříkejte","říkat","impf"," ' Do n't you call me "" old sport ""! ' cried Tom."," "" Neříkejte mi ' kamaráde '! "" vykřikl Tom."
"call","call","vykřikl","vykřiknout","pf"," ' Do n't you call me "" old sport ""! ' cried Tom."," "" Neříkejte mi ' kamaráde '! "" vykřikl Tom."
"cried","cry","vykřikl","vykřiknout","pf"," ' Do n't you call me "" old sport ""! ' cried Tom."," "" Neříkejte mi ' kamaráde '! "" vykřikl Tom."
"said","say","neřekl","říci","pf"," Gatsby said nothing."," Gatsby neřekl nic."
"turned","turn","Otočil","otočit","pf"," I turned toward Mr Gatsby, but he was no longer there."," Otočil jsem se na pana Gatsbyho, ale ten už tam nebyl."
"saw","see","neviděl","vidět","impf"," I never saw this great-uncle, but I 'm supposed to look like him - with special reference to the rather hard-boiled painting that hangs in father 's office."," Nikdy jsem tohoto prastrýce neviděl, ale říkají o mně, že jsem mu podoben - soudí tak zejména podle poněkud přísně se tvářícího portrétu, jenž visí v otcově kanceláři."
"hangs","hang","visí","viset","impf"," I never saw this great-uncle, but I 'm supposed to look like him - with special reference to the rather hard-boiled painting that hangs in father 's office."," Nikdy jsem tohoto prastrýce neviděl, ale říkají o mně, že jsem mu podoben - soudí tak zejména podle poněkud přísně se tvářícího portrétu, jenž visí v otcově kanceláři."
"participated","participate","zúčastnil","zúčastnit","pf"," I graduated from New Haven in 1915, just a quarter of a century after my father, and a little later I participated in that delayed Teutonic migration known as the Great War."," Skončil jsem studie v New Havenu roku 1915, právě čtvrt století po svém otci, a o něco později jsem se zúčastnil onoho opožděného teutonského stěhování národů známého pod jménem světová válka."
"enjoyed","enjoy","líbil","líbit","impf"," I enjoyed the counter-raid so thoroughly that I came back restless."," Náš protiútok se mi líbil do té míry, že když jsem přišel zpátky, neměl jsem stání."
"came","come","přišel","přijít","pf"," I enjoyed the counter-raid so thoroughly that I came back restless."," Náš protiútok se mi líbil do té míry, že když jsem přišel zpátky, neměl jsem stání."
"said","say","říkám","říkat","impf"," ' There 's sport for you, ' said Tom, nodding."," "" Tomu říkám sport, "" řekl Tom a zakýval hlavou."
"said","say","řekl","říci","pf"," ' There 's sport for you, ' said Tom, nodding."," "" Tomu říkám sport, "" řekl Tom a zakýval hlavou."
"do","do","dělat","dělat","impf"," ' What 'll we do with ourselves this afternoon? ' cried Daisy, ' and the day after that, and the next thirty years? '"," "" Co budeme dělat odpoledne? "" zvolala Daisy, "" a zítra a příštích třicet let? """
"cried","cry","zvolala","zvolat","pf"," ' What 'll we do with ourselves this afternoon? ' cried Daisy, ' and the day after that, and the next thirty years? '"," "" Co budeme dělat odpoledne? "" zvolala Daisy, "" a zítra a příštích třicet let? """
"said","say","řekla","říci","pf"," ' Do n't be morbid, ' Jordan said."," "" Nebuď morbidní, "" řekla Jordan."
"decided","decide","rozhodl","rozhodnout","pf"," Instead of being the warm centre of the world, the Middle West now seemed like the ragged edge of the universe - so I decided to go East and learn the bond business."," Místo aby byl Středozápad teplým koutkem v srdci světa, vypadal nyní jako rozervaný okraj vesmíru - a tak jsem se rozhodl jít na Východ a naučit se obchodovat s cennými papíry."
"go","go","jít","jít","impf"," Instead of being the warm centre of the world, the Middle West now seemed like the ragged edge of the universe - so I decided to go East and learn the bond business."," Místo aby byl Středozápad teplým koutkem v srdci světa, vypadal nyní jako rozervaný okraj vesmíru - a tak jsem se rozhodl jít na Východ a naučit se obchodovat s cennými papíry."
"learn","learn","naučit","naučit","pf"," Instead of being the warm centre of the world, the Middle West now seemed like the ragged edge of the universe - so I decided to go East and learn the bond business."," Místo aby byl Středozápad teplým koutkem v srdci světa, vypadal nyní jako rozervaný okraj vesmíru - a tak jsem se rozhodl jít na Východ a naučit se obchodovat s cennými papíry."
"supposed","suppose","domníval","domnívat","impf"," Everybody I knew was in the bond business, so I supposed it could support one more single man."," Obchodoval s nimi každý, koho jsem znal, a tak jsem se domníval, že jednoho svobodného mládence to ještě může uživit."
"support","support","uživit","uživit","pf"," Everybody I knew was in the bond business, so I supposed it could support one more single man."," Obchodoval s nimi každý, koho jsem znal, a tak jsem se domníval, že jednoho svobodného mládence to ještě může uživit."
"choosing","choose","vybírali","vybírat","impf"," All my aunts and uncles talked it over as if they were choosing a prep school for me, and finally said, ' Why - ye-es, ' with very grave, hesitant faces."," Všechny tety a strýcové o tom konali porady, jako by pro mne vybírali přípravku, ale konečně, tváříce se velmi vážně a zdráhavě, prohlásili, "" no vlastně - proč ne ""."
"said","say","prohlásili","prohlásit","pf"," All my aunts and uncles talked it over as if they were choosing a prep school for me, and finally said, ' Why - ye-es, ' with very grave, hesitant faces."," Všechny tety a strýcové o tom konali porady, jako by pro mne vybírali přípravku, ale konečně, tváříce se velmi vážně a zdráhavě, prohlásili, "" no vlastně - proč ne ""."
"nodded","nod","přikývl","přikývnout","pf"," First he nodded politely, and then his face broke into that radiant and understanding smile, as if we 'd been in ecstatic cahoots on that fact all the time."," Nejdřív zdvořile přikývl a potom se mu po tváři rozlil onen zářivý a chápavý úsměv, jako bychom byli v tomto bodu odjakživa nadšeně zajedno."
"came","come","přišel","přijít","pf"," His gorgeous pink rag of a suit made a bright spot of colour against the white steps, and I thought of the night when I first came to his ancestral home, three months before."," Oslnivá, nevkusná růžová látka jeho obleku svítila jako jasná barevná skvrna na pozadí bílých schodů a mně to připomnělo noc, kdy jsem před třemi měsíci přišel do jeho residence poprvé."
"said","say","řekl","říci","pf"," ' I 'd a little rather not be the polo player, ' said Tom pleasantly, ' I 'd rather look at all these famous people in - in oblivion. '"," "" Já bych skoro radši nebyl slavným hráčem póla, "" řekl Tom mile, "" radši bych se díval na všechny ty slavné lidi úplně - úplně inkognito. """
"look","look","díval","dívat","impf"," ' I 'd a little rather not be the polo player, ' said Tom pleasantly, ' I 'd rather look at all these famous people in - in oblivion. '"," "" Já bych skoro radši nebyl slavným hráčem póla, "" řekl Tom mile, "" radši bych se díval na všechny ty slavné lidi úplně - úplně inkognito. """
"danced","dance","tančili","tančit","impf"," Daisy and Gatsby danced."," Daisy a Gatsby tančili."
"remember","remember","Pamatuji","pamatovat","impf"," I remember being surprised by his graceful, conservative fox-trot - I had never seen him dance before."," Pamatuji se, jak mě překvapil jeho uhlazený, konservativní foxtrot - nikdy předtím jsem ho neviděl tančit."
"surprised","surprise","překvapil","překvapit","pf"," I remember being surprised by his graceful, conservative fox-trot - I had never seen him dance before."," Pamatuji se, jak mě překvapil jeho uhlazený, konservativní foxtrot - nikdy předtím jsem ho neviděl tančit."
"seen","see","neviděl","vidět","impf"," I remember being surprised by his graceful, conservative fox-trot - I had never seen him dance before."," Pamatuji se, jak mě překvapil jeho uhlazený, konservativní foxtrot - nikdy předtím jsem ho neviděl tančit."
"dance","dance","tančit","tančit","impf"," I remember being surprised by his graceful, conservative fox-trot - I had never seen him dance before."," Pamatuji se, jak mě překvapil jeho uhlazený, konservativní foxtrot - nikdy předtím jsem ho neviděl tančit."
"sat","sit","seděli","sedět","impf"," Then they sauntered over to my house and sat on the steps for half an hour, while at her request I remained watchfully in the garden."," Potom se odloudali k mému domu a seděli na schodech půl hodiny, zatímco já jsem na její žádost zůstal na stráži na zahradě."
"remained","remain","zůstal","zůstat","pf"," Then they sauntered over to my house and sat on the steps for half an hour, while at her request I remained watchfully in the garden."," Potom se odloudali k mému domu a seděli na schodech půl hodiny, zatímco já jsem na její žádost zůstal na stráži na zahradě."
"inquired","inquire","ptal","ptát","impf"," ' This? ' he inquired, holding it up."," "" Tohle? "" ptal se a vytáhl to."
"nodded","nod","přikývl","přikývnout","pf"," Wilson stared and nodded."," Wilson se na to upřeně zadíval a přikývl."
"found","find","našel","najít","pf"," ' I found it yesterday afternoon."," "" To jsem našel včera odpoledne."
"mean","mean","Chceš","chtít","impf"," ' You mean your wife bought it? '"," "" Chceš říct, že si to tvá žena koupila? """
"bought","buy","koupila","koupit","pf"," ' You mean your wife bought it? '"," "" Chceš říct, že si to tvá žena koupila? """
"see","see","neviděl","vidět","impf"," Michaelis did n't see anything odd in that, and he gave Wilson a dozen reasons why his wife might have bought the dog-leash."," Michaelis v tom neviděl nic podivného a uvedl Wilsonovi spoustu důvodů, proč si jeho žena mohla koupit řemen na psa."
"gave","give","uvedl","uvést","pf"," Michaelis did n't see anything odd in that, and he gave Wilson a dozen reasons why his wife might have bought the dog-leash."," Michaelis v tom neviděl nic podivného a uvedl Wilsonovi spoustu důvodů, proč si jeho žena mohla koupit řemen na psa."
"bought","buy","koupit","koupit","pf"," Michaelis did n't see anything odd in that, and he gave Wilson a dozen reasons why his wife might have bought the dog-leash."," Michaelis v tom neviděl nic podivného a uvedl Wilsonovi spoustu důvodů, proč si jeho žena mohla koupit řemen na psa."
"sitting","sit","seděla","sedět","impf"," His head leaned back so far that it rested against the face of a defunct mantelpiece clock, and from this position his distraught eyes stared down at Daisy, who was sitting, frightened but graceful, on the edge of a stiff chair."," Měl hlavu zvrácenu tak nazpět, že se opírala o ciferník starých krbových hodin, a jak tak stál, hleděl roztržitýma očima na Daisy, která seděla vyděšená, ale půvabná na okraji tvrdé židle."
"watched","watch","díval","dívat","impf"," At high tide in the afternoon I watched his guests diving from the tower of his raft, or taking the sun on the hot sand of his beach while his two motor-boats slit the waters of the Sound, drawing aquaplanes over cataracts of foam."," Za odpoledního přílivu jsem se díval, jak jeho hosté skáčou s věže jeho přístaviště nebo jak se sluní na horkém písku jeho pláže, a jeho dva motorové čluny, vlekoucí vodopádem pěny akvaplány, rozrážejí přitom vody Průlivu."
"added","add","dodal","dodat","pf"," After a pause he added ' sir ' in a dilatory, grudging way."," Odmlčel se a pak dodal váhavě a nevraživě "" pane ""."
"seen","see","neviděl","vidět","impf"," ' I had n't seen him around, and I was rather worried."," "" Už jsem ho dlouho neviděl a trochu mě to znepokojilo."
"Tell","tell","Řekněte","říci","pf"," Tell him Mr Carraway came over. '"," Řekněte mu, že se po něm ptal pan Carraway. """
"tell","tell","řeknu","říci","pf"," All right, I 'll tell him. '"," No dobře, řeknu mu to. """
"broken","break","přerušeno","přerušit","pf"," There was a long silence on the other end of the wire, followed by an exclamation ... then a quick squawk as the connection was broken."," Na druhé straně linky zavládlo mlčení a pak se ozval výkřik ... potom rychlé cvaknutí a spojení bylo přerušeno."
"think","think","Myslím","myslet","impf"," I think it was on the third day that a telegram signed Henry C. Gatz arrived from a town in Minnesota."," Myslím, že to bylo třetí den, kdy přišel telegram podepsaný Henry C. Gatz z nějakého města v Minnesotě."
"arrived","arrive","přišel","přijít","pf"," I think it was on the third day that a telegram signed Henry C. Gatz arrived from a town in Minnesota."," Myslím, že to bylo třetí den, kdy přišel telegram podepsaný Henry C. Gatz z nějakého města v Minnesotě."
"leaving","leave","odjíždí","odjíždět","impf"," It said only that the sender was leaving immediately and to postpone the funeral until he came."," Stálo v něm pouze, že pisatel okamžitě odjíždí, aby odložili pohřeb, dokud nepřijede."
"postpone","postpone","odložili","odložit","pf"," It said only that the sender was leaving immediately and to postpone the funeral until he came."," Stálo v něm pouze, že pisatel okamžitě odjíždí, aby odložili pohřeb, dokud nepřijede."
"came","come","nepřijede","přijet","pf"," It said only that the sender was leaving immediately and to postpone the funeral until he came."," Stálo v něm pouze, že pisatel okamžitě odjíždí, aby odložili pohřeb, dokud nepřijede."
"said","say","řekla","říci","pf"," ' Well, I married him, ' said Myrtle, ambiguously."," "" No, a já jsem si ho vzala, "" řekla Myrtle dvojsmyslně."
"did","do","vzala","vzít","pf"," ' Why did you, Myrtle? ' demanded Catherine."," "" Proč sis ho vzala, Myrtle? "" chtěla vědět Kateřina."
"forced","force","nenutil","nutit","impf"," ' Nobody forced you to. '"," "" Nikdo tě k tomu nenutil. """
"considered","consider","uvažovala","uvažovat","impf"," Myrtle considered."," Myrtle uvažovala."
"thought","think","myslela","myslet","impf"," T married him because I thought he was a gentleman, ' she said finally."," "" Vzala jsem si ho, protože jsem si myslela, že je to gentleman, "" řekla konečně."
"said","say","řekla","říci","pf"," T married him because I thought he was a gentleman, ' she said finally."," "" Vzala jsem si ho, protože jsem si myslela, že je to gentleman, "" řekla konečně."
"sat","sit","seděli","sedět","impf"," Tom and Miss Baker sat at either end of the long couch and she read aloud to him from the Saturday Evening Post - the words, murmurous and uninflected, running together in a soothing tune."," Tom a slečna Bakerová seděli každý na jednom konci dlouhého gauče a ona mu nahlas předčítala ze Saturday Evening Post - její brumlavá slova bez koncovek spřádala konejšivou melodii."
"turned","turn","obrátila","obrátit","pf"," The lamp-light, bright on his boots and dull on the autumn-leaf yellow of her hair, glinted along the paper as she turned a page with a flutter of slender muscles in her arms."," Světlo lampy, odrážející se jasně na jeho botách a tlumeně na jejích vlasech žlutých jako podzimní listy, se mihlo po papíru, když obrátila stránku a útlé svaly se jí zavlnily na pažích."
"lifted","lift","zvedla","zvednout","pf"," When we came in she held us silent for a moment with a lifted hand."," Jak jsme vešli dovnitř, umlčela nás na okamžik tím, že zvedla ruku."
"seemed","seem","zdálo","zdát","impf"," Her laughter, her gestures, her assertions became more violently affected moment by moment, and as she expanded the room grew smaller around her, until she seemed to be revolving on a noisy, creaking pivot through the smoky air."," Její smích, její gesta, její tvrzení stávaly se čím dál tím násilnější a strojenější, a jak se rozpínala, pokoj se kolem ní zmenšoval, až se zdálo, že se paní Wilsonová otáčí na hlučné skřípající ose zakouřeným vzduchem."
"told","tell","sdělila","sdělit","pf"," ' My dear, ' she told her sister iri a high, mincing shout, ' most of these fellas will cheat you every time."," "" Drahoušku, "" sdělila sestře pronikavým afektovaným výkřikem, "" většina těchhle lidí člověka pořád podvádí."
"think","think","Myslí","myslet","impf"," All they think of is money."," Myslí jen na peníze."
"touching","touch","dotkla","dotknout","pf"," She walked close to Gatsby, touching his coat with her hand."," Přistoupila těsně ke Gatsbymu a dotkla se rukou jeho kabátu."
"pushed","push","zmáčkl","zmáčknout","pf"," Jordan and Tom and I got into the front seat of Gatsby 's car, Tom pushed the unfamiliar gears tentatively, and we shot off into the oppressive heat, leaving them out of sight behind."," Jordan, Tom a já jsme si sedli na přední sedadlo Gatsbyho auta, Tom zkusmo zmáčkl neznámou řadící páku, a vyletěli jsme jako střela do dusného vedra a ztratili jsme je z dohledu."
"see","see","Viděli","vidět","impf"," ' Did you see that? ' demanded Tom."," "" Viděli jste to? "" zeptal se Tom."
"See","see","vidět","vidět","impf"," ' See what? '"," "" Co jsme měli vidět? """
"looked","look","Podíval","podívat","pf"," He looked at me keenly, realizing that Jordan and I must have known all along."," Podíval se na mne ostře a uvědomil si, že Jordan a já jsme to museli vědět hned od začátku."
"realizing","realize","uvědomil","uvědomit","pf"," He looked at me keenly, realizing that Jordan and I must have known all along."," Podíval se na mne ostře a uvědomil si, že Jordan a já jsme to museli vědět hned od začátku."
"think","think","myslíte","myslet","impf"," ' You think I 'm pretty dumb, do n't you? ' he suggested."," "" Vy si myslíte, že jsem pěkný pitomec, co? "" podotkl."
"broke","break","rozbil","rozbít","pf"," Making a short deft movement, Tom Buchanan broke her nose with his open hand."," Tom Buchanan jí krátkým šikovným pohybem rozbil otevřenou dlaní nos."
"awoke","awake","probudil","probudit","pf"," Mr McKee awoke from his doze and started in a daze toward the door."," Pan McKee se probudil z dřímoty a omámen se vydal ke dveřím."
"laughed","laugh","zasmál","zasmát","pf"," Tom laughed and turned to me."," Tom se zasmál a obrátil se ke mně."
"turned","turn","obrátil","obrátit","pf"," Tom laughed and turned to me."," Tom se zasmál a obrátil se ke mně."
"asked","ask","požádala","požádat","pf"," ' Did you notice Daisy 's face when that girl asked her to put her under a cold shower? '"," "" Všiml sis Daisyina obličeje, když ji ta dívka požádala, aby ji strčila pod studenou sprchu? """
"began","begin","začala","začít","pf"," Daisy began to sing with the music in a husky, rythmic whisper, bringing out a meaning in each word that it had never had before and would never have again."," Daisy začala zpívat podle hudby chraptivým, rytmickým šepotem a každému slovu vdechovala smysl, jaký nikdy předtím nemělo a jaký už nikdy mít nebude."
"sing","sing","zpívat","zpívat","impf"," Daisy began to sing with the music in a husky, rythmic whisper, bringing out a meaning in each word that it had never had before and would never have again."," Daisy začala zpívat podle hudby chraptivým, rytmickým šepotem a každému slovu vdechovala smysl, jaký nikdy předtím nemělo a jaký už nikdy mít nebude."
"trying","try","snažil","snažit","impf"," But with every word she was drawing further and further into herself, so he gave that up, and only the dead dream fought on as the afternoon slipped away, trying to touch what was no longer tangible, struggling unhappily, undespairingly, toward that lost voice across the room."," Ale ona se po každém slově víc a víc stahovala do sebe, a tak se toho vzdal a jenom mrtvý sen pokračoval v boji, jak se odpoledne vytrácelo, snažil se dotknout něčeho, co nebylo už hmatatelné, probíjel se nešťastně, zoufale k tomu ztracenému hlasu na druhé straně pokoje."
"touch","touch","dotknout","dotknout","pf"," But with every word she was drawing further and further into herself, so he gave that up, and only the dead dream fought on as the afternoon slipped away, trying to touch what was no longer tangible, struggling unhappily, undespairingly, toward that lost voice across the room."," Ale ona se po každém slově víc a víc stahovala do sebe, a tak se toho vzdal a jenom mrtvý sen pokračoval v boji, jak se odpoledne vytrácelo, snažil se dotknout něčeho, co nebylo už hmatatelné, probíjel se nešťastně, zoufale k tomu ztracenému hlasu na druhé straně pokoje."
"begged","beg","prosil","prosit","impf"," The voice begged again to go."," Ten hlas opět prosil, aby šli."
"go","go","šli","jít","impf"," The voice begged again to go."," Ten hlas opět prosil, aby šli."
"stand","stand","nesnesu","snést","pf"," I ca n't stand this any more. '"," Už to nesnesu. """
"told","tell","říkaly","říkat","impf"," Her frightened eyes told that whatever intentions, whatever courage she had had, were definitely gone."," Její polekané oči říkaly, že ať měla jakékoliv úmysly, jakoukoliv odvahu, je to všechno už najisto pryč."
"told","tell","řek","říci","pf"," He told me I et like a hog once, and I beat him for it. '"," Jednou mi řek, že jím jako prase, a já jsem mu za to napráskal. """
"close","close","zavřít","zavřít","pf"," He was reluctant to close the book, reading each item aloud and then looking eagerly at me."," Zdráhal se zavřít knížku, četl každý bod nahlas a potom se na mne dychtivě podíval."
"reading","read","četl","číst","impf"," He was reluctant to close the book, reading each item aloud and then looking eagerly at me."," Zdráhal se zavřít knížku, četl každý bod nahlas a potom se na mne dychtivě podíval."
"looking","look","podíval","podívat","pf"," He was reluctant to close the book, reading each item aloud and then looking eagerly at me."," Zdráhal se zavřít knížku, četl každý bod nahlas a potom se na mne dychtivě podíval."
"think","think","Myslím","myslet","impf"," I think he rather expected me to copy down the list for my own use."," Myslím, že napolo očekával, že si ten rozvrh pro vlastní potřebu opíši."
"expected","expect","Myslím","myslet","impf"," I think he rather expected me to copy down the list for my own use."," Myslím, že napolo očekával, že si ten rozvrh pro vlastní potřebu opíši."
"expected","expect","očekával","očekávat","impf"," I think he rather expected me to copy down the list for my own use."," Myslím, že napolo očekával, že si ten rozvrh pro vlastní potřebu opíši."
"copy","copy","opíši","opsat","pf"," I think he rather expected me to copy down the list for my own use."," Myslím, že napolo očekával, že si ten rozvrh pro vlastní potřebu opíši."
"arrived","arrive","přišel","přijít","pf"," A little before three the Lutheran minister arrived from Flushing, and I began to look involuntarily out the windows for other cars."," Něco před třetí přišel luteránský duchovní z Flushingu a já bezděčně začal vyhlížet z oken další vozy."
"began","begin","přišel","přijít","pf"," A little before three the Lutheran minister arrived from Flushing, and I began to look involuntarily out the windows for other cars."," Něco před třetí přišel luteránský duchovní z Flushingu a já bezděčně začal vyhlížet z oken další vozy."
"began","begin","začal","začít","pf"," A little before three the Lutheran minister arrived from Flushing, and I began to look involuntarily out the windows for other cars."," Něco před třetí přišel luteránský duchovní z Flushingu a já bezděčně začal vyhlížet z oken další vozy."
"look","look","vyhlížet","vyhlížet","impf"," A little before three the Lutheran minister arrived from Flushing, and I began to look involuntarily out the windows for other cars."," Něco před třetí přišel luteránský duchovní z Flushingu a já bezděčně začal vyhlížet z oken další vozy."
"observed","observe","pozoruje","pozorovat","impf"," So engrossed was she that she had no consciousness of being observed, and one emotion after another crept into her face like objects into a slowly developing picture."," Zaujalo ji to tak, že si ani neuvědomila, že ji někdo pozoruje, a jeden výraz citového hnutí po druhém se jí objevoval na obličeji jako předměty na pomalu vyvolávané fotografii."
"seen","see","viděl","vidět","impf"," Her expression was curiously familiar - it was an expression I had often seen on women 's faces, but on Myrtle Wilson 's face it seemed purposeless and inexplicable until I realized that her eyes, wide with jealous terror, were fixed not on Tom, but on Jordan Baker, whom she took to be his wife."," Její výraz mi byl podivně povědomý - byl to výraz, jaký jsem na tvářích žen viděl často, ale na tváři Myrtle Wilsonové se zdál bezúčelný a nevysvětlitelný, dokud jsem si neuvědomil, že očima široce rozevřenýma hrůzou a žárlivostí visela ne na Tomovi, ale na Jordan Bakerové, kterou považovala za jeho ženu."
"seemed","seem","zdál","zdát","impf"," Her expression was curiously familiar - it was an expression I had often seen on women 's faces, but on Myrtle Wilson 's face it seemed purposeless and inexplicable until I realized that her eyes, wide with jealous terror, were fixed not on Tom, but on Jordan Baker, whom she took to be his wife."," Její výraz mi byl podivně povědomý - byl to výraz, jaký jsem na tvářích žen viděl často, ale na tváři Myrtle Wilsonové se zdál bezúčelný a nevysvětlitelný, dokud jsem si neuvědomil, že očima široce rozevřenýma hrůzou a žárlivostí visela ne na Tomovi, ale na Jordan Bakerové, kterou považovala za jeho ženu."
"realized","realize","neuvědomil","uvědomit","pf"," Her expression was curiously familiar - it was an expression I had often seen on women 's faces, but on Myrtle Wilson 's face it seemed purposeless and inexplicable until I realized that her eyes, wide with jealous terror, were fixed not on Tom, but on Jordan Baker, whom she took to be his wife."," Její výraz mi byl podivně povědomý - byl to výraz, jaký jsem na tvářích žen viděl často, ale na tváři Myrtle Wilsonové se zdál bezúčelný a nevysvětlitelný, dokud jsem si neuvědomil, že očima široce rozevřenýma hrůzou a žárlivostí visela ne na Tomovi, ale na Jordan Bakerové, kterou považovala za jeho ženu."
"seen","see","považovala","považovat","impf"," Her expression was curiously familiar - it was an expression I had often seen on women 's faces, but on Myrtle Wilson 's face it seemed purposeless and inexplicable until I realized that her eyes, wide with jealous terror, were fixed not on Tom, but on Jordan Baker, whom she took to be his wife."," Její výraz mi byl podivně povědomý - byl to výraz, jaký jsem na tvářích žen viděl často, ale na tváři Myrtle Wilsonové se zdál bezúčelný a nevysvětlitelný, dokud jsem si neuvědomil, že očima široce rozevřenýma hrůzou a žárlivostí visela ne na Tomovi, ale na Jordan Bakerové, kterou považovala za jeho ženu."
"told","tell","Řekl","říci","pf"," I told you we 'd talk about that some other time. '"," Řekl jsem vám, že o tamtom si promluvíme jindy. """
"talk","talk","promluvíme","promluvit","pf"," I told you we 'd talk about that some other time. '"," Řekl jsem vám, že o tamtom si promluvíme jindy. """
"said","say","řekl","říci","pf"," ' I beg your pardon, ' said Mr Wolfshiem, I had a wrong man. '"," "" Promiňte, "" řekl pan Wolfsheim, "" to jsem se spletl. """
"forgetting","forget","zapomenul","zapomenout","pf"," A succulent hash arrived, and Mr Wolfshiem, forgetting the more sentimental atmosphere of the old Metropole, began to eat with ferocious delicacy."," Přinesli šťavnatou haši a pan Wolfsheim zapomenul na sentimentální atmosféru staré Metropole a začal jíst, dravě, a hrozně delikátně."
"began","begin","začal","začít","pf"," A succulent hash arrived, and Mr Wolfshiem, forgetting the more sentimental atmosphere of the old Metropole, began to eat with ferocious delicacy."," Přinesli šťavnatou haši a pan Wolfsheim zapomenul na sentimentální atmosféru staré Metropole a začal jíst, dravě, a hrozně delikátně."
"eat","eat","jíst","jíst","impf"," A succulent hash arrived, and Mr Wolfshiem, forgetting the more sentimental atmosphere of the old Metropole, began to eat with ferocious delicacy."," Přinesli šťavnatou haši a pan Wolfsheim zapomenul na sentimentální atmosféru staré Metropole a začal jíst, dravě, a hrozně delikátně."
"turning","turn","obrátil","obrátit","pf"," His eyes, meanwhile, roved very slowly all around the room - he completed the arc by turning to inspect the people directly behind."," Těkal přitom očima pomalu kolem dokola po místnosti - uzavřel ten oblouk tím, že se obrátil, aby si mohl prohlédnout lidi přímo za sebou."
"inspect","inspect","prohlédnout","prohlédnout","pf"," His eyes, meanwhile, roved very slowly all around the room - he completed the arc by turning to inspect the people directly behind."," Těkal přitom očima pomalu kolem dokola po místnosti - uzavřel ten oblouk tím, že se obrátil, aby si mohl prohlédnout lidi přímo za sebou."
"asked","ask","zeptal","zeptat","pf"," ' Is it all quiet up there? ' he asked anxiously."," "" Je tam nahoře klid? "" zeptal se dychtivě."
"want","want","Chci","chtít","impf"," ' I want to wait here till Daisy goes to bed."," "" Chci tady počkat, dokud nepůjde Daisy spat."
"wait","wait","počkat","počkat","pf"," ' I want to wait here till Daisy goes to bed."," "" Chci tady počkat, dokud nepůjde Daisy spat."
"goes","go","nepůjde","jít","impf"," ' I want to wait here till Daisy goes to bed."," "" Chci tady počkat, dokud nepůjde Daisy spat."
"turned","turn","otočil","otočit","pf"," He put his hands in his coat pockets and turned back eagerly to his scrutiny of the house, as though my presence marred the sacredness of the vigil."," Strčil ruce do kapes kabátu, otočil se a začal znovu dychtivě a pečlivě prohlížet dům, jako by moje přítomnost mařila jeho posvátné bdění."
"sprang","spring","vyskočil","vyskočit","pf"," Gatsby sprang to his feet, vivid with excitement."," Gatsby vzrušeně vyskočil."
"loved","love","nemilovala","milovat","impf"," ' She never loved you, do you hear? ' he cried."," "" Nikdy vás nemilovala, slyšíte? "" křičel."
"hear","hear","slyšíte","slyšet","impf"," ' She never loved you, do you hear? ' he cried."," "" Nikdy vás nemilovala, slyšíte? "" křičel."
"cried","cry","křičel","křičet","impf"," ' She never loved you, do you hear? ' he cried."," "" Nikdy vás nemilovala, slyšíte? "" křičel."
"tired","tire","unavilo","unavit","pf"," ' She only married you because I was poor and she was tired of waiting for me."," "" Vzala si vás jenom proto, že já jsem byl chudý, a ji unavilo na mě čekat."
"waiting","wait","čekat","čekat","impf"," ' She only married you because I was poor and she was tired of waiting for me."," "" Vzala si vás jenom proto, že já jsem byl chudý, a ji unavilo na mě čekat."
