"saw","see","uviděl","uvidět","pf"," Then he saw the corn and the meat and the potatoes."," Potom uviděl kukuřici, maso a brambory."
"read","read","číst","číst","impf"," She begins to read his small gnarled handwriting."," Začíná číst jeho drobný osobitý rukopis."
"keep","keep","udržet","udržet","pf"," Nothing can keep him from her."," Nic ho od ní nedokáže udržet."
"misses","miss","postrádá","postrádat","impf"," She is a woman who misses moisture, who has always loved low green hedges and ferns."," Je ženou, která postrádá vláhu, která vždycky měla ráda nízké zelené živé ploty a kapradí."
"go","go","chodí","chodit","impf"," From Groppi Park they arc out into the old city, South Cairo, markets where few Europeans go."," Z parku Groppi to berou obloukem do starého města, jižní Káhiry, na tržiště, kam chodí jen málo Evropanů."
"talking","talk","mluvit","mluvit","impf"," I am not used to talking in any way but that now."," Nejsem teď zvyklá mluvit nějak jinak než takhle."
"forget","forget","zapomněla","zapomenout","pf"," For a second I forget."," Na moment jsem zapomněla."
"heard","hear","slyšeli","slyšet","impf"," One day after we heard the bombs were dropped in japan, so it feels like the end of the world."," Jeden den po tom, co jsme slyšeli o svržení bomb na Japonsko, takže to připadá jako konec světa."
"thinking","think","myslel","myslet","impf"," And afterwards he kept thinking of the girl that afternoon, suddenly terrified for her, angry at her for involving herself."," A potom myslel na to děvče odpoledne, najednou měl za ni strach, zlobil se, že se do toho pletla."
"kept","keep","měl","mít","impf"," And afterwards he kept thinking of the girl that afternoon, suddenly terrified for her, angry at her for involving herself."," A potom myslel na to děvče odpoledne, najednou měl za ni strach, zlobil se, že se do toho pletla."
"thinking","think","měl","mít","impf"," And afterwards he kept thinking of the girl that afternoon, suddenly terrified for her, angry at her for involving herself."," A potom myslel na to děvče odpoledne, najednou měl za ni strach, zlobil se, že se do toho pletla."
"tried","try","pokusila","pokusit","pf"," She had tried to damage her life so casually."," Tak bezmyšlenkovitě se prve pokusila dát všanc svůj život."
"leaned","lean","Naklonil","naklonit","pf"," He leaned over and wiped the side of his cheek against the lanyard on his shoulder."," Naklonil se a otřel se tváří o šňůru na rameni."
"wiped","wipe","otřel","otřít","pf"," He leaned over and wiped the side of his cheek against the lanyard on his shoulder."," Naklonil se a otřel se tváří o šňůru na rameni."
"comes","come","pochází","pocházet","impf"," The word bungalow comes from Bengali."," Slovo bungalov pochází z bengálštiny."
"lowered","lower","spustili","spustit","pf"," At four in the afternoon they had lowered Kip into the pit in a harness until he was waist-deep in the muddy water, his body draped around the body of the Esau bomb."," Ve čtyři odpoledne spustili tenkrát Kipa do jámy na popruzích, až byl po pás v blátivé vodě, jeho tělo zakrylo plášť bomby Ezau."
"draped","drape","zakrylo","zakrýt","pf"," At four in the afternoon they had lowered Kip into the pit in a harness until he was waist-deep in the muddy water, his body draped around the body of the Esau bomb."," Ve čtyři odpoledne spustili tenkrát Kipa do jámy na popruzích, až byl po pás v blátivé vodě, jeho tělo zakrylo plášť bomby Ezau."
"holding","hold","svíral","svírat","impf"," Beneath the brown water his thighs braced the metal casing, much the way he had seen soldiers holding women in the corner of NAAFI dance floors."," Pod hnědou vodou svíral stehny kovový plášť dost podobně, jako vídal vojáky držet ženy v koutě vojenských tančíren."
"holding","hold","držet","držet","impf"," Beneath the brown water his thighs braced the metal casing, much the way he had seen soldiers holding women in the corner of NAAFI dance floors."," Pod hnědou vodou svíral stehny kovový plášť dost podobně, jako vídal vojáky držet ženy v koutě vojenských tančíren."
"seduce","seduce","svádějí","svádět","impf"," Talkers seduce, words direct us into corners."," Mluvkové svádějí, slova nás zahánějí do kouta."
"want","want","chceme","chtít","impf"," We want more than anything to grow and change."," Víc než co jiného chceme růst a změnu."
"grow","grow","růst","růst","impf"," We want more than anything to grow and change."," Víc než co jiného chceme růst a změnu."
"think","think","nemyslím","myslet","impf"," "" I do n't think so, "" said Hana."," "" Já si to nemyslím, "" řekla Hana."
"said","say","řekla","říci","pf"," "" I do n't think so, "" said Hana."," "" Já si to nemyslím, "" řekla Hana."
"assume","assume","předpokládají","předpokládat","impf"," The worst thing is others assume you have developed your character by now."," Nejhorší je, že ostatní předpokládají, že si už člověk vybudoval svůj vlastní charakter."
"celebrated","celebrate","oslavili","oslavit","pf"," They had celebrated in this evening 's brief dance in the English patient 's room their own simple adventures-Hana her sleep, Caravaggio his "" finding "" of the gramophone, and Kip a difficult defusing, though he had almost forgotten such a moment already."," V kratičkém tanci oslavili tento večer svá prostá dobrodružství - Hana svůj spánek, Caravaggio "" nález "" gramofonu a Kip obtížné zneškodnění nevybuchlé miny, třebaže už na tu chvíli téměř zapomněl."
"forgotten","forget","zapomněl","zapomenout","pf"," They had celebrated in this evening 's brief dance in the English patient 's room their own simple adventures-Hana her sleep, Caravaggio his "" finding "" of the gramophone, and Kip a difficult defusing, though he had almost forgotten such a moment already."," V kratičkém tanci oslavili tento večer svá prostá dobrodružství - Hana svůj spánek, Caravaggio "" nález "" gramofonu a Kip obtížné zneškodnění nevybuchlé miny, třebaže už na tu chvíli téměř zapomněl."
"felt","feel","necítili","cítit","impf"," He was someone who felt uncomfortable in celebrations, in victories."," Patřil k lidem, kteří se necítili dobře při oslavách, při vítězstvích."
"sitting","sit","seděl","sedět","impf"," All of the burned man 's desire was in the brain, the sapper had been thinking to himself, sitting in the stone alcove."," Veškeré touhy toho popáleného muže skrývá jeho mozek, říkal si v duchu ženista, jak tam seděl v tom kamenném výklenku."
"gripped","grip","Sevřela","sevřít","pf"," She gripped what was left to make sure there were no more strands and turned again to face the rooms full of the wounded."," Sevřela zbytek vlasů, aby se ujistila, že už jí nevisí žádné prameny, a vydala se znovu čelit pokojům plným raněných."
"face","face","čelit","čelit","impf"," She gripped what was left to make sure there were no more strands and turned again to face the rooms full of the wounded."," Sevřela zbytek vlasů, aby se ujistila, že už jí nevisí žádné prameny, a vydala se znovu čelit pokojům plným raněných."
"looked","look","nedívala","dívat","impf"," She never looked at herself in mirrors again."," Už se na sebe nedívala do zrcadla."
"died","die","zemřeli","zemřít","pf"," As the war got darker she received reports about how certain people she had known had died."," Válka byla stále ponurejší a jí docházely zprávy o tom, jak někteří lidé, které znala, zemřeli."
"feared","fear","Bála","bát","impf"," She feared the day she would remove blood from a patient 's face and discover her father or someone who had served her food across a counter on Danforth Avenue."," Bála se dne, kdy setře krev z pacientovy tváře a objeví svého otce, anebo někoho, kdo ji obsluhoval u pultu s potravinami na Danforth Avenue."
"discover","discover","objeví","objevit","pf"," She feared the day she would remove blood from a patient 's face and discover her father or someone who had served her food across a counter on Danforth Avenue."," Bála se dne, kdy setře krev z pacientovy tváře a objeví svého otce, anebo někoho, kdo ji obsluhoval u pultu s potravinami na Danforth Avenue."
"served","serve","obsluhoval","obsluhovat","impf"," She feared the day she would remove blood from a patient 's face and discover her father or someone who had served her food across a counter on Danforth Avenue."," Bála se dne, kdy setře krev z pacientovy tváře a objeví svého otce, anebo někoho, kdo ji obsluhoval u pultu s potravinami na Danforth Avenue."
"began","begin","Začal","začít","pf"," He began to rub green-black paste onto the rib cage."," Začal roztírat zelenočernou pastu po hrudníku."
"imagined","imagine","představoval","představovat","impf"," He was on an altar of hammock and he imagined in his vanity hundreds of them around him and there may have been just two who had found him, plucked the antlered hat of fire from his head."," Ležel na jakémsi oltáři, hamaku či závěsném lehátku, a ve své ješitnosti si představoval, že jich má kolem sebe stovky, ale nejspíš tam byli jenom ti dva, co ho našli a strhli mu z hlavy planoucí pokrývku s parohy."
"found","find","našli","najít","pf"," He was on an altar of hammock and he imagined in his vanity hundreds of them around him and there may have been just two who had found him, plucked the antlered hat of fire from his head."," Ležel na jakémsi oltáři, hamaku či závěsném lehátku, a ve své ješitnosti si představoval, že jich má kolem sebe stovky, ale nejspíš tam byli jenom ti dva, co ho našli a strhli mu z hlavy planoucí pokrývku s parohy."
"read","read","četla","číst","impf"," She would sit and read, the book under the waver of light."," Sedávala tam a četla, na knihu dopadalo roztřesené světlo."
"said","say","řekl","říci","pf"," He pulled her into his thick grizzled embrace and said "" dear worm "" again, and began the dancing lesson."," Sevřel ji do svého mohutného náručí, znovu jí řekl "" beruško "" a začal s taneční lekcí."
"began","begin","začal","začít","pf"," He pulled her into his thick grizzled embrace and said "" dear worm "" again, and began the dancing lesson."," Sevřel ji do svého mohutného náručí, znovu jí řekl "" beruško "" a začal s taneční lekcí."
"spun","spin","otočili","otočit","pf"," Each time they spun she saw the sapper singing to himself, following the lyrics."," Kdykoli se v tanci otočili, viděla, jak si ženista sám pro sebe prozpěvuje, opakuje slova písně."
"saw","see","viděla","vidět","impf"," Each time they spun she saw the sapper singing to himself, following the lyrics."," Kdykoli se v tanci otočili, viděla, jak si ženista sám pro sebe prozpěvuje, opakuje slova písně."
"left","leave","nechal","nechat","pf"," All they had was the crystal set belonging to Kip, but he had courteously left it in his tent."," Měli však jenom krystalku, která patřila Kipovi, jenže ji zdvořile nechal ve stanu."
"forget","forget","zapomene","zapomenout","pf"," There was no promise of solution or victory except for the temporary pact between him and that painted fresco 's royalty who would forget him, never acknowledge his existence or be aware of him, a Sikh, halfway up a sapper 's ladder in the rain, erecting a Bailey bridge for the army behind him."," Neexistoval příslib řešení nebo vítězství, jen dočasný pakt mezi ním a tou královskou bytostí z fresky, bytostí, která na něho zapomene, která si vůbec nepovšimne jeho existence, nikdy ho nebude vnímat, jeho, sikha, kdesi v půlce ženijního žebříku za deště, stavějícího Baileyho nouzový most pro armádu za sebou."
"remembered","remember","vzpomínal","vzpomínat","impf"," But he remembered the painting of their story."," On si však vzpomínal na malbu zachycující jejich příběh."
"remembered","remember","Pamatoval","pamatovat","impf"," He remembered its gold stars from the time he had gazed on it with binoculars."," Pamatoval si její zlaté hvězdy od doby, kdy na ně hleděl dalekohledem."
"gazed","gaze","hleděl","hledět","impf"," He remembered its gold stars from the time he had gazed on it with binoculars."," Pamatoval si její zlaté hvězdy od doby, kdy na ně hleděl dalekohledem."
"Looking","look","Podíval","podívat","pf"," Looking down he saw the mediaevalist sitting on a bench, exhausted."," Podíval se dolů a viděl, že medievalista sedí vyčerpaně v lavici."
"saw","see","Podíval","podívat","pf"," Looking down he saw the mediaevalist sitting on a bench, exhausted."," Podíval se dolů a viděl, že medievalista sedí vyčerpaně v lavici."
"saw","see","viděl","vidět","impf"," Looking down he saw the mediaevalist sitting on a bench, exhausted."," Podíval se dolů a viděl, že medievalista sedí vyčerpaně v lavici."
"sitting","sit","sedí","sedět","impf"," Looking down he saw the mediaevalist sitting on a bench, exhausted."," Podíval se dolů a viděl, že medievalista sedí vyčerpaně v lavici."
"Entering","enter","účastnila","účastnit","impf"," Entering a party, climbing into a bed, she had painted on blood lipstick, a smear of vermilion over each eye."," Když se účastnila večírku, když lezla do postele, namalovala si rty krvavě červenou růží, nad každé oko rumělkovou šmouhu."
"climbing","climb","lezla","lézt","impf"," Entering a party, climbing into a bed, she had painted on blood lipstick, a smear of vermilion over each eye."," Když se účastnila večírku, když lezla do postele, namalovala si rty krvavě červenou růží, nad každé oko rumělkovou šmouhu."
"painted","paint","namalovala","namalovat","pf"," Entering a party, climbing into a bed, she had painted on blood lipstick, a smear of vermilion over each eye."," Když se účastnila večírku, když lezla do postele, namalovala si rty krvavě červenou růží, nad každé oko rumělkovou šmouhu."
"delivers","deliver","odevzdává","odevzdávat","impf"," In his jaws are pieces of the past he delivers to you, and when all of that time is fully discovered it will prove to have been already known."," V jeho čelistech jsou kusy minulosti, kterou vám odevzdává, a až se o té době všechno zjistí, ukáže se, že už to kdysi bylo známo."
"discovered","discover","zjistí","zjistit","pf"," In his jaws are pieces of the past he delivers to you, and when all of that time is fully discovered it will prove to have been already known."," V jeho čelistech jsou kusy minulosti, kterou vám odevzdává, a až se o té době všechno zjistí, ukáže se, že už to kdysi bylo známo."
"prove","prove","ukáže","ukázat","pf"," In his jaws are pieces of the past he delivers to you, and when all of that time is fully discovered it will prove to have been already known."," V jeho čelistech jsou kusy minulosti, kterou vám odevzdává, a až se o té době všechno zjistí, ukáže se, že už to kdysi bylo známo."
"looked","look","dívají","dívat","impf"," Her eyes looked at me, tired of everything."," Její oči se na mě dívají vším znavené."
"pulled","pull","vytáhl","vytáhnout","pf"," When I pulled her from the plane her stare had tried to receive all things around her."," Když jsem ji vytáhl z letadla, snažil se její pohled postihnout všechno kolem ní."
"tried","try","snažil","snažit","impf"," When I pulled her from the plane her stare had tried to receive all things around her."," Když jsem ji vytáhl z letadla, snažil se její pohled postihnout všechno kolem ní."
"guarded","guard","chránily","chránit","impf"," Now the eyes were guarded, as if protecting something inside."," Teď se ty oči dívaly obezřetně, jako by chránily něco v jejím nitru."
"protecting","protect","chránily","chránit","impf"," Now the eyes were guarded, as if protecting something inside."," Teď se ty oči dívaly obezřetně, jako by chránily něco v jejím nitru."
"sat","sit","sedl","sednout","pf"," I moved closer, and sat on my heels."," Přisunul jsem se blíž a sedl si na paty."
"turns","turn","Otočí","otočit","pf"," He turns and pauses beside the bed."," Otočí se a zastaví se u postele."
"turns","turn","Obrátí","obrátit","pf"," He turns and grins towards her."," Obrátí se a zašklebí se na ni."
"puts","put","položí","položit","pf"," He puts his left hand on her shoulder."," Levou ruku jí položí na rameno."
"sits","sit","sedí","sedět","impf"," Caravaggio sits in Hana 's chair."," Caravaggio sedí na Hanině židli."
"Looking","look","Hledali","hledat","impf"," Looking for the lost army of Cambyses."," Hledali jsme ztracené vojsko Kambýsovo."
"Looking","look","Hledali","hledat","impf"," Looking for Zerzura."," Hledali jsme Zerzuru."
"met","meet","poznal","poznat","pf"," There were rivers of desert tribes, the most beautiful humans I 've met in my life."," Byly tu řeky pouštních kmenů, nejkrásnějších lidských bytostí, které jsem během svého života poznal."
"hate","hate","nenávidět","nenávidět","impf"," I came to hate nations."," Já začal národy nenávidět."
"slept","sleep","spala","spát","impf"," She would wake under the slide of moonlight on the ceiling, wrapped in an old shirt she always slept in, her dress hanging on a nail by the door."," Probouzela se pod odraženým měsíčním světlem na stropě, zachumlaná ve staré košili, ve které pořád spala, a její šaty visely na hřebíku u dveří."
"hanging","hang","visely","viset","impf"," She would wake under the slide of moonlight on the ceiling, wrapped in an old shirt she always slept in, her dress hanging on a nail by the door."," Probouzela se pod odraženým měsíčním světlem na stropě, zachumlaná ve staré košili, ve které pořád spala, a její šaty visely na hřebíku u dveří."
"sleep","sleep","spát","spát","impf"," There was more heat now, and she could sleep this way."," Teď bylo větší teplo, takže šlo takhle spát."
"burn","burn","pálit","pálit","impf"," Before, when it had been cold, they had had to burn things."," Dřív, když bylo zima, museli tu pálit věci."
"built","build","vybudovala","vybudovat","pf"," She was secure in the miniature world she had built; the two other men seemed distant planets, each in his own sphere of memory and solitude."," V tom miniaturním světě, který si vybudovala, byla v bezpečí, oba ti muži jí připadali jako vzdálené planety, pohybující se ve svých vlastních sférách paměti a osamělosti."
"done","do","provedl","provést","pf"," She was an innocent, knew nothing abou ^ me, my name or nationality or what I may have done. """," Ona byla nevinná, nic o mně nevěděla, moje jméno neznala, ani národnost, ani co jsem provedl. """
"shouting","shout","křičet","křičet","impf"," When they came into the house the English patient was shouting."," Když vešli do domu, slyšeli anglického pacienta křičet."
"run","run","běží","běžet","impf"," Hana let go of Caravaggio and he watched her run up the stairs, her tennis shoes flashing as she ascended and wheeled around with the banister."," Hana se pustila Caravaggia, viděl ji, jak běží nahoru po schodech, tenisky se jen míhaly, jak šlapala nahoru a točila se kolem zábradlí."
"go","go","šlapala","šlapat","impf"," Hana let go of Caravaggio and he watched her run up the stairs, her tennis shoes flashing as she ascended and wheeled around with the banister."," Hana se pustila Caravaggia, viděl ji, jak běží nahoru po schodech, tenisky se jen míhaly, jak šlapala nahoru a točila se kolem zábradlí."
"tore","tear","utrhl","utrhnout","pf"," Caravaggio walked into the kitchen, tore off a section of bread and followed Hana up the stairs."," Caravaggio zašel do kuchyně, utrhl si kus chleba a vydal se za Hanou nahoru po schodech."
"caught","catch","chyceni","chytit","pf"," Forty-day journeys, after the birds were caught by slaves or picked like flowers in equatorial gardens and then placed in bamboo cages to enter the river that is trade."," Čtyřicetidenní putování, poté co ptáci byli chyceni otroky anebo sesbíráni jako květy v rovníkových zahradách a pak vloženi do bambusových klecí, aby vstoupili do řeky zvané obchod."
"enter","enter","vloženi","vložit","pf"," Forty-day journeys, after the birds were caught by slaves or picked like flowers in equatorial gardens and then placed in bamboo cages to enter the river that is trade."," Čtyřicetidenní putování, poté co ptáci byli chyceni otroky anebo sesbíráni jako květy v rovníkových zahradách a pak vloženi do bambusových klecí, aby vstoupili do řeky zvané obchod."
"enter","enter","vstoupili","vstoupit","pf"," Forty-day journeys, after the birds were caught by slaves or picked like flowers in equatorial gardens and then placed in bamboo cages to enter the river that is trade."," Čtyřicetidenní putování, poté co ptáci byli chyceni otroky anebo sesbíráni jako květy v rovníkových zahradách a pak vloženi do bambusových klecí, aby vstoupili do řeky zvané obchod."
"showing","show","Ukazoval","ukazovat","impf"," I was showing her a city that was new to her."," Ukazoval jsem jí město, které pro ni bylo nové."
"touched","touch","Dotkla","dotknout","pf"," Her hand touched me at the wrist."," Dotkla se rukou mého zápěstí."
"gave","give","dala","dát","pf"," "" If I gave you my life, you would drop it."," "" Kdybych ti dala svůj život, odhodil bys ho."
"drop","drop","odhodil","odhodit","pf"," "" If I gave you my life, you would drop it."," "" Kdybych ti dala svůj život, odhodil bys ho."
"say","say","Neřekl","říci","pf"," I did n't say anything."," Neřekl jsem na to nic."
"give","give","Dávám","dávat","impf"," "" There are now two ways open to you, and I will give you the choice which of the two you will prefer to take."," "" Dávám ti teď, Gygu, dvě cesty na vybranou, vyber si, kterou se chceš ubírat."
"take","take","ubírat","ubírat","impf"," "" There are now two ways open to you, and I will give you the choice which of the two you will prefer to take."," "" Dávám ti teď, Gygu, dvě cesty na vybranou, vyber si, kterou se chceš ubírat."
"slay","slay","zabij","zabít","pf"," Either you must slay Candaules and possess both me and the Kingdom of Lydia, or you must yourself here on the spot be slain, so that you mayest not in future, by obeying Candaules in all things, see that which you should not."," Buď zabij Kandaula a vezmi si mne a království nad Lýdy, nebo musíš ihned na místě sám zemřít, abys napříště Kandaula ve všem neposlouchal a nespatřil, co vidět nemáš."
"slain","slay","zabij","zabít","pf"," Either you must slay Candaules and possess both me and the Kingdom of Lydia, or you must yourself here on the spot be slain, so that you mayest not in future, by obeying Candaules in all things, see that which you should not."," Buď zabij Kandaula a vezmi si mne a království nad Lýdy, nebo musíš ihned na místě sám zemřít, abys napříště Kandaula ve všem neposlouchal a nespatřil, co vidět nemáš."
"obeying","obey","neposlouchal","poslouchat","impf"," Either you must slay Candaules and possess both me and the Kingdom of Lydia, or you must yourself here on the spot be slain, so that you mayest not in future, by obeying Candaules in all things, see that which you should not."," Buď zabij Kandaula a vezmi si mne a království nad Lýdy, nebo musíš ihned na místě sám zemřít, abys napříště Kandaula ve všem neposlouchal a nespatřil, co vidět nemáš."
"see","see","nespatřil","spatřit","pf"," Either you must slay Candaules and possess both me and the Kingdom of Lydia, or you must yourself here on the spot be slain, so that you mayest not in future, by obeying Candaules in all things, see that which you should not."," Buď zabij Kandaula a vezmi si mne a království nad Lýdy, nebo musíš ihned na místě sám zemřít, abys napříště Kandaula ve všem neposlouchal a nespatřil, co vidět nemáš."
"see","see","vidět","vidět","impf"," Either you must slay Candaules and possess both me and the Kingdom of Lydia, or you must yourself here on the spot be slain, so that you mayest not in future, by obeying Candaules in all things, see that which you should not."," Buď zabij Kandaula a vezmi si mne a království nad Lýdy, nebo musíš ihned na místě sám zemřít, abys napříště Kandaula ve všem neposlouchal a nespatřil, co vidět nemáš."
"possess","possess","nemáš","mít","impf"," Either you must slay Candaules and possess both me and the Kingdom of Lydia, or you must yourself here on the spot be slain, so that you mayest not in future, by obeying Candaules in all things, see that which you should not."," Buď zabij Kandaula a vezmi si mne a království nad Lýdy, nebo musíš ihned na místě sám zemřít, abys napříště Kandaula ve všem neposlouchal a nespatřil, co vidět nemáš."
"die","die","zemřít","zemřít","pf"," Either he must die who formed this design, or you who have looked upon me naked. """," Buď musí zemřít ten, kdo to nastrojil, nebo ty, který jsi mě spatřil nahou ... """
"killed","kill","zabit","zabít","pf"," So the king is killed."," A tak je král zabit."
"say","say","říci","říci","pf"," There are several things one can say."," Lze říci několik věcí."
"open","open","otevíral","otevírat","impf"," I would often open Herodotus for a clue to geography."," Často jsem otevíral Herodota, hledal jsem v něm klíč k zeměpisu."
"watches","watch","Pozoruje","pozorovat","impf"," He watches the man in the bed."," Pozoruje muže na posteli."
"needs","need","Potřebuje","potřebovat","impf"," He needs to know who this Englishman from the desert is, and reveal him for Hana 's sake."," Potřebuje vědět, kdo je tenhle Angličan z pouště, a odhalit ho kvůli Haně."
"reveal","reveal","odhalit","odhalit","pf"," He needs to know who this Englishman from the desert is, and reveal him for Hana 's sake."," Potřebuje vědět, kdo je tenhle Angličan z pouště, a odhalit ho kvůli Haně."
"Working","work","pracoval","pracovat","impf"," Working in Cairo during the early days of the war, he had been trained to invent double agents or phantoms who would take on flesh."," Když pracoval začátkem války v Káhiře, školili ho v tom, jak si vykoumat špióny anebo přízraky, které se zhmotní."
"came","come","přišla","přijít","pf"," "" My mother came here to tie a string onto a branch and beseeched the tree for a son, and when my brother was born returned and asked to be blessed with another."," "" Moje matka sem přišla uvázat na větev šňůrku a zapřísahala strom, aby jí dal syna, a když se můj bratr narodil, přišla znovu a žádala, aby byla obdařena dalším."
"came","come","přišla","přijít","pf"," "" My mother came here to tie a string onto a branch and beseeched the tree for a son, and when my brother was born returned and asked to be blessed with another."," "" Moje matka sem přišla uvázat na větev šňůrku a zapřísahala strom, aby jí dal syna, a když se můj bratr narodil, přišla znovu a žádala, aby byla obdařena dalším."
"asked","ask","žádala","žádat","impf"," "" My mother came here to tie a string onto a branch and beseeched the tree for a son, and when my brother was born returned and asked to be blessed with another."," "" Moje matka sem přišla uvázat na větev šňůrku a zapřísahala strom, aby jí dal syna, a když se můj bratr narodil, přišla znovu a žádala, aby byla obdařena dalším."
"sits","sit","sedí","sedět","impf"," She sits, enclosed within herself, in the armour of her terrible conscience."," Ona sedí, uzavřená do sebe, v brnění svého úděsného svědomí."
"think","think","Myslím","myslet","impf"," "" I think he will go mad."," "" Myslím, že se zblázní."
"understand","understand","Chápeš","chápat","impf"," Do you understand? """," Chápeš? """
"says","say","neříká","říkat","impf"," He says nothing, abandoning the attempt to pull her within him."," On neříká nic, už se nepokouší strhnout ji k sobě."
"cover","cover","zabalí","zabalit","pf"," "" Behold, the Lord will carry thee away with a mighty captivity, and He will surely cover thee. He will surely violently turn and toss thee like a ball into a large country. """," "" Hle, Hospodin tě odvrhne, odvrhne tě, ty hrdino, zabalí tě, smotá, jako klubko tě svine, jako míč tě odhodí do široširé země. """
"toss","toss","odhodí","odhodit","pf"," "" Behold, the Lord will carry thee away with a mighty captivity, and He will surely cover thee. He will surely violently turn and toss thee like a ball into a large country. """," "" Hle, Hospodin tě odvrhne, odvrhne tě, ty hrdino, zabalí tě, smotá, jako klubko tě svine, jako míč tě odhodí do široširé země. """
"loved","love","miloval","milovat","impf"," Because he had loved the face on the ceiling he had loved the words."," Protože miloval tu tvář na stropě, miloval i ta slova."
"loved","love","miloval","milovat","impf"," Because he had loved the face on the ceiling he had loved the words."," Protože miloval tu tvář na stropě, miloval i ta slova."
"loved","love","miloval","milovat","impf"," Because he had loved the face on the ceiling he had loved the words."," Protože miloval tu tvář na stropě, miloval i ta slova."
"loved","love","miloval","milovat","impf"," Because he had loved the face on the ceiling he had loved the words."," Protože miloval tu tvář na stropě, miloval i ta slova."
"believed","believe","věřil","věřit","impf"," As he had believed in the burned man and the meadows of civilisation he tended."," Stejně jako tehdy věřil v toho popáleného člověka a luhy civilizace, o které pečoval."
"tended","tend","pečoval","pečovat","impf"," As he had believed in the burned man and the meadows of civilisation he tended."," Stejně jako tehdy věřil v toho popáleného člověka a luhy civilizace, o které pečoval."
"look","look","podívej","podívat","pf"," "" And look what they did to you, "" she said to herself."," "" Jen se podívej, co ti udělali, "" pronesla tiše k sobě."
"did","do","udělali","udělat","pf"," "" And look what they did to you, "" she said to herself."," "" Jen se podívej, co ti udělali, "" pronesla tiše k sobě."
"said","say","pronesla","pronést","pf"," "" And look what they did to you, "" she said to herself."," "" Jen se podívej, co ti udělali, "" pronesla tiše k sobě."
"touch","touch","dotknout","dotknout","pf"," If he could walk the seven yards across the Englishman 's room and touch her he would be sane."," Kdyby dokázal přejít těch pár metrů přes Angličanův pokoj a dotknout se jí, měl by zase jasnou hlavu."
"sat","sit","seděla","sedět","impf"," There was so little light in the room, just the candle at the table where she sat, not reading tonight;"," Pokoj byl tak málo osvětlený, jenom svíčkou na stole, u kterého seděla Hana, ale dnes večer nečetla."
"reading","read","nečetla","číst","impf"," There was so little light in the room, just the candle at the table where she sat, not reading tonight;"," Pokoj byl tak málo osvětlený, jenom svíčkou na stole, u kterého seděla Hana, ale dnes večer nečetla."
"returned","return","vrátil","vrátit","pf"," He had returned from the source of the mine explosion to find Caravaggio asleep on the library sofa with the dog in his arms."," Když se vrátil z místa, kde vybuchla mina, zjistil, že Caravaggio spí na pohovce v knihovně se psem v náručí."
"find","find","zjistil","zjistit","pf"," He had returned from the source of the mine explosion to find Caravaggio asleep on the library sofa with the dog in his arms."," Když se vrátil z místa, kde vybuchla mina, zjistil, že Caravaggio spí na pohovce v knihovně se psem v náručí."
"walking","walk","jdou","jít","impf"," Otherwise they, walking casually down the street towards you, almost about to wave, would leap over a wall and be gone for months."," Jinak když jdou náhodou po ulici proti vám a skoro už na vás kývají, vyhoupnou se najednou přes zeď a zmizí na celé měsíce."
"gone","go","jdou","jít","impf"," Otherwise they, walking casually down the street towards you, almost about to wave, would leap over a wall and be gone for months."," Jinak když jdou náhodou po ulici proti vám a skoro už na vás kývají, vyhoupnou se najednou přes zeď a zmizí na celé měsíce."
"enfolding","enfold","sevřel","sevřít","pf"," Caravaggio would disturb you by simply enfolding you in his arms, his wings."," Caravaggio vás vždycky vyvedl z rovnováhy už prostě tím, jak vás sevřel v náručí, ve svých křídlech."
"lay","lie","ležel","ležet","impf"," But now he lay in darkness, like her, in some outpost of the large house."," Teď však Caravaggio ležel stejně jako ona v temnotě kdesi v nějakém koutě rozměrného domu."
"heard","hear","neslyšel","slyšet","impf"," I am a man who did not enjoy poetry until I heard a woman recite it to us."," Já jsem člověk, který si na poezii nepotrpěl, dokud jsem neslyšel, jak nám ji přednášela žena."
"recite","recite","přednášela","přednášet","impf"," I am a man who did not enjoy poetry until I heard a woman recite it to us."," Já jsem člověk, který si na poezii nepotrpěl, dokud jsem neslyšel, jak nám ji přednášela žena."
"describe","describe","popsala","popsat","pf"," And in that desert she dragged her university days into our midst to describe the stars-the way Adam tenderly taught a woman with gracious metaphors."," A ona v té poušti sem mezi nás zavlekla čas svých univerzitních studií, aby popsala hvězdy - tak jako Adam něžně poučoval ženu půvabnými metaforami."
"sleep","sleep","spíme","spát","impf"," both when we - wake, and when we sleep :"," žijí, když spíme i když bdíme."
"shouted","shout","křičet","křičet","impf"," Maman is a French word, Clara, a circular word, suggesting cuddles, a personal word that can be even shouted in public."," Maman je francouzské slovo, Claro, vláčné slovo, v němž se cosi mazlivého, důvěrné oslovení, které lze i křičet na veřejnosti."
"swerve","swerve","stočit","stočit","pf"," Can swerve one around and enter a creek in seconds."," Která se dokáže prudce stočit a v několika vteřinách vklouznout do zátoky."
"wants","want","chce","chtít","impf"," But she wants to know about his teacher, and how he would describe him."," Ale ona se chce dozvědět o jeho učiteli, i jak ho vylíčí."
"describe","describe","vylíčí","vylíčit","pf"," But she wants to know about his teacher, and how he would describe him."," Ale ona se chce dozvědět o jeho učiteli, i jak ho vylíčí."
"worked","work","Pracoval","pracovat","impf"," "" He worked in Scientific Research."," "" Pracoval ve vědeckém výzkumu."
