"try","try","snaží","snažit","impf"," All you do is try to help, and people would think you ’ d murdered someone or something. ’"," Jeden se vždycky snaží pomoct, a lidi si nakonec myslí, že jsme někoho zamordovali nebo co. """
"paraded","parade","pochodovali","pochodovat","impf"," And he paraded in front of the Queen Mother. ’"," A taky byl na přehlídce a pochodovali před královnou matkou. """
"decided","decide","rozhodla","rozhodnout","pf"," The sister took a look at Pepper ’ s face, and decided not to chance it."," Holčička se podívala na starší sestru a rozhodla se, že to raději nebude riskovat."
"agreed","agree","shodli","shodnout","pf"," It was a very good torture, everyone agreed."," Všichni se shodli na tom, že to bylo skvělé mučení."
"slowed","slow","zpomalily","zpomalit","pf"," Cooling fans slowed, flickered, and stopped."," Větráky zpomalily a zastavily se."
"smiling","smile","usmíval","usmívat","impf"," Adam stood smiling at the two of them, a small figure perfectly poised exactly between Heaven and Hell."," Adam stál a usmíval se na oba zástupce nezemských sil, malá postavička stojící přesně uprostřed mezi Nebem a Peklem."
"grabbed","grab","chytil","chytit","pf"," Crowley grabbed Aziraphale ’ s arm."," Crowley chytil Azirafala za paži."
"grew","grow","Vyrostl","vyrůst","pf"," He grew up human!"," Vyrostl do podoby člověka!"
"say","say","řekl","říci","pf"," Tyler just couldn ’ t bring himself to say it."," Pan Tyler se prostě nedokázal přinutit k tomu, aby ta slova řekl."
"sitting","sit","seděl","sedět","impf"," He was sitting in the middle of it."," Vždyť seděl uprostřed plamenů."
"smiled","smile","usmál","usmát","pf"," The stranger smiled."," Cizinec se znovu usmál."
"stared","stare","zíral","zírat","impf"," Newt stared at her."," Newt na ni mlčky zíral."
"notice","notice","všimnout","všimnout","pf"," Even the most resolutely casual observer would notice a number of strange things about him."," I ten nejdůsledněji letmý pozorovatel by si na něm musel všimnout několika podivných věcí."
"try","try","pokusím","pokusit","pf"," ‘ If you must know, every time I try and make anything electronic work, it stops. ’"," "" No, když už to musíš vědět, pokaždé když se pokusím uvést do chodu nějaké elektrické zařízení, přestane fungovat. """
"stops","stop","přestane","přestat","pf"," ‘ If you must know, every time I try and make anything electronic work, it stops. ’"," "" No, když už to musíš vědět, pokaždé když se pokusím uvést do chodu nějaké elektrické zařízení, přestane fungovat. """
"said","say","řekla","říci","pf"," ‘ Your uncle ’ s dead, ’ said Pepper."," "" Tvůj strejda je přece mrtvej, "" řekla Pepřenka."
"got","get","dostane","dostat","pf"," It got you out at weekends, and meant that you were keeping alive fine old traditions that had made Western civilization what it was today."," Člověk se při tom dostane o víkendech do přírody a navíc si může říkat, že udržuje ty překrásné staré tradice, díky kterým se západní civilizace stala tím, čím dnes je."
"keeping","keep","dostane","dostat","pf"," It got you out at weekends, and meant that you were keeping alive fine old traditions that had made Western civilization what it was today."," Člověk se při tom dostane o víkendech do přírody a navíc si může říkat, že udržuje ty překrásné staré tradice, díky kterým se západní civilizace stala tím, čím dnes je."
"keeping","keep","udržuje","udržovat","impf"," It got you out at weekends, and meant that you were keeping alive fine old traditions that had made Western civilization what it was today."," Člověk se při tom dostane o víkendech do přírody a navíc si může říkat, že udržuje ty překrásné staré tradice, díky kterým se západní civilizace stala tím, čím dnes je."
"leaving","leave","vyrazil","vyrazit","pf"," An hour after leaving the headquarters, Newt pulled into a lay-by and rummaged in the box on the passenger seat."," Asi hodinu potom, co vyrazil z velitelství, sjel Newton na odpočívadlo a začal se přehrabávat v krabici na sedadle spolujezdce."
"pester","pester","obtěžovat","obtěžovat","impf"," Aziraphale tossed the last scrap of bread at the ducks, who went off to pester the Bulgarian naval attache and a furtive-looking man in a Cambridge tie, and carefully disposed of the paper bag in a wastepaper bin."," Azirafal hodil poslední drobečky po kachnách, které se mezitím vydaly obtěžovat bulharského námořního atašé a tajnůstkářsky vyhlížejícího muže v cambridgeské vázance, a nenápadně odhodil papírový sáček od chleba do nejbližšího odpadkového koše."
"tossed","toss","odhodil","odhodit","pf"," Aziraphale tossed the last scrap of bread at the ducks, who went off to pester the Bulgarian naval attache and a furtive-looking man in a Cambridge tie, and carefully disposed of the paper bag in a wastepaper bin."," Azirafal hodil poslední drobečky po kachnách, které se mezitím vydaly obtěžovat bulharského námořního atašé a tajnůstkářsky vyhlížejícího muže v cambridgeské vázance, a nenápadně odhodil papírový sáček od chleba do nejbližšího odpadkového koše."
"disposed","dispose","odhodil","odhodit","pf"," Aziraphale tossed the last scrap of bread at the ducks, who went off to pester the Bulgarian naval attache and a furtive-looking man in a Cambridge tie, and carefully disposed of the paper bag in a wastepaper bin."," Azirafal hodil poslední drobečky po kachnách, které se mezitím vydaly obtěžovat bulharského námořního atašé a tajnůstkářsky vyhlížejícího muže v cambridgeské vázance, a nenápadně odhodil papírový sáček od chleba do nejbližšího odpadkového koše."
"turned","turn","obrátil","obrátit","pf"," He turned and faced Crowley."," Pak se obrátil ke Crowleymu."
"win","win","vyhrajeme","vyhrát","pf"," ‘ We ’ ll win, of course, ’ he said."," "" My samozřejmě vyhrajeme, "" řekl."
"said","say","řekl","říci","pf"," ‘ We ’ ll win, of course, ’ he said."," "" My samozřejmě vyhrajeme, "" řekl."
"said","say","odpověděl","odpovědět","pf"," ‘ You don ’ t want that, ’ said the demon."," "" Ty o to ale moc nestojíš, "" odpověděl démon."
"tell","tell","říci","říci","pf"," ‘ Could you tell me your planet ’ s albedo, sir? ’ said the toad, still staring levelly at the horizon as though it was doing something interesting."," "" Mohl byste mi říci, jaké je albedo vaší planety, pane? "" řekl žabák tak trochu mimochodem a stále upíral pohled k obzoru, jako by se tam dělo bůhvíco zajímavého."
"said","say","říci","říci","pf"," ‘ Could you tell me your planet ’ s albedo, sir? ’ said the toad, still staring levelly at the horizon as though it was doing something interesting."," "" Mohl byste mi říci, jaké je albedo vaší planety, pane? "" řekl žabák tak trochu mimochodem a stále upíral pohled k obzoru, jako by se tam dělo bůhvíco zajímavého."
"tell","tell","řekl","říci","pf"," ‘ Could you tell me your planet ’ s albedo, sir? ’ said the toad, still staring levelly at the horizon as though it was doing something interesting."," "" Mohl byste mi říci, jaké je albedo vaší planety, pane? "" řekl žabák tak trochu mimochodem a stále upíral pohled k obzoru, jako by se tam dělo bůhvíco zajímavého."
"said","say","řekl","říci","pf"," ‘ Could you tell me your planet ’ s albedo, sir? ’ said the toad, still staring levelly at the horizon as though it was doing something interesting."," "" Mohl byste mi říci, jaké je albedo vaší planety, pane? "" řekl žabák tak trochu mimochodem a stále upíral pohled k obzoru, jako by se tam dělo bůhvíco zajímavého."
"tell","tell","říkám","říkat","impf"," ‘ Well, I ’ m sorry to have to tell you, sir, that your polar icecaps are below regulation size for a planet of this category, sir. ’"," "" No, nerad vám to říkám, pane, ale pro planetu této třídy se vaše polární čepičky zmenšily pod normál. """
"said","say","řekl","říci","pf"," ‘ Oh, dear, ’ said Newt."," "" Proboha, "" řekl Newt."
"nodded","nod","přikývl","přikývnout","pf"," Crowley nodded."," Crowley přikývl."
"playing","play","hrají","hrát","impf"," ‘ What ’ re they playing at? ’ said Aziraphale."," "" Na co si to hrají? "" zavrtěl Azirafal hlavou."
"play","play","hrát","hrát","impf"," His tone suggested that he could play, too."," Jeho tón naznačoval, že i on si dokáže hrát."
"talked","talk","mluví","mluvit","impf"," It was the way they talked to you."," To ten způsob, jakým s tebou mluví."
"shedding","shed","shodit","shodit","pf"," As if you were a houseplant who had started shedding leaves on the carpet."," Jako kdybys byl pokojová kytka, která si dovolila shodit listy na koberec."
"turned","turn","uhnout","uhnout","pf"," And then he turned a corner, which was meant to take him on to the slip road to the M25, from which he ’ d swing off on to the M40 up to Oxfordshire."," A pak na křižovatce odbočil na spojku, která ho měla dovést na dálnici D25, ze které měl v úmyslu uhnout na D40 nahoru k Oxfordshiru."
"said","say","řekla","říci","pf"," ‘ Anyway, your aunt could be a witch, ’ said Pepper."," "" Tvoje tetička může být klidně taky čarodějka, "" řekla Pepřenka."
"said","say","odpověděl","odpovědět","pf"," ‘ Not my aunt, ’ said Wensleydale darkly."," "" Moje teta teda ne, "" odpověděl jí Wensleydale zamračeně."
"take","take","zjistil","zjistit","pf"," If you take the trouble to look, deep down inside anyone, you ’ ll find that at bottom they ’ re really quite- ’"," Kdyby sis někdy dal tu práci rozhlédnout hluboko do lidského nitra, zjistil bys, že oni jsou v podstatě - """
"find","find","zjistil","zjistit","pf"," If you take the trouble to look, deep down inside anyone, you ’ ll find that at bottom they ’ re really quite- ’"," Kdyby sis někdy dal tu práci rozhlédnout hluboko do lidského nitra, zjistil bys, že oni jsou v podstatě - """
"turned","turn","otočil","otočit","pf"," Adam turned and appeared to notice them for the first time."," Adam se otočil, a jak se zdálo, teprve teď si jich poprvé všiml."
"appeared","appear","zdálo","zdát","impf"," Adam turned and appeared to notice them for the first time."," Adam se otočil, a jak se zdálo, teprve teď si jich poprvé všiml."
"reading","read","četl","číst","impf"," Crowley was not used to people identifying him so readily, but Adam stared at him as though Crowley ’ s entire life history was pasted inside the back of his skull and he, Adam, was reading it."," Crowley nebyl zvyklý na to, aby nějaký člověk tak rychle odhalil jeho identitu, ale chlapec se teď na něj díval, jako kdyby měl Crowley celý svůj život napsaný na čele a on, Adam, si v něm četl."
"think","think","nemyslíš","myslet","impf"," ‘ You don ’ t think American diplomats ’ wives usually give birth in little religious hospitals in the middle of nowhere, do you?"," "" Přece si nemyslíš, že by ženy amerických diplomatů rodily v kdejaké malé nemocničce, v dědině, kde dávají lišky dobrou noc?"
"give","give","rodily","rodit","impf"," ‘ You don ’ t think American diplomats ’ wives usually give birth in little religious hospitals in the middle of nowhere, do you?"," "" Přece si nemyslíš, že by ženy amerických diplomatů rodily v kdejaké malé nemocničce, v dědině, kde dávají lišky dobrou noc?"
"give","give","dávají","dávat","impf"," ‘ You don ’ t think American diplomats ’ wives usually give birth in little religious hospitals in the middle of nowhere, do you?"," "" Přece si nemyslíš, že by ženy amerických diplomatů rodily v kdejaké malé nemocničce, v dědině, kde dávají lišky dobrou noc?"
"turning","turn","obrátili","obrátit","pf"," Everyone found their eyes turning towards Adam."," Všichni najednou obrátili pohled na Adama."
"thinking","think","přemýšlí","přemýšlet","impf"," He seemed to be thinking very carefully."," Zdálo se, že chlapec úporně přemýšlí."
"said","say","řekl","říci","pf"," Then he said :"," Pak řekl :"
"matters","matter","záležet","záležet","impf"," ‘ I don ’ t see why it matters what is written."," "" Já nevím, proč by tak mělo záležet na tom, co je někde napsaný."
"said","say","prohlásil","prohlásit","pf"," ‘ Ye can ’ t trust them, the cunning buggers, ’ he said."," "" Nesmíme jim věřit, těm mazaným lumpům, "" prohlásil."
"said","say","řekl","říci","pf"," ‘ Wot kind of bike you ridin ’? ’ he said."," "" A jakou značku jezdíš, kámo? "" řekl nakonec."
"raged","rage","zuřila","zuřit","impf"," The storm raged around the quarry."," Nad křídovým lomem zuřila bouře."
"coming","come","přicházejí","přicházet","impf"," The hound slunk closer, and realized that the voices were coming from a hole in the ground."," Pes se přikradl blíž a najednou zjistil, že hlasy přicházejí z propadliny v zemi."
"interrupted","interrupt","Přerušilo","přerušit","pf"," A squeal of brakes and a long-drawn-out crunch interrupted him."," Přerušilo ho zakvílení brzd a dlouhé plechové zaskřípění."
"tried","try","pokusilo","pokusit","pf"," It looked as though the car had tried to avoid it."," Zdálo se, že právě té se auto pokusilo vyhnout."
"avoid","avoid","vyhnout","vyhnout","pf"," It looked as though the car had tried to avoid it."," Zdálo se, že právě té se auto pokusilo vyhnout."
"wanted","want","Chtěli","chtít","impf"," They wanted just enough Occult to season the simple fare of their lives, and preferably in portions no longer than forty-five minutes, followed by tea and biscuits."," Chtěli jen tolik okultismu, aby si s jeho pomocí okořenili své nevýrazné životy, a to v dávkách pokud možno ne delších než pětačtyřicet minut, po kterých následoval čaj a nějaká ta sladkost."
"followed","follow","následoval","následovat","impf"," They wanted just enough Occult to season the simple fare of their lives, and preferably in portions no longer than forty-five minutes, followed by tea and biscuits."," Chtěli jen tolik okultismu, aby si s jeho pomocí okořenili své nevýrazné životy, a to v dávkách pokud možno ne delších než pětačtyřicet minut, po kterých následoval čaj a nějaká ta sladkost."
"put","put","dát","dát","pf"," And she made sure that she had always put sprouts on to boil just before a seance."," A také dbala na to, aby za žádných okolností nezapomněla dát vařit nedlouho před seancí kapustu."
"made","make","vařit","vařit","impf"," And she made sure that she had always put sprouts on to boil just before a seance."," A také dbala na to, aby za žádných okolností nezapomněla dát vařit nedlouho před seancí kapustu."
"boil","boil","vařit","vařit","impf"," And she made sure that she had always put sprouts on to boil just before a seance."," A také dbala na to, aby za žádných okolností nezapomněla dát vařit nedlouho před seancí kapustu."
"buy","buy","kupovat","kupovat","impf"," You didn ’ t have to buy petrol, for one thing."," Tak třeba jste si nemuseli kupovat benzin."
"bought","buy","koupil","koupit","pf"," The only time Crowley had bought petrol was once in 1967, to get the free James Bond bullet-hole-in-the-windscreen transfers, which he rather fancied at the time."," Crowley si koupil benzin jen jednou v životě, a to v roce 1967, aby tak zdarma získal obtisky, které znázorňovaly průstřely předního skla, jakými se ve filmu pyšnil James Bond, jehož v té době zbožňoval."
"get","get","koupil","koupit","pf"," The only time Crowley had bought petrol was once in 1967, to get the free James Bond bullet-hole-in-the-windscreen transfers, which he rather fancied at the time."," Crowley si koupil benzin jen jednou v životě, a to v roce 1967, aby tak zdarma získal obtisky, které znázorňovaly průstřely předního skla, jakými se ve filmu pyšnil James Bond, jehož v té době zbožňoval."
"get","get","získal","získat","pf"," The only time Crowley had bought petrol was once in 1967, to get the free James Bond bullet-hole-in-the-windscreen transfers, which he rather fancied at the time."," Crowley si koupil benzin jen jednou v životě, a to v roce 1967, aby tak zdarma získal obtisky, které znázorňovaly průstřely předního skla, jakými se ve filmu pyšnil James Bond, jehož v té době zbožňoval."
"thought","think","pomyslel","pomyslet","pf"," It was quite a nice hospital, thought Mr Young."," Pan Young si pomyslel, že je to velmi příjemná malá nemocnice."
"do","do","dělaj","dělat","impf"," I mean they do it with microchips."," Rozumíš, dělaj to mikročipama."
"seen","see","neviděl","vidět","impf"," It ’ s just I ’ ve never seen “ War ” before."," Já akorát, že jsem tam nikdy neviděl ' válku '."
"going","go","fungovala","fungovat","impf"," For once, just now, because it wasn ’ t just for play but was for real, the machinery that was going to bring about the end of the world, or at least that part of it that occupied the layers between about two metres down and all the way to the ozone layer, wasn ’ t operating according to the usual script."," Protože to nebyla hra, ale skutečnost, fungovala protentokrát veškerá technika a elektrotechnika, která měla přivodit konec světa, nebo alespoň ta její část nacházející se od hloubky dvou metrů až do výše ozonové vrstvy úplně jinak, než diktovaly obvyklé scénáře."
"operating","operate","fungovala","fungovat","impf"," For once, just now, because it wasn ’ t just for play but was for real, the machinery that was going to bring about the end of the world, or at least that part of it that occupied the layers between about two metres down and all the way to the ozone layer, wasn ’ t operating according to the usual script."," Protože to nebyla hra, ale skutečnost, fungovala protentokrát veškerá technika a elektrotechnika, která měla přivodit konec světa, nebo alespoň ta její část nacházející se od hloubky dvou metrů až do výše ozonové vrstvy úplně jinak, než diktovaly obvyklé scénáře."
"imagined","imagine","nepředstavovala","představovat","impf"," ‘ This isn ’ t how I imagined it, chaps, ’ said War."," "" Takhle jsem si to tedy nepředstavovala, mládenci, "" řekla Válka."
"said","say","řekla","říci","pf"," ‘ This isn ’ t how I imagined it, chaps, ’ said War."," "" Takhle jsem si to tedy nepředstavovala, mládenci, "" řekla Válka."
"waiting","wait","Nečekala","čekat","impf"," ‘ I haven ’ t been waiting for thousands of years just to fiddle around with bits of wire."," "" Nečekala jsem přece tisíce let jenom proto, abych si pak trochu pohrála s nějakými drátky."
"started","start","začaly","začít","pf"," The other children started complaining that they wanted guns as well, and a few of the more forward ones started trying to tug them from the guards who had been thoughtless enough to take their weapons out."," Ostatní děti si začaly stěžovat, že ony chtějí také pistole, a několik mrňousů v předních řadách se pokusilo sebrat je těm strážcům, kteří byli natolik neprozřetelní, že zbraně vytáhli."
"started","start","začaly","začít","pf"," The other children started complaining that they wanted guns as well, and a few of the more forward ones started trying to tug them from the guards who had been thoughtless enough to take their weapons out."," Ostatní děti si začaly stěžovat, že ony chtějí také pistole, a několik mrňousů v předních řadách se pokusilo sebrat je těm strážcům, kteří byli natolik neprozřetelní, že zbraně vytáhli."
"wanted","want","chtějí","chtít","impf"," The other children started complaining that they wanted guns as well, and a few of the more forward ones started trying to tug them from the guards who had been thoughtless enough to take their weapons out."," Ostatní děti si začaly stěžovat, že ony chtějí také pistole, a několik mrňousů v předních řadách se pokusilo sebrat je těm strážcům, kteří byli natolik neprozřetelní, že zbraně vytáhli."
"trying","try","pokusilo","pokusit","pf"," The other children started complaining that they wanted guns as well, and a few of the more forward ones started trying to tug them from the guards who had been thoughtless enough to take their weapons out."," Ostatní děti si začaly stěžovat, že ony chtějí také pistole, a několik mrňousů v předních řadách se pokusilo sebrat je těm strážcům, kteří byli natolik neprozřetelní, že zbraně vytáhli."
"got","get","dostat","dostat","pf"," Press D - The Godfather must ’ ve got more Oscars than Gone with the Wind! ’"," Zmáčkni déčko - Kmotr musel dostat víc Oscarů než Jih proti Severu! """
"said","say","řekl","říci","pf"," ‘ I ’ m pretty certain I didn ’ t mean to do that, ’ he said."," "" Jsem si skoro jistý, že jsem nic takového neměl v úmyslu, "" řekl."
"thought","think","myslel","myslet","impf"," ‘ I had always thought that your people invented them. ’"," "" Vždycky jsem si myslel, že je vymysleli vaši. """
"invented","invent","vymysleli","vymyslet","pf"," ‘ I had always thought that your people invented them. ’"," "" Vždycky jsem si myslel, že je vymysleli vaši. """
"begun","begin","začal","začít","pf"," Then the tarnish, which had begun to suffuse its silver surface when his fingers touched it, spread to cover it completely;"," Pak ji ale začal rychle pokrývat černý dehtový povlak, který vyrašil v místech, kde se jí dotkly mužovy prsty, a netrvalo dlouho, pokryl ji celou."
"cover","cover","pokrývat","pokrývat","impf"," Then the tarnish, which had begun to suffuse its silver surface when his fingers touched it, spread to cover it completely;"," Pak ji ale začal rychle pokrývat černý dehtový povlak, který vyrašil v místech, kde se jí dotkly mužovy prsty, a netrvalo dlouho, pokryl ji celou."
"touched","touch","dotkly","dotknout","pf"," Then the tarnish, which had begun to suffuse its silver surface when his fingers touched it, spread to cover it completely;"," Pak ji ale začal rychle pokrývat černý dehtový povlak, který vyrašil v místech, kde se jí dotkly mužovy prsty, a netrvalo dlouho, pokryl ji celou."
"spread","spread","pokryl","pokrýt","pf"," Then the tarnish, which had begun to suffuse its silver surface when his fingers touched it, spread to cover it completely;"," Pak ji ale začal rychle pokrývat černý dehtový povlak, který vyrašil v místech, kde se jí dotkly mužovy prsty, a netrvalo dlouho, pokryl ji celou."
"cover","cover","pokryl","pokrýt","pf"," Then the tarnish, which had begun to suffuse its silver surface when his fingers touched it, spread to cover it completely;"," Pak ji ale začal rychle pokrývat černý dehtový povlak, který vyrašil v místech, kde se jí dotkly mužovy prsty, a netrvalo dlouho, pokryl ji celou."
"say","say","mluví","mluvit","impf"," There ’ s one thing you can say for air pollution, you get utterly amazing sunrises."," Je jediná věc, která mluví pro znečištění vzduchu - způsobuje až neuvěřitelně krásné západy slunce."
"found","find","Našel","najít","pf"," ‘ Have found Lost Continent of Atlantis."," "" Našel Atlantidu."
"won","win","vyhrál","vyhrát","pf"," High Priest has just won quoits contest. ’"," Nejvyšší kněz právě vyhrál soutěž v hodu kroužky. """
"noted","note","všiml","všimnout","pf"," We, Mr Young noted."," My, všiml si pan Young."
"think","think","měl","mít","impf"," ‘ I think we were, er, getting on with it, ’ said Mr Young."," "" Já měl dojem, hm, že to všechno zvládáme dost dobře, "" odpověděl pan Young."
"said","say","odpověděl","odpovědět","pf"," ‘ I think we were, er, getting on with it, ’ said Mr Young."," "" Já měl dojem, hm, že to všechno zvládáme dost dobře, "" odpověděl pan Young."
"said","say","řekl","říci","pf"," ‘ What room is she in? ’ said the man hurriedly."," "" Na kterém je pokoji? "" řekl muž chvatně."
"said","say","odpověděl","odpovědět","pf"," ‘ We ’ re in Room Three, ’ said Mr Young."," "" Jsme na pokoji číslo tři, "" odpověděl pan Young."
"found","find","našel","najít","pf"," He patted his pockets, and found the battered packet which, in accord with tradition, he had brought with him."," Pak si poklepal na několik kapes a až v té poslední našel pomačkaný balíček, který podle všech tradic přinesl s sebou."
"brought","bring","přinesl","přinést","pf"," He patted his pockets, and found the battered packet which, in accord with tradition, he had brought with him."," Pak si poklepal na několik kapes a až v té poslední našel pomačkaný balíček, který podle všech tradic přinesl s sebou."
"met","meet","sešli","sejít","pf"," If Turner and Landseer had met Samuel Palmer in a pub and worked it all out, and then got Stubbs to do the horses, it couldn ’ t have been better."," Kdyby se Turner a Landseer sešli v hospodě se Samuelem Palmerem a vymysleli to rukou společnou a nerozdílnou a kdyby k tomu pak ještě Stubbs přidal svoje koně, nemohlo by to být lepší."
"lost","lose","ztratila","ztratit","pf"," In a book which she, Anathema, had allowed to be lost."," A podle její knihy, kterou ona, Anatéma, ztratila."
"managed","manage","vedli","vést","impf"," Even the pious Scots, locked throughout history in a long-drawn-out battle with their arch-enemies the Scots, managed a few burnings to while away the long winter evenings."," Dokonce i pobožní Skotové, kteří už od pradávné minulosti vedli vleklý boj proti svým arcinepřátelům - Skotům, zapálili několik hranic, aby si tak ukrátili a zpříjemnili dlouhé zimní večery."
"seemed","seem","zdálo","zdát","impf"," But the English never seemed to have the heart for it."," Ale jak se zdálo, Angličané k tomu tak nějak neměli vztah."
"donated","donate","daroval","darovat","pf"," it contained a display of what were apparently walnuts but were in reality a collection of shrunken headhunter heads donated by Witchfinder CSM Horace ‘ Get them afore they Get You ’ Narker, who ’ d travelled widely in foreign parts;"," Dále tam bylo vidět sbírku čehosi, co vypadalo jako větší ořechy, ale ve skutečnosti to byla sbírka zmenšených hlav lovců lebek, kterou daroval generálmajor Horác Odrovnej - je - dřív - než - oni - odrovnají - tebe Narker, který mnoho cestoval a často se dostal do velmi vzdálených míst."
"travelled","travel","cestoval","cestovat","impf"," it contained a display of what were apparently walnuts but were in reality a collection of shrunken headhunter heads donated by Witchfinder CSM Horace ‘ Get them afore they Get You ’ Narker, who ’ d travelled widely in foreign parts;"," Dále tam bylo vidět sbírku čehosi, co vypadalo jako větší ořechy, ale ve skutečnosti to byla sbírka zmenšených hlav lovců lebek, kterou daroval generálmajor Horác Odrovnej - je - dřív - než - oni - odrovnají - tebe Narker, který mnoho cestoval a často se dostal do velmi vzdálených míst."
"Get","get","dostal","dostat","pf"," it contained a display of what were apparently walnuts but were in reality a collection of shrunken headhunter heads donated by Witchfinder CSM Horace ‘ Get them afore they Get You ’ Narker, who ’ d travelled widely in foreign parts;"," Dále tam bylo vidět sbírku čehosi, co vypadalo jako větší ořechy, ale ve skutečnosti to byla sbírka zmenšených hlav lovců lebek, kterou daroval generálmajor Horác Odrovnej - je - dřív - než - oni - odrovnají - tebe Narker, který mnoho cestoval a často se dostal do velmi vzdálených míst."
"Get","get","dostal","dostat","pf"," it contained a display of what were apparently walnuts but were in reality a collection of shrunken headhunter heads donated by Witchfinder CSM Horace ‘ Get them afore they Get You ’ Narker, who ’ d travelled widely in foreign parts;"," Dále tam bylo vidět sbírku čehosi, co vypadalo jako větší ořechy, ale ve skutečnosti to byla sbírka zmenšených hlav lovců lebek, kterou daroval generálmajor Horác Odrovnej - je - dřív - než - oni - odrovnají - tebe Narker, který mnoho cestoval a často se dostal do velmi vzdálených míst."
"contained","contain","obsahovala","obsahovat","impf"," it contained memories."," Skříňka prostě obsahovala vzpomínky."
"opened","open","otevřel","otevřít","pf"," Then he opened a tin of condensed milk for breakfast."," Pak si otevřel plechovku kondenzovaného mléka a pustil se do večeře."
"tried","try","pokusila","pokusit","pf"," If the armies of glorification had tried to march with Newt, bits of them would have dropped off."," Kdyby se armáda slávy skutečně pokusila Newta doprovázet, byla by za sebou dělala pěkné svinstvo."
"revealing","reveal","odkryl","odkrýt","pf"," As he stared over the top of his map, a door in the saucer slid aside with a satisfying whoosh, revealing a gleaming walkway which extended automatically down to the road."," Jak tak vyhlížel přes horní okraj mapy, vstupní otvor se s příslušným "" sssvoššš "" otevřel a odkryl lesklou vnitřní chodbu, která se automaticky prodloužila až k silnici."
"extended","extend","prodloužila","prodloužit","pf"," As he stared over the top of his map, a door in the saucer slid aside with a satisfying whoosh, revealing a gleaming walkway which extended automatically down to the road."," Jak tak vyhlížel přes horní okraj mapy, vstupní otvor se s příslušným "" sssvoššš "" otevřel a odkryl lesklou vnitřní chodbu, která se automaticky prodloužila až k silnici."
"skidded","skid","sklouzla","sklouznout","pf"," The one that looked like a pepper pot just skidded down it, and fell over at the bottom."," Ta, která vypadala jako přerostlá slánka, po rampě jednoduše sklouzla a dole upadla."
"fell","fall","upadla","upadnout","pf"," The one that looked like a pepper pot just skidded down it, and fell over at the bottom."," Ta, která vypadala jako přerostlá slánka, po rampě jednoduše sklouzla a dole upadla."
"think","think","myslet","myslet","impf"," It would be nice to think that the Satanist Nuns had the surplus baby - Baby B - discreetly adopted."," Bylo by hezké, kdybychom si mohli myslet, že sestry satanistky přebytečné dítě - tedy dítě B - diskrétně adoptovaly."
"turned","turn","obrátil","obrátit","pf"," And, a hundred miles away, Adam Young turned over in his sleep."," A o sto šedesát kilometrů dál se Adam Young obrátil ve spánku."
"sat","sit","seděl","sedět","impf"," Raven Sable, slim and bearded and dressed all in black, sat in the back of his slimline black limousine, talking on his slimline black telephone to his West Coast base."," Temnis Hladmore, štíhlý s upraveným vousem a celý v černém, seděl na zadním sedadle své černé limuzíny typu štíhline a hovořil černým telefonem typu štíhline se svou základnou na západním pobřeží."
"talking","talk","hovořil","hovořit","impf"," Raven Sable, slim and bearded and dressed all in black, sat in the back of his slimline black limousine, talking on his slimline black telephone to his West Coast base."," Temnis Hladmore, štíhlý s upraveným vousem a celý v černém, seděl na zadním sedadle své černé limuzíny typu štíhline a hovořil černým telefonem typu štíhline se svou základnou na západním pobřeží."
"said","say","řekl","říci","pf"," ‘ I tied up every portable telephone system in Central London for forty-five minutes at lunchtime, ’ he said."," "" V poledne jsem na pětačtyřicet minut vyřadil z provozu všechny systémy přenosných telefonů v centrálním Londýně, "" řekl."
"pointed","point","Namířil","namířit","pf"," He pointed one finger at the one-eyed teddy bear on the mantlepiece."," Namířil prst na jednookého plyšového medvěda na krbové římse."
"said","say","řekl","říci","pf"," ‘ Bang, ’ he said, and chuckled, dustily."," "" Prásk! "" řekl a sípavě se rozesmál."
"talking","talk","mluvila","mluvit","impf"," She was talking to someone."," Madam Tracy tam s někým mluvila."
"hate","hate","Nenávidím","nenávidět","impf"," I hate bloody answer phones. ’"," Nenávidím ty zasraný mechanický trpaslíky, se kterejma nic nevyřídíš! """
"hate","hate","nenávidím","nenávidět","impf"," ‘ I hate Ansaphones, too, ’ said Cruelty to Animals."," "" Já ty záznamníky taky nenávidím, "" přidal se k němu Týrání zvířat. """
"change","change","změnit","změnit","pf"," ‘ Can I change mine? ’ asked Embarrassing Personal Problems, who had been thinking intently since he last spoke."," "" Hele, mohl bych si to změnit? "" zeptal se Osobní trapasy, který od chvíle, kdy promluvil naposled, horečnatě přemýšlel."
"asked","ask","zeptal","zeptat","pf"," ‘ Can I change mine? ’ asked Embarrassing Personal Problems, who had been thinking intently since he last spoke."," "" Hele, mohl bych si to změnit? "" zeptal se Osobní trapasy, který od chvíle, kdy promluvil naposled, horečnatě přemýšlel."
"spoke","speak","promluvil","promluvit","pf"," ‘ Can I change mine? ’ asked Embarrassing Personal Problems, who had been thinking intently since he last spoke."," "" Hele, mohl bych si to změnit? "" zeptal se Osobní trapasy, který od chvíle, kdy promluvil naposled, horečnatě přemýšlel."
"thinking","think","přemýšlel","přemýšlet","impf"," ‘ Can I change mine? ’ asked Embarrassing Personal Problems, who had been thinking intently since he last spoke."," "" Hele, mohl bych si to změnit? "" zeptal se Osobní trapasy, který od chvíle, kdy promluvil naposled, horečnatě přemýšlel."
