"broke","break","zlomil","zlomit","pf"," The boy in the house threw a stone at me and broke it. """," Chlapec z domu hodil po mně kamenem a zlomil mi je! """
"turned","turn","učinil","učinit","pf"," The elephant turned without a sound, took three strides back to the boy in the moonlight, put down his trunk, swung him up to his neck, and almost before Little Toomai had settled his knees, slipped into the forest."," - Slon se obrátil bez hlesu, učinil tři kroky zpět v měsíční záři k chlapci, sklonil chobot, vyhoupl chlapce na hřbet a skorem dříve, nežli si malý Tumé usadil pohodlně kolena, vklouzli do lesa."
"settled","settle","usadil","usadit","pf"," The elephant turned without a sound, took three strides back to the boy in the moonlight, put down his trunk, swung him up to his neck, and almost before Little Toomai had settled his knees, slipped into the forest."," - Slon se obrátil bez hlesu, učinil tři kroky zpět v měsíční záři k chlapci, sklonil chobot, vyhoupl chlapce na hřbet a skorem dříve, nežli si malý Tumé usadil pohodlně kolena, vklouzli do lesa."
"talked","talk","mluviti","mluvit","impf"," I should have talked to Chua. """," měl jsem mluviti s Chuou. """
"waked","wake","Vzbudil","vzbudit","pf"," He 's waked me up too."," Vzbudil mne také."
"beg","beg","Prosím","prosit","impf"," "" Oh, beg your pardon, "" said the mule."," "" Prosím za odpuštění, "" řekl mezek."
"said","say","řekl","říci","pf"," "" Oh, beg your pardon, "" said the mule."," "" Prosím za odpuštění, "" řekl mezek."
"see","see","vidět","vidět","impf"," "" It 's too dark to see much."," "" Je příliš tma a je sotva vidět."
"see","see","viděti","vidět","impf"," "" I can see more than you, and I do think about it."," "" Já mohu viděti mnohem více nežli ty a já na to myslím."
"think","think","myslím","myslet","impf"," "" I can see more than you, and I do think about it."," "" Já mohu viděti mnohem více nežli ty a já na to myslím."
"cure","cure","léčit","léčit","impf"," I know there 's a great deal of me to take care of, and I know that nobody knows how to cure me when I 'm sick."," Vím, že je mne notný kousek, o nějž jest se mi starat, a vím, že nikdo neví, jak mne léčit, když jsem nemocen."
"stop","stop","zarazí","zarazit","pf"," All they can do is to stop my driver 's pay till I get well, and I ca n't trust my driver. """," Vše, co dovedou, jest, že zarazí mému vůdci plat, dokud se opět neuzdravím, a na svého vůdce se nemohu spolehnout. """
"trust","trust","spolehnout","spolehnout","pf"," All they can do is to stop my driver 's pay till I get well, and I ca n't trust my driver. """," Vše, co dovedou, jest, že zarazí mému vůdci plat, dokud se opět neuzdravím, a na svého vůdce se nemohu spolehnout. """
"trust","trust","spolehnout","spolehnout","pf"," I can trust Dick. """," Já se na Dicka mohu spolehnout. """
"trying","try","snaží","snažit","impf"," He whimpers and cheeps all the night, trying to make up his mind to run into the middle of the room, but he never gets there."," Kničí a píská po celou noc a snaží se vzmužiti a vběhnouti doprostřed komnaty, ale nikdy tam nedojde."
"kill","kill","Nezabíjej","zabíjet","impf"," "" Do n't kill me, "" said Chuchundra, almost weeping."," "" Nezabíjej mne, "" pravila Čučundra skorem plačky."
"said","say","pravila","pravit","pf"," "" Do n't kill me, "" said Chuchundra, almost weeping."," "" Nezabíjej mne, "" pravila Čučundra skorem plačky."
"met","meet","setkal","setkat","pf"," The first thing he did was to crawl inland, and there he met tens of thousands of babies of his own age, and they played together like puppies, went to sleep on the clean sand, and played again."," Prvním jeho činem bylo, že se plazil dále do vnitra země a setkal se tam s desetitisíci mláďaty jeho věku, hráli si spolu jako štěňata, spali spolu na čistém písku a hráli si opět."
"played","play","hráli","hrát","impf"," The first thing he did was to crawl inland, and there he met tens of thousands of babies of his own age, and they played together like puppies, went to sleep on the clean sand, and played again."," Prvním jeho činem bylo, že se plazil dále do vnitra země a setkal se tam s desetitisíci mláďaty jeho věku, hráli si spolu jako štěňata, spali spolu na čistém písku a hráli si opět."
"played","play","hráli","hrát","impf"," The first thing he did was to crawl inland, and there he met tens of thousands of babies of his own age, and they played together like puppies, went to sleep on the clean sand, and played again."," Prvním jeho činem bylo, že se plazil dále do vnitra země a setkal se tam s desetitisíci mláďaty jeho věku, hráli si spolu jako štěňata, spali spolu na čistém písku a hráli si opět."
"sleep","sleep","spali","spát","impf"," The first thing he did was to crawl inland, and there he met tens of thousands of babies of his own age, and they played together like puppies, went to sleep on the clean sand, and played again."," Prvním jeho činem bylo, že se plazil dále do vnitra země a setkal se tam s desetitisíci mláďaty jeho věku, hráli si spolu jako štěňata, spali spolu na čistém písku a hráli si opět."
"played","play","hráli","hrát","impf"," The first thing he did was to crawl inland, and there he met tens of thousands of babies of his own age, and they played together like puppies, went to sleep on the clean sand, and played again."," Prvním jeho činem bylo, že se plazil dále do vnitra země a setkal se tam s desetitisíci mláďaty jeho věku, hráli si spolu jako štěňata, spali spolu na čistém písku a hráli si opět."
"played","play","hráli","hrát","impf"," The first thing he did was to crawl inland, and there he met tens of thousands of babies of his own age, and they played together like puppies, went to sleep on the clean sand, and played again."," Prvním jeho činem bylo, že se plazil dále do vnitra země a setkal se tam s desetitisíci mláďaty jeho věku, hráli si spolu jako štěňata, spali spolu na čistém písku a hráli si opět."
"kept","keep","drželi","držet","impf"," The old people in the nurseries took no notice of them, and the holluschickie kept to their own grounds, so the babies had a beautiful playtime."," Staří v hnízdištích si jich nevšímali a holušíkové se drželi na svých vlastních hříštích, a tak měla mláďata krásný volný čas ku hraní."
"kept","keep","měla","mít","impf"," The old people in the nurseries took no notice of them, and the holluschickie kept to their own grounds, so the babies had a beautiful playtime."," Staří v hnízdištích si jich nevšímali a holušíkové se drželi na svých vlastních hříštích, a tak měla mláďata krásný volný čas ku hraní."
"said","say","pravil","pravit","pf"," "" Not green corn, Protector of the Poor, - melons, "" said Little Toomai, and all the men sitting about broke into a roar of laughter."," "" Zelené obilí ne, Ochránče Chudých, ale - melouny, "" pravil malý Tumé, a všichni muži, sedící kolem, vypukli v hlučný smích."
"wished","wish","přál","přát","impf"," Little Toomai was hanging eight feet up in the air, and he wished very much that he were eight feet underground."," Malý Tumé vznášel se osm stop nad zemí, a přál si horoucně, aby byl osm stop pod zemí."
"said","say","pravil","pravit","pf"," "" He is Toomai, my son, Sahib, "" said Big Toomai, scowling."," "" Je to Tumé, můj syn, Sahibe, "" pravil velký Tumé, mrače se."
"came","come","přicházel","přicházet","impf"," His father ran out with a stick, but by the time he came up, Karait had lunged out once too far, and Rikki-tikki had sprung, jumped on the snake 's back, dropped his head far between his fore legs, bitten as high up the back as he could get hold, and rolled away."," Otec vyběhl ven s holí, ale ve chvíli, když přicházel, vymrštil se Karait poněkud příliš daleko a Riki - Tiki mu skočil v týl, sevřel jeho hlavu mezi své přední nohy, zakousl se mu do těla, jak jen hluboko mohl a odkulil se od něho."
"lunged","lunge","skočil","skočit","pf"," His father ran out with a stick, but by the time he came up, Karait had lunged out once too far, and Rikki-tikki had sprung, jumped on the snake 's back, dropped his head far between his fore legs, bitten as high up the back as he could get hold, and rolled away."," Otec vyběhl ven s holí, ale ve chvíli, když přicházel, vymrštil se Karait poněkud příliš daleko a Riki - Tiki mu skočil v týl, sevřel jeho hlavu mezi své přední nohy, zakousl se mu do těla, jak jen hluboko mohl a odkulil se od něho."
"sprung","spring","skočil","skočit","pf"," His father ran out with a stick, but by the time he came up, Karait had lunged out once too far, and Rikki-tikki had sprung, jumped on the snake 's back, dropped his head far between his fore legs, bitten as high up the back as he could get hold, and rolled away."," Otec vyběhl ven s holí, ale ve chvíli, když přicházel, vymrštil se Karait poněkud příliš daleko a Riki - Tiki mu skočil v týl, sevřel jeho hlavu mezi své přední nohy, zakousl se mu do těla, jak jen hluboko mohl a odkulil se od něho."
"jumped","jump","skočil","skočit","pf"," His father ran out with a stick, but by the time he came up, Karait had lunged out once too far, and Rikki-tikki had sprung, jumped on the snake 's back, dropped his head far between his fore legs, bitten as high up the back as he could get hold, and rolled away."," Otec vyběhl ven s holí, ale ve chvíli, když přicházel, vymrštil se Karait poněkud příliš daleko a Riki - Tiki mu skočil v týl, sevřel jeho hlavu mezi své přední nohy, zakousl se mu do těla, jak jen hluboko mohl a odkulil se od něho."
"read","read","Čtete","číst","impf"," If you read the old books of natural history, you will find they say that when the mongoose fights the snake and happens to get bitten, he runs off and eats some herb that cures him."," Čtete - li staré přírodopisné knihy, dočtete se v nich, že zápasí - li mungo s hadem a kousne - li ho had, že doběhne pro jistou bylinku, která jej uzdraví."
"fights","fight","zápasí","zápasit","impf"," If you read the old books of natural history, you will find they say that when the mongoose fights the snake and happens to get bitten, he runs off and eats some herb that cures him."," Čtete - li staré přírodopisné knihy, dočtete se v nich, že zápasí - li mungo s hadem a kousne - li ho had, že doběhne pro jistou bylinku, která jej uzdraví."
"cures","cure","uzdraví","uzdravit","pf"," If you read the old books of natural history, you will find they say that when the mongoose fights the snake and happens to get bitten, he runs off and eats some herb that cures him."," Čtete - li staré přírodopisné knihy, dočtete se v nich, že zápasí - li mungo s hadem a kousne - li ho had, že doběhne pro jistou bylinku, která jej uzdraví."
"follow","follow","sledovati","sledovat","impf"," The victory is only a matter of quickness of eye and quickness of foot, - snake 's blow against mongoose 's jump, - and as no eye can follow the motion of a snake 's head when it strikes, that makes things much more wonderful than any magic herb."," Vítězství záleží jediné na bystrosti oka a rychlosti nohou, - hadí uštknutí proti mungovu skoku - a jelikož nemůže žádné oko sledovati pohyb útočící hadí hlavy při ráně, je věc tím jen ještě podivuhodnější než kterákoli kouzelná bylinka."
"struck","strike","udeřil","udeřit","pf"," What 's that? "" said Sea Vitch, and he struck the next walrus a blow with his tusks and waked him up, and the next struck the next, and so on till they were all awake and staring in every direction but the right one."," Co je? "" ptal se Mořský Čaroděj a udeřil svými tesáky sousedního mrože a vzbudil jej tím, a ten pak udeřil sousedního a ten zase souseda a tak byli za chvíli všichni vzhůru a čuměli vyjeveně všemi možnými směry, jenom ne tím pravým."
"struck","strike","udeřil","udeřit","pf"," What 's that? "" said Sea Vitch, and he struck the next walrus a blow with his tusks and waked him up, and the next struck the next, and so on till they were all awake and staring in every direction but the right one."," Co je? "" ptal se Mořský Čaroděj a udeřil svými tesáky sousedního mrože a vzbudil jej tím, a ten pak udeřil sousedního a ten zase souseda a tak byli za chvíli všichni vzhůru a čuměli vyjeveně všemi možnými směry, jenom ne tím pravým."
"waked","wake","vzbudil","vzbudit","pf"," What 's that? "" said Sea Vitch, and he struck the next walrus a blow with his tusks and waked him up, and the next struck the next, and so on till they were all awake and staring in every direction but the right one."," Co je? "" ptal se Mořský Čaroděj a udeřil svými tesáky sousedního mrože a vzbudil jej tím, a ten pak udeřil sousedního a ten zase souseda a tak byli za chvíli všichni vzhůru a čuměli vyjeveně všemi možnými směry, jenom ne tím pravým."
"struck","strike","udeřil","udeřit","pf"," What 's that? "" said Sea Vitch, and he struck the next walrus a blow with his tusks and waked him up, and the next struck the next, and so on till they were all awake and staring in every direction but the right one."," Co je? "" ptal se Mořský Čaroděj a udeřil svými tesáky sousedního mrože a vzbudil jej tím, a ten pak udeřil sousedního a ten zase souseda a tak byli za chvíli všichni vzhůru a čuměli vyjeveně všemi možnými směry, jenom ne tím pravým."
"struck","strike","udeřil","udeřit","pf"," What 's that? "" said Sea Vitch, and he struck the next walrus a blow with his tusks and waked him up, and the next struck the next, and so on till they were all awake and staring in every direction but the right one."," Co je? "" ptal se Mořský Čaroděj a udeřil svými tesáky sousedního mrože a vzbudil jej tím, a ten pak udeřil sousedního a ten zase souseda a tak byli za chvíli všichni vzhůru a čuměli vyjeveně všemi možnými směry, jenom ne tím pravým."
"show","show","ukázal","ukázat","pf"," "" To show that he is not going any nearer to the smoke on the other side."," "" Aby ukázal, že nejde ani o krok blíže ke kouři na druhé straně."
"going","go","nejde","jít","impf"," "" To show that he is not going any nearer to the smoke on the other side."," "" Aby ukázal, že nejde ani o krok blíže ke kouři na druhé straně."
"tug","tug","vlečeme","vléci","impf"," Then we tug the big gun all together -"," A pak vlečeme my všichni společně veliké dělo."
"climb","climb","nešplháme","šplhat","impf"," We do not climb like cats nor run like calves."," - My nešplháme jako kočky ani neběháme jako telata."
"run","run","neběháme","běhat","impf"," We do not climb like cats nor run like calves."," - My nešplháme jako kočky ani neběháme jako telata."
"made","make","dělá","dělat","impf"," but he was a restless companion, because he had to get up and attend to every noise all through the night, and find out what made it."," Byl však neklidným soudruhem, jelikož musil dávat pozor na každý ruch a šustot po celou noc, a musel vědět, kdo ho dělá."
"came","come","přišli","přijít","pf"," Teddy 's mother and father came in, the last thing, to look at their boy, and Rikki-tikki was awake on the pillow."," Teddyho matka a otec přišli se naposled podívat na svého hošíka, a Riki - Tiki hleděl na ně s polštáře."
"look","look","podívat","podívat","pf"," Teddy 's mother and father came in, the last thing, to look at their boy, and Rikki-tikki was awake on the pillow."," Teddyho matka a otec přišli se naposled podívat na svého hošíka, a Riki - Tiki hleděl na ně s polštáře."
"look","look","hleděl","hledět","impf"," Teddy 's mother and father came in, the last thing, to look at their boy, and Rikki-tikki was awake on the pillow."," Teddyho matka a otec přišli se naposled podívat na svého hošíka, a Riki - Tiki hleděl na ně s polštáře."
"said","say","řekla","říci","pf"," "" I do n't like that, "" said Teddy 's mother;"," "" To nevidím ráda, "" řekla matka Teddyho;"
"do","do","Neudělá","udělat","pf"," "" He 'll do no such thing, "" said the father."," "" Neudělá nic takového, "" pravil otec."
"said","say","pravil","pravit","pf"," "" He 'll do no such thing, "" said the father."," "" Neudělá nic takového, "" pravil otec."
"shivered","shiver","chvěl","chvět","impf"," so he set his teeth and shivered."," zaťal tedy zuby a chvěl se."
"kill","kill","nezabíjej","zabíjet","impf"," "" Rikki-tikki, do n't kill me. """," "" Riki - Tiki, nezabíjej mne! """
"think","think","myslíš","myslet","impf"," "" Do you think a snake-killer kills muskrats? "" said Rikki-tikki scornfully."," "" Což myslíš, že vrah hadův zabíjí pižmové krysy? "" pravil Riki - Tiki pohrdlivě."
"kills","kill","zabíjí","zabíjet","impf"," "" Do you think a snake-killer kills muskrats? "" said Rikki-tikki scornfully."," "" Což myslíš, že vrah hadův zabíjí pižmové krysy? "" pravil Riki - Tiki pohrdlivě."
"said","say","pravil","pravit","pf"," "" Do you think a snake-killer kills muskrats? "" said Rikki-tikki scornfully."," "" Což myslíš, že vrah hadův zabíjí pižmové krysy? "" pravil Riki - Tiki pohrdlivě."
"kill","kill","zabíjí","zabíjet","impf"," "" Those who kill snakes get killed by snakes, "" said Chuchundra, more sorrowfully than ever."," "" Kdo hady zabíjí, může sám býti od hadů zabit, "" řekla Čučundra starostlivěji než prve."
"killed","kill","zabíjí","zabíjet","impf"," "" Those who kill snakes get killed by snakes, "" said Chuchundra, more sorrowfully than ever."," "" Kdo hady zabíjí, může sám býti od hadů zabit, "" řekla Čučundra starostlivěji než prve."
"kill","kill","zabit","zabít","pf"," "" Those who kill snakes get killed by snakes, "" said Chuchundra, more sorrowfully than ever."," "" Kdo hady zabíjí, může sám býti od hadů zabit, "" řekla Čučundra starostlivěji než prve."
"killed","kill","zabit","zabít","pf"," "" Those who kill snakes get killed by snakes, "" said Chuchundra, more sorrowfully than ever."," "" Kdo hady zabíjí, může sám býti od hadů zabit, "" řekla Čučundra starostlivěji než prve."
"said","say","řekla","říci","pf"," "" Those who kill snakes get killed by snakes, "" said Chuchundra, more sorrowfully than ever."," "" Kdo hady zabíjí, může sám býti od hadů zabit, "" řekla Čučundra starostlivěji než prve."
"mistake","mistake","nesplete","splést","pf"," "" And how am I to be sure that Nag wo n't mistake me for you some dark night? """," "" A kdo mi ručí za to, že si mne Nag nesplete s tebou za některé tmavé noci? """
"do","do","nejdeš","jít","impf"," "" but Nag is in the garden, and I know you do n't go there. """," "" ale Nag je v zahradě, a vím, že ty tam nejdeš. """
"go","go","nejdeš","jít","impf"," "" but Nag is in the garden, and I know you do n't go there. """," "" ale Nag je v zahradě, a vím, že ty tam nejdeš. """
"paralyzed","paralyze","ochromilo","ochromit","pf"," That bite paralyzed Karait, and Rikki-tikki was just going to eat him up from the tail, after the custom of his family at dinner, when he remembered that a full meal wakes a slow mongoose, and if he wanted all his strength and quickness ready, he must keep himself thin."," Kousnutí ochromilo Karaita a Riki - Tiki chystal se právě pozříti ho od ocasu k hlavě dle rodinného zvyku při obědě, kdy si v tom vzpomněl, že plný žaludek činí munga líným, a chtěl - li si zachovati veškeru svou bystrost a sílu, musil zůstati štíhlým."
"remembered","remember","vzpomněl","vzpomenout","pf"," That bite paralyzed Karait, and Rikki-tikki was just going to eat him up from the tail, after the custom of his family at dinner, when he remembered that a full meal wakes a slow mongoose, and if he wanted all his strength and quickness ready, he must keep himself thin."," Kousnutí ochromilo Karaita a Riki - Tiki chystal se právě pozříti ho od ocasu k hlavě dle rodinného zvyku při obědě, kdy si v tom vzpomněl, že plný žaludek činí munga líným, a chtěl - li si zachovati veškeru svou bystrost a sílu, musil zůstati štíhlým."
"wanted","want","chtěl","chtít","impf"," That bite paralyzed Karait, and Rikki-tikki was just going to eat him up from the tail, after the custom of his family at dinner, when he remembered that a full meal wakes a slow mongoose, and if he wanted all his strength and quickness ready, he must keep himself thin."," Kousnutí ochromilo Karaita a Riki - Tiki chystal se právě pozříti ho od ocasu k hlavě dle rodinného zvyku při obědě, kdy si v tom vzpomněl, že plný žaludek činí munga líným, a chtěl - li si zachovati veškeru svou bystrost a sílu, musil zůstati štíhlým."
"keep","keep","zachovati","zachovat","pf"," That bite paralyzed Karait, and Rikki-tikki was just going to eat him up from the tail, after the custom of his family at dinner, when he remembered that a full meal wakes a slow mongoose, and if he wanted all his strength and quickness ready, he must keep himself thin."," Kousnutí ochromilo Karaita a Riki - Tiki chystal se právě pozříti ho od ocasu k hlavě dle rodinného zvyku při obědě, kdy si v tom vzpomněl, že plný žaludek činí munga líným, a chtěl - li si zachovati veškeru svou bystrost a sílu, musil zůstati štíhlým."
"beat","beat","bil","bít","impf"," He went away for a dust-bath under the castor-oil bushes, while Teddy 's father beat the dead Karait."," Poodešel si pro prachovou lázeň pod skočcové keře, mezitím co otec Teddyho bil holí do mrtvého hada."
"thought","think","myslil","myslit","impf"," "" What is the use of that? "" thought Rikki-tikki."," "" K čemu to? "" myslil si Riki - Tiki;"
"settled","settle","vypořádal","vypořádat","pf"," "" I have settled it all "";"," "" vždyť jsem se s ním nadobro vypořádal. """
"send","send","posílat","posílat","impf"," ' Tis a pity to send that young jungle-cock to moult in the plains. """," Je to škoda, posílat toho mladého džunglího kohouta, aby vypelichal v rovinách. """
"listens","listen","naslouchá","naslouchat","impf"," Now Petersen Sahib had ears all over him, as a man must have who listens to the most silent of all living things - the wild elephant."," Sahib Petersen měl všude uši, jak se také sluší na člověka, který naslouchá nejtiššímu ze všech živých tvorův, divokému slonu."
"touch","touch","Nedotýkej","dotýkat","impf"," "" Do n't touch him, Patalamon."," "" Nedotýkej se ho, Pantalamone!"
"going","go","Nepůjdu","jít","impf"," "" I 'm not going near him, "" said Patalamon."," "" Nepůjdu k němu, "" řekl Pantalamon."
"said","say","řekl","říci","pf"," "" I 'm not going near him, "" said Patalamon."," "" Nepůjdu k němu, "" řekl Pantalamon."
"do","do","půjdeš","jít","impf"," If you pass us on the ground to-morrow, do n't trumpet."," Až půjdeš zítra kolem nás, nezačni vytrubovat."
"spoils","spoil","Kazí","kazit","impf"," It spoils our formation. """," Kazí to naše řady. """
"gave","give","dal","dát","pf"," Billy the mule stumped off with the swaggering limp of an old campaigner, as the troop-horse 's head came nuzzling into my breast, and I gave him biscuits;"," Mezek Billy odešel pohodlným krokem starého venkovana a hlava koníkova vsunula se čenichajíc pod můj kabát a já mu dal suchary."
"told","tell","poznal","poznat","pf"," while Vixen, who is a most conceited little dog, told him fibs about the scores of horses that she and I kept."," A Vixen, která je nejduchaplnějším pejskem, jakého jsem kdy poznal, vyprávěla mu pohádky o celých tuctech koní, které ona a já jsme chovali."
"told","tell","vyprávěla","vyprávět","impf"," while Vixen, who is a most conceited little dog, told him fibs about the scores of horses that she and I kept."," A Vixen, která je nejduchaplnějším pejskem, jakého jsem kdy poznal, vyprávěla mu pohádky o celých tuctech koní, které ona a já jsme chovali."
"kept","keep","chovali","chovat","impf"," while Vixen, who is a most conceited little dog, told him fibs about the scores of horses that she and I kept."," A Vixen, která je nejduchaplnějším pejskem, jakého jsem kdy poznal, vyprávěla mu pohádky o celých tuctech koní, které ona a já jsme chovali."
"coming","come","Přijdu","přijít","pf"," "" I 'm coming to the parade to-morrow in my dogcart, "" she said."," "" Přijdu zítra k defilé na svém kozlíku, "" řekla."
"said","say","řekla","říci","pf"," "" I 'm coming to the parade to-morrow in my dogcart, "" she said."," "" Přijdu zítra k defilé na svém kozlíku, "" řekla."
"said","say","řka","říci","pf"," Next morning he gave him a scolding, and said :"," Nazítří mu důkladně vyčinil, řka :"
"began","begin","počaly","počít","pf"," but now his eyes began to get bigger and bigger, and he picked up the reins on his horse 's neck, and looked behind him."," ale teď se jeho oči počaly šířiti a šířiti - uchopil uzdu svého koně a ohlédl se za sebe."
"get","get","uchopil","uchopit","pf"," but now his eyes began to get bigger and bigger, and he picked up the reins on his horse 's neck, and looked behind him."," ale teď se jeho oči počaly šířiti a šířiti - uchopil uzdu svého koně a ohlédl se za sebe."
"headed","head","mířil","mířit","impf"," She headed straight for the long grass by the thorn-bush, and as he was running Rikki-tikki heard Darzee still singing his foolish little song of triumph."," A had mířil rovnou cestou k vysoké trávě u trnového keře, a jak běželi, slyšel Riki - Tiki Darzyho stále ještě zpívati svou pošetilou vítěznou písničku."
"running","run","běželi","běžet","impf"," She headed straight for the long grass by the thorn-bush, and as he was running Rikki-tikki heard Darzee still singing his foolish little song of triumph."," A had mířil rovnou cestou k vysoké trávě u trnového keře, a jak běželi, slyšel Riki - Tiki Darzyho stále ještě zpívati svou pošetilou vítěznou písničku."
"heard","hear","slyšel","slyšet","impf"," She headed straight for the long grass by the thorn-bush, and as he was running Rikki-tikki heard Darzee still singing his foolish little song of triumph."," A had mířil rovnou cestou k vysoké trávě u trnového keře, a jak běželi, slyšel Riki - Tiki Darzyho stále ještě zpívati svou pošetilou vítěznou písničku."
"singing","sing","zpívati","zpívat","impf"," She headed straight for the long grass by the thorn-bush, and as he was running Rikki-tikki heard Darzee still singing his foolish little song of triumph."," A had mířil rovnou cestou k vysoké trávě u trnového keře, a jak běželi, slyšel Riki - Tiki Darzyho stále ještě zpívati svou pošetilou vítěznou písničku."
"flapped","flap","mávala","mávat","impf"," She flew off her nest as Nagaina came along, and flapped her wings about Nagaina 's head."," Slétla s hnízda, a jak se Nagaina hnala okolo, mávala jí křídloma okolo hlavy."
"helped","help","pomohl","pomoci","pf"," If Darzee had helped they might have turned her;"," Kdyby byl Darzy pomohl, mohli ji obrátiti;"
"turned","turn","obrátiti","obrátit","pf"," If Darzee had helped they might have turned her;"," Kdyby byl Darzy pomohl, mohli ji obrátiti;"
"lowered","lower","sklonila","sklonit","pf"," but Nagaina only lowered her hood and went on."," takto však Nagaina jen sklonila hlavu níže a ubíhala dále."
"said","say","řekl","říci","pf"," "" Oh, go on, "" said Billy."," "" Oh, vypravujte! "" řekl Billy."
"seen","see","Viděl","vidět","impf"," He has seen three generations of us feed him and groom him, and he will live to see four. """," Viděl tři naše pokolení, jež jej krmila a opatrovala, a dočká se ještě čtvrtého. "" ještě čtvrté. """
"see","see","Viděl","vidět","impf"," He has seen three generations of us feed him and groom him, and he will live to see four. """," Viděl tři naše pokolení, jež jej krmila a opatrovala, a dočká se ještě čtvrtého. "" ještě čtvrté. """
"feed","feed","krmila","krmit","impf"," He has seen three generations of us feed him and groom him, and he will live to see four. """," Viděl tři naše pokolení, jež jej krmila a opatrovala, a dočká se ještě čtvrtého. "" ještě čtvrté. """
"standing","stand","maje","mít","impf"," "" He is afraid of me also, "" said Little Toomai, standing up to his full height of four feet, with only one rag upon him."," "" Bojí se také mne, "" ozval se malý Tumé a vypial se v plné výšce svých čtyř stop, maje kolem těla ovinutý pouhý cár."
"keep","keep","udržovat","udržovat","impf"," Must I keep order along the whole line? """," Což musím udržovat pořádek po celé řadě? """
"Hear","hear","Slyšíte","slyšet","impf"," "" Hear him! "" said the other driver."," "" Slyšíte ho? "" ozval se jiný honec."
"gone","go","šla","jít","impf"," By daylight Kotick 's mane was standing on end and his temper was gone where the dead crabs go."," Když se rozednilo, ježil Kotík již hřívu a trpělivost jeho šla cestou, kam odcházejí mrtví krabi."
"go","go","šla","jít","impf"," By daylight Kotick 's mane was standing on end and his temper was gone where the dead crabs go."," Když se rozednilo, ježil Kotík již hřívu a trpělivost jeho šla cestou, kam odcházejí mrtví krabi."
"gone","go","odcházejí","odcházet","impf"," By daylight Kotick 's mane was standing on end and his temper was gone where the dead crabs go."," Když se rozednilo, ježil Kotík již hřívu a trpělivost jeho šla cestou, kam odcházejí mrtví krabi."
"go","go","odcházejí","odcházet","impf"," By daylight Kotick 's mane was standing on end and his temper was gone where the dead crabs go."," Když se rozednilo, ježil Kotík již hřívu a trpělivost jeho šla cestou, kam odcházejí mrtví krabi."
"began","begin","začaly","začít","pf"," Then the Sea Cow began to travel northward very slowly, stopping to hold absurd bowing councils from time to time, and Kotick followed them, saying to himself :"," Tu se začaly Mořské Krávy hýbati pomalu k severu, zastavujíce se chvílemi, aby odbývaly směšné kývavé porady, a Kotík je následoval, mluvě k sobě :"
"followed","follow","následoval","následovat","impf"," Then the Sea Cow began to travel northward very slowly, stopping to hold absurd bowing councils from time to time, and Kotick followed them, saying to himself :"," Tu se začaly Mořské Krávy hýbati pomalu k severu, zastavujíce se chvílemi, aby odbývaly směšné kývavé porady, a Kotík je následoval, mluvě k sobě :"
"jumped","jump","vyskočili","vyskočit","pf"," All the elephants in the lines jumped up as if they had been shot, and their grunts at last waked the sleeping mahouts, and they came out and drove in the picket-pegs with big mallets, and tightened this rope and knotted that till all was quiet."," Všichni sloni v ohradě vyskočili, jako by byl do nich střelil, a řev jejich probudil konečně spící mahuty, kteří přišli a přitloukli dřevěné hřeby v kolech velikými kladivy, a přitáhli a zauzlili pevněji ten či onen provaz, až vše opět ztichlo."
"shot","shoot","střelil","střelit","pf"," All the elephants in the lines jumped up as if they had been shot, and their grunts at last waked the sleeping mahouts, and they came out and drove in the picket-pegs with big mallets, and tightened this rope and knotted that till all was quiet."," Všichni sloni v ohradě vyskočili, jako by byl do nich střelil, a řev jejich probudil konečně spící mahuty, kteří přišli a přitloukli dřevěné hřeby v kolech velikými kladivy, a přitáhli a zauzlili pevněji ten či onen provaz, až vše opět ztichlo."
"waked","wake","probudil","probudit","pf"," All the elephants in the lines jumped up as if they had been shot, and their grunts at last waked the sleeping mahouts, and they came out and drove in the picket-pegs with big mallets, and tightened this rope and knotted that till all was quiet."," Všichni sloni v ohradě vyskočili, jako by byl do nich střelil, a řev jejich probudil konečně spící mahuty, kteří přišli a přitloukli dřevěné hřeby v kolech velikými kladivy, a přitáhli a zauzlili pevněji ten či onen provaz, až vše opět ztichlo."
"came","come","přišli","přijít","pf"," All the elephants in the lines jumped up as if they had been shot, and their grunts at last waked the sleeping mahouts, and they came out and drove in the picket-pegs with big mallets, and tightened this rope and knotted that till all was quiet."," Všichni sloni v ohradě vyskočili, jako by byl do nich střelil, a řev jejich probudil konečně spící mahuty, kteří přišli a přitloukli dřevěné hřeby v kolech velikými kladivy, a přitáhli a zauzlili pevněji ten či onen provaz, až vše opět ztichlo."
"missed","miss","nevynechal","vynechat","pf"," He bit off the tops of the eggs as fast as he could, taking care to crush the young cobras, and turned over the litter from time to time to see whether he had missed any."," Co nejrychleji mohl ukousl každému vejci konec, dávaje pozor, aby rozmáčkl i háďata a chvílemi prohraboval i doupě, hledaje, zdali některé nevynechal."
"began","begin","počal","počít","pf"," At last there were only three eggs left, and Rikki-tikki began to chuckle to himself, when he heard Darzee 's wife screaming :"," Konečně zbývala již jen tři vejce a Riki - Tiki počal se radostně usmívati, když zaslechl Darzyho samičku ječící :"
