"give","give","dáš","dát","pf"," "" And you 're ready to give it to us? "" urged Loonquawl."," "" A ty nám ji dáš? "" loudil Lúnkvól."
"drink","drink","vypít","vypít","pf"," Each of the two contestants would then concentrate their will on the bottle and attempt to tip it and pour spirit into the glass of his opponent - who would then have to drink it."," Oba hráči se pak soustředí na láhev a pokoušejí se ji svou vůlí naklonit a nalít likér do protivníkovy skleničky, a ten ho pak musí vypít."
"played","play","hraje","hrát","impf"," The bottle would then be refilled. The game would be played again."," Načež se láhev znovu naplní a hraje se další kolo."
"started","start","začnete","začít","pf"," Once you started to lose you would probably keep losing, because one of the effects of Janx spirit is to depress telepsychic power."," Jak jednou začnete prohrávat, je pravděpodobné, že budete prohrávat pořád, protože Janxův likér, kromě jiných účinků, snižuje telepsychické schopnosti."
"lose","lose","prohrávat","prohrávat","impf"," Once you started to lose you would probably keep losing, because one of the effects of Janx spirit is to depress telepsychic power."," Jak jednou začnete prohrávat, je pravděpodobné, že budete prohrávat pořád, protože Janxův likér, kromě jiných účinků, snižuje telepsychické schopnosti."
"losing","lose","prohrávat","prohrávat","impf"," Once you started to lose you would probably keep losing, because one of the effects of Janx spirit is to depress telepsychic power."," Jak jednou začnete prohrávat, je pravděpodobné, že budete prohrávat pořád, protože Janxův likér, kromě jiných účinků, snižuje telepsychické schopnosti."
"lose","lose","prohrávat","prohrávat","impf"," Once you started to lose you would probably keep losing, because one of the effects of Janx spirit is to depress telepsychic power."," Jak jednou začnete prohrávat, je pravděpodobné, že budete prohrávat pořád, protože Janxův likér, kromě jiných účinků, snižuje telepsychické schopnosti."
"losing","lose","prohrávat","prohrávat","impf"," Once you started to lose you would probably keep losing, because one of the effects of Janx spirit is to depress telepsychic power."," Jak jednou začnete prohrávat, je pravděpodobné, že budete prohrávat pořád, protože Janxův likér, kromě jiných účinků, snižuje telepsychické schopnosti."
"recognized","recognize","poznal","poznat","pf"," The aircar was empty, but Arthur recognized it as belonging to Slartibartfast."," Bylo prázdné, ale Arthur poznal, že patří Slartibartfastovi."
"picked","pick","sebral","sebrat","pf"," He stooped down and picked up a cold clot of earth, but there was nothing underneath it worth crossing thousands of light years to look at."," Sehnul se a sebral ze země hromadu studeného bláta, ale neobjevil nic, co by stálo za překonání vzdálenosti tisíců světelných let."
"trying","try","pokouší","pokoušet","impf"," She wished she knew what it was she was trying not to think about."," Byla by ráda věděla, na co se vlastně pokouší nemyslet."
"think","think","nemyslet","myslet","impf"," She wished she knew what it was she was trying not to think about."," Byla by ráda věděla, na co se vlastně pokouší nemyslet."
"sleep","sleep","spát","spát","impf"," Zaphod could n't sleep."," Zafod nemohl spát."
"think","think","myslet","myslet","impf"," He also wished he knew what it was that he would n't let himself think about."," Také by byl rád věděl, na co si to zakazuje myslet."
"suffered","suffer","měl","mít","impf"," For as long as he could remember he 'd suffered from a vague nagging feeling of being not all there."," Kam jeho paměť sahala, vždycky měl jakýsi neurčitý znepokojivý pocit, že mu snad haraší."
"lie","lie","ležet","ležet","impf"," you can lie on it on the brilliant marble-sanded beaches of Santraginus V, inhaling the heady sea vapours;"," Můžete na něm ležet na zářivých, mramorovým pískem vystlaných plážích Santraginu V a vdechovat opojné výpary z jeho moří."
"sleep","sleep","spát","spát","impf"," you can sleep under it beneath the stars which shine so redly on the desert world of Kakrafoon;"," Můžete na něm spát pod hvězdami, jež tak rudě září na planetě pouští, Karkrafúnu."
"tried","try","zkusil","zkusit","pf"," He tried again."," Pak mu to ale nedalo, a zkusil to znova."
"Going","go","Půjdete","jít","impf"," "" Going to watch the match this afternoon then? """," "" Půjdete odpoledne na fotbal? """
"shoot","shoot","vystřelíme","vystřelit","pf"," "" Oh, er, well the hatchway in front of us will open automatically in a few moments and we will shoot out into deep space I expect and asphyxicate."," "" Aha, nojo, ten příklop před námi se za okamžik automaticky otavře, a my podle všeho vystřelíme do hlubin kosmu a zadusíme se."
"take","take","vydržet","vydržet","pf"," If you take a lungful of air with you you can last for up to thirty seconds of course ... "" said Ford."," Když si na cestu nabereš dost vzduchu do plic, můžeš samozejmě vydržet až třicet vteřin ..., "" vysvětloval Ford."
"last","last","vydržet","vydržet","pf"," If you take a lungful of air with you you can last for up to thirty seconds of course ... "" said Ford."," Když si na cestu nabereš dost vzduchu do plic, můžeš samozejmě vydržet až třicet vteřin ..., "" vysvětloval Ford."
"raised","raise","zdvihl","zdvihnout","pf"," He stuck his hands behind his back, raised his eyebrows and started to hum an old Betelgeusian battle hymn."," Složil ruce za zády, zdvihl obočí a začal si pobrukovat starou betelgeuzskou bojovou píseň."
"started","start","začal","začít","pf"," He stuck his hands behind his back, raised his eyebrows and started to hum an old Betelgeusian battle hymn."," Složil ruce za zády, zdvihl obočí a začal si pobrukovat starou betelgeuzskou bojovou píseň."
"wait","wait","Počkej","počkat","pf"," You wait till I 've settled down into the situation and found my bearings."," Počkej, až se zorientuju a seznámím se situací."
"start","start","začnu","začít","pf"," Then I 'll start panicking. """," Pak teprv začnu panikařit! """
"tried","try","pokoušel","pokoušet","impf"," Ford tried desperately to think, but was interrupted by the guard shouting again."," Ford se zoufale pokoušel přemýšlet, ale vyrušil ho strážce, který znovu zařval :"
"think","think","přemýšlet","přemýšlet","impf"," Ford tried desperately to think, but was interrupted by the guard shouting again."," Ford se zoufale pokoušel přemýšlet, ale vyrušil ho strážce, který znovu zařval :"
"said","say","řekl","říci","pf"," "" Oh give it a rest, "" said Ford."," "" Dej si pauzu, "" řekl Ford."
"looking","look","pohlédnout","pohlédnout","pf"," He twisted his head till he was looking straight up into his captor 's face."," Vytočil hlavu, až mohl pohlédnout svému vězniteli přímo do tváře."
"Did","do","Udělal","udělat","pf"," "" Did I do anything wrong today, "" he said, "" or has the world always been like this and I 've been too wrapped up in myself to notice? """," "" Udělal jsem dneska něco špatně, "" uvažoval nahlas, "" anebo byl svět vždycky takovýhle, a jenom já jsem to neviděl, protože jsem byl příliš zahleděný sám do sebe? """
"do","do","Udělal","udělat","pf"," "" Did I do anything wrong today, "" he said, "" or has the world always been like this and I 've been too wrapped up in myself to notice? """," "" Udělal jsem dneska něco špatně, "" uvažoval nahlas, "" anebo byl svět vždycky takovýhle, a jenom já jsem to neviděl, protože jsem byl příliš zahleděný sám do sebe? """
"answer","answer","odpovídat","odpovídat","impf"," No, do n't bother to answer that, I 'm fifty thousand times more intelligent than you and even I do n't know the answer."," Ne, nemusíte odpovídat, jsem padesát tisíckrát inteligentnější než vy, a taky na to neumím odpovědět."
"answer","answer","odpovědět","odpovědět","pf"," No, do n't bother to answer that, I 'm fifty thousand times more intelligent than you and even I do n't know the answer."," Ne, nemusíte odpovídat, jsem padesát tisíckrát inteligentnější než vy, a taky na to neumím odpovědět."
"trying","try","pokouším","pokoušet","impf"," It gives me a headache just trying to think down to your level. """," Dostávám bolení hlavy, když se pokouším dostat na vaši mentální úroveň. """
"escaped","escape","utekly","utéci","pf"," "" My white mice have escaped! "" she said."," "" Moje bílé myšky utekly! "" hlásila rozčileně."
"said","say","vyjádřil","vyjádřit","pf"," "" Nuts to your white mice, "" he said."," "" Kašlu na tvoje bílý myšky, "" vyjádřil se."
"said","say","odpověděl","odpovědět","pf"," "" Yes, "" said Ford, "" except ... no!"," "" Ano, "" odpověděl Ford, "" ledaže by ... ne!"
"cried","cry","vykřikoval","vykřikovat","impf"," Where? "" cried Arthur twisting round."," Kde? "" vykřikoval Arthur a snažil se obrátit."
"going","go","dělal","dělat","impf"," "" No, I was only fooling, "" said Ford, "" we are going to die after all. """," "" Ale nic, dělal jsem si srandu, "" zklamal ho Ford, "" stejně umřeme. """
"die","die","umřeme","umřít","pf"," "" No, I was only fooling, "" said Ford, "" we are going to die after all. """," "" Ale nic, dělal jsem si srandu, "" zklamal ho Ford, "" stejně umřeme. """
"asked","ask","Ptal","ptát","impf"," I asked him if he 'd come to clean the windows and he said no he 'd come to demolish the house."," Ptal jsem se ho, jestli přišel umýt okna, a on na to že ne, že přišel zbourat dům."
"come","come","přišel","přijít","pf"," I asked him if he 'd come to clean the windows and he said no he 'd come to demolish the house."," Ptal jsem se ho, jestli přišel umýt okna, a on na to že ne, že přišel zbourat dům."
"come","come","přišel","přijít","pf"," I asked him if he 'd come to clean the windows and he said no he 'd come to demolish the house."," Ptal jsem se ho, jestli přišel umýt okna, a on na to že ne, že přišel zbourat dům."
"come","come","přišel","přijít","pf"," I asked him if he 'd come to clean the windows and he said no he 'd come to demolish the house."," Ptal jsem se ho, jestli přišel umýt okna, a on na to že ne, že přišel zbourat dům."
"come","come","přišel","přijít","pf"," I asked him if he 'd come to clean the windows and he said no he 'd come to demolish the house."," Ptal jsem se ho, jestli přišel umýt okna, a on na to že ne, že přišel zbourat dům."
"demolish","demolish","zbourat","zbourat","pf"," I asked him if he 'd come to clean the windows and he said no he 'd come to demolish the house."," Ptal jsem se ho, jestli přišel umýt okna, a on na to že ne, že přišel zbourat dům."
"tell","tell","neřekl","říci","pf"," He did n't tell me straight away of course."," To mi ovšem neřekl rovnou."
"wiped","wipe","otřel","otřít","pf"," Oh no. First he wiped a couple of windows and charged me a fiver."," Nejdřív otřel pár oken a vyinkasoval pět liber."
"went","go","šel","jít","impf"," "" Oh yes, well as soon as I heard I went straight round to see them, yesterday afternoon."," "" To jo, a jakmile jsem se to dozvěděl, hned jsem se taky na ně šel podívat, včera odpoledne to bylo."
"see","see","podívat","podívat","pf"," "" Oh yes, well as soon as I heard I went straight round to see them, yesterday afternoon."," "" To jo, a jakmile jsem se to dozvěděl, hned jsem se taky na ně šel podívat, včera odpoledne to bylo."
"hear","hear","slyšíte","slyšet","impf"," The speech patterns you actually hear decode the brainwave matrix which has been fed into your mind by your Babel fish."," Řečová schémata, která skutečně slyšíte, se dekódují podle myšlenkové matrice, kterou do vaší mysli uložila babylónská rybka."
"evolved","evolve","vyvinout","vyvinout","pf"," "" Now it is such a bizarrely improbable coincidence that anything so mindboggingly useful could have evolved purely by chance that some thinkers have chosen to see it as the final and clinching proof of the non-existence of God."," Skutečnost, že se něco tak nepochopitelně užitečného mohlo vyvinout pouhou náhodou, je tak bizardně nepravděpodobnou shodou okolností, že někteří myslitelé se rozhodli považovat to za konečný a nezvratný důkaz Boží neexistence."
"chosen","choose","rozhodli","rozhodnout","pf"," "" Now it is such a bizarrely improbable coincidence that anything so mindboggingly useful could have evolved purely by chance that some thinkers have chosen to see it as the final and clinching proof of the non-existence of God."," Skutečnost, že se něco tak nepochopitelně užitečného mohlo vyvinout pouhou náhodou, je tak bizardně nepravděpodobnou shodou okolností, že někteří myslitelé se rozhodli považovat to za konečný a nezvratný důkaz Boží neexistence."
"clinching","clinch","rozhodli","rozhodnout","pf"," "" Now it is such a bizarrely improbable coincidence that anything so mindboggingly useful could have evolved purely by chance that some thinkers have chosen to see it as the final and clinching proof of the non-existence of God."," Skutečnost, že se něco tak nepochopitelně užitečného mohlo vyvinout pouhou náhodou, je tak bizardně nepravděpodobnou shodou okolností, že někteří myslitelé se rozhodli považovat to za konečný a nezvratný důkaz Boží neexistence."
"see","see","považovat","považovat","impf"," "" Now it is such a bizarrely improbable coincidence that anything so mindboggingly useful could have evolved purely by chance that some thinkers have chosen to see it as the final and clinching proof of the non-existence of God."," Skutečnost, že se něco tak nepochopitelně užitečného mohlo vyvinout pouhou náhodou, je tak bizardně nepravděpodobnou shodou okolností, že někteří myslitelé se rozhodli považovat to za konečný a nezvratný důkaz Boží neexistence."
"managed","manage","podařilo","podařit","pf"," With a microsecond pause, and a finely calculated micromodulation of pitch and timbre - nothing you could actually take offence at - Marvin managed to convey his utter contempt and horror of all things human."," Mikrosekundovou pauzou a pečlivě propočítanou mikromodulací barvy a výšky hlasu - nic, co by se mohlo kohokoliv skutečně dotknout - se Marvinovi podařilo vyjádřit pohrdání a zděšení, jež v něm vyvolávalo vše lidské."
"convey","convey","vyjádřit","vyjádřit","pf"," With a microsecond pause, and a finely calculated micromodulation of pitch and timbre - nothing you could actually take offence at - Marvin managed to convey his utter contempt and horror of all things human."," Mikrosekundovou pauzou a pečlivě propočítanou mikromodulací barvy a výšky hlasu - nic, co by se mohlo kohokoliv skutečně dotknout - se Marvinovi podařilo vyjádřit pohrdání a zděšení, jež v něm vyvolávalo vše lidské."
"said","say","řekla","říci","pf"," "" Yes, "" said Trillian firmly."," "" Nic, "" řekla Trillian pevně."
"leaped","leap","vyskočil","vyskočit","pf"," Zaphod leaped out of his seat."," Zafod vyskočil ze sedadla."
"Proving","prove","nedokazuje","dokazovat","impf"," "" Proving nothing, "" said Ford."," "" To nic nedokazuje, "" odporoval Ford."
"trust","trust","nedůvěřoval","důvěřovat","impf"," "" I would n't trust that computer to speak my weight. """," "" Ostatně tomu počítači bych nedůvěřoval, jestli chcete slyšet můj názor. """
"help","help","pomůže","pomoci","pf"," "" I can even work out you personality problems to ten decimal places if it will help. """," "" Klidně dokážu vypočítat tvoje psychologické problémy s přesností na deset desetinných míst, jestli ti to nějak pomůže. """
"blow","blow","vyhodit","vyhodit","pf"," Whatever Zaphod 's qualities of mind might include - dash, bravado, conceit - he was mechanically inept and could easily blow the ship up with an extravagant gesture."," Zafodova osobnost se sice vyznačovala pozoruhodnými kvalitami - byl energický, statečný a ješitný, zato však naprostý motorický debil, a klidně by mohl nějakým extravagantním gestem vyhodit loď do povětří."
"did","do","dělá","dělat","impf"," Trillian had come to suspect that the main reason why he had had such a wild and successful life that he never really understood the significance of anything he did."," Trillian chovala jisté podezření, že hlavní důvod, proč Zafodův život byl tak bouřlivý a tak úspěšný, spočíval v tom, že nikdy pořádně nevěděl, co vlastně dělá."
"said","say","řekla","říci","pf"," "" Zaphod, "" she said patiently, "" they were floating unprotected in open space ... you would n't want them to have died would you? """," "" Zafode, "" řekla trpělivě, "" vznášeli se ve volném kosmu úplně nechránění ... nechtěl bys přece, aby umřeli, že ne? """
"want","want","nechtěl","chtít","impf"," "" Zaphod, "" she said patiently, "" they were floating unprotected in open space ... you would n't want them to have died would you? """," "" Zafode, "" řekla trpělivě, "" vznášeli se ve volném kosmu úplně nechránění ... nechtěl bys přece, aby umřeli, že ne? """
"died","die","umřeli","umřít","pf"," "" Zaphod, "" she said patiently, "" they were floating unprotected in open space ... you would n't want them to have died would you? """," "" Zafode, "" řekla trpělivě, "" vznášeli se ve volném kosmu úplně nechránění ... nechtěl bys přece, aby umřeli, že ne? """
"sink","sink","klesaly","klesat","impf"," The huge yellow machines began to sink downward and to move faster."," Obrovité žluté stroje klesaly a nabíraly na rychlosti."
"wanted","want","nechtěl","chtít","impf"," This was n't the way he had wanted it."," Takhle to tedy nechtěl."
"said","say","Říkals","říkat","impf"," You just said there 's no one here. """," Říkals přece, že tu nikdo není. """
"see","see","neuvidíte","uvidět","pf"," The record for hitch hiking this distance is just under five years, but you do n't get to see much on the way."," Rekord ve stopování na tuto vzdálenost je něco pod pět let, ale fakt je, že toho po cestě moc neuvidíte."
"survive","survive","přežít","přežít","pf"," The Hitch Hiker 's Guide to the Galaxy says that if you hold a lungful of air you can survive in the total vacuum of space for about thirty seconds."," Stopařův průvodce po Galaxii informuje, že když si naberete plné plíce vzduchu, můžete v absolutním vakuu kosmického prostoru přežít asi třicet vteřin."
"Slept","sleep","Spali","spát","impf"," "" Slept? "" said Arthur incredulously."," "" Spali? "" opakoval Arthur nevěřícně."
"understood","understand","rozumí","rozumět","impf"," said the old man, apparently unconcerned about whether Arthur understood a word he was talking about or not."," Kmeta zjevně nezajímalo, jestli pozemšťan rozumí jedinému slovu z toho všeho, a tak ho Arthur musel znovu pobídnout k řeči :"
"looking","look","hledám","hledat","impf"," "" I do n't know what I 'm looking for. """," "" Nevím, co hledám. """
"look","look","hledat","hledat","impf"," "" Because ... because ... I think it might be because if I knew I would n't be able to look for them. """," "" Protože ... protože ... možná proto, že kdybych to věděl, tak bych to zase nebyl schopen hledat. """
"said","say","řekl","říci","pf"," "" It 's a possibility I have n't ruled out yet, "" said Zaphod quietly."," "" Ani tuhle možnost zatím nemůžu vyloučit, "" řekl Zafod tiše."
"looked","look","pohlédl","pohlédnout","pf"," Zaphod looked at him in silence again for a moment. Then he looked away."," Zafod na něho mlčky pohlédl, pak odvrátil zrak."
"looked","look","pohlédl","pohlédnout","pf"," Zaphod looked at him in silence again for a moment. Then he looked away."," Zafod na něho mlčky pohlédl, pak odvrátil zrak."
"said","say","řekl","říci","pf"," "" Z.B., "" he said."," "" Z. B., "" řekl tiše."
"started","start","začal","začít","pf"," At that moment a steel shutter slammed down behind them and gas started to pour into the chamber."," V tom okamžiku se za nimi s rachotem zabouchly ocelové padací dveře a do komory začal vnikat plyn."
"tell","tell","povídat","povídat","impf"," "" I 'll tell you about it later, "" choked Zaphod as all three passed out."," "" Někdy ti o tom budu povídat, "" rozkuckal se Zafod a pak všichni tři ztratili vědomí."
"left","leave","zanechal","zanechat","pf"," Ford had thoughtfully left him his copy of The Hitch Hiker 's Guide to the Galaxy to while away the time with."," Ford mu předvídavě zanechal svůj výtisk Stopařova průvodce po Galaxii, aby si měl čím krátit dlouhou chvíli."
"said","say","Řekla","říci","pf"," "" Exactly where we were, I think ... "" said Trillian, as all about them the mirrors showed them an image of the blighted landscape of Magrathea which still scooted along beneath them."," "" Řekla bych, že přesně tam, kde jsme byli předtím ..., "" ozvala se Trillian, když jim všudypřítomná zrcadla náhle ukázala zvětšelou tvář Magrathey, stále uhánějící pod nimi."
"showed","show","ukázala","ukázat","pf"," "" Exactly where we were, I think ... "" said Trillian, as all about them the mirrors showed them an image of the blighted landscape of Magrathea which still scooted along beneath them."," "" Řekla bych, že přesně tam, kde jsme byli předtím ..., "" ozvala se Trillian, když jim všudypřítomná zrcadla náhle ukázala zvětšelou tvář Magrathey, stále uhánějící pod nimi."
"leapt","leap","vyskočil","vyskočit","pf"," Zaphod leapt out of his seat."," Zafod vyskočil ze sedadla."
"said","say","řekl","říci","pf"," "" They would appear, "" said Ford doubtfully, "" to have turned into a bowl of petunias and a very surprised looking whale ... """," "" Vypadá to, jako by se proměnily v květináč petúnií a velmi překvapeně se tvářícího vorvaně ..., "" řekl Ford pochybovačně."
"hung","hang","Visely","viset","impf"," Motionless they hung, huge, heavy, steady in the sky, a blasphemy against nature."," Visely bez hnutí, obrovité, masívní, nehybné proti obloze, ztělesněné rouhání proti přírodě."
"tried","try","pokoušeli","pokoušet","impf"," Many people went straight into shock as their minds tried to encompass what they were looking at."," Spousta lidí utrpěla šok, když se pokoušeli pochopit, co vidí."
"hung","hang","visely","viset","impf"," The ships hung in the sky in much the same way that bricks do n't."," Lodi visely na obloze přesně tak, jak by tam cihly viset nemohly."
"hung","hang","viset","viset","impf"," The ships hung in the sky in much the same way that bricks do n't."," Lodi visely na obloze přesně tak, jak by tam cihly viset nemohly."
"lies","lie","leží","ležet","impf"," Far out in the uncharted backwaters of the unfashionable end of the western spiral arm of the Galaxy lies a small unregarded yellow sun."," Kdesi daleko v zaostalých a nezmapovaných končinách onoho cípu Západního spirálního ramene naší Galaxie, který si rozhodně nemůže dělat nároky na módnost, leží jedno malé, bezvýznamné žluté slunce."
"meant","mean","znamená","znamenat","impf"," He did n't know what it meant, but he looked at Ford Prefect with a new sense of respect, almost awe."," Nevěděl, co ten pocit znamená, ale najednou se zadíval na Forda s novým respektem, téměř s posvátnou bázní."
"think","think","Myslíte","myslet","impf"," "" Are you serious, sir? "" he said in a small whisper which had the effect of silencing the pub. "" You think the world 's going to end? """," "" Myslíte to vážně, pane, "" otázal se tichým šepotem, jímž dosáhl, že hospoda rázem ztichla, "" že bude konec světa? """
"recovered","recover","vzpamatoval","vzpamatovat","pf"," Ford had recovered himself."," Ford se vzpamatoval."
"sat","sit","seděl","sedět","impf"," Arthur Dent sat and quivered."," Arthur Dent seděl a chvěl se."
"quivered","quiver","chvěl","chvět","impf"," Arthur Dent sat and quivered."," Arthur Dent seděl a chvěl se."
"liked","like","nelíbilo","líbit","impf"," He had no idea what he was in for, but he knew that he had n't liked anything that had happened so far and did n't think things were likely to change."," Netušil sice, co ho čeká, ale věděl jen, že všechno, co se mu až doposud přihodilo, se mu ani trochu nelíbilo, a nepředpokládal, že by se věci nějak výrazně změnily."
"think","think","nepředpokládal","předpokládat","impf"," He had no idea what he was in for, but he knew that he had n't liked anything that had happened so far and did n't think things were likely to change."," Netušil sice, co ho čeká, ale věděl jen, že všechno, co se mu až doposud přihodilo, se mu ani trochu nelíbilo, a nepředpokládal, že by se věci nějak výrazně změnily."
"change","change","změnily","změnit","pf"," He had no idea what he was in for, but he knew that he had n't liked anything that had happened so far and did n't think things were likely to change."," Netušil sice, co ho čeká, ale věděl jen, že všechno, co se mu až doposud přihodilo, se mu ani trochu nelíbilo, a nepředpokládal, že by se věci nějak výrazně změnily."
"existed","exist","existovala","existovat","impf"," The nothingth of a second for which the hole existed reverberated backwards and forwards through time in a most improbable fashion."," Ona nictina vteřiny, po kterou trhlina existovala, zcela nepředvídaným způsobem rozvibrovala čas dopředu i nazpátek."
"placed","place","dejte","dát","pf"," Between them would be placed a bottle of Janx Spirit ( as immortalized in that ancient Orion mining song "" Oh do n't give me none more of that Old Janx Spirit/ No, do n't you give me none more of that Old Janx Spirit/ For my head will fly, my tongue will lie, my eyes will fry and I may die/ Wo n't you pour me one more of that sinful Old Janx Spirit "" )."," Mezi nimi stojí láhev Janxova likéru ( který byl mimochodem zvěčněn ve starodávném orionském hornickém popěvku "" Už mi nenalívejte tu starou Janxovku / ne, už mi nenalívejte tu starou Janxovku / Vždyť se mi hlava rozskočí / jazyk se do lhaní pustí / oči z hlavy vyskočí / a duše tělo opustí / Tak dejte sem ještě panáka starý Janxovky "" )."
"give","give","dejte","dát","pf"," Between them would be placed a bottle of Janx Spirit ( as immortalized in that ancient Orion mining song "" Oh do n't give me none more of that Old Janx Spirit/ No, do n't you give me none more of that Old Janx Spirit/ For my head will fly, my tongue will lie, my eyes will fry and I may die/ Wo n't you pour me one more of that sinful Old Janx Spirit "" )."," Mezi nimi stojí láhev Janxova likéru ( který byl mimochodem zvěčněn ve starodávném orionském hornickém popěvku "" Už mi nenalívejte tu starou Janxovku / ne, už mi nenalívejte tu starou Janxovku / Vždyť se mi hlava rozskočí / jazyk se do lhaní pustí / oči z hlavy vyskočí / a duše tělo opustí / Tak dejte sem ještě panáka starý Janxovky "" )."
"give","give","dejte","dát","pf"," Between them would be placed a bottle of Janx Spirit ( as immortalized in that ancient Orion mining song "" Oh do n't give me none more of that Old Janx Spirit/ No, do n't you give me none more of that Old Janx Spirit/ For my head will fly, my tongue will lie, my eyes will fry and I may die/ Wo n't you pour me one more of that sinful Old Janx Spirit "" )."," Mezi nimi stojí láhev Janxova likéru ( který byl mimochodem zvěčněn ve starodávném orionském hornickém popěvku "" Už mi nenalívejte tu starou Janxovku / ne, už mi nenalívejte tu starou Janxovku / Vždyť se mi hlava rozskočí / jazyk se do lhaní pustí / oči z hlavy vyskočí / a duše tělo opustí / Tak dejte sem ještě panáka starý Janxovky "" )."
"tried","try","snažil","snažit","impf"," Arthur tried to gauge the speed at which they were travelling, but the blackness outside was absolute and he was denied any reference points."," Arthur se snažil odhadnout rychlost letu, ale tma venku byla neproniknutelná, takže neměl žádné záchytné body."
"gauge","gauge","odhadnout","odhadnout","pf"," Arthur tried to gauge the speed at which they were travelling, but the blackness outside was absolute and he was denied any reference points."," Arthur se snažil odhadnout rychlost letu, ale tma venku byla neproniknutelná, takže neměl žádné záchytné body."
"moving","move","nepohybují","pohybovat","impf"," The sense of motion was so soft and slight he could almost believe they were hardly moving at all."," Pohyb byl tak plynulý a neznatelný, až mu připadalo, že se vlastně ani nepohybují."
"take","take","vezmete","vzít","pf"," And you yourselves shall take on new forms and go down into the computer to navigate its ten-million-year program!"," A vy vezmete na sebe novou podobu a sestoupíte do tohoto počítače, abyste řídili jeho program po deset miliónů let!"
"navigate","navigate","řídili","řídit","impf"," And you yourselves shall take on new forms and go down into the computer to navigate its ten-million-year program!"," A vy vezmete na sebe novou podobu a sestoupíte do tohoto počítače, abyste řídili jeho program po deset miliónů let!"
"design","design","Navrhnu","navrhnout","pf"," I shall design this computer for you."," Navrhnu pro vás tento počítač."
"tell","tell","Povím","povědět","pf"," "" Let me tell you the whole story. It 'll take a little time. """," Povím ti celou historii, ale zabere to dost času. """
"take","take","zabere","zabrat","pf"," "" Let me tell you the whole story. It 'll take a little time. """," Povím ti celou historii, ale zabere to dost času. """
"said","say","řekl","říci","pf"," "" Time, "" said Arthur weakly, "" is not currently one of my problems. """," "" V poslední době nejsem zrovna v časové tísni, "" řekl Arthur chabě."
"stared","stare","zírá","zírat","impf"," Ford stared at him blankly in the darkness."," Ve tmě Arthur neviděl, jak na něj Ford tupě zírá."
"asked","ask","zeptal","zeptat","pf"," "" If I asked you where the hell we were, "" said Arthur weakly, "" would I regret it? """," "" Kdybych se tě zeptal, kde to ksakru jsme, myslíš, že bych litoval? "" řekl chabě."
"regret","regret","litoval","litovat","impf"," "" If I asked you where the hell we were, "" said Arthur weakly, "" would I regret it? """," "" Kdybych se tě zeptal, kde to ksakru jsme, myslíš, že bych litoval? "" řekl chabě."
"said","say","řekl","říci","pf"," "" If I asked you where the hell we were, "" said Arthur weakly, "" would I regret it? """," "" Kdybych se tě zeptal, kde to ksakru jsme, myslíš, že bych litoval? "" řekl chabě."
"pressed","press","stiskl","stisknout","pf"," Ford pressed a large red button at the bottom of the screen and words began to undulate across it."," Ford stiskl velký červený knoflík pod obrazovkou a slova se na ní začala odvíjet."
"began","begin","začala","začít","pf"," Ford pressed a large red button at the bottom of the screen and words began to undulate across it."," Ford stiskl velký červený knoflík pod obrazovkou a slova se na ní začala odvíjet."
"began","begin","počala","počít","pf"," At the same time, the book began to speak the entry as well in a still quiet measured voice. This is what the book said."," Zároveň také kniha počala zvolené heslo klidným, tichým, uměřeným hlasem recitovat :"
"do","do","dělat","dělat","impf"," Here is what to do if you want to get a lift from a Vogon :"," Co dělat, chcete - li stopnout Vogona?"
"want","want","chcete","chtít","impf"," Here is what to do if you want to get a lift from a Vogon :"," Co dělat, chcete - li stopnout Vogona?"
"made","make","dělal","dělat","impf"," Arthur looked down at Marvin, who now made an equally big show of turning round laboriously and trudging off down into the crater again muttering sour nothings to himself."," Arthur shlížel na Marvina, který teď dělal stejné divadlo, když se namáhavě otočil a plahočil se zpátky do kráteru, a bručel si po cestě zakyslé bezvýznamnosti."
"turning","turn","otočil","otočit","pf"," Arthur looked down at Marvin, who now made an equally big show of turning round laboriously and trudging off down into the crater again muttering sour nothings to himself."," Arthur shlížel na Marvina, který teď dělal stejné divadlo, když se namáhavě otočil a plahočil se zpátky do kráteru, a bručel si po cestě zakyslé bezvýznamnosti."
"muttering","mutter","bručel","bručet","impf"," Arthur looked down at Marvin, who now made an equally big show of turning round laboriously and trudging off down into the crater again muttering sour nothings to himself."," Arthur shlížel na Marvina, který teď dělal stejné divadlo, když se namáhavě otočil a plahočil se zpátky do kráteru, a bručel si po cestě zakyslé bezvýznamnosti."
"said","say","řekl","říci","pf"," "" Late, as in the late Dentarthurdent, "" said the old man, sternly."," "" Draho jako drahý zesnulý Dentarthurdent, "" řekl kmet přísně."
"looking","look","dívá","dívat","impf"," He was experiencing the aural equivalent of looking at a picture of two black silhouetted faces and suddenly seeing it as a picture of a white candlestick."," To, co slyšel, se dalo přirovnat k pocitu člověka, jenž se dívá na černou siluetu dvou tváří, a najednou zjistí, že je to vlastně obrázek bílé svíčky."
"seeing","see","dívá","dívat","impf"," He was experiencing the aural equivalent of looking at a picture of two black silhouetted faces and suddenly seeing it as a picture of a white candlestick."," To, co slyšel, se dalo přirovnat k pocitu člověka, jenž se dívá na černou siluetu dvou tváří, a najednou zjistí, že je to vlastně obrázek bílé svíčky."
