"say","say","říkáš","říkat","impf"," “ Why do you say that? ”"," "" Proč to říkáš? """
"went","go","Šel","jít","impf"," He went forward,"," Šel."
"shining","shine","svítil","svítit","impf"," Yesterday morning, oh, yes, of course - but what a long time ago that was - yesterday morning he had woken up in his own little room ... and everything had looked as usual : his books, the certificate for the hundred yards in the inter-school sports, the cheap baby camera; the canary was twittering in its little cage and the sun was shining outside."," Včera ráno, ach ano, ale to už je nějak dávno - procitl ve svém pokoji ... a všechno bylo zdánlivě na svém místě : knížky, diplom za vyhranou "" stovku "" v dorosteneckém závodě středních škol, laciný aparát baby - box, v klícce tíkal kanár a za oknem svítil den."
"jump","jump","vyskočit","vyskočit","pf"," He only had to rub his eyes, jump out of bed and wash everything away under a shower-bath."," Stačilo promnout si oči, vyskočit oběma nohama a spláchnout všechno pod sprchou."
"heard","hear","zaslechla","zaslechnout","pf"," She heard the blows and the thunder as from afar, and slipped to the floor, holding on to the polished cover of the sewing machine with one hand and her little case in the other."," Rány a dunění zaslechla již z dálky, sesouvala se k zemi, přidržujíc se rukou ohlazené desky šicího stroje, v druhé ruce kufřík."
"took","take","Trvalo","trvat","impf"," It took her some time to realise why Jenny had less and less time for her."," Trvalo chvíli, než pochopila, proč má Jitka stále méně času."
"took","take","pochopila","pochopit","pf"," It took her some time to realise why Jenny had less and less time for her."," Trvalo chvíli, než pochopila, proč má Jitka stále méně času."
"came","come","Přicházela","přicházet","impf"," She only came to see her in the evening and came in by the back way."," Přicházela k ní jen večer a zadními vrátky."
"came","come","Přicházela","přicházet","impf"," She only came to see her in the evening and came in by the back way."," Přicházela k ní jen večer a zadními vrátky."
"stroked","stroke","hladila","hladit","impf"," They sat in the green-painted summerhouse and Jenny stroked her hair."," Sedaly v zeleně natřeném altánu a Jitka ji hladila po vlasech."
"cry","cry","brečet","brečet","impf"," I know, I ’ m not going to cry."," Já vím, a už nebudu brečet."
"dance","dance","tančíš","tančit","impf"," Who do you dance with most?"," S kým nejvíc tančíš?"
"thought","think","zdálo","zdát","impf"," On the way home he thought the streets were filled with sunlight, but that was illusion."," Když se vracel domů, zdálo se mu, že jsou ulice plny denního světla."
"saw","see","viděli","vidět","impf"," After a while they saw him again."," Po chvíli ho lidé viděli znovu."
"turned","turn","obraceje","obracet","impf"," He stopped, holding on to the handrail as he turned back, and shouted at the studio door in a hoarse voice :"," Zastavoval se, obraceje se s rukou na zábradlí, a volal ochraptělým hlasem ke dveřím ateliéru :"
"fell","fall","padne","padnout","pf"," The bare-headed man stopped still for a second and the sun fell on his face, the bright light making a smudge of his features until there was nothing but a splotch of yellow and white."," Ten prostovlasý člověk se na okamžik zastaví a slunce mu padne na tvář, smaže ostrým světlem rysy, až vypadá jako žlutá a bílá skvrna."
"do","do","nejde","jít","impf"," No, he couldn ’ t do that."," Ne, nejde to!"
"stood","stand","mám","mít","impf"," I ’ ve got plenty of strength, don ’ t you worry. ” He was in a huff now, and stood over her."," Sílu mám, to si nemysli, "" ohradil se dotčeně a vztyčil se nad ni."
"want","want","Chceš","chtít","impf"," “ D ’ you want me to prove it?"," "" Chceš to vidět?"
"put","put","Položí","položit","pf"," He put his bald head in his hands and tortured his mind with thoughts."," Položí olysalou lebku do dlaní, mučí ji myšlenkami."
"tortured","torture","mučí","mučit","impf"," He put his bald head in his hands and tortured his mind with thoughts."," Položí olysalou lebku do dlaní, mučí ji myšlenkami."
"hear","hear","Slyšíš","slyšet","impf"," Can you hear them?"," Slyšíš?"
"throw","throw","nezahodil","zahodit","pf"," You ’ re eighteen, but I ’ m afraid you may throw commonsense overboard."," Je ti osmnáct let, ale přesto se bojím, abys nezahodil rozum."
"caught","catch","zachytil","zachytit","pf"," He stopped as he caught his son ’ s glance."," Odmlčel se, když zachytil pohled syna."
"like","like","Nelíbím","líbit","impf"," “ Don ’ t you like me in it? ” she giggled happily."," "" Nelíbím se ti? "" zalykala se šťastným smíchem."
"ended","end","zakončila","zakončit","pf"," She tripped up to him with courtly little steps and ended her minuet with a deep bow at his feet."," Přicapkala k němu dvornými kroky menuetu a zakončila je hlubokou úklonou."
"left","leave","zapomněl","zapomenout","pf"," “ But I ’ ve left my programme at home on the piano, milady."," "" Ale taneční pořádek jsem zapomněl doma na pianě, lejdy."
"watching","watch","sleduje","sledovat","impf"," It was a weird feeling : she seemed to have left herself behind, to have stepped out of her own skin; it was some unknown body that was slipping along behind the broad grey-green backs, and she herself was watching it as if in a dream."," Zvláštní pocit : vystoupila ze sebe samé, mrákotný strach ji vyšíval z vlastní kůže, jakési cizí tělo se plazí za širokými, šedozelenými zády, a ona je sleduje ze snového odstupu."
"saying","say","říká","říkat","impf"," “ I only know what people are saying in the house."," "" Vím jen, co se říká po domě."
"persecute","persecute","pronásledují","pronásledovat","impf"," “ Why do they persecute them? ”"," "" Proč je pronásledují? """
"asked","ask","zeptal","zeptat","pf"," “ What ’ s happened, anyway? ” he asked in an uncertain voice."," "" A co se vlastně stalo? "" zeptal se nejistým hlasem."
"say","say","říci","říci","pf"," What could he say if he did not want to add another lie to the one already told?"," Co na to říci, nechce - li vršit na sebe další lži?"
"told","tell","říci","říci","pf"," What could he say if he did not want to add another lie to the one already told?"," Co na to říci, nechce - li vršit na sebe další lži?"
"want","want","nechce","chtít","impf"," What could he say if he did not want to add another lie to the one already told?"," Co na to říci, nechce - li vršit na sebe další lži?"
"surprised","surprise","Překvapilo","překvapit","pf"," He was surprised how heavy she was - she didn ’ t look it."," Překvapilo ho, že byla těžší, než se na pohled zdálo."
"defend","defend","bránila","bránit","impf"," She used both hands to defend herself and laughed a tinkling laugh that robbed him of strength."," bránila se oběma rukama a rozesmála se zvonivým smíchem, který jim ubral sílu;"
"dropped","drop","nechal","nechat","pf"," He dropped her hurriedly on the bumpy springs of the sofa and put his finger to his lips in a fright."," nechal ji rychle dopadnout do proleželých per pohovky a zlekaně položil prst na ústa."
"put","put","položil","položit","pf"," He dropped her hurriedly on the bumpy springs of the sofa and put his finger to his lips in a fright."," nechal ji rychle dopadnout do proleželých per pohovky a zlekaně položil prst na ústa."
"nodded","nod","kývl","kývnout","pf"," He nodded his head in the direction of the tailor ’ s shop and the laugh stopped."," Hlavou kývl směrem ke krejčovně a hned smích přestal."
"stopped","stop","přestal","přestat","pf"," He nodded his head in the direction of the tailor ’ s shop and the laugh stopped."," Hlavou kývl směrem ke krejčovně a hned smích přestal."
"thought","think","mysleli","myslet","impf"," They said nothing, and yet they were in communion; without the sound of words, in the mother tongue of body, blood and breath they thought of the morning, of the clouds and the woods, of the constellation of the Lyra, of everything they would see and hear, everything they would live through together."," Mlčeli, a přece spolu rozmlouvali : bez halasu slov, čirou mateřštinou těl, krve a dechu, mysleli na zítřek, na oblaka a lesy, na souhvězdí Lyry, na všechno, co budou vidět a cítit, co budou spolu žít."
"see","see","vidět","vidět","impf"," They said nothing, and yet they were in communion; without the sound of words, in the mother tongue of body, blood and breath they thought of the morning, of the clouds and the woods, of the constellation of the Lyra, of everything they would see and hear, everything they would live through together."," Mlčeli, a přece spolu rozmlouvali : bez halasu slov, čirou mateřštinou těl, krve a dechu, mysleli na zítřek, na oblaka a lesy, na souhvězdí Lyry, na všechno, co budou vidět a cítit, co budou spolu žít."
"hit","hit","Udeřily","udeřit","pf"," They hit him in the eye."," Udeřily do očí."
"watched","watch","pozorován","pozorovat","impf"," He came dashing out of his flat into the passage, holding a piece of paper folded in two in his hand; dozens of eyes watched him from behind the curtains."," Vyhrnul se ze svého bytu na pavlač, pozorován desítkami očí přes záclonky oken, v ruce držel přeložený papír."
"holding","hold","držel","držet","impf"," He came dashing out of his flat into the passage, holding a piece of paper folded in two in his hand; dozens of eyes watched him from behind the curtains."," Vyhrnul se ze svého bytu na pavlač, pozorován desítkami očí přes záclonky oken, v ruce držel přeložený papír."
"seemed","seem","Zdálo","zdát","impf"," He seemed blinded by the tears running down his cheeks."," Zdálo se, že nevidí pro slzy, které se mu koulely po tvářích."
"knocked","knock","Zaklepal","zaklepat","pf"," He knocked at the door of the next flat and handed the piece of paper to the astonished woman who opened to him; he couldn ’ t get a sensible word out."," Zaklepal na sousedovy dveře, podal udivené ženě, která z nich vyšla, ten papír, a nedostal ze sebe kloudného slova."
"handed","hand","podal","podat","pf"," He knocked at the door of the next flat and handed the piece of paper to the astonished woman who opened to him; he couldn ’ t get a sensible word out."," Zaklepal na sousedovy dveře, podal udivené ženě, která z nich vyšla, ten papír, a nedostal ze sebe kloudného slova."
"get","get","nedostal","dostat","pf"," He knocked at the door of the next flat and handed the piece of paper to the astonished woman who opened to him; he couldn ’ t get a sensible word out."," Zaklepal na sousedovy dveře, podal udivené ženě, která z nich vyšla, ten papír, a nedostal ze sebe kloudného slova."
"think","think","Nezdá","zdát","impf"," “ Don ’ t you think, ” his father spoke at last, “ that it ’ s a bit late to be coming home?"," "" Nezdá se ti, "" ozval se konečně otec, "" že jdeš trochu pozdě?"
"coming","come","jdeš","jít","impf"," “ Don ’ t you think, ” his father spoke at last, “ that it ’ s a bit late to be coming home?"," "" Nezdá se ti, "" ozval se konečně otec, "" že jdeš trochu pozdě?"
"like","like","Nechtěl","chtít","impf"," Wouldn ’ t you like to explain?"," Nechtěl bys nám to vysvětlit?"
"explain","explain","vysvětlit","vysvětlit","pf"," Wouldn ’ t you like to explain?"," Nechtěl bys nám to vysvětlit?"
"Learn","learn","Naučit","naučit","pf"," Learn to live in a tiny space, cramped, learn to live through this dull, dragging “ for the time being ”, worry about trifles, amuse yourself with trifles, because it ’ s no good running your head against a wall ... and so on."," Naučit se žít na malém prostůrku, přikrčeně, naučit se žít to nudné, rozvleklé prozatím, trápit se hloupostmi, bavit se hloupostmi, neboť hlavou zeď ... a tak dále!"
"learn","learn","Naučit","naučit","pf"," Learn to live in a tiny space, cramped, learn to live through this dull, dragging “ for the time being ”, worry about trifles, amuse yourself with trifles, because it ’ s no good running your head against a wall ... and so on."," Naučit se žít na malém prostůrku, přikrčeně, naučit se žít to nudné, rozvleklé prozatím, trápit se hloupostmi, bavit se hloupostmi, neboť hlavou zeď ... a tak dále!"
"Learn","learn","naučit","naučit","pf"," Learn to live in a tiny space, cramped, learn to live through this dull, dragging “ for the time being ”, worry about trifles, amuse yourself with trifles, because it ’ s no good running your head against a wall ... and so on."," Naučit se žít na malém prostůrku, přikrčeně, naučit se žít to nudné, rozvleklé prozatím, trápit se hloupostmi, bavit se hloupostmi, neboť hlavou zeď ... a tak dále!"
"learn","learn","naučit","naučit","pf"," Learn to live in a tiny space, cramped, learn to live through this dull, dragging “ for the time being ”, worry about trifles, amuse yourself with trifles, because it ’ s no good running your head against a wall ... and so on."," Naučit se žít na malém prostůrku, přikrčeně, naučit se žít to nudné, rozvleklé prozatím, trápit se hloupostmi, bavit se hloupostmi, neboť hlavou zeď ... a tak dále!"
"worry","worry","trápit","trápit","impf"," Learn to live in a tiny space, cramped, learn to live through this dull, dragging “ for the time being ”, worry about trifles, amuse yourself with trifles, because it ’ s no good running your head against a wall ... and so on."," Naučit se žít na malém prostůrku, přikrčeně, naučit se žít to nudné, rozvleklé prozatím, trápit se hloupostmi, bavit se hloupostmi, neboť hlavou zeď ... a tak dále!"
"amuse","amuse","bavit","bavit","impf"," Learn to live in a tiny space, cramped, learn to live through this dull, dragging “ for the time being ”, worry about trifles, amuse yourself with trifles, because it ’ s no good running your head against a wall ... and so on."," Naučit se žít na malém prostůrku, přikrčeně, naučit se žít to nudné, rozvleklé prozatím, trápit se hloupostmi, bavit se hloupostmi, neboť hlavou zeď ... a tak dále!"
"Go","go","Jděte","jít","impf"," Go into your own flats and shut the doors."," Jděte do svých bytů a zavřete se!"
"shut","shut","zavřete","zavřít","pf"," Go into your own flats and shut the doors."," Jděte do svých bytů a zavřete se!"
"understand","understand","nerozuměli","rozumět","impf"," They could not understand the words, but in the faint light they recognised the drunken face red from feverish sleep."," Slovům nerozuměli, ale i v slabém přísvitu poznali tvář opruzenou horečným spánkem opilců."
"recognised","recognise","poznali","poznat","pf"," They could not understand the words, but in the faint light they recognised the drunken face red from feverish sleep."," Slovům nerozuměli, ale i v slabém přísvitu poznali tvář opruzenou horečným spánkem opilců."
"rushing","rush","Hrnul","hrnout","impf"," He was rushing towards them down the twisting stairs, his fat hands feeling for the rail, his unsteady legs rolling him down like a beer-barrel, in nothing but his trousers and a shirt open at the neck."," Hrnul se k nim dolů po točitých schodech, hmataje buclatýma rukama po zábradlí, valil se na vrávoravých nožkách jako pivní sud, jen tak v kalhotách a košili rozepjatou na hrudi."
"rolling","roll","valil","valit","impf"," He was rushing towards them down the twisting stairs, his fat hands feeling for the rail, his unsteady legs rolling him down like a beer-barrel, in nothing but his trousers and a shirt open at the neck."," Hrnul se k nim dolů po točitých schodech, hmataje buclatýma rukama po zábradlí, valil se na vrávoravých nožkách jako pivní sud, jen tak v kalhotách a košili rozepjatou na hrudi."
"tried","try","Pokusil","pokusit","pf"," He tried to calm her fears with a smile."," Pokusil se ji uklidnit smíchem."
"calm","calm","uklidnit","uklidnit","pf"," He tried to calm her fears with a smile."," Pokusil se ji uklidnit smíchem."
"think","think","Myslíš","myslet","impf"," Do you think they are still there?"," Myslíš, že tam jsou?"
"write","write","nepsali","psát","impf"," Why shouldn ’ t they write to me? ”"," Proč by mi nepsali? """
"answer","answer","odpovědět","odpovědět","pf"," He did not know how to answer. He did not want to give her cheap comfort by lying, but he was afraid of her dark thoughts."," Nevěděl, co odpovědět, nechtěl ji hloupě utěšovat levným lhaním, ale současně se bál i jejích myšlenek."
"want","want","nechtěl","chtít","impf"," He did not know how to answer. He did not want to give her cheap comfort by lying, but he was afraid of her dark thoughts."," Nevěděl, co odpovědět, nechtěl ji hloupě utěšovat levným lhaním, ale současně se bál i jejích myšlenek."
"go","go","odejít","odejít","pf"," “ But I couldn ’ t go away."," "" Ale nemohla jsem odejít."
"hold","hold","vydržet","vydržet","pf"," “ Do get to your feet, ” the breathless voice spoke to her as if she was a sulky child, “ you ’ ve got to hold out now, little girl. ”"," "" Vstaň přece, "" domlouval jí udýchaně hlas jako trucovitému děcku, "" teď musíš vydržet, skřítku! """
"seen","see","viděly","vidět","impf"," What have they seen?"," Co všechno viděly?"
"heard","hear","slyšely","slyšet","impf"," What have they heard?"," Co slyšely?"
"Turning","turn","Obrátil","obrátit","pf"," Turning his head he saw a face he knew well from the passage."," Obrátil hlavu a spatřil známou tvář z pavlače."
"saw","see","spatřil","spatřit","pf"," Turning his head he saw a face he knew well from the passage."," Obrátil hlavu a spatřil známou tvář z pavlače."
"waited","wait","čekal","čekat","impf"," He took his hands out of his pockets and waited."," Vytáhl ruce z kapes a čekal."
"go","go","Nechoď","chodit","impf"," “ Don ’ t go in there, Paul, ” a man ’ s mouth whispered."," "" Nechoď tam, Pavle, "" zašeptala mužská ústa."
"whispered","whisper","zašeptala","zašeptat","pf"," “ Don ’ t go in there, Paul, ” a man ’ s mouth whispered."," "" Nechoď tam, Pavle, "" zašeptala mužská ústa."
"slacken","slacken","nezpomalil","zpomalit","pf"," The man did not slacken his pace."," Člověk nezpomalil krok."
"took","take","Uchopil","uchopit","pf"," He took him by the sleeve and gently but forcefully pulled him back again."," Uchopil ho za rukáv a jemně, ale s tvrdým důrazem ho táhl zpět."
"pulled","pull","táhl","táhnout","impf"," He took him by the sleeve and gently but forcefully pulled him back again."," Uchopil ho za rukáv a jemně, ale s tvrdým důrazem ho táhl zpět."
"tidied","tidy","uklízela","uklízet","impf"," Then she tidied the room up. She tried to keep her little den spick and span, but there was not much to tidy up and anyway she had to be as quiet as possible."," Pak uklízela : snažila se udržet svůj pelíšek ve vzorném pořádku, ale nebylo toho moc k uklízení a kromě toho musila být co nejtišší."
"tidy","tidy","uklízela","uklízet","impf"," Then she tidied the room up. She tried to keep her little den spick and span, but there was not much to tidy up and anyway she had to be as quiet as possible."," Pak uklízela : snažila se udržet svůj pelíšek ve vzorném pořádku, ale nebylo toho moc k uklízení a kromě toho musila být co nejtišší."
"tried","try","snažila","snažit","impf"," Then she tidied the room up. She tried to keep her little den spick and span, but there was not much to tidy up and anyway she had to be as quiet as possible."," Pak uklízela : snažila se udržet svůj pelíšek ve vzorném pořádku, ale nebylo toho moc k uklízení a kromě toho musila být co nejtišší."
"keep","keep","udržet","udržet","pf"," Then she tidied the room up. She tried to keep her little den spick and span, but there was not much to tidy up and anyway she had to be as quiet as possible."," Pak uklízela : snažila se udržet svůj pelíšek ve vzorném pořádku, ale nebylo toho moc k uklízení a kromě toho musila být co nejtišší."
"wait","wait","Čekat","čekat","impf"," Just wait and go on waiting."," Čekat a zase jen čekat."
"waiting","wait","Čekat","čekat","impf"," Just wait and go on waiting."," Čekat a zase jen čekat."
"wait","wait","čekat","čekat","impf"," Just wait and go on waiting."," Čekat a zase jen čekat."
"waiting","wait","čekat","čekat","impf"," Just wait and go on waiting."," Čekat a zase jen čekat."
"admit","admit","nepřiznala","přiznat","pf"," But she would not admit her suffering to him - she did not want to add to his troubles."," Ale jemu se ke své trýzni nepřiznala, nechtěla mu přidělávat starosti."
"want","want","nechtěla","chtít","impf"," But she would not admit her suffering to him - she did not want to add to his troubles."," Ale jemu se ke své trýzni nepřiznala, nechtěla mu přidělávat starosti."
"crying","cry","plakala","plakat","impf"," For hours she would lie on her face, crying into her pillow."," Proležela hodiny na břiše, tvář zabořenou do polštáře, a plakala."
"tried","try","pokoušely","pokoušet","impf"," The face bent over him, tired and wrinkled, and the old eyes tried to read his features."," Skláněla se nad ním, svraštělá a unavená, staré oči se pokoušely číst v jeho tváři."
"read","read","číst","číst","impf"," The face bent over him, tired and wrinkled, and the old eyes tried to read his features."," Skláněla se nad ním, svraštělá a unavená, staré oči se pokoušely číst v jeho tváři."
"hear","hear","Slyšel","slyšet","impf"," He could hear him keeping back his breath."," Slyšel jeho potlačovaný dech."
"tried","try","snažil","snažit","impf"," He kept his lids firmly closed and tried to breathe with the regular rhythm of sleep."," Stiskl pevně víčka, snažil se oddechovat stejnoměrností spánku."
"lying","lie","Lžu","lhát","impf"," I ’ m lying!"," Lžu!"
"lying","lie","Lžu","lhát","impf"," I ’ m lying to the man who taught me never to tell a lie!"," Lžu jemu, který mě učil říkat vždycky pravdu."
"taught","teach","učil","učit","impf"," I ’ m lying to the man who taught me never to tell a lie!"," Lžu jemu, který mě učil říkat vždycky pravdu."
"tell","tell","říkat","říkat","impf"," I ’ m lying to the man who taught me never to tell a lie!"," Lžu jemu, který mě učil říkat vždycky pravdu."
"hear","hear","zaslechla","zaslechnout","pf"," In the short intervals of trembling quiet she could hear their voices."," V krátkých okamžicích drkotavého ticha zaslechla hlasy."
"hopping","hop","poskakuje","poskakovat","impf"," A dusty jackdaw was hopping about awkwardly with clipped wings, in front of the coalman ’ s basement shop."," Zaprášená kavka s ustřiženými křídly pitvorně poskakuje před schody do sklepního krámku uhlíře."
"hear","hear","Slyšíš","slyšet","impf"," Can you hear the world?"," Slyšíš svět?"
"felt","feel","Ucítil","ucítit","pf"," He felt the soft pressure of her fingers as she pulled him on top of her and the earth seemed to move beneath them, to be rocking them in the safety of its embrace, and all around grew quiet."," Ucítil lehký tlak jejích prstů, přitáhla ho na sebe a zdálo se jim, že se pod nimi země pohnula, kolébá je v bezpečných loktech a všechno kolem ztichlo."
"pulled","pull","přitáhla","přitáhnout","pf"," He felt the soft pressure of her fingers as she pulled him on top of her and the earth seemed to move beneath them, to be rocking them in the safety of its embrace, and all around grew quiet."," Ucítil lehký tlak jejích prstů, přitáhla ho na sebe a zdálo se jim, že se pod nimi země pohnula, kolébá je v bezpečných loktech a všechno kolem ztichlo."
"seemed","seem","zdálo","zdát","impf"," He felt the soft pressure of her fingers as she pulled him on top of her and the earth seemed to move beneath them, to be rocking them in the safety of its embrace, and all around grew quiet."," Ucítil lehký tlak jejích prstů, přitáhla ho na sebe a zdálo se jim, že se pod nimi země pohnula, kolébá je v bezpečných loktech a všechno kolem ztichlo."
"move","move","pohnula","pohnout","pf"," He felt the soft pressure of her fingers as she pulled him on top of her and the earth seemed to move beneath them, to be rocking them in the safety of its embrace, and all around grew quiet."," Ucítil lehký tlak jejích prstů, přitáhla ho na sebe a zdálo se jim, že se pod nimi země pohnula, kolébá je v bezpečných loktech a všechno kolem ztichlo."
"swimming","swim","Plavali","plavat","impf"," They were swimming in clear green-blue water, she was a few yards ahead and turned and waved at him."," Plavali v průzračné, nazelenalé vodě, ona pár metrů před ním, obrátila se a zamávala rukou."
"turned","turn","obrátila","obrátit","pf"," They were swimming in clear green-blue water, she was a few yards ahead and turned and waved at him."," Plavali v průzračné, nazelenalé vodě, ona pár metrů před ním, obrátila se a zamávala rukou."
"waved","wave","zamávala","zamávat","pf"," They were swimming in clear green-blue water, she was a few yards ahead and turned and waved at him."," Plavali v průzračné, nazelenalé vodě, ona pár metrů před ním, obrátila se a zamávala rukou."
"pronounced","pronounce","uznali","uznat","pf"," They passed him, pronounced him fit to leave school, and left him alone."," Propustili ho, uznali dospělým, dali mu pokoj!"
"shut","shut","zavřel","zavřít","pf"," he shut his eyes, worn out by the evil events of the day, and tried not to think at all."," zavřel oči, zmlácený zlým dnem, a snažil se nemyslet."
"tried","try","snažil","snažit","impf"," he shut his eyes, worn out by the evil events of the day, and tried not to think at all."," zavřel oči, zmlácený zlým dnem, a snažil se nemyslet."
"think","think","nemyslet","myslet","impf"," he shut his eyes, worn out by the evil events of the day, and tried not to think at all."," zavřel oči, zmlácený zlým dnem, a snažil se nemyslet."
"wanted","want","chtělo","chtít","impf"," And he so wanted to sleep, to plunge into the fantastic world of dreams."," A chtělo se spát, probořit se do bláznivého světa snu."
"sleep","sleep","spát","spát","impf"," And he so wanted to sleep, to plunge into the fantastic world of dreams."," A chtělo se spát, probořit se do bláznivého světa snu."
"escape","escape","Utéci","utéci","pf"," To escape into that world."," Utéci do něho."
"sleep","sleep","Spát","spát","impf"," To sleep!"," Spát!"
"kill","kill","Zabijí","zabít","pf"," “ Will they kill him, Paul? ”"," "" Zabijí ho, Pavle? """
"hiding","hide","skryl","skrýt","pf"," He turned the corner and slipped into a doorway like a naughty boy, hiding behind the door."," Zabočil za roh a jako uličník vklouzl do průjezdu domu, skryl se za vraty."
"watched","watch","sledoval","sledovat","impf"," Through a crack in the almost closed door he watched his father, his heart pounding violently."," Se srdcem šílícím v hrudi sledoval tátu škvírou mezi nedovřenými dveřmi."
"move","move","Nepohnula","pohnout","pf"," She did not move or look round."," Nepohnula se, nevzhlédla."
"crying","cry","pláčete","plakat","impf"," “ Are you crying? ”"," "" Vy pláčete? """
"lying","lie","lže","lhát","impf"," Why was she lying?"," Proč lže?"
"touch","touch","dotknout","dotknout","pf"," If he stretched out his hand he could touch her."," Kdyby vztáhl ruku, mohl se jí dotknout."
"leave","leave","odejít","odejít","pf"," He knew he could not leave her now."," Věděl, že nemůže odejít."
"want","want","nechce","chtít","impf"," He did not even want to."," Ani nechce."
"searching","search","pátral","pátrat","impf"," He kept silent, searching the pale spring darkness with his eyes."," Mlčel, pátral očima v řídké jarní tmě."
"see","see","spatřil","spatřit","pf"," A few lovers had sat down on the nearby bench; he could distinguish the dark outlines of their bodies and see the glow of their cigarettes."," Několik mileneckých párů obsadilo blízké lavičky, spatřil jejich temné obrysy, světélka cigaret."
"hugging","hug","objímá","objímat","impf"," He turned to the silent girl and realised she was trembling with cold at his side, her arm still hugging the little case."," Obrátil se k mlčící dívce, všiml si, jak se vedle něho chvěje chladem a rukou objímá svůj kufřík."
"trying","try","Snaží","snažit","impf"," he was trying to drown the doubtful conversation with the noise of his bronchitis."," Snaží se přikrýt šelestem svých bronchií ošemetný rozhovor."
"beg","beg","prosím","prosit","impf"," “ I beg your pardon? ”"," "" Jak, prosím? """
"said","say","Řekl","říci","pf"," I just said - aha! ”"," Řekl jsem jen - aha! """
"said","say","řekl","říci","pf"," Someone said ‘ Aha! ’ not long ago and came to a bad end."," Jeden řekl nedávno taky jen aha a špatně s tím pochodil."
"give","give","dát","dát","pf"," And I ’ d like to give you all I ’ ve got."," A chtěla bych ti dát všechno, co mám."
"said","say","řekl","říci","pf"," “ You ’ re a good girl, ” he said, moved."," "" Jsi hodná, "" řekl dojatě."
"force","force","nutit","nutit","impf"," I won ’ t force you ... if ... ”"," Já tě nebudu nutit ... když ... """
"finished","finish","skončily","skončit","pf"," One day VII B finished their written papers for Matric ..."," Jednoho dne skončily v oktávě B maturitní písemky ..."
"surprise","surprise","nepřekvapil","překvapit","pf"," The quiet voice did not surprise him;"," Ten tichý hlas ho nepřekvapil."
"pick","pick","Vzít","vzít","pf"," To pick them up and turn the point against her chest, to plunge them in here, at the spot where the heart is beating."," Vzít je, obrátit hrotem proti hrudi, zabořit je sem, do toho místa, kde tiká život."
"turn","turn","obrátit","obrátit","pf"," To pick them up and turn the point against her chest, to plunge them in here, at the spot where the heart is beating."," Vzít je, obrátit hrotem proti hrudi, zabořit je sem, do toho místa, kde tiká život."
"watching","watch","sledován","sledovat","impf"," The windows seemed empty, and life seemed to be carrying on its usual sleepy course in the street, and yet he knew that the black car was the target for sideways glances from passers-by and that dozens of dilated eyes were watching from behind the net of the curtains."," Zdálo se, že okna jsou prázdná, že život pulsuje v ulici dál svým obyčejným, ospalým rytmem, a přece věděl, že černý vůz je terčem kradmých pohledů chodců, že je sledován desítkami rozšířených očí přes síťovinu záclon."
"entered","enter","vstoupil","vstoupit","pf"," Horror had entered that street; he could not see anything, but he felt it in the air like escaping gas."," Děs vstoupil do ulice, neviděl nic, ale cítil ho ve vzduchu jako unikající svítiplyn."
"see","see","neviděl","vidět","impf"," Horror had entered that street; he could not see anything, but he felt it in the air like escaping gas."," Děs vstoupil do ulice, neviděl nic, ale cítil ho ve vzduchu jako unikající svítiplyn."
"felt","feel","cítil","cítit","impf"," Horror had entered that street; he could not see anything, but he felt it in the air like escaping gas."," Děs vstoupil do ulice, neviděl nic, ale cítil ho ve vzduchu jako unikající svítiplyn."
"see","see","chápu","chápat","impf"," “ Of course, it ’ s national feeling, I see their point."," "" Nu samozřejmě, národní city, chápu."
"look","look","dívej","dívat","impf"," Stick to your national feelings, but look the situation straight in the face."," Měj si je, ale dívej se na situaci otevřenýma očima!"
"leading","lead","vedla","vést","impf"," At Gestapo headquarters in Prague the phones were never still, news kept pouring in, confused information, betrayal for revenge, oaths, curses, millions and millions offered for disgraceful information leading to the arrest of those responsible."," Telefony na pražské centrále gestapa se zmítaly na vidlicích, zprávy pršely, zmatené údaje, udání ze msty, nadávky, kletby, vypisovaly se další miliony za nicotná sdělení, která by vedla k dopadení pachatelů."
"want","want","netoužím","toužit","impf"," If you weren ’ t here I just wouldn ’ t want to know anything or hear anything or feel anything."," Kdybys tu nebyla, netoužím prostě už nic vědět, nic slyšet, nic cítit."
"hear","hear","slyšet","slyšet","impf"," If you weren ’ t here I just wouldn ’ t want to know anything or hear anything or feel anything."," Kdybys tu nebyla, netoužím prostě už nic vědět, nic slyšet, nic cítit."
"feel","feel","cítit","cítit","impf"," If you weren ’ t here I just wouldn ’ t want to know anything or hear anything or feel anything."," Kdybys tu nebyla, netoužím prostě už nic vědět, nic slyšet, nic cítit."
"breathed","breathe","dýchali","dýchat","impf"," Do you remember how we breathed together not long ago?"," Nedávno jsme spolu dýchali, pamatuješ?"
"remember","remember","pamatuješ","pamatovat","impf"," Do you remember how we breathed together not long ago?"," Nedávno jsme spolu dýchali, pamatuješ?"
"passed","pass","utíkal","utíkat","impf"," Time passed; in his embarrassment he looked at his watch."," Čas utíkal, z rozpaků se podíval na náramkové hodinky."
"looked","look","podíval","podívat","pf"," Time passed; in his embarrassment he looked at his watch."," Čas utíkal, z rozpaků se podíval na náramkové hodinky."
"stayed","stay","zůstal","zůstat","pf"," He looked round at her again, and stayed where he was;"," Ale když se znovu ohlédl, zůstal sedět."
