"thought","think","myslel","myslet","impf"," "" I thought I saw children. """," "" A já si myslel, že vidím děti. """
"carried","carry","má","mít","impf"," to notice that he was wearing the awful black raincoat which had lost its shape and should never have been worn in public but which he 'd willfully packed for the trip and willfully carried with him everywhere;"," Abyste si všimli, že má na sobě ten úděsný černý plášť do deště, který už dávno ztratil tvar a vůbec by se v něm člověk neměl ukazovat na veřejnosti, jenže on si ho na cestu svědomitě zabalil a pečlivě a svědomitě ho s sebou všude nosil."
"lost","lose","ztratil","ztratit","pf"," to notice that he was wearing the awful black raincoat which had lost its shape and should never have been worn in public but which he 'd willfully packed for the trip and willfully carried with him everywhere;"," Abyste si všimli, že má na sobě ten úděsný černý plášť do deště, který už dávno ztratil tvar a vůbec by se v něm člověk neměl ukazovat na veřejnosti, jenže on si ho na cestu svědomitě zabalil a pečlivě a svědomitě ho s sebou všude nosil."
"wearing","wear","neměl","mít","impf"," to notice that he was wearing the awful black raincoat which had lost its shape and should never have been worn in public but which he 'd willfully packed for the trip and willfully carried with him everywhere;"," Abyste si všimli, že má na sobě ten úděsný černý plášť do deště, který už dávno ztratil tvar a vůbec by se v něm člověk neměl ukazovat na veřejnosti, jenže on si ho na cestu svědomitě zabalil a pečlivě a svědomitě ho s sebou všude nosil."
"worn","wear","neměl","mít","impf"," to notice that he was wearing the awful black raincoat which had lost its shape and should never have been worn in public but which he 'd willfully packed for the trip and willfully carried with him everywhere;"," Abyste si všimli, že má na sobě ten úděsný černý plášť do deště, který už dávno ztratil tvar a vůbec by se v něm člověk neměl ukazovat na veřejnosti, jenže on si ho na cestu svědomitě zabalil a pečlivě a svědomitě ho s sebou všude nosil."
"carried","carry","neměl","mít","impf"," to notice that he was wearing the awful black raincoat which had lost its shape and should never have been worn in public but which he 'd willfully packed for the trip and willfully carried with him everywhere;"," Abyste si všimli, že má na sobě ten úděsný černý plášť do deště, který už dávno ztratil tvar a vůbec by se v něm člověk neměl ukazovat na veřejnosti, jenže on si ho na cestu svědomitě zabalil a pečlivě a svědomitě ho s sebou všude nosil."
"packed","pack","zabalil","zabalit","pf"," to notice that he was wearing the awful black raincoat which had lost its shape and should never have been worn in public but which he 'd willfully packed for the trip and willfully carried with him everywhere;"," Abyste si všimli, že má na sobě ten úděsný černý plášť do deště, který už dávno ztratil tvar a vůbec by se v něm člověk neměl ukazovat na veřejnosti, jenže on si ho na cestu svědomitě zabalil a pečlivě a svědomitě ho s sebou všude nosil."
"wearing","wear","nosil","nosit","impf"," to notice that he was wearing the awful black raincoat which had lost its shape and should never have been worn in public but which he 'd willfully packed for the trip and willfully carried with him everywhere;"," Abyste si všimli, že má na sobě ten úděsný černý plášť do deště, který už dávno ztratil tvar a vůbec by se v něm člověk neměl ukazovat na veřejnosti, jenže on si ho na cestu svědomitě zabalil a pečlivě a svědomitě ho s sebou všude nosil."
"worn","wear","nosil","nosit","impf"," to notice that he was wearing the awful black raincoat which had lost its shape and should never have been worn in public but which he 'd willfully packed for the trip and willfully carried with him everywhere;"," Abyste si všimli, že má na sobě ten úděsný černý plášť do deště, který už dávno ztratil tvar a vůbec by se v něm člověk neměl ukazovat na veřejnosti, jenže on si ho na cestu svědomitě zabalil a pečlivě a svědomitě ho s sebou všude nosil."
"carried","carry","nosil","nosit","impf"," to notice that he was wearing the awful black raincoat which had lost its shape and should never have been worn in public but which he 'd willfully packed for the trip and willfully carried with him everywhere;"," Abyste si všimli, že má na sobě ten úděsný černý plášť do deště, který už dávno ztratil tvar a vůbec by se v něm člověk neměl ukazovat na veřejnosti, jenže on si ho na cestu svědomitě zabalil a pečlivě a svědomitě ho s sebou všude nosil."
"tried","try","Pokusil","pokusit","pf"," "" I tried to explain to him that my white-blood-cell needs are entirely nugatory."," "" Pokusil jsem se mu vysvětlit, že moje bílé krvinky jsou tak jako tak naprosto k ničemu."
"explain","explain","vysvětlit","vysvětlit","pf"," "" I tried to explain to him that my white-blood-cell needs are entirely nugatory."," "" Pokusil jsem se mu vysvětlit, že moje bílé krvinky jsou tak jako tak naprosto k ničemu."
"answer","answer","odpoví","odpovědět","pf"," She had a ridiculous impulse to answer him by touching him, to let him feel what it was like."," Dostala podivný nápad, že mu odpoví tím, že se ho dotkne, že ho pohladí - prostě proto, aby věděl, jaké to je."
"touching","touch","dotkne","dotknout","pf"," She had a ridiculous impulse to answer him by touching him, to let him feel what it was like."," Dostala podivný nápad, že mu odpoví tím, že se ho dotkne, že ho pohladí - prostě proto, aby věděl, jaké to je."
"answer","answer","odpovědět","odpovědět","pf"," There was no other way, really, to answer."," Vlastně se na to ani jinak odpovědět nedalo."
"said","say","prohlásila","prohlásit","pf"," She shrugged and said she did n't know."," Pokrčila rameny a prohlásila, že neví."
"Look","look","podívejme","podívat","pf"," "" Look who 's here! """," "" To se podívejme, kdo to přišel! """
"tried","try","snažila","snažit","impf"," Enid tried to elbow her way into the picture, speaking Chip 's name, but Alfred would n't let go of his hand."," Enid se snažila protlačit se taky dopředu, vykřikovala Chipovo jméno, ale Alfred odmítal synovu ruku pustit."
"Look","look","podívejme","podívat","pf"," He said it twice more : "" Look who 's here!"," "" To se podívejme, kdo to přišel! "" zopakoval ještě dvakrát."
"come","come","jít","jít","impf"," "" Al, let him come in and close the door, "" Enid said."," "" Ale, tak ho pusť, až může jít dovnitř, a zavři dveře, "" přikazovala Enid manželovi."
"close","close","zavři","zavřít","pf"," "" Al, let him come in and close the door, "" Enid said."," "" Ale, tak ho pusť, až může jít dovnitř, a zavři dveře, "" přikazovala Enid manželovi."
"mention","mention","připomenout","připomenout","pf"," Norway has produced outstanding Alpine skiers-I mention the name Kjetil Andre Aamodt with some confidence that it will ' ring a bell'- but it must be admitted that we have not always competed at the top level in this area."," Norsko dalo světu řadu vynikajících sjezdařů - můžu vám připomenout například jméno Kjetil Andre Aamondt a jsem si vcelku jist, že vám to něco řekne -, ale je třeba připustit, že čas od času nejsme v této oblasti plnohodnotnou konkurencí těm, kteří jsou na špici."
"admitted","admit","připustit","připustit","pf"," Norway has produced outstanding Alpine skiers-I mention the name Kjetil Andre Aamodt with some confidence that it will ' ring a bell'- but it must be admitted that we have not always competed at the top level in this area."," Norsko dalo světu řadu vynikajících sjezdařů - můžu vám připomenout například jméno Kjetil Andre Aamondt a jsem si vcelku jist, že vám to něco řekne -, ale je třeba připustit, že čas od času nejsme v této oblasti plnohodnotnou konkurencí těm, kteří jsou na špici."
"find","find","najít","najít","pf"," He 'd scrutinized Axon 's red-herring prospectus and read every analysis of the company he could find on the Internet and through the private services that CenTrust subscribed to."," Prověřil každou podrobnost v onom prospektu Axonu, jehož cílem bylo všechno pořádně zamlžit, a pročetl každou analýzu společnosti, kterou dokázal na internetu najít, jakož i ve všech soukromých databázích, které měl CenTrust předplacené."
"cautioning","caution","varovali","varovat","impf"," Bearish analysts, mindful of recent gut-wrenching corrections in the biotech sector, were cautioning against investing in an untested medical technology that was at least six years from market."," Mrzoutští analytikové, neuvědomující si současné převratné změny a opravy v oblasti biotechnologií, opakovaně varovali před investováním do neověřené lékařské technologie, jež se zaručeně nedostane na trh dřív než za šest let."
"ran","run","utekl","utéci","pf"," He snatched his hand from the forbidden place, ran to the bathroom, and took a long shower."," Chip vytrhl ruku ze zakázaného místa, utekl do koupelny a tam se dlouze sprchoval."
"want","want","Chci","chtít","impf"," I want to go be with them. """," Chci vyrazit, abych se k nim mohla přidat. """
"started","start","začal","začít","pf"," So I started borrowing their pickup at night."," Tak jsem si v noci začal půjčovat jejich dodávku."
"borrowing","borrow","půjčovat","půjčovat","impf"," So I started borrowing their pickup at night."," Tak jsem si v noci začal půjčovat jejich dodávku."
"needed","need","potřebovala","potřebovat","impf"," I had a girlfriend who needed rides."," Měl jsem holku, která potřebovala trochu povozit."
"paid","pay","platila","platit","impf"," Each day that Chip spent grooming the corpse of a dramatically dead monologue was a day in which his rent and food and entertainment expenses were paid for, in large part, with his little sister 's money."," A za každý den, během kterého Chip pulíroval ten dramaticky mrtvý monolog, platila nájemné i jídlo z největší části svými penězi jeho malá sestřička."
"empower","empower","posílila","posílit","pf"," Now the mayor had midwifed a similar arrangement with the W -- Corporation, which was donating to the city of Philadelphia sufficient units of its famous Global Desktop to "" empower "" every classroom in the city, plus five Community Computing Centers in blighted northern and western neighborhoods."," V tu chvíli starosta posloužil jako porodní bába při porodu podobné dohody s korporací W - - - -, jež dodala městu Filadelfie fungující jednotky jejich slavného počítače Global Desktop, aby jimi "" posílila "" každou třídu ve městě, a nádavkem přidala pět Obecních počítačových center do zubožených severních a západních čtvrtí."
"employ","employ","využít","využít","pf"," The agreement granted W - the exclusive right to employ for promotional and advertising purposes all classroom activities within the school district of Philadelphia, including but not limited to all Global Desktop applications."," Dohoda zaručovala firmě W - - - - výlučná práva na to, že může pro reklamní a propagační účely využít veškerých školních aktivit, které se odehrávají ve všech třídách ve filadelfském školním okrsku, včetně každého použití Global Desktop."
"told","tell","oznámil","oznámit","pf"," "" You 're a goddamned bastard! "" he told her."," "" Ty zatracená svině podvraťácká! "" oznámil jí."
"Got","get","Zůstal","zůstat","pf"," Got stuck in the chair and he could n't move."," Zůstal v tom křesle vězet a nemohl se hnout."
"move","move","hnout","hnout","pf"," Got stuck in the chair and he could n't move."," Zůstal v tom křesle vězet a nemohl se hnout."
"found","find","zjistila","zjistit","pf"," The next day, wearing the jacket herself, she found it softer and lighter than she remembered."," Když si tu bundu sama následujícího rána vzala, zjistila, že je měkčí a lehčí, než jak si ji pamatovala."
"remembered","remember","pamatovala","pamatovat","impf"," The next day, wearing the jacket herself, she found it softer and lighter than she remembered."," Když si tu bundu sama následujícího rána vzala, zjistila, že je měkčí a lehčí, než jak si ji pamatovala."
"want","want","Nechci","chtít","impf"," I do n't want my children looking back on Christmas as the time when everybody screamed at each other."," Nechci, aby moje děti jednou vzpomínaly na Vánoce jako na období, kdy na sebe všichni navzájem ječí."
"force","force","přimět","přimět","pf"," Sylvia was n't insane; she could force herself to draw a circle or sketch a rose."," Sylvie nebyla vyšinutá : kdykoliv se mohla přimět nakreslit kruh nebo načrtnout růži."
"draw","draw","nakreslit","nakreslit","pf"," Sylvia was n't insane; she could force herself to draw a circle or sketch a rose."," Sylvie nebyla vyšinutá : kdykoliv se mohla přimět nakreslit kruh nebo načrtnout růži."
"sketch","sketch","nakreslit","nakreslit","pf"," Sylvia was n't insane; she could force herself to draw a circle or sketch a rose."," Sylvie nebyla vyšinutá : kdykoliv se mohla přimět nakreslit kruh nebo načrtnout růži."
"hungered","hunger","toužila","toužit","impf"," But what she hungered to draw was firearms."," Ona jen bytostně toužila malovat střelné zbraně."
"draw","draw","malovat","malovat","impf"," But what she hungered to draw was firearms."," Ona jen bytostně toužila malovat střelné zbraně."
"buy","buy","koupit","koupit","pf"," There are some truly neat things that you can buy. """," Dneska člověk může koupit opravdu nádherný kousky. """
"holding","hold","držel","držet","impf"," Gary marveled at the engine he was holding."," Gary se rozplýval nad lokomotivou, kterou držel v ruce."
"thought","think","myslel","myslet","impf"," "" I never thought I 'd see this again. """," "" Už jsem myslel, že ji nikdy neuvidím. """
"see","see","neuvidím","uvidět","pf"," "" I never thought I 'd see this again. """," "" Už jsem myslel, že ji nikdy neuvidím. """
"distinguish","distinguish","odlišit","odlišit","pf"," It galled him that romantics like Enid could not distinguish the false from the authentic : a poor-quality, flimsily stocked, profit-making "" museum "" from a real, honest railroad-"," Rozčilovalo ho, že snílci jako Enid nedokážou odlišit podvrh od skutečnosti : mizerné, hanebně ošetřené, na rýžování peněz zařízené "" muzeum "" od opravdové, poctivé železnice -"
"washed","wash","umyl","umýt","pf"," After he 'd washed his hands and opened a bottle of Chardonnay he ate four of them and put the uncooked fish in the refrigerator."," Chip si nejprve umyl ruce a otevřel láhev chardonnay, pak spořádal čtyři koláčky a syrovou rybu uložil do ledničky."
"opened","open","otevřel","otevřít","pf"," After he 'd washed his hands and opened a bottle of Chardonnay he ate four of them and put the uncooked fish in the refrigerator."," Chip si nejprve umyl ruce a otevřel láhev chardonnay, pak spořádal čtyři koláčky a syrovou rybu uložil do ledničky."
"put","put","uložil","uložit","pf"," After he 'd washed his hands and opened a bottle of Chardonnay he ate four of them and put the uncooked fish in the refrigerator."," Chip si nejprve umyl ruce a otevřel láhev chardonnay, pak spořádal čtyři koláčky a syrovou rybu uložil do ledničky."
"breathing","breathe","dýchá","dýchat","impf"," In Gary 's opinion, too many people were breathing the air in Ballroom B."," Gary dospěl k závěru, že v tanečním sále B zřejmě dýchá vzduch trochu moc lidí."
"said","say","říká","říkat","impf"," "" My first guess is salmon, "" Denise said."," "" První odhad mi říká, že se bude podávat losos, "" prohlásila Denisa."
"said","say","prohlásila","prohlásit","pf"," "" My first guess is salmon, "" Denise said."," "" První odhad mi říká, že se bude podávat losos, "" prohlásila Denisa."
"get","get","dostane","dostat","pf"," It ought to have been simple enough, ask a simple question, get a simple answer, but evidently not."," Měla to být jednoduchá otázka, protože když člověk položí jednoduchou otázku, dostane jednoduchou odpověď, jenže to tak zjevně nedopadlo."
"get","get","nedopadlo","dopadnout","pf"," It ought to have been simple enough, ask a simple question, get a simple answer, but evidently not."," Měla to být jednoduchá otázka, protože když člověk položí jednoduchou otázku, dostane jednoduchou odpověď, jenže to tak zjevně nedopadlo."
"understand","understand","Nechápal","chápat","impf"," He did n't understand where Chip was."," Nechápal, kde zůstal Chip vězet."
"adore","adore","zbožňujou","zbožňovat","impf"," "" Denise, they adore you, "" Robin squeaked."," "" Deniso, ony tě zbožňujou, "" zakvílela Robin."
"cultivate","cultivate","pěstovat","pěstovat","impf"," Gary, cushioned by Caroline 's inheritance, was free to cultivate nonambition and to be, as a boss, the perfect strict and loving father that he could only halfway be at home."," Jenže to také znamenalo, že dělali dvanáct nebo čtrnáct hodin denně a jeden každý z nich získal ten upoceně umanutý styl dříče. Gary, zajištěný Carolininým dědictvím, měl volné ruce a mohl v sobě pěstovat nedostatek ctižádosti a být - jako šéf - dokonale přísným a milujícím otcem, který si může dovolit často se objevovat doma."
"demanded","demand","vyžadoval","vyžadovat","impf"," He demanded honesty and excellence from his workers."," Od svých podřízených vyžadoval poctivost a vynikající výkon."
"offered","offer","nabízel","nabízet","impf"," In return he offered patient instruction, absolute loyalty, and the assurance that he would never blame them for his own mistakes."," Na oplátku jim nabízel trpělivé vysvětlování zadaných úkolů, naprostou oddanost a ujištění, že jim nikdy nebude vyčítat vlastní chyby."
"blame","blame","vyčítat","vyčítat","impf"," In return he offered patient instruction, absolute loyalty, and the assurance that he would never blame them for his own mistakes."," Na oplátku jim nabízel trpělivé vysvětlování zadaných úkolů, naprostou oddanost a ujištění, že jim nikdy nebude vyčítat vlastní chyby."
"sat","sit","seděl","sedět","impf"," and now, having finally closeted himself, he sat hoping that someone would come and disturb him."," A když se pak konečně někde zavřel, seděl tam a užíral se nadějí, že někdo přijde a vyruší ho."
"come","come","přijde","přijít","pf"," and now, having finally closeted himself, he sat hoping that someone would come and disturb him."," A když se pak konečně někde zavřel, seděl tam a užíral se nadějí, že někdo přijde a vyruší ho."
"wanted","want","Potřeboval","potřebovat","impf"," He wanted this someone to see how much he hurt."," Potřeboval takového narušitele, aby někdo zaznamenal, jak moc Alfred trpí."
"hurt","hurt","trpí","trpět","impf"," He wanted this someone to see how much he hurt."," Potřeboval takového narušitele, aby někdo zaznamenal, jak moc Alfred trpí."
"play","play","hrát","hrát","impf"," Though he was cold to her it seemed unfair that she was cold in turn to him : unfair that she could happily play Ping-Pong, shuffle around outside his door, and never knock and ask how he was doing."," Ačkoliv se choval k ženě naprosto chladně, připadalo mu nespravedlivé, že ona se chová tak chladně k němu : připadalo mu nespravedlivé, že může bezstarostně hrát ping - pong, pobíhat přímo přede dveřmi, za nimiž on sedí - a ani jednou nezaklepe a nezeptá se ho, jak se mu vede."
"knock","knock","nezaklepe","zaklepat","pf"," Though he was cold to her it seemed unfair that she was cold in turn to him : unfair that she could happily play Ping-Pong, shuffle around outside his door, and never knock and ask how he was doing."," Ačkoliv se choval k ženě naprosto chladně, připadalo mu nespravedlivé, že ona se chová tak chladně k němu : připadalo mu nespravedlivé, že může bezstarostně hrát ping - pong, pobíhat přímo přede dveřmi, za nimiž on sedí - a ani jednou nezaklepe a nezeptá se ho, jak se mu vede."
"ask","ask","nezeptá","zeptat","pf"," Though he was cold to her it seemed unfair that she was cold in turn to him : unfair that she could happily play Ping-Pong, shuffle around outside his door, and never knock and ask how he was doing."," Ačkoliv se choval k ženě naprosto chladně, připadalo mu nespravedlivé, že ona se chová tak chladně k němu : připadalo mu nespravedlivé, že může bezstarostně hrát ping - pong, pobíhat přímo přede dveřmi, za nimiž on sedí - a ani jednou nezaklepe a nezeptá se ho, jak se mu vede."
"turned","turn","otočila","otočit","pf"," Her head turned sharply."," Rychle otočila hlavu."
"did","do","nevzal","vzít","pf"," "" You did n't bring him? """," "" Tys ho s sebou nevzal? """
"believe","believe","nevěřím","věřit","impf"," "" I ca n't believe it."," "" Tomu nevěřím."
"did","do","nevzal","vzít","pf"," You did n't bring him! """," Prostě jsi ho nevzal s sebou! """
"telling","tell","mluvit","mluvit","impf"," She seemed not to have considered, even for a moment, that he might be telling the truth."," Podle všeho ji ani na okamžik nenapadlo, že by Gary mohl mluvit pravdu."
"said","say","prohlásil","prohlásit","pf"," "" There are five people in my house, "" Gary said."," "" Nás je doma celkem pět, "" prohlásil Gary."
"come","come","přišla","přijít","pf"," Six months ago, on the eve of Gary 's forty-third birthday, while he and Jonah were visiting his parents in St. Jude, a pair of local contractors had come and rewired, replumbed, and re-outfitted the second floor of the garage as a surprise birthday gift from Caroline."," Před šesti měsíci, těsně před Garyho třiačtyřicátými narozeninami, když byl on a Jonah na návštěvě u Garyho rodičů ve Svatém Judovi, přišla do domu dvojice místních řemeslníků a udělala v patře nad garáží nové elektrické a vodovodní potrubí a celé to tam upravila - bylo to překvapení k narozeninám od Caroliny."
"come","come","udělala","udělat","pf"," Six months ago, on the eve of Gary 's forty-third birthday, while he and Jonah were visiting his parents in St. Jude, a pair of local contractors had come and rewired, replumbed, and re-outfitted the second floor of the garage as a surprise birthday gift from Caroline."," Před šesti měsíci, těsně před Garyho třiačtyřicátými narozeninami, když byl on a Jonah na návštěvě u Garyho rodičů ve Svatém Judovi, přišla do domu dvojice místních řemeslníků a udělala v patře nad garáží nové elektrické a vodovodní potrubí a celé to tam upravila - bylo to překvapení k narozeninám od Caroliny."
"occurred","occur","došlo","dojít","pf"," And finally it occurred to us, we know everybody, and we 're really good investors, so why not start a mutual fund?"," A nakonec nám došlo, že známe kdekoho a že jsme opravdu dobří investoři, tak co kdybychom rozjeli podílový fond?"
"did","do","udělali","udělat","pf"," Which we did."," A taky jsme to udělali."
"started","start","založili","založit","pf"," We started some other funds, too, when the climate got more competitive."," Když trochu přituhlo a konkurence zesílila, založili jsme ještě pár dalších fondů."
"offer","offer","nabízet","nabízet","impf"," You kind of have to offer a full array of services."," Člověk totiž musí nabízet celý balík služeb."
"Trying","try","Snaží","snažit","impf"," Trying to do damage control, blundering around in the dark, often created more problems than it solved."," Snaží se udržet škody pod kontrolou, potácí se tady ve tmě a často víc potíží způsobí, než kolik jich vyřeší."
"do","do","způsobí","způsobit","pf"," Trying to do damage control, blundering around in the dark, often created more problems than it solved."," Snaží se udržet škody pod kontrolou, potácí se tady ve tmě a často víc potíží způsobí, než kolik jich vyřeší."
"solved","solve","vyřeší","vyřešit","pf"," Trying to do damage control, blundering around in the dark, often created more problems than it solved."," Snaží se udržet škody pod kontrolou, potácí se tady ve tmě a často víc potíží způsobí, než kolik jich vyřeší."
"packing","pack","balí","balit","impf"," The sweetness of her little socks, and the thought of the even littler socks of her all too proximate girlhood, and the image of a hopeful bright romantic sophomore packing clothes for a trip with her esteemed professor-each sentimental association added fuel to his shame, each image recalled him to the unfunny raw comedy of what he 'd done to her."," Roztomilé malé ponožky a představa ještě menších ponožek jejího nepříliš vzdáleného dětství, představa, jak si tahle bystrá, romantická dívenka z druhého ročníku se srdcem plným naděje balí oblečení na výlet se svým váženým profesorem - každá taková sentimentální vidina přilila oleje do ohně Chipova studu, každý výjev mu připomněl, do jak neveselé, drsné komedie dívku zatáhl."
"added","add","přilila","přilít","pf"," The sweetness of her little socks, and the thought of the even littler socks of her all too proximate girlhood, and the image of a hopeful bright romantic sophomore packing clothes for a trip with her esteemed professor-each sentimental association added fuel to his shame, each image recalled him to the unfunny raw comedy of what he 'd done to her."," Roztomilé malé ponožky a představa ještě menších ponožek jejího nepříliš vzdáleného dětství, představa, jak si tahle bystrá, romantická dívenka z druhého ročníku se srdcem plným naděje balí oblečení na výlet se svým váženým profesorem - každá taková sentimentální vidina přilila oleje do ohně Chipova studu, každý výjev mu připomněl, do jak neveselé, drsné komedie dívku zatáhl."
"recalled","recall","připomněl","připomenout","pf"," The sweetness of her little socks, and the thought of the even littler socks of her all too proximate girlhood, and the image of a hopeful bright romantic sophomore packing clothes for a trip with her esteemed professor-each sentimental association added fuel to his shame, each image recalled him to the unfunny raw comedy of what he 'd done to her."," Roztomilé malé ponožky a představa ještě menších ponožek jejího nepříliš vzdáleného dětství, představa, jak si tahle bystrá, romantická dívenka z druhého ročníku se srdcem plným naděje balí oblečení na výlet se svým váženým profesorem - každá taková sentimentální vidina přilila oleje do ohně Chipova studu, každý výjev mu připomněl, do jak neveselé, drsné komedie dívku zatáhl."
"said","say","odpověděla","odpovědět","pf"," "" Just down the hall here, "" Enid said."," "" Kousek odtud, na konci chodby, "" odpověděla Enid."
"pretend","pretend","předstírat","předstírat","impf"," Tomorrow she would have to pretend she 'd been confused."," Hned zítra ráno bude muset předstírat, že byla v noci trochu zmatená."
"waited","wait","vyčkávala","vyčkávat","impf"," She waited with a gentle smile for Enid to move on."," S mírným úsměvem vyčkávala, až Enid vykročí."
"move","move","nehýbala","hýbat","impf"," But Enid did n't move on."," Jenže Enid se nehýbala."
"said","say","říct","říci","pf"," She was too inexperienced to know she simply could have said, "" Sorry-big mistake. """," Byla příliš nezkušená, aby věděla, že stačí prostě říct "" promiň - byla to velká chyba ""."
"give","give","poskytovat","poskytovat","impf"," She felt a responsibility to give him more of what he wanted."," Pocit odpovědnosti jí napovídal, že by mu měla dál poskytovat to, o co mu jde."
"expected","expect","Očekávala","očekávat","impf"," She expected that an affair, if you took the trouble to start it, went on for quite a while."," Očekávala, že když někdo vyvine tu námahu a něco si s někým začne, měl by poměr nějaký čas trvat."
"start","start","začne","začít","pf"," She expected that an affair, if you took the trouble to start it, went on for quite a while."," Očekávala, že když někdo vyvine tu námahu a něco si s někým začne, měl by poměr nějaký čas trvat."
"went","go","začne","začít","pf"," She expected that an affair, if you took the trouble to start it, went on for quite a while."," Očekávala, že když někdo vyvine tu námahu a něco si s někým začne, měl by poměr nějaký čas trvat."
"took","take","trvat","trvat","impf"," She expected that an affair, if you took the trouble to start it, went on for quite a while."," Očekávala, že když někdo vyvine tu námahu a něco si s někým začne, měl by poměr nějaký čas trvat."
"suffered","suffer","Trpěla","trpět","impf"," She suffered for her reluctance."," Trpěla pro svoje váhání."
"proposing","propose","navrhla","navrhnout","pf"," The first week in particular, while she worked herself up to proposing to Don Armour that they get together again on Friday night, her throat ached steadily for hours on end."," Zvláště první týden, během něhož se propracovávala k tomu, aby Donovi navrhla, že se v pátek večer znovu sejdou, ji hrdlo vytrvale celé hodiny pálilo."
"watched","watch","sledovala","sledovat","impf"," she stamped her feet, rubbed her hands, watched the clouds occult the constellations, and took deep fortifying breaths of selfhood."," Podupávala, mnula si ruce, sledovala okultně tajuplné uspořádání mraků a se vzduchem nabírala posilující dávky sebevědomí."
"want","want","Chceš","chtít","impf"," "" Do you want to sit here a little, or do you want to go back to your room? """," "" Chceš si tu ještě chvíli posedět, nebo by ses radši vrátil do svého pokoje? """
"want","want","Chceš","chtít","impf"," "" Do you want to sit here a little, or do you want to go back to your room? """," "" Chceš si tu ještě chvíli posedět, nebo by ses radši vrátil do svého pokoje? """
"leave","leave","Nechám","nechat","pf"," "" I leave it to your discretion. """," "" Nechám to na tvém uvážení. """
"spoken","speak","vyslovit","vyslovit","pf"," This handy phrase came to him all ready to be spoken, neat as you please."," Tahle příhodná fráze se mu vynořila z paměti hotová, jen ji vyslovit, a upravená, že to člověka muselo potěšit."
"please","please","potěšit","potěšit","pf"," This handy phrase came to him all ready to be spoken, neat as you please."," Tahle příhodná fráze se mu vynořila z paměti hotová, jen ji vyslovit, a upravená, že to člověka muselo potěšit."
"forget","forget","zapomněla","zapomenout","pf"," "" I forget which hospital he 's with, "" Finch said."," "" Úplně jsem zapomněla, ve které nemocnici pracoval, "" poznamenala Finchová."
"surprised","surprise","překvapilo","překvapit","pf"," Finch was surprised."," To Finchovou překvapilo."
"did","do","dělal","dělat","impf"," "" He did that work as an amateur? """," "" On tu práci dělal jako amatér? """
"understand","understand","Rozumím","rozumět","impf"," I understand the feeling, but- """," Rozumím tvým pocitům, ale - """
"doubt","doubt","pochybuju","pochybovat","impf"," "" I doubt you do. """," "" O tom dost pochybuju. """
"expect","expect","očekávat","očekávat","impf"," Which by this point in the day, as by late morning of almost every day in recent months, was one of the last activities on earth in which he could still reasonably expect to take solace for his failures."," Což byla v téhle části dne - jako během téměř všech pozdních dopolední v uplynulých měsících - jedna z posledních činností na světě, od níž mohl ještě očekávat, že mu po všech neúspěších přinese útěchu."
"take","take","přinese","přinést","pf"," Which by this point in the day, as by late morning of almost every day in recent months, was one of the last activities on earth in which he could still reasonably expect to take solace for his failures."," Což byla v téhle části dne - jako během téměř všech pozdních dopolední v uplynulých měsících - jedna z posledních činností na světě, od níž mohl ještě očekávat, že mu po všech neúspěších přinese útěchu."
"found","find","zjistil","zjistit","pf"," Exiting the stairwell into the lobby, he found the elevator waiting to torment its next rider."," Když vyrazil ze schodiště do vstupní haly, zjistil, že výtah tam už čeká, aby mohl potrápit dalšího cestujícího."
"waiting","wait","čeká","čekat","impf"," Exiting the stairwell into the lobby, he found the elevator waiting to torment its next rider."," Když vyrazil ze schodiště do vstupní haly, zjistil, že výtah tam už čeká, aby mohl potrápit dalšího cestujícího."
"saw","see","zahlédl","zahlédnout","pf"," Through the open street door he saw a taxi extinguish its roof light and pull away."," Otevřenými domovními dveřmi zahlédl taxík, který zrovna zhasínal nápis na střeše a vyrážel od chodníku."
"pass","pass","předá","předat","pf"," But Portleigh, with weird hedginess, had agreed only to pass along Gary 's request to Daffy Anderson, who was Hevy & Hodapp 's deal manager for the IPO."," Jenže Portleigh, s pozoruhodnou jasnozřivostí, přistoupil pouze na to, že Garyho požadavek předá Daffymu Andersonovi, jenž vedl ve firmě Hevy & Hodapp odbor zabývající se nákupem akcií z prvních veřejných nabídek."
"ensued","ensue","následovaly","následovat","impf"," There had then ensued two maddening weeks during which Pudge Portleigh failed to call Gary back and confirm an allocation."," Pak následovaly dva šílené týdny, během nichž Pudge Portleigh Garymu ani jednou nezavolal a nepotvrdil zamluvení akcií."
"call","call","nezavolal","zavolat","pf"," There had then ensued two maddening weeks during which Pudge Portleigh failed to call Gary back and confirm an allocation."," Pak následovaly dva šílené týdny, během nichž Pudge Portleigh Garymu ani jednou nezavolal a nepotvrdil zamluvení akcií."
"confirm","confirm","nepotvrdil","potvrdit","pf"," There had then ensued two maddening weeks during which Pudge Portleigh failed to call Gary back and confirm an allocation."," Pak následovaly dva šílené týdny, během nichž Pudge Portleigh Garymu ani jednou nezavolal a nepotvrdil zamluvení akcií."
"driving","drive","jezdit","jezdit","impf"," "" Lots of fat people in big cars driving around in the dark, "" Aaron said."," "" Spousta tlustých lidí tam bude jezdit potmě kolem dokola v obrovských auťácích, "" přisadil si Aaron."
"make","make","dělat","dělat","impf"," "" You should n't make fun of your grandmother, "" Gary said."," "" Z babičky byste si neměli dělat legraci, "" napomenul je Gary."
