"draw","draw","nenakreslí","nakreslit","pf"," All right - on House-Tree-Person, look for someone who did n't draw the female figure first."," V testu lidské postavy hledejte toho, který nenakreslí jako první postavu svého rodokmenu ženu."
"think","think","Nemysli","myslet","impf"," Do n't think about that, think about the good stuff, the pure stuff."," Nemysli na to, mysli na to, co je hezké a čisté."
"think","think","Nemysli","myslet","impf"," Do n't think about that, think about the good stuff, the pure stuff."," Nemysli na to, mysli na to, co je hezké a čisté."
"wore","wear","měla","mít","impf"," She wore a round hat and white gloves and going up in the elevator the first time he whistled a dramatic arrangement of "" Begin the Beguine. """," Tehdy poprvé měla na sobě kulatý klobouček a bílé rukavičky, jeli nahoru výtahem a pískal si dramatické aranžmá Begin the Beguine."
"going","go","jeli","jet","impf"," She wore a round hat and white gloves and going up in the elevator the first time he whistled a dramatic arrangement of "" Begin the Beguine. """," Tehdy poprvé měla na sobě kulatý klobouček a bílé rukavičky, jeli nahoru výtahem a pískal si dramatické aranžmá Begin the Beguine."
"whistled","whistle","pískal","pískat","impf"," She wore a round hat and white gloves and going up in the elevator the first time he whistled a dramatic arrangement of "" Begin the Beguine. """," Tehdy poprvé měla na sobě kulatý klobouček a bílé rukavičky, jeli nahoru výtahem a pískal si dramatické aranžmá Begin the Beguine."
"letting","let","nechala","nechat","pf"," Starling was angry at herself for letting Chilton put his hand in her purse and briefcase, and she stepped hard on the anger so that she could concentrate."," Starlingová měla na sebe zlost, že nechala Chiltona, aby se jí přehraboval v kabelce a kufříku, a snažila se ze všech sil, aby svůj vztek překonala a dokázala se soustředit na to, co ji čeká."
"concentrate","concentrate","soustředit","soustředit","pf"," Starling was angry at herself for letting Chilton put his hand in her purse and briefcase, and she stepped hard on the anger so that she could concentrate."," Starlingová měla na sebe zlost, že nechala Chiltona, aby se jí přehraboval v kabelce a kufříku, a snažila se ze všech sil, aby svůj vztek překonala a dokázala se soustředit na to, co ji čeká."
"said","say","pravil","pravit","pf"," "" Lecter 's a considerable nuisance, "" Chilton said over his shoulder."," "" Lecter je jenom pro zlost, "" pravil Chilton přes rameno."
"takes","take","zabere","zabrat","pf"," "" It takes an orderly at least ten minutes a day to remove the staples from the publications he receives."," "" Dozorci zabere tak minimálně deset minut denně, než odstraní všechny svorky z publikací, co mu sem chodí."
"remove","remove","odstraní","odstranit","pf"," "" It takes an orderly at least ten minutes a day to remove the staples from the publications he receives."," "" Dozorci zabere tak minimálně deset minut denně, než odstraní všechny svorky z publikací, co mu sem chodí."
"nurse","nurse","pečovala","pečovat","impf"," - "" Did you nurse Catherine? """," "" O Kateřinu jste pečovala vy? """
"went","go","Pokračoval","pokračovat","impf"," He went on :"," Pokračoval :"
"said","say","řekl","říci","pf"," "" I see, "" Chilton said."," "" Aha, "" řekl Chilton."
"Give","give","Dejte","dát","pf"," „ Give me your identification, please. """," "" Dejte mi prosím vaše doklady. """
"let","let","Nechal","nechat","pf"," He let her remain standing through his leisurely examination of her ID card."," Nechal ji stát, zkoumal její pověření a identifikační kartu."
"rose","rise","povstal","povstat","pf"," Then he handed it back and rose."," Pak jí všechno vrátil a povstal."
"take","take","nezabere","zabrat","pf"," "" This wo n't take much time."," "" To moc času nezabere."
"Come","come","Pojďte","jít","impf"," Come along. """," Pojďte se mnou. """
"understood","understand","pochopila","pochopit","pf"," "" I understood you 'd brief me, Dr. Chilton, "" Starling said."," "" Jestli jsem to dobře pochopila, tak mne máte instruovat, doktore Chiltone, "" řekla Starlingová."
"said","say","řekla","říci","pf"," "" I understood you 'd brief me, Dr. Chilton, "" Starling said."," "" Jestli jsem to dobře pochopila, tak mne máte instruovat, doktore Chiltone, "" řekla Starlingová."
"do","do","udělat","udělat","pf"," "" I can do that while we walk. """," "" To můžeme udělat cestou. """
"remove","remove","neodstraníš","odstranit","pf"," Sitting at the machine and crying your eyes out wo n't remove one pucker."," Kdyby sis u šicího stroje oči vyplakal, ty záhyby už neodstraníš."
"got","get","přišel","přijít","pf"," Much experimentation went into this, along with much heartbreak, before Mr. Gumb got it right."," Už ho to stálo dlouhé hodiny experimentování a dost nešťastných chvil, než na to pan Gumb konečně přišel."
"turned","turn","Otočil","otočit","pf"," He turned to face her, expressionless."," Otočil se k ní, obličej bez výrazu."
"tell","tell","Řekl","říci","pf"," "" Did Dr. Chilton tell you you 'd be all right from this? """," "" Řekl vám doktor Chilton, že je to v pořádku? """
"tell","tell","říct","říci","pf"," "" What else would he tell me? """," "" Co jiného by mi tak mohl říct? """
"believe","believe","věříte","věřit","impf"," "" You believe it? """," "" A vy mu to věříte? """
"say","say","Neřekl","říci","pf"," He did n't say yes or no."," Neřekl tak ani tak."
"do","do","udělat","udělat","pf"," "" I want you to do something for me."," "" Ráda bych, kdybyste pro mě mohl něco udělat."
"seemed","seem","zdálo","zdát","impf"," It seemed unlikely that even an estate as tangled and disputed as Raspail 's would hold a car this long."," Navíc se zdálo velmi nepravděpodobné, že by v tomto zamotaném a diskutovaném sporu o majetek vydrželo auto tak dlouho."
"hold","hold","vydrželo","vydržet","pf"," It seemed unlikely that even an estate as tangled and disputed as Raspail 's would hold a car this long."," Navíc se zdálo velmi nepravděpodobné, že by v tomto zamotaném a diskutovaném sporu o majetek vydrželo auto tak dlouho."
"washed","wash","umývala","umývat","impf"," Close enough to fuck is close enough to fight - she said it silently to herself over and over as she washed."," Když bude tak blízko u něj, že by se s ním mohla vyspat, může se s ním i poprat, omílala si pořád dokola, zatímco se umývala."
"see","see","Neviděla","vidět","impf"," She could n't see his eyes behind the dark glasses, and she felt she did n't know him."," Neviděla mu do očí, které schovával za tmavými skly brýlí, a měla pocit, že ho vůbec nezná."
"read","read","čtěte","číst","impf"," "" Take a pew and read, "" is all he said."," "" Posaďte se a čtěte, "" bylo všechno, co řekl."
"said","say","řekl","říci","pf"," "" Take a pew and read, "" is all he said."," "" Posaďte se a čtěte, "" bylo všechno, co řekl."
"lay","lie","ležel","ležet","impf"," A thick case file lay on the seat behind him."," Objemný spis o celém případu ležel na sedadle za ním."
"hugged","hug","přitiskla","přitisknout","pf"," Starling hugged it tight as the Blue Canoe blatted and shuddered and began to roll."," Starlingová si přitiskla spis k hrudi a Blue Canoe začala burácet, roztřásla se a pomalu rolovala po startovní dráze."
"began","begin","začala","začít","pf"," Starling hugged it tight as the Blue Canoe blatted and shuddered and began to roll."," Starlingová si přitiskla spis k hrudi a Blue Canoe začala burácet, roztřásla se a pomalu rolovala po startovní dráze."
"do","do","šlo","jít","impf"," Tomorrow afternoon, he can do it, or tomorrow night."," Zítra odpoledne, to by šlo, anebo zítra v noci."
"parked","park","zaparkovala","zaparkovat","pf"," Starling parked her rented Chevrolet Celebrity in the middle of the big lot."," Starlingová zaparkovala pronajmutého chevroleta uprostřed obrovského parkoviště."
"keep","keep","má","mít","impf"," What might it keep her from seeing?"," Co má dělat, aby dokázala vidět svět očima někoho jiného?"
"seeing","see","vidět","vidět","impf"," What might it keep her from seeing?"," Co má dělat, aby dokázala vidět svět očima někoho jiného?"
"want","want","chtěla","chtít","impf"," How did Fredrica want to appear?"," Jak chtěla Fredrica vypadat?"
"seek","seek","hledala","hledat","impf"," What was she hungry for, where did she seek it?"," Po čem toužila, co hledala?"
"did","do","udělat","udělat","pf"," What did she try to do about herself?"," Co chtěla sama se sebou udělat?"
"do","do","udělat","udělat","pf"," What did she try to do about herself?"," Co chtěla sama se sebou udělat?"
"eat","eat","nejí","jíst","impf"," Here were a couple of diet plans, the Fruit Juice Diet, the Rice Diet, and a crackpot plan where you do n't eat and drink at the same sitting."," Tady leží nějaké programy na dietu - ovocná, rýžová a dieta pomatenců, kdy se nejí a nepije vůbec nic."
"drink","drink","nepije","pít","impf"," Here were a couple of diet plans, the Fruit Juice Diet, the Rice Diet, and a crackpot plan where you do n't eat and drink at the same sitting."," Tady leží nějaké programy na dietu - ovocná, rýžová a dieta pomatenců, kdy se nejí a nepije vůbec nic."
"wanted","want","chtěl","chtít","impf"," There were no prints yet on Buffalo Bill, but Crawford wanted to be ready."," Buffalo Bill zatím nikde žádné otisky nezanechal, ale Crawford chtěl být připraven na všechno."
"requires","require","vyžadoval","vyžadovat","impf"," The system requires brief, concise statements."," Systém vyžadoval stručné a srozumitelné údaje."
"tried","try","pokoušela","pokoušet","impf"," Starling tried to come up with some."," Starlingová se teď pokoušela vymyslet nějakou vhodnou formulaci."
"shot","shoot","zastřelena","zastřelit","pf"," "" White female, late teens or early twenties, shot to death, lower torso and thighs flayed - """," "" Běloška kolem dvaceti, zastřelena, od prsou dolů a na stehnech sloupnutá kůže. """
"seen","see","neviděl","vidět","impf"," Starling knew the Memphis police had done exhaustive door-to-door interviews and nobody had seen anything, so maybe it happened among the tall motor homes."," Starlingová už věděla, že memphiská policie důkladně vyslechla všechny sousedy, a nikdo nic neviděl, takže se to možná stalo v řadě mezi delšími karavany."
"watched","watch","pozorovat","pozorovat","impf"," He must have watched from here."," Musel ji odtud pozorovat."
"Sitting","sit","Seděl","sedět","impf"," Sitting in some kind of vehicle, had to be."," Seděl v nějakém dopravním prostředku, jinak se to stát nemohlo."
"waiting","wait","počkat","počkat","pf"," He must have spotted her somewhere and stalked her, waiting for his chance."," Musel si ji nejprve někde vyhlédnout, počkat na vhodnou příležitost a pak drapnout."
"started","start","začal","začít","pf"," "" I ... "" he started."," "" Já ..., "" začal."
"touched","touch","Dotkl","dotknout","pf"," He touched her cheek."," Dotkl se její tváře."
"said","say","říkal","říkat","impf"," The doctor said it 'll work out by itself in a couple of days - better than digging for it. """," Doktor říkal, že to za pár dnů zmizí samo, že bude lepší nechat to tak, než se v tom nějak šťourat. """
"heard","hear","Slyšela","slyšet","impf"," She heard him down the basement stairs fast, she around the table and to the door at the top of the stairwell."," Slyšela ho běžet po schodech do suterénu, takže se rychle rozeběhla ke dveřím vedoucím ke schodišti."
"sitting","sit","sedí","sedět","impf"," Be a sitting duck on the stairs."," Určitě sedí jako myška někde na schodech."
"did","do","nešlo","jít","impf"," She did n't like the stairs, did n't like the stairs, Clarice Starling in the quick where you give it or you do n't."," Neměla schody ráda, vůbec se jí ty schody nelíbily, ale tady nešlo o pocity, musela jednat rychle."
"did","do","nešlo","jít","impf"," She did n't like the stairs, did n't like the stairs, Clarice Starling in the quick where you give it or you do n't."," Neměla schody ráda, vůbec se jí ty schody nelíbily, ale tady nešlo o pocity, musela jednat rychle."
"do","do","nešlo","jít","impf"," She did n't like the stairs, did n't like the stairs, Clarice Starling in the quick where you give it or you do n't."," Neměla schody ráda, vůbec se jí ty schody nelíbily, ale tady nešlo o pocity, musela jednat rychle."
"did","do","jednat","jednat","impf"," She did n't like the stairs, did n't like the stairs, Clarice Starling in the quick where you give it or you do n't."," Neměla schody ráda, vůbec se jí ty schody nelíbily, ale tady nešlo o pocity, musela jednat rychle."
"did","do","jednat","jednat","impf"," She did n't like the stairs, did n't like the stairs, Clarice Starling in the quick where you give it or you do n't."," Neměla schody ráda, vůbec se jí ty schody nelíbily, ale tady nešlo o pocity, musela jednat rychle."
"do","do","jednat","jednat","impf"," She did n't like the stairs, did n't like the stairs, Clarice Starling in the quick where you give it or you do n't."," Neměla schody ráda, vůbec se jí ty schody nelíbily, ale tady nešlo o pocity, musela jednat rychle."
"tell","tell","řekla","říci","pf"," "" What can you tell? """," "" Co byste řekla? """
"done","do","provádějí","provádět","impf"," "" They 've only done the preliminary stuff."," "" Zatím provádějí jen předběžné šetření."
"save","save","Ušetřím","ušetřit","pf"," "" Let me save you some time."," "" Ušetřím vám trochu času."
"think","think","myslíš","myslet","impf"," "" Who do you think 's prettiest, Brigham or Hot Bobby Lowrance? """," "" Kdo si myslíš, že je hezčí, Brigham, nebo ten skvělej Bobby Lowrance? """
"find","find","vypátráš","vypátrat","pf"," "" Will you let me know soon as you find out? """," "" Až to vypátráš, dáš mi vědět? """
"checked","check","Zkontroloval","zkontrolovat","pf"," He checked the Python."," Zkontroloval si pistoli."
"hurt","hurt","poranila","poranit","pf"," "" Did you hurt yourself? """," "" Vy jste se poranila? """
"remembered","remember","vzpomněla","vzpomenout","pf"," Then she remembered."," Až teď si vzpomněla."
"smell","smell","cítit","cítit","impf"," He must smell it."," Musel ji opravdu cítit."
"found","find","Našli","najít","pf"," They found a body over there, Buffalo Bill 's latest. """," Našli tam mrtvolu, poslední oběť Buffalo Billa. """
"look","look","dívat","dívat","impf"," Need I look upon a death 's head in a ring,"," Nač se dívat na umrlčí lebku v prstenu,"
"covering","cover","kryli","krýt","impf"," Fast and careful they took the stairs, covering each other from landing to landing."," Rychle a opatrně vystupovali nahoru po schodech a kryli jeden druhého, od odpočívadla k odpočívadlu."
"help","help","pomohla","pomoci","pf"," Tate moved down the wall opposite the open elevator, no mirrors in the car to help him."," Ve výtahu žádná zrcadla, která by jim nějak pomohla."
"want","want","chci","chtít","impf"," "" rate, I want you to clear the offices in the tower and seal it off."," "" Tate, chci, abyste ihned vyčistili kanceláře ve věži a zajistili to tam."
"clear","clear","vyčistili","vyčistit","pf"," "" rate, I want you to clear the offices in the tower and seal it off."," "" Tate, chci, abyste ihned vyčistili kanceláře ve věži a zajistili to tam."
"cover","cover","kryjte","krýt","impf"," Then cover from the landings."," Pak se kryjte z odpočívadel."
"sending","send","Posílám","posílat","impf"," I 'm sending up vests and shotguns."," Posílám tam vesty a brokovnice."
"repeated","repeat","opakoval","opakovat","impf"," Tate repeated the order."," Tate opakoval rozkaz."
"walk","walk","Chodila","chodit","impf"," She 'd walk through the butter-bean trellises and step on any kind of plant that was too short for her to feel it against her legs."," Chodila mezi fazolemi a šlápla na jakoukoli rostlinu, která byla moc krátká a kterou necítila na holeni."
"feel","feel","necítila","cítit","impf"," She 'd walk through the butter-bean trellises and step on any kind of plant that was too short for her to feel it against her legs."," Chodila mezi fazolemi a šlápla na jakoukoli rostlinu, která byla moc krátká a kterou necítila na holeni."
"died","die","zemřela","zemřít","pf"," "" She died though. """," "" Přesto ale zemřela. """
"Tell","tell","Povězte","povědět","pf"," "" Tell me about that. """," "" Povězte mi o tom. """
"wrote","write","napsali","napsat","pf"," "" It was last year, they wrote me at school."," "" Stalo se to loni, napsali mi to do školy."
"scratches","scratch","Vymazal","vymazat","pf"," He blanked out the chicken scratches of the legitimate physician with typist 's correction fluid and photocopied the blank prescription form."," Vymazal písmo lékaře na předpisu opravovačem chyb na psací stroje a udělal fotokopii prázdného receptu."
"move","move","pohybovat","pohybovat","impf"," The palooka effect in his fine features was not pleasing, and he knew the silicone would move araund if he was n't careful, but the job would do until he got to Rio."," Rysy hlupáka v jeho hezky modelovaném obličeji ho mrzely a navíc mu bylo jasné, že silikon se začne pod kůží pohybovat, jestli nebude dost opatrný, ale věděl, že s tímhle vydrží, než se dostane bezpečně do Ria."
"got","get","dostane","dostat","pf"," The palooka effect in his fine features was not pleasing, and he knew the silicone would move araund if he was n't careful, but the job would do until he got to Rio."," Rysy hlupáka v jeho hezky modelovaném obličeji ho mrzely a navíc mu bylo jasné, že silikon se začne pod kůží pohybovat, jestli nebude dost opatrný, ale věděl, že s tímhle vydrží, než se dostane bezpečně do Ria."
"taken","take","odebral","odebrat","pf"," "" This is the sixth victim, the first one scalped, the first one with triangular patches taken from the back of the shoulders, the first one shot in the chest, the first one with a cocoon in her throat. """," "" Jedná se o šestou oběť, ale o první, kterou skalpoval a které odebral ze zad kusy kůže ve tvaru trojúhelníku, o první, kterou zastřelil ranou do hrudi a o první, u které jsme našli v ústech kuklu. """
"forgot","forget","Zapomněla","zapomenout","pf"," "" You forgot broken fingernails. """," "" Zapomněla jste na zlámané nehty. """
"Listen","listen","Poslyšte","slyšet","impf"," Listen, in your insert for the file, note that the cocoon is confidential."," Poslyšte, až otevřete archiv, poznamenejte, že informace o kukle je důvěrná."
"note","note","poznamenejte","poznamenat","pf"," Listen, in your insert for the file, note that the cocoon is confidential."," Poslyšte, až otevřete archiv, poznamenejte, že informace o kukle je důvěrná."
"use","use","Použijeme","použít","pf"," We 'll use it to eliminate false confessions. """," Použijeme ji, abychom eliminovali falešná doznání. """
"stressed","stress","zdůraznil","zdůraznit","pf"," Always he stressed the need for speed in identifying Klaus and his associates."," Vždycky zdůraznil ten fakt, že je třeba Klause identifikovat velmi rychle a najít někoho, kdo ho znal."
"said","say","řekl","říci","pf"," "" His first name is Billy, "" Dr. Lecter said."," "" Jeho křestní jméno je Billy, "" řekl dr. Lecter."
"tell","tell","řeknu","říci","pf"," "" I 'll tell the rest to the Senator."," "" Zbytek řeknu až senátorce."
"declined","decline","odmítl","odmítnout","pf"," Jack Crawford declined Dr. Danielson 's coffee, but took the cup to mix himself an Alka-Seltzer at the stainless-steel sink behind the nursing station."," JACK CRAWFORD odmítl od dr. Danielsona kávu, ale vzal si papírový pohárek a namíchal si alka - seltzer u nerezového dřezu za ošetřovnou."
"took","take","vzal","vzít","pf"," Jack Crawford declined Dr. Danielson 's coffee, but took the cup to mix himself an Alka-Seltzer at the stainless-steel sink behind the nursing station."," JACK CRAWFORD odmítl od dr. Danielsona kávu, ale vzal si papírový pohárek a namíchal si alka - seltzer u nerezového dřezu za ošetřovnou."
"bear","bear","měla","mít","impf"," Starling found it essential to like Catherine Martin because it helped her to bear down."," Bude nutné, aby měla Kateřinu ráda, jinak to nevydrží, uvědomila si Starlingová."
"bear","bear","nevydrží","vydržet","pf"," Starling found it essential to like Catherine Martin because it helped her to bear down."," Bude nutné, aby měla Kateřinu ráda, jinak to nevydrží, uvědomila si Starlingová."
"offer","offer","nabízet","nabízet","impf"," You do n't have any beach vacations at the Hoof and Mouth Disease Station to offer me anymore."," Už mi nemůžete nabízet volné místo na pláži ve veterinárním centru."
"Tell","tell","mluvte","mluvit","impf"," Tell me, Clarice. """," Tak mluvte, Clarice. """
"owe","owe","Dlužíte","dlužit","impf"," "" The two things you owe me from before."," "" Dlužíte mi dvě odpovědi z minula."
"think","think","myslíte","myslet","impf"," "" Oh, Officer Starling, do you think you can dissect me with this blunt little tool? """," "" Ale, ale, agentko Starlingová, vy si myslíte, že mne můžete rozpitvat takovým tupým nožíkem? """
"think","think","myslím","myslet","impf"," "" No, I think you can provide some insight and advance this study. """," "" To ne ... myslím si, že váš názor na věc by mohl celý projekt posunout kupředu. """
"advance","advance","posunout","posunout","pf"," "" No, I think you can provide some insight and advance this study. """," "" To ne ... myslím si, že váš názor na věc by mohl celý projekt posunout kupředu. """
"do","do","dělat","dělat","impf"," "" And what possible reason could I have to do that? """," "" A z jakého důvodu bych to měl dělat? """
"hurt","hurt","nebolí","bolet","impf"," It do n't hurt to ask. """," Nebojte se, vyptávání nebolí. """
"find","find","našel","najít","pf"," He might watch fat stores to find large victims."," Možná slídil v obchodech s podobným zbožím, aby tam našel své tlusté oběti."
"ask","ask","zeptat","zeptat","pf"," We could ask Memphis, Akron, the other places. """," Můžeme se zeptat v Memphisu, Akronu i jinde. """
"opened","open","Otevřel","otevřít","pf"," He opened his studio door to brilliant light - floodlights and incandescent tubes, color-corrected to daylight, were fastened to ceiling beams."," Otevřel dveře do ateliéru, kde plálo světlo ze zářivek připevněných ke stropu - osvětlení bylo upraveno na intenzitu denního světla."
"clad","clad","oblečeni","obléci","pf"," All were partly clad, some in leather and some in muslin patterns for leather garments."," Všichni už byli částečně oblečeni, někteří v kůži, jiní v mušelínových vzorech pro kožené oblečení."
"made","make","Vyrobila","vyrobit","pf"," They were made by Juno."," Vyrobila je firma Juno."
"sat","sit","Posadila","posadit","pf"," She sat on the foot of the bed with her arms folded and stared into the lighted closet."," Posadila se do nohou postele, založila ruce na prsou a zírala do osvětleného šatníku."
"stared","stare","zírala","zírat","impf"," She sat on the foot of the bed with her arms folded and stared into the lighted closet."," Posadila se do nohou postele, založila ruce na prsou a zírala do osvětleného šatníku."
"sold","sell","prodávala","prodávat","impf"," Juno was a common brand, sold in a lot of places that handle outsizes, but it raised the question of clothing."," Juno byla docela běžná značka, prodávala se v mnoha místech, kde se dalo koupit oblečení nadměrné velikosti."
"handle","handle","prodávala","prodávat","impf"," Juno was a common brand, sold in a lot of places that handle outsizes, but it raised the question of clothing."," Juno byla docela běžná značka, prodávala se v mnoha místech, kde se dalo koupit oblečení nadměrné velikosti."
"sold","sell","dalo","dát","pf"," Juno was a common brand, sold in a lot of places that handle outsizes, but it raised the question of clothing."," Juno byla docela běžná značka, prodávala se v mnoha místech, kde se dalo koupit oblečení nadměrné velikosti."
"murdering","murder","vraždil","vraždit","impf"," "" He was murdering people then, and doing some similar things with them, anatomically."," "" Už tehdy vraždil lidi a dělal s nimi něco podobného - z anatomického hlediska."
"doing","do","dělal","dělat","impf"," "" He was murdering people then, and doing some similar things with them, anatomically."," "" Už tehdy vraždil lidi a dělal s nimi něco podobného - z anatomického hlediska."
"think","think","Myslel","myslet","impf"," "" He did n't think I would, and he likes to take chances."," "" Myslel si, že to neudělám, a rád riskoval."
"did","do","neudělám","udělat","pf"," "" He did n't think I would, and he likes to take chances."," "" Myslel si, že to neudělám, a rád riskoval."
"take","take","neudělám","udělat","pf"," "" He did n't think I would, and he likes to take chances."," "" Myslel si, že to neudělám, a rád riskoval."
"doing","do","dělá","dělat","impf"," "" Raspail knew he was doing this? """," "" A Raspail věděl, že on tohle dělá? """
"use","use","používat","používat","impf"," Dr. Chilton, the head of the mental hospital, will go over the physical procedure you use to deal with him."," Doktor Chilton, šéf ústavu pro mentálně choré zločince, s vámi probere psychologické postupy, které budete ve styku s Lecterem používat."
"talks","talk","mluvit","mluvit","impf"," If Lecter talks to you at all, he 'll just be trying to find out about you."," Začne - li s vámi Lecter vůbec mluvit, bude to proto, aby se dozvěděl něco o vás."
"tell","tell","neříkejte","říkat","impf"," We both know you have to back-and-forth a little in interviews, but you tell him no specifics about yourself."," Při vyšetřování se musí vždycky trošku kličkovat, to víte vy i já, ale neříkejte mu o sobě nic osobního."
"said","say","Řekla","říci","pf"," I said I 'd let him know."," Řekla jsem, že mu dáme vědět."
"wants","want","chce","chtít","impf"," "" Did you know he wants you to shoot against the DEA and Customs in the interservice match? """," "" Vedělas, že chce, abys střílela v soutěži proti drogovému a celnímu? """
"shoot","shoot","střílela","střílet","impf"," "" Did you know he wants you to shoot against the DEA and Customs in the interservice match? """," "" Vedělas, že chce, abys střílela v soutěži proti drogovému a celnímu? """
"sitting","sit","seděl","sedět","impf"," And here was Dr. Chilton, sitting on the cot, looking through Dr. Lecter 's private correspondence."," Uvnitř byl dr. Chilton, seděl na kavalci a prohlížel si soukromou korespondenci dr. Lectera."
"hanging","hang","visí","viset","impf"," Dr. Lecter could see some kind of medal hanging from his neck."," Dr. Lecter si všiml, že mu kolem krku visí nějaký medailonek."
"said","say","řekl","říci","pf"," "" Ah - "" he said sharply, averting his face for a moment from her wrongheadedness."," "" Eh ..., "" řekl ostře a odvrátil na chvíli obličej od její zatvrzelosti."
"averting","avert","odvrátil","odvrátit","pf"," "" Ah - "" he said sharply, averting his face for a moment from her wrongheadedness."," "" Eh ..., "" řekl ostře a odvrátil na chvíli obličej od její zatvrzelosti."
"need","need","potřebuje","potřebovat","impf"," What is the first and principal thing he does, what need does he serve by killing? """," Co je to první a základní, kvůli čemu potřebuje zabíjet? """
"killing","kill","zabíjet","zabíjet","impf"," What is the first and principal thing he does, what need does he serve by killing? """," Co je to první a základní, kvůli čemu potřebuje zabíjet? """
"covets","covet","Touží","toužit","impf"," "" He covets."," "" Touží."
"covets","covet","touží","toužit","impf"," In fact, he covets being the very thing you are."," V podstatě touží být to co vy."
"begin","begin","začínáme","začínat","impf"," How do we begin to covet, Clarice?"," Jak začínáme toužit, Clarice?"
"covet","covet","toužit","toužit","impf"," How do we begin to covet, Clarice?"," Jak začínáme toužit, Clarice?"
"wait","wait","počkal","počkat","pf"," Experience has taught him to wait from four days to a week before harvesting the hide."," Zkušenost mu velela, aby počkal čtyři dny až jeden týden, než začne sklízet úrodu."
"harvesting","harvest","sklízet","sklízet","impf"," Experience has taught him to wait from four days to a week before harvesting the hide."," Zkušenost mu velela, aby počkal čtyři dny až jeden týden, než začne sklízet úrodu."
"provide","provide","dodávat","dodávat","impf"," At the same time, it 's necessary to provide a few rations to prevent despair and destructive tantrums that might damage the skin."," Současně je ale zapotřebí dodávat určitý příděl, aby se zabránilo zoufalství a destruktivním záchvatům vzteku, které by mohly kůži nějak poškodit."
"prevent","prevent","zabránilo","zabránit","pf"," At the same time, it 's necessary to provide a few rations to prevent despair and destructive tantrums that might damage the skin."," Současně je ale zapotřebí dodávat určitý příděl, aby se zabránilo zoufalství a destruktivním záchvatům vzteku, které by mohly kůži nějak poškodit."
"damage","damage","poškodit","poškodit","pf"," At the same time, it 's necessary to provide a few rations to prevent despair and destructive tantrums that might damage the skin."," Současně je ale zapotřebí dodávat určitý příděl, aby se zabránilo zoufalství a destruktivním záchvatům vzteku, které by mohly kůži nějak poškodit."
"lost","lose","ztratilo","ztratit","pf"," It definitely has lost weight."," Už to určitě ztratilo na váze."
"wake","wake","Probudí","probudit","pf"," He 'd wake up Precious and watch his video with her and then go to work, naked in the warm basement, naked as the day he was born."," Probudí Zlatíčko, podívají se spolu na video a pak se pustí do práce, nahý v teplém suterénu, nahý jako v den zrození."
"come","come","pojď","jít","impf"," "" Precious, come on Precious."," "" Zlatíčko, pojď sem, zlato."
"Come","come","Pojď","jít","impf"," Come on, Sweetheart. """," Pojď sem, miláčku. """
"asked","ask","nezeptala","zeptat","pf"," You have n't asked me about it. """," Ještě jste se mě na to vůbec nezeptala. """
"asking","ask","zeptat","zeptat","pf"," "" Are you asking me, Officer Starling, if I suborned Mr. Miggs ' felony suicide?"," "" Chcete se snad zeptat, agentko, jestli jsem naváděl Miggse k hrdelnímu zločinu sebevraždy?"
"came","come","přicházela","přicházet","impf"," And here she came, approaching the stairs in her white swimsuit, with a radiant smile for the young man who assisted at the stairs, then quick on her high heels away, the camera following the backs of her thighs :"," A skutečně už přicházela v bílých plavkách ke schodům, mladému asistentovi věnovala zářivý úsměv, potom rychle odcházela na vysokých podpatcích a kamera zabírala zadní stranu jejích stehen."
"went","go","odjela","odjet","pf"," One van went to the Senate Office Building, where technicians placed monitoring and recording equipment on the telephones in Senator Martin 's office and put a Title 3 wiretap on the pay phones closest to the Senator 's office."," Jedna odjela k budově Senátu, kde technici napojili odposlouchávací a nahrávací zařízení na telefony v kanceláři senátorky Martinové a umístili odposlech na všechny telefonní stanice v nejbližším okolí kanceláře senátorky."
"placed","place","umístili","umístit","pf"," One van went to the Senate Office Building, where technicians placed monitoring and recording equipment on the telephones in Senator Martin 's office and put a Title 3 wiretap on the pay phones closest to the Senator 's office."," Jedna odjela k budově Senátu, kde technici napojili odposlouchávací a nahrávací zařízení na telefony v kanceláři senátorky Martinové a umístili odposlech na všechny telefonní stanice v nejbližším okolí kanceláře senátorky."
"put","put","umístili","umístit","pf"," One van went to the Senate Office Building, where technicians placed monitoring and recording equipment on the telephones in Senator Martin 's office and put a Title 3 wiretap on the pay phones closest to the Senator 's office."," Jedna odjela k budově Senátu, kde technici napojili odposlouchávací a nahrávací zařízení na telefony v kanceláři senátorky Martinové a umístili odposlech na všechny telefonní stanice v nejbližším okolí kanceláře senátorky."
"woke","wake","vzbudilo","vzbudit","pf"," The Justice Department woke the most junior member of the Senate Select Intelligence Committee to provide the obligatory notice of the tap."," Ministerstvo spravedlnosti vzbudilo většinu mladších senátorů, aby je o odposlechu oficiálně informovalo."
"parked","park","zaparkovalo","zaparkovat","pf"," The other vehicle, an "" eyeball van "" with one-way glass and surveillance equipment, was parked on Virginia Avenue to cover the front of the Watergate West, Senator Martin 's Washington residence."," Druhé vozidlo - očko se sklem, kterým není vidět dovnitř vozu a které je vybaveno pátracím zařízením, zaparkovalo na Virginia avenue, kde mělo dokonalý přehled o dění před Watergate West, což byla rezidence senátorky Martinové ve Washingtonu."
