"hear","hear","zaslechl","zaslechnout","pf"," He could hear, a long way off, the sound of approaching feet and arguing voices."," Kdesi v dálce zaslechl zvuk přibližujících se kroků a rozhádaných hlasů."
"sold","sell","prodávaly","prodávat","impf"," He thought of the gherkins they sold there, great green things lurking at the bottom of their jar like drowned whales."," Myslel na nakládané okurky, které se tam prodávaly, na ty velké zelené ovály, které se povalovaly na dnech dřevěných škopků jako líné velryby."
"heard","hear","slyšet","slyšet","impf"," ‘ But you just heard — ’"," "" Ale vždyť jsi to musel slyšet sám, jak ... """
"talk","talk","mluvit","mluvit","impf"," If you 're going to talk you need the right equipment, like lungs and lips and, and — ’"," Když chceš mluvit, potřebuješ k tomu výbavu, jako plíce a rty a - """
"need","need","potřebuješ","potřebovat","impf"," If you 're going to talk you need the right equipment, like lungs and lips and, and — ’"," Když chceš mluvit, potřebuješ k tomu výbavu, jako plíce a rty a - """
"looked","look","podíval","podívat","pf"," ‘ Well, eldritch is — ’ Cohen paused and looked down irritably."," "" No tajemná, to je - "" podíval se na truhlici."
"kick","kick","Kopni","kopnout","pf"," ‘ Give it a kick and you 'll see. ’"," "" Kopni do ní a uvidíš. """
"see","see","uvidíš","uvidět","pf"," ‘ Give it a kick and you 'll see. ’"," "" Kopni do ní a uvidíš. """
"said","say","řekl","říci","pf"," ‘ I see, ’ said the dwarf."," "" Aha, "" řekl spokojeně trpaslík."
"means","mean","znamená","znamenat","impf"," ‘ Eldritch means wooden? ’"," "" Tajuplný znamená dřevěný, co? """
"said","say","odpověděl","odpovědět","pf"," ‘ No, ’ said Cohen."," "" Ne, "" odpověděl Cohen."
"run","run","běžely","běžet","impf"," ‘ Making your feet run a lot faster 'd be favourite, ’ said Bethan grimly."," "" Nejlepší by bylo, kdybys dokázal, aby naše nohy běžely mnohem rychleji, "" navrhla mu zasmušeně Bethan."
"Run","run","Běžte","běžet","impf"," Run faster!"," Běžte rychleji!"
"look","look","Koukněte","kouknout","pf"," Hey, look, they 're doing it! ’"," Koukněte, fakt běží rychleji! """
"said","say","prohlásila","prohlásit","pf"," ‘ It looks like there 's been a fight, ’ said Beryl."," "" Vypadá to, jako by se tady bojovalo, "" prohlásila Beryl."
"leaked","leak","tekl","téci","impf"," ‘ One of them 's leaked, ’ said Kwartz, kneeling down."," "" Jeden z nich tekl, "" zachřestil Křemen, který si klekl a prohlížel zem."
"told","tell","Řekl","říci","pf"," ‘ I told him there was no demand for it! ’"," "" Řekl jsem mu, že o něco takového v poslední době nebyl žádný zájem. """
"looked","look","nahlédl","nahlédnout","pf"," Rincewind sighed, and looked in the back of his mind."," Mrakoplaš si povzdechl a nahlédl do hlubin svého mozku."
"trodden","tread","šlápl","šlápnout","pf"," There was a lot more creaking, and a muffled scream from downstairs where a Venerable Seer, creeping carefully through the darkness from the broken window, had trodden on the fingers of a Hoodwinker who was hiding under the table."," Ozvalo se další vrzání a skřípání a potom výkřik zezdola, kde jeden z Pravých proroků, který se plížil tmou od okna, šlápl na prsty Mrkající kápě, ukryté pod stolem."
"got","get","dostali","dostat","pf"," ‘ They 've got him!"," "" Už ho dostali."
"go","go","Jdem","jít","impf"," Let 's go! ’"," Jdem! """
"get","get","přijdeš","přijít","pf"," It do n't matter what elsh you loosh, you can get by with one eye even, but you show ' em a mouth full of gumsh and no-one hash any reshpect. ’"," Je čelkem jedno, čo všečko jinak štratíš, nevadí, když přijdeš o jedno oko, ale když otevřeš pušu a vyčeníš na ně dášně, každej žtratí rešpekt. """
"thought","think","myslel","myslet","impf"," ‘ I thought we 'd run into some turbulence a while back, ’ said the druid, whose name turned out to be Belafon."," "" A já si myslel, že jsem vletěl do vzdušného víru, "" poškrabal se za uchem druid, jehož jméno bylo, jak se ukázalo, Belafon."
"fall","fall","spadnout","spadnout","pf"," ‘ Well, just indicate a general unwillingness to fall off, ’ said Belafon."," "" No, snažte se upřeně myslet na to, že nechcete spadnout, "" radil jim Belafon."
"remember","remember","Vzpomínám","vzpomínat","impf"," I remember Rincewind, was n't he the scruffy boy who always came bottom of the class when we were training?"," Vzpomínám si na toho Mrakoplaše, že to byl ten neohrabaný mládenec, který byl vždycky skoro poslední ve třídě?"
"get","get","dostal","dostat","pf"," Let me get him in front of me, and we 'll see if we ca n't get all eight —"," Jen kdybych ho tak dostal sem, to bychom se na to podívali, jestli bychom nedali dohromady všech osm ..."
"get","get","dostal","dostat","pf"," Let me get him in front of me, and we 'll see if we ca n't get all eight —"," Jen kdybych ho tak dostal sem, to bychom se na to podívali, jestli bychom nedali dohromady všech osm ..."
"see","see","podívali","podívat","pf"," Let me get him in front of me, and we 'll see if we ca n't get all eight —"," Jen kdybych ho tak dostal sem, to bychom se na to podívali, jestli bychom nedali dohromady všech osm ..."
"pushed","push","nevytlačila","vytlačit","pf"," Rincewind was trying very hard to prevent his brain being pushed out of his ears."," Mrakoplaš dělal, co mohl, aby mu protiváha nevytlačila mozek ušima."
"holding","hold","měl","mít","impf"," The wizard might as well have been holding a shadow."," Čaroděj měl pocit, že drží v rukou pouhý stín."
"holding","hold","drží","držet","impf"," The wizard might as well have been holding a shadow."," Čaroděj měl pocit, že drží v rukou pouhý stín."
"struck","strike","neuhodí","uhodit","pf"," Of course, it was often said, usually by the same people, that crooks always had close-set eyes, lightning never struck twice in the same place and if the gods had wanted men to fly they 'd have given them an airline ticket."," Na druhé straně ale také slýchával od těch samých lidí, že lumpové mívají oči postavené blízko sebe, blesk že nikdy neuhodí dvakrát do jednoho místa, a kdyby bohové chtěli, aby člověk létal, byli by mu darovali letenku."
"wanted","want","chtěli","chtít","impf"," Of course, it was often said, usually by the same people, that crooks always had close-set eyes, lightning never struck twice in the same place and if the gods had wanted men to fly they 'd have given them an airline ticket."," Na druhé straně ale také slýchával od těch samých lidí, že lumpové mívají oči postavené blízko sebe, blesk že nikdy neuhodí dvakrát do jednoho místa, a kdyby bohové chtěli, aby člověk létal, byli by mu darovali letenku."
"fly","fly","létal","létat","impf"," Of course, it was often said, usually by the same people, that crooks always had close-set eyes, lightning never struck twice in the same place and if the gods had wanted men to fly they 'd have given them an airline ticket."," Na druhé straně ale také slýchával od těch samých lidí, že lumpové mívají oči postavené blízko sebe, blesk že nikdy neuhodí dvakrát do jednoho místa, a kdyby bohové chtěli, aby člověk létal, byli by mu darovali letenku."
"given","give","darovali","darovat","pf"," Of course, it was often said, usually by the same people, that crooks always had close-set eyes, lightning never struck twice in the same place and if the gods had wanted men to fly they 'd have given them an airline ticket."," Na druhé straně ale také slýchával od těch samých lidí, že lumpové mívají oči postavené blízko sebe, blesk že nikdy neuhodí dvakrát do jednoho místa, a kdyby bohové chtěli, aby člověk létal, byli by mu darovali letenku."
"Frightened","frighten","Vyděsilo","vyděsit","pf"," Frightened him horribly."," Vyděsilo ho to k smrti."
"made","make","působilo","působit","impf"," There was something about his manner that made her fists itch."," V jeho chování bylo něco, co působilo, že kdykoliv ho uviděla, byla by ho nejraději kopla."
"played","play","hrál","hrát","impf"," What if Famine had played a – what was it – a trump return? ’"," A co kdyby Hlad hrál - jak jsi to říkal - trumfem? """
"Riding","ride","jelo","jet","impf"," Riding with her were a number of swarthy men that will certainly be killed before too long anyway, so a description is probably not essential."," S ní jelo několik snědých mužů, ale protože ti budou pravděpodobně v nejbližší době zabiti, je zbytečné je blíže popisovat."
"killed","kill","zabiti","zabít","pf"," Riding with her were a number of swarthy men that will certainly be killed before too long anyway, so a description is probably not essential."," S ní jelo několik snědých mužů, ale protože ti budou pravděpodobně v nejbližší době zabiti, je zbytečné je blíže popisovat."
"heading","head","mířila","mířit","impf"," But Herrena was heading for the hills for a different reason."," Herrena však mířila k horám z úplně jiného důvodu."
"waved","wave","zamával","zamávat","pf"," He waved the onions vaguely."," Nazdařbůh zamával cibulemi."
"said","say","prohlásil","prohlásit","pf"," ‘ It looked like monsters up there, ’ said Twoflower, standing closer to Rincewind."," "" Jenže tam nahoře byly obludy, "" prohlásil Dvoukvítek a postavil se vedle Mrakoplaše."
"standing","stand","postavil","postavit","pf"," ‘ It looked like monsters up there, ’ said Twoflower, standing closer to Rincewind."," "" Jenže tam nahoře byly obludy, "" prohlásil Dvoukvítek a postavil se vedle Mrakoplaše."
"Show","show","Ukaž","ukázat","pf"," Show me some monsters! ’ said Wert."," Ukaž mi nějaké obludy! "" ušklíbl se na něj Budiž."
"moved","move","nehýbalo","hýbat","impf"," Nothing moved against the circle of light."," Ve světelném kruhu se nic nehýbalo."
"shut","shut","zavřel","zavřít","pf"," Galder shut his eyes momentarily, his face a mask of ecstacy as he mouthed the final word."," Galder na chvíli zavřel oči a tvář se mu změnila v extatickou masku, když se chystal vyslovit závěrečné slovo."
"opened","open","otevřel","otevřít","pf"," And Galder opened one eye, nodded at him and sent a sideways blast of power that picked the younger man up and sent him sprawling against the wall."," Galder otevřel jedno oko, kývl na něj a poslal stranou proud sily, který zvedl mladšího muže jako pírko a udeřil jím o zeď."
"nodded","nod","kývl","kývnout","pf"," And Galder opened one eye, nodded at him and sent a sideways blast of power that picked the younger man up and sent him sprawling against the wall."," Galder otevřel jedno oko, kývl na něj a poslal stranou proud sily, který zvedl mladšího muže jako pírko a udeřil jím o zeď."
"sent","send","poslal","poslat","pf"," And Galder opened one eye, nodded at him and sent a sideways blast of power that picked the younger man up and sent him sprawling against the wall."," Galder otevřel jedno oko, kývl na něj a poslal stranou proud sily, který zvedl mladšího muže jako pírko a udeřil jím o zeď."
"sent","send","poslal","poslat","pf"," And Galder opened one eye, nodded at him and sent a sideways blast of power that picked the younger man up and sent him sprawling against the wall."," Galder otevřel jedno oko, kývl na něj a poslal stranou proud sily, který zvedl mladšího muže jako pírko a udeřil jím o zeď."
"raised","raise","pozvedl","pozvednout","pf"," Galder winked at him and raised his arms again."," Galder na něj přátelsky zamrkal a znovu pozvedl paže."
"sent","send","poslal","poslat","pf"," ‘ I 've sent someone to find him, ’ he said."," "" A já za ním poslal někoho, kdo by ho měl najít. """
"find","find","najít","najít","pf"," ‘ I 've sent someone to find him, ’ he said."," "" A já za ním poslal někoho, kdo by ho měl najít. """
"relied","rely","spoléhali","spoléhat","impf"," ‘ That was because we relied on magic, but it is obvious that Rincewind is somehow hidden from magic."," "" Protože jsme se spoléhali jenom na magii a Mrakoplaš je nějakým nepochopitelným způsobem v magickém stínu."
"hide","hide","neukryje","ukrýt","pf"," But he ca n't hide his footprints. ’"," Ale své stopy neukryje. """
"speaking","speak","říci","říci","pf"," ‘ In a manner of speaking. ’"," "" No dalo by se to tak říci. """
"managed","manage","podařilo","podařit","pf"," Wert managed to pack a lot of meaning into the one word."," Budižovi se podařilo do toho jediného slova vložit několik významů současně."
"caught","catch","chytil","chytit","pf"," Cohen caught him around the waist and jerked him unceremoniously onto the stones."," Cohen chytil čaroděje kolem pasu a docela prozaicky s ním škubl, takže Mrakoplaš dopadl na kamenné stupně."
"caught","catch","dopadl","dopadnout","pf"," Cohen caught him around the waist and jerked him unceremoniously onto the stones."," Cohen chytil čaroděje kolem pasu a docela prozaicky s ním škubl, takže Mrakoplaš dopadl na kamenné stupně."
"looked","look","pohlédl","pohlédnout","pf"," Rincewind looked at Twoflower, who shook his head."," Mrakoplaš pohlédl na Dvoukvítka a ten zavrtěl hlavou."
"looked","look","podíval","podívat","pf"," Rincewind looked blankly at Ysabell as words like ‘ rebiddable suit ’, ‘ double finesse ’ and ‘ grand slam ‘ floated through the velvet."," Když se k Mrakoplašovi rudým sametem prodrala slova jako "" trik "" "" ' kniha "", "" sehrávka "" a "" malý slon "", nechápavě se podíval na Ysabell."
"understand","understand","rozumíte","rozumět","impf"," ‘ Do you understand any of that? ’ she asked."," "" Vy tomu rozumíte? """
"disappeared","disappear","zmizel","zmizet","pf"," Belafon clambered onto the ladder and disappeared from view."," Belafon se spustil na žebřík a vzápětí zmizel pod okrajem balvanu."
"looked","look","podívali","podívat","pf"," The passengers looked at each other, and then stared down into the vast open space between the inner circle of stones."," Oba cestující se podívali na sebe a pak upřeli pohled do obrovského volného prostoru mezi vnějším a vnitřním kruhem kamenů."
"admit","admit","připustili","připustit","pf"," It was not a particularly good body, he 'd be the first to admit, but one or two bits of it had sentimental value and it dawned on him that if the little blue line snapped he 'd have to spend the rest of his li — his existence hanging around ouija boards pretending to be people 's dead aunties and all the other things lost souls do to pass the time."," Byl mezi prvními, kdo by připustili, že to není tělo nijak zvláštní, ale jeden dva kousky z něj v něm vyvolávaly sentimentální vzpomínky a současně si uvědomil, že kdyby se ta tenká modrá nitka přetrhla, musel by strávit zbytek svého živo ... své existence nad stolečky spiritistů a předstírat, že je mrtvá tetička toho, dědeček onoho, nebo jiná mrtvá duše, aby si nějak ukrátil čas."
"spend","spend","strávit","strávit","pf"," It was not a particularly good body, he 'd be the first to admit, but one or two bits of it had sentimental value and it dawned on him that if the little blue line snapped he 'd have to spend the rest of his li — his existence hanging around ouija boards pretending to be people 's dead aunties and all the other things lost souls do to pass the time."," Byl mezi prvními, kdo by připustili, že to není tělo nijak zvláštní, ale jeden dva kousky z něj v něm vyvolávaly sentimentální vzpomínky a současně si uvědomil, že kdyby se ta tenká modrá nitka přetrhla, musel by strávit zbytek svého živo ... své existence nad stolečky spiritistů a předstírat, že je mrtvá tetička toho, dědeček onoho, nebo jiná mrtvá duše, aby si nějak ukrátil čas."
"pass","pass","strávit","strávit","pf"," It was not a particularly good body, he 'd be the first to admit, but one or two bits of it had sentimental value and it dawned on him that if the little blue line snapped he 'd have to spend the rest of his li — his existence hanging around ouija boards pretending to be people 's dead aunties and all the other things lost souls do to pass the time."," Byl mezi prvními, kdo by připustili, že to není tělo nijak zvláštní, ale jeden dva kousky z něj v něm vyvolávaly sentimentální vzpomínky a současně si uvědomil, že kdyby se ta tenká modrá nitka přetrhla, musel by strávit zbytek svého živo ... své existence nad stolečky spiritistů a předstírat, že je mrtvá tetička toho, dědeček onoho, nebo jiná mrtvá duše, aby si nějak ukrátil čas."
"pretending","pretend","předstírat","předstírat","impf"," It was not a particularly good body, he 'd be the first to admit, but one or two bits of it had sentimental value and it dawned on him that if the little blue line snapped he 'd have to spend the rest of his li — his existence hanging around ouija boards pretending to be people 's dead aunties and all the other things lost souls do to pass the time."," Byl mezi prvními, kdo by připustili, že to není tělo nijak zvláštní, ale jeden dva kousky z něj v něm vyvolávaly sentimentální vzpomínky a současně si uvědomil, že kdyby se ta tenká modrá nitka přetrhla, musel by strávit zbytek svého živo ... své existence nad stolečky spiritistů a předstírat, že je mrtvá tetička toho, dědeček onoho, nebo jiná mrtvá duše, aby si nějak ukrátil čas."
"touch","touch","dotkl","dotknout","pf"," The sheer horror of this so appalled him he hardly felt his feet touch the ground."," Z toho na něj padla taková hrůza, že si v první chvíli ani neuvědomil, že se nohama dotkl pevné země."
"went","go","pokračovalo","pokračovat","impf"," It went on and on, a quiet, clear voice that used words like ‘ cleanse ’ and ‘ scouring ’ and ‘ purify ’ and drilled into the brain like a hot sword."," Tak to pokračovalo, mluvil tichým, ale jasným a vemlouvavým hlasem a používal slova jako "" očistit "", "" vymést "" a "" vypálit "" a vrtal lidem do hlav jako rozžhaveným drátem."
"used","use","používal","používat","impf"," It went on and on, a quiet, clear voice that used words like ‘ cleanse ’ and ‘ scouring ’ and ‘ purify ’ and drilled into the brain like a hot sword."," Tak to pokračovalo, mluvil tichým, ale jasným a vemlouvavým hlasem a používal slova jako "" očistit "", "" vymést "" a "" vypálit "" a vrtal lidem do hlav jako rozžhaveným drátem."
"cleanse","cleanse","očistit","očistit","pf"," It went on and on, a quiet, clear voice that used words like ‘ cleanse ’ and ‘ scouring ’ and ‘ purify ’ and drilled into the brain like a hot sword."," Tak to pokračovalo, mluvil tichým, ale jasným a vemlouvavým hlasem a používal slova jako "" očistit "", "" vymést "" a "" vypálit "" a vrtal lidem do hlav jako rozžhaveným drátem."
"purify","purify","očistit","očistit","pf"," It went on and on, a quiet, clear voice that used words like ‘ cleanse ’ and ‘ scouring ’ and ‘ purify ’ and drilled into the brain like a hot sword."," Tak to pokračovalo, mluvil tichým, ale jasným a vemlouvavým hlasem a používal slova jako "" očistit "", "" vymést "" a "" vypálit "" a vrtal lidem do hlav jako rozžhaveným drátem."
"worked","work","Fungovala","fungovat","impf"," Had it ever really worked, or had it all been a dream?"," Fungovala, nebo to byl pouhý sen? """
"began","begin","začal","začít","pf"," Rincewind began to be really afraid that the gods might get to hear about this and be so angry that they 'd take it out on anyone who happened to have been around at the time."," Mrakoplaš se začal vážně bát, že by se o tomhle shromáždění mohli doslechnout bohové a rozzlobit se tak, že by zato potrestali každého, kdo byl na shromáždění přítomen."
"rose","rise","vyšel","vyjít","pf"," It was at that moment that the moon, in due obedience to the laws of persuasion, rose, although in deference to the laws of computing it was n't anywhere near where the stones said it should be."," A přesně v tom okamžiku vyšel ve slepé poslušnosti k zákonům přírody měsíc, i když zákony výpočetní techniky zřejmě nevzal na vědomí, protože vyšel za úplně jiným kamenem, než který označil kamenný počítač a ke kterému upírali oči všichni shromáždění."
"rose","rise","vyšel","vyjít","pf"," It was at that moment that the moon, in due obedience to the laws of persuasion, rose, although in deference to the laws of computing it was n't anywhere near where the stones said it should be."," A přesně v tom okamžiku vyšel ve slepé poslušnosti k zákonům přírody měsíc, i když zákony výpočetní techniky zřejmě nevzal na vědomí, protože vyšel za úplně jiným kamenem, než který označil kamenný počítač a ke kterému upírali oči všichni shromáždění."
"hung","hang","Visela","viset","impf"," It hung exactly over the circle 's holiest stone, glittering away like the sparkle in the eyesocket of Death."," Visela přesně nad nejsvatějším kamenem posvátného kruhu a blýskala se jako rudá jiskra v očním důlku samotného Smrtě."
"dropped","drop","upustil","upustit","pf"," The druid looked up, and dropped the pan into the fire."," Druid zvedl oči a upustil pánev do ohně."
"ran","run","uteklo","utéci","pf"," ‘ Some ran away, but we killed quite a lot."," "" Pár nám jich sice uteklo, ale i tak jsme jich zabili pěknou řádku."
"killed","kill","zabili","zabít","pf"," ‘ Some ran away, but we killed quite a lot."," "" Pár nám jich sice uteklo, ale i tak jsme jich zabili pěknou řádku."
"waved","wave","mávali","mávat","impf"," They waved their hands and nothing came out. ’"," Pořád jenom mávali rukama a nic. """
"got","get","dostalo","dostat","pf"," Long before the eight mages had got down to some serious arguing about what the apparition had meant he was down in the main levels of the University library."," Dlouho předtím, než se osm velkých mágů dostalo do vážného sporu o tom, co jim chtělo zjevení vlastně říci, byl už v hlavním sále univerzitní knihovny."
"meant","mean","chtělo","chtít","impf"," Long before the eight mages had got down to some serious arguing about what the apparition had meant he was down in the main levels of the University library."," Dlouho předtím, než se osm velkých mágů dostalo do vážného sporu o tom, co jim chtělo zjevení vlastně říci, byl už v hlavním sále univerzitní knihovny."
"suggests","suggest","nabízí","nabízet","impf"," ‘ And immediately a course of action suggests itself to us. ’"," "" Okamžitě se nám nabízí, co máme dělat. """
"keep","keep","měl","mít","impf"," ‘ Ah, ’ said the astrologer, running in an attempt to keep up as the wizard stalked across The Two Fat Cousins."," "" Aha, "" chápavě přikývl astrolog, který měl co dělat, aby s mágem, který právě uháněl napříč Dvěma tlustými bratranci, udržel krok."
"keep","keep","udržel","udržet","pf"," ‘ Ah, ’ said the astrologer, running in an attempt to keep up as the wizard stalked across The Two Fat Cousins."," "" Aha, "" chápavě přikývl astrolog, který měl co dělat, aby s mágem, který právě uháněl napříč Dvěma tlustými bratranci, udržel krok."
"passed","pass","podal","podat","pf"," Rincewind passed her the Octavo without a word."," Mrakoplaš jí beze slova podal Oktáva."
"opened","open","Otevřela","otevřít","pf"," She opened it and peered at the pages."," Otevřela knihu a prohlížela strany."
"doing","do","dělá","dělat","impf"," ‘ What 's that crocodile thing doing to the octopus? ’"," Co to dělá to zvíře podobné krokodýlu s tady tou chobotnicí? """
"looked","look","nahlédl","nahlédnout","pf"," Rincewind looked over her shoulder and, without thinking, told her."," Mrakoplaš jí nahlédl přes rameno, a aniž o tom moc přemýšlel, řekl jí to."
"told","tell","řekl","říci","pf"," Rincewind looked over her shoulder and, without thinking, told her."," Mrakoplaš jí nahlédl přes rameno, a aniž o tom moc přemýšlel, řekl jí to."
"said","say","prohlásila","prohlásit","pf"," ‘ Oh, ’ she said levelly."," "" Oh, "" prohlásila klidně."
"looked","look","podíval","podívat","pf"," Cohen produced a big yellow match from somewhere in his tobacco bag, looked at Wert for a moment, and with great deliberation struck the match on his fossilized nose."," Cohen vytáhl odněkud z hlubin svého vaku na tabák velkou žlutou zápalku, podíval se na kamenného Budiže a velmi uvážlivě rozškrtl zápalku o jeho nos."
"expect","expect","čekáš","čekat","impf"," ‘ Look, ’ he said to Twoflower, as kindly as he could manage, ‘ what do you expect?"," "" Podívej, "" obrátil se pak k Dvoukvítkovi tak vlídně, jak to jen dokázal, "" co vlastně čekáš?"
"tell","tell","řeknu","říci","pf"," I 've been around a long time, I 've seen the whole magical thing, and I can tell you that if you go around with your jaw dropping all the time people hit it."," Já už to znám celé roky, znám celý ten kouzelnický krám a řeknu ti, že jestli budeš chodit kolem se spadlou bradou déle, než je zdrávo, někdo tě do ní nakonec praští."
"go","go","chodit","chodit","impf"," I 've been around a long time, I 've seen the whole magical thing, and I can tell you that if you go around with your jaw dropping all the time people hit it."," Já už to znám celé roky, znám celý ten kouzelnický krám a řeknu ti, že jestli budeš chodit kolem se spadlou bradou déle, než je zdrávo, někdo tě do ní nakonec praští."
"open","open","otevřel","otevřít","pf"," He thumbed both eyes open, examined the graze, felt the pulse."," Opatrně mu palcem otevřel oči, prohlédl šrám a nahmatal puls."
"examined","examine","prohlédl","prohlédnout","pf"," He thumbed both eyes open, examined the graze, felt the pulse."," Opatrně mu palcem otevřel oči, prohlédl šrám a nahmatal puls."
"gone","go","Odešel","odejít","pf"," ‘ He'sh gone, ’ he said."," "" Odešel, "" prohlásil nakonec."
"said","say","prohlásil","prohlásit","pf"," ‘ He'sh gone, ’ he said."," "" Odešel, "" prohlásil nakonec."
"started","start","začaly","začít","pf"," In the debating chamber of his mind a dozen emotions got to their feet and started shouting."," V debatní místnosti jeho mozku vyskočilo několik emocí najednou a začaly se překřikovat."
"said","say","odpověděl","odpovědět","pf"," ‘ Oh, shut up, ’ said Rincewind wearily."," "" Ále, kušuj, "" odpověděl mu Mrakoplaš unaveně."
"suppose","suppose","Předpokládám","předpokládat","impf"," ‘ I do n't suppose there 's anything to eat around here? ’"," "" Předpokládám, že tady těžko najdeme něco k jídlu, co? """
"trying","try","pokoušel","pokoušet","impf"," ‘ Certain death, ’ said Twoflower helpfully, trying to ignore the slow but inexorable slide of his body across the flagstones."," "" Nad hrozivou smrtí, "" vysvětloval mu Dvoukvítek snaživě a pokoušel se nevšímat si toho, jak pomalu, ale jistě, klouže stále dál k otvoru."
"Do","do","udělám","udělat","pf"," Do you know what I 'm going to do when we get out of this? ’"," Víš, co udělám, až se z toho vyhrabem? """
"do","do","udělám","udělat","pf"," Do you know what I 'm going to do when we get out of this? ’"," Víš, co udělám, až se z toho vyhrabem? """
"try","try","pokusit","pokusit","pf"," ‘ You could try getting us out. ’"," "" Mohli byste se pokusit dostat nás odsud, "" zněla odpověď."
"getting","get","dostat","dostat","pf"," ‘ You could try getting us out. ’"," "" Mohli byste se pokusit dostat nás odsud, "" zněla odpověď."
"expect","expect","Myslím","myslet","impf"," ‘ I expect Cohen would have been able to, ’ said Bethan loyally."," "" Myslím, že Cohen by to dokázal, "" prohlásila Bethan oddaně."
"said","say","prohlásila","prohlásit","pf"," ‘ I expect Cohen would have been able to, ’ said Bethan loyally."," "" Myslím, že Cohen by to dokázal, "" prohlásila Bethan oddaně."
"seen","see","viděl","vidět","impf"," It seemed pretty much like every other tree he 'd seen."," Vypadal stejně jako všechny, které viděl kdy předtím."
"thought","think","pomyslel","pomyslet","pf"," Rincewind thought :"," Mrakoplaš si pomyslel : nemůžu tady přeci stát a žvanit se stromem."
"said","say","pronesl","pronést","pf"," ‘ Goodbye, ’ he said firmly."," "" Sbohem, "" pronesl rozhodným hlasem."
"practise","practise","praktikovat","praktikovat","impf"," It has already been hinted that around this time there was some disagreement among the fraternity of wizards about how to practise magic."," Jak už bylo opatrně naznačeno, docházelo v poslední době ve společenství mágů ke sporům o to, jak magii praktikovat."
"sitting","sit","seděly","sedět","impf"," if trees were people, these trees would be sitting in rocking chairs."," Kdyby byly stromy lidmi, tyhle by seděly v houpacích křeslech."
"think","think","Myslím","myslet","impf"," ‘ I think they went off to get married, ’ said Rincewind."," "" Myslím, že se šli dát oddat, "" zabručel Mrakoplaš."
"went","go","šli","jít","impf"," ‘ I think they went off to get married, ’ said Rincewind."," "" Myslím, že se šli dát oddat, "" zabručel Mrakoplaš."
"heard","hear","Slyšel","slyšet","impf"," ‘ I heard Bethan say it was now or never. ’"," "" Slyšel jsem, jak Bethan říká něco jako že buď teď, nebo nikdy. """
"say","say","říká","říkat","impf"," ‘ I heard Bethan say it was now or never. ’"," "" Slyšel jsem, jak Bethan říká něco jako že buď teď, nebo nikdy. """
"see","see","uvidíš","uvidět","pf"," ‘ Well, when you see them give them this, ’ said Twoflower, handing him the bag."," "" Dobře, tak až je uvidíš, dej jim tohle, "" podal mu turista vak."
"give","give","dej","dát","pf"," ‘ Well, when you see them give them this, ’ said Twoflower, handing him the bag."," "" Dobře, tak až je uvidíš, dej jim tohle, "" podal mu turista vak."
"handing","hand","dej","dát","pf"," ‘ Well, when you see them give them this, ’ said Twoflower, handing him the bag."," "" Dobře, tak až je uvidíš, dej jim tohle, "" podal mu turista vak."
"give","give","podal","podat","pf"," ‘ Well, when you see them give them this, ’ said Twoflower, handing him the bag."," "" Dobře, tak až je uvidíš, dej jim tohle, "" podal mu turista vak."
"handing","hand","podal","podat","pf"," ‘ Well, when you see them give them this, ’ said Twoflower, handing him the bag."," "" Dobře, tak až je uvidíš, dej jim tohle, "" podal mu turista vak."
"understood","understand","nepochopil","pochopit","pf"," Twoflower had never fully understood the gulf in the exchange rate."," Dvoukvítek za celou dobu nepochopil, co je to kurzovní přepočet."
"think","think","myslím","myslet","impf"," I think it 's very romantic."," Já si myslím, že je to velice romantické."
"found","find","objevil","objevit","pf"," He followed, stamping angrily through the disused lots and inner-city disaster areas of his subconscious, until he found it cowering behind a heap of condemned memories."," Hnal se za ním, vztekle dupal v neužívaných prostorách a pobořených uličkách vnitřního města svého podvědomí, až ho nakonec objevil za hromadou zavržených myšlenek."
"shouted","shout","křičel","křičet","impf"," Is this it? he shouted at it."," Tak takhle si to představuješ, křičel na Zaklínadlo v duchu."
"hide","hide","schováš","schovat","pf"," When it 's time for the showdown, you go and hide?"," Když přišel čas posledního zúčtování, prostě zalezeš a schováš se?"
"believe","believe","nevěříš","věřit","impf"," The Spell said, That 's nonsense, you ca n't possibly believe that, I 'm one of the Eight Spells."," Zaklínadlo samozřejmě odseklo, tomu sám nevěříš, je to nesmysl, já jsem přece jedno z Osmi velkých zaklínadel."
"stared","stare","zíral","zírat","impf"," Weems stared at it in horror."," Weems na ně zíral s hrůzou."
"turned","turn","otočil","otočit","pf"," He turned and ran into the mists."," Bandita se otočil, dal se na útěk a vzápětí zmizel v mlze."
"parried","parry","odrazil","odrazit","pf"," Herrena lunged at Cohen, who parried the thrust and grunted as his arm twinged."," Herrena se vrhla na Cohena, ten její ránu odrazil a zabručel, když mu celá paže zabrněla silou nárazu."
"gleamed","gleam","leskly","lesknout","impf"," Gancia 's eyes gleamed more than gold, and he appeared to be staring at Weems 's left ear."," Ganciovy oči se leskly silněji než zlato a zdálo se, že je upírá Weemsovi na levé ucho."
"appeared","appear","zdálo","zdát","impf"," Gancia 's eyes gleamed more than gold, and he appeared to be staring at Weems 's left ear."," Ganciovy oči se leskly silněji než zlato a zdálo se, že je upírá Weemsovi na levé ucho."
