"make","make","vydělávají","vydělávat","impf"," ' All these entrepreneurs make fortunes only because others incur expenses '."," "" Všichni podnikatelé vydělávají jenom tehdy, pokud ostatní utrácejí. """
"understand","understand","rozumíme","rozumět","impf"," In fact, such analyses are incompatible with what we understand today by evolutionary thought."," Ve skutečnosti nejsou tyto analýzy kompatibilní s tím, co dnes rozumíme pod pojmem evoluční myšlení."
"replaced","replace","nahrazen","nahradit","pf"," The circular world of converging signs is replaced by an infinite progression."," Sférický svět konvergentních znaků je nahrazen světem roztahujícím se do nekonečna."
"use","use","použili","použít","pf"," The ' anatomy ' of language, to use Grimm 's expression, functions on the other hand within the element of History : for it is an anatomy of possible changes, one that expresses not the real coexistence of organs, or their mutual exclusion, but the direction in which mutations will or will not be able to occur."," "" Anatomie "" řeči, abychom použili Grimmův výraz, naproti tomu působí v živlu Historie : neboť právě anatomie možných změn vyjadřuje nikoli skutečnou koexistenci orgánů nebo to, jak se vzájemně vylučují, nýbrž směr, v jakém se změny mohou nebo nemohou odehrát."
"expresses","express","vyjadřuje","vyjadřovat","impf"," The ' anatomy ' of language, to use Grimm 's expression, functions on the other hand within the element of History : for it is an anatomy of possible changes, one that expresses not the real coexistence of organs, or their mutual exclusion, but the direction in which mutations will or will not be able to occur."," "" Anatomie "" řeči, abychom použili Grimmův výraz, naproti tomu působí v živlu Historie : neboť právě anatomie možných změn vyjadřuje nikoli skutečnou koexistenci orgánů nebo to, jak se vzájemně vylučují, nýbrž směr, v jakém se změny mohou nebo nemohou odehrát."
"established","establish","ustavena","ustavit","pf"," How could it have been otherwise, since its positivity could be established only by a break between language and representation?"," Jak by tomu také mohlo být jinak, když její pozitivita mohla být ustavena pouze na základě odluky řeči a reprezentace?"
"try","try","pokoušíme","pokoušet","impf"," It suspends the long ' chronological ' discourse by means of which we try to reflect our own culture within itself, and instead it reveals synchronological correlations in other cultural forms."," Suspenduje dlouhý "" chronologický "" diskurz, jehož prostřednictvím se pokoušíme myslet naši vlastní kulturu, aby odhalila synchronické korelace v jiných kulturních formách."
"reveals","reveal","odhalila","odhalit","pf"," It suspends the long ' chronological ' discourse by means of which we try to reflect our own culture within itself, and instead it reveals synchronological correlations in other cultural forms."," Suspenduje dlouhý "" chronologický "" diskurz, jehož prostřednictvím se pokoušíme myslet naši vlastní kulturu, aby odhalila synchronické korelace v jiných kulturních formách."
"denotes","denote","označuje","označovat","impf"," However, since discourse is not simply a representative whole, but a duplicated representation that denotes another representation - the one that it is in fact representing - general grammar must also study the way in which words designate what they say, first of all in their primitive value ( theory of origins and of the root ), then in their permanent capacity for displacement, extension, and reorganization ( theory of rhetoric and of derivation )."," Ale protože diskurz není prostě reprezentativní soubor, nýbrž reprezentace zdvojená, která označuje další reprezentaci - dokonce tu, kterou reprezentuje - musí obecná gramatika studovat způsob, kterým slova označují to, co říkají, nejprve v jejich primitivní hodnotě ( teorie původu či kořenu ), potom v jejich stálé schopnosti posuvu, extenze, reorganizace ( teorie rétorického prostoru a teorie derivace slov )."
"designate","designate","označuje","označovat","impf"," However, since discourse is not simply a representative whole, but a duplicated representation that denotes another representation - the one that it is in fact representing - general grammar must also study the way in which words designate what they say, first of all in their primitive value ( theory of origins and of the root ), then in their permanent capacity for displacement, extension, and reorganization ( theory of rhetoric and of derivation )."," Ale protože diskurz není prostě reprezentativní soubor, nýbrž reprezentace zdvojená, která označuje další reprezentaci - dokonce tu, kterou reprezentuje - musí obecná gramatika studovat způsob, kterým slova označují to, co říkají, nejprve v jejich primitivní hodnotě ( teorie původu či kořenu ), potom v jejich stálé schopnosti posuvu, extenze, reorganizace ( teorie rétorického prostoru a teorie derivace slov )."
"representing","represent","reprezentuje","reprezentovat","impf"," However, since discourse is not simply a representative whole, but a duplicated representation that denotes another representation - the one that it is in fact representing - general grammar must also study the way in which words designate what they say, first of all in their primitive value ( theory of origins and of the root ), then in their permanent capacity for displacement, extension, and reorganization ( theory of rhetoric and of derivation )."," Ale protože diskurz není prostě reprezentativní soubor, nýbrž reprezentace zdvojená, která označuje další reprezentaci - dokonce tu, kterou reprezentuje - musí obecná gramatika studovat způsob, kterým slova označují to, co říkají, nejprve v jejich primitivní hodnotě ( teorie původu či kořenu ), potom v jejich stálé schopnosti posuvu, extenze, reorganizace ( teorie rétorického prostoru a teorie derivace slov )."
"study","study","studovat","studovat","impf"," However, since discourse is not simply a representative whole, but a duplicated representation that denotes another representation - the one that it is in fact representing - general grammar must also study the way in which words designate what they say, first of all in their primitive value ( theory of origins and of the root ), then in their permanent capacity for displacement, extension, and reorganization ( theory of rhetoric and of derivation )."," Ale protože diskurz není prostě reprezentativní soubor, nýbrž reprezentace zdvojená, která označuje další reprezentaci - dokonce tu, kterou reprezentuje - musí obecná gramatika studovat způsob, kterým slova označují to, co říkají, nejprve v jejich primitivní hodnotě ( teorie původu či kořenu ), potom v jejich stálé schopnosti posuvu, extenze, reorganizace ( teorie rétorického prostoru a teorie derivace slov )."
"denotes","denote","označují","označovat","impf"," However, since discourse is not simply a representative whole, but a duplicated representation that denotes another representation - the one that it is in fact representing - general grammar must also study the way in which words designate what they say, first of all in their primitive value ( theory of origins and of the root ), then in their permanent capacity for displacement, extension, and reorganization ( theory of rhetoric and of derivation )."," Ale protože diskurz není prostě reprezentativní soubor, nýbrž reprezentace zdvojená, která označuje další reprezentaci - dokonce tu, kterou reprezentuje - musí obecná gramatika studovat způsob, kterým slova označují to, co říkají, nejprve v jejich primitivní hodnotě ( teorie původu či kořenu ), potom v jejich stálé schopnosti posuvu, extenze, reorganizace ( teorie rétorického prostoru a teorie derivace slov )."
"designate","designate","označují","označovat","impf"," However, since discourse is not simply a representative whole, but a duplicated representation that denotes another representation - the one that it is in fact representing - general grammar must also study the way in which words designate what they say, first of all in their primitive value ( theory of origins and of the root ), then in their permanent capacity for displacement, extension, and reorganization ( theory of rhetoric and of derivation )."," Ale protože diskurz není prostě reprezentativní soubor, nýbrž reprezentace zdvojená, která označuje další reprezentaci - dokonce tu, kterou reprezentuje - musí obecná gramatika studovat způsob, kterým slova označují to, co říkají, nejprve v jejich primitivní hodnotě ( teorie původu či kořenu ), potom v jejich stálé schopnosti posuvu, extenze, reorganizace ( teorie rétorického prostoru a teorie derivace slov )."
"say","say","říkají","říkat","impf"," However, since discourse is not simply a representative whole, but a duplicated representation that denotes another representation - the one that it is in fact representing - general grammar must also study the way in which words designate what they say, first of all in their primitive value ( theory of origins and of the root ), then in their permanent capacity for displacement, extension, and reorganization ( theory of rhetoric and of derivation )."," Ale protože diskurz není prostě reprezentativní soubor, nýbrž reprezentace zdvojená, která označuje další reprezentaci - dokonce tu, kterou reprezentuje - musí obecná gramatika studovat způsob, kterým slova označují to, co říkají, nejprve v jejich primitivní hodnotě ( teorie původu či kořenu ), potom v jejich stálé schopnosti posuvu, extenze, reorganizace ( teorie rétorického prostoru a teorie derivace slov )."
"question","question","ptáme","ptát","impf"," But if we question Classical thought at the level of what, archaeologically, made it possible, we perceive that the dissociation of the sign and resemblance in the early seventeenth century caused these new forms - probability, analysis, combination, and universal language system - to emerge, not as successive themes engendering one another or driving one another out, but as a single network of necessities."," Ale pokud se ptáme po klasickém myšlení z hlediska toho, co ho archeologicky umožnilo, všimneme si, že rozklad znaku a podobnosti na počátku 17. století dal prostor takovým útvarům nového myšlení, jako pravděpodobnost, analýza, kombinatorika, systém a univerzální řeč, nikoli jako sukcesivním tématům navzájem se umožňujícím nebo vylučujícím, nýbrž jako jediné síti nutnosti."
"term","term","nazýváme","nazývat","impf"," And it was this network that made possible the individuals we term Hobbes, Berkeley, Hume, or Condillac."," A až tato síť umožnila takové osobnosti, které nazýváme Hobbes, Berkeley, Hume a Condillac."
"conceived","conceive","myšlena","myslet","impf"," For an evolution - other than one that is solely the traversal of ontological continuities - to be conceived, the smooth unbroken plan of natural history had to be broken, the discontinuity of the sub-kingdoms had to reveal the plans of organic structure in all their diversity and without any intermediary, organisms had to be ordered in accordance with the functional arrangements they were to perform, and thus establish the relations of the living being with what enables it to exist."," Aby evoluce - která by nebyla pouhým sledem ontologické kontinuity - mohla být myšlena, musel být kontinuální a hladký plán přírodní historie zrušen, aby diskontinuita kmenů ukázala organizační plány v jejich různosti a bez přechodných forem, aby se organismy pořádaly podle funkčního uspořádání, které musí zajistit a které navazovaly vztahy živého s tím, co mu umožňuje žít."
"broken","break","zrušen","zrušit","pf"," For an evolution - other than one that is solely the traversal of ontological continuities - to be conceived, the smooth unbroken plan of natural history had to be broken, the discontinuity of the sub-kingdoms had to reveal the plans of organic structure in all their diversity and without any intermediary, organisms had to be ordered in accordance with the functional arrangements they were to perform, and thus establish the relations of the living being with what enables it to exist."," Aby evoluce - která by nebyla pouhým sledem ontologické kontinuity - mohla být myšlena, musel být kontinuální a hladký plán přírodní historie zrušen, aby diskontinuita kmenů ukázala organizační plány v jejich různosti a bez přechodných forem, aby se organismy pořádaly podle funkčního uspořádání, které musí zajistit a které navazovaly vztahy živého s tím, co mu umožňuje žít."
"reveal","reveal","ukázala","ukázat","pf"," For an evolution - other than one that is solely the traversal of ontological continuities - to be conceived, the smooth unbroken plan of natural history had to be broken, the discontinuity of the sub-kingdoms had to reveal the plans of organic structure in all their diversity and without any intermediary, organisms had to be ordered in accordance with the functional arrangements they were to perform, and thus establish the relations of the living being with what enables it to exist."," Aby evoluce - která by nebyla pouhým sledem ontologické kontinuity - mohla být myšlena, musel být kontinuální a hladký plán přírodní historie zrušen, aby diskontinuita kmenů ukázala organizační plány v jejich různosti a bez přechodných forem, aby se organismy pořádaly podle funkčního uspořádání, které musí zajistit a které navazovaly vztahy živého s tím, co mu umožňuje žít."
"enables","enable","umožňuje","umožňovat","impf"," For an evolution - other than one that is solely the traversal of ontological continuities - to be conceived, the smooth unbroken plan of natural history had to be broken, the discontinuity of the sub-kingdoms had to reveal the plans of organic structure in all their diversity and without any intermediary, organisms had to be ordered in accordance with the functional arrangements they were to perform, and thus establish the relations of the living being with what enables it to exist."," Aby evoluce - která by nebyla pouhým sledem ontologické kontinuity - mohla být myšlena, musel být kontinuální a hladký plán přírodní historie zrušen, aby diskontinuita kmenů ukázala organizační plány v jejich různosti a bez přechodných forem, aby se organismy pořádaly podle funkčního uspořádání, které musí zajistit a které navazovaly vztahy živého s tím, co mu umožňuje žít."
"recognized","recognize","rozpoznat","rozpoznat","pf"," Emulation may be recognized by analogy : the eyes are stars because they spread light over our faces just as stars light up the darkness, and because blind people exist in the world like clairvoyants in the darkest of nights."," Emulaci můžeme v analogii rozpoznat : oči jsou hvězdami, protože šíří světlo po tváři jako hvězdy v temnotách a protože slepí jsou ve dne jako jasnozřiví v té nejtemnější z nocí."
"spread","spread","šíří","šířit","impf"," Emulation may be recognized by analogy : the eyes are stars because they spread light over our faces just as stars light up the darkness, and because blind people exist in the world like clairvoyants in the darkest of nights."," Emulaci můžeme v analogii rozpoznat : oči jsou hvězdami, protože šíří světlo po tváři jako hvězdy v temnotách a protože slepí jsou ve dne jako jasnozřiví v té nejtemnější z nocí."
"established","establish","založit","založit","pf"," Here, the monetary sign cannot define its exchange value, and can be established as a mark only on a metallic mass which in turn defines its value in the scale of other commodities."," Zde nemůže monetární znak definovat svou směnnou hodnotu, nemůže se založit jako značka jinak než na základě množství kovu, které samo definuje svou hodnotu v řádu dalšího zboží."
"designates","designate","označuje","označovat","impf"," Coexistence designates the fact that an organ or system of organs cannot be present in a living being unless another organ or another system of organs, of a particular nature and form, is also present :"," Koexistence označuje fakt, že určitý orgán nebo systém orgánů nemůže být v těle přítomný bez jiného orgánu nebo jiného systému orgánů určité povahy a formy :"
"express","express","nevyjadřují","vyjadřovat","impf"," Here, as elsewhere, the arrangements into chronological series had to be broken up, and their elements redistributed, then a new history was constituted, one that does not merely express the mode of succession of beings and their connection in time, but the modality of their formation."," Zde stejně jako jinde muselo být chronologické uspořádání odstraněno, jeho elementy redistribuovány, a konstituovaly se tak nové dějiny, které nevyjadřují pouze způsob následnosti jsoucen a jejich souvislosti v čase, nýbrž modality jejich formace."
"beginning","begin","počíná","počínat","impf"," The order of time is beginning."," Řád času počíná."
"eluding","elude","uniká","unikat","impf"," So that, with time, the product of labour accumulates, while ceaselessly eluding those who accomplish that labour : these latter produce infinitely more than the share of value that returns to them in the form of wages, and thus provide capital with the possibility of buying further labour."," Takže časem se produkt práce akumuluje a bezodkladně uniká těm, kteří ho vytvořili - ti vytvářejí nekonečněkrát více, než představuje ta část hodnoty, jež se jim v podobě mzdy vrací, a umožňují tak kapitálu nakupovat další pracovní sílu."
"produce","produce","vytvořili","vytvořit","pf"," So that, with time, the product of labour accumulates, while ceaselessly eluding those who accomplish that labour : these latter produce infinitely more than the share of value that returns to them in the form of wages, and thus provide capital with the possibility of buying further labour."," Takže časem se produkt práce akumuluje a bezodkladně uniká těm, kteří ho vytvořili - ti vytvářejí nekonečněkrát více, než představuje ta část hodnoty, jež se jim v podobě mzdy vrací, a umožňují tak kapitálu nakupovat další pracovní sílu."
"produce","produce","vytvářejí","vytvářet","impf"," So that, with time, the product of labour accumulates, while ceaselessly eluding those who accomplish that labour : these latter produce infinitely more than the share of value that returns to them in the form of wages, and thus provide capital with the possibility of buying further labour."," Takže časem se produkt práce akumuluje a bezodkladně uniká těm, kteří ho vytvořili - ti vytvářejí nekonečněkrát více, než představuje ta část hodnoty, jež se jim v podobě mzdy vrací, a umožňují tak kapitálu nakupovat další pracovní sílu."
"returns","return","vrací","vracet","impf"," So that, with time, the product of labour accumulates, while ceaselessly eluding those who accomplish that labour : these latter produce infinitely more than the share of value that returns to them in the form of wages, and thus provide capital with the possibility of buying further labour."," Takže časem se produkt práce akumuluje a bezodkladně uniká těm, kteří ho vytvořili - ti vytvářejí nekonečněkrát více, než představuje ta část hodnoty, jež se jim v podobě mzdy vrací, a umožňují tak kapitálu nakupovat další pracovní sílu."
"used","use","používaly","používat","impf"," In the last resort, everything exchangeable should have its equivalent - ' its designation ' - in specie; a state of affairs that would entail no drawbacks if the money used were of paper ( which would be printed or destroyed, as Law proposed, in accordance with the needs of exchange ), but that would be troublesome, or even impossible, if the money were metallic."," Každá směnitelná věc by nakonec měla mít svůj ekvivalent - "" své označení "" - v penězích, což by nečinilo žádné potíže v případě, kdyby se používaly papírové peníze ( vyráběly by se nebo by se ničily podle toho, kolik by jich bylo ve směně potřeba ), ale v případě kovových mincí by to bylo nepohodlné nebo dokonce nemožné."
"destroyed","destroy","ničily","ničit","impf"," In the last resort, everything exchangeable should have its equivalent - ' its designation ' - in specie; a state of affairs that would entail no drawbacks if the money used were of paper ( which would be printed or destroyed, as Law proposed, in accordance with the needs of exchange ), but that would be troublesome, or even impossible, if the money were metallic."," Každá směnitelná věc by nakonec měla mít svůj ekvivalent - "" své označení "" - v penězích, což by nečinilo žádné potíže v případě, kdyby se používaly papírové peníze ( vyráběly by se nebo by se ničily podle toho, kolik by jich bylo ve směně potřeba ), ale v případě kovových mincí by to bylo nepohodlné nebo dokonce nemožné."
"function","function","pracují","pracovat","impf"," On the other hand, what is modified very early on, beginning with the analyses of Adam Smith, A-L. de Jussieu, or Vicq d'Azyr, at the time of Jones or Anquetil-Duperron, is the configuration of positivities : the way in which, within each one, the representative elements function in relation to one another, in which they perform their double role as designation and articulation, in which they succeed, by means of the interplay of comparisons, in establishing an order."," Naproti tomu to, co se proměňuje velmi brzy už s analýzami Adama Smitha, A. - L. Jussieua nebo Vicqa d ' Azyr v době Jonesově nebo d ' Anquetil - Duperrona, je rozvržení pozitivit : způsob, jímž uvnitř každé z nich pracují reprezentativní elementy, jímž zajišťují svou dvojí úlohu designace a artikulace, jímž dospívají na základě hry srovnávání k ustavení řádu."
"perform","perform","pracují","pracovat","impf"," On the other hand, what is modified very early on, beginning with the analyses of Adam Smith, A-L. de Jussieu, or Vicq d'Azyr, at the time of Jones or Anquetil-Duperron, is the configuration of positivities : the way in which, within each one, the representative elements function in relation to one another, in which they perform their double role as designation and articulation, in which they succeed, by means of the interplay of comparisons, in establishing an order."," Naproti tomu to, co se proměňuje velmi brzy už s analýzami Adama Smitha, A. - L. Jussieua nebo Vicqa d ' Azyr v době Jonesově nebo d ' Anquetil - Duperrona, je rozvržení pozitivit : způsob, jímž uvnitř každé z nich pracují reprezentativní elementy, jímž zajišťují svou dvojí úlohu designace a artikulace, jímž dospívají na základě hry srovnávání k ustavení řádu."
"enable","enable","umožní","umožnit","pf"," It took the suspension, and, as it were, the placing between parentheses, of that kind of history to give the beings of nature and the products of labour a historicity that would enable modern thought to encompass them, and subsequently to deploy the discursive science of their succession."," Bylo třeba odložit a jakoby uzávorkovat tuto historii, aby přírodní jsoucna a produkty práce mohly nabýt historicitu, která modernímu myšlení umožní, aby se jich zmocnilo a rozvinulo pak diskurzivní vědu o jejich následnosti."
"enable","enable","zmocnilo","zmocnit","pf"," It took the suspension, and, as it were, the placing between parentheses, of that kind of history to give the beings of nature and the products of labour a historicity that would enable modern thought to encompass them, and subsequently to deploy the discursive science of their succession."," Bylo třeba odložit a jakoby uzávorkovat tuto historii, aby přírodní jsoucna a produkty práce mohly nabýt historicitu, která modernímu myšlení umožní, aby se jich zmocnilo a rozvinulo pak diskurzivní vědu o jejich následnosti."
"deploy","deploy","rozvinulo","rozvinout","pf"," It took the suspension, and, as it were, the placing between parentheses, of that kind of history to give the beings of nature and the products of labour a historicity that would enable modern thought to encompass them, and subsequently to deploy the discursive science of their succession."," Bylo třeba odložit a jakoby uzávorkovat tuto historii, aby přírodní jsoucna a produkty práce mohly nabýt historicitu, která modernímu myšlení umožní, aby se jich zmocnilo a rozvinulo pak diskurzivní vědu o jejich následnosti."
"reduce","reduce","zmenšit","zmenšit","pf"," It must therefore reduce this distance between them so as to bring language as close as possible to the observing gaze, and the things observed as close as possible to words."," Musí tedy zmenšit tento odstup, aby se řeč co nejblíže přiblížila pohledu a věci, na které pohlížíme, aby se přiblížily co nejblíže slovům."
"divide","divide","rozdělují","rozdělovat","impf"," It is usual to divide the things in nature into three classes : minerals, which are recognized as capable of growth, but not of movement or feeling; vegetables, which are capable of growth and susceptible to sensation; and animals, which are capable of spontaneous movement."," Obvykle se přírodní věci rozdělují na tři skupiny : minerály, kterým se přiznává růst, nikoli však pohyb nebo senzibilita, rostliny, které mohou růst a které jsou schopné vnímání, a živočichové, kteří se mohou sami přemísťovat."
"determines","determine","určuje","určovat","impf"," They must be replaced on the level of positivity that renders them possible and necessarily determines their form."," Musíme je umístit na úroveň pozitivity, která je umožňuje a která nezbytně určuje jejich formu."
"determine","determine","určit","určit","pf"," Archaeology, then, has two tasks with regard to these figures : to determine the manner in which they are arranged in the episteme in which they have their roots; and to show, also, in what respect their configuration is radically different from that of the sciences in the strict sense."," Archeologie má tedy vzhledem k nim dva úkoly : určit způsob, jakým jsou rozestavěny v epistémé, v níž jsou zakořeněny, a také ukázat, v čem je jejich uspořádání radikálně odlišné od věd v přísném slova smyslu."
"show","show","ukázat","ukázat","pf"," Archaeology, then, has two tasks with regard to these figures : to determine the manner in which they are arranged in the episteme in which they have their roots; and to show, also, in what respect their configuration is radically different from that of the sciences in the strict sense."," Archeologie má tedy vzhledem k nim dva úkoly : určit způsob, jakým jsou rozestavěny v epistémé, v níž jsou zakořeněny, a také ukázat, v čem je jejich uspořádání radikálně odlišné od věd v přísném slova smyslu."
"give","give","dávají","dávat","impf"," Now, there is a reason for this that concerns the object they respectively give to one another, but concerns even more the position they occupy and the function they perform within the general space of the episteme."," Je zde však rozum, který lpí na předmětu, jenž si vzájemně obě vědy dávají, který ale ještě více lpí na postavení, které v prostoru obecné epistémé zaujímají, a ve funkci, kterou zde vykonávají."
"occupy","occupy","zaujímají","zaujímat","impf"," Now, there is a reason for this that concerns the object they respectively give to one another, but concerns even more the position they occupy and the function they perform within the general space of the episteme."," Je zde však rozum, který lpí na předmětu, jenž si vzájemně obě vědy dávají, který ale ještě více lpí na postavení, které v prostoru obecné epistémé zaujímají, a ve funkci, kterou zde vykonávají."
"seen","see","viděli","vidět","impf"," Psychoanalysis stands as close as possible, in fact, to that critical function which, as we have seen, exists within all the human sciences."," Psychoanalýza se totiž drží co nejblíže této kritické funkci, o níž jsme viděli, že je každé humanitní vědě vlastní."
"possess","possess","mít","mít","impf"," The fact that these latter do not possess the formal criteria of a scientific form of knowledge does not prevent them from belonging, nevertheless, to the positive domain of knowledge."," Tyto útvary sice nemusí mít formální kritéria vědeckého poznání, přesto však náleží do oblasti vědění."
"belonging","belong","náleží","náležet","impf"," The fact that these latter do not possess the formal criteria of a scientific form of knowledge does not prevent them from belonging, nevertheless, to the positive domain of knowledge."," Tyto útvary sice nemusí mít formální kritéria vědeckého poznání, přesto však náleží do oblasti vědění."
"correspond","correspond","odpovídají","odpovídat","impf"," And yet, that reality is projected within the picture - projected and diffracted in three forms which correspond to the three functions of that ideal and real point."," A přesto je tato realita projektována do obrazu - projektována a difraktována do tří postav, které odpovídají třem funkcím tohoto ideálního a reálného bodu."
"revealed","reveal","odhaluje","odhalovat","impf"," In modem thought, what is revealed at the foundation of the history of things and of the historicity proper to man is the distance creating a vacuum within the Same, it is the hiatus that disperses and regroups it at the two ends of itself."," V moderním myšlení se v základech historie věcí a v historicitě vlastní člověku odhaluje vzdálenost hlodající Stejné, odchylka, jež ho rozptyluje a shromažďuje na obou koncích sebe samého."
"conceive","conceive","myslet","myslet","impf"," It is this profound spatiality that makes it possible for modern thought still to conceive of time - to know it as succession, to promise it to itself as fulfillment, origin, or return."," Je to právě tato hluboká prostorovost, jež modernímu myšlení umožňuje stále myslet čas - poznat ho jako následnost, přislíbit si ho jako završení, počátek nebo návrat."
"promise","promise","přislíbit","přislíbit","pf"," It is this profound spatiality that makes it possible for modern thought still to conceive of time - to know it as succession, to promise it to itself as fulfillment, origin, or return."," Je to právě tato hluboká prostorovost, jež modernímu myšlení umožňuje stále myslet čas - poznat ho jako následnost, přislíbit si ho jako završení, počátek nebo návrat."
"begins","begin","začíná","začínat","impf"," Here, without doubt, is the principle of that ' libertinage ' which was the last in the Western world ( after it the age of sexuality begins ) : the libertine is he who, while yielding to all the fantasies of desire and to each of its furies, can, but also must, illumine their slightest movement with a lucid and deliberately elucidated representation."," Zde bezpochyby leží princip "" libertinství "", které bylo v západním světě poslední ( po něm začíná věk sexuality ) : libertin poslouchá každou svou žádost a každou svou vášeň a může, ale také musí v ní i ten nejmenší pohyb prosvětlit zářnou a cíleně uskutečněnou reprezentací."
"wish","wish","nechceme","chtít","impf"," Now, these commodities, though so difficult to produce, are no less indispensable than the others if one does not wish a certain portion of humanity to die of hunger."," Avšak toto zboží s takovou námahou získané není pro život méně nezbytné než to první, pokud nechceme, aby část lidstva zemřela hladem."
"die","die","zemřela","zemřít","pf"," Now, these commodities, though so difficult to produce, are no less indispensable than the others if one does not wish a certain portion of humanity to die of hunger."," Avšak toto zboží s takovou námahou získané není pro život méně nezbytné než to první, pokud nechceme, aby část lidstva zemřela hladem."
"determine","determine","určí","určit","pf"," It is therefore the cost of production of wheat grown on the most barren of the available land that will determine the price of wheat in general, even though it may have been obtained with two or three times less labour."," Cenu obilí obecně tedy určí produkční náklady na nejméně úrodné půdě, i když bylo často dosaženo za dvakrát nebo třikrát více práce."
"requires","require","žádá","žádat","impf"," This ' evolutionism ' is not a way of conceiving of the emergence of beings as a process of one giving rise to another; in reality, it is a way of generalizing the principle of continuity and the law that requires that all beings form an uninterrupted expanse."," Tento "" evolucionismus "" nepředstavuje způsob, jak pojímat vznik jedněch jsoucen z jiných, nýbrž je ve skutečnosti způsobem, jak zobecnit princip kontinuity a zákon, který si žádá, aby jsoucna tvořila nepřerušenou plochu."
"form","form","tvořila","tvořit","impf"," This ' evolutionism ' is not a way of conceiving of the emergence of beings as a process of one giving rise to another; in reality, it is a way of generalizing the principle of continuity and the law that requires that all beings form an uninterrupted expanse."," Tento "" evolucionismus "" nepředstavuje způsob, jak pojímat vznik jedněch jsoucen z jiných, nýbrž je ve skutečnosti způsobem, jak zobecnit princip kontinuity a zákon, který si žádá, aby jsoucna tvořila nepřerušenou plochu."
"adds","add","přidává","přidávat","impf"," It adds, in a Leibnizian style, the continuity of time to the continuity of space, and the infiniteness of the progress of beings towards perfection to their infinite multiplicity."," V leibnizovském stylu přidává časové kontinuum ke kontinuu prostorovému a k nekonečné mnohosti jsoucen jejich nekonečné zdokonalování."
"formed","form","tvoří","tvořit","impf"," In fact, it is a matter of two correlative techniques whose common ground of possibility is formed by the being of language, as it was constituted on the threshold of the modern age."," Ve skutečnosti se jedná o dvě korelativní techniky, jejichž společnou půdu možnosti tvoří bytí řeči tak, jak se konstituovalo na prahu moderní doby."
"constituted","constitute","tvoří","tvořit","impf"," In fact, it is a matter of two correlative techniques whose common ground of possibility is formed by the being of language, as it was constituted on the threshold of the modern age."," Ve skutečnosti se jedná o dvě korelativní techniky, jejichž společnou půdu možnosti tvoří bytí řeči tak, jak se konstituovalo na prahu moderní doby."
"use","use","používají","používat","impf"," But in a general fashion we use gold and silver because they contain hidden within themselves ' a peculiar perfection '."," Ale obecným způsobem se zlato a stříbro používají proto, že v sobě přechovávají "" vlastní dokonalost ""."
"continues","continue","pokračuje","pokračovat","impf"," And this process continues until a deviation of the particles - a chance happening - brings into being a new species, which the stubborn force of memory maintains in existence in turn :"," A tak to pokračuje až do bodu, kdy odchylka částic - náhoda - vytvoří nový druh, který zase bude udržovat zarputilá síla vzpomínky :"
"maintains","maintain","pokračuje","pokračovat","impf"," And this process continues until a deviation of the particles - a chance happening - brings into being a new species, which the stubborn force of memory maintains in existence in turn :"," A tak to pokračuje až do bodu, kdy odchylka částic - náhoda - vytvoří nový druh, který zase bude udržovat zarputilá síla vzpomínky :"
"continues","continue","udržovat","udržovat","impf"," And this process continues until a deviation of the particles - a chance happening - brings into being a new species, which the stubborn force of memory maintains in existence in turn :"," A tak to pokračuje až do bodu, kdy odchylka částic - náhoda - vytvoří nový druh, který zase bude udržovat zarputilá síla vzpomínky :"
"maintains","maintain","udržovat","udržovat","impf"," And this process continues until a deviation of the particles - a chance happening - brings into being a new species, which the stubborn force of memory maintains in existence in turn :"," A tak to pokračuje až do bodu, kdy odchylka částic - náhoda - vytvoří nový druh, který zase bude udržovat zarputilá síla vzpomínky :"
"tell","tell","řekne","říci","pf"," Throw but one glance upon the metaphysical aspect of the sciences, even the least abstract of them, and then tell me whether the general inductions that are derived from particular facts, or rather the kinds themselves, the species and all abstract notions, can be formed otherwise than by means of resemblance."," Jen ať pohlédne na metafyzickou stránku věd, i těch nejméně abstraktních, a jen ať mi řekne, zda obecné indukce, jež čerpáme z jednotlivých faktů, nebo spíše jestli samy rody, druhy a všechny abstraktní pojmy se mohou vytvořit jiným způsobem než skrze podobnost. """
"derived","derive","čerpáme","čerpat","impf"," Throw but one glance upon the metaphysical aspect of the sciences, even the least abstract of them, and then tell me whether the general inductions that are derived from particular facts, or rather the kinds themselves, the species and all abstract notions, can be formed otherwise than by means of resemblance."," Jen ať pohlédne na metafyzickou stránku věd, i těch nejméně abstraktních, a jen ať mi řekne, zda obecné indukce, jež čerpáme z jednotlivých faktů, nebo spíše jestli samy rody, druhy a všechny abstraktní pojmy se mohou vytvořit jiným způsobem než skrze podobnost. """
"formed","form","vytvořit","vytvořit","pf"," Throw but one glance upon the metaphysical aspect of the sciences, even the least abstract of them, and then tell me whether the general inductions that are derived from particular facts, or rather the kinds themselves, the species and all abstract notions, can be formed otherwise than by means of resemblance."," Jen ať pohlédne na metafyzickou stránku věd, i těch nejméně abstraktních, a jen ať mi řekne, zda obecné indukce, jež čerpáme z jednotlivých faktů, nebo spíše jestli samy rody, druhy a všechny abstraktní pojmy se mohou vytvořit jiným způsobem než skrze podobnost. """
