"assured","assure","ujistil","ujistit","pf"," Luria assured him that I would fit the bill and immediately wrote me the good news."," Luria jej ujistil, že se právě na to budu hodit, a ihned mi tyto dobré zprávy napsal."
"Learning","learn","dozvěděla","dozvědět","pf"," Learning that I would be in Cambridge next year, she talked about her son Peter."," Když se dozvěděla, že budu příští rok v Cambridgi, zmínila se o svém synovi Peterovi."
"accepted","accept","přijat","přijmout","pf"," Already I knew that Peter was accepted by Bragg to work toward a Ph. D. with John Kendrew."," Věděl jsem už, že Peter byl Braggem přijat, aby pracoval na doktorátu s Johnem Kendrewem."
"work","work","pracoval","pracovat","impf"," Already I knew that Peter was accepted by Bragg to work toward a Ph. D. with John Kendrew."," Věděl jsem už, že Peter byl Braggem přijat, aby pracoval na doktorátu s Johnem Kendrewem."
"did","do","vzal","vzít","pf"," John, however, did not want to challenge Linus ' desire to place Peter with him, especially knowing that he and his beautiful blonde sister gave smashing parties."," John nebyl nijak nadšen Linusovým přáním, aby vzal Petera k sobě, zejména také proto, že věděl, že Peter a jeho krásná blonďatá sestra rádi pořádají ztřeštěné party."
"gave","give","pořádají","pořádat","impf"," John, however, did not want to challenge Linus ' desire to place Peter with him, especially knowing that he and his beautiful blonde sister gave smashing parties."," John nebyl nijak nadšen Linusovým přáním, aby vzal Petera k sobě, zejména také proto, že věděl, že Peter a jeho krásná blonďatá sestra rádi pořádají ztřeštěné party."
"leaving","leave","odjet","odjet","pf"," I, of course, had not the slightest intention of leaving either in June or in September."," Neměl jsem přirozeně nejmenší zájem odjet ani v červnu, ani v září."
"write","write","napsat","napsat","pf"," My first impulse was to write that I could not come because of an unforeseen financial disaster."," V první chvíli jsem chtěl napsat, že nemohu přijet vzhledem k nepředvídaným finančním potížím."
"come","come","přijet","přijet","pf"," My first impulse was to write that I could not come because of an unforeseen financial disaster."," V první chvíli jsem chtěl napsat, že nemohu přijet vzhledem k nepředvídaným finančním potížím."
"giving","give","nedám","dát","pf"," But on second thought, I was against giving him the satisfaction of thinking he had affected my affairs."," Ale pak jsem si řekl, že jim nedám zadostiučinění za to, jak mě potopili."
"found","find","považuji","považovat","impf"," A letter went off saying that I found Cambridge intellectually very exciting and so did not plan to be in the States by June."," Odeslal jsem dopis, ve kterém jsem jim sdělil, ze považuji Cambridge za intelektuálně velmi inspirativní a že nemám v plánu přijet v červnu do Států."
"start","start","začnu","začít","pf"," And as Francis was the dominant force in shaping my part, I will start the story with him."," A protože největší vliv měl na mě Francis, začnu své vyprávění s ním."
"seen","see","neviděl","vidět","impf"," I HAVE never seen Francis Crick in a modest mood."," V životě jsem neviděl Francise Cricka vystupovat skromně."
"criticizing","criticize","kritizovat","kritizovat","impf"," It was not that Francis normally refrained from criticizing his friends."," Nebylo to proto, že by se chránil kritizovat své přátele."
"did","do","dělat","dělat","impf"," In Bragg 's view, all that Crick did was to rock the boat."," Bragg byl přesvědčen, že všechno, co Francis umí, je dělat potíže."
"talked","talk","mluvili","mluvit","impf"," Instead, the speed with which we talked about possible types of DNA structures gathered intensity as the morning went by."," Zaujetí, s jakým jsme mluvili o možných typech struktur DNA, nabývalo s pokračujícím ránem na intenzitě."
"come","come","dospěl","dospět","pf"," Yet somehow Linus, unquestionably the world 's most astute chemist, had come to the opposite conclusion."," Přesto Linus, nesporně nejlepší chemik na světě, dospěl k opačnému závěru."
"amazed","amaze","ohromen","ohromit","pf"," When Francis was amazed equally by Pauling 's unorthodox chemistry, I began to breathe slower."," Když byl Francis stejně ohromen Paulingovou neortodoxní chemií, začalo se mi volněji dýchat."
"began","begin","začalo","začít","pf"," When Francis was amazed equally by Pauling 's unorthodox chemistry, I began to breathe slower."," Když byl Francis stejně ohromen Paulingovou neortodoxní chemií, začalo se mi volněji dýchat."
"breathe","breathe","dýchat","dýchat","impf"," When Francis was amazed equally by Pauling 's unorthodox chemistry, I began to breathe slower."," Když byl Francis stejně ohromen Paulingovou neortodoxní chemií, začalo se mi volněji dýchat."
"led","lead","přivedly","přivést","pf"," Neither of us, however, had the slightest clue to the steps that had led Linus to his blunder."," Nikdo z nás ale neměl potuchy o krocích, které přivedly Linuse k jeho omylu."
"made","make","udělal","udělat","pf"," If a student had made a similar mistake, he would be thought unfit to benefit from Cal Tech 's chemistry faculty."," Kdyby udělal stejnou chybu student, byl by považován za neschopného studovat na chemické fakultě CalTech."
"thought","think","považován","považovat","impf"," If a student had made a similar mistake, he would be thought unfit to benefit from Cal Tech 's chemistry faculty."," Kdyby udělal stejnou chybu student, byl by považován za neschopného studovat na chemické fakultě CalTech."
"began","begin","začal","začít","pf"," Francis then began pacing up and down the room thinking aloud, hoping that in a great intellectual fervor he could reconstruct what Linus might have done."," Francis začal přecházet po místnosti sem a tam a přemýšlet nahlas v naději, že se mu vypjatým intelektuálním úsilím podaří zrekonstruovat to, co mohl Linus udělat."
"pacing","pace","přecházet","přecházet","impf"," Francis then began pacing up and down the room thinking aloud, hoping that in a great intellectual fervor he could reconstruct what Linus might have done."," Francis začal přecházet po místnosti sem a tam a přemýšlet nahlas v naději, že se mu vypjatým intelektuálním úsilím podaří zrekonstruovat to, co mohl Linus udělat."
"thinking","think","přemýšlet","přemýšlet","impf"," Francis then began pacing up and down the room thinking aloud, hoping that in a great intellectual fervor he could reconstruct what Linus might have done."," Francis začal přecházet po místnosti sem a tam a přemýšlet nahlas v naději, že se mu vypjatým intelektuálním úsilím podaří zrekonstruovat to, co mohl Linus udělat."
"done","do","udělat","udělat","pf"," Francis then began pacing up and down the room thinking aloud, hoping that in a great intellectual fervor he could reconstruct what Linus might have done."," Francis začal přecházet po místnosti sem a tam a přemýšlet nahlas v naději, že se mu vypjatým intelektuálním úsilím podaří zrekonstruovat to, co mohl Linus udělat."
"told","tell","nesdělí","sdělit","pf"," As long as Linus had not told us the answer, we should get equal credit if we announced it at the same time."," Pokud nám Linus svou odpověď nesdělí, budeme mít stejnou zásluhu, když to oznámíme současně."
"told","tell","oznámíme","oznámit","pf"," As long as Linus had not told us the answer, we should get equal credit if we announced it at the same time."," Pokud nám Linus svou odpověď nesdělí, budeme mít stejnou zásluhu, když to oznámíme současně."
"announced","announce","oznámíme","oznámit","pf"," As long as Linus had not told us the answer, we should get equal credit if we announced it at the same time."," Pokud nám Linus svou odpověď nesdělí, budeme mít stejnou zásluhu, když to oznámíme současně."
"Seeing","see","viděl","vidět","impf"," Seeing that neither Francis nor I could bear any further suspense, he quickly told us that the model was a three-chain helix with the sugar-phosphate backbone in the center."," Když Peter viděl, že ani Francis, ani já nesneseme další otálení, rychle nám sdělil, že model je trojřetězcová šroubovice s cukr - fosfátovým nosičem uprostřed."
"bear","bear","nesneseme","snést","pf"," Seeing that neither Francis nor I could bear any further suspense, he quickly told us that the model was a three-chain helix with the sugar-phosphate backbone in the center."," Když Peter viděl, že ani Francis, ani já nesneseme další otálení, rychle nám sdělil, že model je trojřetězcová šroubovice s cukr - fosfátovým nosičem uprostřed."
"told","tell","sdělil","sdělit","pf"," Seeing that neither Francis nor I could bear any further suspense, he quickly told us that the model was a three-chain helix with the sugar-phosphate backbone in the center."," Když Peter viděl, že ani Francis, ani já nesneseme další otálení, rychle nám sdělil, že model je trojřetězcová šroubovice s cukr - fosfátovým nosičem uprostřed."
"sounded","sound","znělo","znít","impf"," This sounded so suspiciously like our aborted effort of last year that immediately I wondered whether we might already have had the credit and glory of a great discovery if Bragg had not held us back."," To znělo tak podezřele, jako naše ztroskotavší úsilí v minulém roce, takže jsem chtěl okamžitě vědět, jestli máme ještě šanci získat zásluhy a slávu z velkého objevu, když nám v tom Bragg nezabrání."
"held","hold","máme","mít","impf"," This sounded so suspiciously like our aborted effort of last year that immediately I wondered whether we might already have had the credit and glory of a great discovery if Bragg had not held us back."," To znělo tak podezřele, jako naše ztroskotavší úsilí v minulém roce, takže jsem chtěl okamžitě vědět, jestli máme ještě šanci získat zásluhy a slávu z velkého objevu, když nám v tom Bragg nezabrání."
"wrote","write","Napsal","napsat","pf"," I thus wrote to Luria about my newly found passion, asking whether he knew how to arrange my acceptance into the Cambridge lab."," Napsal jsem tedy Luriovi o své nové vášni a zeptal se ho, jak by se dalo zařídit mé přijetí do laboratoře v Cambridgi."
"asking","ask","zeptal","zeptat","pf"," I thus wrote to Luria about my newly found passion, asking whether he knew how to arrange my acceptance into the Cambridge lab."," Napsal jsem tedy Luriovi o své nové vášni a zeptal se ho, jak by se dalo zařídit mé přijetí do laboratoře v Cambridgi."
"arrange","arrange","zařídit","zařídit","pf"," I thus wrote to Luria about my newly found passion, asking whether he knew how to arrange my acceptance into the Cambridge lab."," Napsal jsem tedy Luriovi o své nové vášni a zeptal se ho, jak by se dalo zařídit mé přijetí do laboratoře v Cambridgi."
"remained","remain","zůstával","zůstávat","impf"," As long as I remained outside gazing at the crocuses, hope could be maintained that some pretty base arrangement would fall out."," Dokud jsem zůstával venku a pozoroval krokusy, mohl jsem se oddávat naději, že mě nějaké pěkné uspořádání bází napadne."
"fall","fall","napadne","napadnout","pf"," As long as I remained outside gazing at the crocuses, hope could be maintained that some pretty base arrangement would fall out."," Dokud jsem zůstával venku a pozoroval krokusy, mohl jsem se oddávat naději, že mě nějaké pěkné uspořádání bází napadne."
"working","work","dělají","dělat","impf"," On the other hand, working out how they did it was best left to minor minds."," Na druhé straně, zkoumat, jak to dělají, bylo lépe ponechat menším mozkům."
"did","do","dělají","dělat","impf"," On the other hand, working out how they did it was best left to minor minds."," Na druhé straně, zkoumat, jak to dělají, bylo lépe ponechat menším mozkům."
"did","do","navštívil","navštívit","pf"," Rumors of male and female bacteria were floating about at Royaumont, but not until early in September, when I attended a small meeting on microbial genetics at Pallanza, did I get the facts from the horse 's mouth."," Pověsti o samčích a samičích bakteriích kolovaly již v Royaumontu, ale teprve když jsem počátkem září navštívil malé setkání v Pallanze, které se týkalo mikrobiální genetiky, dozvěděl jsem se fakta přímo od pramene."
"returned","return","vrátil","vrátit","pf"," Ole had just returned from the States ( Cal Tech ), where he had become very excited about the same phages on which I had worked for my degree."," Ole se právě vrátil ze Států z CalTech, kde se nadchl těmi fágy, se kterými jsem pracoval pro získání hodnosti."
"worked","work","pracoval","pracovat","impf"," Ole had just returned from the States ( Cal Tech ), where he had become very excited about the same phages on which I had worked for my degree."," Ole se právě vrátil ze Států z CalTech, kde se nadchl těmi fágy, se kterými jsem pracoval pro získání hodnosti."
"gave","give","věnoval","věnovat","impf"," Upon his return he gave up his previous research problem and was devoting full time to phage."," Zcela opustil svůj dřívější výzkum a všechen čas věnoval fágům."
"devoting","devote","věnoval","věnovat","impf"," Upon his return he gave up his previous research problem and was devoting full time to phage."," Zcela opustil svůj dřívější výzkum a všechen čas věnoval fágům."
"working","work","zabýval","zabývat","impf"," Then he was the only Dane working with phage and so was quite pleased that I and Gunther Stent, a phage worker from Delbrück 's lab, had come to do research with Herman."," Byl tehdy jediným Dánem, který se zabýval fágy, a tak byl docela rád, že já a Gunther Stent, další z Delbrückovy laboratoře, jsme přišli právě k Hermanovi."
"come","come","přišli","přijít","pf"," Then he was the only Dane working with phage and so was quite pleased that I and Gunther Stent, a phage worker from Delbrück 's lab, had come to do research with Herman."," Byl tehdy jediným Dánem, který se zabýval fágy, a tak byl docela rád, že já a Gunther Stent, další z Delbrückovy laboratoře, jsme přišli právě k Hermanovi."
"resembling","resemble","podobaly","podobat","impf"," In place of pencil and paper, the main working tools were a set of molecular models superficially resembling the toys of preschool children."," Namísto tužky a papíru byla hlavním pracovním nástrojem sada molekulárních modelů, které se na pohled podobaly hračkám předškolních dětí."
"see","see","Neviděli","vidět","impf"," We could thus see no reason why we should not solve DNA in the same way."," Neviděli jsme proto důvod, proč bychom nevyřešili DNA stejným způsobem."
"solve","solve","nevyřešili","vyřešit","pf"," We could thus see no reason why we should not solve DNA in the same way."," Neviděli jsme proto důvod, proč bychom nevyřešili DNA stejným způsobem."
"construct","construct","vytvořit","vytvořit","pf"," All we had to do was to construct a set of molecular models and begin to play - with luck, the structure would be a helix."," Bylo třeba jen vytvořit sadu molekulárních modelů a hrát si s nimi - s nadějí, že struktura bude šroubovicí."
"play","play","hrát","hrát","impf"," All we had to do was to construct a set of molecular models and begin to play - with luck, the structure would be a helix."," Bylo třeba jen vytvořit sadu molekulárních modelů a hrát si s nimi - s nadějí, že struktura bude šroubovicí."
"Worrying","worry","Trápit","trápit","impf"," Worrying about complications before ruling out the possibility that the answer was simple would have been damned foolishness."," Trápit se komplikacemi dříve, než vyloučíme možnost, že odpověď bude jednoduchá, by bylo zatraceně pošetilé."
"found","find","zjištěna","zjistit","pf"," A high value, if found, would strongly suggest binding of Mg ++ to DNA."," Bude - li zjištěna jeho vysoká hodnota, významně to naznačí vazbu Mg + + na DNA."
"suggest","suggest","naznačí","naznačit","pf"," A high value, if found, would strongly suggest binding of Mg ++ to DNA."," Bude - li zjištěna jeho vysoká hodnota, významně to naznačí vazbu Mg + + na DNA."
"analyze","analyze","analyzovali","analyzovat","impf"," With such evidence I might at last force the King 's groups to analyze their DNA samples."," S takovým důkazem bych už mohl naléhat na výzkumníky v King ' s, aby analyzovali své vzorky DNA."
"Waiting","wait","čekal","čekat","impf"," Waiting until Francis had free time to help me would save me from having to master the mathematics, but only at the penalty of my standing still if Francis was out of the room."," Kdybych čekal, až bude mít Francis volno, aby mi pomohl, byl bych sice uchráněn od studia matematiky, ale jen za cenu nicnedělání, když bude Francis pryč."
"help","help","pomohl","pomoci","pf"," Waiting until Francis had free time to help me would save me from having to master the mathematics, but only at the penalty of my standing still if Francis was out of the room."," Kdybych čekal, až bude mít Francis volno, aby mi pomohl, byl bych sice uchráněn od studia matematiky, ale jen za cenu nicnedělání, když bude Francis pryč."
"see","see","vidět","vidět","impf"," Luckily, merely a superficial grasp was needed to see why the TMV X-ray picture suggested a helix with a turn every 23 Å along the helical axis."," Naštěstí postačilo jen povrchní pochopení, aby bylo vidět, proč rentgenový snímek TMV naznačuje šroubovici s otočkou každých 23 Å po délce její osy."
"considered","consider","uvažoval","uvažovat","impf"," The rules were, in fact, so simple that Francis considered writing them up under the title, "" Fourier Transforms for the Birdwatcher. """," Pravidla byla skutečně tak jednoduchá, že Francis uvažoval sepsat je pod názvem "" Fourierovy transformace pro pozorovatele ptáků ""."
"writing","write","sepsat","sepsat","pf"," The rules were, in fact, so simple that Francis considered writing them up under the title, "" Fourier Transforms for the Birdwatcher. """," Pravidla byla skutečně tak jednoduchá, že Francis uvažoval sepsat je pod názvem "" Fourierovy transformace pro pozorovatele ptáků ""."
"insisting","insist","Trvala","trvat","impf"," She was now insisting that not even Maurice himself should take any more X-ray photographs of DNA."," Trvala nyní na tom, že ani sám Maurice nemá dělat rentgenové snímky DNA."
"take","take","Trvala","trvat","impf"," She was now insisting that not even Maurice himself should take any more X-ray photographs of DNA."," Trvala nyní na tom, že ani sám Maurice nemá dělat rentgenové snímky DNA."
"take","take","dělat","dělat","impf"," She was now insisting that not even Maurice himself should take any more X-ray photographs of DNA."," Trvala nyní na tom, že ani sám Maurice nemá dělat rentgenové snímky DNA."
"come","come","došlo","dojít","pf"," In trying to come to terms with Rosy, Maurice made a very bad bargain."," Aby vůbec došlo k nějaké dohodě, Maurice s ní uzavřel velmi nevýhodnou smlouvu."
"used","use","užil","užít","pf"," He had handed over to her all the good crystalline DNA used in his original work and had agreed to confine his studies to other DNA, which he afterward found did not crystallize."," Měl jí postoupit všechny dobré krystalické DNA, které užil ve své původní práci, a souhlasit s tím, že své studie zaměří na jiné DNA, které, jak později zjistil, nekrystalizují."
"agreed","agree","souhlasit","souhlasit","impf"," He had handed over to her all the good crystalline DNA used in his original work and had agreed to confine his studies to other DNA, which he afterward found did not crystallize."," Měl jí postoupit všechny dobré krystalické DNA, které užil ve své původní práci, a souhlasit s tím, že své studie zaměří na jiné DNA, které, jak později zjistil, nekrystalizují."
"found","find","zjistil","zjistit","pf"," He had handed over to her all the good crystalline DNA used in his original work and had agreed to confine his studies to other DNA, which he afterward found did not crystallize."," Měl jí postoupit všechny dobré krystalické DNA, které užil ve své původní práci, a souhlasit s tím, že své studie zaměří na jiné DNA, které, jak později zjistil, nekrystalizují."
"reached","reach","Došlo","dojít","pf"," The point had been reached where Rosy would not even tell Maurice her latest results."," Došlo to tak daleko, že Rosy Mauricovi své poslední výsledky nesdělovala vůbec."
"said","say","říká","říkat","impf"," At times I stood about nervously while Herman went through the motions of a biochemist, and on several days I even understood what he said."," Nervózně jsem postával, zatímco Herman se při svých biochemických výkladech procházel, a po několik dní jsem sotva poslouchal, co říká."
"spent","spend","strávil","strávit","pf"," Most of my time I spent walking the streets or reading journal articles from the early days of genetics."," Většinu času jsem strávil procházkami po ulicích nebo čtením článků v časopisech z raných dob genetiky."
"learn","learn","zjistí","zjistit","pf"," Thus, as the simplest viruses were the phages, there had sprung up between 1940 and 1950 a growing number of scientists ( the phage group ) who studied phages with the hope that they would eventually learn how the genes controlled cellular heredity."," Protože fágy jsou nejjednodušší viry, vznikla mezi roky 1940 a 1950 stále rostoucí skupina vědců, tzv. fágová skupina, která se věnovala fágům s nadějí, že snad zjistí, jak geny řídí buněčnou dědičnost."
"controlled","control","řídí","řídit","impf"," Thus, as the simplest viruses were the phages, there had sprung up between 1940 and 1950 a growing number of scientists ( the phage group ) who studied phages with the hope that they would eventually learn how the genes controlled cellular heredity."," Protože fágy jsou nejjednodušší viry, vznikla mezi roky 1940 a 1950 stále rostoucí skupina vědců, tzv. fágová skupina, která se věnovala fágům s nadějí, že snad zjistí, jak geny řídí buněčnou dědičnost."
"dispatched","dispatch","poslali","poslat","pf"," Within a few days a polished manuscript was ready and jubilantly dispatched to Nature."," V několika dnech připravili vypilovaný rukopis a slavnostně jej poslali do Nature."
"sent","send","poslali","poslat","pf"," At the same time, a copy was sent to Pauling to appreciate."," Současně poslali Paulingovi kopii k ohodnocení."
"welcomed","welcome","uvítal","uvítat","pf"," I always welcomed an excuse to exist momentarily at 70 ° F, even though I was never sure when Markham would start the conversation by saying how bad I looked, implying that if I had been brought up on English beer I would not be in my sorry state."," Vždycky jsem uvítal záminku zdržovat se někde při teplotě 70 F, i když jsem si nikdy nebyl jist, kdy Markham zahájí rozmluvu konstatováním, jak špatně vypadám, čímž vlastně bylo míněno to, že kdybych vyrostl na anglickém pivu, nebyl bych v tak žalostném stavu."
"start","start","zahájí","zahájit","pf"," I always welcomed an excuse to exist momentarily at 70 ° F, even though I was never sure when Markham would start the conversation by saying how bad I looked, implying that if I had been brought up on English beer I would not be in my sorry state."," Vždycky jsem uvítal záminku zdržovat se někde při teplotě 70 F, i když jsem si nikdy nebyl jist, kdy Markham zahájí rozmluvu konstatováním, jak špatně vypadám, čímž vlastně bylo míněno to, že kdybych vyrostl na anglickém pivu, nebyl bych v tak žalostném stavu."
"brought","bring","zahájí","zahájit","pf"," I always welcomed an excuse to exist momentarily at 70 ° F, even though I was never sure when Markham would start the conversation by saying how bad I looked, implying that if I had been brought up on English beer I would not be in my sorry state."," Vždycky jsem uvítal záminku zdržovat se někde při teplotě 70 F, i když jsem si nikdy nebyl jist, kdy Markham zahájí rozmluvu konstatováním, jak špatně vypadám, čímž vlastně bylo míněno to, že kdybych vyrostl na anglickém pivu, nebyl bych v tak žalostném stavu."
"volunteered","volunteer","nabídl","nabídnout","pf"," This time he was unexpectedly sympathetic and without hesitation volunteered some virus."," V této době byl neočekávaně vstřícný a bez váhání mi nabídl nějaké viry."
"brought","bring","přinášelo","přinášet","impf"," The idea of Francis and me dirtying our hands with experiments brought unconcealed amusement."," Pomyšlení, že si poskvrníme ruce pokusy, přinášelo Francisovi a mně neskrývané potěšení."
"going","go","začali","začít","pf"," Soon Gunther and I found ourselves going regularly to visit Ole 's lab, located several miles from Herman 's, and within several weeks we were both actively doing experiments with Ole."," Brzy jsme s Guntherem začali pravidelně navštěvovat Oleho laboratoř, která byla od Hermanovy pracovny vzdálena jen pár mil, a během několika týdnů jsme se oba aktivně účastnili na Oleho pokusech."
"visit","visit","navštěvovat","navštěvovat","impf"," Soon Gunther and I found ourselves going regularly to visit Ole 's lab, located several miles from Herman 's, and within several weeks we were both actively doing experiments with Ole."," Brzy jsme s Guntherem začali pravidelně navštěvovat Oleho laboratoř, která byla od Hermanovy pracovny vzdálena jen pár mil, a během několika týdnů jsme se oba aktivně účastnili na Oleho pokusech."
"learn","learn","učil","učit","impf"," At first I occasionally felt ill at ease doing conventional phage work with Ole, since my fellowship was explicitly awarded to enable me to learn biochemistry with Herman;"," Zprvu jsem měl občas výčitky svědomí, že pracuji s Olem na fázích, protože mé stipendium bylo výslovně určeno na to, abych se u Hermana učil biochemii;"
"violating","violate","porušil","porušit","pf"," in a strictly literal sense I was violating its terms."," a kdyby se to bralo striktně, vlastně jsem tuto podmínku porušil."
"asked","ask","požádán","požádat","pf"," Moreover, less than three months after my arrival in Copenhagen I was asked to propose plans for the following year."," Kromě toho jsem byl necelé tři měsíce po svém příchodu do Kodaně požádán, abych předložil svůj plán na příští rok."
"propose","propose","předložil","předložit","pf"," Moreover, less than three months after my arrival in Copenhagen I was asked to propose plans for the following year."," Kromě toho jsem byl necelé tři měsíce po svém příchodu do Kodaně požádán, abych předložil svůj plán na příští rok."
"worked","work","pracovalo","pracovat","impf"," Only a few chemists worked with it and, except for the fact that nucleic acids were very large molecule built up from smaller building blocks, the nucleotides, there was almost nothing chemical that the geneticist could grasp at."," S DNA pracovalo jen málo chemiků a kromě toho, že to jsou velmi velké molekuly složené z menších stavebních jednotek - nukleotidů, nevědělo se o nukleových kyselinách téměř nic, čeho by se genetici mohli chytit."
"grasp","grasp","chytit","chytit","pf"," Only a few chemists worked with it and, except for the fact that nucleic acids were very large molecule built up from smaller building blocks, the nucleotides, there was almost nothing chemical that the geneticist could grasp at."," S DNA pracovalo jen málo chemiků a kromě toho, že to jsou velmi velké molekuly složené z menších stavebních jednotek - nukleotidů, nevědělo se o nukleových kyselinách téměř nic, čeho by se genetici mohli chytit."
"come","come","přišel","přijít","pf"," In the summer of 1945 he had come to the lab at Cold Spring, Harbor, New York, to take Delbrück 's course on bacterial viruses."," V létě roku 1945 přišel do laboratoře v Cold Spring Harbor v New Yorku, aby u Delbrücka absolvoval kurs o bakteriálních virech."
"contributed","contribute","přispívají","přispívat","impf"," He liked the classical genetic assumption that male and female cells contributed equal amounts of genetic material, even though the resulting analysis was perversely complex."," Trval na klasickém genetickém předpokladu, že samčí a samičí buňky přispívají stejným množstvím genetického materiálu, i když výsledná analýza byla zrůdně složitá."
"enters","enter","vstupuje","vstupovat","impf"," In contrast, Bill 's reasoning started from the seemingly arbitrary hypothesis that only a fraction of the male chromosomal material enters the female cell."," Billovy úvahy vycházely naopak ze zdánlivě nedoložené hypotézy, že jen část samčího chromozomálního materiálu vstupuje do samičí buňky."
"returned","return","Vrátil","vrátit","pf"," As soon as I returned to Cambridge, I beelined out to the library containing the journals to which Joshua had sent his recent work."," Vrátil jsem se do Cambridge a okamžitě jsem spěchal do knihovny pro časopis, do kterého poslal Joshua svou poslední práci."
"sent","send","poslal","poslat","pf"," As soon as I returned to Cambridge, I beelined out to the library containing the journals to which Joshua had sent his recent work."," Vrátil jsem se do Cambridge a okamžitě jsem spěchal do knihovny pro časopis, do kterého poslal Joshua svou poslední práci."
"share","share","Nesdílel","sdílet","impf"," He did not, however, share our belief that Pauling 's model building game would quickly solve the structure, at least not until further X-ray results were obtained."," Nesdílel ale naše přesvědčení, že Paulingova hra s konstrukcí modelů povede k rychlému vyřešení struktury, alespoň ne do té doby, než budou získány další rentgenové výsledky."
"obtained","obtain","získány","získat","pf"," He did not, however, share our belief that Pauling 's model building game would quickly solve the structure, at least not until further X-ray results were obtained."," Nesdílel ale naše přesvědčení, že Paulingova hra s konstrukcí modelů povede k rychlému vyřešení struktury, alespoň ne do té doby, než budou získány další rentgenové výsledky."
"centered","center","soustředila","soustředit","pf"," Most of our conversation, instead, centered on Rosy Franklin."," Větší část našeho rozhovoru se však soustředila na Rosy Franklinovou."
"came","come","došlo","dojít","pf"," When the question of the X-ray evidence came up, he saw why we had not yet called up the King 's group."," Když došlo na otázku rentgenových důkazů, pochopil, proč jsme dosud nezavolali skupinu v King ' s."
"saw","see","pochopil","pochopit","pf"," When the question of the X-ray evidence came up, he saw why we had not yet called up the King 's group."," Když došlo na otázku rentgenových důkazů, pochopil, proč jsme dosud nezavolali skupinu v King ' s."
"called","call","nezavolali","zavolat","pf"," When the question of the X-ray evidence came up, he saw why we had not yet called up the King 's group."," Když došlo na otázku rentgenových důkazů, pochopil, proč jsme dosud nezavolali skupinu v King ' s."
"asked","ask","nezeptali","zeptat","pf"," He was bothered, however, that we had not yet asked Todd 's opinion."," Mrzelo ho ale, že jsme se dosud nezeptali na mínění Todda."
"Telling","tell","řekli","říci","pf"," Telling Bragg that we had got the organic chemistry straight did not put him completely at ease."," Když jsme Braggovi řekli, že jsme se vlastně dostali k organické chemii přímo, zcela ho to neuspokojilo."
"put","put","řekli","říci","pf"," Telling Bragg that we had got the organic chemistry straight did not put him completely at ease."," Když jsme Braggovi řekli, že jsme se vlastně dostali k organické chemii přímo, zcela ho to neuspokojilo."
"got","get","dostali","dostat","pf"," Telling Bragg that we had got the organic chemistry straight did not put him completely at ease."," Když jsme Braggovi řekli, že jsme se vlastně dostali k organické chemii přímo, zcela ho to neuspokojilo."
"using","use","použili","použít","pf"," The chance that we were using the wrong chemical formula admittedly was small, but, since Crick talked so fast, Bragg could never be sure that he would ever slow down long enough to get the right facts."," Pravděpodobnost, že jsme použili špatný chemický vzorec, byla sice malá, ale protože Crick mluvil tak rychle, Bragg si nemohl být jist, že zachytil správná fakta."
"talked","talk","mluvil","mluvit","impf"," The chance that we were using the wrong chemical formula admittedly was small, but, since Crick talked so fast, Bragg could never be sure that he would ever slow down long enough to get the right facts."," Pravděpodobnost, že jsme použili špatný chemický vzorec, byla sice malá, ale protože Crick mluvil tak rychle, Bragg si nemohl být jist, že zachytil správná fakta."
"got","get","dostalo","dostat","pf"," Each got a quick, concise lecture from Francis, during the second of which I wandered down to see if the shop could be speeded up to produce the purines and pyrimidines later that afternoon."," Každému se od Francise dostalo rychlého, přesného výkladu, zatímco já jsem seběhl do dílny, abych zjistil, jestli je možno urychlit zhotovení purinů a pyrimidinů do dnešního odpoledne."
"speeded","speed","urychlit","urychlit","pf"," Each got a quick, concise lecture from Francis, during the second of which I wandered down to see if the shop could be speeded up to produce the purines and pyrimidines later that afternoon."," Každému se od Francise dostalo rychlého, přesného výkladu, zatímco já jsem seběhl do dílny, abych zjistil, jestli je možno urychlit zhotovení purinů a pyrimidinů do dnešního odpoledne."
"accomplished","accomplish","dokončeno","dokončit","pf"," Only a little encouragement was needed to get the final soldering accomplished in the next couple of hours."," Jen malé povzbuzení stačilo, aby letování bylo v několika příštích hodinách dokončeno."
"used","use","použili","použít","pf"," The brightly shining metal plates were then immediately used to make a model in which for the first time all the DNA components were present."," Jasně zářící kovové desky jsme pak ihned použili pro model, který poprvé ukazoval všechny složky DNA."
"worked","work","pracoval","pracovat","impf"," He was Willy Seeds, a scientist who several years before had worked at King 's College, London, with Maurice Wilkins on the optical properties of DNA fibers."," Byl to Willy Seeds, který před několika lety pracoval s Mauricem Wilkinsem v King ' s College v Londýně na optických vlastnostech vláken DNA."
"spotted","spot","zpozoroval","zpozorovat","pf"," Willy soon spotted me, slowed down, and momentarily gave the impression that he might remove his rucksack and chat for a while."," Willy mě brzy zpozoroval, zpomalil a chvíli se zdálo, že sundá batoh a zastaví se na kus řeči."
"slowed","slow","zpomalil","zpomalit","pf"," Willy soon spotted me, slowed down, and momentarily gave the impression that he might remove his rucksack and chat for a while."," Willy mě brzy zpozoroval, zpomalil a chvíli se zdálo, že sundá batoh a zastaví se na kus řeči."
