"knocked","knock","zaklepal","zaklepat","pf"," Mike Donovan growled from behind a huge lettuce-and-tomato sandwich as Cutie knocked gently and entered."," Mike Donovan cosi zamručel zpoza ohromného sendviče se salátem a rajčaty, když Chytroušek zlehka zaklepal a vstoupil do místnosti."
"entered","enter","vstoupil","vstoupit","pf"," Mike Donovan growled from behind a huge lettuce-and-tomato sandwich as Cutie knocked gently and entered."," Mike Donovan cosi zamručel zpoza ohromného sendviče se salátem a rajčaty, když Chytroušek zlehka zaklepal a vstoupil do místnosti."
"let","let","nechat","nechat","pf"," We ca n't let him continue this nitwit stuff about the Master. """," Nemůžeme ho přece nechat žvanit ty nesmysly o Pánu. """
"heard","hear","slyšel","slyšet","impf"," "" Because whoever heard of such a damned thing?"," "" Protože kdo to jakživ slyšel '?"
"spoke","speak","promluvil","promluvit","pf"," Finally, the robot spoke."," Konečně robot promluvil."
"do","do","udělá","udělat","pf"," "" And do you know what 's going to happen to the beam - because the storm will be a lulu."," "" Dovedeš si představit, co to s paprskem udělá - protože ta bouře, to bude paráda."
"going","go","začne","začít","pf"," It 's going to jump like a flea with the itch."," Paprsek začne skákat jako potrefený."
"jump","jump","skákat","skákat","impf"," It 's going to jump like a flea with the itch."," Paprsek začne skákat jako potrefený."
"thought","think","Myslel","myslet","impf"," I thought you were supervising the installation of the new drive bar. """," Myslel jsem, že dohlížíš na montáž té nové hřídele. """
"supervising","supervise","dohlížíš","dohlížet","impf"," I thought you were supervising the installation of the new drive bar. """," Myslel jsem, že dohlížíš na montáž té nové hřídele. """
"said","say","řekl","říci","pf"," "" It 's done, "" said the robot quietly, "" and so I 've come to have a talk with the two of you. """," "" To už je hotovo, "" řekl robot tichým hlasem, "" a tak jsem si s vámi dvěma přišel promluvit. """
"come","come","přišel","přijít","pf"," "" It 's done, "" said the robot quietly, "" and so I 've come to have a talk with the two of you. """," "" To už je hotovo, "" řekl robot tichým hlasem, "" a tak jsem si s vámi dvěma přišel promluvit. """
"sit","sit","posaď","posadit","pf"," "" Well, sit down."," "" No tak se posaď."
"try","try","pokusím","pokusit","pf"," "" Cutie, "" he said, "" I 'm going to try to explain something to you."," "" Chytroušku, "" oslovil ho, "" pokusím se ti něco vysvětlit."
"explain","explain","vysvětlit","vysvětlit","pf"," "" Cutie, "" he said, "" I 'm going to try to explain something to you."," "" Chytroušku, "" oslovil ho, "" pokusím se ti něco vysvětlit."
"understand","understand","uměl","umět","impf"," You 're the first robot who 's ever exhibited curiosity as to his own existence -- and I think the first that 's really intelligent enough to understand the world outside."," Jsi první robot, který se kdy začal zajímat o svou vlastní existenci - a řekl bych, že jsi taky první, kdo je opravdu dost inteligentní na to, aby uměl pochopit okolní svět."
"understand","understand","pochopit","pochopit","pf"," You 're the first robot who 's ever exhibited curiosity as to his own existence -- and I think the first that 's really intelligent enough to understand the world outside."," Jsi první robot, který se kdy začal zajímat o svou vlastní existenci - a řekl bych, že jsi taky první, kdo je opravdu dost inteligentní na to, aby uměl pochopit okolní svět."
"come","come","Pojď","jít","impf"," Here, come with me. """," Pojď se mnou. """
"followed","follow","následoval","následovat","impf"," The robot rose erect smoothly and his thickly sponge-rubber soled feet made no noise as he followed Powell."," Robot se lehce vzpřímil a neslyšně Powella následoval na podrážkách ze silné gumy."
"returned","return","Vrátil","vrátit","pf"," Powell returned to the table and polished an apple upon his sleeve before biting into it."," Vrátil se ke stolu a zakousl se do jablka, které si předtím přeleštil o rukáv."
"believe","believe","Nevěří","věřit","impf"," "" He does n't believe we made him or that Earth exists or space or stars. """," "" Nevěří, že jsme ho stvořili, že existuje Země, vesmír a hvězdy. """
"exists","exist","existuje","existovat","impf"," "" He does n't believe we made him or that Earth exists or space or stars. """," "" Nevěří, že jsme ho stvořili, že existuje Země, vesmír a hvězdy. """
"says","say","Říká","říkat","impf"," "" He says he 's going to figure it all out for himself. """," "" Říká, že na všechno přijde sám. """
"serve","serve","sloužit","sloužit","impf"," In this matter, I seek only to serve and not to question. """," Mým cílem je pouze sloužit, nikoli se tázat. """
"sat","sit","usedl","usednout","pf"," Powell sat down slowly and buried his face in shaking hands."," Powell ztěžka usedl a ukryl tvář v třesoucích se dlaních."
"buried","bury","ukryl","ukrýt","pf"," Powell sat down slowly and buried his face in shaking hands."," Powell ztěžka usedl a ukryl tvář v třesoucích se dlaních."
"let","let","nech","nechat","pf"," Get out and let me think. """," Běž a nech mě přemýšlet. """
"think","think","přemýšlet","přemýšlet","impf"," Get out and let me think. """," Běž a nech mě přemýšlet. """
"send","send","Pošlu","poslat","pf"," "" I 'll send you food, "" said Cutie agreeably."," "" Pošlu vám nějaké jídlo, "" nabídl se Chytroušek."
"left","leave","odešel","odejít","pf"," A groan was the only answer and the robot left."," Jedinou odpovědí mu bylo zaúpění, a tak odešel."
"got","get","dostat","dostat","pf"," We 've got to get him when he is n't expecting it and short-circuit him."," Musíme ho dostat nepřipraveného a zkratovat ho."
"get","get","dostat","dostat","pf"," We 've got to get him when he is n't expecting it and short-circuit him."," Musíme ho dostat nepřipraveného a zkratovat ho."
"created","create","stvořil","stvořit","pf"," The parts were created by the Master. """," Ty součásti stvořil Pán. """
"argue","argue","hádat","hádat","impf"," "" Well, well, "" replied Cutie soothingly, "" we wo n't argue. """," "" No dobrá, "" chlácholil ho Chytroušek, "" nebudeme se hádat. """
"grasped","grasp","popadl","popadnout","pf"," The Earthman sprang forward and grasped the robot 's metal arm."," Pozemšťan se vymrštil a popadl robota za kovovou paži."
"read","read","přečíst","přečíst","pf"," "" If you were to read the books in the library, they could explain it so that there could be no possible doubt. """," Měl by sis přečíst knihy tady z knihovny, ty by ti to vysvětlily tak, že bys o tom nemohl pochybovat. """
"explain","explain","vysvětlily","vysvětlit","pf"," "" If you were to read the books in the library, they could explain it so that there could be no possible doubt. """," Měl by sis přečíst knihy tady z knihovny, ty by ti to vysvětlily tak, že bys o tom nemohl pochybovat. """
"manufactured","manufacture","vyrábějí","vyrábět","impf"," Robots are, of course, manufactured on Earth, but their shipment through space is much simpler if it can be done in parts to be put together at their place of use."," Roboti se samozřejmě vyrábějí na Zemi, ale jejich doprava kosmickým prostorem je mnohem jednodušší, mohou - li být přepravováni po částech, které se sestavují až na místě použití."
"bringing","bring","přivedli","přivést","pf"," It also, incidentally, eliminates the possibility of robots, in complete adjustment, wandering off while still on Earth and thus bringing U. S. Robots face to face with the strict laws against robots on Earth."," Současně se tím vylučuje možnost, že by se hotoví roboti potulovali po Zemi a přivedli tím Národní americkou společnost pro výrobu robotů do rozporu s přísnými zákony, které na Zemi užívání robotů nedovolují."
"admit","admit","přiznáváš","přiznávat","impf"," "" You admit yourself that your memory seems to spring full-grown from an absolute blankness of a week ago."," "" Sám přiznáváš, že tvá paměť jako by náhle před týdnem povstala v celé své vyspělosti z naprosté prázdnoty."
"seems","seem","Zdá","zdát","impf"," For you to make me seems improbable. """," Zdá se mi nepravděpodobné, že byste mě vy udělali. """
"make","make","udělali","udělat","pf"," For you to make me seems improbable. """," Zdá se mi nepravděpodobné, že byste mě vy udělali. """
"believe","believe","věříš","věřit","impf"," "" Well, "" said Powell, grinning, "" now do you believe that we made you? """," "" Tak, "" obrátil se na něj Powell vesele, "" teď už mi věříš, že jsme tě smontovali? """
"said","say","řekl","říci","pf"," "" No! "" he said."," "" Ne! "" řekl."
"continued","continue","pokračoval","pokračovat","impf"," "" You see, "" continued Cutie, easily, "" you have merely put together parts already made."," "" Víte, "" pokračoval nenuceně Chytroušek, "" vy jste jen smontovali hotové součásti."
"create","create","nestvořili","stvořit","pf"," You did remarkably well - instinct, I suppose -- but you did n't really create the robot."," Umíte to moc pěkně - patrně jste vedeni instinktem - ale vy jste toho robota vlastně nestvořili."
"create","create","stvořit","stvořit","pf"," These are facts which, with the self-evident proposition that no being can create another being superior to itself, smashes your silly hypothesis to nothing. """," Uvážíme - li tato fakta a samozřejmý předpoklad, že žádná bytost nemůže stvořit bytost dokonalejší, než je sama, je celá ta vaše směšná teorie k ničemu. """
"sprang","spring","vyskočil","vyskočit","pf"," Donovan 's muttered curses rose into intelligibility as he sprang to his feet, rusty eyebrows drawn low."," Donovan procedil mezi zuby nesrozumitelné zaklení a vyskočil z křesla, ryšavé obočí hrozivě zježené."
"did","do","neudělali","udělat","pf"," "" All right, you son of a hunk of iron ore, if we did n't make you, who did? """," "" Tak dobře. ty plecháči, když jsme tě neudělali my, tak kdo tedy? """
"make","make","neudělali","udělat","pf"," "" All right, you son of a hunk of iron ore, if we did n't make you, who did? """," "" Tak dobře. ty plecháči, když jsme tě neudělali my, tak kdo tedy? """
"did","do","neudělali","udělat","pf"," "" All right, you son of a hunk of iron ore, if we did n't make you, who did? """," "" Tak dobře. ty plecháči, když jsme tě neudělali my, tak kdo tedy? """
"nodded","nod","přikývl","přikývnout","pf"," Cutie nodded gravely."," Chytroušek vážně přikývl."
"let","let","nechám","nechat","pf"," It better be good, or I 'll be damned if I let it touch the controls. """," Jestli není spolehlivý, tak ať visím, jestli ho nechám na řízení jen sáhnout. """
"touch","touch","sáhnout","sáhnout","pf"," It better be good, or I 'll be damned if I let it touch the controls. """," Jestli není spolehlivý, tak ať visím, jestli ho nechám na řízení jen sáhnout. """
"said","say","řekl","říci","pf"," "" The robot is pretty good, "" he said slowly."," "" Robot je naprosto spolehlivý, "" řekl pomalu."
"think","think","Myslím","myslet","impf"," "" I do n't think you 'll have to bother much with the controls. """," "" Myslím, že o řízení se nebudeš muset moc starat. """
"moved","move","nepohnul","pohnout","pf"," Not a robot moved!"," Žádný z robotů se ani nepohnul!"
"roared","roar","zařval","zařvat","pf"," "" Stand up! "" he roared."," "" Vstaň! "" zařval na něj."
"Do","do","dělej","dělat","impf"," Do as I say! """," A dělej, co ti říkám! """
"say","say","říkám","říkat","impf"," Do as I say! """," A dělej, co ti říkám! """
"said","say","neřekl","říci","pf"," Cutie said nothing, nor did any other robot, but Donovan became aware of a sudden heightening of tension."," Chytroušek neřekl ani slovo a ostatní roboti také mlčeli, ale Donovan si uvědomil náhlé zostření napětí."
"whispered","whisper","zašeptal","zašeptat","pf"," "" Sacrilege, "" he whispered -- voice metallic with emotion."," "" Znesvěcení, "" zašeptal svým kovovým hlasem plným vášně."
"said","say","řekl","říci","pf"," "" There is no Master but the Master, "" he said, "" and QT-1 is his prophet. """," "" Je jen jediný Pán, "" řekl, "" a CHTR - 1 je jeho prorokem. """
"obey","obey","poslouchají","poslouchat","impf"," "" I 'm afraid, "" put in Cutie himself at this point, "" that my friends obey a higher one than you, now. """," "" Obávám se, "" promluvil konečně sám Chytroušek, "" že mí přátelé nyní poslouchají vyšší moc, než jste vy. """
"opened","open","otevřely","otevřít","pf"," The door opened, and the Earthman shot through to come up hard against an immovable steel arm."," Dveře se otevřely a Pozemšťan vyrazil ven, ovšem vzápětí ho nesmlouvavě zadržela ocelová paže."
"shot","shoot","vyrazil","vyrazit","pf"," The door opened, and the Earthman shot through to come up hard against an immovable steel arm."," Dveře se otevřely a Pozemšťan vyrazil ven, ovšem vzápětí ho nesmlouvavě zadržela ocelová paže."
"create","create","tvořit","tvořit","impf"," Powell and Donovan were never so aware of that fact as upon that particular day when, in the assembly room, they undertook to create a robot under the watchful eyes of QT-1, Prophet of the Master."," Nikdy dřív si Powell a Donovan tuto skutečnost neuvědomovali tak silně, jako onoho dne, kdy v dílně začali tvořit nového robota přímo pod pozorným dohledem CHTR - 1, Pánova proroka."
"lay","lie","ležel","ležet","impf"," The robot in question, a simple MC model, lay upon the table, almost complete."," Nový robot, jednoduchý model řady MC, ležel na stole téměř hotový."
"glanced","glance","pohlédl","pohlédnout","pf"," Three hours, work left only the head undone, and Powell paused to swab his forehead and glanced uncertainly at Cutie."," Po třech hodinách práce zbývalo dokončit jen hlavu a Powell na chvíli přerušil práci, aby si otřel čelo, a přitom nejistě pohlédl na Chytrouška."
"repressed","repress","potlačil","potlačit","pf"," Powell repressed a sudden attack of nerves."," Powell potlačil náhlý příval vzteku."
"possessed","possess","měli","mít","impf"," These robots possessed peculiar brains."," Tihle roboti měli zvláštní mozek."
"held","hold","platily","platit","impf"," Oh, the three Laws of Robotics held."," Tři zákony robotiky pro ně platily, to ano."
"waiting","wait","čeká","čekat","impf"," Relief is waiting and I wo n't feel right until I actually see Earth and feel the ground under my feet -- just to make sure it 's really there. """," Raketa čeká a já nebudu mít klid, dokud neuvidím Zemi na vlastní oči a neucítím pevnou půdu pod nohama jen abych se přesvědčil, že opravdu existuje. """
"see","see","neuvidím","uvidět","pf"," Relief is waiting and I wo n't feel right until I actually see Earth and feel the ground under my feet -- just to make sure it 's really there. """," Raketa čeká a já nebudu mít klid, dokud neuvidím Zemi na vlastní oči a neucítím pevnou půdu pod nohama jen abych se přesvědčil, že opravdu existuje. """
"feel","feel","neucítím","ucítit","pf"," Relief is waiting and I wo n't feel right until I actually see Earth and feel the ground under my feet -- just to make sure it 's really there. """," Raketa čeká a já nebudu mít klid, dokud neuvidím Zemi na vlastní oči a neucítím pevnou půdu pod nohama jen abych se přesvědčil, že opravdu existuje. """
"feel","feel","neucítím","ucítit","pf"," Relief is waiting and I wo n't feel right until I actually see Earth and feel the ground under my feet -- just to make sure it 's really there. """," Raketa čeká a já nebudu mít klid, dokud neuvidím Zemi na vlastní oči a neucítím pevnou půdu pod nohama jen abych se přesvědčil, že opravdu existuje. """
"opened","open","otevřely","otevřít","pf"," The door opened as he spoke and Donovan, with a smothered curse, clicked the visor to, and turned a sulky back upon Cutie."," Mezitím se otevřely dveře a Donovan spolkl nadávku, přiklopil průzor a uraženě se k Chytrouškovi otočil zády."
"turned","turn","otočil","otočit","pf"," The door opened as he spoke and Donovan, with a smothered curse, clicked the visor to, and turned a sulky back upon Cutie."," Mezitím se otevřely dveře a Donovan spolkl nadávku, přiklopil průzor a uraženě se k Chytrouškovi otočil zády."
"approached","approach","přistoupil","přistoupit","pf"," The robot approached softly and there was sorrow in his voice."," Robot k nim pomalu přistoupil a oslovil je lítostivým hlasem."
"going","go","odcházíte","odcházet","impf"," "" You are going? """," "" Už odcházíte? """
"nodded","nod","přikývl","přikývnout","pf"," Powell nodded curtly."," Powell úsečně přikývl."
"entered","enter","vešel","vejít","pf"," He motioned the guardian robots away, entered the officer 's room and closed the door gently."," Na jeho pokyn strážní roboti ustoupili, Chytroušek vešel do velitelské místnosti a tiše za sebou zavřel dveře."
"closed","close","zavřel","zavřít","pf"," He motioned the guardian robots away, entered the officer 's room and closed the door gently."," Na jeho pokyn strážní roboti ustoupili, Chytroušek vešel do velitelské místnosti a tiše za sebou zavřel dveře."
"pay","pay","nevyplatí","vyplatit","pf"," You 're going to pay for this farce. """," Tahle šaškárna se ti nevyplatí. """
"annoyed","annoy","Nezlobte","zlobit","impf"," "" Please, do n't be annoyed, "" replied the robot mildly."," "" Nezlobte se, prosím vás, "" řekl robot vlídně."
"come","come","dojít","dojít","pf"," "" It was bound to come eventually, anyway."," "" Jednou k tomu tak jako tak muselo dojít."
"said","say","řekl","říci","pf"," Powell said, "" Good. """," "" Fajn, "" řekl Powell."
"suiting","suit","slušelo","slušet","impf"," He departed with a beatific air suiting the Prophet of the Master and the two humans avoided each other 's eyes."," Vzdálil se v jakémsi oblaku svatozáře, jak se na Pánova proroka slušelo, a Pozemšťané se báli podívat se jeden druhému do očí."
"spoke","speak","promluvit","promluvit","pf"," Finally Powell spoke with an effort."," Konečně se Powell přinutil promluvit."
"go","go","Pojď","jít","impf"," "" Let 's go to bed, Mike."," "" Pojď spát, Miku."
"show","show","předvedli","předvést","pf"," Let 's show him!"," Co kdybychom mu to předvedli?"
"widening","widen","šířit","šířit","impf"," A slowly widening smile appeared on Powell 's face."," Na Powellově tváři se zvolna začal šířit úsměv."
"sees","see","dívat","dívat","impf"," Donovan continued, "" And think of that screwball 's face when he sees us do it? """," "" A představ si, jak se ten panák bude tvářit, až se bude dívat, jak to děláme! "" dodal Donovan."
"do","do","děláme","dělat","impf"," Donovan continued, "" And think of that screwball 's face when he sees us do it? """," "" A představ si, jak se ten panák bude tvářit, až se bude dívat, jak to děláme! "" dodal Donovan."
"said","say","řekl","říci","pf"," "" I am sorry, Donovan, "" said the robot, "" but you can no longer stay here after this."," "" Je mi líto, Donovane, "" řekl robot, "" ale po tomhle tady nemůžete zůstat."
"stay","stay","zůstat","zůstat","pf"," "" I am sorry, Donovan, "" said the robot, "" but you can no longer stay here after this."," "" Je mi líto, Donovane, "" řekl robot, "" ale po tomhle tady nemůžete zůstat."
"felt","feel","cítil","cítit","impf"," Donovan had time for one startled gasp as he felt himself lifted from the floor and carried up the stairs at a pace rather better than a canter."," Donovan pouze užasle zalapal po dechu a pak už jen cítil, jak je nadzvednut a rychlým poklusem odnášen vzhůru po schodech."
"obey","obey","poslouchat","poslouchat","impf"," Those robots must obey us."," Ti roboti nás přece musí poslouchat."
"saying","say","říkáš","říkat","impf"," "" What 's the use of saying that?"," "" Proč mi to vůbec říkáš?"
"obeying","obey","neposlouchají","poslouchat","impf"," They are n't obeying us."," Prostě nás neposlouchají."
"passed","pass","Míjely","míjet","impf"," Hours passed."," Míjely hodiny."
"revealed","reveal","objevila","objevit","pf"," The thick, clear glass revealed space -- starspeckled."," Za silným čirým sklem se objevila obloha posetá hvězdami."
"seen","see","viděl","vidět","impf"," "" I 've seen that in the observation ports in the engine room, "" said Cutie."," "" To jsem viděl v průzorech strojovny, "" řekl Chytroušek."
"said","say","řekl","říci","pf"," "" I 've seen that in the observation ports in the engine room, "" said Cutie."," "" To jsem viděl v průzorech strojovny, "" řekl Chytroušek."
"said","say","odpověděl","odpovědět","pf"," "" I know, "" said Powell."," "" Já vím, "" odpověděl Powell."
"settle","settle","vypořádat","vypořádat","pf"," I 'll settle with you later and with these animated gadgets right now. """," Nejdřív se musím vypořádat s těmihle oživlými loutkami! """
"understand","understand","nerozumíte","rozumět","impf"," "" I 'm sorry, but you do n't understand."," "" Je mi líto, ale vy mi nerozumíte."
"means","mean","znamená","znamenat","impf"," These are robots -- and that means they are reasoning beings."," Jsou to roboti - to znamená rozumné bytosti."
"recognize","recognize","poznali","poznat","pf"," They recognize the Master, now that I have preached Truth to them."," Teď, když jsem jim zvěstoval pravdu, poznali svého Pána."
"call","call","Nazývají","nazývat","impf"," They call me the prophet. """," Nazývají mne prorokem. """
"see","see","vidět","vidět","impf"," We call that globe the Sun and it is on the other side of the station where you ca n't see it. """," Ta koule se jmenuje Slunce a je na druhé straně stanice, takže teď ji není vidět. """
"nodded","nod","přikývl","přikývnout","pf"," Powell nodded abstractedly."," Powell nepřítomně přikývl."
"believe","believe","věřili","věřit","impf"," However, since it is the Master 's will that you believe your books, I wo n't argue with you any more. """," Protože si však Pán přeje, abyste věřili svým knihám, nebudu už o tom s vámi diskutovat. """
"argue","argue","diskutovat","diskutovat","impf"," However, since it is the Master 's will that you believe your books, I wo n't argue with you any more. """," Protože si však Pán přeje, abyste věřili svým knihám, nebudu už o tom s vámi diskutovat. """
"rewarded","reward","odměněni","odměnit","pf"," You poor humans have your place and though it is humble, you will be rewarded if you fill it well. """," I vy, obyčejní lidé, máte svou funkci, a přestože je skromná, budete odměněni, jestliže se osvědčíte. """
