"say","say","neodpovíš","odpovědět","pf"," ' Why do n't you say something, Niza? ' asked Judas miserably, hastening to keep pace with her."," "" Proč mi neodpovíš, Niso? "" žadonil Jidáš, když ji dohnal."
"walked","walk","kráčel","kráčet","impf"," Pilate turned and walked back along the platform towards the steps, glancing only at the parti-coloured wooden blocks of the steps beneath his feet to save himself from stumbling."," Otočil se a kráčel po tribuně zpátky ke stupňům, neohlížel se napravo ani nalevo, jen upřeně pozoroval různobarevné čtverce koberců pod nohama v obavě, aby neklopýtl."
"kiss","kiss","líbali","líbat","impf"," ' Yes, ' replied Margarita dully, smiling to two men in evening dress who were bowing to kiss her knee and her foot."," "" Ano, "" hlesla dutě Markéta a zároveň vyslala zářivý úsměv dvěma kavalírům, kteří jí v pokleku líbali koleno a ruku."
"read","read","čtu","číst","impf"," And I read Italian a little. '"," Navíc ještě trochu čtu italsky. """
"won","win","vyhrál","vyhrát","pf"," One day he won a hundred thousand roubles."," Až jednou, považte, vyhrál sto tisíc rublů."
"fell","fall","padal","padat","impf"," As he fell he kicked the leg of another stool and upset a full glass of red wine all over his trousers."," Přitom jak padal, překotil stoličku před sebou a vylil si na kalhoty vrchovatý pohár červeného vína."
"helped","help","pomohl","pomoci","pf"," Azazello helped the barman to get up and gave him another stool."," Azazelo pomohl nešťastníkovi vstát a nabídl mu jinou stoličku."
"turned","turn","otočil","otočit","pf"," The man who was roasting meat turned round, terrifying the barman at the sight of his wall eye, and neatly offered him one of the dark oaken stools."," Opékač se otočil, vyděsil bufetáře svými tesáky a obratně mu přistrčil jednu ze stoliček, vyrobených z tmavého dubového dřeva."
"terrifying","terrify","vyděsil","vyděsit","pf"," The man who was roasting meat turned round, terrifying the barman at the sight of his wall eye, and neatly offered him one of the dark oaken stools."," Opékač se otočil, vyděsil bufetáře svými tesáky a obratně mu přistrčil jednu ze stoliček, vyrobených z tmavého dubového dřeva."
"watched","watch","sledovala","sledovat","impf"," Haughtily spooning up her melting ice-cream, Madame Petrakov watched disagreeably as the table, occupied by what appeared to be a couple of scarecrows, was loaded with food as if by magic."," Madam Petrakovová pohrdlivě šťourala lžičkou v rozteklé vanilkové zmrzlině se šlehačkou a mrzutě sledovala, jak se stolek, kde seděli dva pobudové, oblečení jako strašáci do zelí, jako mávnutím kouzelného proutku stále víc prohýbá pod dalšími a dalšími vybranými lahůdkami."
"said","say","Povídám","povídat","impf"," I said to him myself that morning at breakfast :"," Povídám mu tenkrát při snídani :"
"found","find","ocitla","ocitnout","pf"," Arm in arm with Koroviev, Margarita found herself in a tropical forest."," Podpírána Korovjevem se ocitla v tropech."
"say","say","říkáte","říkat","impf"," ' What did you say, sir? ' was Faggot 's instant response to this savage proposal."," "" Cože, co to říkáte? "" reagoval hbitě kostkovaný na nepřístojný návrh."
"shouted","shout","zvolal","zvolat","pf"," Behemoth! ' he shouted to the cat."," Kňoure! "" zvolal na kocoura."
"leaped","leap","skočil","skočit","pf"," It crouched, then leaped like a panther straight for Bengalsky 's chest and from there to his head."," Pak se stočil do klubíčka a jako panter skočil přímo Bengálskému na prsa a odtud na hlavu."
"approaching","approach","blížila","blížit","impf"," Midnight was approaching, time to hurry."," Kvapem se blížila půlnoc, a proto si museli pospíšit."
"washed","wash","omývají","omývat","impf"," Margarita tasted salt on her lips and realised that she was being washed in blood."," Ucítila na rtech slanou chuť a domyslela si, že ji omývají krví."
"pulled","pull","vytáhl","vytáhnout","pf"," Rimsky pulled out his watch, saw that it was five minutes to three and was seized with fury."," Rimský vytáhl hodinky, a když zjistil, že ukazují dvě a pět minut, definitivně se rozzuřil."
"fell","fall","dopadl","dopadnout","pf"," Then he crumpled and fell into a chair, having obviously decided to bow to the inevitable."," Pak sklesle dopadl na židli a rozhodl se zřejmě odevzdat do rukou osudu."
"decided","decide","rozhodl","rozhodnout","pf"," Then he crumpled and fell into a chair, having obviously decided to bow to the inevitable."," Pak sklesle dopadl na židli a rozhodl se zřejmě odevzdat do rukou osudu."
"saw","see","viděli","vidět","impf"," Five minutes later the tenants saw the chairman led out into the courtyard by two men."," Za pět minut nájemníci, kteří byli zrovna na dvoře, viděli Nikanora Ivanoviče, jak kráčí provázen dvěma muži přímo k domovním vratům."
"started","start","spustil","spustit","pf"," At once the diabolical interpreter was in the hall, had dialled a number and started to speak in a whining voice :"," Vykutálený tlumočník nemeškal, rozběhl se do předsíně k telefonu, vytočil nějaké číslo a spustil zase huhňavě :"
"consider","consider","Považuji","považovat","impf"," I consider it my duty to report that the chairman of our tenants ' association at No. 302 A Sadovaya Street, Nikanor Ivanovich Bosoi, is dealing in black-market foreign currency."," Považuji za svou povinnost ohlásit, že náš předseda domovní správy v domě číslo 302 b v Sadové ulici Nikanor Ivanovič Bosý spekuluje s cizími valutami."
"report","report","ohlásit","ohlásit","pf"," I consider it my duty to report that the chairman of our tenants ' association at No. 302 A Sadovaya Street, Nikanor Ivanovich Bosoi, is dealing in black-market foreign currency."," Považuji za svou povinnost ohlásit, že náš předseda domovní správy v domě číslo 302 b v Sadové ulici Nikanor Ivanovič Bosý spekuluje s cizími valutami."
"see","see","zahlédla","zahlédnout","pf"," Whenever the wind blew the master 's cloak away from his legs, Margarita could see the spurs that winked at the heels of his jackboots."," Když vítr poodhrnul cíp jeho pláště, zahlédla, jak na jeho vysokých jezdeckých botách blikají hvězdičky ostruh."
"smiling","smile","usmíval","usmívat","impf"," Like the page-demon the master rode staring at the moon, though smiling at it as though it were a dear, familiar friend, and - a habit acquired in room No. 118 - talking to himself."," Stejně jako démon - páže letěl a upíral pohled na lunu, ale usmíval se na ni jako na starou milou a něco si pro sebe mumlal, jak to měl ve zvyku v době, kdy ležel na stoosmnáctce."
"loves","love","miluje","milovat","impf"," But one who loves must share the fate of his loved one. '"," Co naplat, tak už to bývá, že ten, kdo miluje, sdílí se svým milovaným jeho úděl. """
"loved","love","miluje","milovat","impf"," But one who loves must share the fate of his loved one. '"," Co naplat, tak už to bývá, že ten, kdo miluje, sdílí se svým milovaným jeho úděl. """
"share","share","sdílí","sdílet","impf"," But one who loves must share the fate of his loved one. '"," Co naplat, tak už to bývá, že ten, kdo miluje, sdílí se svým milovaným jeho úděl. """
"saying","say","povídá","povídat","impf"," ' What is he saying? ' asked Margarita, and her calm face was veiled with compassion."," "" Co si to povídá? "" zeptala se Markétka a v její dosud klidné tváři se mihl trpký stín."
"asked","ask","zeptala","zeptat","pf"," ' What is he saying? ' asked Margarita, and her calm face was veiled with compassion."," "" Co si to povídá? "" zeptala se Markétka a v její dosud klidné tváři se mihl trpký stín."
"says","say","odpověděl","odpovědět","pf"," ' He always says ' said Woland, ' the same thing."," "" Tvrdí stále jedno a totéž, "" odpověděl Woland."
"said","say","odpověděl","odpovědět","pf"," ' He always says ' said Woland, ' the same thing."," "" Tvrdí stále jedno a totéž, "" odpověděl Woland."
"begged","beg","prosila","prosit","impf"," ' Please, ' begged Margarita piteously, ' do n't talk like that."," "" Zapřísahám tě, "" prosila lítostivě Markétka, "" nemluv takhle."
"talk","talk","nemluv","mluvit","impf"," ' Please, ' begged Margarita piteously, ' do n't talk like that."," "" Zapřísahám tě, "" prosila lítostivě Markétka, "" nemluv takhle."
"torturing","torture","trápíš","trápit","impf"," Why are you torturing me?"," Proč mě trápíš?"
"listen","listen","Neposlouchejte","poslouchat","impf"," ' Do n't listen to him, messire, he has suffered too much. '"," "" Neposlouchejte ho, maestro, je příliš zdeptaný. """
"exhausted","exhaust","vyčerpal","vyčerpat","pf"," ' Or if you 've exhausted your Procurator, why not write about somebody else - that Aloysius, for instance ... '"," "" Jestliže jste vyčerpal pilátovské téma, pusťte se třeba do Aloise ... """
"put","put","postavit","postavit","pf"," ' In that case I suppose it was totally destroyed and they will have to put up a new building. '"," "" To znamená, že budou muset postavit novou budovu? """
"assure","assure","ujištěn","ujistit","pf"," ' It will be built, messire, ' said Koroviev, ' I can assure you of that. '"," "" Stane se, maestro, "" přisvědčil Korovjev, "" o tom můžete být ujištěn. """
"recognised","recognise","poznala","poznat","pf"," A wall eye glistened in the moonlight and Margarita recognised Azazello."," Ve svitu měsíce blýskl zažloutlý tesák a Markétka poznala Azazela."
"walking","walk","kráčí","kráčet","impf"," The execution, of course, had been a pure misunderstanding : after all this same man, with his ridiculous philosophy that all men were good, was walking beside him - consequently he was alive."," Samozřejmě se ukázalo, že dnešní poprava je jen a jen nedorozumění : vždyť tenhle filozof, který si vymyslel tak nehoráznou teorii o tom, že všichni lidé jsou v jádru dobří, kráčí vedle Piláta, a je tudíž živ."
"Supposing","suppose","předpokládáme","předpokládat","impf"," Supposing that the moment after his telephone call Stepa had rushed to the airport and got there in, say, five minutes ( which was impossible anyway ), then if the aeroplane had taken off at once it must have covered over a thousand kilometres in five minutes."," Jestliže předpokládáme, že Sťopa, hned jak položil sluchátko, pádil na letiště a dorazil tam řekněme za pět minut ( to je mimochodem nemyslitelné ), vychází nám, že letadlo za předpokladu, že okamžitě startovalo, urazilo za pět minut přes tisíc kilometrů."
"got","get","dorazil","dorazit","pf"," Supposing that the moment after his telephone call Stepa had rushed to the airport and got there in, say, five minutes ( which was impossible anyway ), then if the aeroplane had taken off at once it must have covered over a thousand kilometres in five minutes."," Jestliže předpokládáme, že Sťopa, hned jak položil sluchátko, pádil na letiště a dorazil tam řekněme za pět minut ( to je mimochodem nemyslitelné ), vychází nám, že letadlo za předpokladu, že okamžitě startovalo, urazilo za pět minut přes tisíc kilometrů."
"say","say","řekněme","říci","pf"," Supposing that the moment after his telephone call Stepa had rushed to the airport and got there in, say, five minutes ( which was impossible anyway ), then if the aeroplane had taken off at once it must have covered over a thousand kilometres in five minutes."," Jestliže předpokládáme, že Sťopa, hned jak položil sluchátko, pádil na letiště a dorazil tam řekněme za pět minut ( to je mimochodem nemyslitelné ), vychází nám, že letadlo za předpokladu, že okamžitě startovalo, urazilo za pět minut přes tisíc kilometrů."
"enlarged","enlarge","rozšířily","rozšířit","pf"," These keys have enlarged my radius of action."," Klíče rozšířily moje možnosti."
"go","go","jít","jít","impf"," It 's time for me to go. '"," Musím jít. """
"waved","wave","zamával","zamávat","pf"," Then he picked up a tray, threw away the remains of the chocolate-bar Eiffel Tower that Behemoth had ruined, waved it about, pulled off the foreigner 's hat with his left hand, swung the tray with his right and brought it down with a crash on the fawn man 's balding head."," Pak popadl cukrářský podnos, smetl zbytky čokoládové Eiffelovky, zbourané Kňourovou prackou, zamával podnosem nad hlavou, levačkou strhl cizinci klobouk, rozpřáhl se pravačkou a přetáhl cizince podnosem po pleši."
"called","call","říkal","říkat","impf"," A dark green cloth stretched from the window-sill to the floor and down it walked Ivan 's night visitor, the man who called himself the master."," Z parapetu na podlahu sklouzl zelenavý pruh světla a ozářil Ivanova nočního hosta, který si říkal Mistr."
"wearing","wear","Měl","mít","impf"," He was wearing his hospital clothes - dressing-gown, slippers and the black cap from which he was never parted."," Měl na sobě nemocniční úbor - župan, trepky a černou čepičku, se kterou se nedokázal rozloučit."
"asked","ask","zeptal","zeptat","pf"," ' Oh, I just pressed it by mistake, without thinking, ' mumbled Rimsky, pulling back his hand and asked in a shaky voice :"," "" Ze zvyku, "" hájil se přidušeně ředitel, odtáhl ruku a zeptal se na oplátku nejistě :"
"hit","hit","uhodil","uhodit","pf"," ' The car braked suddenly and I hit myself on the door-handle, ' replied Varenukha, averting his eyes."," "" Vůz nadskočil na nějakém hrbolu a já se uhodil o kliku dveří, "" objasňoval Varenucha a uhnul očima."
"lying","lie","Lže","lhát","impf"," ' He 's lying! ' said Rimsky to himself."," Lže! blesklo hlavou řediteli."
"gaped","gape","zíral","zírat","impf"," Suddenly his eyes gaped with utter horror and he pressed himself against the back of his chair."," Vtom vykulil oči a divoce zíral na opěradlo křesla."
"missed","miss","minula","minout","pf"," The net whistled across the room but the man missed his target and only caught the crystal jug, which broke with a loud crash."," Vzduchem se mihla síť, rozestřela se, ale k všeobecnému údivu minula cíl a shodila pouze džbán, který zazvonil o podlahu."
"took","take","Namířil","namířit","pf"," In a flash it took aim at the nearest man, but the detective beat the cat to the draw and fired first."," Namířil na nejbližšího muže, ale než stačil vypálit, v mužových rukou vyšlehl plamínek a zahřměl výstřel z pistole."
"fired","fire","vypálit","vypálit","pf"," In a flash it took aim at the nearest man, but the detective beat the cat to the draw and fired first."," Namířil na nejbližšího muže, ale než stačil vypálit, v mužových rukou vyšlehl plamínek a zahřměl výstřel z pistole."
"thought","think","má","mít","impf"," ' He 's not just here on a visit, he has been sent here for a purpose, ' thought the master."," Ten nepřišel jen tak na návštěvu, určitě má nějaké poslání, napadlo Mistra."
"said","say","prohlásil","prohlásit","pf"," After his third glass of brandy, which had no apparent effect on him, Azazello said :"," Azazelo po třetím kalíšku prohlásil :"
"invited","invite","pozvána","pozvat","pf"," ' I am so happy, your majesty, to be invited to the great ball of the full moon. '"," "" Je mi ctí, královno, že jsem byla pozvána na slavnostní ples na počest novoluní! """
"answered","answer","odpověděla","odpovědět","pf"," ' And I am delighted to see you, ' Margarita answered her, ' quite delighted."," "" Těší mě, že vás poznávám, "" odpověděla Markétka."
"pressed","press","Stiskl","stisknout","pf"," Ivan pressed the button at the word ' NURSE '."," Stiskl podruhé tlačítko na slově Ošetřovatelka."
"convince","convince","přesvědčil","přesvědčit","pf"," Ivan shook his head to convince himself that it was not aching and remembered that he was in a hospital."," Pohodil hlavou, přesvědčil se, že nebolí, a vtom si uvědomil, že je v ústavu."
"aching","ache","nebolí","bolet","impf"," Ivan shook his head to convince himself that it was not aching and remembered that he was in a hospital."," Pohodil hlavou, přesvědčil se, že nebolí, a vtom si uvědomil, že je v ústavu."
"think","think","uvažovat","uvažovat","impf"," After his long sleep Ivan Nikolayich felt calmer and able to think more clearly."," Vyspalý básník se uklidnil a začal střízlivěji uvažovat."
"showing","show","Ukázal","ukázat","pf"," ' Would you mind showing me the contract? ' asked Stepa gently."," "" Ukázal byste mi laskavě smlouvu? "" požádal sklesle."
"asked","ask","požádal","požádat","pf"," ' Would you mind showing me the contract? ' asked Stepa gently."," "" Ukázal byste mi laskavě smlouvu? "" požádal sklesle."
"looked","look","nahlédl","nahlédnout","pf"," Stepa looked at the sheet of paper and went numb."," Lotrov nahlédl do papíru a ztuhl."
"looked","look","podívala","podívat","pf"," After several rubs Margarita looked into the mirror and dropped the box right on to the watch-glass, which shivered into a web of fine cracks."," Když se po několika tazích podívala do zrcadla, upustila krabičku rovnou na hodinky, až se po skle rozlezly praskliny."
"dropped","drop","upustila","upustit","pf"," After several rubs Margarita looked into the mirror and dropped the box right on to the watch-glass, which shivered into a web of fine cracks."," Když se po několika tazích podívala do zrcadla, upustila krabičku rovnou na hodinky, až se po skle rozlezly praskliny."
"shut","shut","Zavřela","zavřít","pf"," Margarita shut her eyes, then looked again and burst into hoots of laughter."," Zavřela oči, potom na sebe znovu zamžourala do zrcadla a uličnicky se rozesmála."
"invited","invite","Pozval","pozvat","pf"," He invited me to his home in the Lower City and gave me supper ... '"," Pozval mě do svého domu v Dolním Městě a hostil mě ... """
"asked","ask","otázal","otázat","pf"," ' Is he a good man? ' asked Pilate, a diabolical glitter in his eyes."," "" Také dobrý člověk? "" otázal se Pilát a v očích mu zaplály ďábelské ohníčky."
"affirmed","affirm","potvrdil","potvrdit","pf"," ' A very good man and eager to learn, ' affirmed the prisoner."," "" Tuze dobrý a zvídavý člověk, "" potvrdil Ješua."
"started","start","začínala","začínat","impf"," At the head of the longest queue, which started downstairs at the porter 's desk, was a door under constant siege labelled ' Housing Problem '."," Když jste se prodrali dlouhatánským hadem fronty, která začínala už dole ve vrátnici, mohli jste zahlédnout na dveřích, kam se nepřetržitě dobývali žadatelé, tabulku s nápisem Bytová otázka."
"rode","ride","jel","jet","impf"," Past the housing problem hung a gorgeous poster showing a cliff, along whose summit rode a man on a chestnut horse with a rifle slung over his shoulder."," Za Bytovou otázkou vykukoval přepychový plakát s vyobrazenou skálou a po jejím hřebenu jel jezdec v pláštěnce, s puškou přes rameno."
"covering","cover","zakryl","zakrýt","pf"," With a sigh of relief Azazello leaned against the back of the bench, covering up the name ' Manya ' carved deep into its wood, and said ironically :"," Azazelo si ulehčeně odfrkl, zvrátil se na opěradlo lavičky, takže zakryl velký vyřezávaný nápis Ňura, a prohlásil ironicky :"
"said","say","prohlásil","prohlásit","pf"," With a sigh of relief Azazello leaned against the back of the bench, covering up the name ' Manya ' carved deep into its wood, and said ironically :"," Azazelo si ulehčeně odfrkl, zvrátil se na opěradlo lavičky, takže zakryl velký vyřezávaný nápis Ňura, a prohlásil ironicky :"
"stuck","stick","Strčil","strčit","pf"," He stuck his hands into his pockets and stretched his feet out far in front of him."," Strčil ruce do kapes a natáhl nohy."
"stretched","stretch","natáhl","natáhnout","pf"," He stuck his hands into his pockets and stretched his feet out far in front of him."," Strčil ruce do kapes a natáhl nohy."
"Stop","stop","Přestaňte","přestat","pf"," ' Stop mystifying me and talking in riddles."," "" Přestaňte mě mystifikovat a trápit hádankami."
"tied","tie","svázali","svázat","pf"," ' After that some men came running in, tied me up and took me to prison. '"," "" Zničehonic vběhli dovnitř pochopové, svázali mě a odvedli do vězení. """
"miss","miss","nevynechat","vynechat","pf"," The secretary, straining not to miss a word, rapidly scribbled the statement on his parchment."," Tajemník spěšně zapisoval a snažil se nevynechat ani slovo."
"did","do","Vykonal","vykonat","pf"," You did all you could and no one in the world, ' - the Procurator smiled - ' could possibly have done more."," Vykonal jsi vše, co bylo v tvých silách, a nikdo na světě, "" při těch slovech se prokurátor usmál, "" by nedokázal víc!"
"done","do","Vykonal","vykonat","pf"," You did all you could and no one in the world, ' - the Procurator smiled - ' could possibly have done more."," Vykonal jsi vše, co bylo v tvých silách, a nikdo na světě, "" při těch slovech se prokurátor usmál, "" by nedokázal víc!"
"smiled","smile","usmál","usmát","pf"," You did all you could and no one in the world, ' - the Procurator smiled - ' could possibly have done more."," Vykonal jsi vše, co bylo v tvých silách, a nikdo na světě, "" při těch slovech se prokurátor usmál, "" by nedokázal víc!"
"lost","lose","ztratili","ztratit","pf"," Reprimand the men who lost Judas."," Potrestej špehy, kteří ztratili Jidášovu stopu."
"wish","wish","nechtěl","chtít","impf"," But let me warn you that I do not wish your reprimand to be a severe one."," Ale ani v tomto případě, upozorňuji, bych nechtěl, aby trest byl příliš přísný."
"did","do","učinili","učinit","pf"," After all, we did our best to protect the scoundrel."," Koneckonců učinili jsme všecko, abychom toho nízkého člověka zachránili!"
"forgot","forget","zapomněl","zapomenout","pf"," Oh yes - I forgot to ask ' - the Procurator wiped his forehead - ' how did they manage to return the money to Caiaphas? '"," Ach ano, málem bych zapomněl, "" a Pilát si přejel rukou čelo, "" jak dokázali propašovat peníze do Kaifášova paláce? """
"asked","ask","zeptal","zeptat","pf"," ' How ... how long did you say you 'd been in Moscow? ' he asked in a shaky voice."," "" Vy ... vy ... jak dlouho jste v Moskvě? "" zeptal se nakonec přiškrceně."
"arrived","arrive","přijel","přijet","pf"," ' I have just this minute arrived in Moscow, ' replied the professor, slightly disconcerted."," "" Před chvílí jsem přijel, "" vysvětloval roztržitě profesor."
"explains","explain","vysvětlilo","vysvětlit","pf"," ' That explains it all, ' thought Berlioz perplexedly."," Konečně se všecko vysvětlilo! pomyslel si zmateně Berlioz."
"thought","think","pomyslel","pomyslet","pf"," ' That explains it all, ' thought Berlioz perplexedly."," Konečně se všecko vysvětlilo! pomyslel si zmateně Berlioz."
"moved","move","dojat","dojmout","pf"," Berlioz 's uncle was genuinely moved by the stranger 's behaviour."," Berliozův strýc byl dojat jeho upřímnou lítostí."
"feeling","feel","cítil","cítit","impf"," ' There - and they say people have no feelings nowadays! ' he thought, feeling his own eyes beginning to prick."," Vida, a pak že se v dnešní době nenajdou lidé se srdcem na dlani! napadlo ho a cítil, že ho taky začínají pálit oči."
"beginning","begin","začínají","začínat","impf"," ' There - and they say people have no feelings nowadays! ' he thought, feeling his own eyes beginning to prick."," Vida, a pak že se v dnešní době nenajdou lidé se srdcem na dlani! napadlo ho a cítil, že ho taky začínají pálit oči."
"grasp","grasp","pochopila","pochopit","pf"," For a moment Margarita did not grasp the implication of this, then she exclaimed in amazement :"," Markétě chvíli trvalo, než pochopila, a pak překvapeně vyjekla :"
"see","see","vidět","vidět","impf"," ' But they 're inside the body - you ca n't see them! '"," "" Ale vždyť přece do srdce není vidět! """
"like","like","Chci","chtít","impf"," ' But, ' said the hegemon, ' if you are offered promotion and transfer to another post, I should like to ask you to refuse it and stay here."," "" Chci tě požádat, "" pokračoval správce Judeje, "" abys v případě, že ti navrhnou přeložení na jiné místo ve vyšší funkci, odmítl a setrval zde."
"ask","ask","požádat","požádat","pf"," ' But, ' said the hegemon, ' if you are offered promotion and transfer to another post, I should like to ask you to refuse it and stay here."," "" Chci tě požádat, "" pokračoval správce Judeje, "" abys v případě, že ti navrhnou přeložení na jiné místo ve vyšší funkci, odmítl a setrval zde."
"refuse","refuse","odmítl","odmítnout","pf"," ' But, ' said the hegemon, ' if you are offered promotion and transfer to another post, I should like to ask you to refuse it and stay here."," "" Chci tě požádat, "" pokračoval správce Judeje, "" abys v případě, že ti navrhnou přeložení na jiné místo ve vyšší funkci, odmítl a setrval zde."
"stay","stay","setrval","setrvat","pf"," ' But, ' said the hegemon, ' if you are offered promotion and transfer to another post, I should like to ask you to refuse it and stay here."," "" Chci tě požádat, "" pokračoval správce Judeje, "" abys v případě, že ti navrhnou přeložení na jiné místo ve vyšší funkci, odmítl a setrval zde."
"rewarded","reward","odmění","odměnit","pf"," I shall see to it that you are rewarded in other ways. '"," Ať tě odmění jinak. """
"serve","serve","sloužit","sloužit","impf"," ' I am happy to serve under you, hegemon. '"," "" Jsem šťasten, že mohu sloužit vladaři. """
"entered","enter","vstoupil","vstoupit","pf"," The case dragged on in this way until midnight on Friday, when Baron Maigel, wearing evening dress and patent-leather pumps, entered flat No. 50 as a guest."," To pokračovalo až do půlnoci z pátku na sobotu, kdy baron Maigel ve fraku a lakýrkách slavnostně vstoupil do bytu coby host."
"heard","hear","slyšet","slyšet","impf"," He was heard being let in."," Bylo slyšet, jak mu kdosi otevřel."
"inherited","inherit","zdědil","zdědit","pf"," In short he had to make sure, at no matter what cost, that he inherited his nephew 's flat in Sadovaya Street."," Zkrátka a dobře, přes všechny obtíže hodlal Maxmilián Andrejevič dosáhnout toho, aby byt po synovci v Sadové zdědil on."
"poisoned","poison","otrávila","otrávit","pf"," ' Madame la marquise, ' murmured Koroviev, ' poisoned her father, her two brothers and two sisters for the sake of an inheritance ..."," "" Tahle markýza, "" mlel Korovjev, "" otrávila vlastního otce a dvě sestry kvůli dědictví ..."
"tilting","tilt","naklánět","naklánět","impf"," It seemed to Rimsky that the light of the desk-lamp was going out and that the desk itself was tilting."," Měl pocit, že světlo stolní lampy slábne a psací stůl se začíná naklánět."
"fall","fall","neupadl","upadnout","pf"," A wave of icy cold washed over him, but luckily for him he fought it off and did not fall."," Zalil ho ledový pot, ale naštěstí se ovládl natolik, že neupadl."
"turned","turn","Otočila","otočit","pf"," Her key turned in the door, her nose poked through and was followed by Anna herself, who slammed the door behind her."," Otočila klíčem v zámku a nejprve vystrčila nos a pak se protáhla dveřmi a ty za ní zaklaply."
"crashed","crash","vrazil","vrazit","pf"," She was just about to set off on some errand when the door banged on the upstairs landing, a man came bounding downstairs, crashed into Anna and knocked her sideways so hard that she hit the back of her head against the wall."," Právě když se chystala seběhnout ze schodů, o patro výš bouchly dveře, kdosi pádil po schodech, vrazil do ní, až odletěla stranou a uhodila se do hlavy o stěnu."
"knocked","knock","vrazil","vrazit","pf"," She was just about to set off on some errand when the door banged on the upstairs landing, a man came bounding downstairs, crashed into Anna and knocked her sideways so hard that she hit the back of her head against the wall."," Právě když se chystala seběhnout ze schodů, o patro výš bouchly dveře, kdosi pádil po schodech, vrazil do ní, až odletěla stranou a uhodila se do hlavy o stěnu."
"banged","bang","uhodila","uhodit","pf"," She was just about to set off on some errand when the door banged on the upstairs landing, a man came bounding downstairs, crashed into Anna and knocked her sideways so hard that she hit the back of her head against the wall."," Právě když se chystala seběhnout ze schodů, o patro výš bouchly dveře, kdosi pádil po schodech, vrazil do ní, až odletěla stranou a uhodila se do hlavy o stěnu."
"knocked","knock","uhodila","uhodit","pf"," She was just about to set off on some errand when the door banged on the upstairs landing, a man came bounding downstairs, crashed into Anna and knocked her sideways so hard that she hit the back of her head against the wall."," Právě když se chystala seběhnout ze schodů, o patro výš bouchly dveře, kdosi pádil po schodech, vrazil do ní, až odletěla stranou a uhodila se do hlavy o stěnu."
"hit","hit","uhodila","uhodit","pf"," She was just about to set off on some errand when the door banged on the upstairs landing, a man came bounding downstairs, crashed into Anna and knocked her sideways so hard that she hit the back of her head against the wall."," Právě když se chystala seběhnout ze schodů, o patro výš bouchly dveře, kdosi pádil po schodech, vrazil do ní, až odletěla stranou a uhodila se do hlavy o stěnu."
"replying","reply","odpověděl","odpovědět","pf"," The professor 's offer pleased him a great deal, but before replying he thought hard, frowning, until at last he announced firmly :"," Profesorův návrh se mu hned zalíbil, ale dřív než odpověděl, svraštil čelo, dlouze přemítal a nakonec prohlásil sebejistě :"
"announced","announce","prohlásil","prohlásit","pf"," The professor 's offer pleased him a great deal, but before replying he thought hard, frowning, until at last he announced firmly :"," Profesorův návrh se mu hned zalíbil, ale dřív než odpověděl, svraštil čelo, dlouze přemítal a nakonec prohlásil sebejistě :"
"opened","open","otevřel","otevřít","pf"," He got up, opened the door and bellowed through it to the usher sitting outside on a stool :"," Vstal, otevřel dveře a vyštěkl na posílkářku, která seděla na stoličce v předpokoji :"
"sitting","sit","seděla","sedět","impf"," He got up, opened the door and bellowed through it to the usher sitting outside on a stool :"," Vstal, otevřel dveře a vyštěkl na posílkářku, která seděla na stoličce v předpokoji :"
"confess","confess","Přiznávám","přiznávat","impf"," ' I confess - I took the rest of the cream."," "" Přiznávám, vzala jsem ten krém!"
"took","take","vzala","vzít","pf"," ' I confess - I took the rest of the cream."," "" Přiznávám, vzala jsem ten krém!"
"fly","fly","létat","létat","impf"," Why should n't I fly away and live, too?"," Člověk chce taky žít a létat!"
"holding","hold","měl","mít","impf"," While he was still holding the receiver in his hand and wondering where to ring next, the same woman came in again and handed Varenukha a new envelope."," V okamžiku, kdy Varenucha se sluchátkem v ruce koumal, kam by měl ještě zavolat, vešla listonoška, která doručila první telegram, a podala mu nový."
"ring","ring","zavolat","zavolat","pf"," While he was still holding the receiver in his hand and wondering where to ring next, the same woman came in again and handed Varenukha a new envelope."," V okamžiku, kdy Varenucha se sluchátkem v ruce koumal, kam by měl ještě zavolat, vešla listonoška, která doručila první telegram, a podala mu nový."
"handed","hand","podala","podat","pf"," While he was still holding the receiver in his hand and wondering where to ring next, the same woman came in again and handed Varenukha a new envelope."," V okamžiku, kdy Varenucha se sluchátkem v ruce koumal, kam by měl ještě zavolat, vešla listonoška, která doručila první telegram, a podala mu nový."
"replied","reply","odpověděl","odpovědět","pf"," ' Not only will he not be pleased, ' replied the visitor with a smile, ' but I think, Procurator, that it will create a major scandal. '"," "" Nejenže zaplesá, "" odpověděl s pousmáním host, "" ale soudím, že to vyvolá velké pobouření. """
"think","think","soudím","soudit","impf"," ' Not only will he not be pleased, ' replied the visitor with a smile, ' but I think, Procurator, that it will create a major scandal. '"," "" Nejenže zaplesá, "" odpověděl s pousmáním host, "" ale soudím, že to vyvolá velké pobouření. """
"create","create","vyvolá","vyvolat","pf"," ' Not only will he not be pleased, ' replied the visitor with a smile, ' but I think, Procurator, that it will create a major scandal. '"," "" Nejenže zaplesá, "" odpověděl s pousmáním host, "" ale soudím, že to vyvolá velké pobouření. """
"asking","ask","žádám","žádat","impf"," That is why I am asking you to look after the affair and take all possible steps to protect Judas of Karioth. '"," Proto si žádám, abys zasáhl a učinil všecka opatření na ochranu Jidáše Iškariotského. """
