"saw","see","spatří","spatřit","pf"," What would the Hermians do, when they saw him?"," Co Merkuřané podniknou, až ho spatří?"
"manage","manage","dosáhnout","dosáhnout","pf"," A tenth of a gee was the most that it could manage."," Jedna desetina g byl strop, kterého mohla dosáhnout."
"checked","check","Zkontroloval","zkontrolovat","pf"," He checked the grapples attaching the scooter to the bomb framework, and re-checked the safety line on his own suit."," Zkontroloval příchytky přidržující skútr ke kostře rakety a ještě jednou také záchranné lano na svém skafandru."
"mean","mean","Znamenal","znamenat","impf"," Did this manoeuvre mean that the Hermians were going to explode the bomb without warning, giving Endeavour no chance to escape?"," Znamenal tenhle manévr, že Merkuřané odpálí hlavici bez varování a nedají Endeavour vůbec žádnou možnost uniknout?"
"giving","give","nedají","dát","pf"," Did this manoeuvre mean that the Hermians were going to explode the bomb without warning, giving Endeavour no chance to escape?"," Znamenal tenhle manévr, že Merkuřané odpálí hlavici bez varování a nedají Endeavour vůbec žádnou možnost uniknout?"
"escape","escape","uniknout","uniknout","pf"," Did this manoeuvre mean that the Hermians were going to explode the bomb without warning, giving Endeavour no chance to escape?"," Znamenal tenhle manévr, že Merkuřané odpálí hlavici bez varování a nedají Endeavour vůbec žádnou možnost uniknout?"
"appeared","appear","zdálo","zdát","impf"," Rama was far ahead on its closer, swifter orbit, and already appeared well inside the outermost fringes of the corona."," Ráma byl na své nižší, rychlejší oběžné dráze daleko napřed a už se zdálo, že pronikl kus dovnitř za vnější okraj sluneční korony."
"started","start","začal","začít","pf"," Then, five million kilometres from the sun, and still accelerating, Rama started to spin its cocoon."," Potom, pět miliónů kilometrů od slunce, když ještě pořád nabíral rychlost, začal si Ráma spřádat okolo sebe kokon."
"arrived","arrive","dorazilo","dorazit","pf"," by the time he had counted ten, the first crackling rumble arrived."," dřív než napočítal do deseti, dorazilo k němu první třaskavé zarachocení."
"saw","see","spatřil","spatřit","pf"," He looked towards them and saw that every one of the six needles seemed to be on fire."," Ohlédl se k nim a spatřil, že každá ze šesti jehel vypadá jako v ohni."
"dancing","dance","tančily","tančit","impf"," Brush discharges, hundreds of metres long, were dancing from their points, as if they were giant lightning conductors."," Chomáče výbojů, dlouhé stovky metrů, tančily na jejich hrotech, jako by to byly gigantické hromosvody."
"reported","report","hlásil","hlásit","impf"," the bridge reported that Rama was still swinging with imperceptible slowness, like a compass needle responding to a weak magnetic field."," můstek hlásil, že se Ráma neustále nepostřehnutelně pomalu natáčí jako ručička kompasu reagující na slabé magnetické pole."
"stopped","stop","přestal","přestat","pf"," This was perhaps reassuring; it was when Rama stopped its swing that Norton would really begin to worry."," To však bylo spíš uklidňující, Nortona by přepadly opravdovské starosti až tehdy, kdyby se Ráma otáčet přestal."
"reported","report","hlásil","hlásit","impf"," All the biots had gone, so Pieter reported."," Všichni bioti už zmizeli, hlásil Pieter."
"aim","aim","zaměřte","zaměřit","pf"," ' Hub Control, ' Dr Ernst radioed, ' please aim your beam at New York. '"," "" Řídící středisko Střed, "" volala rádiem Ernstová, "" zaměřte prosím paprsek na New York. """
"sliding","slide","sklouzl","sklouznout","pf"," The night of Rama fell suddenly upon them, as the oval of light went sliding out to sea."," Když světelný ovál sklouzl do moře, padla na ně náhle Rámova noc."
"possessed","possess","měla","mít","impf"," this star-born echo of Earth 's past possessed its own unique identity."," kdesi ve hvězdách zrozená ozvěna pozemské minulosti měla vlastní jedinečnou tvářnost."
"hide","hide","neskrývalo","skrývat","impf"," Here, the curve of the world did not hide - it revealed."," Tady zakřivení planety věci neskrývalo - naopak odhalovalo."
"revealed","reveal","odhalovalo","odhalovat","impf"," Here, the curve of the world did not hide - it revealed."," Tady zakřivení planety věci neskrývalo - naopak odhalovalo."
"seemed","seem","zdála","zdát","impf"," up there in the land which seemed to rise before him was a half-kilometre-wide pit."," tam nahoře na pláni, která se zdála před ním stoupat, byla půl kilometru široká jáma."
"rise","rise","stoupat","stoupat","impf"," up there in the land which seemed to rise before him was a half-kilometre-wide pit."," tam nahoře na pláni, která se zdála před ním stoupat, byla půl kilometru široká jáma."
"see","see","spatřit","spatřit","pf"," from the Hub, it had been impossible to see how deep they were."," ze Středu se nedalo spatřit, jak jsou hluboké."
"approaching","approach","blížil","blížit","impf"," All had been named after prominent lunar craters, and he was approaching Copernicus."," Všechny nesly pojmenování po význačných měsíčních kráterech a Jimmy se blížil ke Koperníku."
"assume","assume","předpokládat","předpokládat","impf"," There might be no clanging alarm bells and screaming sirens, but it was reasonable to assume that Rama would have some kind of warning system."," Možná že tady nebyly žádné drnčící poplašné zvonky a ječící sirény, bylo však rozumné předpokládat, že i Ráma bude mít nějaký druh bezpečnostního zařízení."
"turn","turn","otočí","otočit","pf"," ' Those without goggles, turn your backs, ' ordered Sergeant Myron."," "" Ti bez ochranných filtrů se otočí zády, "" poručil seržant Myron."
"ordered","order","poručil","poručit","pf"," ' Those without goggles, turn your backs, ' ordered Sergeant Myron."," "" Ti bez ochranných filtrů se otočí zády, "" poručil seržant Myron."
"help","help","nepomohlo","pomoci","pf"," Even shaving off that moustache did n't help. '"," Dokonce i kdyby si oholil ten knír, nic by mu to nepomohlo. """
"wants","want","Chce","chtít","impf"," ' She wants to go herself. '"," "" Chce jít sama. """
"go","go","jít","jít","impf"," ' She wants to go herself. '"," "" Chce jít sama. """
"come","come","vzniklo","vzniknout","pf"," And like most of the important things in life, it had come about quite by accident."," A podobně jako většina důležitých věcí v životě, i tohle vzniklo čirou náhodou."
"realized","realize","uvědomil","uvědomit","pf"," He had been captain of Endeavour for several months before he realized that it was named after one of the most famous ships in history."," Už byl několik měsíců kapitánem Endeavour, když si uvědomil, že je pojmenována po jedné z nejvěhlasnějších lodí v dějinách."
"named","name","pojmenována","pojmenovat","pf"," He had been captain of Endeavour for several months before he realized that it was named after one of the most famous ships in history."," Už byl několik měsíců kapitánem Endeavour, když si uvědomil, že je pojmenována po jedné z nejvěhlasnějších lodí v dějinách."
"listen","listen","naslouchat","naslouchat","impf"," This was no place, among the overwhelming architecture of the South Pole, for a lone man to listen to the voice of Rama."," Tady uprostřed ohromující architektury Jižního pólu nebylo to pravé místo, kde by osamělý člověk mohl naslouchat Rámovu hlasu."
"turned","turn","obrátil","obrátit","pf"," As Jimmy turned homewards, the northern end of Rama seemed incredibly far away."," Když Jimmy obrátil směrem k domovu, připadal mu severní konec Rámy neuvěřitelně daleko."
"swallow","swallow","pohltila","pohltit","pf"," The band of the Cylindrical Sea was a wide and menacing barrier, waiting to swallow him up if, like Icarus, his fragile wings should fail."," Stuha Válcového moře byla široká a hrozivá překážka, vyčkávající, aby jej pohltila, kdyby mu stejně jako Ikarovi selhala jeho křehká křídla."
"fail","fail","selhala","selhat","pf"," The band of the Cylindrical Sea was a wide and menacing barrier, waiting to swallow him up if, like Icarus, his fragile wings should fail."," Stuha Válcového moře byla široká a hrozivá překážka, vyčkávající, aby jej pohltila, kdyby mu stejně jako Ikarovi selhala jeho křehká křídla."
"see","see","Nevidím","vidět","impf"," I do n't see how it could hurt us, though those whips might be unpleasant - and they could be poisonous, like a coelenterate 's."," Nevidím, čím by nás mohl ohrozit, ačkoli ty biče budou možná nepříjemné - a mohly by být jedovaté, jako u pozemských žahavců."
"Sit","sit","seď","sedět","impf"," Sit tight and see what it does. '"," Tiše seď a dívej se, co to bude dělat. """
"does","do","dělat","dělat","impf"," Sit tight and see what it does. '"," Tiše seď a dívej se, co to bude dělat. """
"understand","understand","pochopili","pochopit","pf"," After regarding them impassively for several minutes, the creature suddenly moved - and now they could understand why they had failed to observe its arrival."," Poté, co si je tvor po několik minut lhostejně prohlížel, dal se náhle do pohybu - a nyní pochopili, jak to, že propásli jeho příchod."
"following","follow","sledovat","sledovat","impf"," It was fast, and it covered the ground with such an extraordinary spinning motion that the human eye and mind had real difficulty in following it."," Byl rychlý a vykresloval na zemi tak podivuhodný krouživý pohyb, že lidské oko a mozek mělo co dělat, aby ho vůbec stačilo sledovat."
"want","want","nechtěli","chtít","impf"," ' Sorry about that, Jimmy - but we did n't want you to have too many things to worry about. '"," "" Promiň nám to, Jimmy - ale nechtěli jsme, aby sis lámal hlavu s příliš mnoha záležitostmi. """
"sounded","sound","znělo","znít","impf"," Now that sounded ominous;"," Tohle tedy znělo zlověstně;"
"spoke","speak","hovoří","hovořit","impf"," Jimmy had almost a bird's-eye view of the Commander as he spoke into his microphone."," Jimmy viděl kapitána Nortona téměř z ptačí perspektivy, jak hovoří do mikrofonu."
"require","require","vyžadovat","vyžadovat","impf"," You 'll be perfectly safe, but it will require nerve."," Je to naprosto bezpečné, ale bude to vyžadovat pevné nervy."
"jump","jump","Skočíš","skočit","pf"," You 're going to jump. '"," Skočíš dolů. """
"travelling","travel","cestuje","cestovat","impf"," Exactly how long has Rama been travelling through space? '"," Jak přesně dlouho cestuje Ráma vesmírem?"
"expected","expect","Očekávali","očekávat","impf"," We expected that it would be coming from the direction of a near-by star - but that is n't the case at all. '"," Očekávali jsme, že přiletí ve směru od nejbližší hvězdy - jenže v tomhle případě to je úplně jinak."
"coming","come","přiletí","přiletět","pf"," We expected that it would be coming from the direction of a near-by star - but that is n't the case at all. '"," Očekávali jsme, že přiletí ve směru od nejbližší hvězdy - jenže v tomhle případě to je úplně jinak."
"found","find","nenašli","najít","pf"," If it does have onboard propulsion, we 've found no trace of it."," Pokud má na palubě vlastní pohonnou jednotku, nenašli jsme po ní ani stopy."
"hidden","hide","ukryty","ukrýt","pf"," ' They could be hidden. '"," "" Mohly by být ukryty. """
"checked","check","ověřili","ověřit","pf"," The main hull is solid - we 've checked that with seismic surveys."," Trup lodi je jednolitý - ověřili jsme si to pomocí seizmických průzkumů."
"seemed","seem","zdálo","zdát","impf"," This seemed obvious in retrospect, but the Space Age had been almost a century old before the fact was realized."," Retrospektivně se to zdálo naprosto jasné, avšak uplynulo téměř sto let kosmického věku, než si to lidé uvědomili."
"realized","realize","uvědomili","uvědomit","pf"," This seemed obvious in retrospect, but the Space Age had been almost a century old before the fact was realized."," Retrospektivně se to zdálo naprosto jasné, avšak uplynulo téměř sto let kosmického věku, než si to lidé uvědomili."
"forget","forget","zapomínal","zapomínat","impf"," Now the Hermians never let anyone forget it."," Nyní už Merkuřané nedopustili, aby na to někdo zapomínal."
"contained","contain","obsahuje","obsahovat","impf"," Long before men reached the planet, Mercury 's abnormal density hinted at the heavy elements it contained;"," Dávno předtím, než člověk na této planetě přistál, Merkurova abnormální specifická hmotnost naznačovala, že obsahuje těžké prvky;"
"exhausted","exhaust","vyčerpají","vyčerpat","pf"," even so, its wealth was still a source of astonishment, and had postponed for a thousand years any fears that the key metals of human civilization would be exhausted."," jeho bohatství však bylo zdrojem údivu i dnes a o tisíce roků odsouvalo jakékoli obavy, že se vyčerpají klíčové kovy pro lidskou civilizaci."
"gather","gather","shromáždit","shromáždit","pf"," before it vanished for ever, the orbiting observatories would be able to gather more precise information about its shape and size."," než se ztratí navždycky, orbitální observatoře budou moci shromáždit přesnější informace o jeho tvaru a velikosti."
"get","get","dostane","dostat","pf"," There was plenty of time, and perhaps during the next few years some spaceship on its ordinary business might be routed close enough to get good photographs."," Ještě na to zbývala spousta času a možná, že se nějaká loď při plnění svých běžných úkolů dostane k němu natolik blízko, že pořídí pěkné fotografie."
"looking","look","očekávali","očekávat","impf"," All his men were safe, and were looking to him for leadership."," Všichni jeho muži byli živi a zdrávi a očekávali od něho, že je povede."
"Keep","keep","Držte","držet","impf"," ' Keep your eyes closed until you 're quite sure you can take it, ' he called."," "" Držte oči zavřené tak dlouho, dokud si nebudete naprosto jistí, že to snesete, "" říkal hlasitě."
"take","take","snesete","snést","pf"," ' Keep your eyes closed until you 're quite sure you can take it, ' he called."," "" Držte oči zavřené tak dlouho, dokud si nebudete naprosto jistí, že to snesete, "" říkal hlasitě."
"called","call","říkal","říkat","impf"," ' Keep your eyes closed until you 're quite sure you can take it, ' he called."," "" Držte oči zavřené tak dlouho, dokud si nebudete naprosto jistí, že to snesete, "" říkal hlasitě."
"encountered","encounter","setkal","setkat","pf"," He had encountered most of the problems that a commanding officer could encounter in this department - except the classical one o-f an unscheduled birth during a mission."," Už se setkal s většinou problémů, s nimiž se velící důstojník může ve svém oboru setkat - s výjimkou toho klasického, neplánovaného porodu během výpravy."
"encounter","encounter","setkal","setkat","pf"," He had encountered most of the problems that a commanding officer could encounter in this department - except the classical one o-f an unscheduled birth during a mission."," Už se setkal s většinou problémů, s nimiž se velící důstojník může ve svém oboru setkat - s výjimkou toho klasického, neplánovaného porodu během výpravy."
"encountered","encounter","setkat","setkat","pf"," He had encountered most of the problems that a commanding officer could encounter in this department - except the classical one o-f an unscheduled birth during a mission."," Už se setkal s většinou problémů, s nimiž se velící důstojník může ve svém oboru setkat - s výjimkou toho klasického, neplánovaného porodu během výpravy."
"encounter","encounter","setkat","setkat","pf"," He had encountered most of the problems that a commanding officer could encounter in this department - except the classical one o-f an unscheduled birth during a mission."," Už se setkal s většinou problémů, s nimiž se velící důstojník může ve svém oboru setkat - s výjimkou toho klasického, neplánovaného porodu během výpravy."
"reach","reach","dosáhnout","dosáhnout","pf"," I know how to reach the southern continent - even to the South Pole. '"," Vím, jak dosáhnout jižní kontinent - dokonce i Jižní pól. """
"listening","listen","Poslouchám","poslouchat","impf"," ' I 'm listening."," "" Poslouchám."
"propose","propose","navrhuješ","navrhovat","impf"," How do you propose to do it? '"," Jak navrhuješ, abychom to provedli? """
"do","do","provedli","provést","pf"," How do you propose to do it? '"," Jak navrhuješ, abychom to provedli? """
"do","do","provedli","provést","pf"," How do you propose to do it? '"," Jak navrhuješ, abychom to provedli? """
"calculate","calculate","vypočítat","vypočítat","pf"," ' Knowing the height of those cliffs, we can calculate the maximum acceleration Rama can take."," "" Jestliže známe výšku břehů, můžeme vypočítat, jaké maximální zrychlení je Ráma schopen vyvinout."
"need","need","nepotřebujete","potřebovat","impf"," And it 's all you need for astronomical manoeuvring. '"," A víc ani pro mezihvězdné manévrování nepotřebujete. """
"Thank","thank","Děkuji","děkovat","impf"," ' Thank you very much, Dr Perera, ' said the Hermian Ambassador."," "" Děkuji pěkně, dr. Perero, "" řekl velvyslanec z Merkura."
"said","say","řekl","říci","pf"," ' Thank you very much, Dr Perera, ' said the Hermian Ambassador."," "" Děkuji pěkně, dr. Perero, "" řekl velvyslanec z Merkura."
"taken","take","brát","brát","impf"," anything that upset Karl was to be taken very seriously indeed."," když něco vyvedlo z míry Karla, pak se to muselo brát doopravdy vážně."
"called","call","zavolal","zavolat","pf"," He unplugged the meter, used it to sample the Rama atmosphere again, then called Hub Control."," Odpojil měřič, znovu pomocí něho přezkoušel Rámovu atmosféru, potom zavolal řídící středisko na Středu :"
"gives","give","dá","dát","pf"," ' As soon as stores can be loaded aboard, and the Harbour Master gives us clearance. '"," "" Jakmile bude náklad uložen na palubu a velitel přístavu nám dá povolení! """
"leave","leave","Vyrazíte","vyrazit","pf"," ' Then we leave at dawn. '"," "" Vyrazíte tedy za úsvitu. """
"seem","seem","nezdá","zdát","impf"," Five kilometres of water does not seem very much on a map; it is very different when one is in the middle of it."," Pět kilometrů vody se na mapě ani nezdá být tolik, jenže je to dočista jiné, když se člověk nachází přímo uprostřed."
"came","come","přicházel","přicházet","impf"," It was not often that Captain Cook came to his aid when he was neglecting his duty."," Nestávalo se často, aby mu kapitán Cook přicházel na pomoc tehdy, když zanedbával službu."
"neglecting","neglect","zanedbával","zanedbávat","impf"," It was not often that Captain Cook came to his aid when he was neglecting his duty."," Nestávalo se často, aby mu kapitán Cook přicházel na pomoc tehdy, když zanedbával službu."
"outlived","outlive","přežila","přežít","pf"," Yet she had borne him six children - and outlived them all."," A přesto mu porodila šest dětí - a všechny je přežila."
"complain","complain","stěžovat","stěžovat","impf"," His wives, never more than ten minutes away at the speed of light, had nothing to complain about ..."," Jeho manželky, které od něho nikdy nebyly dál než deset minut rychlosti světla, si neměly nač stěžovat ..."
"sleep","sleep","nespalo","spát","impf"," During the first ' nights ' on Rama, it had not been easy to sleep."," Za prvních "" nocí "" se v Rámovi nespalo snadno."
"moving","move","pohybuješ","pohybovat","impf"," ' You can use the steps when you 're moving against gravity, but they 're just a nuisance in this direction."," "" Po schodech můžeš jít jenom tehdy, když se pohybuješ proti gravitaci, ale v našem směru je jenom na obtíž."
"think","think","myslím","myslet","impf"," It may not be dignified, but I think the best way down is to slide along the handrail. '"," Nebude to možná důstojné, ale myslím, že se nejlépe dostaneme dolů, když sklouzneme po zábradlí. """
"slide","slide","sklouzneme","sklouznout","pf"," It may not be dignified, but I think the best way down is to slide along the handrail. '"," Nebude to možná důstojné, ale myslím, že se nejlépe dostaneme dolů, když sklouzneme po zábradlí. """
"protested","protest","protestoval","protestovat","impf"," ' That 's ridiculous, ' protested Sergeant Myron."," "" To je směšné, "" protestoval seržant Myron."
"believe","believe","Nevěřím","věřit","impf"," ' I ca n't believe the Ramans did it this way. '"," "" Nevěřím, že to tak Rámané dělali. """
"did","do","dělali","dělat","impf"," ' I ca n't believe the Ramans did it this way. '"," "" Nevěřím, že to tak Rámané dělali. """
"doubt","doubt","Pochybuju","pochybovat","impf"," ' I doubt if they ever used this stairway - it 's obviously only for emergencies."," "" Pochybuju, že schodiště vůbec kdy použili - stojí zřejmě jenom pro případ nouze."
"used","use","použili","použít","pf"," ' I doubt if they ever used this stairway - it 's obviously only for emergencies."," "" Pochybuju, že schodiště vůbec kdy použili - stojí zřejmě jenom pro případ nouze."
"reported","report","hlásil","hlásit","impf"," ' Skipper, ' reported Mercer, ' there were no problems getting down the ladder."," "" Kapitáne, "" hlásil Mercer, "" se sestupem po žebříku jsme neměli žádné potíže."
"agree","agree","souhlasit","souhlasit","impf"," If you agree, I 'd like to continue towards the next platform."," Jestli budete souhlasit, rád bych pokračoval až na další plošinu."
"continue","continue","pokračoval","pokračovat","impf"," If you agree, I 'd like to continue towards the next platform."," Jestli budete souhlasit, rád bych pokračoval až na další plošinu."
"want","want","Chtěl","chtít","impf"," I want to time our rate of descent on the stairway. '"," Chtěl bych odhadnout rychlost našeho sestupu po schodišti. """
"replied","reply","odvětil","odvětit","pf"," Norton replied without hesitation."," Norton odvětil bez váhání."
"Go","go","Pokračuj","pokračovat","impf"," ' Go ahead. '"," "" Pokračuj. """
"take","take","netrvalo","trvat","impf"," It did not take Mercer long to make a fundamental discovery."," Mercerovi netrvalo dlouho, aby vyzkoumal to základní."
"seen","see","spatřit","spatřit","pf"," But to recognize a spot which no other human being can possibly have seen - that is quite shocking."," Jenže poznávat místo, které ještě žádná jiná lidská bytost nemohla spatřit - to je dost šokující."
"walking","walk","kráčel","kráčet","impf"," For several seconds, Commander Norton stood rooted to the smooth crystalline surface on which he had been walking, trying to straighten out his emotions."," Kapitán Norton na několik sekund vrostl do hladkého křišťálového povrchu, po němž kráčel, a pokusil se ovládnout své pocity."
"trying","try","pokusil","pokusit","pf"," For several seconds, Commander Norton stood rooted to the smooth crystalline surface on which he had been walking, trying to straighten out his emotions."," Kapitán Norton na několik sekund vrostl do hladkého křišťálového povrchu, po němž kráčel, a pokusil se ovládnout své pocity."
"produced","produce","vyvolala","vyvolat","pf"," Nothing whatsoever had happened when the expanding cloud of vapour arrived on target - and a matter-antimatter reaction involving even a few milligrams would have produced an awesome firework display."," Když rozpínající se mrak dospěl k cíli, nestalo se vůbec nic - zatímco reakce hmoty s antihmotou, i kdyby do ní vstoupilo jenom pár miligramů, by vyvolala úžasný ohňostroj."
"choosing","choose","vybíral","vybírat","impf"," He had looked long and hard at the northern face of Rama, choosing the point of touchdown."," Dlouho a pozorně si prohlížel severní stranu Rámy a vybíral si místo k přistání."
"want","want","Nechci","chtít","impf"," ' I do n't want to hurry you, ' said Norton 's persuasive voice from half a kilometre below."," "" Nechci na tebe spěchat, "" řekl Nortonův naléhavý hlas o půl kilometru níž."
"hurry","hurry","spěchat","spěchat","impf"," ' I do n't want to hurry you, ' said Norton 's persuasive voice from half a kilometre below."," "" Nechci na tebe spěchat, "" řekl Nortonův naléhavý hlas o půl kilometru níž."
"said","say","řekl","říci","pf"," ' I do n't want to hurry you, ' said Norton 's persuasive voice from half a kilometre below."," "" Nechci na tebe spěchat, "" řekl Nortonův naléhavý hlas o půl kilometru níž."
"looked","look","pohlédl","pohlédnout","pf"," Jimmy looked at his precious souvenir, the only flower in Rama."," Jimmy pohlédl na svůj drahocenný suvenýr, jedinou květinu na celém Rámovi."
"wrapped","wrap","zabalil","zabalit","pf"," He wrapped it very carefully in his grimy handkerchief, knotted the fabric, and tossed it over the edge of the cliff."," Velice pečlivě ji zabalil do svého špinavého kapesníku, látku zavázal na uzel a hodil ji přes okraj srázu."
"took","take","trval","trvat","impf"," It fluttered down with reassuring slowness, but it also took a very long time getting smaller, and smaller, and smaller, until he could no longer see it."," Snášela se dolů tak pomaloučku, že to dávalo odvahu, ale pád také trval velice dlouho, stávala se menší a menší a menší, až mu zmizela z dohledu."
"pretend","pretend","předstírat","předstírat","impf"," it was not too difficult to pretend that the ladder only extended just a few metres beyond their circle of light, and would soon come to an end."," nebylo zas tak obtížné předstírat si, že žebřík dosahuje právě jen pár metrů za okruh jejich světel a že mu bude už brzy konec."
"ended","end","končil","končit","impf"," Jump - catch a rung - jump - then, quite suddenly, the ladder really ended."," Skok - přidržet se příčle - skok - a pak náhle žebřík doopravdy končil."
"taken","take","netrval","trvat","impf"," The whole trip had taken under an hour, and they felt a sense of modest achievement."," Celý výlet netrval ani hodinu, a přesto v nich klíčil pocit, že vykonali něco hrdinského."
"feel","feel","cítili","cítit","impf"," But it was much too soon to feel pleased with themselves."," Bylo příliš brzy, aby se cítili spokojení sami se sebou."
"ignored","ignore","ignoroval","ignorovat","impf"," Her question was quickly answered; the spider ignored them completely, and headed up the gently sloping curve of the ramp without slackening its speed."," Na otázku dostala okamžitou odpověď : pavouk je naprosto ignoroval a aniž by zmírnil rychlost, zamířil vzhůru po mírně se zvedající křivce zábradlí."
"slackening","slacken","zmírnil","zmírnit","pf"," Her question was quickly answered; the spider ignored them completely, and headed up the gently sloping curve of the ramp without slackening its speed."," Na otázku dostala okamžitou odpověď : pavouk je naprosto ignoroval a aniž by zmírnil rychlost, zamířil vzhůru po mírně se zvedající křivce zábradlí."
"said","say","řekl","říci","pf"," ' Hub Control, ' said Norton."," "" Řídící středisko, "" řekl Norton."
"took","take","trvalo","trvat","impf"," It took a minute for the sarcasm to sink in;"," Chvilku trvalo, než se sarkastická slova vstřebala;"
"sounded","sound","zněl","znít","impf"," Admiral Hendrix sounded calm and matter-of-fact, as if he was issuing a routine fleet order, instead of handling a situation unique in the history of space."," Hlas admirála Hendrixe zněl klidně a věcně, jako by vydával běžný letový rozkaz, a neměl co dělat s naprosto výjimečnou situací za celou historii dobývání vesmíru."
"issuing","issue","vydával","vydávat","impf"," Admiral Hendrix sounded calm and matter-of-fact, as if he was issuing a routine fleet order, instead of handling a situation unique in the history of space."," Hlas admirála Hendrixe zněl klidně a věcně, jako by vydával běžný letový rozkaz, a neměl co dělat s naprosto výjimečnou situací za celou historii dobývání vesmíru."
"make","make","udělat","udělat","pf"," He was faced with the most difficult decision any commander had ever had to make;"," Stál tváří v tvář nejobtížnějšímu rozhodnutí, jaké musel kdy udělat kterýkoli ze všech kapitánů;"
"left","leave","odešel","odejít","pf"," When Rodrigo had left, he switched on the DO NOT DISTURB sign;"," Když Rodrigo odešel, rozsvítil si nápis NERUŠIT;"
"switched","switch","rozsvítil","rozsvítit","pf"," When Rodrigo had left, he switched on the DO NOT DISTURB sign;"," Když Rodrigo odešel, rozsvítil si nápis NERUŠIT;"
"showed","show","vykazovaly","vykazovat","impf"," All known asteroids, without exception, showed a slow variation in their brilliance, waxing and waning within a period of a few hours."," Všechny známé asteroidy bez výjimky vykazovaly mírné kolísání jasnosti, narůstající a klesající s periodou několika hodin."
"changing","change","měnily","měnit","impf"," It had been recognized for more than two centuries that this was an inevitable result of their spin, and their irregular shape. As they toppled end over end along their orbits the reflecting surfaces they presented to the sun were continually changing, and their brightness varied accordingly."," Už déle než dvě století se vědělo, že to je nevyhnutelný výsledek jejich rotace a nepravidelného tvaru, jak se během letu převracely kolem dokola, plochy nastavované Slunci se průběžně měnily a podle toho kolísala jasnost asteroidu."
"varied","vary","měnily","měnit","impf"," It had been recognized for more than two centuries that this was an inevitable result of their spin, and their irregular shape. As they toppled end over end along their orbits the reflecting surfaces they presented to the sun were continually changing, and their brightness varied accordingly."," Už déle než dvě století se vědělo, že to je nevyhnutelný výsledek jejich rotace a nepravidelného tvaru, jak se během letu převracely kolem dokola, plochy nastavované Slunci se průběžně měnily a podle toho kolísala jasnost asteroidu."
"varied","vary","kolísala","kolísat","impf"," It had been recognized for more than two centuries that this was an inevitable result of their spin, and their irregular shape. As they toppled end over end along their orbits the reflecting surfaces they presented to the sun were continually changing, and their brightness varied accordingly."," Už déle než dvě století se vědělo, že to je nevyhnutelný výsledek jejich rotace a nepravidelného tvaru, jak se během letu převracely kolem dokola, plochy nastavované Slunci se průběžně měnily a podle toho kolísala jasnost asteroidu."
"showed","show","nevykazoval","vykazovat","impf"," Rama showed no such changes."," Ráma takové změny nevykazoval."
"spinning","spin","neotáčel","otáčet","impf"," Either it was not spinning at all or it was perfectly symmetrical."," Buď se neotáčel vůbec, anebo byl dokonale symetrický."
"guessed","guess","odhadlo","odhadnout","pf"," as Hub Control had guessed, it was extremely localized."," jak řídící středisko odhadlo, soustřeďoval se hlavně do jedné oblasti."
"hear","hear","zaslechnout","zaslechnout","pf"," He paused for a moment at the last spot where he could hear it, like a faint throbbing deep in his brain."," Jimmy se na okamžik zastavil v posledním místě, kde se zvuk ještě dal zaslechnout jako nezřetelný tep hluboko v jeho mozku."
"listened","listen","naslouchal","naslouchat","impf"," So might a primitive savage have listened in awestruck ignorance to the low humming of a giant power transformer."," Právě tak by možná primitivní divoch v nevědomosti naslouchal, jat posvátnou hrůzou, hlubokému bzučení gigantického transformátoru."
"heard","hear","slyší","slyšet","impf"," And even the savage might have guessed that the sound he heard was merely the stray leakage from colossal energies, fully controlled, but biding their time ..."," A dokonce i divoch si mohl domyslet, že zvuk, který slyší, je jenom zbloudilý únik kolosální energie, dokonale ovládané a vyčkávající na svůj čas ..."
"meant","mean","znamenal","znamenat","impf"," Whatever this sound meant, Jimmy was glad to be clear of it."," Ať už ten zvuk znamenal cokoli, Jimmy byl rád, že se ho zbavil."
"find","find","najít","najít","pf"," That 's why the Ramans had to find a new one. '"," Proto si Rámané museli najít nové. """
"admired","admire","obdivoval","obdivovat","impf"," Dr Perera admired the old archaeologist, so he let her down lightly."," Dr. Perera starou archeoložku obdivoval, takže s ní zacházel shovívavě."
"say","say","řekla","říci","pf"," But what would she say, he wondered, if he started pointing out the instantly obvious in her own speciality ..."," Jenže byl by rád věděl, co by řekla ona, kdyby začal poukazovat na něco tak naprosto zřejmého v jejím vlastním oboru ..."
"started","start","začal","začít","pf"," But what would she say, he wondered, if he started pointing out the instantly obvious in her own speciality ..."," Jenže byl by rád věděl, co by řekla ona, kdyby začal poukazovat na něco tak naprosto zřejmého v jejím vlastním oboru ..."
"pointing","point","poukazovat","poukazovat","impf"," But what would she say, he wondered, if he started pointing out the instantly obvious in her own speciality ..."," Jenže byl by rád věděl, co by řekla ona, kdyby začal poukazovat na něco tak naprosto zřejmého v jejím vlastním oboru ..."
"consider","consider","Uvažovali","uvažovat","impf"," ' We did consider that, ' he said gently."," "" Uvažovali jsme o tom, "" řekl jemně."
"said","say","řekl","říci","pf"," ' We did consider that, ' he said gently."," "" Uvažovali jsme o tom, "" řekl jemně."
