"call","call","říká","říkat","impf"," At the moment she 's in my apartment in the neighborhood they call Little Berlin."," Je momentálně v mém bytě ve čtvrti, které se tu říká Malý Berlín."
"heard","hear","slyšel","slyšet","impf"," Instantly strong hands pulled him forward and from somewhere he heard Litera."," Hned nato ho silné ruce vlekly dopředu a odkudsi slyšel Literu."
"came","come","Přišel","přijít","pf"," He came to on wet sand originally covered by paving stones."," Přišel k sobě na promoklém písku, který původně zakrývaly dlažební kostky."
"Thank","thank","Děkuju","děkovat","impf"," - Thank you, Marleen, but I 'd better not complicate your life any further."," - Děkuju, Marleen, rozhodně vám nehodlám komplikovat život."
"complicate","complicate","komplikovat","komplikovat","impf"," - Thank you, Marleen, but I 'd better not complicate your life any further."," - Děkuju, Marleen, rozhodně vám nehodlám komplikovat život."
"explained","explain","vysvětlil","vysvětlit","pf"," Even though I explained that some idiot wrote my wife about her, and that I 'm looking for a solution."," Přitom jsem jí vysvětlil, že o ní nějaký ničema napsal mé manželce, a já že hledám řešení!"
"wrote","write","napsal","napsat","pf"," Even though I explained that some idiot wrote my wife about her, and that I 'm looking for a solution."," Přitom jsem jí vysvětlil, že o ní nějaký ničema napsal mé manželce, a já že hledám řešení!"
"looking","look","hledám","hledat","impf"," Even though I explained that some idiot wrote my wife about her, and that I 'm looking for a solution."," Přitom jsem jí vysvětlil, že o ní nějaký ničema napsal mé manželce, a já že hledám řešení!"
"defend","defend","hájil","hájit","impf"," But without her, without the woman who had stepped unexpectedly into Hilde 's shoes, what sort of ideals would he have to defend?"," Avšak nebýt jí, která tím bezděky naplnila odkaz Hilde, jaký ideál by tu ještě dneska hájil?"
"rang","ring","zazvonil","zazvonit","pf"," He got out of the car first and rang the bell."," Vystoupil z auta první a zazvonil."
"feel","feel","Cítil","cítit","impf"," He could feel their curiosity behind him, but also their deference."," Cítil za sebou jejich zvědavost, ale i podřízenost."
"waited","wait","čekali","čekat","impf"," They simply waited."," Prostě čekali."
"hurry","hurry","nespěchal","spěchat","impf"," And he did not hurry."," A on nespěchal."
"read","read","četla","číst","impf"," He remembered, long ago, the way SHE had read him the fairy tale about the boy and the giant."," Přišel si, jako když mu ONA četla kdysi dávno pohádku o třech zlatých vlasech."
"open","open","otevřel","otevřít","pf"," He pulled on his overcoat and directed Kroloff with a short glance to open the door for him as always."," Oblékl si tedy převlečník a přiměl druhého krátkým pohledem, aby mu jako vždy otevřel dveře."
"turned","turn","otočil","otočit","pf"," Then he turned around."," Pak se otočil."
"expected","expect","čekala","čekat","impf"," He did it quite differently than she expected."," Zvládl ji zcela jinak, než čekala."
"helped","help","pomohl","pomoci","pf"," At a certain point he stood up, walked over, helped her pull out her chair, and offered her his arm."," V jistém okamžiku vstal, došel k ní, pomohl jí odsunout židli a nabídl jí rámě."
"offered","offer","nabídl","nabídnout","pf"," At a certain point he stood up, walked over, helped her pull out her chair, and offered her his arm."," V jistém okamžiku vstal, došel k ní, pomohl jí odsunout židli a nabídl jí rámě."
"told","tell","prozradí","prozradit","pf"," Once Malina told her in the morning, he should come back to report how she took it, and then as usual set off for work."," Až jí to ráno prozradí, vrátí se mu ještě ohlásit, jak to přijala, a pak se jako obvykle rozjede do práce!"
"report","report","ohlásit","ohlásit","pf"," Once Malina told her in the morning, he should come back to report how she took it, and then as usual set off for work."," Až jí to ráno prozradí, vrátí se mu ještě ohlásit, jak to přijala, a pak se jako obvykle rozjede do práce!"
"took","take","přijala","přijmout","pf"," Once Malina told her in the morning, he should come back to report how she took it, and then as usual set off for work."," Až jí to ráno prozradí, vrátí se mu ještě ohlásit, jak to přijala, a pak se jako obvykle rozjede do práce!"
"suppressing","suppress","potlačovali","potlačovat","impf"," Guardians of public order, who spent years in the Germans ' pay suppressing their countrymen 's resistance, were often the first to take revenge on their old masters, either to avenge their former powerlessness or to secure their jobs under the new regime."," Zejména muži pořádku, kteří předtím léta v německém žoldu potlačovali projevy odporu krajanů, bývali první, kdo se na včerejších pánech mstili, ať už si vynahrazovali dosavadní bezmoc nebo jistili novou kariéru."
"asked","ask","zeptal","zeptat","pf"," - Can we rough him up a bit? asked an aggressive, pasty-faced kid."," - Co mu trošku rozbít hubu? zeptal se agresivně mladík s moučným obličejem."
"rang","ring","zazvonili","zazvonit","pf"," He heard the steps of four men on the staircase at that odd hour and was at the door in his rubber-soled shoes before they rang."," Kroky čtyř mužů, byťsi tiché, rozpoznal v tu nezvyklou dobu od ostatních zvuků dost včas, aby byl na svých gumových podrážkách u dveří dřív, než prvně zazvonili."
"believed","believe","mínila","mínit","impf"," According to Beran, an increasing faction within the council believed that any cooperation with Vlasov was tantamount to approving the Russian rebels ' original motive for fighting against their native country."," Jakákoli součinnost s nimi, mínila podle Berana stále sílící část Rady, by se rovnala uznání postojů, které je původně přivedly k boji proti vlastní zemi."
"stretched","stretch","natažen","natáhnout","pf"," The fourth, on a diagonal ladder, was stretched out by his hands and feet, like in the dungeons of old."," Čtvrtý na šikmém žebříku byl jak ve staré katovně natažen za ruce i nohy."
"swinging","swing","houpal","houpat","impf"," The final man was swinging, arms and legs bound, from low-hanging rings."," Poslední se houpal svázaný v kozelci na nízko spuštěných kruzích."
"hear","hear","slyšel","slyšet","impf"," From Saint Ludmila 's onward he could definitely hear gunfire."," Od svaté Ludmily slyšel zřetelně střelbu."
"understand","understand","Nechápal","chápat","impf"," He did not understand where he, a fragile and unsure loner nicknamed - mama 's boy, could have gotten it from, but at that moment he knew for sure that Králík was right."," Nechápal, kde se v něm, tehdy ještě křehkém a nesmělém jedináčkovi, kterému přezdívali ' maminčin ', vzala, ale věděl v tu chvíli bezpečně, že se Králík neplete."
"did","do","vzala","vzít","pf"," He did not understand where he, a fragile and unsure loner nicknamed - mama 's boy, could have gotten it from, but at that moment he knew for sure that Králík was right."," Nechápal, kde se v něm, tehdy ještě křehkém a nesmělém jedináčkovi, kterému přezdívali ' maminčin ', vzala, ale věděl v tu chvíli bezpečně, že se Králík neplete."
"ends","end","skončí","skončit","pf"," - Morava, Morava, dear little Morava, when this war ends, take care your world does n't collapse around you."," - Moravo, Moravo, Moravěnko milý, až tahle válka skončí, dávejte pozor, aby se vám nezhroutil svět."
"fights","fight","bojuje","bojovat","impf"," You 're a homicide detective and a Czech, so you 're living in a dream world if you think good always fights against evil."," Jako vraždař i jako Čech žijete ve dvojí pohádce, kde proti zlu bojuje dobro."
"denied","deny","odmítl","odmítnout","pf"," Although other witnesses corroborated the fact, the director of the police station denied the charge vehemently, calling it slander, and for public interest reasons neither the judge nor the prosecutor wanted to risk a perjury trial involving a government official."," Velitel četnické stanice to při hlavním líčení rozhořčeně odmítl jako pomluvu a soudce ani prokurátor neriskovali z důvodů veřejného zájmu proces s představitelem státní moci pro křivou přísahu."
"Encouraged","encourage","Povzbuzen","povzbudit","pf"," Encouraged by the way she gave herself to him again, he tried afterward to draw her closer as he used to with Hilde."," Povzbuzen tím, jak se mu zas vydala, pokusil se ji k sobě v dalších dnech připoutat stejně těsně jako kdysi Hilde."
"gave","give","vydala","vydat","pf"," Encouraged by the way she gave herself to him again, he tried afterward to draw her closer as he used to with Hilde."," Povzbuzen tím, jak se mu zas vydala, pokusil se ji k sobě v dalších dnech připoutat stejně těsně jako kdysi Hilde."
"tried","try","pokusil","pokusit","pf"," Encouraged by the way she gave herself to him again, he tried afterward to draw her closer as he used to with Hilde."," Povzbuzen tím, jak se mu zas vydala, pokusil se ji k sobě v dalších dnech připoutat stejně těsně jako kdysi Hilde."
"owned","own","vlastnil","vlastnit","impf"," Although he owned her completely when she was in his embrace, he lost her entirely the moment she was dressed."," Jak ji přímo vlastnil, dokud ji držel v náruči, tak naprosto ji ztrácel, sotvaže se oblékla."
"lost","lose","ztrácel","ztrácet","impf"," Although he owned her completely when she was in his embrace, he lost her entirely the moment she was dressed."," Jak ji přímo vlastnil, dokud ji držel v náruči, tak naprosto ji ztrácel, sotvaže se oblékla."
"dressed","dress","oblékla","obléknout","pf"," Although he owned her completely when she was in his embrace, he lost her entirely the moment she was dressed."," Jak ji přímo vlastnil, dokud ji držel v náruči, tak naprosto ji ztrácel, sotvaže se oblékla."
"thought","think","pomyslel","pomyslet","pf"," She hardened like plaster of paris, he thought, and mentioned it to her : did she push him out of her mind before he even left her sight?"," Tuhne jako sádra, pomyslel si a vyslovil to, zdá se ho ztrácet z mysli ještě dřív než z očí!"
"thought","think","zdá","zdát","impf"," She hardened like plaster of paris, he thought, and mentioned it to her : did she push him out of her mind before he even left her sight?"," Tuhne jako sádra, pomyslel si a vyslovil to, zdá se ho ztrácet z mysli ještě dřív než z očí!"
"tired","tire","unaven","unavit","pf"," The staircase confirmed that he was deadly tired."," Ž e je smrtelně unaven, potvrdilo schodiště."
"confirmed","confirm","potvrdilo","potvrdit","pf"," The staircase confirmed that he was deadly tired."," Ž e je smrtelně unaven, potvrdilo schodiště."
"threatened","threaten","hrozila","hrozit","impf"," Their apparent leader was a giant whose chest threatened to split his coat open."," Na jejich hlavouna vypadal obr, jehož hruď hrozila kožák rozervat."
"saw","see","Zhlédla","zhlédnout","pf"," As if in a fever, she saw her whole life and finally her death, because suddenly she had become Jitka Modrá, who had so trustingly exchanged fates with her."," Zhlédla jako v horečce celý život a nakonec i svou smrt, protože se náhle proměnila v Jitku Modrou, která si s ní tak důvěřivě vyměnila osud."
"exchanged","exchange","vyměnila","vyměnit","pf"," As if in a fever, she saw her whole life and finally her death, because suddenly she had become Jitka Modrá, who had so trustingly exchanged fates with her."," Zhlédla jako v horečce celý život a nakonec i svou smrt, protože se náhle proměnila v Jitku Modrou, která si s ní tak důvěřivě vyměnila osud."
"found","find","zjistil","zjistit","pf"," When he found out she had not eaten at all, he wanted to fetch her something from the stores in the cellar, but she went with him and would not let go of him, as if drawing energy from his touch, holding him by the hand even as he sliced the rock-hard bread and opened military tins of sausage and cheese."," Když zjistil, že vůbec nejedla, chtěl donést sám něco ze zásob dole, ale šla s ním a vůbec se ho nepustila, jako by z toho doteku čerpala vybitou energii, držela se ho za ruku, i když krájel už silně ztvrdlý chléb a otvíral vojenskou konzervu se salámem a sýrem."
"eaten","eat","nejedla","jíst","impf"," When he found out she had not eaten at all, he wanted to fetch her something from the stores in the cellar, but she went with him and would not let go of him, as if drawing energy from his touch, holding him by the hand even as he sliced the rock-hard bread and opened military tins of sausage and cheese."," Když zjistil, že vůbec nejedla, chtěl donést sám něco ze zásob dole, ale šla s ním a vůbec se ho nepustila, jako by z toho doteku čerpala vybitou energii, držela se ho za ruku, i když krájel už silně ztvrdlý chléb a otvíral vojenskou konzervu se salámem a sýrem."
"wanted","want","chtěl","chtít","impf"," When he found out she had not eaten at all, he wanted to fetch her something from the stores in the cellar, but she went with him and would not let go of him, as if drawing energy from his touch, holding him by the hand even as he sliced the rock-hard bread and opened military tins of sausage and cheese."," Když zjistil, že vůbec nejedla, chtěl donést sám něco ze zásob dole, ale šla s ním a vůbec se ho nepustila, jako by z toho doteku čerpala vybitou energii, držela se ho za ruku, i když krájel už silně ztvrdlý chléb a otvíral vojenskou konzervu se salámem a sýrem."
"fetch","fetch","donést","donést","pf"," When he found out she had not eaten at all, he wanted to fetch her something from the stores in the cellar, but she went with him and would not let go of him, as if drawing energy from his touch, holding him by the hand even as he sliced the rock-hard bread and opened military tins of sausage and cheese."," Když zjistil, že vůbec nejedla, chtěl donést sám něco ze zásob dole, ale šla s ním a vůbec se ho nepustila, jako by z toho doteku čerpala vybitou energii, držela se ho za ruku, i když krájel už silně ztvrdlý chléb a otvíral vojenskou konzervu se salámem a sýrem."
"went","go","šla","jít","impf"," When he found out she had not eaten at all, he wanted to fetch her something from the stores in the cellar, but she went with him and would not let go of him, as if drawing energy from his touch, holding him by the hand even as he sliced the rock-hard bread and opened military tins of sausage and cheese."," Když zjistil, že vůbec nejedla, chtěl donést sám něco ze zásob dole, ale šla s ním a vůbec se ho nepustila, jako by z toho doteku čerpala vybitou energii, držela se ho za ruku, i když krájel už silně ztvrdlý chléb a otvíral vojenskou konzervu se salámem a sýrem."
"go","go","šla","jít","impf"," When he found out she had not eaten at all, he wanted to fetch her something from the stores in the cellar, but she went with him and would not let go of him, as if drawing energy from his touch, holding him by the hand even as he sliced the rock-hard bread and opened military tins of sausage and cheese."," Když zjistil, že vůbec nejedla, chtěl donést sám něco ze zásob dole, ale šla s ním a vůbec se ho nepustila, jako by z toho doteku čerpala vybitou energii, držela se ho za ruku, i když krájel už silně ztvrdlý chléb a otvíral vojenskou konzervu se salámem a sýrem."
"drawing","draw","čerpala","čerpat","impf"," When he found out she had not eaten at all, he wanted to fetch her something from the stores in the cellar, but she went with him and would not let go of him, as if drawing energy from his touch, holding him by the hand even as he sliced the rock-hard bread and opened military tins of sausage and cheese."," Když zjistil, že vůbec nejedla, chtěl donést sám něco ze zásob dole, ale šla s ním a vůbec se ho nepustila, jako by z toho doteku čerpala vybitou energii, držela se ho za ruku, i když krájel už silně ztvrdlý chléb a otvíral vojenskou konzervu se salámem a sýrem."
"holding","hold","držela","držet","impf"," When he found out she had not eaten at all, he wanted to fetch her something from the stores in the cellar, but she went with him and would not let go of him, as if drawing energy from his touch, holding him by the hand even as he sliced the rock-hard bread and opened military tins of sausage and cheese."," Když zjistil, že vůbec nejedla, chtěl donést sám něco ze zásob dole, ale šla s ním a vůbec se ho nepustila, jako by z toho doteku čerpala vybitou energii, držela se ho za ruku, i když krájel už silně ztvrdlý chléb a otvíral vojenskou konzervu se salámem a sýrem."
"opened","open","otvíral","otvírat","impf"," When he found out she had not eaten at all, he wanted to fetch her something from the stores in the cellar, but she went with him and would not let go of him, as if drawing energy from his touch, holding him by the hand even as he sliced the rock-hard bread and opened military tins of sausage and cheese."," Když zjistil, že vůbec nejedla, chtěl donést sám něco ze zásob dole, ale šla s ním a vůbec se ho nepustila, jako by z toho doteku čerpala vybitou energii, držela se ho za ruku, i když krájel už silně ztvrdlý chléb a otvíral vojenskou konzervu se salámem a sýrem."
"closed","close","zavíral","zavírat","impf"," The last thing Morava saw as he closed the door was Rajner 's frozen, waxy face."," Když zavíral dveře, zahlédl mezi dvěma lidskými tvářemi třetí, která se zdála být z vosku."
"saw","see","zahlédl","zahlédnout","pf"," The last thing Morava saw as he closed the door was Rajner 's frozen, waxy face."," Když zavíral dveře, zahlédl mezi dvěma lidskými tvářemi třetí, která se zdála být z vosku."
"driven","drive","řídil","řídit","impf"," He got to Sucharda in three minutes, and shortly thereafter fifteen men with carbines were jumping into the bed of a small truck driven by the garage manager, Tetera."," K Suchardovi doběhl za tři minuty a v příštích dvou naskákalo na korbu náklaďáčku, který řídil zas jednou garážmistr Tetera osobně, asi patnáct mužů s karabinami."
"screamed","scream","řvala","řvát","impf"," Add to it the memory of how the girl screamed and fouled herself, and the whole affair had tied his hands for years."," K tomu se přilepila vzpomínka, jak ta holka řvala a páchla, to všecko dohromady mu na léta svázalo ruce."
"tied","tie","svázalo","svázat","pf"," Add to it the memory of how the girl screamed and fouled herself, and the whole affair had tied his hands for years."," K tomu se přilepila vzpomínka, jak ta holka řvala a páchla, to všecko dohromady mu na léta svázalo ruce."
"see","see","PŘIJMOUT","přijmout","pf"," Now that he had finally dared to ACCEPT THE MISSION again, he was eager to see what the newspapers would say."," Když se konečně vzchopil tak, že byl znovu schopen PŘIJMOUT PŘÍKAZ, a dílo se mu tak skvěle povedlo, očekával vzrušeně, co napíšou tentokrát."
"brought","bring","přinesl","přinést","pf"," On the second and third days he was patient when the news brought only pictures of disfigured victims from the first Prague air raid - although it annoyed him that his IMMACULATE WORK would not be contrasted with the random results of bomb explosions."," Dokázal ještě pochopit, že druhý i třetí den přinesl tisk jen snímky zohavených obětí prvního náletu na Prahu, ačkoliv ho mrzelo, že právě ve srovnání s náhodným účinkem třaskaviny nevynikne jeho ČISTÁ PRÁCE."
"entrusted","entrust","svěřen","svěřit","pf"," The Czech police is the best organized and best armed civilian group-albeit modestly so-and has therefore been entrusted with a crucial task : to ensure the transfer of power with as few casualties as possible, protecting our people and our town."," České policii jako nejlíp organizované a navíc ozbrojené, byť zatím jen skromně, skupině občanů byl svěřen nejdůležitější úkol : zajistit přechod moci s co možná nejmenšími oběťmi, uchránit lidi i město."
"ensure","ensure","zajistit","zajistit","pf"," The Czech police is the best organized and best armed civilian group-albeit modestly so-and has therefore been entrusted with a crucial task : to ensure the transfer of power with as few casualties as possible, protecting our people and our town."," České policii jako nejlíp organizované a navíc ozbrojené, byť zatím jen skromně, skupině občanů byl svěřen nejdůležitější úkol : zajistit přechod moci s co možná nejmenšími oběťmi, uchránit lidi i město."
"spared","spare","ušetřena","ušetřit","pf"," Now that peace is in sight, we cannot let Prague meet the fate of Europe 's other cities, a fate it has so far been spared."," Na dohled míru nesmí Prahu stihnout osud většiny evropských metropolí, když ho byla dosud šťastně ušetřena."
"asked","ask","zeptal","zeptat","pf"," - How does it work? Beran asked."," - Jak je? zeptal se Beran."
"watched","watch","pozoroval","pozorovat","impf"," Morava watched tensely as Beran worked his way down the feared list of question marks."," Napjatě pozoroval, jak Beran odškrtává své obávané otazníky."
"answer","answer","Odpovědět","odpovědět","pf"," For years now it had been his goal to answer all of them correctly."," Odpovědět správně na všecky, k tomu cíli se celé roky tady upínala jeho ctižádost."
"control","control","kontrolovat","kontrolovat","impf"," - I can do that as long as the Czechs do n't completely control the city."," - To mohu, dokud Češi nebudou úplně kontrolovat město."
"rose","rise","nezvedl","zvednout","pf"," Confused, she spun the conversation onward alone, until he rose from the table."," Z rozpaků soukala dál nit rozhovoru sama, dokud se opět nezvedl."
"remaining","remain","zbývaly","zbývat","impf"," They had two days remaining in Rome when it dawned on her : the moment silence descended, she fell quiet as well."," Do odjezdu z Říma zbývaly dva dny, když ji to napadlo : jakmile se rozhostilo ticho, zmlkla taky."
"fell","fall","napadlo","napadnout","pf"," They had two days remaining in Rome when it dawned on her : the moment silence descended, she fell quiet as well."," Do odjezdu z Říma zbývaly dva dny, když ji to napadlo : jakmile se rozhostilo ticho, zmlkla taky."
"looked","look","Dívali","dívat","impf"," They looked at each other mutely for several long minutes."," Dívali se na sebe němě dlouhou řadu minut."
"decided","decide","Rozhodl","rozhodnout","pf"," He decided to follow the battle 's voice."," Rozhodl, že se vydají za hlasem boje."
"asked","ask","žádal","žádat","impf"," The prosecutor asked for life."," Žalobce žádal doživotí."
"turned","turn","obrátil","obrátit","pf"," And as his conviction grew that SHE HAD BETRAYED HIM, he turned, after years of silence, back to HIM."," A jak v něm bobtnalo přesvědčení, že ONA HO ZRADILA, obrátil se po letech opět K NĚMU."
"added","add","dodal","dodat","pf"," But the panic in her eyes, Morava added, closing his notebook, - leads us to conclude that unfortunately she did not die immediately."," Ale vytřeštěné oči, dodal Morava zavíraje sešit, - nás přivedly k společné domněnce, že to bohužel nebylo hned."
"closing","close","zavíraje","zavírat","impf"," But the panic in her eyes, Morava added, closing his notebook, - leads us to conclude that unfortunately she did not die immediately."," Ale vytřeštěné oči, dodal Morava zavíraje sešit, - nás přivedly k společné domněnce, že to bohužel nebylo hned."
"leads","lead","přivedly","přivést","pf"," But the panic in her eyes, Morava added, closing his notebook, - leads us to conclude that unfortunately she did not die immediately."," Ale vytřeštěné oči, dodal Morava zavíraje sešit, - nás přivedly k společné domněnce, že to bohužel nebylo hned."
"met","meet","potkala","potkat","pf"," Jana, almost thirty, had met Robert two months before in the shelter beneath Prague 's main rail station."," Téměř třicetiletá Jana potkala Roberta teprve před dvěma měsíci v krytu pod Hlavním nádražím."
"begun","begin","začalo","začít","pf"," Darkness had just begun to fall on this long day, and he looked forward to seeing all of them and the whole neighborhood nicely lit."," Právě se začalo stmívat za tím dlouhým dnem, a on se těšil, jak jim všem i celému okolí pořádně posvítí."
"mused","muse","Přemítal","přemítat","impf"," Buback mused on this on the way back to Prague, as the driver and his companion boldly compared notes in Czech on the illegal radio stations ' war reports."," Přemítal o tom cestou do Prahy stěsnán v autě, kde teď řidič a jeho soused vyprávěli česky bez zábran, co říkají zakázané stanice o situaci na frontách."
"end","end","ukončit","ukončit","pf"," But how could he end the deception?"," Ale jak ji ukončit?"
"packed","pack","sbalila","sbalit","pf"," He knew that if he asked, she would be packed and gone in five minutes, never to return, and the emptiness that would remain after her flooded over him almost physically."," Ale věděl, že by se do pěti minut sbalila, odešla a už se nikdy nevrátila, a přímo fyzicky ho zavalila prázdnota, která by po ní zbyla."
"gone","go","odešla","odejít","pf"," He knew that if he asked, she would be packed and gone in five minutes, never to return, and the emptiness that would remain after her flooded over him almost physically."," Ale věděl, že by se do pěti minut sbalila, odešla a už se nikdy nevrátila, a přímo fyzicky ho zavalila prázdnota, která by po ní zbyla."
"return","return","nevrátila","vrátit","pf"," He knew that if he asked, she would be packed and gone in five minutes, never to return, and the emptiness that would remain after her flooded over him almost physically."," Ale věděl, že by se do pěti minut sbalila, odešla a už se nikdy nevrátila, a přímo fyzicky ho zavalila prázdnota, která by po ní zbyla."
"remain","remain","zbyla","zbýt","pf"," He knew that if he asked, she would be packed and gone in five minutes, never to return, and the emptiness that would remain after her flooded over him almost physically."," Ale věděl, že by se do pěti minut sbalila, odešla a už se nikdy nevrátila, a přímo fyzicky ho zavalila prázdnota, která by po ní zbyla."
"fill","fill","vyplnila","vyplnit","pf"," Only a bullet could fill that gap."," Tu by vyplnila už jen jeho pistole."
"swallowed","swallow","Spolkl","spolknout","pf"," He swallowed his shout so forcibly that his Adam 's apple must have moved."," Spolkl ten výkřik tak, že se mu snad přímo pohyboval ohryzek."
"moved","move","pohyboval","pohybovat","impf"," He swallowed his shout so forcibly that his Adam 's apple must have moved."," Spolkl ten výkřik tak, že se mu snad přímo pohyboval ohryzek."
"asked","ask","zeptal","zeptat","pf"," Instead, he asked a question."," Místo toho se zeptal."
"burning","burn","pálili","pálit","impf"," They had been on his desk last year in Antwerp as men in other departments prepared for the retreat by burning documents in the courtyard."," Měl je na psacím stole i loni v Antverpách, když před ústupem muži z jiných oddělení pálili na dvoře spisy."
"read","read","přečetl","přečíst","pf"," Then the official from Berlin headquarters read him the police report."," Důstojník z berlínské centrály mu tedy přečetl policejní raport."
"began","begin","začalo","začít","pf"," The body in it began to shrink, moving twitchily about as if it were exercising."," Tělo v něm se začalo smršťovat a přitom trhavě pohybovat jako by cvičilo."
"moving","move","pohybovat","pohybovat","impf"," The body in it began to shrink, moving twitchily about as if it were exercising."," Tělo v něm se začalo smršťovat a přitom trhavě pohybovat jako by cvičilo."
"exercising","exercise","cvičilo","cvičit","impf"," The body in it began to shrink, moving twitchily about as if it were exercising."," Tělo v něm se začalo smršťovat a přitom trhavě pohybovat jako by cvičilo."
"embrace","embrace","objalo","obejmout","pf"," When the straps burned through, it jumped down and smothered Rypl 's corpse in a glowing embrace."," Když přehořely řemeny, seskočilo a žhavě objalo mrtvolu Rypla."
"touched","touch","dotkl","dotknout","pf"," The newly appointed superintendent of the Prague criminal police, Jan Morava, stood up from the bench where he sat silently every evening, as always touched the still-fresh tomb with both hands, and quickly walked off to the waiting car."," Čerstvě jmenovaný vrchní komisař pražské kriminální policie Jan Morava vstal z lavičky, na které sedával mlčky večer co večer, jako vždycky se dotkl oběma dlaněmi dosud čerstvého rovu a rychle odcházel k čekajícímu autu."
"rushing","rush","spěchá","spěchat","impf"," He had no idea he was rushing headlong into his worst mistake."," Netušil, že spěchá vstříc svému největšímu omylu."
"choose","choose","vybírat","vybírat","impf"," - All the easier to choose."," - Tím snáz můžem vybírat."
"meet","meet","sejdem","sejít","pf"," Yes, love, we 'll meet in Munich, what do you say?"," Ano, lásko, sejdem se v Mnichově, co říkáš?"
"say","say","říkáš","říkat","impf"," Yes, love, we 'll meet in Munich, what do you say?"," Ano, lásko, sejdem se v Mnichově, co říkáš?"
"move","move","nehnu","hnout","pf"," I 'll be there a week after the war ends at latest, and wo n't move from the station until you appear."," Budu tam nejpozději týden po válce a nehnu se z nádraží, dokud se neobjevíš ty!"
"appear","appear","neobjevíš","objevit","pf"," I 'll be there a week after the war ends at latest, and wo n't move from the station until you appear."," Budu tam nejpozději týden po válce a nehnu se z nádraží, dokud se neobjevíš ty!"
"assumed","assume","převzal","převzít","pf"," Field Marshall Schörner had assumed the high command over German staff, central offices, and services in the area controlled by Mitte 's armies, who would play a leading role in these plans."," Generalfeldmarschall Schörner převzal vrchní velení i nad německými štáby, ústřednami a služebnami na operačním území armádní skupiny Mitte, které připadá v plánech hlavní úloha."
"threw","throw","shodil","shodit","pf"," A while later he threw off the cape and put down his postman 's bag."," Po nějaké době shodil pelerínu a odložil poštovní brašnu."
"covering","cover","přikryl","přikrýt","pf"," The unfortunate boy he laid out in the bed, covering him up to his chest with the featherbed, unstained side up."," Nešťastného chlapce pak jen narovnal v posteli a přikryl po prsa peřinou, nepotřísněnou stranou navrch."
"put","put","uložil","uložit","pf"," As he put the cursed SOUL into his satchel next to the unused straps, he decided to change his appearance again."," Když uložil do brašny k řemení, které tentokrát nemusel použít, ve voskovaném papíru tu zatracenou duši, rozhodl se, že znovu změní zevnějšek."
"decided","decide","rozhodl","rozhodnout","pf"," As he put the cursed SOUL into his satchel next to the unused straps, he decided to change his appearance again."," Když uložil do brašny k řemení, které tentokrát nemusel použít, ve voskovaném papíru tu zatracenou duši, rozhodl se, že znovu změní zevnějšek."
"change","change","změní","změnit","pf"," As he put the cursed SOUL into his satchel next to the unused straps, he decided to change his appearance again."," Když uložil do brašny k řemení, které tentokrát nemusel použít, ve voskovaném papíru tu zatracenou duši, rozhodl se, že znovu změní zevnějšek."
"tell","tell","říct","říci","pf"," The decent thing would be to tell him he was leaving, thank him, and give him his freedom, so he could take off the straps ..."," Teď by se vlastně slušelo mu říct, že odchází, děkuje a vrací mu volnost, aby si pak klidně uvolnil řemeny ..."
"leaving","leave","odchází","odcházet","impf"," The decent thing would be to tell him he was leaving, thank him, and give him his freedom, so he could take off the straps ..."," Teď by se vlastně slušelo mu říct, že odchází, děkuje a vrací mu volnost, aby si pak klidně uvolnil řemeny ..."
"thank","thank","děkuje","děkovat","impf"," The decent thing would be to tell him he was leaving, thank him, and give him his freedom, so he could take off the straps ..."," Teď by se vlastně slušelo mu říct, že odchází, děkuje a vrací mu volnost, aby si pak klidně uvolnil řemeny ..."
"turning","turn","obrátil","obrátit","pf"," - Where 's the toilet? he said, turning to the man from the radio."," - Kde je tu záchod? obrátil se na muže z rozhlasu."
"passed","pass","Přešli","přejít","pf"," - We passed it as we came in."," - Přešli jsme ho hned na začátku."
"came","come","Přešli","přejít","pf"," - We passed it as we came in."," - Přešli jsme ho hned na začátku."
"left","leave","Nechal","nechat","pf"," He left his regiment by the steps, guarded by two newly acquired submachine guns, and nodded to his new ally."," Nechal oddíl u schodů pod ochranou dvou čerstvých držitelů rychlopalných pušek a pokynul svému čerstvému spojenci."
"written","write","napsal","napsat","pf"," My grass is now asphalt and my trees chimneys, he had once written home, scandalizing his mother."," Má tráva je teď asfalt a moje stromy komíny, napsal jednou domů a pohoršil matku."
"realized","realize","pochopil","pochopit","pf"," From the first he had fit into the city like a native, and he realized belatedly what a wise move it had been not to take over the family smithy."," Nebyla to křeč, zapadl do města, jako by to byl jeho rodný živel, dodatečně pochopil, jakému neštěstí se vyhnul, když riskoval rozkol a nepřevzal rodinnou kovárnu."
"take","take","pochopil","pochopit","pf"," From the first he had fit into the city like a native, and he realized belatedly what a wise move it had been not to take over the family smithy."," Nebyla to křeč, zapadl do města, jako by to byl jeho rodný živel, dodatečně pochopil, jakému neštěstí se vyhnul, když riskoval rozkol a nepřevzal rodinnou kovárnu."
"take","take","nepřevzal","převzít","pf"," From the first he had fit into the city like a native, and he realized belatedly what a wise move it had been not to take over the family smithy."," Nebyla to křeč, zapadl do města, jako by to byl jeho rodný živel, dodatečně pochopil, jakému neštěstí se vyhnul, když riskoval rozkol a nepřevzal rodinnou kovárnu."
