"dance","dance","tančí","tančit","impf"," One tries to dance, lurching unbalanced, with a white marble statue;"," Jeden člověk tančí se sochou z bílého mramoru."
"see","see","vidí","vidět","impf"," The soldiers lying along from her see this and take sight too."," Vojáci ležící v řadě za ní to vidí a taky zamíří."
"look","look","Dívám","dívat","impf"," I look back to the soldiers at the mine."," Dívám se zas na vojáky u dolu."
"looks","look","Podívá","podívat","pf"," She looks at me in its flickering yellow flame."," Podívá se na mě přes mihotavý žlutý plamínek."
"says","say","odpoví","odpovědět","pf"," ‘ Yes, ’ she says shortly."," "" Ne, "" odpoví stručně."
"gazing","gaze","díváme","dívat","impf"," We are in the cellars squatting on top of an empty concrete coal bunker, gazing at a pile of rubble fallen from the ceiling and landed on top of a log-pile;"," Jsme v suterénu, sedíme v podřepu na prázdném betonovém bazénku na uhlí a díváme se na hromadu suti, která napadala ze stropu a navrstvila se na hromadě polen."
"lights","light","zapálí","zapálit","pf"," The lieutenant takes her silver cigarette case from her jacket, selects and lights a cigarette."," Podporučice vytahuje z blůzy stříbrné pouzdro, vytáhne cigaretu a zapálí si."
"finished","finish","skončil","skončit","pf"," And now, my dear, I ’ m finished."," A nyní jsem, drahá, skončil."
"heard","hear","Slyšeli","slyšet","impf"," Most of the bands of fighters now roaming the land – little more or less than bandits – we ’ ve heard favour, or have no choice but to requisition and employ, ordinary four-wheel drives, or pick-ups."," Slyšeli jsme, že většina ozbrojených tlup, více či méně banditů, kteří se teď potulují zemí, raději užívá obyčejná terénní auta a dodávky, nebo jim nezbývá než je rekvírovat."
"employ","employ","užívá","užívat","impf"," Most of the bands of fighters now roaming the land – little more or less than bandits – we ’ ve heard favour, or have no choice but to requisition and employ, ordinary four-wheel drives, or pick-ups."," Slyšeli jsme, že většina ozbrojených tlup, více či méně banditů, kteří se teď potulují zemí, raději užívá obyčejná terénní auta a dodávky, nebo jim nezbývá než je rekvírovat."
"pass","pass","pomineme","pominout","pf"," That which has dragged us down has buoyed her up, and, in the castle, we meet, mirrored, and perhaps pass."," To, co nás stáhlo ke dnu, ji naopak vyplavilo a na tomto zámku jsme se jako zrcadlové obrazy spolu shledali a možná tak i pomineme."
"keep","keep","držet","držet","impf"," it is all I can do to keep up."," Snažím se držet krok."
"cry","cry","plakal","plakat","impf"," And began to cry not with the shallow, hot and easy tears of childish frustration and rage, but with my first real adult anguish, with a grief by myself deflowered of petty childhood concern;"," A tentokrát jsem neproléval plytké, horké a levné slzičky dětské frustrace a vzteku, nýbrž jsem poprvé plakal z dospělého neštěstí, ze žalu, který jsem sám zbavil pelu dětinské malichernosti;"
"awaited","await","čeká","čekat","impf"," great sobbing heartfelt tears of sorrow – not now just selfishly for my own narrow sense of advantage or annoyance, because I ’ d been found out or because I knew some protracted punishment probably awaited, though there was that too – but for my father ’ s lost belief and pride in his only son."," vzlykal jsem a ronil velké procítěné slzy smutku - ne sobecky kvůli vlastnímu nicotnému prospěchu nebo z ublíženosti, že mě odhalili, nebo kvůli vědomí, že mě nejspíš čeká nějaký vleklý trest ( i když na tom taky něco bylo ), nýbrž pro otcovu ztracenou víru v jediného syna a hrdost na něj."
"lead","lead","Povedete","vést","impf"," ‘ You lead us."," "" Povedete nás."
"saw","see","viděla","vidět","impf"," Perhaps, my unfair fair one, you saw it clearer than the rest of us, and by never wanting to discover what we tried to find through you, knew it all the time, and so stayed true."," Možná, má laciná drahá, jsi viděla jasněji než my ostatní, a tím, že ses nikdy nesnažila odhalit, co jsme tvým prostřednictvím chtěli najít, vědělas to celou dobu, a tak jsi zůstala svá."
"discover","discover","odhalit","odhalit","pf"," Perhaps, my unfair fair one, you saw it clearer than the rest of us, and by never wanting to discover what we tried to find through you, knew it all the time, and so stayed true."," Možná, má laciná drahá, jsi viděla jasněji než my ostatní, a tím, že ses nikdy nesnažila odhalit, co jsme tvým prostřednictvím chtěli najít, vědělas to celou dobu, a tak jsi zůstala svá."
"wanting","want","chtěli","chtít","impf"," Perhaps, my unfair fair one, you saw it clearer than the rest of us, and by never wanting to discover what we tried to find through you, knew it all the time, and so stayed true."," Možná, má laciná drahá, jsi viděla jasněji než my ostatní, a tím, že ses nikdy nesnažila odhalit, co jsme tvým prostřednictvím chtěli najít, vědělas to celou dobu, a tak jsi zůstala svá."
"discover","discover","najít","najít","pf"," Perhaps, my unfair fair one, you saw it clearer than the rest of us, and by never wanting to discover what we tried to find through you, knew it all the time, and so stayed true."," Možná, má laciná drahá, jsi viděla jasněji než my ostatní, a tím, že ses nikdy nesnažila odhalit, co jsme tvým prostřednictvím chtěli najít, vědělas to celou dobu, a tak jsi zůstala svá."
"find","find","najít","najít","pf"," Perhaps, my unfair fair one, you saw it clearer than the rest of us, and by never wanting to discover what we tried to find through you, knew it all the time, and so stayed true."," Možná, má laciná drahá, jsi viděla jasněji než my ostatní, a tím, že ses nikdy nesnažila odhalit, co jsme tvým prostřednictvím chtěli najít, vědělas to celou dobu, a tak jsi zůstala svá."
"stayed","stay","zůstala","zůstat","pf"," Perhaps, my unfair fair one, you saw it clearer than the rest of us, and by never wanting to discover what we tried to find through you, knew it all the time, and so stayed true."," Možná, má laciná drahá, jsi viděla jasněji než my ostatní, a tím, že ses nikdy nesnažila odhalit, co jsme tvým prostřednictvím chtěli najít, vědělas to celou dobu, a tak jsi zůstala svá."
"struggle","struggle","bojovat","bojovat","impf"," Perhaps, however unjustly, your sex itself put you closer to what we, denied or denying it, had to struggle for."," Byť je to třeba nespravedlivé, tvé pohlaví tě přibližovalo k tomu, oč jsme my museli bojovat."
"saw","see","viděla","vidět","impf"," Perhaps you alone saw our fate from the start, gender and proclivity equipping you to harbour conceptions we could not."," Možná ty jediná jsi viděla náš osud od začátku, pohlaví a sklony ti umožňovaly chovat myšlenky, kterých jsme my nebyli mocni."
"harbour","harbour","chovat","chovat","impf"," Perhaps you alone saw our fate from the start, gender and proclivity equipping you to harbour conceptions we could not."," Možná ty jediná jsi viděla náš osud od začátku, pohlaví a sklony ti umožňovaly chovat myšlenky, kterých jsme my nebyli mocni."
"looks","look","pohlédne","pohlédnout","pf"," The lieutenant frowns and looks that way."," Podporučice se zamračí a pohlédne tím směrem."
"glances","glance","Pohlédne","pohlédnout","pf"," She glances at the two bodies lying by the burning van."," Pohlédne na dvě těla ležící u hořící dodávky."
"sighs","sigh","Vzdychne","vzdychnout","pf"," She sighs."," Vzdychne si."
"steps","step","kráčí","kráčet","impf"," She taps the buxom quilting on the inside of the door, then steps down and walks towards the group crouched ahead on the road."," Poplácá naducané čalounění na vnitřní straně dvířek, pak seskočí a kráčí ke skupině mužů sehnutých nad vozovkou před námi."
"walks","walk","kráčí","kráčet","impf"," She taps the buxom quilting on the inside of the door, then steps down and walks towards the group crouched ahead on the road."," Poplácá naducané čalounění na vnitřní straně dvířek, pak seskočí a kráčí ke skupině mužů sehnutých nad vozovkou před námi."
"missed","miss","minul","minout","pf"," Our driver sweeps and swerves, seemingly aiming for certain items of wreckage missed or left in the wake of the jeep in front;"," Řidič uhýbá a kličkuje, jako by měl spadeno na konkrétní předmět, který džíp před námi minul nebo rozkutálel;"
"left","leave","minul","minout","pf"," Our driver sweeps and swerves, seemingly aiming for certain items of wreckage missed or left in the wake of the jeep in front;"," Řidič uhýbá a kličkuje, jako by měl spadeno na konkrétní předmět, který džíp před námi minul nebo rozkutálel;"
"catches","catch","trefí","trefit","pf"," he whoops and laughs as he disposes of another derelict household effect or catches a pan left spinning in the front jeep ’ s wake."," hýká a směje se, když znehodnotí další dosloužilou domácí potřebu nebo trefí odražený kastrol, který poskakoval za předním džípem."
"does","do","nedělá","dělat","impf"," His naked flesh has stippled with cold, but he does not seem to notice."," Holá kůže se mu ježí zimou, ale nejspíš si z toho nic nedělá."
"said","say","řekl","říci","pf"," ‘ Don ’ t be ridiculous, boy, ’ he said, investing more contempt in those few words than I ’ d have thought a whole language capable of conveying."," "" Co mi to tu vykládáš! "" řekl a do těch několika slov vtěsnal víc pohrdání, než by podle mého mohl vyjádřit celý jazyk."
"said","say","vyjádřit","vyjádřit","pf"," ‘ Don ’ t be ridiculous, boy, ’ he said, investing more contempt in those few words than I ’ d have thought a whole language capable of conveying."," "" Co mi to tu vykládáš! "" řekl a do těch několika slov vtěsnal víc pohrdání, než by podle mého mohl vyjádřit celý jazyk."
"conveying","convey","vyjádřit","vyjádřit","pf"," ‘ Don ’ t be ridiculous, boy, ’ he said, investing more contempt in those few words than I ’ d have thought a whole language capable of conveying."," "" Co mi to tu vykládáš! "" řekl a do těch několika slov vtěsnal víc pohrdání, než by podle mého mohl vyjádřit celý jazyk."
"wailed","wail","křičela","křičet","impf"," Mother wailed, screaming incoherently at him."," Matka naříkala a nesouvisle na něj křičela."
"screaming","scream","křičela","křičet","impf"," Mother wailed, screaming incoherently at him."," Matka naříkala a nesouvisle na něj křičela."
"looked","look","hleděli","hledět","impf"," Servants looked confused, some gazing at me with troubled expressions, some looking after him as he walked back into the castle."," Sluhové se tvářili zmateně, někteří na mě zachmuřeně hleděli, někteří se dívali za ním, jak odchází do domu."
"gazing","gaze","hleděli","hledět","impf"," Servants looked confused, some gazing at me with troubled expressions, some looking after him as he walked back into the castle."," Sluhové se tvářili zmateně, někteří na mě zachmuřeně hleděli, někteří se dívali za ním, jak odchází do domu."
"looking","look","hleděli","hledět","impf"," Servants looked confused, some gazing at me with troubled expressions, some looking after him as he walked back into the castle."," Sluhové se tvářili zmateně, někteří na mě zachmuřeně hleděli, někteří se dívali za ním, jak odchází do domu."
"looked","look","dívali","dívat","impf"," Servants looked confused, some gazing at me with troubled expressions, some looking after him as he walked back into the castle."," Sluhové se tvářili zmateně, někteří na mě zachmuřeně hleděli, někteří se dívali za ním, jak odchází do domu."
"gazing","gaze","dívali","dívat","impf"," Servants looked confused, some gazing at me with troubled expressions, some looking after him as he walked back into the castle."," Sluhové se tvářili zmateně, někteří na mě zachmuřeně hleděli, někteří se dívali za ním, jak odchází do domu."
"looking","look","dívali","dívat","impf"," Servants looked confused, some gazing at me with troubled expressions, some looking after him as he walked back into the castle."," Sluhové se tvářili zmateně, někteří na mě zachmuřeně hleděli, někteří se dívali za ním, jak odchází do domu."
"followed","follow","Následovala","následovat","impf"," His mistress followed, taking you by the hand."," Následovala jeho milenka a odváděla tě za ruku."
"look","look","podívám","podívat","pf"," I look apologetically at Lucius and slide my hand in under the covers towards the old fellow ’ s belly, grimacing."," Omluvně se podívám na Lucia, rukou vklouznu pod deku směrem k břichu starého pána a zatvářím se."
"deserve","deserve","nezasluhuje","zasluhovat","impf"," The three of us, this ruined castle, these sad warriors, we none of us deserve our ends in this, but should not be surprised by that;"," My tři, tenhle pobořený zámek, tito smutní válečníci, nikdo z nás si nezasluhuje takhle skončit, ale nemělo by nás to překvapovat."
"surprised","surprise","překvapovat","překvapovat","impf"," The three of us, this ruined castle, these sad warriors, we none of us deserve our ends in this, but should not be surprised by that;"," My tři, tenhle pobořený zámek, tito smutní válečníci, nikdo z nás si nezasluhuje takhle skončit, ale nemělo by nás to překvapovat."
"receive","receive","dostane","dostat","pf"," it ’ s a cause for remark, even celebration, when someone does receive their just deserts."," Za povšimnutí naopak stojí, ba je to důvod k oslavě, když někdo dostane, co mu patří."
"watching","watch","pozoruje","pozorovat","impf"," Perhaps she is still watching us, tempting us, waiting to see what we shall do."," Třeba nás pořád pozoruje, zkouší nás a čeká, jak si budeme počínat."
"see","see","pozoruje","pozorovat","impf"," Perhaps she is still watching us, tempting us, waiting to see what we shall do."," Třeba nás pořád pozoruje, zkouší nás a čeká, jak si budeme počínat."
"see","see","zkouší","zkoušet","impf"," Perhaps she is still watching us, tempting us, waiting to see what we shall do."," Třeba nás pořád pozoruje, zkouší nás a čeká, jak si budeme počínat."
"waiting","wait","čeká","čekat","impf"," Perhaps she is still watching us, tempting us, waiting to see what we shall do."," Třeba nás pořád pozoruje, zkouší nás a čeká, jak si budeme počínat."
"asks","ask","ptá","ptát","impf"," However that may be, now she rouses herself, looks around, asks where we are and pulls a small radio from her tunic."," Tak či tak se teď probírá, rozhlíží se, ptá se, kde jsme, a z vojenské blůzy vytahuje nevelkou vysílačku."
"pulls","pull","vytahuje","vytahovat","impf"," However that may be, now she rouses herself, looks around, asks where we are and pulls a small radio from her tunic."," Tak či tak se teď probírá, rozhlíží se, ptá se, kde jsme, a z vojenské blůzy vytahuje nevelkou vysílačku."
"felt","feel","cítil","cítit","impf"," Perhaps I always felt in control in the past, secure in the stewardship of our home and its distributed resources;"," Možná to bude tím, že jsem v minulosti vždycky cítil, že mám otěže pevně v rukou, cítil jsem se pevný v kramflecích při spravování našeho domu i všeho, co k němu náleží."
"felt","feel","cítil","cítit","impf"," Perhaps I always felt in control in the past, secure in the stewardship of our home and its distributed resources;"," Možná to bude tím, že jsem v minulosti vždycky cítil, že mám otěže pevně v rukou, cítil jsem se pevný v kramflecích při spravování našeho domu i všeho, co k němu náleží."
"encouraged","encourage","podporovala","podporovat","impf"," that excess of fastidiousness which she encouraged served me ill for those young years, bringing down upon my head a shower of insults from my friends, peers and relations more filthy than anything I thought I might pick up from wood, ground or park."," Ta přehnaná úzkostlivost, kterou ve mně podporovala, mi v mladých letech byla ke škodě, seslala na mou hlavu záplavu urážek od kamarádů, vrstevníků a příbuzných, nadávek mnohem sprostších než cokoli, co jsem mohl pochytit v lese, na poli či v parku."
"thought","think","domnívala","domnívat","impf"," something Mother thought was ingrained, indeed genetic, within both our class and particularly our family, but insufficiently so by her strict standards;"," Matka se domnívala, že jej máme vrozený, že je v naší vrstvě, a zejména v našem rodu přímo genetický, ale jejím přísným měřítkům to přesto nestačilo."
"thought","think","máme","mít","impf"," something Mother thought was ingrained, indeed genetic, within both our class and particularly our family, but insufficiently so by her strict standards;"," Matka se domnívala, že jej máme vrozený, že je v naší vrstvě, a zejména v našem rodu přímo genetický, ale jejím přísným měřítkům to přesto nestačilo."
"concentrate","concentrate","Soustředím","soustředit","pf"," I concentrate, and there indeed, now I ’ m listening for it again, is that distant, nearly subsonic rumble of the faraway artillery."," Soustředím se a skutečně, když se zaposlouchám, je slyšet vzdálené, téměř podzvukové dunění vzdálené dělostřelby."
"listening","listen","slyšet","slyšet","impf"," I concentrate, and there indeed, now I ’ m listening for it again, is that distant, nearly subsonic rumble of the faraway artillery."," Soustředím se a skutečně, když se zaposlouchám, je slyšet vzdálené, téměř podzvukové dunění vzdálené dělostřelby."
"breathes","breathe","vydechne","vydechnout","pf"," ‘ Ah ... ’ the lieutenant breathes, as another blur of tiny birds rush down from the higher slopes and circle in the air round the pool."," "" Á ... "" vydechne podporučice, když od vyšších svahů spěchá další šmouha drobných ptáků a krouží ve vzduchu kolem tůně."
"rush","rush","spěchá","spěchat","impf"," ‘ Ah ... ’ the lieutenant breathes, as another blur of tiny birds rush down from the higher slopes and circle in the air round the pool."," "" Á ... "" vydechne podporučice, když od vyšších svahů spěchá další šmouha drobných ptáků a krouží ve vzduchu kolem tůně."
"grabbing","grab","popadne","popadnout","pf"," ‘ You ’ ll do, ’ the lieutenant says, grabbing the fellow by his wrist."," "" Ty se nám hodíš, "" přeruší ho podporučice a popadne mládence za loket."
"smells","smell","cítit","cítit","impf"," It smells of an earthy dampness, blood, diesel and black powder."," Je cítit vlhkostí, krví, naftou a střelným prachem."
"pronounce","pronounce","pronesl","pronést","pf"," were someone equal to my station to pronounce such a phrase, I would select a reply with the judicious relish of a marksman in the bush who ’ s come upon a perfect specimen of his prey, nearby and unsuspecting, and has to decide upon which gun to use."," Kdyby takovouhle frázi pronesl někdo mojí úrovně, zvolil bych odpověď zálibně a s rozmyslem jako střelec v buši, když narazí na kapitální kousek, jak se bezelstně popásá opodál, a lovec se musí rozhodnout, kterou zbraň použít."
"select","select","zvolil","zvolit","pf"," were someone equal to my station to pronounce such a phrase, I would select a reply with the judicious relish of a marksman in the bush who ’ s come upon a perfect specimen of his prey, nearby and unsuspecting, and has to decide upon which gun to use."," Kdyby takovouhle frázi pronesl někdo mojí úrovně, zvolil bych odpověď zálibně a s rozmyslem jako střelec v buši, když narazí na kapitální kousek, jak se bezelstně popásá opodál, a lovec se musí rozhodnout, kterou zbraň použít."
"decide","decide","rozhodnout","rozhodnout","pf"," were someone equal to my station to pronounce such a phrase, I would select a reply with the judicious relish of a marksman in the bush who ’ s come upon a perfect specimen of his prey, nearby and unsuspecting, and has to decide upon which gun to use."," Kdyby takovouhle frázi pronesl někdo mojí úrovně, zvolil bych odpověď zálibně a s rozmyslem jako střelec v buši, když narazí na kapitální kousek, jak se bezelstně popásá opodál, a lovec se musí rozhodnout, kterou zbraň použít."
"use","use","použít","použít","pf"," were someone equal to my station to pronounce such a phrase, I would select a reply with the judicious relish of a marksman in the bush who ’ s come upon a perfect specimen of his prey, nearby and unsuspecting, and has to decide upon which gun to use."," Kdyby takovouhle frázi pronesl někdo mojí úrovně, zvolil bych odpověď zálibně a s rozmyslem jako střelec v buši, když narazí na kapitální kousek, jak se bezelstně popásá opodál, a lovec se musí rozhodnout, kterou zbraň použít."
"possesses","possess","má","mít","impf"," The lieutenant possesses her own style, sweeping along, sunglassed, lips clenched around a cigarette, staring forward."," Podporučice má svůj vlastní styl, veze se krajinou ve slunečních brýlích, rty našpulené kolem cigarety a dívá se před sebe."
"ascribe","ascribe","připisujeme","připisovat","impf"," Yet still we do ascribe a greater pain and joy and weight of import to ourselves than to any mere clump of matter, and feel it too."," A přesto sami sobě připisujeme větší schopnost bolesti a radosti a větší důležitost než jinému shluku hmoty, ale také je cítíme."
"feel","feel","cítíme","cítit","impf"," Yet still we do ascribe a greater pain and joy and weight of import to ourselves than to any mere clump of matter, and feel it too."," A přesto sami sobě připisujeme větší schopnost bolesti a radosti a větší důležitost než jinému shluku hmoty, ale také je cítíme."
"carry","carry","Neseme","nést","impf"," We carry the silt of our own memories within us, like the castle ’ s loft-stored treasures, and we are top-heavy with it."," Neseme si v sobě nános vlastní paměti, jako zámecké poklady odložené na půdě, a převažujeme se pod jejich tíhou."
"return","return","vrátí","vrátit","pf"," Perhaps still the bird will return and peck my bindings loose, or maybe the remainder of those whose gun this was – and who may well have been the lieutenant ’ s ambushers this morning, on the road – will suddenly attack, prevail against my tormentors and then free me, all overcome with gratitude and acknowledgement."," Přece se pták možná vrátí a rozklove mi pouta, nebo třeba zbytek těch, jimž kdysi patřilo dělo - a možná to byli oni, kdo dnes ráno přepadl velitelku na silnici -, náhle zaútočí, přemůžou mé trýznitele a pak mě osvobodí, překypujícího vděčností a uznáním."
"attack","attack","přepadl","přepadnout","pf"," Perhaps still the bird will return and peck my bindings loose, or maybe the remainder of those whose gun this was – and who may well have been the lieutenant ’ s ambushers this morning, on the road – will suddenly attack, prevail against my tormentors and then free me, all overcome with gratitude and acknowledgement."," Přece se pták možná vrátí a rozklove mi pouta, nebo třeba zbytek těch, jimž kdysi patřilo dělo - a možná to byli oni, kdo dnes ráno přepadl velitelku na silnici -, náhle zaútočí, přemůžou mé trýznitele a pak mě osvobodí, překypujícího vděčností a uznáním."
"attack","attack","zaútočí","zaútočit","pf"," Perhaps still the bird will return and peck my bindings loose, or maybe the remainder of those whose gun this was – and who may well have been the lieutenant ’ s ambushers this morning, on the road – will suddenly attack, prevail against my tormentors and then free me, all overcome with gratitude and acknowledgement."," Přece se pták možná vrátí a rozklove mi pouta, nebo třeba zbytek těch, jimž kdysi patřilo dělo - a možná to byli oni, kdo dnes ráno přepadl velitelku na silnici -, náhle zaútočí, přemůžou mé trýznitele a pak mě osvobodí, překypujícího vděčností a uznáním."
"overcome","overcome","přemůžou","přemoci","pf"," Perhaps still the bird will return and peck my bindings loose, or maybe the remainder of those whose gun this was – and who may well have been the lieutenant ’ s ambushers this morning, on the road – will suddenly attack, prevail against my tormentors and then free me, all overcome with gratitude and acknowledgement."," Přece se pták možná vrátí a rozklove mi pouta, nebo třeba zbytek těch, jimž kdysi patřilo dělo - a možná to byli oni, kdo dnes ráno přepadl velitelku na silnici -, náhle zaútočí, přemůžou mé trýznitele a pak mě osvobodí, překypujícího vděčností a uznáním."
"free","free","osvobodí","osvobodit","pf"," Perhaps still the bird will return and peck my bindings loose, or maybe the remainder of those whose gun this was – and who may well have been the lieutenant ’ s ambushers this morning, on the road – will suddenly attack, prevail against my tormentors and then free me, all overcome with gratitude and acknowledgement."," Přece se pták možná vrátí a rozklove mi pouta, nebo třeba zbytek těch, jimž kdysi patřilo dělo - a možná to byli oni, kdo dnes ráno přepadl velitelku na silnici -, náhle zaútočí, přemůžou mé trýznitele a pak mě osvobodí, překypujícího vděčností a uznáním."
"dropping","drop","pustí","pustit","pf"," A single shot cracks out, and the man jerks away from the side of the mill, dropping the rifle and staggering forwards as he clutches at his side."," Práskne jediný výstřel a muž odskočí ode zdi mlýna, pustí pušku, vrávorá kupředu a chytí se za bok."
"clutches","clutch","chytí","chytit","pf"," A single shot cracks out, and the man jerks away from the side of the mill, dropping the rifle and staggering forwards as he clutches at his side."," Práskne jediný výstřel a muž odskočí ode zdi mlýna, pustí pušku, vrávorá kupředu a chytí se za bok."
"throwing","throw","hází","házet","impf"," He half runs, half falls past the mill ’ s open door, arm moving, throwing something."," Téměř v pádu proběhne kolem otevřených dveří mlýna, máchne rukou, něčím hází."
"returning","return","vrátit","vrátit","pf"," to take you away, with no chattels and no intention of ever returning to the place that ’ s been our home."," odvést si tě, beze jmění a bez úmyslu se ještě někdy vrátit na místo, které bývalo naším domovem."
"pulls","pull","táhne","táhnout","impf"," a string of saliva, caught in the sunlight slanting over the trees, connects them still as she pulls slowly away."," Když pak pomalu zvedá hlavu, táhne se mezi nimi nitka sliny a leskne se ve slunci, které se už kloní za stromy."
"climbing","climb","šplhá","šplhat","impf"," One man is climbing up the side of the great tapestry facing the windows."," Jeden člověk se šplhá po boční obrubě rozměrné tapiserie na stěně proti oknům."
"take","take","snese","snést","pf"," Or the chilling wind and thickened cloud may presage snow, which will drift down and cover me and soften the contours of everything around, including the hearts of the soldiers here, so they ’ ll take pity on me, and let me go."," Nebo třeba chladivý vítr a zhoustlá mračna zvěstují sníh, který se snese, změkčí obrysy všeho kolem, obměkčí srdce vojáků a ti se nade mnou slitují a propustí mě."
"want","want","Přeji","přát","impf"," Do I want an end too tidy?"," Přeji si konec tak hladký?"
"think","think","Myslím","myslet","impf"," I think I want my death, now."," Myslím, že si nyní přeji smrt."
"want","want","přeji","přát","impf"," I think I want my death, now."," Myslím, že si nyní přeji smrt."
"go","go","Jde","jít","impf"," Let ’ s go. ’"," Jde se. """
"says","say","řekne","říci","pf"," ‘ My, sir, ’ she says softly, ‘ you are harsh. ’"," "" Člověče, vy jste ale surovec, "" řekne tiše."
"look","look","Dívám","dívat","impf"," I look towards where you have disappeared in the sea-dim depths of the tall tree-trunks."," Dívám se směrem, kde jsi zmizela v mořsky temných hlubinách vysokých kmenů."
"disappeared","disappear","zmizela","zmizet","pf"," I look towards where you have disappeared in the sea-dim depths of the tall tree-trunks."," Dívám se směrem, kde jsi zmizela v mořsky temných hlubinách vysokých kmenů."
"looks","look","Dívá","dívat","impf"," She looks up to the sky and scans about."," Dívá se k nebi a rozhlíží se."
"want","want","Chci","chtít","impf"," I want to stand or at least sit up but the gunfire is still crackling around me and I dare not raise my head."," Chci se postavit, nebo aspoň posadit, ale kolem mě pořád třaská střelba a já se neodvažuji zvednout hlavu."
"stand","stand","postavit","postavit","pf"," I want to stand or at least sit up but the gunfire is still crackling around me and I dare not raise my head."," Chci se postavit, nebo aspoň posadit, ale kolem mě pořád třaská střelba a já se neodvažuji zvednout hlavu."
"raise","raise","postavit","postavit","pf"," I want to stand or at least sit up but the gunfire is still crackling around me and I dare not raise my head."," Chci se postavit, nebo aspoň posadit, ale kolem mě pořád třaská střelba a já se neodvažuji zvednout hlavu."
"sit","sit","posadit","posadit","pf"," I want to stand or at least sit up but the gunfire is still crackling around me and I dare not raise my head."," Chci se postavit, nebo aspoň posadit, ale kolem mě pořád třaská střelba a já se neodvažuji zvednout hlavu."
"raise","raise","zvednout","zvednout","pf"," I want to stand or at least sit up but the gunfire is still crackling around me and I dare not raise my head."," Chci se postavit, nebo aspoň posadit, ale kolem mě pořád třaská střelba a já se neodvažuji zvednout hlavu."
"forgotten","forget","zapomněl","zapomenout","pf"," I had forgotten they were burned when I was digging with them."," když jsem ryl, zapomněl jsem, že jsou spálené."
"lies","lie","leží","ležet","impf"," The jeep lies on its back on the bank of a deep roadside ditch, its rear resting in the water in the ditch ’ s bottom, front wheels pointing at the slowly lightening clouds."," Džíp leží převrácený na břehu strmého příkopu u silnice, zadek vězí ve vodě na dně škarpy, přední kola trčí k pomalu světlajícím oblakům."
"resting","rest","leží","ležet","impf"," The jeep lies on its back on the bank of a deep roadside ditch, its rear resting in the water in the ditch ’ s bottom, front wheels pointing at the slowly lightening clouds."," Džíp leží převrácený na břehu strmého příkopu u silnice, zadek vězí ve vodě na dně škarpy, přední kola trčí k pomalu světlajícím oblakům."
"fall","fall","padají","padat","impf"," The sacks fall more slowly, hit a swirling pool and let forth their dead."," Vaky padají pomaleji, snesou se na vířící tůň a vypustí své mrtvé."
"rise","rise","zvedám","zvedat","impf"," I rise slowly, wiping green slime from my hands."," Pomalu se zvedám a otírám si z rukou zelený sliz."
"wiping","wipe","otírám","otírat","impf"," I rise slowly, wiping green slime from my hands."," Pomalu se zvedám a otírám si z rukou zelený sliz."
"turns","turn","otočí","otočit","pf"," He inspects the gleaming rounds nestling inside, turns the tape-twinned clip over and repeats the process, then snicks it back into place again."," Překontroluje nablýskané náboje uhnízděné uvnitř, otočí slepené zásobníky a proceduru zopakuje, pak je opět zasune na místo."
"repeats","repeat","zopakuje","zopakovat","pf"," He inspects the gleaming rounds nestling inside, turns the tape-twinned clip over and repeats the process, then snicks it back into place again."," Překontroluje nablýskané náboje uhnízděné uvnitř, otočí slepené zásobníky a proceduru zopakuje, pak je opět zasune na místo."
"smell","smell","Cítím","cítit","impf"," I can smell the gun ’ s oil."," Cítím olej z jeho zbraně."
"starts","start","Začne","začít","pf"," He starts to sing;"," Začne si prozpěvovat;"
"listening","listen","poslouchá","poslouchat","impf"," She holds up one hand to me, and answers the radio, listening then making a snuffing noise."," Pokyne mi rukou, vysílačku zapne, poslouchá a pak jakoby zavětří."
"do","do","jde","jít","impf"," ‘ Yes, if you can do it cleanly."," "" Jo, pokud to jde provést čistě."
"do","do","provést","provést","pf"," ‘ Yes, if you can do it cleanly."," "" Jo, pokud to jde provést čistě."
"looks","look","Podívá","podívat","pf"," She looks at the man to her other side."," Podívá se na muže po druhém boku."
"written","write","psaly","psát","impf"," Here were the old rules, written across the sky in dark, gliding purpose, in curved lines of flight, in the panicking dips and flips and desperate lunges, dives and sprints of the target, all answered by instant flicks and turns executed by the following, closing hawk."," Tady se na obloze psaly pradávné zákony tmavými cílenými liniemi, křivkami letu, vyplašenými úhyby a zoufalými šipkami, klesáním a zrychlováním kořisti, po nichž následovaly okamžité obraty a otočky pronásledujícího dravce."
"disappears","disappear","zmizí","zmizet","pf"," Returning fire from our right flank kicks dust out from the bricks around the window and then, with a bang, something flashes over the tractor, gun and truck and disappears through the same opening;"," Opětovaná palba po naší pravici tříští cihly kolem okna, až se práší, a pak se ozve rána, něco probleskne nad traktorem, dělem a náklaďákem a zmizí v otvoru."
"follows","follow","následuje","následovat","impf"," the explosion follows almost immediately, pulsing a quick cloud of debris through the window and shaking dust from the eaves of the building ’ s corrugated iron roof."," Výbuch následuje vzápětí, z okna se vyvalí oblak tříště a z převislé střechy z vlnitého plechu se snáší prach."
"wondering","wonder","Přemýšlím","přemýšlet","impf"," I find myself wondering if Mr Cuts has a supply of razor-blades, and whether his nickname is linked somehow to his clean-shaven nature."," Přemýšlím, jestli má Sekáč zásobu žiletek a jestli jeho přezdívka nějak souvisí s jeho hladce oholeným zevnějškem."
