"allowed","allow","nesměla","smět","impf"," I did not know what to do that first Sunday I was not allowed to go home."," První neděli, kdy jsem nesměla jít domů, jsem nevěděla, co dělat."
"moving","move","pohybovala","pohybovat","impf"," Maria Thins was also moving about in her rooms next to the storeroom."," Maria Thins se rovněž pohybovala po svých pokojích vedle komory."
"made","make","činil","činit","impf"," It was a restless house, and it made me restless too."," Byl to neklidný dům a činil neklidnou i mě."
"made","make","Přiměla","přimět","pf"," I made myself sit in my lion-head chair to wait."," Přiměla jsem se usednout na svou židli se lvími hlavami a čekat."
"sit","sit","usednout","usednout","pf"," I made myself sit in my lion-head chair to wait."," Přiměla jsem se usednout na svou židli se lvími hlavami a čekat."
"wait","wait","čekat","čekat","impf"," I made myself sit in my lion-head chair to wait."," Přiměla jsem se usednout na svou židli se lvími hlavami a čekat."
"tell","tell","řekla","říci","pf"," I did tell one person, though."," Jednomu člověku jsem to však řekla."
"felt","feel","Cítila","cítit","impf"," I felt I had to."," Cítila jsem, že musím."
"avoid","avoid","vyhýbat","vyhýbat","impf"," It had been easy enough to avoid Pieter the son - there were auctions all that week at the Beast Market, of animals that had been fattening all summer and autumn in the countryside and were ready for slaughter just before winter began."," Bylo dost snadné se Pieterovi mladšímu vyhýbat - na Dobytčím trhu se celý týden konaly dražby zvířat, jež byla vykrmována na venkově celé léto i podzim, aby těsně před začátkem zimy byla připravena na porážku."
"gone","go","chodil","chodit","impf"," Pieter had gone every day to the sales."," Pieter tam chodil každý den."
"seen","see","Neviděla","vidět","impf"," I had not seen him since he had asked me about the valuables in the house."," Neviděla jsem ho od té doby, kdy se mě vyptával na cennosti v domě."
"visit","visit","navštívit","navštívit","pf"," His questions had angered me and I had made no effort to visit him."," Jeho otázky mě tehdy rozhněvaly, takže jsem se mezitím ani nesnažila ho navštívit."
"recognise","recognise","nepoznala","poznat","pf"," The woman at the gate did not recognise me."," Zena u brány mě nepoznala."
"asked","ask","požádala","požádat","pf"," When I asked to see Frans she shrugged and stepped aside, disappearing without showing me where to go."," Když jsem požádala o setkání s Fransem, pokrčila rameny, ustoupila stranou a zmizela, aniž mi ukázala, kam mám jít."
"disappearing","disappear","zmizela","zmizet","pf"," When I asked to see Frans she shrugged and stepped aside, disappearing without showing me where to go."," Když jsem požádala o setkání s Fransem, pokrčila rameny, ustoupila stranou a zmizela, aniž mi ukázala, kam mám jít."
"showing","show","ukázala","ukázat","pf"," When I asked to see Frans she shrugged and stepped aside, disappearing without showing me where to go."," Když jsem požádala o setkání s Fransem, pokrčila rameny, ustoupila stranou a zmizela, aniž mi ukázala, kam mám jít."
"stepped","step","jít","jít","impf"," When I asked to see Frans she shrugged and stepped aside, disappearing without showing me where to go."," Když jsem požádala o setkání s Fransem, pokrčila rameny, ustoupila stranou a zmizela, aniž mi ukázala, kam mám jít."
"go","go","jít","jít","impf"," When I asked to see Frans she shrugged and stepped aside, disappearing without showing me where to go."," Když jsem požádala o setkání s Fransem, pokrčila rameny, ustoupila stranou a zmizela, aniž mi ukázala, kam mám jít."
"sat","sit","seděli","sedět","impf"," I walked into a low building where boys Frans ' age sat on benches at long tables, painting tiles."," Vešla jsem do nízké budovy, v níž chlapci Fransova věku seděli na lavicích u dlouhých stolů a malovali kachle."
"gave","give","poskytla","poskytnout","pf"," She gave me her own answer a few days later."," Svou vlastní odpověď mi poskytla o několik dní později."
"looking","look","hledala","hledat","impf"," It was a Sunday and I was in the cellar, looking in the chest where I kept my things for a collar to wear that my mother had embroidered for me."," V neděli jsem ve sklepě hledala v truhle se svými věcmi límec, který mi vyšila matka a který jsem si chtěla vzít na sebe."
"doing","do","dělá","dělat","impf"," Then you say the girl is doing one thing or maybe another."," Pak zase, že ta dívka dělá jednu věc nebo možná nějakou jinou."
"confusing","confuse","Pleteš","plést","impf"," You 're confusing me. '"," Pleteš mě. """
"ached","ache","bolela","bolet","impf"," He rubbed his brow as if his head ached."," Promnul si čelo, jako by ho bolela hlava."
"trying","try","Snažím","snažit","impf"," I 'm trying to describe it accurately. '"," Snažím se to popsat přesně. """
"describe","describe","popsat","popsat","pf"," I 'm trying to describe it accurately. '"," Snažím se to popsat přesně. """
"tell","tell","nevyprávějí","vyprávět","impf"," ' His paintings do n't tell stories. '"," "" Jeho obrazy nevyprávějí příběhy. """
"respond","respond","Neodpověděl","odpovědět","pf"," He did not respond."," Neodpověděl."
"understand","understand","Nechápala","chápat","impf"," I did not understand why he wanted one until he later asked me to lay out the paints he needed each morning when I had finished cleaning."," Nechápala jsem, proč ho chce, dokud mě později nepožádal, abych mu každé ráno po skončení úklidu připravila barvy, jež bude potřebovat."
"wanted","want","chce","chtít","impf"," I did not understand why he wanted one until he later asked me to lay out the paints he needed each morning when I had finished cleaning."," Nechápala jsem, proč ho chce, dokud mě později nepožádal, abych mu každé ráno po skončení úklidu připravila barvy, jež bude potřebovat."
"asked","ask","nepožádal","požádat","pf"," I did not understand why he wanted one until he later asked me to lay out the paints he needed each morning when I had finished cleaning."," Nechápala jsem, proč ho chce, dokud mě později nepožádal, abych mu každé ráno po skončení úklidu připravila barvy, jež bude potřebovat."
"wanted","want","potřebovat","potřebovat","impf"," I did not understand why he wanted one until he later asked me to lay out the paints he needed each morning when I had finished cleaning."," Nechápala jsem, proč ho chce, dokud mě později nepožádal, abych mu každé ráno po skončení úklidu připravila barvy, jež bude potřebovat."
"needed","need","potřebovat","potřebovat","impf"," I did not understand why he wanted one until he later asked me to lay out the paints he needed each morning when I had finished cleaning."," Nechápala jsem, proč ho chce, dokud mě později nepožádal, abych mu každé ráno po skončení úklidu připravila barvy, jež bude potřebovat."
"showed","show","ukázal","ukázat","pf"," He opened the drawers to the cupboard near his easel and showed me which paints were kept where, naming the colours as he went."," Zotvíral zásuvky komody poblíž svého stojanu, ukázal mi, kam které barvy ukládá, a přitom je nazýval jmény."
"naming","name","nazýval","nazývat","impf"," He opened the drawers to the cupboard near his easel and showed me which paints were kept where, naming the colours as he went."," Zotvíral zásuvky komody poblíž svého stojanu, ukázal mi, kam které barvy ukládá, a přitom je nazýval jmény."
"heard","hear","neslyšela","slyšet","impf"," I had not heard of many of the words - ultramarine, vermilion, massicot."," Mnohé z těch slov jsem dosud neslyšela - ultramarín, rumělka, masikot."
"closed","close","zavřela","zavřít","pf"," I closed my eyes then and he removed his fingers."," Tehdy jsem zavřela oči a on prsty odtáhl."
"opened","open","otevřela","otevřít","pf"," When I opened them again he had gone back to his easel and taken up his palette."," Když jsem oči znovu otevřela, zjistila jsem, že se mezitím vrátil ke svému stojanu a chopil se palety."
"taken","take","zjistila","zjistit","pf"," When I opened them again he had gone back to his easel and taken up his palette."," Když jsem oči znovu otevřela, zjistila jsem, že se mezitím vrátil ke svému stojanu a chopil se palety."
"taken","take","chopil","chopit","pf"," When I opened them again he had gone back to his easel and taken up his palette."," Když jsem oči znovu otevřela, zjistila jsem, že se mezitím vrátil ke svému stojanu a chopil se palety."
"sat","sit","Seděla","sedět","impf"," I sat in my chair and gazed at him over my shoulder."," Seděla jsem na židli a hleděla jsem na něho přes rameno."
"gazed","gaze","hleděla","hledět","impf"," I sat in my chair and gazed at him over my shoulder."," Seděla jsem na židli a hleděla jsem na něho přes rameno."
"handed","hand","podala","podat","pf"," In the morning when she unlocked the studio door to let me out she handed me the box and jewels."," Ráno, když odemkla dveře ateliéru, aby mě pustila ven, skříňku a šperky mi podala."
"place","place","umístit","umístit","pf"," My first task in the studio became to place the box and pearls back on the table, and set out the earrings if van Ruijven 's wife was coming to model."," Mým prvním úkolem v ateliéru bylo umístit skříňku i perly zpátky na stůl a vyndat náušnice, pokud měla přijít stát modelem van Ruijvenova paní."
"set","set","umístit","umístit","pf"," My first task in the studio became to place the box and pearls back on the table, and set out the earrings if van Ruijven 's wife was coming to model."," Mým prvním úkolem v ateliéru bylo umístit skříňku i perly zpátky na stůl a vyndat náušnice, pokud měla přijít stát modelem van Ruijvenova paní."
"coming","come","přijít","přijít","pf"," My first task in the studio became to place the box and pearls back on the table, and set out the earrings if van Ruijven 's wife was coming to model."," Mým prvním úkolem v ateliéru bylo umístit skříňku i perly zpátky na stůl a vyndat náušnice, pokud měla přijít stát modelem van Ruijvenova paní."
"watched","watch","sledovala","sledovat","impf"," Catharina watched from the doorway as I made the measurements with my arms and hands."," Catharina sledovala ze dveří, jak provádím měření pažemi a rukama."
"made","make","provádím","provádět","impf"," Catharina watched from the doorway as I made the measurements with my arms and hands."," Catharina sledovala ze dveří, jak provádím měření pažemi a rukama."
"asked","ask","nezeptala","zeptat","pf"," My gestures would have looked odd to anyone, but she never asked what I was doing."," Moje gesta by byla kdekomu připadala podivná, ona se však nikdy nezeptala, co dělám."
"doing","do","dělám","dělat","impf"," My gestures would have looked odd to anyone, but she never asked what I was doing."," Moje gesta by byla kdekomu připadala podivná, ona se však nikdy nezeptala, co dělám."
"put","put","položila","položit","pf"," By the time I put my foot on the top rung she was halfway up the ladder."," Nežli jsem položila nohu na horní příčku, stála už v půli žebříku."
"escape","escape","Uniknout","uniknout","pf"," I could not escape her, and there was no time to hide anything."," Uniknout jsem jí nemohla a na to, abych cokoli ukryla, nebyl čas."
"hide","hide","ukryla","ukrýt","pf"," I could not escape her, and there was no time to hide anything."," Uniknout jsem jí nemohla a na to, abych cokoli ukryla, nebyl čas."
"wore","wear","měla","mít","impf"," When Maria Thins climbed into the room, she quickly took in the shells laid in rows on the table, the jug of water, the apron I wore speckled with yellow from the massicot."," Sotva Maria Thins vystoupala do místnosti, rychle zaznamenala mušle rozložené v řadách po stole, džbán s vodou i zástěru poskvrněnou žlutí z masikotu, kterou jsem měla na sobě."
"thought","think","Myslela","myslet","impf"," I thought as much. '"," Myslela jsem si to. """
"want","want","nechtěla","chtít","impf"," I knew too that she would not want me there."," Navíc jsem věděla, že ani ona by mě tam nechtěla."
"looked","look","Hledala","hledat","impf"," I looked for the girls in their favourite place, the Beast Market round the corner from us, where livestock was sold."," Hledala jsem děvčata na jejich oblíbeném místě, na Dobytčím trhu za rohem od nás, kde se prodávala hospodářská zvířata."
"sold","sell","prodávala","prodávat","impf"," I looked for the girls in their favourite place, the Beast Market round the corner from us, where livestock was sold."," Hledala jsem děvčata na jejich oblíbeném místě, na Dobytčím trhu za rohem od nás, kde se prodávala hospodářská zvířata."
"found","find","Našla","najít","pf"," When I found them they were playing marbles and chasing one another."," Našla jsem je, jak hrají kuličky a honí se navzájem."
"playing","play","hrají","hrát","impf"," When I found them they were playing marbles and chasing one another."," Našla jsem je, jak hrají kuličky a honí se navzájem."
"chasing","chase","honí","honit","impf"," When I found them they were playing marbles and chasing one another."," Našla jsem je, jak hrají kuličky a honí se navzájem."
"walked","walk","šel","jít","impf"," Baby Johannes tumbled after them - unsteady on his feet, he half walked, half crawled."," Malý Johannes se batolil za nimi na nejistých nožkách, napůl šel a napůl lezl."
"crawled","crawl","lezl","lézt","impf"," Baby Johannes tumbled after them - unsteady on his feet, he half walked, half crawled."," Malý Johannes se batolil za nimi na nejistých nožkách, napůl šel a napůl lezl."
"held","hold","měli","mít","impf"," It was not the kind of play we would have been allowed on a Sunday, but Catholics held different views."," Nebylo to hraní, jaké bychom měli v neděli dovolené my, ale katolíci se na to dívali jinak."
"came","come","přišla","přijít","pf"," When Aleydis grew tired she came to sit with me."," Když se Aleydis unavila, přišla si sednout ke mně."
"sit","sit","sednout","sednout","pf"," When Aleydis grew tired she came to sit with me."," Když se Aleydis unavila, přišla si sednout ke mně."
"pleased","please","potěšilo","potěšit","pf"," Still, I was pleased to be in a familiar place."," Přesto mne potěšilo, že jsem na známém místě."
"called","call","zavolal","zavolat","pf"," As we passed between the stalls the butcher we used to buy our meat from before my father 's accident called out to me."," Jak jsme procházely mezi stánky, zavolal na mne řezník, u něhož jsme nakupovali maso před otcovou nehodou."
"surprised","surprise","překvapilo","překvapit","pf"," My mother was surprised to see me that afternoon."," Matku překvapilo, když mě odpoledne spatřila."
"see","see","spatřila","spatřit","pf"," My mother was surprised to see me that afternoon."," Matku překvapilo, když mě odpoledne spatřila."
"question","question","vyptávat","vyptávat","impf"," Luckily a neighbour was visiting and she could not question me closely."," Naštěstí u ní byla na návštěvě sousedka, takže se mě nemohla podrobně vyptávat."
"left","leave","odešla","odejít","pf"," He had changed much since I 'd left home, since Agnes had died."," Od doby, kdy jsem odešla z domova a kdy zemřela Agnes, se hodně změnil."
"died","die","zemřela","zemřít","pf"," He had changed much since I 'd left home, since Agnes had died."," Od doby, kdy jsem odešla z domova a kdy zemřela Agnes, se hodně změnil."
"changed","change","změnil","změnit","pf"," He had changed much since I 'd left home, since Agnes had died."," Od doby, kdy jsem odešla z domova a kdy zemřela Agnes, se hodně změnil."
"heard","hear","neslyšel","slyšet","impf"," ' I heard nothing of this!"," "" Nic jsem o tom neslyšel!"
"Stuck","stick","Trčím","trčet","impf"," Stuck in this factory day after day, nothing but white tiles as far as I can see."," Trčím v téhle fabrice den co den, nevidím nic než bílé kachle, kam oko dohlédne."
"see","see","nevidím","vidět","impf"," Stuck in this factory day after day, nothing but white tiles as far as I can see."," Trčím v téhle fabrice den co den, nevidím nic než bílé kachle, kam oko dohlédne."
"thinking","think","měl","mít","impf"," ' It 's Agnes you should be thinking of now. '"," "" Teď bys měl myslet na Agnes. """
"thinking","think","myslet","myslet","impf"," ' It 's Agnes you should be thinking of now. '"," "" Teď bys měl myslet na Agnes. """
"seen","see","viděla","vidět","impf"," He had grown taller since I 'd seen him months before."," Od doby před několika měsíci, kdy jsem ho posledně viděla, se vytáhl do výšky."
"going","go","chodíš","chodit","impf"," ' Frans, have you been going to church? '"," "" Fransi, chodíš do kostela? """
"bring","bring","přimět","přimět","pf"," I could not bring myself to question him further."," Nedokázala jsem se přimět, abych ho vyslýchala dál."
"question","question","vyslýchala","vyslýchat","impf"," I could not bring myself to question him further."," Nedokázala jsem se přimět, abych ho vyslýchala dál."
"tried","try","Pokusila","pokusit","pf"," I tried to think of something else."," Pokusila jsem se myslet na něco jiného."
"think","think","myslet","myslet","impf"," I tried to think of something else."," Pokusila jsem se myslet na něco jiného."
"looked","look","Hleděla","hledět","impf"," I looked out the window and watched a boat moving along the canal."," Hleděla jsem z okna a sledovala jsem loď plující po kanálu."
"watched","watch","Hleděla","hledět","impf"," I looked out the window and watched a boat moving along the canal."," Hleděla jsem z okna a sledovala jsem loď plující po kanálu."
"watched","watch","sledovala","sledovat","impf"," I looked out the window and watched a boat moving along the canal."," Hleděla jsem z okna a sledovala jsem loď plující po kanálu."
"helped","help","pomohl","pomoci","pf"," The man poling it was the man who had helped me get the pot from the canal my first day."," Muž u bidla byl ten, který mi v můj první den pomohl vylovit konev z vody."
"changed","change","změnilo","změnit","pf"," How much has changed since that morning, I thought."," Kolik se toho od onoho rána změnilo, napadlo mě."
"seen","see","neviděla","vidět","impf"," I had not even seen one of his paintings then."," Tehdy jsem ještě ani neviděla žádný z jeho obrazů."
"look","look","díváš","dívat","impf"," ' Do n't look at what you are looking at, ' he said."," "" Neprohlížej si to, nač se díváš, "" napomenul mě."
"looking","look","díváš","dívat","impf"," ' Do n't look at what you are looking at, ' he said."," "" Neprohlížej si to, nač se díváš, "" napomenul mě."
"calculating","calculate","počítala","počítat","impf"," She paused, as if calculating how long it would take me to get from place to place."," Odmlčela se, jako by počítala, jak dlouho mi potrvá, dostat se z jednoho místa na druhé."
"take","take","potrvá","trvat","impf"," She paused, as if calculating how long it would take me to get from place to place."," Odmlčela se, jako by počítala, jak dlouho mi potrvá, dostat se z jednoho místa na druhé."
"take","take","dostat","dostat","pf"," She paused, as if calculating how long it would take me to get from place to place."," Odmlčela se, jako by počítala, jak dlouho mi potrvá, dostat se z jednoho místa na druhé."
"get","get","dostat","dostat","pf"," She paused, as if calculating how long it would take me to get from place to place."," Odmlčela se, jako by počítala, jak dlouho mi potrvá, dostat se z jednoho místa na druhé."
"go","go","jdi","jít","impf"," ' And then go to Jan Mayer 's house to ask when his brother is expected in Delft."," "" A pak se jdi přeptat do domu Jana Mayera, kdy čekají v Delftu jeho bratra."
"expected","expect","čekají","čekat","impf"," ' And then go to Jan Mayer 's house to ask when his brother is expected in Delft."," "" A pak se jdi přeptat do domu Jana Mayera, kdy čekají v Delftu jeho bratra."
"lives","live","Bydlí","bydlet","impf"," He lives by the Rietveld Tower."," Bydlí u Rietveldské věže."
"turn","turn","obrátit","obrátit","pf"," I was n't sure whether to turn round or wait for him to speak."," Nevěděla jsem jistě, jestli se mám obrátit, nebo počkat, až promluví."
"wait","wait","počkat","počkat","pf"," I was n't sure whether to turn round or wait for him to speak."," Nevěděla jsem jistě, jestli se mám obrátit, nebo počkat, až promluví."
"speak","speak","promluví","promluvit","pf"," I was n't sure whether to turn round or wait for him to speak."," Nevěděla jsem jistě, jestli se mám obrátit, nebo počkat, až promluví."
"turn","turn","otočit","otočit","pf"," He must have made the door creak, for then I was able to turn and face him."," Zřejmě nechal dveře zavrzat, a tehdy jsem se mohla otočit tváří k němu."
"wearing","wear","měl","mít","impf"," He was leaning against the threshold, wearing a long black robe over his daily clothes."," Opíral se o práh a přes denní oblečení měl dlouhý černý župan."
"watching","watch","pozoroval","pozorovat","impf"," He was watching me curiously, but he did not seem anxious that I might damage his box."," Zvědavě mě pozoroval, nezdál se však znepokojen, že bych mohla truhlu poškodit."
"seem","seem","nezdál","zdát","impf"," He was watching me curiously, but he did not seem anxious that I might damage his box."," Zvědavě mě pozoroval, nezdál se však znepokojen, že bych mohla truhlu poškodit."
"damage","damage","poškodit","poškodit","pf"," He was watching me curiously, but he did not seem anxious that I might damage his box."," Zvědavě mě pozoroval, nezdál se však znepokojen, že bych mohla truhlu poškodit."
"want","want","Chceš","chtít","impf"," ' Do you want to look in it? ' he asked."," "" Chceš se podívat dovnitř? "" zeptal se."
"look","look","podívat","podívat","pf"," ' Do you want to look in it? ' he asked."," "" Chceš se podívat dovnitř? "" zeptal se."
"asked","ask","zeptal","zeptat","pf"," ' Do you want to look in it? ' he asked."," "" Chceš se podívat dovnitř? "" zeptal se."
"walked","walk","Kráčela","kráčet","impf"," I walked as far as I could towards my family 's house, stopping only where a barrier manned by a soldier blocked the way."," Kráčela jsem směrem k domu mé rodiny, jak nejdál to šlo, a zastavila jsem se až tam, kde cestu přehrazoval zátaras hlídaný vojákem."
"walked","walk","šlo","jít","impf"," I walked as far as I could towards my family 's house, stopping only where a barrier manned by a soldier blocked the way."," Kráčela jsem směrem k domu mé rodiny, jak nejdál to šlo, a zastavila jsem se až tam, kde cestu přehrazoval zátaras hlídaný vojákem."
"asked","ask","zeptala","zeptat","pf"," ' How is it, ' I asked the soldier, ' back there? '"," "" Jak to vypadá, "" zeptala jsem se vojáka, "" tam dál? """
"reply","reply","neodpověděl","odpovědět","pf"," He shrugged and did not reply."," Pokrčil rameny a neodpověděl."
"died","die","zemřeli","zemřít","pf"," Of those who have died? '"," Těch, kdo zemřeli? """
"need","need","nemusíš","muset","impf"," So you do not need to preach to me."," Takže mi nemusíš dělat kázání."
"do","do","dělat","dělat","impf"," So you do not need to preach to me."," Takže mi nemusíš dělat kázání."
"heard","hear","slyšel","slyšet","impf"," I have heard such words before. '"," Taková slova už jsem slyšel. """
"stared","stare","Zírala","zírat","impf"," I stared at him."," Zírala jsem na něho."
"decide","decide","rozhodl","rozhodnout","pf"," I had never known anyone to decide no longer to be a Protestant."," Nikdy jsem nepoznala nikoho, kdo by se rozhodl nebýt nadále protestantem."
"believe","believe","Nevěřila","věřit","impf"," I did not believe you really could switch."," Nevěřila jsem, že člověk opravdu může přestoupit."
"switch","switch","přestoupit","přestoupit","pf"," I did not believe you really could switch."," Nevěřila jsem, že člověk opravdu může přestoupit."
"waiting","wait","čeká","čekat","impf"," He seemed to be waiting for me to speak."," Zdálo se, že čeká, až promluvím."
"speak","speak","promluvím","promluvit","pf"," He seemed to be waiting for me to speak."," Zdálo se, že čeká, až promluvím."
"began","begin","začala","začít","pf"," ' Though I have never been inside a Catholic church, ' I began slowly, ' I think that if I saw a painting there, it would be like yours."," "" Ačkoli jsem nikdy uvnitř katolického kostela nebyla, "" začala jsem pomalu, "" myslím, že kdybych tam nějaký obraz viděla, vypadal by jako ty vaše."
"think","think","myslím","myslet","impf"," ' Though I have never been inside a Catholic church, ' I began slowly, ' I think that if I saw a painting there, it would be like yours."," "" Ačkoli jsem nikdy uvnitř katolického kostela nebyla, "" začala jsem pomalu, "" myslím, že kdybych tam nějaký obraz viděla, vypadal by jako ty vaše."
"saw","see","viděla","vidět","impf"," ' Though I have never been inside a Catholic church, ' I began slowly, ' I think that if I saw a painting there, it would be like yours."," "" Ačkoli jsem nikdy uvnitř katolického kostela nebyla, "" začala jsem pomalu, "" myslím, že kdybych tam nějaký obraz viděla, vypadal by jako ty vaše."
"asked","ask","zeptala","zeptat","pf"," ' Will Mama have the baby soon? ' she asked."," "" Narodí se mamince to miminko už brzy? "" zeptala se."
"said","say","říkala","říkat","impf"," ' Your grandmother said she would."," "" Tvoje babička říkala, že ano."
"see","see","podíváme","podívat","pf"," We 'll go back in a bit and see them. '"," Za chvíli se vrátíme a podíváme se na ně. """
"think","think","Myslím","myslet","impf"," ' I should think so. '"," "" Myslím, že ano. """
"paint","paint","malovat","malovat","impf"," ' Will he paint more quickly now there 's another baby? '"," "" Bude malovat rychleji, když teď přijde nové děťátko? """
"answer","answer","Neodpověděla","odpovědět","pf"," I did not answer."," Neodpověděla jsem."
"want","want","Nechtěla","chtít","impf"," I did not want to hear more."," Nechtěla jsem slyšet víc."
"hear","hear","slyšet","slyšet","impf"," I did not want to hear more."," Nechtěla jsem slyšet víc."
"returned","return","vrátili","vrátit","pf"," When we returned he was standing in the doorway."," Když jsme se vrátili, stál ve dveřích."
"enjoying","enjoy","Užíváš","užívat","impf"," Are you enjoying the sun? '"," Užíváš si sluníčka? """
"made","make","šila","šít","impf"," I kept my eyes on the stitches I had made."," Nespouštěla jsem oči ze stehů, které jsem šila."
"feel","feel","Cítila","cítit","impf"," I could feel him looking at me."," Cítila jsem, že se na mě dívá."
"looking","look","dívá","dívat","impf"," I could feel him looking at me."," Cítila jsem, že se na mě dívá."
"spoke","speak","Mluvil","mluvit","impf"," ' It was you he spoke to. '"," "" Mluvil přece s vámi. """
"needs","need","potřebuje","potřebovat","impf"," My mistress needs dried elderflowers and an elixir of coltsfoot."," Paní potřebuje sušený bezinkový květ a podbělovou tinkturu."
"took","take","Vzal","vzít","pf"," He took it with a puzzled expression, but when he read the slip of paper he nodded."," Vzal si ho se zmateným výrazem ve tváři, ale když si lístek přečetl, přikývl."
"read","read","přečetl","přečíst","pf"," He took it with a puzzled expression, but when he read the slip of paper he nodded."," Vzal si ho se zmateným výrazem ve tváři, ale když si lístek přečetl, přikývl."
"nodded","nod","přikývl","přikývnout","pf"," He took it with a puzzled expression, but when he read the slip of paper he nodded."," Vzal si ho se zmateným výrazem ve tváři, ale když si lístek přečetl, přikývl."
"murmured","murmur","zamumlal","zamumlat","pf"," ' Run out of bone black and ochre, ' he murmured."," "" Došla mu kostní čerň a okr, "" zamumlal."
"repaired","repair","spraví","spravit","pf"," ' That 's easily repaired."," "" To se snadno spraví."
"warned","warn","varoval","varovat","impf"," It was as van Leeuwenhoek had warned me."," Bylo to tak, jak mě van Leeuwenhoek varoval."
"saw","see","spatřila","spatřit","pf"," When Catharina saw her earring in the painting she would explode."," Kdyby Catharina na obraze spatřila svou náušnici, vybuchla by."
"explode","explode","vybuchla","vybuchnout","pf"," When Catharina saw her earring in the painting she would explode."," Kdyby Catharina na obraze spatřila svou náušnici, vybuchla by."
"painting","paint","Malujete","malovat","impf"," ' You are painting it for van Ruijven, ' I argued instead, ' not for yourself."," "" Malujete ten obraz pro van Ruijvena, "" namítla jsem místo toho, "" ne pro sebe."
"matter","matter","Záleží","záležet","impf"," Does it matter so much?"," Záleží na tom tolik?"
"said","say","řekl","říci","pf"," You said yourself that he would be satisfied with it. '"," Sám jste řekl, že on s ním spokojený bude. """
"said","say","řekla","říci","pf"," His face hardened and I knew I had said the wrong thing."," Tvář mu ztvrdla a já jsem věděla, že jsem řekla něco špatného."
"wait","wait","čekat","čekat","impf"," I had to wait patiently for her to pass me tidbits of news."," Musela jsem trpělivě čekat, až mi útržky novinek sdělí."
"pass","pass","sdělí","sdělit","pf"," I had to wait patiently for her to pass me tidbits of news."," Musela jsem trpělivě čekat, až mi útržky novinek sdělí."
"tolerated","tolerate","toleroval","tolerovat","impf"," Pieter tolerated her visits but I knew she made him uneasy."," Pieter její návštěvy toleroval, ale věděla jsem, že ho znepokojuje."
"expected","expect","očekávala","očekávat","impf"," None was what I had expected of him."," Žádný z nich nevypadal tak, jak jsem od něj očekávala."
"discovered","discover","zjistila","zjistit","pf"," Later I discovered they were all by other painters - he rarely kept his own finished paintings in the house."," Později jsem zjistila, že všechny pocházejí od jiných malířů - svoje vlastní dokončené malby ponechával v domě zřídka."
"hung","hang","visely","viset","impf"," He was an art dealer as well as an artist, and paintings hung in almost every room, even where I slept."," Byl nejenom malířem, ale také obchodníkem s uměním, takže obrazy visely skoro v každé místnosti, dokonce i tam, kde jsem spala já."
"slept","sleep","spala","spát","impf"," He was an art dealer as well as an artist, and paintings hung in almost every room, even where I slept."," Byl nejenom malířem, ale také obchodníkem s uměním, takže obrazy visely skoro v každé místnosti, dokonce i tam, kde jsem spala já."
"varied","vary","měnil","měnit","impf"," There were more than fifty in all, though the number varied over time as he traded and sold them."," Celkem jich bylo přes padesát, ačkoli tento počet se časem měnil, jak je vyměňoval a prodával."
"sold","sell","prodával","prodávat","impf"," There were more than fifty in all, though the number varied over time as he traded and sold them."," Celkem jich bylo přes padesát, ačkoli tento počet se časem měnil, jak je vyměňoval a prodával."
"Come","come","pojď","jít","impf"," ' Come now, no need to idle and gape. '"," "" Tak už pojď, není třeba zahálet a lelkovat. """
"reached","reach","Dorazila","dorazit","pf"," I reached the centre of the square and stopped in the circle of tiles with the eight-pointed star in the middle."," Dorazila jsem do středu náměstí a zastavila jsem se v kruhu dlaždic s osmicípou hvězdou uprostřed."
"indicated","indicate","naznačoval","naznačovat","impf"," Each point indicated a direction I could take."," Každý cíp naznačoval směr, kterým jsem se mohla dát."
"find","find","najít","najít","pf"," I could find Pieter at the Meat Hall and agree to marry him."," Mohla jsem v Masných krámech najít Pietera a přistoupit na to, že si ho vezmu."
"go","go","jít","jít","impf"," I could go to van Ruijven 's house - he would take me in with a smile."," Mohla jsem jít do domu van Ruijvena - přijal by mě s úsměvem."
"take","take","přijal","přijmout","pf"," I could go to van Ruijven 's house - he would take me in with a smile."," Mohla jsem jít do domu van Ruijvena - přijal by mě s úsměvem."
"go","go","jít","jít","impf"," I could go to van Leeuwenhoek and ask him to take pity on me."," Mohla jsem jít k van Leeuwenhoekovi a požádat ho, aby se nade mnou slitoval."
"ask","ask","požádat","požádat","pf"," I could go to van Leeuwenhoek and ask him to take pity on me."," Mohla jsem jít k van Leeuwenhoekovi a požádat ho, aby se nade mnou slitoval."
"say","say","odpovědět","odpovědět","pf"," I did not know what to say."," Nevěděla jsem, co odpovědět."
"longed","long","toužila","toužit","impf"," Ask him, I longed to tell her."," "" Zeptejte se jeho, toužila jsem jí říci."
"tell","tell","říci","říci","pf"," Ask him, I longed to tell her."," "" Zeptejte se jeho, toužila jsem jí říci."
"call","call","nezavolala","zavolat","pf"," But she did not call to him."," Ona však na něj nezavolala."
"appear","appear","neobjevil","objevit","pf"," Nor did he appear at the bottom of the ladder to explain."," Ani on se neobjevil dole u žebříku, aby něco vysvětloval."
"explain","explain","vysvětloval","vysvětlovat","impf"," Nor did he appear at the bottom of the ladder to explain."," Ani on se neobjevil dole u žebříku, aby něco vysvětloval."
"look","look","dívat","dívat","impf"," It was odd to look at it with the setting just behind it."," Bylo zvláštní dívat se na něj a vidět jeho námět přímo za ním."
