"looked","look","pohlédli","pohlédnout","pf"," The two men looked at each other with a scare."," Oba na sebe vystrašeně pohlédli."
"spoke","speak","řekl","říci","pf"," “ That is the same drug that I was always bringing him, ” said Poole; and even as he spoke, the kettle with a startling noise boiled over."," "" To je ta droga, kterou jsem mu nosil, "" řekl Poole a v té chvíli vroucí voda v kotlíku překypěla, až sebou trhli."
"lost","lose","ztratil","ztratit","pf"," He must have lost his head, or he never would have left the stick or, above all, burned the cheque book."," "" Patrně ztratil hlavu, protože by tam jakživ nebyl nechal tu hůl, a hlavně by nebyl spálil šekovou knížku."
"left","leave","nechal","nechat","pf"," He must have lost his head, or he never would have left the stick or, above all, burned the cheque book."," "" Patrně ztratil hlavu, protože by tam jakživ nebyl nechal tu hůl, a hlavně by nebyl spálil šekovou knížku."
"burned","burn","spálil","spálit","pf"," He must have lost his head, or he never would have left the stick or, above all, burned the cheque book."," "" Patrně ztratil hlavu, protože by tam jakživ nebyl nechal tu hůl, a hlavně by nebyl spálil šekovou knížku."
"occupied","occupy","zaujímal","zaujímat","impf"," One house, however, second from the corner, was still occupied entire; and at the door of this, which wore a great air of wealth and comfort, though it was now plunged in darkness except for the fan-light, Mr Utterson stopped and knocked."," Ale jeden dům, druhý od rohu, dosud zaujímal jediný byt, a u jeho dveří, které svědčily o velké zámožnosti a blahobytu, ačkoli byly ponořeny v temnotu až na osvětlený obloukový vikýř nad nimi, zůstal pan Utterson stát a zaklepal."
"plunged","plunge","ponořeny","ponořit","pf"," One house, however, second from the corner, was still occupied entire; and at the door of this, which wore a great air of wealth and comfort, though it was now plunged in darkness except for the fan-light, Mr Utterson stopped and knocked."," Ale jeden dům, druhý od rohu, dosud zaujímal jediný byt, a u jeho dveří, které svědčily o velké zámožnosti a blahobytu, ačkoli byly ponořeny v temnotu až na osvětlený obloukový vikýř nad nimi, zůstal pan Utterson stát a zaklepal."
"stopped","stop","zůstal","zůstat","pf"," One house, however, second from the corner, was still occupied entire; and at the door of this, which wore a great air of wealth and comfort, though it was now plunged in darkness except for the fan-light, Mr Utterson stopped and knocked."," Ale jeden dům, druhý od rohu, dosud zaujímal jediný byt, a u jeho dveří, které svědčily o velké zámožnosti a blahobytu, ačkoli byly ponořeny v temnotu až na osvětlený obloukový vikýř nad nimi, zůstal pan Utterson stát a zaklepal."
"knocked","knock","zaklepal","zaklepat","pf"," One house, however, second from the corner, was still occupied entire; and at the door of this, which wore a great air of wealth and comfort, though it was now plunged in darkness except for the fan-light, Mr Utterson stopped and knocked."," Ale jeden dům, druhý od rohu, dosud zaujímal jediný byt, a u jeho dveří, které svědčily o velké zámožnosti a blahobytu, ačkoli byly ponořeny v temnotu až na osvětlený obloukový vikýř nad nimi, zůstal pan Utterson stát a zaklepal."
"opened","open","otevřel","otevřít","pf"," A well-dressed, elderly servant opened the door."," Dveře otevřel pěkně ustrojený starší sluha."
"asked","ask","zeptal","zeptat","pf"," “ Is Dr Jekyll at home, Poole? ” asked the lawyer."," "" Je dr. Jekyll doma, Poole? "" zeptal se advokát."
"think","think","myslím","myslet","impf"," The last, I think; for, O my poor old Harry Jekyll, if ever I read Satan ’ s signature upon a face, it is on that of your new friend! ”"," Tohle to, myslím, bude, protože jestli jsem někdy v něčí tváři uzřel znamení Satanovo, je to v obličeji tvého nového přítele, nešťastný Henry Jekylle! """
"rolling","roll","valil","valit","impf"," The fog still slept on the wing above the drowned city, where the lamps glimmered like carbuncles; and through the muffle and smother of these fallen clouds, the procession of the town ’ s life was still rolling in through the great arteries with a sound as of a mighty wind."," Londýn se dosud utápěl v husté těžké mlze, v níž svítilny žhnuly jako rubíny, a mohutný tok velkoměstského života, přitlumený a přidušený těmi spadlými mračny, dosud se valil širokými hlavními tepnami s burácením jakoby prudkého vichru."
"saw","see","Zahlédli","zahlédnout","pf"," They saw it but for a glimpse, for the window was instantly thrust down; but that glimpse had been sufficient, and they turned and left the court without a word."," Zahlédli jej pouze na okamžik, poněvadž okno se najednou prudce stáhlo dolů, ale ten okamžik postačil, a tak se beze slova obrátili a vyšli ze dvora."
"turned","turn","obrátili","obrátit","pf"," They saw it but for a glimpse, for the window was instantly thrust down; but that glimpse had been sufficient, and they turned and left the court without a word."," Zahlédli jej pouze na okamžik, poněvadž okno se najednou prudce stáhlo dolů, ale ten okamžik postačil, a tak se beze slova obrátili a vyšli ze dvora."
"said","say","prohlásil","prohlásit","pf"," “ Sir, ” said the butler, turning to a sort of mottled pallor, “ that thing was not my master, and there ’ s the truth."," "" Jenže ten člověk nebyl náš doktor, věřte mi, pane Uttersone! "" prohlásil Poole a v bledém obličeji mu naskákaly rudé skvrny."
"compare","compare","porovnával","porovnávat","impf"," “ Why did you compare them, Guest? ” he inquired suddenly."," "" Pročpak jste je porovnával, Gueste? "" zeptal se najednou."
"inquired","inquire","zeptal","zeptat","pf"," “ Why did you compare them, Guest? ” he inquired suddenly."," "" Pročpak jste je porovnával, Gueste? "" zeptal se najednou."
"burned","burn","spálila","spálit","pf"," At this moment, however, the rooms bore every mark of having been recently and hurriedly ransacked; clothes lay about the floor, with their pockets inside out; lockfast drawers stood open; and on the hearth there lay a pile of grey ashes, as though many papers had been burned."," V té chvíli však bylo v pokojích znát, že tam bylo nedávno všechno ve spěchu zpřeházeno - na podlaze se válelo šatstvo s kapsami obrácenými naruby, zásuvky na zámek byly povytažené a v krbu byla hromada šedivého popela, jako by se tam byla spálila spousta papírů."
"hung","hang","visely","viset","impf"," I looked down; my clothes hung formlessly on my shrunken limbs; the hand that lay on my knee was corded and hairy."," Sklopil jsem oči, a šaty mi beztvárně visely na smrsklém těle, na koleně mi ležela šlachovitá, chlupatá ruka."
"lay","lie","ležela","ležet","impf"," I looked down; my clothes hung formlessly on my shrunken limbs; the hand that lay on my knee was corded and hairy."," Sklopil jsem oči, a šaty mi beztvárně visely na smrsklém těle, na koleně mi ležela šlachovitá, chlupatá ruka."
"fail","fail","nenechal","nechat","pf"," My reason wavered, but it did not fail me utterly."," Můj rozum zakolísal, ale nenechal mě úplně na holičkách."
"screamed","scream","křičet","křičet","impf"," I could have screamed aloud; I sought with tears and prayers to smother down the crowd of hideous images and sounds with which my memory swarmed against me; and still, between the petitions, the ugly face of my iniquity stared into my soul."," Chtělo se mi hlasitě křičet, snažil jsem se pláčem a modlitbami zahnat shluky ohavných obrazů a zvuků, které se mi děsivě rojily v paměti, a přesto mi při úpěnlivém modlení každou chvíli nakoukla do duše ošklivá tvář mých nepravostí."
"sought","seek","snažil","snažit","impf"," I could have screamed aloud; I sought with tears and prayers to smother down the crowd of hideous images and sounds with which my memory swarmed against me; and still, between the petitions, the ugly face of my iniquity stared into my soul."," Chtělo se mi hlasitě křičet, snažil jsem se pláčem a modlitbami zahnat shluky ohavných obrazů a zvuků, které se mi děsivě rojily v paměti, a přesto mi při úpěnlivém modlení každou chvíli nakoukla do duše ošklivá tvář mých nepravostí."
"began","begin","začínaly","začínat","impf"," As the acuteness of this remorse began to die away, it was succeeded by a sense of joy."," Když mé prudké výčitky začínaly polevovat, pocítil jsem najednou radost."
"sat","sit","seděl","sedět","impf"," Presently after, he sat on one side of his own hearth, with Mr Guest, his head clerk, upon the other, and midway between, at a nicely calculated distance from the fire, a bottle of a particular old wine that had long dwelt unsunned in the foundations of his house."," Za chvíli už seděl doma u krbu a proti němu pan Guest, šéf jeho kanceláře - uprostřed mezi nimi v přesně odhadnuté vzdálenosti od ohně stála láhev vzácného starého ročníku vína, která dlouho přebývala v temném sklepení pod advokátovým domem."
"ruminated","ruminate","uvažoval","uvažovat","impf"," Utterson ruminated awhile; he was surprised at his friend ’ s selfishness, and yet relieved by it."," Utterson chvíli uvažoval - přítelovo sobectví ho překvapilo, a zároveň mu ulevilo."
"surprised","surprise","překvapilo","překvapit","pf"," Utterson ruminated awhile; he was surprised at his friend ’ s selfishness, and yet relieved by it."," Utterson chvíli uvažoval - přítelovo sobectví ho překvapilo, a zároveň mu ulevilo."
"relieved","relieve","ulevilo","ulevit","pf"," Utterson ruminated awhile; he was surprised at his friend ’ s selfishness, and yet relieved by it."," Utterson chvíli uvažoval - přítelovo sobectví ho překvapilo, a zároveň mu ulevilo."
"said","say","řekl","říci","pf"," “ Well, ” said he, at last, “ let me see the letter. ”"," "" Dobrá, ukaž ten dopis, "" řekl konečně."
"went","go","Chodil","chodit","impf"," He went to call indeed; but he was perhaps relieved to be denied admittance; perhaps, in his heart, he preferred to speak with Poole upon the doorstep, and surrounded by the air and sounds of the open city, rather than to be admitted into that house of voluntary bondage, and to sit and speak with its inscrutable recluse."," Chodil ho sice navštěvovat, ale možná, že se mu ulevilo, když ho k němu Poole nepustil - snad mu bylo koneckonců milejší pohovořit s Poolem před prahem, venku na vzduchu, uprostřed velkoměstského hluku, než kdyby byl měl vejít do toho domu dobrovolné poroby a posedět tam v rozhovoru s nevyzpytatelným poustevníkem."
"call","call","navštěvovat","navštěvovat","impf"," He went to call indeed; but he was perhaps relieved to be denied admittance; perhaps, in his heart, he preferred to speak with Poole upon the doorstep, and surrounded by the air and sounds of the open city, rather than to be admitted into that house of voluntary bondage, and to sit and speak with its inscrutable recluse."," Chodil ho sice navštěvovat, ale možná, že se mu ulevilo, když ho k němu Poole nepustil - snad mu bylo koneckonců milejší pohovořit s Poolem před prahem, venku na vzduchu, uprostřed velkoměstského hluku, než kdyby byl měl vejít do toho domu dobrovolné poroby a posedět tam v rozhovoru s nevyzpytatelným poustevníkem."
"relieved","relieve","ulevilo","ulevit","pf"," He went to call indeed; but he was perhaps relieved to be denied admittance; perhaps, in his heart, he preferred to speak with Poole upon the doorstep, and surrounded by the air and sounds of the open city, rather than to be admitted into that house of voluntary bondage, and to sit and speak with its inscrutable recluse."," Chodil ho sice navštěvovat, ale možná, že se mu ulevilo, když ho k němu Poole nepustil - snad mu bylo koneckonců milejší pohovořit s Poolem před prahem, venku na vzduchu, uprostřed velkoměstského hluku, než kdyby byl měl vejít do toho domu dobrovolné poroby a posedět tam v rozhovoru s nevyzpytatelným poustevníkem."
"admitted","admit","nepustil","pustit","pf"," He went to call indeed; but he was perhaps relieved to be denied admittance; perhaps, in his heart, he preferred to speak with Poole upon the doorstep, and surrounded by the air and sounds of the open city, rather than to be admitted into that house of voluntary bondage, and to sit and speak with its inscrutable recluse."," Chodil ho sice navštěvovat, ale možná, že se mu ulevilo, když ho k němu Poole nepustil - snad mu bylo koneckonců milejší pohovořit s Poolem před prahem, venku na vzduchu, uprostřed velkoměstského hluku, než kdyby byl měl vejít do toho domu dobrovolné poroby a posedět tam v rozhovoru s nevyzpytatelným poustevníkem."
"understood","understand","pochopíš","pochopit","pf"," Five minutes afterwards, if you insist upon an explanation, you will have understood that these arrangements are of capital importance; and that by the neglect of one of them, fantastic as they must appear, you might have charged your conscience with my death or the shipwreck of my reason."," Přeješ - li si stůj co stůj nějaké vysvětlení, pochopíš pak v pěti minutách, proč všechna tato opatření jsou obrovsky důležitá, a že kdybys některé z nich zanedbal, ač se ti jistě zdají podivínská, mohl bys mít na svědomí mou smrt nebo to, že bych přišel o rozum."
"appear","appear","zdají","zdát","impf"," Five minutes afterwards, if you insist upon an explanation, you will have understood that these arrangements are of capital importance; and that by the neglect of one of them, fantastic as they must appear, you might have charged your conscience with my death or the shipwreck of my reason."," Přeješ - li si stůj co stůj nějaké vysvětlení, pochopíš pak v pěti minutách, proč všechna tato opatření jsou obrovsky důležitá, a že kdybys některé z nich zanedbal, ač se ti jistě zdají podivínská, mohl bys mít na svědomí mou smrt nebo to, že bych přišel o rozum."
"appear","appear","přišel","přijít","pf"," Five minutes afterwards, if you insist upon an explanation, you will have understood that these arrangements are of capital importance; and that by the neglect of one of them, fantastic as they must appear, you might have charged your conscience with my death or the shipwreck of my reason."," Přeješ - li si stůj co stůj nějaké vysvětlení, pochopíš pak v pěti minutách, proč všechna tato opatření jsou obrovsky důležitá, a že kdybys některé z nich zanedbal, ač se ti jistě zdají podivínská, mohl bys mít na svědomí mou smrt nebo to, že bych přišel o rozum."
"thought","think","pomyslil","pomyslit","pf"," “ This Master Hyde, if he were studied, ” thought he, “ must have secrets of his own : black secrets, by the look of him; secrets compared to which poor Jekyll ’ s worst would be like sunshine."," "" Kdybychom se na toho pana Hyda důkladně podívali, "" pomyslil si, "" jistě má také nějaká svá tajemství - ošklivá tajemství, vypadá na to - tajemství tak temná, že v porovnání s nimi i to nejhorší chudáka Jekylla bylo by jako sluneční jas."
"thought","think","má","mít","impf"," “ This Master Hyde, if he were studied, ” thought he, “ must have secrets of his own : black secrets, by the look of him; secrets compared to which poor Jekyll ’ s worst would be like sunshine."," "" Kdybychom se na toho pana Hyda důkladně podívali, "" pomyslil si, "" jistě má také nějaká svá tajemství - ošklivá tajemství, vypadá na to - tajemství tak temná, že v porovnání s nimi i to nejhorší chudáka Jekylla bylo by jako sluneční jas."
"glowing","glow","hořel","hořet","impf"," There lay the cabinet before their eyes in the quiet lamplight, a good fire glowing and chattering on the hearth, the kettle singing its thin strain, a drawer or two open, papers neatly set forth on the business table, and nearer the fire, the things laid out for tea; the quietest room, you would have said, and, but for the glazed presses full of chemicals, the most commonplace that night in London."," Měli před očima pracovnu v klidném světle lampy, v krbu hořel a praskal vydatný oheň, kotlík si bzučel slabým sykotem, tu a tam otevřená zásuvka, na stole pěkně urovnané hromádky papírů a poblíž krbu stolek prostřený k čaji - člověk by byl řekl : nejklidnější pokoj, a nebýt zasklených skříní plných chemikálií, nejnormálnější pokoj té noci v celém Londýně."
"said","say","řekl","říci","pf"," There lay the cabinet before their eyes in the quiet lamplight, a good fire glowing and chattering on the hearth, the kettle singing its thin strain, a drawer or two open, papers neatly set forth on the business table, and nearer the fire, the things laid out for tea; the quietest room, you would have said, and, but for the glazed presses full of chemicals, the most commonplace that night in London."," Měli před očima pracovnu v klidném světle lampy, v krbu hořel a praskal vydatný oheň, kotlík si bzučel slabým sykotem, tu a tam otevřená zásuvka, na stole pěkně urovnané hromádky papírů a poblíž krbu stolek prostřený k čaji - člověk by byl řekl : nejklidnější pokoj, a nebýt zasklených skříní plných chemikálií, nejnormálnější pokoj té noci v celém Londýně."
"taken","take","vzal","vzít","pf"," On this night, however, as soon as the cloth was taken away, he took up a candle and went into his business room."," Avšak toho večera, jakmile se najedl, vzal svíčku a šel do své kanceláře."
"took","take","vzal","vzít","pf"," On this night, however, as soon as the cloth was taken away, he took up a candle and went into his business room."," Avšak toho večera, jakmile se najedl, vzal svíčku a šel do své kanceláře."
"went","go","šel","jít","impf"," On this night, however, as soon as the cloth was taken away, he took up a candle and went into his business room."," Avšak toho večera, jakmile se najedl, vzal svíčku a šel do své kanceláře."
"opened","open","otevřel","otevřít","pf"," There he opened his safe, took from the most private part of it a document endorsed on the envelope as Dr Jekyll ’ s Will, and sat down with a clouded brow to study its contents."," Tam otevřel nedobytnou pokladnu, z jejího nejtajnějšího koutku vytáhl dokument v obálce, nadepsané Závěť dr. Jekylla, se zachmuřeným čelem se posadil a zahloubal se do jejího obsahu."
"sat","sit","posadil","posadit","pf"," There he opened his safe, took from the most private part of it a document endorsed on the envelope as Dr Jekyll ’ s Will, and sat down with a clouded brow to study its contents."," Tam otevřel nedobytnou pokladnu, z jejího nejtajnějšího koutku vytáhl dokument v obálce, nadepsané Závěť dr. Jekylla, se zachmuřeným čelem se posadil a zahloubal se do jejího obsahu."
"come","come","Přišli","přijít","pf"," “ We have come too late, ” he said sternly, “ whether to save or punish."," "" Přišli jsme pozdě, "" řekl zachmuřeně, "" ať zachránit, či ztrestat."
"said","say","řekl","říci","pf"," “ We have come too late, ” he said sternly, “ whether to save or punish."," "" Přišli jsme pozdě, "" řekl zachmuřeně, "" ať zachránit, či ztrestat."
"save","save","zachránit","zachránit","pf"," “ We have come too late, ” he said sternly, “ whether to save or punish."," "" Přišli jsme pozdě, "" řekl zachmuřeně, "" ať zachránit, či ztrestat."
"listened","listen","poslouchal","poslouchat","impf"," The lawyer listened gloomily; he did not like his friend ’ s feverish manner."," Advokát to poslouchal zachmuřený - přítelovo horečné zapřísahání se mu docela nic nelíbilo."
"like","like","nelíbilo","líbit","impf"," The lawyer listened gloomily; he did not like his friend ’ s feverish manner."," Advokát to poslouchal zachmuřený - přítelovo horečné zapřísahání se mu docela nic nelíbilo."
"sat","sit","Seděl","sedět","impf"," I sat in the sun on a bench; the animal within me licking the chops of memory; the spiritual side a little drowsed, promising subsequent penitence, but not yet moved to begin."," Seděl jsem na lavičce na slunci, ta šelma ve mně olizovala zbytky mých vzpomínek - má duchovní stránka trochu podřimovala, slibovala, že se hned začne kát, ale nějak se jí do toho nechtělo."
"promising","promise","slibovala","slibovat","impf"," I sat in the sun on a bench; the animal within me licking the chops of memory; the spiritual side a little drowsed, promising subsequent penitence, but not yet moved to begin."," Seděl jsem na lavičce na slunci, ta šelma ve mně olizovala zbytky mých vzpomínek - má duchovní stránka trochu podřimovala, slibovala, že se hned začne kát, ale nějak se jí do toho nechtělo."
"begin","begin","začne","začít","pf"," I sat in the sun on a bench; the animal within me licking the chops of memory; the spiritual side a little drowsed, promising subsequent penitence, but not yet moved to begin."," Seděl jsem na lavičce na slunci, ta šelma ve mně olizovala zbytky mých vzpomínek - má duchovní stránka trochu podřimovala, slibovala, že se hned začne kát, ale nějak se jí do toho nechtělo."
"smiled","smile","usmívat","usmívat","impf"," After all, I reflected, I was like my neighbours; and then I smiled, comparing myself with other men, comparing my active goodwill with the lazy cruelty of their neglect."," Vždyť jsem nakonec stejný jako mí bližní, říkal jsem si a musel jsem se usmívat, když jsem se porovnával s jinými lidmi, když jsem svou činorodou dobrou vůli porovnával s jejich nedbalou, lenivou krutostí."
"comparing","compare","porovnával","porovnávat","impf"," After all, I reflected, I was like my neighbours; and then I smiled, comparing myself with other men, comparing my active goodwill with the lazy cruelty of their neglect."," Vždyť jsem nakonec stejný jako mí bližní, říkal jsem si a musel jsem se usmívat, když jsem se porovnával s jinými lidmi, když jsem svou činorodou dobrou vůli porovnával s jejich nedbalou, lenivou krutostí."
"comparing","compare","porovnával","porovnávat","impf"," After all, I reflected, I was like my neighbours; and then I smiled, comparing myself with other men, comparing my active goodwill with the lazy cruelty of their neglect."," Vždyť jsem nakonec stejný jako mí bližní, říkal jsem si a musel jsem se usmívat, když jsem se porovnával s jinými lidmi, když jsem svou činorodou dobrou vůli porovnával s jejich nedbalou, lenivou krutostí."
"comparing","compare","porovnával","porovnávat","impf"," After all, I reflected, I was like my neighbours; and then I smiled, comparing myself with other men, comparing my active goodwill with the lazy cruelty of their neglect."," Vždyť jsem nakonec stejný jako mí bližní, říkal jsem si a musel jsem se usmívat, když jsem se porovnával s jinými lidmi, když jsem svou činorodou dobrou vůli porovnával s jejich nedbalou, lenivou krutostí."
"comparing","compare","porovnával","porovnávat","impf"," After all, I reflected, I was like my neighbours; and then I smiled, comparing myself with other men, comparing my active goodwill with the lazy cruelty of their neglect."," Vždyť jsem nakonec stejný jako mí bližní, říkal jsem si a musel jsem se usmívat, když jsem se porovnával s jinými lidmi, když jsem svou činorodou dobrou vůli porovnával s jejich nedbalou, lenivou krutostí."
"suppose","suppose","Domnívám","domnívat","impf"," I do not suppose that when a drunkard reasons with himself upon his vice, he is once out of five hundred times affected by the dangers that he runs through his brutish physical insensibility; neither had I, long as I had considered my position, made enough allowance for the complete moral insensibility and insensate readiness to evil which were the leading characters of Edward Hyde."," Domnívám se, že když se piják zamyslí nad svou neřestí, nenapadne mu snad ani v jediném případě z pěti set, aby uvážil nebezpečí, jakým se svou zvířeckou tělesnou otupělostí vydává - a právě tak já, byť jsem o svém postavení uvažoval hezky dlouho, přesto jsem si dostatečně nepřipouštěl možnost úplného mravního otupění a zběsilý sklon k páchání zla, jimiž se především vyznačoval Hyde."
"considered","consider","Domnívám","domnívat","impf"," I do not suppose that when a drunkard reasons with himself upon his vice, he is once out of five hundred times affected by the dangers that he runs through his brutish physical insensibility; neither had I, long as I had considered my position, made enough allowance for the complete moral insensibility and insensate readiness to evil which were the leading characters of Edward Hyde."," Domnívám se, že když se piják zamyslí nad svou neřestí, nenapadne mu snad ani v jediném případě z pěti set, aby uvážil nebezpečí, jakým se svou zvířeckou tělesnou otupělostí vydává - a právě tak já, byť jsem o svém postavení uvažoval hezky dlouho, přesto jsem si dostatečně nepřipouštěl možnost úplného mravního otupění a zběsilý sklon k páchání zla, jimiž se především vyznačoval Hyde."
"considered","consider","uvážil","uvážit","pf"," I do not suppose that when a drunkard reasons with himself upon his vice, he is once out of five hundred times affected by the dangers that he runs through his brutish physical insensibility; neither had I, long as I had considered my position, made enough allowance for the complete moral insensibility and insensate readiness to evil which were the leading characters of Edward Hyde."," Domnívám se, že když se piják zamyslí nad svou neřestí, nenapadne mu snad ani v jediném případě z pěti set, aby uvážil nebezpečí, jakým se svou zvířeckou tělesnou otupělostí vydává - a právě tak já, byť jsem o svém postavení uvažoval hezky dlouho, přesto jsem si dostatečně nepřipouštěl možnost úplného mravního otupění a zběsilý sklon k páchání zla, jimiž se především vyznačoval Hyde."
"considered","consider","uvažoval","uvažovat","impf"," I do not suppose that when a drunkard reasons with himself upon his vice, he is once out of five hundred times affected by the dangers that he runs through his brutish physical insensibility; neither had I, long as I had considered my position, made enough allowance for the complete moral insensibility and insensate readiness to evil which were the leading characters of Edward Hyde."," Domnívám se, že když se piják zamyslí nad svou neřestí, nenapadne mu snad ani v jediném případě z pěti set, aby uvážil nebezpečí, jakým se svou zvířeckou tělesnou otupělostí vydává - a právě tak já, byť jsem o svém postavení uvažoval hezky dlouho, přesto jsem si dostatečně nepřipouštěl možnost úplného mravního otupění a zběsilý sklon k páchání zla, jimiž se především vyznačoval Hyde."
"suppose","suppose","nepřipouštěl","připouštět","impf"," I do not suppose that when a drunkard reasons with himself upon his vice, he is once out of five hundred times affected by the dangers that he runs through his brutish physical insensibility; neither had I, long as I had considered my position, made enough allowance for the complete moral insensibility and insensate readiness to evil which were the leading characters of Edward Hyde."," Domnívám se, že když se piják zamyslí nad svou neřestí, nenapadne mu snad ani v jediném případě z pěti set, aby uvážil nebezpečí, jakým se svou zvířeckou tělesnou otupělostí vydává - a právě tak já, byť jsem o svém postavení uvažoval hezky dlouho, přesto jsem si dostatečně nepřipouštěl možnost úplného mravního otupění a zběsilý sklon k páchání zla, jimiž se především vyznačoval Hyde."
"said","say","řekl","říci","pf"," “ He must be buried here, ” he said, hearkening to the sound."," "" Jistě ho zakopal tady, "" řekl a poslouchal, jak se to bude ozývat."
"remains","remain","zbývá","zbývat","impf"," Hyde is gone to his account; and only remains for us to find the body of your master. ”"," Hyde si svoje odpyká, a nám už zbývá jen nalézt doktorovu mrtvolu. """
"saw","see","uviděl","uvidět","pf"," But the hand which I now saw, clearly enough in the yellow light of a mid-London morning, lying half shut on the bed-clothes, was lean, corded, knuckly, of a dusky pallor, and thickly shaded with a swart growth of hair."," Ale ruka, kterou jsem v té chvíli uviděl docela jasně ve žlutavém světle začouzeného londýnského jitra, jak lehce sevřená leží na ložním povlaku, byla hubená, šlachovitá, kostnatá, sinavě bledá a hustě ochmýřená tmavými chloupky."
"lying","lie","leží","ležet","impf"," But the hand which I now saw, clearly enough in the yellow light of a mid-London morning, lying half shut on the bed-clothes, was lean, corded, knuckly, of a dusky pallor, and thickly shaded with a swart growth of hair."," Ale ruka, kterou jsem v té chvíli uviděl docela jasně ve žlutavém světle začouzeného londýnského jitra, jak lehce sevřená leží na ložním povlaku, byla hubená, šlachovitá, kostnatá, sinavě bledá a hustě ochmýřená tmavými chloupky."
"put","put","řekněte","říci","pf"," But hark again, a little closer - put your heart in your ears Mr Utterson, and tell me, is that the doctor ’ s foot? ”"," Ale poslouchejte ještě líp, pane Uttersone - napněte sluch, vložte se do toho srdcem, a pak mi řekněte - je tohle chůze doktora Jekylla? """
"tell","tell","řekněte","říci","pf"," But hark again, a little closer - put your heart in your ears Mr Utterson, and tell me, is that the doctor ’ s foot? ”"," Ale poslouchejte ještě líp, pane Uttersone - napněte sluch, vložte se do toho srdcem, a pak mi řekněte - je tohle chůze doktora Jekylla? """
"said","say","odpověděl","odpovědět","pf"," “ Once, ” he said."," "" Jen jednou, "" odpověděl."
"heard","hear","slyšel","slyšet","impf"," “ Once I heard it weeping! “"," "" Jednou jsem to slyšel plakat! """
"weeping","weep","plakat","plakat","impf"," “ Once I heard it weeping! “"," "" Jednou jsem to slyšel plakat! """
"led","lead","vedl","vést","impf"," For two months, however, I was true to my determination; for two months I led a life of such severity as I had never before attained to, and enjoyed the compensations of an approving conscience."," Ale dva měsíce jsem se svému předsevzetí nezpronevěřil - dva měsíce jsem vedl život tak bezúhonný, jako jakživ předtím, a za odměnu jsem získal pochvalu svědomí."
"tell","tell","řekl","říci","pf"," To tell you the truth, I am uneasy about poor Jekyll; and even outside, I feel as if the presence of a friend might do him good. ”"," Abych řekl pravdu, chudák Jekyll mi dělá starosti, a tak si myslím, že by mu blízkost přítele mohla prospět, i když zůstaneme tady venku. """
"do","do","dělá","dělat","impf"," To tell you the truth, I am uneasy about poor Jekyll; and even outside, I feel as if the presence of a friend might do him good. ”"," Abych řekl pravdu, chudák Jekyll mi dělá starosti, a tak si myslím, že by mu blízkost přítele mohla prospět, i když zůstaneme tady venku. """
"listen","listen","poslouchal","poslouchat","impf"," Here Poole motioned him to stand on one side and listen; while he himself, setting down the candle and making a great and obvious call on his resolution, mounted the steps, and knocked with a somewhat uncertain hand on the red baize of the cabinet door."," Tam mu Poole pokynul, aby si stoupl stranou a poslouchal, sám postavil svíčku na zem, s velkým a očividným přemáháním odhodlaně vyšel po schodech nahoru a trochu nejistou rukou zaklepal na červené sukno na dveřích pracovny."
"stand","stand","postavil","postavit","pf"," Here Poole motioned him to stand on one side and listen; while he himself, setting down the candle and making a great and obvious call on his resolution, mounted the steps, and knocked with a somewhat uncertain hand on the red baize of the cabinet door."," Tam mu Poole pokynul, aby si stoupl stranou a poslouchal, sám postavil svíčku na zem, s velkým a očividným přemáháním odhodlaně vyšel po schodech nahoru a trochu nejistou rukou zaklepal na červené sukno na dveřích pracovny."
"setting","set","postavil","postavit","pf"," Here Poole motioned him to stand on one side and listen; while he himself, setting down the candle and making a great and obvious call on his resolution, mounted the steps, and knocked with a somewhat uncertain hand on the red baize of the cabinet door."," Tam mu Poole pokynul, aby si stoupl stranou a poslouchal, sám postavil svíčku na zem, s velkým a očividným přemáháním odhodlaně vyšel po schodech nahoru a trochu nejistou rukou zaklepal na červené sukno na dveřích pracovny."
"mounted","mount","postavil","postavit","pf"," Here Poole motioned him to stand on one side and listen; while he himself, setting down the candle and making a great and obvious call on his resolution, mounted the steps, and knocked with a somewhat uncertain hand on the red baize of the cabinet door."," Tam mu Poole pokynul, aby si stoupl stranou a poslouchal, sám postavil svíčku na zem, s velkým a očividným přemáháním odhodlaně vyšel po schodech nahoru a trochu nejistou rukou zaklepal na červené sukno na dveřích pracovny."
"knocked","knock","zaklepal","zaklepat","pf"," Here Poole motioned him to stand on one side and listen; while he himself, setting down the candle and making a great and obvious call on his resolution, mounted the steps, and knocked with a somewhat uncertain hand on the red baize of the cabinet door."," Tam mu Poole pokynul, aby si stoupl stranou a poslouchal, sám postavil svíčku na zem, s velkým a očividným přemáháním odhodlaně vyšel po schodech nahoru a trochu nejistou rukou zaklepal na červené sukno na dveřích pracovny."
"asking","ask","Prosím","prosit","impf"," “ Mr Utterson, sir, asking to see you, ” he called; and even as he did so, once more violently signed to the lawyer to give ear."," "" Prosím, je tu pan Utterson, přeje si s vámi mluvit, pane doktore, "" zavolal a přitom znovu ještě důrazněji advokátovi naznačil, aby nastražil uši."
