"breathe","breathe","dýchat","dýchat","impf"," Suddenly he had anonymous eyes on him and he could breathe again!"," Anonymní oči byly náhle všude s ním a on mohl zase dýchat!"
"remembered","remember","vzpomenout","vzpomenout","pf"," It was odd. He could recall each of their times together; he had even kept close track of the ways they made love ( she refused to be entered from behind ); he remembered several of the things she had said during intercourse ( she would ask him to squeeze her hips and to stop looking at her all the time ); he even remembered the cut of her lingerie; but the storm had left no trace."," Bylo to zvláštní : dovedl si vzpomenout na těch několik schůzek, které s ní měl, zaznamenal dokonce přesně způsob, jak se spolu milovali ( odmítla se milovat zezadu ), pamatoval si na několik výroků, které pronesla během milování ( stále ho žádala, aby ji pevně tiskl za boky a protestovala, že se na ni dívá ), pamatoval si dokonce střih jejího prádla - ale o bouřce vůbec nic nevěděl."
"kept","keep","měl","mít","impf"," It was odd. He could recall each of their times together; he had even kept close track of the ways they made love ( she refused to be entered from behind ); he remembered several of the things she had said during intercourse ( she would ask him to squeeze her hips and to stop looking at her all the time ); he even remembered the cut of her lingerie; but the storm had left no trace."," Bylo to zvláštní : dovedl si vzpomenout na těch několik schůzek, které s ní měl, zaznamenal dokonce přesně způsob, jak se spolu milovali ( odmítla se milovat zezadu ), pamatoval si na několik výroků, které pronesla během milování ( stále ho žádala, aby ji pevně tiskl za boky a protestovala, že se na ni dívá ), pamatoval si dokonce střih jejího prádla - ale o bouřce vůbec nic nevěděl."
"entered","enter","zaznamenal","zaznamenat","pf"," It was odd. He could recall each of their times together; he had even kept close track of the ways they made love ( she refused to be entered from behind ); he remembered several of the things she had said during intercourse ( she would ask him to squeeze her hips and to stop looking at her all the time ); he even remembered the cut of her lingerie; but the storm had left no trace."," Bylo to zvláštní : dovedl si vzpomenout na těch několik schůzek, které s ní měl, zaznamenal dokonce přesně způsob, jak se spolu milovali ( odmítla se milovat zezadu ), pamatoval si na několik výroků, které pronesla během milování ( stále ho žádala, aby ji pevně tiskl za boky a protestovala, že se na ni dívá ), pamatoval si dokonce střih jejího prádla - ale o bouřce vůbec nic nevěděl."
"love","love","milovali","milovat","impf"," It was odd. He could recall each of their times together; he had even kept close track of the ways they made love ( she refused to be entered from behind ); he remembered several of the things she had said during intercourse ( she would ask him to squeeze her hips and to stop looking at her all the time ); he even remembered the cut of her lingerie; but the storm had left no trace."," Bylo to zvláštní : dovedl si vzpomenout na těch několik schůzek, které s ní měl, zaznamenal dokonce přesně způsob, jak se spolu milovali ( odmítla se milovat zezadu ), pamatoval si na několik výroků, které pronesla během milování ( stále ho žádala, aby ji pevně tiskl za boky a protestovala, že se na ni dívá ), pamatoval si dokonce střih jejího prádla - ale o bouřce vůbec nic nevěděl."
"refused","refuse","odmítla","odmítnout","pf"," It was odd. He could recall each of their times together; he had even kept close track of the ways they made love ( she refused to be entered from behind ); he remembered several of the things she had said during intercourse ( she would ask him to squeeze her hips and to stop looking at her all the time ); he even remembered the cut of her lingerie; but the storm had left no trace."," Bylo to zvláštní : dovedl si vzpomenout na těch několik schůzek, které s ní měl, zaznamenal dokonce přesně způsob, jak se spolu milovali ( odmítla se milovat zezadu ), pamatoval si na několik výroků, které pronesla během milování ( stále ho žádala, aby ji pevně tiskl za boky a protestovala, že se na ni dívá ), pamatoval si dokonce střih jejího prádla - ale o bouřce vůbec nic nevěděl."
"love","love","milovat","milovat","impf"," It was odd. He could recall each of their times together; he had even kept close track of the ways they made love ( she refused to be entered from behind ); he remembered several of the things she had said during intercourse ( she would ask him to squeeze her hips and to stop looking at her all the time ); he even remembered the cut of her lingerie; but the storm had left no trace."," Bylo to zvláštní : dovedl si vzpomenout na těch několik schůzek, které s ní měl, zaznamenal dokonce přesně způsob, jak se spolu milovali ( odmítla se milovat zezadu ), pamatoval si na několik výroků, které pronesla během milování ( stále ho žádala, aby ji pevně tiskl za boky a protestovala, že se na ni dívá ), pamatoval si dokonce střih jejího prádla - ale o bouřce vůbec nic nevěděl."
"recall","recall","pamatoval","pamatovat","impf"," It was odd. He could recall each of their times together; he had even kept close track of the ways they made love ( she refused to be entered from behind ); he remembered several of the things she had said during intercourse ( she would ask him to squeeze her hips and to stop looking at her all the time ); he even remembered the cut of her lingerie; but the storm had left no trace."," Bylo to zvláštní : dovedl si vzpomenout na těch několik schůzek, které s ní měl, zaznamenal dokonce přesně způsob, jak se spolu milovali ( odmítla se milovat zezadu ), pamatoval si na několik výroků, které pronesla během milování ( stále ho žádala, aby ji pevně tiskl za boky a protestovala, že se na ni dívá ), pamatoval si dokonce střih jejího prádla - ale o bouřce vůbec nic nevěděl."
"remembered","remember","pamatoval","pamatovat","impf"," It was odd. He could recall each of their times together; he had even kept close track of the ways they made love ( she refused to be entered from behind ); he remembered several of the things she had said during intercourse ( she would ask him to squeeze her hips and to stop looking at her all the time ); he even remembered the cut of her lingerie; but the storm had left no trace."," Bylo to zvláštní : dovedl si vzpomenout na těch několik schůzek, které s ní měl, zaznamenal dokonce přesně způsob, jak se spolu milovali ( odmítla se milovat zezadu ), pamatoval si na několik výroků, které pronesla během milování ( stále ho žádala, aby ji pevně tiskl za boky a protestovala, že se na ni dívá ), pamatoval si dokonce střih jejího prádla - ale o bouřce vůbec nic nevěděl."
"remembered","remember","pamatoval","pamatovat","impf"," It was odd. He could recall each of their times together; he had even kept close track of the ways they made love ( she refused to be entered from behind ); he remembered several of the things she had said during intercourse ( she would ask him to squeeze her hips and to stop looking at her all the time ); he even remembered the cut of her lingerie; but the storm had left no trace."," Bylo to zvláštní : dovedl si vzpomenout na těch několik schůzek, které s ní měl, zaznamenal dokonce přesně způsob, jak se spolu milovali ( odmítla se milovat zezadu ), pamatoval si na několik výroků, které pronesla během milování ( stále ho žádala, aby ji pevně tiskl za boky a protestovala, že se na ni dívá ), pamatoval si dokonce střih jejího prádla - ale o bouřce vůbec nic nevěděl."
"said","say","pronesla","pronést","pf"," It was odd. He could recall each of their times together; he had even kept close track of the ways they made love ( she refused to be entered from behind ); he remembered several of the things she had said during intercourse ( she would ask him to squeeze her hips and to stop looking at her all the time ); he even remembered the cut of her lingerie; but the storm had left no trace."," Bylo to zvláštní : dovedl si vzpomenout na těch několik schůzek, které s ní měl, zaznamenal dokonce přesně způsob, jak se spolu milovali ( odmítla se milovat zezadu ), pamatoval si na několik výroků, které pronesla během milování ( stále ho žádala, aby ji pevně tiskl za boky a protestovala, že se na ni dívá ), pamatoval si dokonce střih jejího prádla - ale o bouřce vůbec nic nevěděl."
"ask","ask","žádala","žádat","impf"," It was odd. He could recall each of their times together; he had even kept close track of the ways they made love ( she refused to be entered from behind ); he remembered several of the things she had said during intercourse ( she would ask him to squeeze her hips and to stop looking at her all the time ); he even remembered the cut of her lingerie; but the storm had left no trace."," Bylo to zvláštní : dovedl si vzpomenout na těch několik schůzek, které s ní měl, zaznamenal dokonce přesně způsob, jak se spolu milovali ( odmítla se milovat zezadu ), pamatoval si na několik výroků, které pronesla během milování ( stále ho žádala, aby ji pevně tiskl za boky a protestovala, že se na ni dívá ), pamatoval si dokonce střih jejího prádla - ale o bouřce vůbec nic nevěděl."
"looking","look","dívá","dívat","impf"," It was odd. He could recall each of their times together; he had even kept close track of the ways they made love ( she refused to be entered from behind ); he remembered several of the things she had said during intercourse ( she would ask him to squeeze her hips and to stop looking at her all the time ); he even remembered the cut of her lingerie; but the storm had left no trace."," Bylo to zvláštní : dovedl si vzpomenout na těch několik schůzek, které s ní měl, zaznamenal dokonce přesně způsob, jak se spolu milovali ( odmítla se milovat zezadu ), pamatoval si na několik výroků, které pronesla během milování ( stále ho žádala, aby ji pevně tiskl za boky a protestovala, že se na ni dívá ), pamatoval si dokonce střih jejího prádla - ale o bouřce vůbec nic nevěděl."
"recall","recall","pamatoval","pamatovat","impf"," It was odd. He could recall each of their times together; he had even kept close track of the ways they made love ( she refused to be entered from behind ); he remembered several of the things she had said during intercourse ( she would ask him to squeeze her hips and to stop looking at her all the time ); he even remembered the cut of her lingerie; but the storm had left no trace."," Bylo to zvláštní : dovedl si vzpomenout na těch několik schůzek, které s ní měl, zaznamenal dokonce přesně způsob, jak se spolu milovali ( odmítla se milovat zezadu ), pamatoval si na několik výroků, které pronesla během milování ( stále ho žádala, aby ji pevně tiskl za boky a protestovala, že se na ni dívá ), pamatoval si dokonce střih jejího prádla - ale o bouřce vůbec nic nevěděl."
"remembered","remember","pamatoval","pamatovat","impf"," It was odd. He could recall each of their times together; he had even kept close track of the ways they made love ( she refused to be entered from behind ); he remembered several of the things she had said during intercourse ( she would ask him to squeeze her hips and to stop looking at her all the time ); he even remembered the cut of her lingerie; but the storm had left no trace."," Bylo to zvláštní : dovedl si vzpomenout na těch několik schůzek, které s ní měl, zaznamenal dokonce přesně způsob, jak se spolu milovali ( odmítla se milovat zezadu ), pamatoval si na několik výroků, které pronesla během milování ( stále ho žádala, aby ji pevně tiskl za boky a protestovala, že se na ni dívá ), pamatoval si dokonce střih jejího prádla - ale o bouřce vůbec nic nevěděl."
"remembered","remember","pamatoval","pamatovat","impf"," It was odd. He could recall each of their times together; he had even kept close track of the ways they made love ( she refused to be entered from behind ); he remembered several of the things she had said during intercourse ( she would ask him to squeeze her hips and to stop looking at her all the time ); he even remembered the cut of her lingerie; but the storm had left no trace."," Bylo to zvláštní : dovedl si vzpomenout na těch několik schůzek, které s ní měl, zaznamenal dokonce přesně způsob, jak se spolu milovali ( odmítla se milovat zezadu ), pamatoval si na několik výroků, které pronesla během milování ( stále ho žádala, aby ji pevně tiskl za boky a protestovala, že se na ni dívá ), pamatoval si dokonce střih jejího prádla - ale o bouřce vůbec nic nevěděl."
"wanted","want","chtěla","chtít","impf"," All she had ever wanted was to escape from her mother 's world."," To, co chtěla, bylo uniknout z matčina světa."
"escape","escape","uniknout","uniknout","pf"," All she had ever wanted was to escape from her mother 's world."," To, co chtěla, bylo uniknout z matčina světa."
"went","go","Chodili","chodit","impf"," They went from one to the next, but the doors were all closed. No admittance."," Chodili od jednoho k druhému, ale všechna tam stála se zavřenými dveřmi, nepřístupná."
"leading","lead","vedly","vést","impf"," At last they found one that was open, with a set of movable stairs leading up to it."," Konečně jedno z nich mělo nahoře otevřený vchod, k němuž vedly přistavené schůdky."
"climbed","climb","Vystoupili","vystoupit","pf"," They climbed the stairs and were greeted by a steward at the door. It was a small aeroplane - one that sat barely thirty passengers - and completely empty."," Vystoupili po nich, ve dveřích se objevil steward a zval je dál, letadlo bylo malé, sotva pro třicet pasažérů a bylo úplně prázdné."
"died","die","zemřel","zemřít","pf"," The most downcast of men died after a short spell behind bars, and Tereza and her mother went to live in a small town near the mountains with her mother 's swindler."," Nejsmutnější muž za krátký čas ve vězení zemřel a matka s defraudantem a Terezou odešla do malého bytu pod horami."
"went","go","zemřel","zemřít","pf"," The most downcast of men died after a short spell behind bars, and Tereza and her mother went to live in a small town near the mountains with her mother 's swindler."," Nejsmutnější muž za krátký čas ve vězení zemřel a matka s defraudantem a Terezou odešla do malého bytu pod horami."
"went","go","odešla","odejít","pf"," The most downcast of men died after a short spell behind bars, and Tereza and her mother went to live in a small town near the mountains with her mother 's swindler."," Nejsmutnější muž za krátký čas ve vězení zemřel a matka s defraudantem a Terezou odešla do malého bytu pod horami."
"worked","work","pracoval","pracovat","impf"," The swindler worked in an office, her mother in a shop."," Terezin otčím pracoval v úřadě, matka byla prodavačkou v obchodě."
"looked","look","podívala","podívat","pf"," Then she looked in the mirror again and discovered she was old and ugly."," Pak se znovu podívala do zrcadla a zjistila, že je stará a ošklivá."
"discovered","discover","zjistila","zjistit","pf"," Then she looked in the mirror again and discovered she was old and ugly."," Pak se znovu podívala do zrcadla a zjistila, že je stará a ošklivá."
"lost","lose","ztratila","ztratit","pf"," When she realized she had lost everything, she initiated a search for the culprit."," Když zkonstatovala, že všechno ztratila, hledala viníka."
"Sitting","sit","Sednout","sednout","pf"," Sitting on the floor when you had guests was at the time a gesture signifying simplicity, informality, liberal politics, hospitality, and a Parisian way of life."," Sednout si před hosty na zem bylo v té době gestem znamenajícím přirozenost, nenucenost, pokrokovost, družnost a pařížskost."
"sat","sit","nesedla","sednout","pf"," The passion with which Marie-Claude sat on all floors was such that Franz began to worry she would take to sitting on the floor of the shop where she bought her cigarettes."," Vášeň, s jakou si Marie - Anne sedala všude na zem, byla taková, že se Franz často obával, aby si nesedla na zem v obchodě, kam si chodila kupovat cigarety."
"sitting","sit","nesedla","sednout","pf"," The passion with which Marie-Claude sat on all floors was such that Franz began to worry she would take to sitting on the floor of the shop where she bought her cigarettes."," Vášeň, s jakou si Marie - Anne sedala všude na zem, byla taková, že se Franz často obával, aby si nesedla na zem v obchodě, kam si chodila kupovat cigarety."
"take","take","kupovat","kupovat","impf"," The passion with which Marie-Claude sat on all floors was such that Franz began to worry she would take to sitting on the floor of the shop where she bought her cigarettes."," Vášeň, s jakou si Marie - Anne sedala všude na zem, byla taková, že se Franz často obával, aby si nesedla na zem v obchodě, kam si chodila kupovat cigarety."
"bought","buy","kupovat","kupovat","impf"," The passion with which Marie-Claude sat on all floors was such that Franz began to worry she would take to sitting on the floor of the shop where she bought her cigarettes."," Vášeň, s jakou si Marie - Anne sedala všude na zem, byla taková, že se Franz často obával, aby si nesedla na zem v obchodě, kam si chodila kupovat cigarety."
"working","work","pracujete","pracovat","impf"," ' What are you working on now, Alain? ' Marie-Anne asked the man at whose feet she was sitting."," "" Na čem teď pracujete, Alane? "" zeptala se Marie - Anne muže, u jehož nohou seděla."
"asked","ask","zeptala","zeptat","pf"," ' What are you working on now, Alain? ' Marie-Anne asked the man at whose feet she was sitting."," "" Na čem teď pracujete, Alane? "" zeptala se Marie - Anne muže, u jehož nohou seděla."
"sitting","sit","seděla","sedět","impf"," ' What are you working on now, Alain? ' Marie-Anne asked the man at whose feet she was sitting."," "" Na čem teď pracujete, Alane? "" zeptala se Marie - Anne muže, u jehož nohou seděla."
"felt","feel","cítil","cítit","impf"," Just as he felt better at demonstrations ( which, as I have pointed out, are all play-acting and dreams ) than in a lecture hall full of students, so he was happier with Sabina the invisible goddess than the Sabina who had accompanied him throughout the world and whose love he constantly feared losing."," Stejně jako se cítil lépe v průvodech které, jak jsem řekl, jsou jen divadlo a sen ) než za katedrou, kde přednášel žákům, stejně byl šťastnější se Sabinou, která se proměnila v neviditelnou bohyni než se Sabinou, s níž jezdil po světě a o jejíž lásku se ustavičně bál."
"feared","fear","bál","bát","impf"," Just as he felt better at demonstrations ( which, as I have pointed out, are all play-acting and dreams ) than in a lecture hall full of students, so he was happier with Sabina the invisible goddess than the Sabina who had accompanied him throughout the world and whose love he constantly feared losing."," Stejně jako se cítil lépe v průvodech které, jak jsem řekl, jsou jen divadlo a sen ) než za katedrou, kde přednášel žákům, stejně byl šťastnější se Sabinou, která se proměnila v neviditelnou bohyni než se Sabinou, s níž jezdil po světě a o jejíž lásku se ustavičně bál."
"giving","give","Dala","dát","pf"," By giving him the unexpected freedom of a man living on his own, she provided him with a halo of seductiveness."," Dala mu nečekanou svobodu muže, jenž žije sám, obdařila ho světlem svůdnosti."
"feeling","feel","cítí","cítit","impf"," Like a person who has an arm cut off and keeps feeling it 's there."," Jako když někomu amputují ruku a on ji ještě dlouho cítí."
"keep","keep","nemáme","mít","impf"," We may not have a drop of pee left in us, but we keep needing to pee. '"," My už nemáme moč a přece se nám chce pořád čurat. """
"stay","stay","zůstat","zůstat","pf"," Like old friends, people who 'd known me for ever. I was appalled at the thought of having to stay with them for ever. '"," "" A všechny mi tykaly, jako kdyby se se mnou znaly odjakživa, jako kdyby to byly moje kamarádky a já měla hrůzu, že už s nimi musím zůstat navěky! """
"went","go","odjel","odjet","pf"," ' And then one day you went off on a long journey, and I knew you were with another woman."," A pak jsi jednoho dne odjel na dlouho a já jsem věděla, že jsi s nějakou cizí ženou."
"passed","pass","míjely","míjet","impf"," Weeks passed, and there was no sign of you."," Týdny míjely a ty jsi nepřicházel."
"sleeping","sleep","nespala","spát","impf"," I was afraid of missing you, and stopped sleeping."," Bála jsem se tě zmeškat a proto jsem vůbec nespala."
"worn","wear","neměla","mít","impf"," At last you knocked at the grave again, but I was so worn down by a month of sleepless nights that I did n't think I could make it out of there."," Konečně jsi zase zaťukal na hrob, ale byla jsem tak vysílena tím měsícem beze spánku, že jsem neměla sílu vystoupit nahoru."
"think","think","neměla","mít","impf"," At last you knocked at the grave again, but I was so worn down by a month of sleepless nights that I did n't think I could make it out of there."," Konečně jsi zase zaťukal na hrob, ale byla jsem tak vysílena tím měsícem beze spánku, že jsem neměla sílu vystoupit nahoru."
"picked","pick","vzala","vzít","pf"," Tereza put down the bowler hat, picked up her camera, and started taking pictures."," Tereza odložila buřinku, vzala do ruky aparát a začala fotografovat."
"taking","take","vzala","vzít","pf"," Tereza put down the bowler hat, picked up her camera, and started taking pictures."," Tereza odložila buřinku, vzala do ruky aparát a začala fotografovat."
"started","start","začala","začít","pf"," Tereza put down the bowler hat, picked up her camera, and started taking pictures."," Tereza odložila buřinku, vzala do ruky aparát a začala fotografovat."
"said","say","řekla","říci","pf"," What she had been at it for almost an hour, she suddenly said,"," Když už to trvalo málem hodinu, řekla najednou :"
"laughed","laugh","zasmála","zasmát","pf"," ' Nude shots? ' Sabina laughed."," "" Nahou? "" zasmála se Sabina."
"repeating","repeat","opakovala","opakovat","impf"," ' Yes, ' said Tereza, repeating her proposal more boldly, ' nude shots '."," "" Ano, "" opakovala Tereza statečně svůj návrh."
"said","say","řekla","říci","pf"," ' That calls for a drink, ' said Sabina, and opened a bottle of wine."," "" Na to se musíme napít, "" řekla Sabina a otevřela láhev vina."
"opened","open","otevřela","otevřít","pf"," ' That calls for a drink, ' said Sabina, and opened a bottle of wine."," "" Na to se musíme napít, "" řekla Sabina a otevřela láhev vina."
"opened","open","neotevřel","otevřít","pf"," No one had ever opened a book in that restaurant before."," V této hospodě ještě nikdy nikdo na stole knihu neotevřel."
"surrounding","surround","obklopoval","obklopovat","impf"," For she had but a single weapon against the world of crudity surrounding her : the books she took out of the municipal library, and above all, the novels."," Proti světu hrubosti, který ji obklopoval, měla totiž jen jedinou zbraň : knihy, které si půjčovala v městské knihovně;"
"read","read","přečetla","přečíst","pf"," She had read any number of them, from Fielding to Thomas Mann."," zejména romány : přečetla jich spoustu od Fieldinga až po Thomase Manna."
"said","say","řekla","říci","pf"," ' You must find it interesting, seeing how people live, ' she said."," "" Musí to být pro vás zajímavá zkušenost, poznat mnoho domácností, "" řekla."
"said","say","řekl","říci","pf"," ' I ca n't complain, ' said Tomas."," "" Není to špatné, "" řekl Tomáš."
"waiting","wait","čekají","čekat","impf"," ' All those wives at home alone, waiting for you. '"," "" Všude vás čekají ženy, jejichž manželé jsou v zaměstnání. """
"miss","miss","nechybí","chybit","pf"," ' Do n't you ever miss your original profession? '"," "" A vaše původní zaměstnáni vám nechybí? """
"Tell","tell","Řekněte","říci","pf"," ' Tell me, how did you find out about my original profession? '"," "" Řekněte mi spíš, jak víte o mém zaměstnání. """
"boast","boast","chlubí","chlubit","impf"," ' Your boss likes to boast about you, ' said the stork-woman."," "" Váš podnik se s vámi chlubí, "" řekla žena podobná čápu."
"said","say","řekla","říci","pf"," ' Your boss likes to boast about you, ' said the stork-woman."," "" Váš podnik se s vámi chlubí, "" řekla žena podobná čápu."
"looked","look","podívala","podívat","pf"," She looked over, but could see nothing out of the ordinary."," I ona se tam podívala, ale nic zvláštního nezpozorovala."
"see","see","podívala","podívat","pf"," She looked over, but could see nothing out of the ordinary."," I ona se tam podívala, ale nic zvláštního nezpozorovala."
"notice","notice","spatřila","spatřit","pf"," Only then did she notice the black head and large beak of a crow lying on the cold dirt of a barren plot."," Pak teprve spatřila nad umrzlou hlínou prázdného záhonu černou hlavičku vrány s velkým zobákem."
"tired","tire","unavil","unavit","pf"," The look he had given her just then seemed to have tired him out."," Pohled, kterým se na ni před chvílí podíval, jako by ho byl unavil."
"surrounded","surround","obklopen","obklopit","pf"," Even surrounded by chocolate, he did not raise his head."," I když byl obklopen čokoládou, nezvedl již hlavu."
"raise","raise","nezvedl","zvednout","pf"," Even surrounded by chocolate, he did not raise his head."," I když byl obklopen čokoládou, nezvedl již hlavu."
"hugged","hug","objala","obejmout","pf"," She lay down on the floor next to him and hugged him."," Položila se k němu na zem a objala ho."
"passed","pass","míjel","míjet","impf"," As time passed, the image lost some of its original cruelty and began to excite Tereza."," Tak jak čas míjel, ten obraz ztrácel na své původní krutosti a začal ji vzrušovat."
"lost","lose","ztrácel","ztrácet","impf"," As time passed, the image lost some of its original cruelty and began to excite Tereza."," Tak jak čas míjel, ten obraz ztrácel na své původní krutosti a začal ji vzrušovat."
"began","begin","začal","začít","pf"," As time passed, the image lost some of its original cruelty and began to excite Tereza."," Tak jak čas míjel, ten obraz ztrácel na své původní krutosti a začal ji vzrušovat."
"made","make","vyvolala","vyvolat","pf"," She would whisper the details to him while they made love."," Několikrát tu situaci vyvolala šeptem Tomášovi, když se milovali."
"occurred","occur","Napadlo","napadnout","pf"," Then it occurred to her that there might be a way to avoid the condemnation she saw in Tomas 's infidelities : all he had to do was take her along, take her with him when he went to see his mistresses!"," Napadlo ji, že existuje způsob, jak uniknout odsouzení, které viděla v Tomášových nevěrách : ať ji bere s sebou! ať ji bere za svými milenkami!"
"occurred","occur","existuje","existovat","impf"," Then it occurred to her that there might be a way to avoid the condemnation she saw in Tomas 's infidelities : all he had to do was take her along, take her with him when he went to see his mistresses!"," Napadlo ji, že existuje způsob, jak uniknout odsouzení, které viděla v Tomášových nevěrách : ať ji bere s sebou! ať ji bere za svými milenkami!"
"avoid","avoid","uniknout","uniknout","pf"," Then it occurred to her that there might be a way to avoid the condemnation she saw in Tomas 's infidelities : all he had to do was take her along, take her with him when he went to see his mistresses!"," Napadlo ji, že existuje způsob, jak uniknout odsouzení, které viděla v Tomášových nevěrách : ať ji bere s sebou! ať ji bere za svými milenkami!"
"saw","see","viděla","vidět","impf"," Then it occurred to her that there might be a way to avoid the condemnation she saw in Tomas 's infidelities : all he had to do was take her along, take her with him when he went to see his mistresses!"," Napadlo ji, že existuje způsob, jak uniknout odsouzení, které viděla v Tomášových nevěrách : ať ji bere s sebou! ať ji bere za svými milenkami!"
"see","see","viděla","vidět","impf"," Then it occurred to her that there might be a way to avoid the condemnation she saw in Tomas 's infidelities : all he had to do was take her along, take her with him when he went to see his mistresses!"," Napadlo ji, že existuje způsob, jak uniknout odsouzení, které viděla v Tomášových nevěrách : ať ji bere s sebou! ať ji bere za svými milenkami!"
"do","do","bere","brát","impf"," Then it occurred to her that there might be a way to avoid the condemnation she saw in Tomas 's infidelities : all he had to do was take her along, take her with him when he went to see his mistresses!"," Napadlo ji, že existuje způsob, jak uniknout odsouzení, které viděla v Tomášových nevěrách : ať ji bere s sebou! ať ji bere za svými milenkami!"
"take","take","bere","brát","impf"," Then it occurred to her that there might be a way to avoid the condemnation she saw in Tomas 's infidelities : all he had to do was take her along, take her with him when he went to see his mistresses!"," Napadlo ji, že existuje způsob, jak uniknout odsouzení, které viděla v Tomášových nevěrách : ať ji bere s sebou! ať ji bere za svými milenkami!"
"take","take","bere","brát","impf"," Then it occurred to her that there might be a way to avoid the condemnation she saw in Tomas 's infidelities : all he had to do was take her along, take her with him when he went to see his mistresses!"," Napadlo ji, že existuje způsob, jak uniknout odsouzení, které viděla v Tomášových nevěrách : ať ji bere s sebou! ať ji bere za svými milenkami!"
"do","do","bere","brát","impf"," Then it occurred to her that there might be a way to avoid the condemnation she saw in Tomas 's infidelities : all he had to do was take her along, take her with him when he went to see his mistresses!"," Napadlo ji, že existuje způsob, jak uniknout odsouzení, které viděla v Tomášových nevěrách : ať ji bere s sebou! ať ji bere za svými milenkami!"
"take","take","bere","brát","impf"," Then it occurred to her that there might be a way to avoid the condemnation she saw in Tomas 's infidelities : all he had to do was take her along, take her with him when he went to see his mistresses!"," Napadlo ji, že existuje způsob, jak uniknout odsouzení, které viděla v Tomášových nevěrách : ať ji bere s sebou! ať ji bere za svými milenkami!"
"take","take","bere","brát","impf"," Then it occurred to her that there might be a way to avoid the condemnation she saw in Tomas 's infidelities : all he had to do was take her along, take her with him when he went to see his mistresses!"," Napadlo ji, že existuje způsob, jak uniknout odsouzení, které viděla v Tomášových nevěrách : ať ji bere s sebou! ať ji bere za svými milenkami!"
"speaking","speak","mluvil","mluvit","impf"," It was a woman 's voice speaking German and asking for Tomas."," Byl to ženský hlas, mluvil německy a dožadoval se Tomáše."
"said","say","řekla","říci","pf"," When she said that Tomas was n't there and she did n't know when he 'd be back, the woman on the other end of the line started laughing and, without saying goodbye, hung up."," Když řekla, že Tomáš není doma a že neví, kdy se vrátí, žena na druhé straně se zasmála a bez pozdravu položila sluchátko."
"saying","say","řekla","říci","pf"," When she said that Tomas was n't there and she did n't know when he 'd be back, the woman on the other end of the line started laughing and, without saying goodbye, hung up."," Když řekla, že Tomáš není doma a že neví, kdy se vrátí, žena na druhé straně se zasmála a bez pozdravu položila sluchátko."
"laughing","laugh","zasmála","zasmát","pf"," When she said that Tomas was n't there and she did n't know when he 'd be back, the woman on the other end of the line started laughing and, without saying goodbye, hung up."," Když řekla, že Tomáš není doma a že neví, kdy se vrátí, žena na druhé straně se zasmála a bez pozdravu položila sluchátko."
"chooses","choose","zvolí","zvolit","pf"," A man who chooses to be a politician, say » voluntarily makes the public his judge, with the naïve assurance that he will gain its favour."," Člověk, který si zvolí například dráhu politika, učiní dobrovolně publikum svým soudcem s naivní a netajenou vírou, že si získá jeho přízeň."
"makes","make","učiní","učinit","pf"," A man who chooses to be a politician, say » voluntarily makes the public his judge, with the naïve assurance that he will gain its favour."," Člověk, který si zvolí například dráhu politika, učiní dobrovolně publikum svým soudcem s naivní a netajenou vírou, že si získá jeho přízeň."
"makes","make","získá","získat","pf"," A man who chooses to be a politician, say » voluntarily makes the public his judge, with the naïve assurance that he will gain its favour."," Člověk, který si zvolí například dráhu politika, učiní dobrovolně publikum svým soudcem s naivní a netajenou vírou, že si získá jeho přízeň."
"gain","gain","získá","získat","pf"," A man who chooses to be a politician, say » voluntarily makes the public his judge, with the naïve assurance that he will gain its favour."," Člověk, který si zvolí například dráhu politika, učiní dobrovolně publikum svým soudcem s naivní a netajenou vírou, že si získá jeho přízeň."
"goads","goad","podněcovala","podněcovat","impf"," And if the crowd does express its disapproval, it merely goads him on to bigger and better things, much in the way Tomas was spurred on by the difficulty of a diagnosis."," Eventuální nesouhlas davu ho povzbuzuje k ještě větším výkonům, stejně jako Tomáše podněcovala obtížnost diagnózy."
"judged","judge","souzen","soudit","impf"," A doctor ( unlike a politician or an actor ) is judged only by his patients and immediate colleagues, that is, behind closed doors, man to man."," Lékař ( na rozdíl od politika nebo herce ) je souzen jen svými pacienty a nejbližšími kolegy, tedy mezi čtyřmi stěnami a z očí do očí."
"told","tell","řekl","říci","pf"," Tomas told the patient, the patient told the professor, the professor told his wife, and Tereza had a ticket waiting for her once a week."," Tomáš řekl pacientovi, pacient řekl profesorovi, profesor řekl své ženě a Tereza měla vždycky jednou týdně rezervovánu vstupenku."
"told","tell","řekl","říci","pf"," Tomas told the patient, the patient told the professor, the professor told his wife, and Tereza had a ticket waiting for her once a week."," Tomáš řekl pacientovi, pacient řekl profesorovi, profesor řekl své ženě a Tereza měla vždycky jednou týdně rezervovánu vstupenku."
"told","tell","řekl","říci","pf"," Tomas told the patient, the patient told the professor, the professor told his wife, and Tereza had a ticket waiting for her once a week."," Tomáš řekl pacientovi, pacient řekl profesorovi, profesor řekl své ženě a Tereza měla vždycky jednou týdně rezervovánu vstupenku."
"told","tell","řekl","říci","pf"," Tomas told the patient, the patient told the professor, the professor told his wife, and Tereza had a ticket waiting for her once a week."," Tomáš řekl pacientovi, pacient řekl profesorovi, profesor řekl své ženě a Tereza měla vždycky jednou týdně rezervovánu vstupenku."
