"say","say","řekl","říci","pf"," What else can I say about them?"," Co bych o nich ještě řekl?"
"encounters","encounter","setkává","setkávat","impf"," In my first play, The Garden Party, the theme is projected directly into the subject : the main character, Hugo, goes into the world - something like Jack in the folk tales, who sets out to seek his fortune ( the archetype of the pilgrim ) - and he encounters the cliché as the central principle of that world."," V mé první hře, Zahradní slavnosti, je to téma promítnuto přímo do syžetu : hlavní postava Hugo vychází do světa - na způsob Honzy, jdoucího na zkušenou ( archetyp poutníka ) - a setkává se v něm s frází jako jeho ústředním principem."
"follow","follow","sledoval","sledovat","impf"," I did n't know what was going on outside; I could only follow the hysterical campaign against Charter 77 in the newspapers."," Nevěděl jsem, co se děje venku, jen jsem v novinách sledoval zběsilou štvanici proti Chartě."
"began","begin","začala","začít","pf"," My real association with Tvář began when the new editorial board, apparently at the suggestion of Jan Lopatka, invited me to join them."," Má tvářistická éra začala, až když mne nová redakční rada ( prý na návrh Jana Lopatky ) vyzvala, abych se stal jejím členem."
"invited","invite","vyzvala","vyzvat","pf"," My real association with Tvář began when the new editorial board, apparently at the suggestion of Jan Lopatka, invited me to join them."," Má tvářistická éra začala, až když mne nová redakční rada ( prý na návrh Jana Lopatky ) vyzvala, abych se stal jejím členem."
"want","want","nechce","chtít","impf"," And if you do n't want simply to reproduce mechanically the things you 've already accomplished, you have to take a basic step."," A nechce - li jen mechanicky rozmnožovat to, čeho se už dobral, musí udělat nějaký zásadnější krok."
"do","do","udělat","udělat","pf"," And if you do n't want simply to reproduce mechanically the things you 've already accomplished, you have to take a basic step."," A nechce - li jen mechanicky rozmnožovat to, čeho se už dobral, musí udělat nějaký zásadnější krok."
"take","take","udělat","udělat","pf"," And if you do n't want simply to reproduce mechanically the things you 've already accomplished, you have to take a basic step."," A nechce - li jen mechanicky rozmnožovat to, čeho se už dobral, musí udělat nějaký zásadnější krok."
"said","say","Řekl","říci","pf"," I said it was a thousand times more valuable to insist, regardless of the consequences, on something more modest but realistic, than to pacify one 's conscience by firing off loudmouthed proposals that evaporate forever the moment they 're made and therefore commit no one to do anything about them."," Řekl jsem, že vytrvat neústupně a bez ohledu na následky na něčem skromnějším, ale reálném je tisíckrát cennější, než si uklidnit svědomí vypálením nějakého velkohubého návrhu, který nenávratně zapadne v okamžiku, kdy byl vysloven, a tudíž pro zítřek už nikoho k ničemu nezavazuje."
"pacify","pacify","uklidnit","uklidnit","pf"," I said it was a thousand times more valuable to insist, regardless of the consequences, on something more modest but realistic, than to pacify one 's conscience by firing off loudmouthed proposals that evaporate forever the moment they 're made and therefore commit no one to do anything about them."," Řekl jsem, že vytrvat neústupně a bez ohledu na následky na něčem skromnějším, ale reálném je tisíckrát cennější, než si uklidnit svědomí vypálením nějakého velkohubého návrhu, který nenávratně zapadne v okamžiku, kdy byl vysloven, a tudíž pro zítřek už nikoho k ničemu nezavazuje."
"said","say","vysloven","vyslovit","pf"," I said it was a thousand times more valuable to insist, regardless of the consequences, on something more modest but realistic, than to pacify one 's conscience by firing off loudmouthed proposals that evaporate forever the moment they 're made and therefore commit no one to do anything about them."," Řekl jsem, že vytrvat neústupně a bez ohledu na následky na něčem skromnějším, ale reálném je tisíckrát cennější, než si uklidnit svědomí vypálením nějakého velkohubého návrhu, který nenávratně zapadne v okamžiku, kdy byl vysloven, a tudíž pro zítřek už nikoho k ničemu nezavazuje."
"altered","alter","změnila","změnit","pf"," And although those in power have not altered their view of the Charter, they have still had to get used to it."," Aniž moc změnila svůj názor na Chartu, přece jen si na ni nějak musela zvyknout."
"said","say","Řekli","říci","pf"," An ambulance was waiting to take me to a civilian hospital, they said."," Řekli, že na mne čeká sanitka, která mne odveze do civilní nemocnice."
"waiting","wait","čeká","čekat","impf"," An ambulance was waiting to take me to a civilian hospital, they said."," Řekli, že na mne čeká sanitka, která mne odveze do civilní nemocnice."
"understand","understand","nechápal","chápat","impf"," I got into the ambulance, and I could n't understand why they did n't handcuff me, why there was no policeman with a dog along, why I was n't even locked in."," Nasedl jsem do sanitky a celou cestu jsem nechápal, proč nemám pouta, proč tam se mnou není policajt se psem, proč nejsem ani zamknut."
"locked","lock","zamknut","zamknout","pf"," I got into the ambulance, and I could n't understand why they did n't handcuff me, why there was no policeman with a dog along, why I was n't even locked in."," Nasedl jsem do sanitky a celou cestu jsem nechápal, proč nemám pouta, proč tam se mnou není policajt se psem, proč nejsem ani zamknut."
"jump","jump","vyskočit","vyskočit","pf"," My main thought was that I could jump out anytime I felt like it!"," Vždyť můžu kdykoliv vyskočit! - to byla má hlavní myšlenka."
"gives","give","dává","dávat","impf"," It is also this hope, above all, which gives us the strength to live and continually to try new things, even in conditions that seem as hopeless as ours do, here and now."," A tato naděje to také především je, co nám dává sílu žít a pořád znovu něco zkoušet i v podmínkách navenek tak beznadějných, jako jsou například ty zdejší."
"try","try","zkoušet","zkoušet","impf"," It is also this hope, above all, which gives us the strength to live and continually to try new things, even in conditions that seem as hopeless as ours do, here and now."," A tato naděje to také především je, co nám dává sílu žít a pořád znovu něco zkoušet i v podmínkách navenek tak beznadějných, jako jsou například ty zdejší."
"think","think","Myslím","myslet","impf"," Here too, I think, you can find modest grounds for hope."," Myslím, že i zde lze skromné důvody k naději najít."
"find","find","najít","najít","pf"," Here too, I think, you can find modest grounds for hope."," Myslím, že i zde lze skromné důvody k naději najít."
"come","come","jde","jít","impf"," Knowing that it would be an unrepeatable event, we invited everyone we could think of to come."," Vědouce, že jde o atrakci neopakovatelnou, pozvali jsme tam kdekoho;"
"invited","invite","pozvali","pozvat","pf"," Knowing that it would be an unrepeatable event, we invited everyone we could think of to come."," Vědouce, že jde o atrakci neopakovatelnou, pozvali jsme tam kdekoho;"
"said","say","Řekl","říci","pf"," He said it was probably because, although Jirous is expressing the existential experience of the Czech cultural underground, he does it thoroughly, not with the kind of slack approximation and offhandedness with which others do it."," Řekl, že to bude asi tím, že Jirous sice vyjadřuje existenciální zkušenost undergroundu, ale dělá to pořádně, ne s tou lajdáckostí, přibližností a ledabylostí, s jakou to dělají jiní."
"expressing","express","vyjadřuje","vyjadřovat","impf"," He said it was probably because, although Jirous is expressing the existential experience of the Czech cultural underground, he does it thoroughly, not with the kind of slack approximation and offhandedness with which others do it."," Řekl, že to bude asi tím, že Jirous sice vyjadřuje existenciální zkušenost undergroundu, ale dělá to pořádně, ne s tou lajdáckostí, přibližností a ledabylostí, s jakou to dělají jiní."
"does","do","dělá","dělat","impf"," He said it was probably because, although Jirous is expressing the existential experience of the Czech cultural underground, he does it thoroughly, not with the kind of slack approximation and offhandedness with which others do it."," Řekl, že to bude asi tím, že Jirous sice vyjadřuje existenciální zkušenost undergroundu, ale dělá to pořádně, ne s tou lajdáckostí, přibližností a ledabylostí, s jakou to dělají jiní."
"do","do","dělá","dělat","impf"," He said it was probably because, although Jirous is expressing the existential experience of the Czech cultural underground, he does it thoroughly, not with the kind of slack approximation and offhandedness with which others do it."," Řekl, že to bude asi tím, že Jirous sice vyjadřuje existenciální zkušenost undergroundu, ale dělá to pořádně, ne s tou lajdáckostí, přibližností a ledabylostí, s jakou to dělají jiní."
"does","do","dělají","dělat","impf"," He said it was probably because, although Jirous is expressing the existential experience of the Czech cultural underground, he does it thoroughly, not with the kind of slack approximation and offhandedness with which others do it."," Řekl, že to bude asi tím, že Jirous sice vyjadřuje existenciální zkušenost undergroundu, ale dělá to pořádně, ne s tou lajdáckostí, přibližností a ledabylostí, s jakou to dělají jiní."
"do","do","dělají","dělat","impf"," He said it was probably because, although Jirous is expressing the existential experience of the Czech cultural underground, he does it thoroughly, not with the kind of slack approximation and offhandedness with which others do it."," Řekl, že to bude asi tím, že Jirous sice vyjadřuje existenciální zkušenost undergroundu, ale dělá to pořádně, ne s tou lajdáckostí, přibližností a ledabylostí, s jakou to dělají jiní."
"help","help","pomoct","pomoci","pf"," I ca n't help it : a certain tough-mindedness is obviously necessary, and that costs something."," Nemohu si pomoct : jakási sveřepost je k tomu zřejmě zapotřebí a něčím se za to platí."
"say","say","odpovědět","odpovědět","pf"," I do n't think I could say anything to your son right off the cuff."," Vašemu synovi bych jen tak spatra nedokázal odpovědět nic."
"criticized","criticize","kritizovat","kritizovat","impf"," The natural assumption in such satire was that abuses could only be criticized by someone who identified with “ all the positive aspects of how our society lives ”, and who shared the ideals that society was allegedly aspiring to."," Přirozeným předpokladem a východiskem této satiry bylo, že nešvary může kritizovat ten a pouze ten, kdo se identifikuje se "" vším pozitivním, čím společnost žije "", a kdo sdílí ideály, k nimž údajně míří."
"shared","share","sdílí","sdílet","impf"," The natural assumption in such satire was that abuses could only be criticized by someone who identified with “ all the positive aspects of how our society lives ”, and who shared the ideals that society was allegedly aspiring to."," Přirozeným předpokladem a východiskem této satiry bylo, že nešvary může kritizovat ten a pouze ten, kdo se identifikuje se "" vším pozitivním, čím společnost žije "", a kdo sdílí ideály, k nimž údajně míří."
"seeing","see","vidouce","vidět","impf"," Such satires were therefore written by communists, people who sincerely identified with the government ideology and who - seeing the contradictions between their ideals and social practice - castigated the evil practices."," Autory těchto satir byli tedy komunisté, lidé, kteří se upřímně ztotožňovali s vládní ideologií a kteří - vidouce rozpory mezi svými ideály a společenskou praxí - tepali zlořády."
"leads","lead","vede","vést","impf"," You are in the situation of someone who has been persecuted for some time, a situation that not infrequently leads to a kind of “ self-worship ”."," Jste v situaci dlouhodobě pronásledovaného, která nezřídka vede k jakémusi "" sebezbožňování ""."
"fight","fight","bojujete","bojovat","impf"," How do you fight against this, danger?"," Jak proti tomuto nebezpečí, které by v podobné situaci ohrožovalo asi každého, bojujete?"
"threatened","threaten","hrozilo","hrozit","impf"," I do n't feel threatened by that particular danger."," Nemám pocit, že by mi toto nebezpečí hrozilo."
"written","write","napsat","napsat","pf"," And anyway, if I was as badly off as Kopřiva, I could n't have written a thing, certainly not with any ironic distance, so in fact the very existence of this play argues against its being autobiographical."," Ostatně kdybych na tom byl tak špatně jako Kopřiva, nemohl bych nic napsat, natož s ironickým nadhledem, takže vlastně už sama existence té hry vyvrací podezření, že je autobiografická."
"imagine","imagine","představují","představovat","impf"," But of course that is merely situational advice, coming from the discovery that young authors often imagine writing to be simpler than it is : they tend to be consumed by feelings that seem immensely important and unusual, and they think that all they have to do is write it all down."," To je ovšem rada jen situační, vycházející ze zjištění, že si to mladí autoři představují často dost jednoduše : bývají téměř zahlceni svým pocitem, který jim připadá nesmírně důležitý a neobvyklý, a domnívají se, že ho stačí prostě zapsat."
"writing","write","zapsat","zapsat","pf"," But of course that is merely situational advice, coming from the discovery that young authors often imagine writing to be simpler than it is : they tend to be consumed by feelings that seem immensely important and unusual, and they think that all they have to do is write it all down."," To je ovšem rada jen situační, vycházející ze zjištění, že si to mladí autoři představují často dost jednoduše : bývají téměř zahlceni svým pocitem, který jim připadá nesmírně důležitý a neobvyklý, a domnívají se, že ho stačí prostě zapsat."
"write","write","zapsat","zapsat","pf"," But of course that is merely situational advice, coming from the discovery that young authors often imagine writing to be simpler than it is : they tend to be consumed by feelings that seem immensely important and unusual, and they think that all they have to do is write it all down."," To je ovšem rada jen situační, vycházející ze zjištění, že si to mladí autoři představují často dost jednoduše : bývají téměř zahlceni svým pocitem, který jim připadá nesmírně důležitý a neobvyklý, a domnívají se, že ho stačí prostě zapsat."
"called","call","nazval","nazvat","pf"," Occasionally I would hear wild and, as I discovered later, quite distorted stories about the group of people that had gathered around him, which he called the underground, and about the Plastic People of the Universe, a nonconformist rock group that was at the center of this society; Jirous was their artistic director."," Jen ke mně tu a tam dolehly různé trochu divoké a jak se později ukázalo velmi zkreslené zprávy o společenství, které zformoval a nazval undergroundem, a o Plasticích, nekonformní rockové kapele, kolem níž bylo toto společenství soustředěno a jejímž byl Jirous uměleckým vedoucím."
"recommend","recommend","Doporučuji","doporučovat","impf"," I would only recommend that we not treat it like a universal coatrack on which to hang all of life 's unpleasantness, or as an abstract demon that can be blamed for all our particular human troubles."," Doporučuji jen, abychom si ji nepěstovali jako jakýsi univerzální věšák, na který lze odložit jakoukoli nepříjemnost života, nebo jako takového abstraktního ďáblíka, na kterého lze svést všechny naše konkrétní lidské průšvihy."
"seen","see","viděl","vidět","impf"," I 've seen the “ Czech question ” play this role too often not to want to pay very careful attention to it when I am required to say something about it."," Příliš často jsem viděl "" českou otázku "" v téhle roli, než abych si nedával dobrý pozor, když mám o ní něco říct."
"say","say","říct","říci","pf"," I 've seen the “ Czech question ” play this role too often not to want to pay very careful attention to it when I am required to say something about it."," Příliš často jsem viděl "" českou otázku "" v téhle roli, než abych si nedával dobrý pozor, když mám o ní něco říct."
"borrowed","borrow","půjčil","půjčit","pf"," His son, my paternal grandfather, worked his way back up again; he studied architecture, borrowed some money, successfully paved a town square, and thus became a contractor."," Nicméně už jeho syn - můj dědeček z otcovy strany - se opět vypracoval : vystudoval architekturu, půjčil si kdesi peníze, vydláždil kdesi úspěšně náměstí a stal se tak stavebním podnikatelem."
"acknowledged","acknowledge","uznáván","uznávat","impf"," Because I was used to being on the outside ( in periods when I was publicly acknowledged or praised or rewarded, I always considered it an exception and a mistake ), my exclusion from public life in the 1970s, did not catch me so much off balance."," Já byl od prvopočátku zvyklý být tak trochu mimo ( pokud jsem byl v jistých údobích veřejně uznáván, chválen a odměňován, bral jsem to spíš jako výjimku a omyl ), proto mne vyvržení počátkem sedmdesátých let nemohla zas tolik zaskočit."
"praised","praise","uznáván","uznávat","impf"," Because I was used to being on the outside ( in periods when I was publicly acknowledged or praised or rewarded, I always considered it an exception and a mistake ), my exclusion from public life in the 1970s, did not catch me so much off balance."," Já byl od prvopočátku zvyklý být tak trochu mimo ( pokud jsem byl v jistých údobích veřejně uznáván, chválen a odměňován, bral jsem to spíš jako výjimku a omyl ), proto mne vyvržení počátkem sedmdesátých let nemohla zas tolik zaskočit."
"praised","praise","chválen","chválit","impf"," Because I was used to being on the outside ( in periods when I was publicly acknowledged or praised or rewarded, I always considered it an exception and a mistake ), my exclusion from public life in the 1970s, did not catch me so much off balance."," Já byl od prvopočátku zvyklý být tak trochu mimo ( pokud jsem byl v jistých údobích veřejně uznáván, chválen a odměňován, bral jsem to spíš jako výjimku a omyl ), proto mne vyvržení počátkem sedmdesátých let nemohla zas tolik zaskočit."
"rewarded","reward","odměňován","odměňovat","impf"," Because I was used to being on the outside ( in periods when I was publicly acknowledged or praised or rewarded, I always considered it an exception and a mistake ), my exclusion from public life in the 1970s, did not catch me so much off balance."," Já byl od prvopočátku zvyklý být tak trochu mimo ( pokud jsem byl v jistých údobích veřejně uznáván, chválen a odměňován, bral jsem to spíš jako výjimku a omyl ), proto mne vyvržení počátkem sedmdesátých let nemohla zas tolik zaskočit."
"did","do","bral","brát","impf"," Because I was used to being on the outside ( in periods when I was publicly acknowledged or praised or rewarded, I always considered it an exception and a mistake ), my exclusion from public life in the 1970s, did not catch me so much off balance."," Já byl od prvopočátku zvyklý být tak trochu mimo ( pokud jsem byl v jistých údobích veřejně uznáván, chválen a odměňován, bral jsem to spíš jako výjimku a omyl ), proto mne vyvržení počátkem sedmdesátých let nemohla zas tolik zaskočit."
"hesitate","hesitate","neváhá","váhat","impf"," But knowing that people knew about them, that someone was on their side and did not hesitate to support them publicly, even in a period of general apathy and resignation : this was of irreplaceable value."," Ale vědomí, že se o nich ví, že je někdo na jejich straně a neváhá se jich ani v době obecné apatie a rezignace veřejně zastat, mělo pro ně nezaplatitelnou cenu."
"hide","hide","neskrývala","skrývat","impf"," It is important, in short, that the superficial variety of one system, or the repulsive grayness of the other, not hide the same deep emptiness of life devoid of meaning."," aby se prostě za vnější pestrostí jednoho systému a za odpudivou šedivostí druhého neskrývala táž hlubinná pustota života, který ztratil smysl."
"bear","bear","snášet","snášet","impf"," I also knew that I would be better able to bear prison if I could manage to breathe some positive significance into it, turn it around to work in my favor, give it a value."," Věděl jsem přitom, že budu vězení snášet o to lépe, oč lépe se mi podaří vdechnout mu ve svém osobním životě nějaký pozitivní smysl, obrátit ho ve svůj prospěch, zhodnotit ho."
"manage","manage","podaří","podařit","pf"," I also knew that I would be better able to bear prison if I could manage to breathe some positive significance into it, turn it around to work in my favor, give it a value."," Věděl jsem přitom, že budu vězení snášet o to lépe, oč lépe se mi podaří vdechnout mu ve svém osobním životě nějaký pozitivní smysl, obrátit ho ve svůj prospěch, zhodnotit ho."
"turn","turn","obrátit","obrátit","pf"," I also knew that I would be better able to bear prison if I could manage to breathe some positive significance into it, turn it around to work in my favor, give it a value."," Věděl jsem přitom, že budu vězení snášet o to lépe, oč lépe se mi podaří vdechnout mu ve svém osobním životě nějaký pozitivní smysl, obrátit ho ve svůj prospěch, zhodnotit ho."
"visited","visit","navštívil","navštívit","pf"," I have vivid memories of that letter, and it was because of that that I visited you at Hrádeček."," Na to si velice živě vzpomínám, díky tomu jsem vás tehdy na Hrádečku navštívil -"
"remember","remember","Pamatuji","pamatovat","impf"," I remember that."," Pamatuji se na to."
"tormented","torment","trápil","trápit","impf"," If I had lived during the national revival in the nineteenth century, my Czechness might still have been a matter of personal choice, and I might have tormented myself with the question of whether it was “ worth the effort ”."," Kdybych žil za obrození, možná by mi bylo mé češství ještě věcí volby a možná bych se trápil otázkou, zda "" to stojí za tu námahu ""."
"say","say","Říkáte","říkat","impf"," You say that the Faust theme had been haunting you for a long time and that you did n't dare tackle it, or did n't quite know how to deal with it."," Říkáte, že faustovské téma kolem vás obcházelo dlouho, že jste si na ně netroufal nebo že jste si s ním nevěděl rady."
"haunting","haunt","obcházelo","obcházet","impf"," You say that the Faust theme had been haunting you for a long time and that you did n't dare tackle it, or did n't quite know how to deal with it."," Říkáte, že faustovské téma kolem vás obcházelo dlouho, že jste si na ně netroufal nebo že jste si s ním nevěděl rady."
"dare","dare","netroufal","troufat","impf"," You say that the Faust theme had been haunting you for a long time and that you did n't dare tackle it, or did n't quite know how to deal with it."," Říkáte, že faustovské téma kolem vás obcházelo dlouho, že jste si na ně netroufal nebo že jste si s ním nevěděl rady."
"surprise","surprise","překvapit","překvapit","pf"," None of us know all the potentialities that slumber in the spirit of the population, or all the ways in which that population can surprise us when there is the right interplay of events, both visible and invisible."," Nikdo nevíme, jaké všechny možnosti v duši obyvatelstva dřímají a čím nás za toho či onoho souběhu různých viditelných i neviditelných dějů může veřejnost překvapit."
"withdrew","withdraw","odvolali","odvolat","pf"," The powers that be were very hostile to the petition, and several of those who signed immediately withdrew their signatures as soon as this hostility became clear."," Petice vyvolala velmi nepřátelskou reakci moci, někteří z podepsaných po té reakci svůj podpis hned odvolali."
"learned","learn","Dozvěděl","dozvědět","pf"," I was at Hrádeček when I learned about this, and I came to Prague immediately, since it was obvious that something had to be done, and equally obvious that it was up to me to do it."," Dozvěděl jsem se to na Hrádečku a přijel hned do Prahy, protože mi bylo jasné, že je třeba něco dělat, a protože mi bylo jasné, že to je na mně."
"came","come","přijel","přijet","pf"," I was at Hrádeček when I learned about this, and I came to Prague immediately, since it was obvious that something had to be done, and equally obvious that it was up to me to do it."," Dozvěděl jsem se to na Hrádečku a přijel hned do Prahy, protože mi bylo jasné, že je třeba něco dělat, a protože mi bylo jasné, že to je na mně."
"done","do","dělat","dělat","impf"," I was at Hrádeček when I learned about this, and I came to Prague immediately, since it was obvious that something had to be done, and equally obvious that it was up to me to do it."," Dozvěděl jsem se to na Hrádečku a přijel hned do Prahy, protože mi bylo jasné, že je třeba něco dělat, a protože mi bylo jasné, že to je na mně."
"do","do","dělat","dělat","impf"," I was at Hrádeček when I learned about this, and I came to Prague immediately, since it was obvious that something had to be done, and equally obvious that it was up to me to do it."," Dozvěděl jsem se to na Hrádečku a přijel hned do Prahy, protože mi bylo jasné, že je třeba něco dělat, a protože mi bylo jasné, že to je na mně."
"astonished","astonish","překvapeni","překvapit","pf"," Again and again, we were astonished at all the new things that were going on, the greater risks people were taking, how much more freely they were behaving, how much greater and less hidden was their hunger for truth, for a truthful word, for genuine values."," Vždy znovu jsme byli překvapeni tím, co nových věcí se děje, oč víc si toho lidé troufají, oč svobodněji si počínají, oč větší a méně skrývaný je jejich hlad po pravdě, pravdivém slovu, skutečných hodnotách."
"accuse","accuse","obviňovali","obviňovat","impf"," As a matter of interest, many of those who thirty years ago debated with me excitedly far into the night and, as they got drunker, would alternately heap ashes on their own heads and accuse me of betraying socialism, have long since become my friends and sail together with me on the good ship Samizdat."," Jen pro zajímavost : mnozí z těch, co tehdy, před třiceti lety, vedli se mnou po zasedání vzrušené noční debaty, v nichž si - jak se postupně opíjeli - střídavě sypali popel na hlavu a obviňovali mne ze zrady socialismu, jsou už dávno mými přáteli a plaví se společně se mnou na bárce s vlaječkou "" samizdat ""."
"say","say","říct","říci","pf"," I must say that they have gained my respect."," Musím říct, že vývojový oblouk, který opsali, sklízí můj respekt."
"think","think","domnívám","domnívat","impf"," Personally, I think it 's the most significant theatrical phenomenon of the twentieth century, because it demonstrates modern humanity in a “ state of crisis ”, as it were."," Osobně se domnívám, že to je nejvýznamnější úkaz v divadelní kultuře dvacátého století, protože demonstruje soudobé lidství tak říkajíc v jeho "" krizovitosti ""."
"told","tell","řekl","říci","pf"," Antonín Liehm recently told me that his generation had never hungered for power."," A. J. Liehm mi nedávno řekl, že jeho generace nikdy netoužila po moci."
"hungered","hunger","netoužila","toužit","impf"," Antonín Liehm recently told me that his generation had never hungered for power."," A. J. Liehm mi nedávno řekl, že jeho generace nikdy netoužila po moci."
"work","work","pracovat","pracovat","impf"," Perhaps too my father had been allowed to work there because before the war he had rented the grand Lucerna ballroom to the Communist Party for its congresses, and some rather untypically sentimental functionary may have remembered that."," Otec tam mohl pracovat možná i proto, že před válkou půjčoval Velký sál Lucerny Komunistické straně na sjezdy a nějaký netypicky sentimentální funkcionář si na to vzpomněl."
"remembered","remember","vzpomněl","vzpomenout","pf"," Perhaps too my father had been allowed to work there because before the war he had rented the grand Lucerna ballroom to the Communist Party for its congresses, and some rather untypically sentimental functionary may have remembered that."," Otec tam mohl pracovat možná i proto, že před válkou půjčoval Velký sál Lucerny Komunistické straně na sjezdy a nějaký netypicky sentimentální funkcionář si na to vzpomněl."
"assigned","assign","přiděleni","přidělit","pf"," We were assigned to some tiny hamlet in the border regions where there was no chance of adequate employment or accommodations."," Byli jsme přiděleni do nějaké pohraniční vísky, kde nebyla možnost ani přiměřeného zaměstnání, ani bydlení."
"talking","talk","mluvíme","mluvit","impf"," In August 1969, at the very end of the period we 're talking about, you apparently wrote a private letter to Alexander Dubček."," V srpnu roku 1969, tedy v samém závěru éry, o níž mluvíme, jste prý napsal delší soukromý dopis Alexandru Dubčekovi."
"wrote","write","napsal","napsat","pf"," In August 1969, at the very end of the period we 're talking about, you apparently wrote a private letter to Alexander Dubček."," V srpnu roku 1969, tedy v samém závěru éry, o níž mluvíme, jste prý napsal delší soukromý dopis Alexandru Dubčekovi."
"write","write","psal","psát","impf"," Why did you write him, and what was the letter about?"," Proč jste mu psal a o co v tom dopise šlo?"
"did","do","šlo","jít","impf"," Why did you write him, and what was the letter about?"," Proč jste mu psal a o co v tom dopise šlo?"
"felt","feel","pociťovali","pociťovat","impf"," My closest literary companions and friends were Jiří Kuběna, Věra Linhartová, Josef Topol, Jan Zábrana, and other authors, who were roughly my own age, who had never published before, and who felt that the “ second culture ” of the time was their “ natural world ”."," Mými nejbližšími literárními druhy a přáteli byli tehdy Jiří Kuběna, Věra Linhartová, Josef Topol, Jan Zábrana a další autoři přibližně mého věku, kteří nepublikovali a jako svůj "" přirozený svět "" pociťovali tehdejší "" druhou kulturu ""."
"counted","count","počítali","počítat","impf"," With the presumption of youth, we also counted among ourselves some older and already mature writers who had not been able to publish anything yet either, like Josef Škvorecký and Bohumil Hrabal."," S mladickou nezdrženlivostí jsme tak trochu k sobě počítali i některé starší a už zralé spisovatele, kteří však také dosud nic nevydali, například Škvoreckého a Hrabala."
"publish","publish","nevydali","vydat","pf"," With the presumption of youth, we also counted among ourselves some older and already mature writers who had not been able to publish anything yet either, like Josef Škvorecký and Bohumil Hrabal."," S mladickou nezdrženlivostí jsme tak trochu k sobě počítali i některé starší a už zralé spisovatele, kteří však také dosud nic nevydali, například Škvoreckého a Hrabala."
"destroyed","destroy","zničil","zničit","pf"," Later, in a critical moment, I destroyed the entire file, so that today it exists only in the archives of the Ministry of the Interior, which had, as I later discovered, managed to photograph the entire manuscript."," Později jsem v jakési kritické chvíli celý ten fascikl zničil, takže dnes existuje jen v archívu ministerstva vnitra, které si to stihlo, jak jsem pak zjistil, celé tajně ofotografovat."
"exists","exist","existuje","existovat","impf"," Later, in a critical moment, I destroyed the entire file, so that today it exists only in the archives of the Ministry of the Interior, which had, as I later discovered, managed to photograph the entire manuscript."," Později jsem v jakési kritické chvíli celý ten fascikl zničil, takže dnes existuje jen v archívu ministerstva vnitra, které si to stihlo, jak jsem pak zjistil, celé tajně ofotografovat."
"discovered","discover","zjistil","zjistit","pf"," Later, in a critical moment, I destroyed the entire file, so that today it exists only in the archives of the Ministry of the Interior, which had, as I later discovered, managed to photograph the entire manuscript."," Později jsem v jakési kritické chvíli celý ten fascikl zničil, takže dnes existuje jen v archívu ministerstva vnitra, které si to stihlo, jak jsem pak zjistil, celé tajně ofotografovat."
"add","add","dodat","dodat","pf"," I should add that in the 1960s I had a somewhat different attitude toward exile from that of most of those who were publicly active then."," Snad bych měl k tomu dodat, že k exilu jsem měl už v šedesátých letech trochu jiný vztah než většina tehdy veřejně činných lidí."
"asked","ask","vyzván","vyzvat","pf"," I was asked to run the meeting, and I felt rather strange, giving the floor to former university professors, ministers, and Communist Party secretaries."," Byl jsem vyzván, abych tu schůzku řídil, a měl jsem trochu zvláštní pocit, když jsem uděloval slovo bývalým univerzitním profesorům, ministrům a stranickým tajemníkům."
"run","run","řídil","řídit","impf"," I was asked to run the meeting, and I felt rather strange, giving the floor to former university professors, ministers, and Communist Party secretaries."," Byl jsem vyzván, abych tu schůzku řídil, a měl jsem trochu zvláštní pocit, když jsem uděloval slovo bývalým univerzitním profesorům, ministrům a stranickým tajemníkům."
"meant","mean","znamenalo","znamenat","impf"," If the partisans of intervention in the Soviet Politburo had been outvoted, developments there too might have been accelerated, but in any case it would have meant that the Soviets were prepared to negotiate seriously, and make some concessions."," Kdyby byli v sovětském politbyru přehlasováni stoupenci intervence, možná by to nějak akcelerovalo i tamější vývoj, v každém případě by to však znamenalo, že Sověti začnou vážně jednat a že budou připraveni k ústupkům."
"negotiate","negotiate","jednat","jednat","impf"," If the partisans of intervention in the Soviet Politburo had been outvoted, developments there too might have been accelerated, but in any case it would have meant that the Soviets were prepared to negotiate seriously, and make some concessions."," Kdyby byli v sovětském politbyru přehlasováni stoupenci intervence, možná by to nějak akcelerovalo i tamější vývoj, v každém případě by to však znamenalo, že Sověti začnou vážně jednat a že budou připraveni k ústupkům."
"prepared","prepare","připraveni","připravit","pf"," If the partisans of intervention in the Soviet Politburo had been outvoted, developments there too might have been accelerated, but in any case it would have meant that the Soviets were prepared to negotiate seriously, and make some concessions."," Kdyby byli v sovětském politbyru přehlasováni stoupenci intervence, možná by to nějak akcelerovalo i tamější vývoj, v každém případě by to však znamenalo, že Sověti začnou vážně jednat a že budou připraveni k ústupkům."
"make","make","připraveni","připravit","pf"," If the partisans of intervention in the Soviet Politburo had been outvoted, developments there too might have been accelerated, but in any case it would have meant that the Soviets were prepared to negotiate seriously, and make some concessions."," Kdyby byli v sovětském politbyru přehlasováni stoupenci intervence, možná by to nějak akcelerovalo i tamější vývoj, v každém případě by to však znamenalo, že Sověti začnou vážně jednat a že budou připraveni k ústupkům."
