"trying","try","pokusila","pokusit","pf"," By that time, all three were trying to catch it and help me out by lightening the load."," Na tomto místě se medvíďata pokusila ocas chytit a odlehčit mi tak od nákladu."
"made","make","učinila","učinit","pf"," Before he could reach me, though, Squirty made a very aggressive lunge, with her ears back and a strong "" Huh, huh, huh, huh, huh! "" - backing him down before he could get to me."," Ale než ke mně došel, Drobná učinila velmi troufalý výpad a s ušima přitisknutýma k hlavě a naléhavým ´Hu, hu, hu, hu, ´ samce zahnala dřív, než se ke mně stačil dostat."
"get","get","dostat","dostat","pf"," Before he could reach me, though, Squirty made a very aggressive lunge, with her ears back and a strong "" Huh, huh, huh, huh, huh! "" - backing him down before he could get to me."," Ale než ke mně došel, Drobná učinila velmi troufalý výpad a s ušima přitisknutýma k hlavě a naléhavým ´Hu, hu, hu, hu, ´ samce zahnala dřív, než se ke mně stačil dostat."
"accept","accept","přijmout","přijmout","pf"," That was pretty intimidating, but I said I 'd be honored to accept."," Strachy jsem se rozklepal, ale nechal jsem se slyšet, že je mi ctí takovou nabídku přijmout."
"weighing","weigh","vážil","vážit","impf"," But the Boy was weighing in at well over a hundred pounds, and even Curls, the smallest of the three, was close to seventy."," Jenomže Boy vážil dobře přes pětačtyřicet kilogramů a dokonce Kudrnka, nejmenší z trojčat, měla téměř dvaatřicet."
"walking","walk","jít","jít","impf"," As I was leaving to feed the cubs one day in early October, I was surprised by somebody walking up our back driveway."," Jednoho dne začátkem října jsem se právě chystal z domu jít nakrmit medvíďata, když v tom jsem si všiml, že po příjezdové cestě kdosi míří k našemu domu."
"left","leave","nechal","nechat","pf"," He said no, but he had left his canoe down by the river and had walked up to see us."," Uklidnil mne, že nic takového, že jen nechal svou kanoi kotvit dole u řeky a vyšlápl si sem k nám na malou návštěvu."
"found","find","Objevil","objevit","pf"," But I found there was another group of large omnivores, which filled a similar evolutionary niche, about which thousands of research papers on the same topic had been written : the great apes."," Objevil jsem však další skupinu velkých všežravců vyplňující podobnou vývojovou mezeru, o které byly na stejné téma popsány tisíce a tisíce stránek vědeckých pojednání : velcí lidoopi."
"devoted","devote","věnovány","věnovat","impf"," In addition, hundreds of books were devoted to these creatures."," Kromě toho jsou těmto tvorům věnovány stovky knih."
"stood","stand","postavila","postavit","pf"," This time, they both stood up to pick the smell out of the air, then took refuge behind a large red maple while only peeking out at the danger."," Tentokrát se obě postavila na zadní, zavětřila, a horempádem se rozběhla hledat útočiště za statným javorem červeným a zpoza něj pak jukala ven, kde číhá nebezpečí."
"called","call","Volal","volat","impf"," I called repeatedly and tried to close in on the signal, but got caught up in a mess of blown-down trees which were hard to get through."," Volal jsem a pokoušel se přiblížit signálu, ale byl jsem uvězněn ve změti stromů popadaných větrem a proklestit si jimi cestu bylo nesmírně namáhavé."
"tried","try","pokoušel","pokoušet","impf"," I called repeatedly and tried to close in on the signal, but got caught up in a mess of blown-down trees which were hard to get through."," Volal jsem a pokoušel se přiblížit signálu, ale byl jsem uvězněn ve změti stromů popadaných větrem a proklestit si jimi cestu bylo nesmírně namáhavé."
"make","make","dělat","dělat","impf"," I could n't help but make a lot of noise, which should have been okay since that was how I approached the cubs normally to let them know I was near, but the signal just disappeared."," Nezbývalo mi nic jiného než dělat větší hluk, což by bylo v pořádku, pokud bych se tak přibližoval medvíďatům a dával jim vědět, že jsem nablízku, jenomže já byl v jiné situaci, protože signál dočista zmizel."
"disappeared","disappear","zmizel","zmizet","pf"," I could n't help but make a lot of noise, which should have been okay since that was how I approached the cubs normally to let them know I was near, but the signal just disappeared."," Nezbývalo mi nic jiného než dělat větší hluk, což by bylo v pořádku, pokud bych se tak přibližoval medvíďatům a dával jim vědět, že jsem nablízku, jenomže já byl v jiné situaci, protože signál dočista zmizel."
"escape","escape","neunikla","uniknout","pf"," Curls did n't escape the hounds ' attention;"," Kudrlinka neunikla psí pozornosti;"
"found","find","zjistila","zjistit","pf"," The next two times she was run, she found that she could lose her pursuers if she climbed up through the ledges, where the dogs could n't travel."," V dalších dvou případech zjistila, že je schopná své pronásledovatele setřást, když vyšplhá mezi terasami, kde si psi nedokáží poradit."
"found","find","objevili","objevit","pf"," Just off the path, the cubs found a moose bed, still hot with scent."," Hned u cesty objevili medvídci losí lůžko a v něm ještě čerstvý pach."
"get","get","dostat","dostat","pf"," Eventually, LB devised a scheme in his endless attempts to get it all : He would let LG head toward the cub door as usual, then he would scoot through the main door, charge back to the cub door, and barricade it with his body trying to prevent me from unlatching it to let LG in."," MH v nekonečných pokusech dostat všechno mléko vymyslel jistý postup : nechal MD běžet k medvědím dvířkům jako obvykle, pak proletěl hlavním vchodem, přiřítil se zpět k medvědím dvířkům a zabarikádoval je vlastním tělem ve snaze zabránit mi, abych je odemkl a pustil MD dovnitř."
"devised","devise","vymyslel","vymyslet","pf"," Eventually, LB devised a scheme in his endless attempts to get it all : He would let LG head toward the cub door as usual, then he would scoot through the main door, charge back to the cub door, and barricade it with his body trying to prevent me from unlatching it to let LG in."," MH v nekonečných pokusech dostat všechno mléko vymyslel jistý postup : nechal MD běžet k medvědím dvířkům jako obvykle, pak proletěl hlavním vchodem, přiřítil se zpět k medvědím dvířkům a zabarikádoval je vlastním tělem ve snaze zabránit mi, abych je odemkl a pustil MD dovnitř."
"let","let","nechal","nechat","pf"," Eventually, LB devised a scheme in his endless attempts to get it all : He would let LG head toward the cub door as usual, then he would scoot through the main door, charge back to the cub door, and barricade it with his body trying to prevent me from unlatching it to let LG in."," MH v nekonečných pokusech dostat všechno mléko vymyslel jistý postup : nechal MD běžet k medvědím dvířkům jako obvykle, pak proletěl hlavním vchodem, přiřítil se zpět k medvědím dvířkům a zabarikádoval je vlastním tělem ve snaze zabránit mi, abych je odemkl a pustil MD dovnitř."
"let","let","nechal","nechat","pf"," Eventually, LB devised a scheme in his endless attempts to get it all : He would let LG head toward the cub door as usual, then he would scoot through the main door, charge back to the cub door, and barricade it with his body trying to prevent me from unlatching it to let LG in."," MH v nekonečných pokusech dostat všechno mléko vymyslel jistý postup : nechal MD běžet k medvědím dvířkům jako obvykle, pak proletěl hlavním vchodem, přiřítil se zpět k medvědím dvířkům a zabarikádoval je vlastním tělem ve snaze zabránit mi, abych je odemkl a pustil MD dovnitř."
"scoot","scoot","běžet","běžet","impf"," Eventually, LB devised a scheme in his endless attempts to get it all : He would let LG head toward the cub door as usual, then he would scoot through the main door, charge back to the cub door, and barricade it with his body trying to prevent me from unlatching it to let LG in."," MH v nekonečných pokusech dostat všechno mléko vymyslel jistý postup : nechal MD běžet k medvědím dvířkům jako obvykle, pak proletěl hlavním vchodem, přiřítil se zpět k medvědím dvířkům a zabarikádoval je vlastním tělem ve snaze zabránit mi, abych je odemkl a pustil MD dovnitř."
"prevent","prevent","zabránit","zabránit","pf"," Eventually, LB devised a scheme in his endless attempts to get it all : He would let LG head toward the cub door as usual, then he would scoot through the main door, charge back to the cub door, and barricade it with his body trying to prevent me from unlatching it to let LG in."," MH v nekonečných pokusech dostat všechno mléko vymyslel jistý postup : nechal MD běžet k medvědím dvířkům jako obvykle, pak proletěl hlavním vchodem, přiřítil se zpět k medvědím dvířkům a zabarikádoval je vlastním tělem ve snaze zabránit mi, abych je odemkl a pustil MD dovnitř."
"open","open","otevřít","otevřít","pf"," While she then attempted to tear the door off its hinges, I 'd have to muscle LB out of the way in order to open the latch."," MD se snažila otevřít si dvířka drápy, a mně nezbylo než vytlačit MH ode dveří, a pak teprve odemknout."
"categorized","categorize","třídil","třídit","impf"," Over those cold winter days that gave way to the warming springtime weeks and hot summer months of 1995, and as I read back over my notes, categorized my pictures, and watched the videos, all those hours with the cubs came vividly back to life."," Za chladných dnů, po nichž následovaly teplé jarní týdny a parné letní měsíce roku 1995, jsem se se znovu probíral poznámkami, třídil fotografie a sledoval videozáznamy a hodiny strávené s medvíďaty jako by mi znovu ožívaly před očima."
"watched","watch","sledoval","sledovat","impf"," Over those cold winter days that gave way to the warming springtime weeks and hot summer months of 1995, and as I read back over my notes, categorized my pictures, and watched the videos, all those hours with the cubs came vividly back to life."," Za chladných dnů, po nichž následovaly teplé jarní týdny a parné letní měsíce roku 1995, jsem se se znovu probíral poznámkami, třídil fotografie a sledoval videozáznamy a hodiny strávené s medvíďaty jako by mi znovu ožívaly před očima."
"offered","offer","nabídne","nabídnout","pf"," It became obvious to me that despite the hardships and emotional trauma of raising LB and LG, if another set of cubs were offered I would have to take them in and do it all over again."," Jasně jsem si uvědomil, že přes všechnu dřinu a citové trauma spojené s výchovou MD a MH, nabídne - li mi někdo k výchově další medvíďata, ujmu se jich a půjdu do toho znovu."
"do","do","půjdu","jít","impf"," It became obvious to me that despite the hardships and emotional trauma of raising LB and LG, if another set of cubs were offered I would have to take them in and do it all over again."," Jasně jsem si uvědomil, že přes všechnu dřinu a citové trauma spojené s výchovou MD a MH, nabídne - li mi někdo k výchově další medvíďata, ujmu se jich a půjdu do toho znovu."
"found","find","vyhledala","vyhledat","pf"," By late April, my reestablished bond with Squirty was strong enough that she came and found me one day, a real surprise since I had picked up no signal."," Mé znovu obnovené pouto s Drobnou bylo natolik silné, že mne jednoho dne konce dubna sama vyhledala, čímž mne ohromně překvapila, protože jsem vůbec nebyl schopen zachytit její signál."
"wrestled","wrestle","zápasili","zápasit","impf"," We wrestled, then she followed me out through a rocky ravine, where she mouthed and then ate a couple of expanded beech buds."," Hráli jsme si a zápasili, a pak mne Drobná následovala skalní rozsedlinou, kde přemílala v tlamě a pak i snědla pár rozvíjejících se bukových pupenů."
"followed","follow","následovala","následovat","impf"," We wrestled, then she followed me out through a rocky ravine, where she mouthed and then ate a couple of expanded beech buds."," Hráli jsme si a zápasili, a pak mne Drobná následovala skalní rozsedlinou, kde přemílala v tlamě a pak i snědla pár rozvíjejících se bukových pupenů."
"ate","eat","snědla","sníst","pf"," We wrestled, then she followed me out through a rocky ravine, where she mouthed and then ate a couple of expanded beech buds."," Hráli jsme si a zápasili, a pak mne Drobná následovala skalní rozsedlinou, kde přemílala v tlamě a pak i snědla pár rozvíjejících se bukových pupenů."
"wanted","want","chtěli","chtít","impf"," Concerned that he might get mixed up with some Dartmouth students, they wanted to know if I could persuade the bear to move on."," Policisté se obávali, aby se medvěd nepřipletl do šarvátky s Darmouthskými studenty, a tak chtěli vědět, zda bych ho dokázal nějakým způsobem přesvědčit, aby odešel."
"persuade","persuade","přesvědčit","přesvědčit","pf"," Concerned that he might get mixed up with some Dartmouth students, they wanted to know if I could persuade the bear to move on."," Policisté se obávali, aby se medvěd nepřipletl do šarvátky s Darmouthskými studenty, a tak chtěli vědět, zda bych ho dokázal nějakým způsobem přesvědčit, aby odešel."
"suspected","suspect","Tušil","tušit","impf"," I suspected the bear was Number 383 since he was the most active problem bear in Hanover at the time."," Tušil jsem, že je to Třistaoosmdesáttrojka, vzhledem k tomu, že právě tenhle medvídek způsoboval v té době v Hanoveru největší potíže."
"judge","judge","posuzovat","posuzovat","impf"," I 've concluded from long experience that you ca n't judge the nature of an individual encounter between a bear and a human on the basis of whether the bear is displaying one behavior or another."," Po dlouhodobých zkušenostech je došel k závěru, že nelze posuzovat povahu setkání člověka a medvěda jen podle toho, zda medvěd předvádí to či ono chování."
"use","use","používat","používat","impf"," For a bear may use the same displays in different intensities for different contexts."," Medvěd totiž může používat stejné ukázky chování, ale podle okolností do nich vkládají různou hloubku citu."
"encountering","encounter","setká","setkat","pf"," Having fixed interpretations of any individual bear behavior can be dangerous not only to a person encountering a bear but also to the bear itself."," Mít pevně dané vysvětlení pro osobité medvědí chování v různých situacích může být nebezpečné nejen pro osobu, která se s medvědem setká, ale i pro medvěda samého."
"leads","lead","vede","vést","impf"," It 's the escalation of fear that leads to bad decisions."," Jde o stupňování strachu, který vede k nešťastným rozhodnutím."
"appeared","appear","zdálo","zdát","impf"," This genital drag appeared to be a boy thing, as I had n't yet seen LG do it."," Jak se zdálo, tento úkon spojený s genitáliemi byl chlapskou záležitostí, protože u MD jsem si podobného chování nikdy nevšiml."
"found","find","nenašli","najít","pf"," The only acorns that the cubs found to forage on were in areas free of snow at the bases of oak trees."," Žaludů jsme cestou moc nenašli, medvíďata jich pár objevila jen na místech, kde nebyl sníh, a pak u paty dubů."
"found","find","objevila","objevit","pf"," The only acorns that the cubs found to forage on were in areas free of snow at the bases of oak trees."," Žaludů jsme cestou moc nenašli, medvíďata jich pár objevila jen na místech, kde nebyl sníh, a pak u paty dubů."
"thought","think","neměl","mít","impf"," I thought that if I bit into the corm with my front teeth I could introduce the cubs to one of their most important foods, but I also knew that the corms were poisonous to humans, so I did n't plan on swallowing any."," zároveň jsem ale dobře věděl, že pro člověka jsou kormy jedovaté, tudíž jsem neměl v úmyslu je žvýkat."
"trying","try","Snažil","snažit","impf"," - trying to put some emphasis into it to let him know that this was my territory and he should leave."," ´Hu, hu, hu, hu! ´ Snažil jsem se hudrat patřičně důrazně, abych dal medvídkovi jaksepatří najevo, že tohle je moje území a on udělá nejlíp, když odejde."
"put","put","dal","dát","pf"," - trying to put some emphasis into it to let him know that this was my territory and he should leave."," ´Hu, hu, hu, hu! ´ Snažil jsem se hudrat patřičně důrazně, abych dal medvídkovi jaksepatří najevo, že tohle je moje území a on udělá nejlíp, když odejde."
"leave","leave","odejde","odejít","pf"," - trying to put some emphasis into it to let him know that this was my territory and he should leave."," ´Hu, hu, hu, hu! ´ Snažil jsem se hudrat patřičně důrazně, abych dal medvídkovi jaksepatří najevo, že tohle je moje území a on udělá nejlíp, když odejde."
"hurried","hurry","Spěchal","spěchat","impf"," I hurried home and picked up Debbie to monitor the receiver as I drove, and we left to locate LB on the ground."," Spěchal jsem domů, naložil Debbie do auta, aby obsluhovala přijímač a já se mohl věnovat řízení, a vyrazili jsme za MH."
"left","leave","vyrazili","vyrazit","pf"," I hurried home and picked up Debbie to monitor the receiver as I drove, and we left to locate LB on the ground."," Spěchal jsem domů, naložil Debbie do auta, aby obsluhovala přijímač a já se mohl věnovat řízení, a vyrazili jsme za MH."
"take","take","netrvalo","trvat","impf"," Once we were in the Mount Cardigan area, it did n't take long before Debbie picked up a faint signal off the west side of Melvin Mountain, just northwest of Shepard Hill."," Dorazili jsme do oblasti kolem Mount Cardigan a netrvalo dlouho a Debbie zachytila sotva patrný signál směrem na západ od Melvin Mountain."
"take","take","zachytila","zachytit","pf"," Once we were in the Mount Cardigan area, it did n't take long before Debbie picked up a faint signal off the west side of Melvin Mountain, just northwest of Shepard Hill."," Dorazili jsme do oblasti kolem Mount Cardigan a netrvalo dlouho a Debbie zachytila sotva patrný signál směrem na západ od Melvin Mountain."
"return","return","vracet","vracet","impf"," Plus it was important to me to return with the cubs to this tree as often as possible to document the constantly changing intensity and variety of displays by each of the cubs."," Navíc jsem považoval za důležité vracet se se svými svěřenci ke stromu co možná nejčastěji, abych mohl lépe zdokumentovat neustále se měnící chování obou sourozenců."
"began","begin","začínala","začínat","impf"," Curls began to show signs of wanting to establish a territory of her own;"," Kudrlinka začínala dávat najevo, že si chce založit vlastní terirorium;"
"wanting","want","chce","chtít","impf"," Curls began to show signs of wanting to establish a territory of her own;"," Kudrlinka začínala dávat najevo, že si chce založit vlastní terirorium;"
"began","begin","založit","založit","pf"," Curls began to show signs of wanting to establish a territory of her own;"," Kudrlinka začínala dávat najevo, že si chce založit vlastní terirorium;"
"establish","establish","založit","založit","pf"," Curls began to show signs of wanting to establish a territory of her own;"," Kudrlinka začínala dávat najevo, že si chce založit vlastní terirorium;"
"found","find","našla","najít","pf"," Squirty found a wild boyfriend, who stayed out of sight whenever I tried to get close enough for a look at him."," Drobná si našla vážnou známost, a kdykoli jsem se pokoušel dostat blíž, abych si onoho šťastlivce prohlédl, držel se mi z dohledu."
"tried","try","pokoušel","pokoušet","impf"," Squirty found a wild boyfriend, who stayed out of sight whenever I tried to get close enough for a look at him."," Drobná si našla vážnou známost, a kdykoli jsem se pokoušel dostat blíž, abych si onoho šťastlivce prohlédl, držel se mi z dohledu."
"get","get","dostat","dostat","pf"," Squirty found a wild boyfriend, who stayed out of sight whenever I tried to get close enough for a look at him."," Drobná si našla vážnou známost, a kdykoli jsem se pokoušel dostat blíž, abych si onoho šťastlivce prohlédl, držel se mi z dohledu."
"provoked","provoke","provokoval","provokovat","impf"," Made every time I provoked a cub to do something against its will."," Medvíďata jej vydával vždy, když jsem je provokoval, aby dělala něco proti své vůli."
"Made","make","dělala","dělat","impf"," Made every time I provoked a cub to do something against its will."," Medvíďata jej vydával vždy, když jsem je provokoval, aby dělala něco proti své vůli."
"do","do","dělala","dělat","impf"," Made every time I provoked a cub to do something against its will."," Medvíďata jej vydával vždy, když jsem je provokoval, aby dělala něco proti své vůli."
"think","think","Myslím","myslet","impf"," I think Kim now understood that "" all natural "" did n't necessarily mean the product was free of side effects."," Myslím, že Kim po oné příhodě pochopila, že označení ´čistě přírodní výtažek´ nemusí nutně znamenat, že produkt nevyvolává vedlejší účinky."
"mean","mean","Myslím","myslet","impf"," I think Kim now understood that "" all natural "" did n't necessarily mean the product was free of side effects."," Myslím, že Kim po oné příhodě pochopila, že označení ´čistě přírodní výtažek´ nemusí nutně znamenat, že produkt nevyvolává vedlejší účinky."
"understood","understand","pochopila","pochopit","pf"," I think Kim now understood that "" all natural "" did n't necessarily mean the product was free of side effects."," Myslím, že Kim po oné příhodě pochopila, že označení ´čistě přírodní výtažek´ nemusí nutně znamenat, že produkt nevyvolává vedlejší účinky."
"mean","mean","znamenat","znamenat","impf"," I think Kim now understood that "" all natural "" did n't necessarily mean the product was free of side effects."," Myslím, že Kim po oné příhodě pochopila, že označení ´čistě přírodní výtažek´ nemusí nutně znamenat, že produkt nevyvolává vedlejší účinky."
"think","think","myslím","myslet","impf"," About that time, it became pretty clear to me, and I think to her as well, that we were way too close to each other."," V tu chvíli mi došlo - a myslím, že stejně tak i jí - že si stojíme v cestě."
"filming","film","natáčela","natáčet","impf"," That story, which ran in March 1996, turned out to be an unexpected catalyst for something much bigger : That same month, as soon as she came back from filming a documentary based on her book Spell of the Tiger in West Bengal for a National Geographic Explorer TV special, she called me to say that she had told the National Geographic people about me and my bears."," Ono povídání vyšlo v březnu r. 1996, a ukázalo se být nečekaným katalyzátorem něčeho mnohem většího : ještě téhož měsíce, jakmile se vrátila ze západního bengálska, kde natáčela dokument Spell of the Tiger pro TV seriál National Geographic Explorer, mi zatelefonovala a řekla, že o mně a mých medvědech pověděla lidem z National Geographic."
"called","call","zatelefonovala","zatelefonovat","pf"," That story, which ran in March 1996, turned out to be an unexpected catalyst for something much bigger : That same month, as soon as she came back from filming a documentary based on her book Spell of the Tiger in West Bengal for a National Geographic Explorer TV special, she called me to say that she had told the National Geographic people about me and my bears."," Ono povídání vyšlo v březnu r. 1996, a ukázalo se být nečekaným katalyzátorem něčeho mnohem většího : ještě téhož měsíce, jakmile se vrátila ze západního bengálska, kde natáčela dokument Spell of the Tiger pro TV seriál National Geographic Explorer, mi zatelefonovala a řekla, že o mně a mých medvědech pověděla lidem z National Geographic."
"say","say","řekla","říci","pf"," That story, which ran in March 1996, turned out to be an unexpected catalyst for something much bigger : That same month, as soon as she came back from filming a documentary based on her book Spell of the Tiger in West Bengal for a National Geographic Explorer TV special, she called me to say that she had told the National Geographic people about me and my bears."," Ono povídání vyšlo v březnu r. 1996, a ukázalo se být nečekaným katalyzátorem něčeho mnohem většího : ještě téhož měsíce, jakmile se vrátila ze západního bengálska, kde natáčela dokument Spell of the Tiger pro TV seriál National Geographic Explorer, mi zatelefonovala a řekla, že o mně a mých medvědech pověděla lidem z National Geographic."
"told","tell","řekla","říci","pf"," That story, which ran in March 1996, turned out to be an unexpected catalyst for something much bigger : That same month, as soon as she came back from filming a documentary based on her book Spell of the Tiger in West Bengal for a National Geographic Explorer TV special, she called me to say that she had told the National Geographic people about me and my bears."," Ono povídání vyšlo v březnu r. 1996, a ukázalo se být nečekaným katalyzátorem něčeho mnohem většího : ještě téhož měsíce, jakmile se vrátila ze západního bengálska, kde natáčela dokument Spell of the Tiger pro TV seriál National Geographic Explorer, mi zatelefonovala a řekla, že o mně a mých medvědech pověděla lidem z National Geographic."
"say","say","pověděla","povědět","pf"," That story, which ran in March 1996, turned out to be an unexpected catalyst for something much bigger : That same month, as soon as she came back from filming a documentary based on her book Spell of the Tiger in West Bengal for a National Geographic Explorer TV special, she called me to say that she had told the National Geographic people about me and my bears."," Ono povídání vyšlo v březnu r. 1996, a ukázalo se být nečekaným katalyzátorem něčeho mnohem většího : ještě téhož měsíce, jakmile se vrátila ze západního bengálska, kde natáčela dokument Spell of the Tiger pro TV seriál National Geographic Explorer, mi zatelefonovala a řekla, že o mně a mých medvědech pověděla lidem z National Geographic."
"told","tell","pověděla","povědět","pf"," That story, which ran in March 1996, turned out to be an unexpected catalyst for something much bigger : That same month, as soon as she came back from filming a documentary based on her book Spell of the Tiger in West Bengal for a National Geographic Explorer TV special, she called me to say that she had told the National Geographic people about me and my bears."," Ono povídání vyšlo v březnu r. 1996, a ukázalo se být nečekaným katalyzátorem něčeho mnohem většího : ještě téhož měsíce, jakmile se vrátila ze západního bengálska, kde natáčela dokument Spell of the Tiger pro TV seriál National Geographic Explorer, mi zatelefonovala a řekla, že o mně a mých medvědech pověděla lidem z National Geographic."
"described","describe","popisovány","popisovat","impf"," But, as far as other species are concerned, convincing examples have been rather rarely described. """," Pokud ale jde o ostatní druhy, pak přesvědčivé příklady jsou popisovány jen velice zřídka. """
"tried","try","vyzkoušela","vyzkoušet","pf"," Squirty, as an adult, first used it on me as a "" that 's enough "" signal when I tried to pull burdocks out of her fur, but by then I knew what it meant."," Drobná, už jako dospělá medvědice, na mne poprvé vyzkoušela tenhle signál ´to stačí´ když jsem se snažil vybrat jí z kožichu lopuchy, a od té doby vím, co to znamená."
"tried","try","snažil","snažit","impf"," Squirty, as an adult, first used it on me as a "" that 's enough "" signal when I tried to pull burdocks out of her fur, but by then I knew what it meant."," Drobná, už jako dospělá medvědice, na mne poprvé vyzkoušela tenhle signál ´to stačí´ když jsem se snažil vybrat jí z kožichu lopuchy, a od té doby vím, co to znamená."
"meant","mean","znamená","znamenat","impf"," Squirty, as an adult, first used it on me as a "" that 's enough "" signal when I tried to pull burdocks out of her fur, but by then I knew what it meant."," Drobná, už jako dospělá medvědice, na mne poprvé vyzkoušela tenhle signál ´to stačí´ když jsem se snažil vybrat jí z kožichu lopuchy, a od té doby vím, co to znamená."
"used","use","použil","použít","pf"," So I used it right back at her ( "" That 's really enough! "" ) when she upped the ante to a discipline-bite when I kept pulling the burdocks anyway."," A tak jsem stejný signál použil i vůči ní ( ´tak to už by vážně stačilo´ ), a to tehdy, když zvolila poněkud tvrdší výchovný prostředek a kousla mne poté, co jsem neuposlechl předchozího varování a dál jí vybíral z kožichu lopuchy."
"entering","enter","vstupovat","vstupovat","impf"," But just entering into play is high-risk among animals fully equipped with the means to kill."," Avšak jen tak vstupovat do hry se zvířaty, která dokáží zabít, je vysoce riskantní čin."
"kill","kill","zabít","zabít","pf"," But just entering into play is high-risk among animals fully equipped with the means to kill."," Avšak jen tak vstupovat do hry se zvířaty, která dokáží zabít, je vysoce riskantní čin."
"played","play","hráli","hrát","impf"," For the next couple of days, the new cubs and I played a bit of unintentional hide-and-seek with Squirty and her two cubs."," Během příštích několika dnů jsme s novými medvídky hráli tak trochu neúmyslně na schovávanou s Drobnou a jejími medvíďaty."
"meant","mean","znamenalo","znamenat","impf"," I also noticed LG 's ear was all wet, which meant she was allowing LB to suckle on it again now that they were in the new den box."," Navíc jsem si všiml, že MD má jedno ucho vlhké, což znamenalo, že teď, když byli v novém brlohu, dovolila zas MD bráškovi, aby se přisál."
"allowing","allow","dovolila","dovolit","pf"," I also noticed LG 's ear was all wet, which meant she was allowing LB to suckle on it again now that they were in the new den box."," Navíc jsem si všiml, že MD má jedno ucho vlhké, což znamenalo, že teď, když byli v novém brlohu, dovolila zas MD bráškovi, aby se přisál."
"arrived","arrive","přišel","přijít","pf"," I arrived at the cage the next morning to find LG nice and warm and LB shivering, leading me to suspect that LG had rebuffed his attempts to suckle and had driven him from the den."," Když jsem ráno přišel ke kleci, zjistil jsem, že MD vypadá spokojeně a je jí teplo, kdežto MH se třese jako osika, což mne přivedlo k podezření, že MD odmítla brášku když se chtěl přisát a vyhnala ho z brlohu."
"find","find","zjistil","zjistit","pf"," I arrived at the cage the next morning to find LG nice and warm and LB shivering, leading me to suspect that LG had rebuffed his attempts to suckle and had driven him from the den."," Když jsem ráno přišel ke kleci, zjistil jsem, že MD vypadá spokojeně a je jí teplo, kdežto MH se třese jako osika, což mne přivedlo k podezření, že MD odmítla brášku když se chtěl přisát a vyhnala ho z brlohu."
"shivering","shiver","třese","třást","impf"," I arrived at the cage the next morning to find LG nice and warm and LB shivering, leading me to suspect that LG had rebuffed his attempts to suckle and had driven him from the den."," Když jsem ráno přišel ke kleci, zjistil jsem, že MD vypadá spokojeně a je jí teplo, kdežto MH se třese jako osika, což mne přivedlo k podezření, že MD odmítla brášku když se chtěl přisát a vyhnala ho z brlohu."
"leading","lead","přivedlo","přivést","pf"," I arrived at the cage the next morning to find LG nice and warm and LB shivering, leading me to suspect that LG had rebuffed his attempts to suckle and had driven him from the den."," Když jsem ráno přišel ke kleci, zjistil jsem, že MD vypadá spokojeně a je jí teplo, kdežto MH se třese jako osika, což mne přivedlo k podezření, že MD odmítla brášku když se chtěl přisát a vyhnala ho z brlohu."
"rebuffed","rebuff","odmítla","odmítnout","pf"," I arrived at the cage the next morning to find LG nice and warm and LB shivering, leading me to suspect that LG had rebuffed his attempts to suckle and had driven him from the den."," Když jsem ráno přišel ke kleci, zjistil jsem, že MD vypadá spokojeně a je jí teplo, kdežto MH se třese jako osika, což mne přivedlo k podezření, že MD odmítla brášku když se chtěl přisát a vyhnala ho z brlohu."
"crossed","cross","přešli","přejít","pf"," If we made an earlier start and crossed the road before the bear hunters and their dogs came down it, the latter might catch our scent, follow our trail, and even chase us."," Kdybychom přešli silnici dřív, než jí projdou lovci medvědů se psy, pak by právě psi mohli zavětřit náš pach, pustit se po stopě a možná nás nakonec i dohonit."
"came","come","přešli","přejít","pf"," If we made an earlier start and crossed the road before the bear hunters and their dogs came down it, the latter might catch our scent, follow our trail, and even chase us."," Kdybychom přešli silnici dřív, než jí projdou lovci medvědů se psy, pak by právě psi mohli zavětřit náš pach, pustit se po stopě a možná nás nakonec i dohonit."
"crossed","cross","projdou","projít","pf"," If we made an earlier start and crossed the road before the bear hunters and their dogs came down it, the latter might catch our scent, follow our trail, and even chase us."," Kdybychom přešli silnici dřív, než jí projdou lovci medvědů se psy, pak by právě psi mohli zavětřit náš pach, pustit se po stopě a možná nás nakonec i dohonit."
"catch","catch","dohonit","dohonit","pf"," If we made an earlier start and crossed the road before the bear hunters and their dogs came down it, the latter might catch our scent, follow our trail, and even chase us."," Kdybychom přešli silnici dřív, než jí projdou lovci medvědů se psy, pak by právě psi mohli zavětřit náš pach, pustit se po stopě a možná nás nakonec i dohonit."
"move","move","hnout","hnout","pf"," LB and I made the crossing easily, but LG stopped at the base of a tree on the edge of the road and was not about to move."," MH i já jsme přešli snadno, ale MD se zastavila u stromu rostoucího hned u silnice a ne a ne se hnout z místa."
"called","call","zavolat","zavolat","pf"," I called repeatedly and finally persuaded her to cross."," Musel jsem několikrát zavolat, než se mi podařilo ji přesvědčit."
"persuaded","persuade","přesvědčit","přesvědčit","pf"," I called repeatedly and finally persuaded her to cross."," Musel jsem několikrát zavolat, než se mi podařilo ji přesvědčit."
"came","come","přešla","přejít","pf"," She made it across the road, only to stop at the base of the first tree she came to."," Namířila si to přes cestu, a jakmile přešla, zas se zastavila u prvního stromu opodál."
"discover","discover","objevili","objevit","pf"," The other thing they did right away was to discover a hole in the fence."," Druhou věcí, kterou okamžitě objevili, byla díra v plotě."
