"descended","descend","sestupoval","sestupovat","impf"," The camerlegno felt like he was floating as he descended into the Niche of the Palliums."," Když sestupoval do Palliového výklenku, měl camerlengo pocit, jako by plaval."
"hit","hit","napadlo","napadnout","pf"," A second later, it had hit him."," A v následující vteřině ho to napadlo."
"turned","turn","Otočil","otočit","pf"," Now Langdon turned to Vittoria."," Otočil se nyní k Vittorii."
"said","say","řekl","říci","pf"," “ 503, ” he said, “ as I mentioned, is a code."," "" Pět set tři, jak už jsem řekl, je kódové označení."
"concealing","conceal","skrývali","skrývat","impf"," It 's an Illuminati trick for concealing what was actually intended as a Roman numeral."," Je to jeden z iluminátských triků, kterým skrývali to, co ve skutečnosti mělo být vyjádřeno římskými číslicemi."
"tell","tell","řekněte","říci","pf"," Please do n't tell me you 're an Illuminata. ”"," Ještě mi nakonec řekněte, že patříte k iluminátům. """
"use","use","Používám","používat","impf"," “ I use Roman numerals to codify pelagic strata. ”"," "" Používám římských číslic k označování podmořských vrstev. """
"thought","think","pomyslel","pomyslet","pf"," OF COURSE, Langdon thought."," Samozřejmě, pomyslel si Langdon."
"sensed","sense","cítil","cítit","impf"," Langdon sensed excitement in her voice."," Langdon cítil v jejím hlase jisté vzrušení."
"read","read","četla","číst","impf"," Squinting at the folio, Vittoria read the line."," Soustřeďujíc se na špatně čitelný text, Vittoria četla :"
"imagined","imagine","představoval","představovat","impf"," The words were nothing like what Langdon had imagined."," Slova neodpovídala ničemu, co by si Langdon u tajného znamení představoval."
"look","look","Podívat","podívat","pf"," Langdon could not afford to look behind him."," Podívat se za sebe si nemohl dovolit."
"afford","afford","dovolit","dovolit","pf"," Langdon could not afford to look behind him."," Podívat se za sebe si nemohl dovolit."
"help","help","pomozte","pomoci","pf"," Get your head together and help me find the next marker. ”"," Vemte rozum do hrsti a pomozte mi najít další vodítko. """
"find","find","najít","najít","pf"," Get your head together and help me find the next marker. ”"," Vemte rozum do hrsti a pomozte mi najít další vodítko. """
"told","tell","říkal","říkat","impf"," “ I told you, Vittoria, the sculptures are gone."," "" Už jsem vám, Vittorie, přece říkal, že ty sochy jsou pryč."
"smiled","smile","usmála","usmát","pf"," Vittoria smiled softly."," Vittoria se chápavě usmála."
"started","start","začaly","začít","pf"," Images of Vittoria and the Hassassin started to swirl hauntingly as Langdon clambered his way around the fountain, the frustration mounting as he frantically completed yet another fruitless circle."," V hlavě se mu stejně začaly divoce rojit obrazy Vittorie a Hassassina, a po dalším posedlém, leč bezvýsledném trmácení kolem fontány v něm pocit marnosti dosáhl vrcholu."
"felt","feel","cítil","cítit","impf"," Beaten and exhausted, Langdon felt ready to collapse."," Vyčerpaný a zdeptaný cítil, že je na pokraji zhroucení."
"meant","mean","znamená","znamenat","impf"," “ CON CLAVE ” literally meant “ locked with a key. ”"," "" Conclave "" znamená doslova "" zamknut na klíč ""."
"locked","lock","zamknut","zamknout","pf"," “ CON CLAVE ” literally meant “ locked with a key. ”"," "" Conclave "" znamená doslova "" zamknut na klíč ""."
"permitted","permit","povolen","povolit","pf"," The cardinals were permitted no contact whatsoever with the outside world."," Kardinálům nebyl povolen žádný styk s vnějším světem."
"influenced","influence","ovlivněno","ovlivnit","pf"," Conclave was a vacuum, not to be influenced by anything in the outside world."," Konkláve bylo jakýmsi vakuem, které nesmělo být ovlivněno ničím z vnějšího světa."
"kept","keep","mělo","mít","impf"," This would ensure that the cardinals kept SOLUM DUM PRAE OCULIS ... only God before their eyes."," Tím mělo být zajištěno, že kardinálové dodrží Solum Dumprae oculis ... že budou mít před očima pouze Boha."
"ensure","ensure","zajištěno","zajistit","pf"," This would ensure that the cardinals kept SOLUM DUM PRAE OCULIS ... only God before their eyes."," Tím mělo být zajištěno, že kardinálové dodrží Solum Dumprae oculis ... že budou mít před očima pouze Boha."
"kept","keep","dodrží","dodržet","pf"," This would ensure that the cardinals kept SOLUM DUM PRAE OCULIS ... only God before their eyes."," Tím mělo být zajištěno, že kardinálové dodrží Solum Dumprae oculis ... že budou mít před očima pouze Boha."
"kept","keep","mít","mít","impf"," This would ensure that the cardinals kept SOLUM DUM PRAE OCULIS ... only God before their eyes."," Tím mělo být zajištěno, že kardinálové dodrží Solum Dumprae oculis ... že budou mít před očima pouze Boha."
"moved","move","pohnul","pohnout","pf"," It moved an inch and then crinkled loudly."," Nepatrně se pohnul a potom hlasitě zašustil."
"leaned","lean","naklonila","naklonit","pf"," After a moment, moving in slow motion, Vittoria leaned forward and peered through the narrow slit."," Po chvíli se Vittoria naklonila dopředu, pomalu se přiblížila k úzké škvíře a podívala se dovnitř."
"breathed","breathe","dýchat","dýchat","impf"," For a moment, neither one of them breathed."," Na okamžik oba dva přestali dýchat."
"lowering","lower","spustila","spustit","pf"," “ Empty, ” Vittoria finally said, lowering the gun."," "" Nic, "" konstatovala nakonec Vittoria a spustila ruku s pistolí dolů."
"Diving","dive","Ponořil","ponořit","pf"," Diving deep, he groped along the slimy bottom."," Ponořil se do hloubky a tápal po blátivém dně."
"come","come","přijde","přijít","pf"," He did not know from where the next assault would come."," Neustále se pohyboval ve střehu, odkud přijde další útok."
"needed","need","Potřeboval","potřebovat","impf"," He needed to find the gun!"," Potřeboval najít tu pistoli!"
"find","find","najít","najít","pf"," He needed to find the gun!"," Potřeboval najít tu pistoli!"
"described","describe","popisují","popisovat","impf"," Ancient documents described the symbol as an AMBIGRAM - AMBI meaning "" both "" - signifying it was legible BOTH ways."," Staré dokumenty popisují jejich symbol jako ambigram - ambi je latinsky "" oba ' - což znamená, že ho lze číst oběma směry."
"signifying","signify","znamená","znamenat","impf"," Ancient documents described the symbol as an AMBIGRAM - AMBI meaning "" both "" - signifying it was legible BOTH ways."," Staré dokumenty popisují jejich symbol jako ambigram - ambi je latinsky "" oba ' - což znamená, že ho lze číst oběma směry."
"seemed","seem","zdála","zdát","impf"," And although ambigrams were common in symbology - swastikas, yin yang, Jewish stars, simple crosses - the idea that a WORD could be crafted into an ambigram seemed utterly impossible."," I když se ambigramy v symbolologii vyskytují běžně - svastika, jin a jang, židovská hvězda, jednoduchý kříž - představa, že i slovo může být sestaveno do ambigramu, se zdála být naprosto nemožná."
"tried","try","snažili","snažit","impf"," Modern symbologists had tried for years to forge the word "" Illuminati "" into a perfectly symmetrical style, but they had failed miserably."," Moderní symbolologové se po léta snažili vtěsnat slovo Illuminati do dokonale symetrického tvaru, ale vždycky pohořeli."
"find","find","zjistí","zjistit","pf"," “ The Illuminati are about to find out, ” the camerlegno declared, “ that they have grossly overplayed their hand. ”"," "" Ilumináti záhy zjistí, "" prohlásil potom camerlengo, "" že to tentokrát značně přehnali. """
"declared","declare","prohlásil","prohlásit","pf"," “ The Illuminati are about to find out, ” the camerlegno declared, “ that they have grossly overplayed their hand. ”"," "" Ilumináti záhy zjistí, "" prohlásil potom camerlengo, "" že to tentokrát značně přehnali. """
"lay","lie","Ležel","ležet","impf"," Langdon lay trapped beneath the overturned sarcophagus and felt his mind careening dangerously close to the brink."," Ležel uvězněný pod převráceným sarkofágem a cítil, že má už nebezpečně blízko duševnímu zhroucení."
"felt","feel","cítil","cítit","impf"," Langdon lay trapped beneath the overturned sarcophagus and felt his mind careening dangerously close to the brink."," Ležel uvězněný pod převráceným sarkofágem a cítil, že má už nebezpečně blízko duševnímu zhroucení."
"Trying","try","Snažil","snažit","impf"," Trying to drive his thoughts in any direction other than the crushing space around him, Langdon urged his mind toward some logical process ... mathematics, music, anything."," Snažil se obrátit pozornost k něčemu jinému než ke stísněnému prostoru, v němž se nacházel, a zaměstnat mysl nějakým logickým procesem - matematikou, hudbou, čímkoli podobným."
"felt","feel","necítila","cítit","impf"," Never before had she felt so proud to be a Catholic and so ashamed to work at CERN."," Nikdy dřív se necítila tak hrdá na to, že je katolička, a nikdy předtím se tak nestyděla za to, že pracuje v CERNu."
"work","work","pracuje","pracovat","impf"," Never before had she felt so proud to be a Catholic and so ashamed to work at CERN."," Nikdy dřív se necítila tak hrdá na to, že je katolička, a nikdy předtím se tak nestyděla za to, že pracuje v CERNu."
"left","leave","opouštěla","opouštět","impf"," As she left the recreational wing, the mood in every single viewing room was dazed and somber."," Když opouštěla odpočinkovou zónu, ve všech saloncích s televizory panovala zaražená, stísněná nálada."
"asked","ask","požádala","požádat","pf"," “ His Holiness asked me to give this to you, ” Chartrand said, handing over an envelope sealed with the Vatican signet."," "" Jeho Svatost mě požádala, abych vám předal tohle, "" pokračoval Chartrand podávaje Langdonovi obálku opatřenou vatikánskou pečetí."
"give","give","předal","předat","pf"," “ His Holiness asked me to give this to you, ” Chartrand said, handing over an envelope sealed with the Vatican signet."," "" Jeho Svatost mě požádala, abych vám předal tohle, "" pokračoval Chartrand podávaje Langdonovi obálku opatřenou vatikánskou pečetí."
"handing","hand","předal","předat","pf"," “ His Holiness asked me to give this to you, ” Chartrand said, handing over an envelope sealed with the Vatican signet."," "" Jeho Svatost mě požádala, abych vám předal tohle, "" pokračoval Chartrand podávaje Langdonovi obálku opatřenou vatikánskou pečetí."
"handing","hand","podávaje","podávat","impf"," “ His Holiness asked me to give this to you, ” Chartrand said, handing over an envelope sealed with the Vatican signet."," "" Jeho Svatost mě požádala, abych vám předal tohle, "" pokračoval Chartrand podávaje Langdonovi obálku opatřenou vatikánskou pečetí."
"opened","open","otevřel","otevřít","pf"," Langdon opened the envelope and read the handwritten note."," Langdon dopis otevřel a četl rukou psané sdělení :"
"read","read","četl","číst","impf"," Langdon opened the envelope and read the handwritten note."," Langdon dopis otevřel a četl rukou psané sdělení :"
"request","request","požádat","požádat","pf"," Although it is my profound desire to request your discretion in the matters of the past 24 hours, I cannot possibly presume to ask more of you than you have already given."," jakkoli by bylo mým nejvroucnějším přáním požádat vás o mlčenlivost, pokud jde o události posledních dvaceti čtyř hodin, nemohu si zřejmě dovolit žádat od vás víc, než co už jste nám poskytli."
"ask","ask","požádat","požádat","pf"," Although it is my profound desire to request your discretion in the matters of the past 24 hours, I cannot possibly presume to ask more of you than you have already given."," jakkoli by bylo mým nejvroucnějším přáním požádat vás o mlčenlivost, pokud jde o události posledních dvaceti čtyř hodin, nemohu si zřejmě dovolit žádat od vás víc, než co už jste nám poskytli."
"request","request","žádat","žádat","impf"," Although it is my profound desire to request your discretion in the matters of the past 24 hours, I cannot possibly presume to ask more of you than you have already given."," jakkoli by bylo mým nejvroucnějším přáním požádat vás o mlčenlivost, pokud jde o události posledních dvaceti čtyř hodin, nemohu si zřejmě dovolit žádat od vás víc, než co už jste nám poskytli."
"ask","ask","žádat","žádat","impf"," Although it is my profound desire to request your discretion in the matters of the past 24 hours, I cannot possibly presume to ask more of you than you have already given."," jakkoli by bylo mým nejvroucnějším přáním požádat vás o mlčenlivost, pokud jde o události posledních dvaceti čtyř hodin, nemohu si zřejmě dovolit žádat od vás víc, než co už jste nám poskytli."
"given","give","poskytli","poskytnout","pf"," Although it is my profound desire to request your discretion in the matters of the past 24 hours, I cannot possibly presume to ask more of you than you have already given."," jakkoli by bylo mým nejvroucnějším přáním požádat vás o mlčenlivost, pokud jde o události posledních dvaceti čtyř hodin, nemohu si zřejmě dovolit žádat od vás víc, než co už jste nám poskytli."
"let","let","necháte","nechat","pf"," I therefore humbly retreat hoping only that you let your hearts guide you in this matter."," V pokoře se proto omezím na vyjádření naděje, že se v této záležitosti necháte vést hlasem svých srdcí."
"guide","guide","vést","vést","impf"," I therefore humbly retreat hoping only that you let your hearts guide you in this matter."," V pokoře se proto omezím na vyjádření naděje, že se v této záležitosti necháte vést hlasem svých srdcí."
"mean","mean","Myslel","myslet","impf"," “ I mean the POLICE, ” Langdon clarified."," "" Myslel jsem policii "" objasnil Langdon."
"clarified","clarify","objasnil","objasnit","pf"," “ I mean the POLICE, ” Langdon clarified."," "" Myslel jsem policii "" objasnil Langdon."
"left","leave","odešla","odejít","pf"," “ Have they left already? ”"," "" Už odešla? """
"sent","send","Poslali","poslat","pf"," You sent me a fax of a homicide."," Poslali jste mi přece faxem zprávu o vraždě."
"scanned","scan","prohlédl","prohlédnout","pf"," He scanned the titles on the bookshelf :"," Pak si prohlédl tituly knih na poličce."
"turned","turn","otočil","otočit","pf"," Langdon turned."," Langdon se otočil."
"thought","think","Myslím","myslet","impf"," I thought you said he was a physicist. ”"," Myslím, že jste říkal, že byl fyzik. """
"said","say","říkal","říkat","impf"," I thought you said he was a physicist. ”"," Myslím, že jste říkal, že byl fyzik. """
"mean","mean","myslíte","myslet","impf"," “ What do you mean?"," "" Co tím myslíte?"
"leaned","lean","naklonil","naklonit","pf"," Langdon leaned toward his host, uncertain how to make him understand what he was about to say."," Langdon se naklonil ke svému hostiteli a nevěděl dost dobře, jak zařídit, aby pochopil, co se mu chystá říci."
"make","make","pochopil","pochopit","pf"," Langdon leaned toward his host, uncertain how to make him understand what he was about to say."," Langdon se naklonil ke svému hostiteli a nevěděl dost dobře, jak zařídit, aby pochopil, co se mu chystá říci."
"understand","understand","pochopil","pochopit","pf"," Langdon leaned toward his host, uncertain how to make him understand what he was about to say."," Langdon se naklonil ke svému hostiteli a nevěděl dost dobře, jak zařídit, aby pochopil, co se mu chystá říci."
"say","say","říci","říci","pf"," Langdon leaned toward his host, uncertain how to make him understand what he was about to say."," Langdon se naklonil ke svému hostiteli a nevěděl dost dobře, jak zařídit, aby pochopil, co se mu chystá říci."
"finish","finish","nedokončil","dokončit","pf"," “ I did not finish my story."," "" Svůj příběh jsem ještě nedokončil."
"agree","agree","shoduje","shodovat","impf"," There has been no evidence of their existence for over half a century, and most scholars agree the Illuminati have been defunct for many years. ”"," Přes půl století už postrádáme jakýkoli doklad o jejich aktivitě a většina učenců se shoduje na tom, že dávno přestali existovat. """
"forgotten","forget","Zapomněl","zapomenout","pf"," He 'd forgotten the Vatican owned one of these things, used for transporting the Pope to the airport, to meetings, or to his summer palace in Gandolfo."," Zapomněl, že Vatikán jedním takovým disponuje a používá jej pro převoz papeže na letiště, k různým shromážděním anebo do letního paláce Castel Gandolfo."
"used","use","používá","používat","impf"," He 'd forgotten the Vatican owned one of these things, used for transporting the Pope to the airport, to meetings, or to his summer palace in Gandolfo."," Zapomněl, že Vatikán jedním takovým disponuje a používá jej pro převoz papeže na letiště, k různým shromážděním anebo do letního paláce Castel Gandolfo."
"jumped","jump","vyskočil","vyskočit","pf"," The pilot jumped from the cockpit and strode toward them across the tarmac."," Pilot vyskočil z vrtulníku a kráčel po betonu k nim."
"strode","stride","kráčel","kráčet","impf"," The pilot jumped from the cockpit and strode toward them across the tarmac."," Pilot vyskočil z vrtulníku a kráčel po betonu k nim."
"shared","share","sdílel","sdílet","impf"," Langdon shared her concern."," Langdon sdílel její obavy."
"calling","call","svolá","svolat","pf"," She had imagined her father calling CERN 's top scientists to his lab, showing them his discovery, watching their awestruck faces."," Malovala si, že otec svolá do své laboratoře přední vědce CERNu, seznámí je se svým objevem a bude se dívat, jak jim obličeje trnou hrůzou."
"watching","watch","dívat","dívat","impf"," She had imagined her father calling CERN 's top scientists to his lab, showing them his discovery, watching their awestruck faces."," Malovala si, že otec svolá do své laboratoře přední vědce CERNu, seznámí je se svým objevem a bude se dívat, jak jim obličeje trnou hrůzou."
"explained","explain","vysvětlovat","vysvětlovat","impf"," Then he would beam with fatherly pride as he explained to them how it had been one of VITTORIA'S ideas that had helped him make the project a reality ... that his DAUGHTER had been integral in his breakthrough."," A potom plný otcovské pýchy bude vysvětlovat, že to byl jeden z Vittoriiných nápadů, který mu pomohl projekt realizovat, a že jeho dcera se bezprostředně podílela na jeho základní myšlence."
"helped","help","pomohl","pomoci","pf"," Then he would beam with fatherly pride as he explained to them how it had been one of VITTORIA'S ideas that had helped him make the project a reality ... that his DAUGHTER had been integral in his breakthrough."," A potom plný otcovské pýchy bude vysvětlovat, že to byl jeden z Vittoriiných nápadů, který mu pomohl projekt realizovat, a že jeho dcera se bezprostředně podílela na jeho základní myšlence."
"get","get","Dostaneš","dostat","pf"," “ Can you get the smoke? ”"," "" Dostaneš do záběru ten kouř? """
"nodded","nod","přikývla","přikývnout","pf"," Macri patiently nodded."," Macriová trpělivě přikývla."
"think","think","nemyslet","myslet","impf"," HIS performance, on the other hand ... he did n't want to think about it."," Zato jeho výkon - radši nemyslet."
"missed","miss","minula","minout","pf"," There was a hiss of wind, like the backlash of a whip, as the bullet just missed him and exploded in the marble with a puff of dust."," Bylo to něco jako zafičení větru nebo švihnutí bičem, když jej kulka těsně minula a zabořila se do mramoru, z něhož vylétla sprška prachu."
"pulled","pull","vytáhl","vytáhnout","pf"," Scrambling across the marble floor, he pulled himself out from beneath the casket and to the other side."," Langdon se vytáhl zpátky z otvoru a plížil se pod rakví dál, až narazil na zadní stěnu výklenku."
"got","get","Dostal","dostat","pf"," It got its name from the original religion practiced there - Pantheism - the worship of all gods, specifically the pagan gods of Mother Earth. ”"," Dostal totiž své jméno po náboženství, jemuž původně sloužil - po panteismu, neboli uctívání všech bohů, a to zejména pohanských bohů Matky Země. """
"amazed","amaze","překvapen","překvapit","pf"," As a student of architecture, Langdon had been amazed to learn that the dimensions of the Pantheon 's main chamber were a tribute to Gaea - the goddess of the Earth."," Ještě jako student architektury byl Langdon překvapen zjištěním, že proporce hlavní síně Panteonu byly zamýšleny jako hold bohyni zvané Gea, čili Země."
"says","say","říct","říci","pf"," “ It 's hard to imagine this information is accurate but it says here that pound for pound antimatter carries about a hundred times more payload than a nuclear warhead. ”"," "" Stěží lze říct, do jaké míry je ta informace přesná, ale uvádí se tam, že přibližně půl kilogramu antihmoty má stokrát ničivější sílu než jaderná hlavice. """
"carries","carry","má","mít","impf"," “ It 's hard to imagine this information is accurate but it says here that pound for pound antimatter carries about a hundred times more payload than a nuclear warhead. ”"," "" Stěží lze říct, do jaké míry je ta informace přesná, ale uvádí se tam, že přibližně půl kilogramu antihmoty má stokrát ničivější sílu než jaderná hlavice. """
"caught","catch","přistižen","přistihnout","pf"," This way any scientists caught with a copy could simply drop it in water and the booklet would dissolve."," Díky tomuto opatření mohl každý vědec, kterému hrozilo, že bude přistižen při čtení, knížku jednoduše hodit do vody, kde se rozpustila."
"dissolve","dissolve","rozpustila","rozpustit","pf"," This way any scientists caught with a copy could simply drop it in water and the booklet would dissolve."," Díky tomuto opatření mohl každý vědec, kterému hrozilo, že bude přistižen při čtení, knížku jednoduše hodit do vody, kde se rozpustila."
"observed","observe","pozorovali","pozorovat","impf"," Langdon and Vittoria observed Piazza Barberini from the shadows of a small alleyway on the western corner."," Langdon s Vittorií pozorovali Piazza Barberini ze stínů úzké uličky na jejím západním konci."
"brought","bring","přinášela","přinášet","impf"," The night had brought with it a welcome cool, and Langdon was surprised to find the square deserted."," Noc s sebou přinášela příjemné ochlazení, a Langdon se proto divil, že je prostranství tak opuštěné."
"reminded","remind","připomněly","připomenout","pf"," Above them, through open windows, blaring televisions reminded Langdon where everyone had disappeared to."," Obrazovky televizorů zářící z otevřených oken mu však připomněly, proč se lidé z náměstí vytratili."
"smile","smile","usmát","usmát","pf"," Langdon had to smile."," Musel se usmát."
"chosen","choose","vybrala","vybrat","pf"," Vittoria had chosen well."," Vittoria vybrala dobře."
"knocking","knock","klepe","klepat","impf"," Someone was knocking at the door."," Aha, někdo klepe na dveře."
"touch","touch","sáhnout","sáhnout","pf"," We are afraid to touch him! ”"," Netroufali jsme si na něho sáhnout! """
"await","await","čekají","čekat","impf"," “ Tell him ... his cardinals await. ”"," "" Řekněte mu, že na něho kardinálové čekají. """
"considered","consider","přemýšlel","přemýšlet","impf"," Mortati considered it."," Mortati o tom přemýšlel."
"serve","serve","poslužte","posloužit","pf"," “ He is a man, so serve him as a man."," "" Je to člověk, tak mu jako člověku poslužte."
"grabbed","grab","chytla","chytnout","pf"," Vittoria grabbed the docent 's arm."," Vittoria chytla průvodce za paži a vybafla na něho :"
"Thank","thank","Děkujem","děkovat","impf"," “ Thank you."," "" Děkujem."
"wondered","wonder","divil","divit","impf"," Langdon wondered if the Illuminati would have chosen page five on which to hide their clue."," Langdon se divil, proč by ilumináti k umístění skrytého pokynu zvolili zrovna stranu pět."
"chosen","choose","zvolili","zvolit","pf"," Langdon wondered if the Illuminati would have chosen page five on which to hide their clue."," Langdon se divil, proč by ilumináti k umístění skrytého pokynu zvolili zrovna stranu pět."
"supposed","suppose","Předpokládá","předpokládat","impf"," “ It 's supposed to be math."," "" Předpokládá se, že to, co hledáme, má matematickou podobu."
"hesitated","hesitate","zaváhala","zaváhat","pf"," She hesitated."," Přesto zaváhala."
"imagined","imagine","představoval","představovat","impf"," The camerlegno was nothing like the images of frail, beatific old men Langdon usually imagined roaming the Vatican."," Komoří zdaleka nepřipomínal křehké blažené staré muže, kteří, jak si Langdon představoval, bloudí Vatikánem."
"roaming","roam","bloudí","bloudit","impf"," The camerlegno was nothing like the images of frail, beatific old men Langdon usually imagined roaming the Vatican."," Komoří zdaleka nepřipomínal křehké blažené staré muže, kteří, jak si Langdon představoval, bloudí Vatikánem."
"wore","wear","Neměl","mít","impf"," He wore no rosary beads or pendants."," Neměl žádný růženec ani jiné přívěsky."
"dressed","dress","oblečen","obléci","pf"," He was dressed instead in a simple black cassock that seemed to amplify the solidity of his substantial frame."," Byl oblečen do jednoduché černé sutany, která podtrhávala pevnost jeho statné postavy."
"murdered","murder","zabili","zabít","pf"," “ After the brandings, the scientists were murdered, and their bodies were dropped in public locations around Rome as a warning to other scientists not to join the Illuminati. ”"," "" Po vypálení těch znamení vědce zabili a jejich těla rozvezli na různá veřejná místa v Římě, aby se stala pro další muže vědy varováním, aby dostali strach připojit se k iluminátům. """
"dropped","drop","zabili","zabít","pf"," “ After the brandings, the scientists were murdered, and their bodies were dropped in public locations around Rome as a warning to other scientists not to join the Illuminati. ”"," "" Po vypálení těch znamení vědce zabili a jejich těla rozvezli na různá veřejná místa v Římě, aby se stala pro další muže vědy varováním, aby dostali strach připojit se k iluminátům. """
"join","join","připojit","připojit","pf"," “ After the brandings, the scientists were murdered, and their bodies were dropped in public locations around Rome as a warning to other scientists not to join the Illuminati. ”"," "" Po vypálení těch znamení vědce zabili a jejich těla rozvezli na různá veřejná místa v Římě, aby se stala pro další muže vědy varováním, aby dostali strach připojit se k iluminátům. """
"do","do","uděláme","udělat","pf"," So we shall do the same."," Takže my uděláme totéž."
"Consider","consider","Považujte","považovat","impf"," Consider it symbolic retribution for our slain brothers."," Považujte to za symbolickou odplatu za naše zavražděné bratry."
"die","die","zemřou","zemřít","pf"," Your four cardinals will die, one every hour starting at eight."," Vaši čtyři kardinálové zemřou, každou hodinu jeden počínaje osmou."
"intend","intend","zamýšlíte","zamýšlet","impf"," “ You actually intend to BRAND and kill these four men? ”"," "" Skutečně zamýšlíte ty čtyři muže ocejchovat a zavraždit? """
"kill","kill","zavraždit","zavraždit","pf"," “ You actually intend to BRAND and kill these four men? ”"," "" Skutečně zamýšlíte ty čtyři muže ocejchovat a zavraždit? """
"Removing","remove","Sňal","sejmout","pf"," Removing a torch from the wall as he had done three times already, he began heating the end."," Sňal pochodeň ze zdi, tak jako to předtím udělal už třikrát, a začal rozpalovat železo."
"done","do","udělal","udělat","pf"," Removing a torch from the wall as he had done three times already, he began heating the end."," Sňal pochodeň ze zdi, tak jako to předtím udělal už třikrát, a začal rozpalovat železo."
"began","begin","začal","začít","pf"," Removing a torch from the wall as he had done three times already, he began heating the end."," Sňal pochodeň ze zdi, tak jako to předtím udělal už třikrát, a začal rozpalovat železo."
"walked","walk","šla","jít","impf"," Vittoria walked over."," Vittoria, jak šla kolem něho, se zeptala :"
"seemed","seem","Zdálo","zdát","impf"," His mood seemed to brighten at the sight of food."," Zdálo se, že pri pohledu na jídlo se mu nálada vylepšila."
"thought","think","pomyslila","pomyslit","pf"," If the chamberlain had looked drained before, Vittoria thought, now he looked empty."," Jestli komoří vypadal předtím unaveně, pomyslila si Vittoria, tak teď vyhlížel úplně vyhaslý."
"looked","look","vyhlížel","vyhlížet","impf"," If the chamberlain had looked drained before, Vittoria thought, now he looked empty."," Jestli komoří vypadal předtím unaveně, pomyslila si Vittoria, tak teď vyhlížel úplně vyhaslý."
"looked","look","vyhlížel","vyhlížet","impf"," If the chamberlain had looked drained before, Vittoria thought, now he looked empty."," Jestli komoří vypadal předtím unaveně, pomyslila si Vittoria, tak teď vyhlížel úplně vyhaslý."
"feeling","feel","cítil","cítit","impf"," Mortati knew that all the exits to Vatican City were guarded, and the missing cardinals could not have gone far, but still, with less than an hour before opening prayer, he was feeling disconcerted."," Mortati věděl, že všechny východy do města jsou hlídané a že tedy oni chybějící kardinálové nemohli dojít daleko, ale necelou hodinu před zahajovací modlitbou se přece jen cítil nesvůj."
"answer","answer","neodpověděl","odpovědět","pf"," The man did not answer."," Ani mu neodpověděl."
"flying","fly","létat","létat","impf"," Langdon knew that with Rome 's maniacal drivers, flying was probably safer anyway."," Langdon ovšem dobře věděl, že v Římě s jeho šílenými řidiči je bezpečnější létat než jezdit autem."
"boarded","board","nastoupil","nastoupit","pf"," He took a deep breath and boarded, stooping cautiously as he passed beneath the spinning rotors."," Zhluboka se nadechl a shýbaje se opatrně pod vířícími rotory nastoupil."
"suspected","suspect","obával","obávat","impf"," He suspected footage of the third cardinal 's horrific death would no doubt air soon, if it had n't already."," Langdon se obával, že co nevidět už se světem rozletí zpráva o hrůzné smrti třetího kardinála - pokud se to už nestalo."
"EVACUATE","evacuate","Vykliďte","vyklidit","pf"," EVACUATE THE DAMN VATICAN!"," Vykliďte ten prokletý Vatikán!"
"LOSE","LOSE","Prohráli","prohrát","pf"," WE LOSE!"," Prohráli jsme!"
"realized","realize","uvědomil","uvědomit","pf"," Langdon suddenly realized that all of the catalysts that had been driving him - helping to save Vatican City, rescuing the four cardinals, coming face to face with the brotherhood he had studied for years - all of these things had evaporated from his mind."," Langdon si náhle uvědomil, že veškeré motivy, které jej poháněly k akci - zachránit Vatikán, vysvobodit čtyři kardinály, dostat se do přímého kontaktu s bratrstvem, které už celé roky teoreticky studoval - jako by pro něho ztratily všechen význam."
"driving","drive","poháněly","pohánět","impf"," Langdon suddenly realized that all of the catalysts that had been driving him - helping to save Vatican City, rescuing the four cardinals, coming face to face with the brotherhood he had studied for years - all of these things had evaporated from his mind."," Langdon si náhle uvědomil, že veškeré motivy, které jej poháněly k akci - zachránit Vatikán, vysvobodit čtyři kardinály, dostat se do přímého kontaktu s bratrstvem, které už celé roky teoreticky studoval - jako by pro něho ztratily všechen význam."
"save","save","zachránit","zachránit","pf"," Langdon suddenly realized that all of the catalysts that had been driving him - helping to save Vatican City, rescuing the four cardinals, coming face to face with the brotherhood he had studied for years - all of these things had evaporated from his mind."," Langdon si náhle uvědomil, že veškeré motivy, které jej poháněly k akci - zachránit Vatikán, vysvobodit čtyři kardinály, dostat se do přímého kontaktu s bratrstvem, které už celé roky teoreticky studoval - jako by pro něho ztratily všechen význam."
"rescuing","rescue","zachránit","zachránit","pf"," Langdon suddenly realized that all of the catalysts that had been driving him - helping to save Vatican City, rescuing the four cardinals, coming face to face with the brotherhood he had studied for years - all of these things had evaporated from his mind."," Langdon si náhle uvědomil, že veškeré motivy, které jej poháněly k akci - zachránit Vatikán, vysvobodit čtyři kardinály, dostat se do přímého kontaktu s bratrstvem, které už celé roky teoreticky studoval - jako by pro něho ztratily všechen význam."
"studied","study","studoval","studovat","impf"," Langdon suddenly realized that all of the catalysts that had been driving him - helping to save Vatican City, rescuing the four cardinals, coming face to face with the brotherhood he had studied for years - all of these things had evaporated from his mind."," Langdon si náhle uvědomil, že veškeré motivy, které jej poháněly k akci - zachránit Vatikán, vysvobodit čtyři kardinály, dostat se do přímého kontaktu s bratrstvem, které už celé roky teoreticky studoval - jako by pro něho ztratily všechen význam."
"repeats","repeat","opakuje","opakovat","impf"," “ History repeats itself, does it not?"," "" Historie se opakuje, nebo ne?"
