"talking","talk","mluví","mluvit","impf"," The crowd hadn ’ t the faintest idea what he was talking about, but they loved it nevertheless."," Schůzovníci netušili, o čem mluví, ale stejně se jim to líbilo."
"looked","look","prohlédnout","prohlédnout","pf"," Ford looked round the other side."," Ford si šel prohlédnout loď z druhé strany."
"ends","end","končí","končit","impf"," They do this terrible song you know which ends with a stuntship crashing into the sun."," Jedna jeho šílená písnička končí tím, že reklamní loď to napálí přímo do slunce."
"continued","continue","pokračoval","pokračovat","impf"," “ Trouble with a long journey like this, ” continued the Captain, “ is that you end up just talking to yourself a lot, which gets terribly boring because half the time you know what you ’ re going to say next. ”"," "" Víte, s těmihle dlouhými cestami je ta potíž, "" pokračoval kapitán, "" že nakonec začnete mluvit sám se sebou, a to je hrozná nuda, protože v polovině případů víte předem, co řeknete. """
"going","go","pokračoval","pokračovat","impf"," “ Trouble with a long journey like this, ” continued the Captain, “ is that you end up just talking to yourself a lot, which gets terribly boring because half the time you know what you ’ re going to say next. ”"," "" Víte, s těmihle dlouhými cestami je ta potíž, "" pokračoval kapitán, "" že nakonec začnete mluvit sám se sebou, a to je hrozná nuda, protože v polovině případů víte předem, co řeknete. """
"going","go","začnete","začít","pf"," “ Trouble with a long journey like this, ” continued the Captain, “ is that you end up just talking to yourself a lot, which gets terribly boring because half the time you know what you ’ re going to say next. ”"," "" Víte, s těmihle dlouhými cestami je ta potíž, "" pokračoval kapitán, "" že nakonec začnete mluvit sám se sebou, a to je hrozná nuda, protože v polovině případů víte předem, co řeknete. """
"talking","talk","mluvit","mluvit","impf"," “ Trouble with a long journey like this, ” continued the Captain, “ is that you end up just talking to yourself a lot, which gets terribly boring because half the time you know what you ’ re going to say next. ”"," "" Víte, s těmihle dlouhými cestami je ta potíž, "" pokračoval kapitán, "" že nakonec začnete mluvit sám se sebou, a to je hrozná nuda, protože v polovině případů víte předem, co řeknete. """
"say","say","mluvit","mluvit","impf"," “ Trouble with a long journey like this, ” continued the Captain, “ is that you end up just talking to yourself a lot, which gets terribly boring because half the time you know what you ’ re going to say next. ”"," "" Víte, s těmihle dlouhými cestami je ta potíž, "" pokračoval kapitán, "" že nakonec začnete mluvit sám se sebou, a to je hrozná nuda, protože v polovině případů víte předem, co řeknete. """
"say","say","řeknete","říci","pf"," “ Trouble with a long journey like this, ” continued the Captain, “ is that you end up just talking to yourself a lot, which gets terribly boring because half the time you know what you ’ re going to say next. ”"," "" Víte, s těmihle dlouhými cestami je ta potíž, "" pokračoval kapitán, "" že nakonec začnete mluvit sám se sebou, a to je hrozná nuda, protože v polovině případů víte předem, co řeknete. """
"say","say","řekl","říci","pf"," “ Yes, about half I ’ d say."," "" Ano, řekl bych, že asi v polovině."
"found","find","našel","najít","pf"," He fished around and found it."," Zalovil ve vaně a našel je."
"smiled","smile","usmál","usmát","pf"," He smiled happily at them."," Šťastně se na ně usmál."
"glimpsed","glimpse","zahlédli","zahlédnout","pf"," Half an hour later they glimpsed another such face, and ten minutes after that another."," Po půlhodině zahlédli něco podobného a brzy nato znova."
"postpone","postpone","odložila","odložit","pf"," Possibly the horror that Zaphod experienced at the prospect of being reunited with his deceased relatives led on to the thought that they might just feel the same way about him and, what ’ s more, be able to do something about helping to postpone this reunion."," Možná že hrůza, kterou v Zafodovi vyvolávala představa shledání se zesnulými předky, mu vnukla myšlenku, že i oni sdílejí jeho nechuť, takže by případně mohli zařídit, aby se rodinná schůzka odložila."
"find","find","najít","najít","pf"," The final end of this dangerous ( to the psychiatric profession ) and subversive ( also to the psychiatric profession ) experiment to find the Question to the Ultimate Question of Life, the Universe, and Everything, he thought."," A šmytec s oním nebezpečným ( z hlediska psychiatrie jako oboru ) a podvratným ( rovněž z hlediska psychiatrie jako oboru ) pokusem najít Základní otázku k Definitivní odpovědi na život, vesmír a vůbec, pomyslel si."
"thought","think","pomyslel","pomyslet","pf"," The final end of this dangerous ( to the psychiatric profession ) and subversive ( also to the psychiatric profession ) experiment to find the Question to the Ultimate Question of Life, the Universe, and Everything, he thought."," A šmytec s oním nebezpečným ( z hlediska psychiatrie jako oboru ) a podvratným ( rovněž z hlediska psychiatrie jako oboru ) pokusem najít Základní otázku k Definitivní odpovědi na život, vesmír a vůbec, pomyslel si."
"landed","land","přistála","přistát","pf"," A large meaty hand landed on his shoulder from behind and pushed him aside."," Vtom mu na rameni přistála masitá tlapa a odhodila ho stranou."
"discovered","discover","Objevili","objevit","pf"," We have discovered this planet ’ s future. ”"," Objevili jsme budoucnost téhle planety. """
"waited","wait","čekal","čekat","impf"," Ford waited for this statement to have its effect."," Ford čekal, až jeho prohlášení zapůsobí."
"write","write","psát","psát","impf"," “ How can they sit and write a guide for hitch-hikers in a place like this? ” continued the voice."," "" Jak můžou dřepět a psát průvodce pro stopaře na takovémhle místě? "" rozčiloval se stopař."
"look","look","koukni","kouknout","pf"," “ I mean look at it."," "" No koukni na to."
"Look","look","koukni","kouknout","pf"," Look at it! ”"," Jen se na to koukni. """
"looking","look","koukal","koukat","impf"," Zaphod was looking at it."," Zafod se koukal."
"thought","think","pomyslel","pomyslet","pf"," Nice place, he thought."," Hezké místo, pomyslel si."
"built","build","postavil","postavit","pf"," And so he built the Total Perspective Vortex - just to show her."," A tak postavil Vír totální perspektivy, aby jí ukázal."
"show","show","ukázal","ukázat","pf"," And so he built the Total Perspective Vortex - just to show her."," A tak postavil Vír totální perspektivy, aby jí ukázal."
"Destroy","destroy","zničte","zničit","pf"," Destroy the ship immediately. ”"," Okamžitě zničte loď. """
"vanished","vanish","zmizel","zmizet","pf"," He vanished from the screen."," A zmizel z obrazovky."
"reached","reach","dosáhly","dosáhnout","pf"," The noise and the shaking had reached terrifying proportions."," Hluk a otřesy dosáhly strašné intenzity."
"heard","hear","uslyšel","uslyšet","pf"," When he heard the faint sound of the ship ’ s engines starting he spoke to cover it."," Když uslyšel slabý zvuk startujícího raketového motoru, promluvil, aby ho překryl."
"spoke","speak","promluvil","promluvit","pf"," When he heard the faint sound of the ship ’ s engines starting he spoke to cover it."," Když uslyšel slabý zvuk startujícího raketového motoru, promluvil, aby ho překryl."
"believe","believe","věříte","věřit","impf"," You believe in something! ”"," Přece tedy v něco věříte! """
"sent","send","poslal","poslat","pf"," It is interesting to note that a later and wilier editor sent the book backwards in time through a temporal warp, and then successfully sued the breakfast cereal company for infringement of the same laws."," Stojí snad za zmínku, že později jeden mazaný vydavatel poslal knihu časovou smyčkou nazpátek, načež úspěšně zažaloval společnost vyrábějící ovesné vločky pro porušení právě tohoto zákona."
"Think","think","Přemýšlej","přemýšlet","impf"," Think about it."," Přemýšlej o tom."
"hold","hold","mít","mít","impf"," We get our fingers on that we can hold every shrink in the Galaxy up to ransom, and that ’ s worth a bundle."," Když budeme mít v rukou tohle, můžeme vydírat všechny psychiatry Galaxie - a to by hodilo pěknej balík."
"owe","owe","dlužím","dlužit","impf"," I owe mine a mint. ”"," Já dlužím svýmu hotovej zlatej důl. """
"start","start","začít","začít","pf"," “ Alright, ” he said, “ but where do we start?"," "" Dejme tomu, ale kde začít?"
"beginning","begin","Začínala","začínat","impf"," Night was beginning to fall too, and the rough ground was treacherous."," Začínala noc a nerovný terén mohl být zrádný."
"seen","see","Viděl","vidět","impf"," He had seen the whole Universe stretching to infinity around him - everything."," Viděl celý vesmír, prostírající se do nekonečna kolem něj - všechno."
"doing","do","dělá","dělat","impf"," “ But what ’ s he doing here? ”"," "" Co tady dělá? """
"opened","open","otevřely","otevřít","pf"," But at that moment the door opened."," V tom okamžiku se však otevřely dveře."
"see","see","spatřil","spatřit","pf"," Zaphod span round to see the man who had pursued him standing there."," Zafod se bleskově otočil a spatřil muže, který ho pronásledoval."
"pursued","pursue","pronásledoval","pronásledovat","impf"," Zaphod span round to see the man who had pursued him standing there."," Zafod se bleskově otočil a spatřil muže, který ho pronásledoval."
"wanted","want","Chtěl","chtít","impf"," I believe you wanted to see me. ”"," Chtěl jsi se mnou mluvit. """
"find","find","zjistit","zjistit","pf"," We ’ ve got to find out what people want from fire, how they relate to it, what sort of image it has for them. ”"," Musíme zjistit, co si lidé od ohně slibují, jaký k němu mají vztah a co pro ně představuje. """
"expecting","expect","Očekávali","očekávat","impf"," They were expecting something wonderful from Ford."," Očekávali od Forda něco úžasného."
"left","leave","nechal","nechat","pf"," Zaphod left the controls for Ford to figure out, and lurched over to Arthur."," Zafod nechal řízení Fordovi a přiřítil se k Arthurovi."
"said","say","říkaly","říkat","impf"," Like the mice said, it ’ s worth a lot of money in the right quarters."," Víš, co říkaly myši - v jistých kruzích má cenu ohromného balíku."
"shaking","shake","třást","třást","impf"," “ I ’ m dead certain this building shouldn ’ t be shaking, ” Zaphod said."," "" Já zase vím určitě, že by se tahle budova neměla třást. """
"danced","dance","tančily","tančit","impf"," In the sunbeams the flecks of dust danced more vigorously."," Částečky prachu ve slunečním světle tančily o poznání horlivěji."
"said","say","řekl","říci","pf"," “ Either, ” he said, not very confidently, “ they ’ ve got some vibro system for toning up your muscles while you work, or ... ”"," "" Buď tu mají nějaké vibrační zařízení pro tonizaci svalů při práci ..., "" řekl nepřesvědčivě, "" nebo ... """
"arise","arise","vzniknou","vzniknout","pf"," “ The statistical likelihood, ” continued the autopilot primly, “ is that other civilizations will arise."," "" Je statisticky pravděpodobné, "" odříkával stroze autopilot, "" že vzniknou nové civilizace."
"return","return","Vraťte","vrátit","pf"," Please return to your seat. ”"," Vraťte se, prosím, na místo. """
"sitting","sit","seděl","sedět","impf"," The reason for his confusion was that five seconds earlier he had been sitting on the bridge of the starship Heart of Gold."," Měl k tomu dobrý důvod, protože ještě před pěti vteřinami seděl na velitelském můstku kosmické lodi Srdce ze zlata."
"got","get","dostal","dostat","pf"," How had he got there?"," Jak se sem dostal?"
"felt","feel","Zkusil","zkusit","pf"," His hand felt the arm of the chair on which he was sitting, and then the table in front of him."," Zkusil rukou židli, na níž seděl, a pak i stůl před sebou."
"sitting","sit","seděl","sedět","impf"," His hand felt the arm of the chair on which he was sitting, and then the table in front of him."," Zkusil rukou židli, na níž seděl, a pak i stůl před sebou."
"seemed","seem","Zdály","zdát","impf"," They seemed solid enough."," Zdály se dostatečně hmatatelné."
"blown","blow","vyhodili","vyhodit","pf"," “ And blown up a few military installations. ”"," "" A vyhodili jsme do povětří několik vojenských zařízení. """
"say","say","říct","říci","pf"," You could say I ’ m more differed from than differing. ”"," Dá se říct, že jsem spíš byl odlišen, než že bych se lišil. """
"differed","differ","lišil","lišit","impf"," You could say I ’ m more differed from than differing. ”"," Dá se říct, že jsem spíš byl odlišen, než že bych se lišil. """
"differing","differ","lišil","lišit","impf"," You could say I ’ m more differed from than differing. ”"," Dá se říct, že jsem spíš byl odlišen, než že bych se lišil. """
"talked","talk","vyprávěl","vyprávět","impf"," “ And that other world your friend talked about, the one that got pushed into a black hole. ”"," "" A ta planeta, co o ní vyprávěl tvůj kamarád, jak zapadla do černé díry ... """
"asked","ask","otázal","otázat","pf"," “ Why? ” asked Marvin dolefully."," "" Proč? "" otázal se Marvin truchlivě."
"wait","wait","Počkejte","počkat","pf"," “ Now wait a minute, ” said Ford."," "" Počkejte chvilku, "" snažil se Ford."
"thinks","think","měl","mít","impf"," “ Well perhaps you ’ d let him say what he thinks about the matter himself, ” said Ford."," "" Možná že byste ho měl nechat, aby se k tomu vyjádřil sám, "" navrhl Ford."
"let","let","nechat","nechat","pf"," “ Well perhaps you ’ d let him say what he thinks about the matter himself, ” said Ford."," "" Možná že byste ho měl nechat, aby se k tomu vyjádřil sám, "" navrhl Ford."
"say","say","vyjádřil","vyjádřit","pf"," “ Well perhaps you ’ d let him say what he thinks about the matter himself, ” said Ford."," "" Možná že byste ho měl nechat, aby se k tomu vyjádřil sám, "" navrhl Ford."
"said","say","vyjádřil","vyjádřit","pf"," “ Well perhaps you ’ d let him say what he thinks about the matter himself, ” said Ford."," "" Možná že byste ho měl nechat, aby se k tomu vyjádřil sám, "" navrhl Ford."
"come","come","přišla","přijít","pf"," Unfortunately most of them seemed to come and hang around in this nice clean shiny foyer after hanging around in extremely dirty spaceports."," Jenže většina stopařů bohužel hned potom, co prolezla kdejaký špinavý kosmodrom, přišla okounět sem, do jejího hezkého, čistého, lesklého pracoviště."
"complain","complain","stěžovali","stěžovat","impf"," And all they ever did was complain."," A věčně si stěžovali."
"see","see","přijmout","přijmout","pf"," “ Yes, I passed on your message to Mr Zarniwoop, but I ’ m afraid he ’ s too cool to see you right now."," "" Jistě, vyřídila jsem váš vzkaz panu Zarniwúpovi, ale bohužel momentálně nemá náladu vás přijmout."
"muttered","mutter","zamumlal","zamumlat","pf"," Zaphod muttered a bewildered and embarrassed apology."," Zafod zamumlal rozpačitou a zmatenou omluvu."
"end","end","skončí","skončit","pf"," I suspect it will end in divorce. ”"," Obávám se, že to skončí rozvodem. """
"say","say","říct","říci","pf"," The voice was still again, leaving Zaphod with no idea of what to say."," Hlas opět umlkl a Zafoda nenapadlo nic, co by měl říct."
"remember","remember","pamatuješ","pamatovat","impf"," “ And when we were hungry we ’ d pose as public health inspectors, you remember that?"," "" Když jsme měli hlad, vydávali jsme se za zdravotní inspektory, pamatuješ?"
"got","get","dostali","dostat","pf"," Till we got food poisoning."," Až jsme dostali otravu."
"pulled","pull","vytáhl","vytáhnout","pf"," Zarniwoop pulled some notes out of a pocket."," Zarniwúp vytáhl z kapsy poznámky."
"doing","do","děláte","dělat","impf"," “ How long have you been doing this? ”"," "" Jak dlouho už to děláte? """
"mean","mean","znamenaly","znamenat","impf"," Not that day and evening mean much in this place. ”"," Ne že by tu večer nebo ráno něco znamenaly. """
"thought","think","pomyslel","pomyslet","pf"," Ursa Minor Beta, thought Zaphod."," Tak tedy Beta Malého medvěda, pomyslel si Zafod."
"spoke","speak","promluvil","promluvit","pf"," Then Max spoke again."," Konečně Max znovu promluvil :"
"hoped","hope","doufali","doufat","impf"," “ For those of you who ever hoped to see the light at the end of the tunnel, ” he said, “ this is it. ”"," "" Ti z vás, kdo vždycky doufali, že jednou uvidí světlo na konci tunelu ..., tady je! """
"see","see","uvidí","uvidět","pf"," “ For those of you who ever hoped to see the light at the end of the tunnel, ” he said, “ this is it. ”"," "" Ti z vás, kdo vždycky doufali, že jednou uvidí světlo na konci tunelu ..., tady je! """
"struck","strike","spustila","spustit","pf"," The band struck up again."," Kapela znovu ryčně spustila."
"danced","dance","tančil","tančit","impf"," The noise danced and skittered round the clearing."," Zvuk tančil a poskakoval po pasece."
"offended","offend","urážel","urážet","impf"," It whooped, it rasped, it generally offended."," Ječel, vřeštěl a vůbec urážel sluch."
"regarded","regard","hleděl","hledět","impf"," The Captain, however, regarded the lone bagpiper with an indulgent eye."," Kapitán však hleděl na osamělého dudáka zálibným okem."
"find","find","zjistit","zjistit","pf"," “ I ’ ve never had occasion to find out, ” Marvin informed it."," "" Nikdy jsem neměl příležitost to zjistit, "" informoval Marvin."
"ask","ask","nezeptáte","zeptat","pf"," “ Aren ’ t you going to ask me what I want? ”"," "" To se mě ani nezeptáte, co chci? """
"want","want","chci","chtít","impf"," “ Aren ’ t you going to ask me what I want? ”"," "" To se mě ani nezeptáte, co chci? """
"asked","ask","zeptala","zeptat","pf"," “ Is it worth it? ” it asked."," "" Má to cenu? "" zeptala se otráveně."
"reflect","reflect","uvažovat","uvažovat","impf"," He didn ’ t have time to reflect on this matter."," Neměl však čas o tom uvažovat."
"find","find","našel","najít","pf"," Enough time for Zaphod to make a break and find somewhere to hide."," Zafod bude mít dost času, aby se vzpamatoval a našel úkryt."
"sitting","sit","seděli","sedět","impf"," Ford staggered back to the table where Zaphod, Arthur and Trillian were sitting waiting for the fun to begin."," Ford se odpotácel ke stolu, kde seděli Zafod, Arthur a Trillian a čekali, až vypukne ta psina."
"waiting","wait","čekali","čekat","impf"," Ford staggered back to the table where Zaphod, Arthur and Trillian were sitting waiting for the fun to begin."," Ford se odpotácel ke stolu, kde seděli Zafod, Arthur a Trillian a čekali, až vypukne ta psina."
"begin","begin","vypukne","vypuknout","pf"," Ford staggered back to the table where Zaphod, Arthur and Trillian were sitting waiting for the fun to begin."," Ford se odpotácel ke stolu, kde seděli Zafod, Arthur a Trillian a čekali, až vypukne ta psina."
"blinked","blink","mrkla","mrknout","pf"," The insect blinked at him."," Hmyzice na něho mrkla."
"decided","decide","rozhodl","rozhodnout","pf"," Then he decided he ’ d be damned if he ’ d give up."," Vzápětí se rozhodl, že to by se na to podíval, aby se dal odradit."
"give","give","dal","dát","pf"," Then he decided he ’ d be damned if he ’ d give up."," Vzápětí se rozhodl, že to by se na to podíval, aby se dal odradit."
"make","make","uděláš","udělat","pf"," You are going to make one for me."," A ty mi ho uděláš."
"listen","listen","poslouchej","poslouchat","impf"," Keep quiet and listen. ”"," Teď buď chvíli zticha a poslouchej. """
"told","tell","Vyprávěl","vyprávět","impf"," He told it about broad leaves drying in the sun."," Vyprávěl mu o širokých listech schnoucích ve slunci."
"altered","alter","změnit","změnit","pf"," History is never altered you see, it just fits together like a jigsaw."," Historie se prostě nedá změnit, zapadá totiž do sebe jako hlavolam."
"picked","pick","Sebral","sebrat","pf"," He picked up the letter Q and hurled it into a distant privet bush where it hit a young rabbit."," Sebral písmeno Q a mrštil jím do nedalekého tavolníkového křoví, kde zasáhlo mladého králíka."
"hit","hit","zasáhlo","zasáhnout","pf"," He picked up the letter Q and hurled it into a distant privet bush where it hit a young rabbit."," Sebral písmeno Q a mrštil jím do nedalekého tavolníkového křoví, kde zasáhlo mladého králíka."
"tell","tell","vyprávějí","vyprávět","impf"," The first part of each song would tell how there once went forth from the City of Vassilian a party of five sage princes with four horses."," Všechny první části vyprávějí o tom, jak se z města Vassillian kdysi vydalo na cesty pět moudrých knížat na čtyřech koních."
"travel","travel","cestují","cestovat","impf"," The princes, who are of course brave, noble and wise, travel widely in distant lands, fight giant ogres, pursue exotic philosophies, take tea with weird gods and rescue beautiful monsters from ravening princesses before finally announcing that they have achieved enlightenment and that their wanderings are therefore accomplished."," Knížata, samozřejmě statečná, ušlechtilá a moudrá, hodně cestují po dalekých zemích, bojují s šerednými obry, zabývají se exotickou filozofií, popíjejí čaj s podivnými božstvy a zachraňují krásné obludy před žravými princeznami, až nakonec oznámí, že dosáhli osvícení, a jejich putování je tudíž u konce."
"fight","fight","bojují","bojovat","impf"," The princes, who are of course brave, noble and wise, travel widely in distant lands, fight giant ogres, pursue exotic philosophies, take tea with weird gods and rescue beautiful monsters from ravening princesses before finally announcing that they have achieved enlightenment and that their wanderings are therefore accomplished."," Knížata, samozřejmě statečná, ušlechtilá a moudrá, hodně cestují po dalekých zemích, bojují s šerednými obry, zabývají se exotickou filozofií, popíjejí čaj s podivnými božstvy a zachraňují krásné obludy před žravými princeznami, až nakonec oznámí, že dosáhli osvícení, a jejich putování je tudíž u konce."
"pursue","pursue","zabývají","zabývat","impf"," The princes, who are of course brave, noble and wise, travel widely in distant lands, fight giant ogres, pursue exotic philosophies, take tea with weird gods and rescue beautiful monsters from ravening princesses before finally announcing that they have achieved enlightenment and that their wanderings are therefore accomplished."," Knížata, samozřejmě statečná, ušlechtilá a moudrá, hodně cestují po dalekých zemích, bojují s šerednými obry, zabývají se exotickou filozofií, popíjejí čaj s podivnými božstvy a zachraňují krásné obludy před žravými princeznami, až nakonec oznámí, že dosáhli osvícení, a jejich putování je tudíž u konce."
"rescue","rescue","zachraňují","zachraňovat","impf"," The princes, who are of course brave, noble and wise, travel widely in distant lands, fight giant ogres, pursue exotic philosophies, take tea with weird gods and rescue beautiful monsters from ravening princesses before finally announcing that they have achieved enlightenment and that their wanderings are therefore accomplished."," Knížata, samozřejmě statečná, ušlechtilá a moudrá, hodně cestují po dalekých zemích, bojují s šerednými obry, zabývají se exotickou filozofií, popíjejí čaj s podivnými božstvy a zachraňují krásné obludy před žravými princeznami, až nakonec oznámí, že dosáhli osvícení, a jejich putování je tudíž u konce."
"announcing","announce","oznámí","oznámit","pf"," The princes, who are of course brave, noble and wise, travel widely in distant lands, fight giant ogres, pursue exotic philosophies, take tea with weird gods and rescue beautiful monsters from ravening princesses before finally announcing that they have achieved enlightenment and that their wanderings are therefore accomplished."," Knížata, samozřejmě statečná, ušlechtilá a moudrá, hodně cestují po dalekých zemích, bojují s šerednými obry, zabývají se exotickou filozofií, popíjejí čaj s podivnými božstvy a zachraňují krásné obludy před žravými princeznami, až nakonec oznámí, že dosáhli osvícení, a jejich putování je tudíž u konce."
"achieved","achieve","dosáhli","dosáhnout","pf"," The princes, who are of course brave, noble and wise, travel widely in distant lands, fight giant ogres, pursue exotic philosophies, take tea with weird gods and rescue beautiful monsters from ravening princesses before finally announcing that they have achieved enlightenment and that their wanderings are therefore accomplished."," Knížata, samozřejmě statečná, ušlechtilá a moudrá, hodně cestují po dalekých zemích, bojují s šerednými obry, zabývají se exotickou filozofií, popíjejí čaj s podivnými božstvy a zachraňují krásné obludy před žravými princeznami, až nakonec oznámí, že dosáhli osvícení, a jejich putování je tudíž u konce."
"accomplished","accomplish","dosáhli","dosáhnout","pf"," The princes, who are of course brave, noble and wise, travel widely in distant lands, fight giant ogres, pursue exotic philosophies, take tea with weird gods and rescue beautiful monsters from ravening princesses before finally announcing that they have achieved enlightenment and that their wanderings are therefore accomplished."," Knížata, samozřejmě statečná, ušlechtilá a moudrá, hodně cestují po dalekých zemích, bojují s šerednými obry, zabývají se exotickou filozofií, popíjejí čaj s podivnými božstvy a zachraňují krásné obludy před žravými princeznami, až nakonec oznámí, že dosáhli osvícení, a jejich putování je tudíž u konce."
"tasted","taste","ochutnal","ochutnat","pf"," On the delivery plate of the Nutri-Matic Drink Synthesizer was a small tray, on which sat three bone china cups and saucers, a bone china jug of milk, a silver teapot full of the best tea Arthur had ever tasted, and a small printed note saying “ Wait ”."," Na servírovací plošince nutrimatického syntetizéru nápojů stál malý tácek, na němž se na podšálcích skvěly tři šálky z krémového porcelánu a stejný džbánek s mlékem, stříbrná konvice nejlepšího čaje, jaký kdy Arthur ochutnal a cedulka s nápisem Čekejte."
"began","begin","začali","začít","pf"," Marvin followed him, and together they began to crawl slowly and painfully down the fifteen floors that separated them from the ground."," Marvin se vyšplhal za ním a pak začali pomalu a pracně sestupovat patnácti poschodími."
"smarted","smart","pálily","pálit","impf"," As he crawled, the dank air and dust choked his lungs, his eyes smarted and the terrifying distance down made his heads spin."," Vlhký vzduch se tlačil Zafodovi do plic, oči ho pálily a z té strašlivé výšky se mu točily obě hlavy."
"spin","spin","točily","točit","impf"," As he crawled, the dank air and dust choked his lungs, his eyes smarted and the terrifying distance down made his heads spin."," Vlhký vzduch se tlačil Zafodovi do plic, oči ho pálily a z té strašlivé výšky se mu točily obě hlavy."
"sat","sit","seděl","sedět","impf"," He sat still and ignored the thought furiously."," Nehnutě seděl a zuřivě myšlenku ignoroval."
"ignored","ignore","ignoroval","ignorovat","impf"," He sat still and ignored the thought furiously."," Nehnutě seděl a zuřivě myšlenku ignoroval."
"ignored","ignore","Ignoroval","ignorovat","impf"," He ignored it."," Ignoroval ji."
"ignored","ignore","Ignoroval","ignorovat","impf"," He ignored it."," Ignoroval ji."
"die","die","zemře","zemřít","pf"," It is also of course stupefyingly dangerous - those who don ’ t die riding invariably die of sexual exhaustion at one of the Daedalus Club ’ s Apres-Flare parties."," Je to ovšem také sport závratně nebezpečný - kdo neuhoří za jízdy, nevyhnutelně zemře sexuálním vyčerpáním na některém z mondénních večírků klubu Daidalos, pořádaných po jízdě."
"means","mean","znamená","znamenat","impf"," You know perfectly well what it means."," "" Však ty moc dobře víš, co to znamená."
"means","mean","Znamená","znamenat","impf"," It means that this planet is the Earth!"," Znamená to, že tahle planeta je Země!"
"tell","tell","neřekneš","říci","pf"," Why don ’ t you tell them that?"," Proč jim to neřekneš?"
"wanted","want","chtějí","chtít","impf"," If they wanted to blow the building up, why was it taking so long?"," Pokud chtějí vyhodit dům do povětří, proč se s tím tak párají?"
"blow","blow","vyhodit","vyhodit","pf"," If they wanted to blow the building up, why was it taking so long?"," Pokud chtějí vyhodit dům do povětří, proč se s tím tak párají?"
"thought","think","myslel","myslet","impf"," All this way, thought Zaphod, all this trouble, all this not-lying-on-the-beach-having-a-wonderful-time, and for what?"," Toho trmácení, těch malérů, myslel si Zafod, všechno to neležení na pláži a nelenošení - kvůli čemu vlastně?"
"decided","decide","rozhodl","rozhodnout","pf"," The management consultant decided that testiness was what the situation now called for."," Muž se rozhodl, že podrážděný tón je přesně to, co situace žádá."
"called","call","žádá","žádat","impf"," The management consultant decided that testiness was what the situation now called for."," Muž se rozhodl, že podrážděný tón je přesně to, co situace žádá."
"lied","lie","lhal","lhát","impf"," I ’ m standing here in front of the stage, ” the reporter lied, “ in the middle of the Rudlit Desert, and with the aid of hyperbinoptic glasses I can just about make out the huge audience cowering there on the horizon all around me."," Stojím přímo před pódiem, "" lhal reportér, "" uprostřed Rudlitské pouště, a i s hyperbinoptickými brýlemi jen stěží obsáhnu nedohledné řady diváků, kteří jsou tu natlačeni kolem dokola až k obzoru."
"said","say","říká","říkat","impf"," “ The general gist, ” said Ford, “ as far as I can make out, is that we are welcome to continue our journey in any way we like, but if we would walk round his village rather than through it it would make them all very happy. ”"," "" Pokud tomu dobře rozumím, říká zhruba tolik, že samozřejmě můžeme klidně jít kudy chceme, ale kdybychom chtěli jejich vesnici raději obejít, než projít, rozhodně by je to potěšilo. """
"walk","walk","jít","jít","impf"," “ The general gist, ” said Ford, “ as far as I can make out, is that we are welcome to continue our journey in any way we like, but if we would walk round his village rather than through it it would make them all very happy. ”"," "" Pokud tomu dobře rozumím, říká zhruba tolik, že samozřejmě můžeme klidně jít kudy chceme, ale kdybychom chtěli jejich vesnici raději obejít, než projít, rozhodně by je to potěšilo. """
"like","like","chceme","chtít","impf"," “ The general gist, ” said Ford, “ as far as I can make out, is that we are welcome to continue our journey in any way we like, but if we would walk round his village rather than through it it would make them all very happy. ”"," "" Pokud tomu dobře rozumím, říká zhruba tolik, že samozřejmě můžeme klidně jít kudy chceme, ale kdybychom chtěli jejich vesnici raději obejít, než projít, rozhodně by je to potěšilo. """
"like","like","chtěli","chtít","impf"," “ The general gist, ” said Ford, “ as far as I can make out, is that we are welcome to continue our journey in any way we like, but if we would walk round his village rather than through it it would make them all very happy. ”"," "" Pokud tomu dobře rozumím, říká zhruba tolik, že samozřejmě můžeme klidně jít kudy chceme, ale kdybychom chtěli jejich vesnici raději obejít, než projít, rozhodně by je to potěšilo. """
"do","do","uděláme","udělat","pf"," “ So what do we do? ”"," "" Co uděláme? """
"do","do","uděláme","udělat","pf"," “ So what do we do? ”"," "" Co uděláme? """
"Get","get","Sežeňte","sehnat","pf"," Get me Zarniwoop. ”"," "" Sežeňte mi Zarniwúpa. """
"said","say","Říkal","říkat","impf"," “ Excuse me, sir? ” said the insect icily."," "" Říkal jste něco, pane? "" pronesla slečna ledově."
"said","say","pronesla","pronést","pf"," “ Excuse me, sir? ” said the insect icily."," "" Říkal jste něco, pane? "" pronesla slečna ledově."
"Get","get","Sežeňte","sehnat","pf"," Get him, right?"," Sežeňte ho, jo?"
"felt","feel","cítil","cítit","impf"," Zaphod felt he was teetering on the edge of madness and wondered if he shouldn ’ t just jump over and have done with it."," Zafod cítil, že se tetelí na pokraji šílenství a uvažoval, jestli nemá prostě vyskočit a se vším skoncovat."
"wondered","wonder","uvažoval","uvažovat","impf"," Zaphod felt he was teetering on the edge of madness and wondered if he shouldn ’ t just jump over and have done with it."," Zafod cítil, že se tetelí na pokraji šílenství a uvažoval, jestli nemá prostě vyskočit a se vším skoncovat."
"jump","jump","vyskočit","vyskočit","pf"," Zaphod felt he was teetering on the edge of madness and wondered if he shouldn ’ t just jump over and have done with it."," Zafod cítil, že se tetelí na pokraji šílenství a uvažoval, jestli nemá prostě vyskočit a se vším skoncovat."
