"loved","love","miluji","milovat","impf"," I had n't known I loved her."," Nevěděl jsem, že ji miluji."
"gave","give","Podal","podat","pf"," I gave Ambrose his hat."," Podal jsem Ambrosovi klobouk."
"looked","look","Podívali","podívat","pf"," They looked up at the hazy heatwave sky and gave me deservedly bitter looks."," Podívali se výmluvně na rozpálenou modrou oblohu a zatvářili se kysele."
"went","go","Odešel","odejít","pf"," All the same, I went on my way."," Odešel jsem."
"left","leave","odjela","odjet","pf"," "" No, Mr. Shore, I 'm very sorry, His Grace left for Warwick haft an hour ago. """," "" Je mi líto, pane, ale Jeho Milost odjela do Warwicku na dostihy, může to být tak půl hodiny. """
"began","begin","začali","začít","pf"," The laugh rang out infectiously and most people in the bar began to grin."," Nakažlivě se zasmál a lidé kolem něho se začali usmívat."
"grin","grin","usmívat","usmívat","impf"," The laugh rang out infectiously and most people in the bar began to grin."," Nakažlivě se zasmál a lidé kolem něho se začali usmívat."
"call","call","zavolat","zavolat","pf"," "" He wants you to call some time this evening, if you can."," "" Máte mu zavolat ještě dnes večer, pokud možno."
"go","go","půjdu","jít","impf"," I said, "" I 'll go up now, then, and use the telephone in the lounge. """," "" Dobře, půjdu s vámi a zatelefonuju si z čekárny. """
"sat","sit","sedla","sednout","pf"," Honey sat down on the two-seat sofa and crossed her legs."," Honey si sedla na gauč a přehodila nohu přes nohu."
"Ask","ask","požádáte","požádat","pf"," "" Ask them to repeat them."," "" Jednoduše požádáte, aby instrukce opakovali."
"repeat","repeat","opakovali","opakovat","impf"," "" Ask them to repeat them."," "" Jednoduše požádáte, aby instrukce opakovali."
"ask","ask","požádejte","požádat","pf"," If you still do n't understand, ask them to clarify. """," Kdyby se vám to zase nezdálo srozumitelné, tak je požádejte, ať to rozvedou. """
"think","think","myslet","myslet","impf"," "" They 'll think I 'm stupid, "" she protested."," "" Budou si myslet, že jsem pitomá. """
"deserves","deserve","zaslouží","zasloužit","pf"," "" Colin deserves a medal, "" Midge said."," "" Matt zaslouží metál, "" prohlásila Midge."
"said","say","prohlásila","prohlásit","pf"," "" Colin deserves a medal, "" Midge said."," "" Matt zaslouží metál, "" prohlásila Midge."
"lit","light","zapálili","zapálit","pf"," They strolled towards each other and lit cigarettes."," Přešli zvolna k sobě a zapálili si cigaretu."
"said","say","řekla","říci","pf"," "" It was a bomb, "" she said in awe."," "" Byla to bomba, "" řekla s úžasem."
"thought","think","uvažoval","uvažovat","impf"," For most of that week I flew where I was told to, and thought about radio bombs, and sat on my own in the caravan in the evenings."," Většinu dalšího týdne jsem lítal tam, kam mě poslali, uvažoval jsem o detonátorech na vysílačku a po večerech jsem vysedával v maringotce."
"go","go","pojedu","jet","impf"," I 'll go home by train ... or get a lift. """," Domů pojedu vlakem nebo stopem. """
"find","find","zjistila","zjistit","pf"," She must have been horrified to find that the clouds were so low : she must have been thanking her stars that she had n't tried to go down through them."," Musela se zhrozit, když zjistila, jak jsou mraky nízko a patrně děkovala osudu, že se předtím nepokusila sestoupit."
"thanking","thank","děkovala","děkovat","impf"," She must have been horrified to find that the clouds were so low : she must have been thanking her stars that she had n't tried to go down through them."," Musela se zhrozit, když zjistila, jak jsou mraky nízko a patrně děkovala osudu, že se předtím nepokusila sestoupit."
"tried","try","nepokusila","pokusit","pf"," She must have been horrified to find that the clouds were so low : she must have been thanking her stars that she had n't tried to go down through them."," Musela se zhrozit, když zjistila, jak jsou mraky nízko a patrně děkovala osudu, že se předtím nepokusila sestoupit."
"sat","sit","seděli","sedět","impf"," Between the next two races we sat on the grass while Chanter gave us the uninterrupted benefit of his views on the evils of money, racialism, war, religion and marriage."," Mezi příštími dvěma dostihy jsme seděli na trávě a poslouchali Chanterovu přednášku o nebezpečí peněz, rasismu, války, náboženství a manželství."
"put","put","položil","položit","pf"," During the discourse he twice without warning stretched over and put his hand on Nancy 's breast."," Během přednášky Chanter několikrát bez varování vztáhl ruku a položil ji Nancy na ňadra."
"parked","park","zaparkoval","zaparkovat","pf"," We touched down on the grass strip indicated in the centre of the course, and I taxied on and parked where the Major told me to, near the rails of the track itself, a mere hundred yards from the grandstand."," Sedli jsme si na travnatém pásu uprostřed dostihové dráhy a podle majorovy rady jsem letadlo zaparkoval těsně u hrazení, asi sto yardů od hlavní tribuny."
"coming","come","půjdu","jít","impf"," He said merely, "" Are you coming in to the races? """," Pak se mě zeptal, jestli se půjdu dívat na dostihy."
"stay","stay","zůstanu","zůstat","pf"," "" Think I 'll stay over here. """," "" Asi zůstanu tady. """
"wearing","wear","měla","mít","impf"," She was slim and dark haired and she was wearing large square sunglasses."," Byla tmavovlasá, štíhlá, měla velké brýle proti slunci."
"come","come","došlo","dojít","pf"," The manoeuvring with Rudiments had come about simply because Tyderman could n't resist a small swindle on the side, even when he was engaged in a bigger one."," K manévrování s koněm došlo jenom proto, že Tyderman nemohl odolat žádné příležitosti k menšímu podvodu, nemohl odolat dokonce ani tehdy, když připravoval podvod veliký."
"resist","resist","odolat","odolat","pf"," The manoeuvring with Rudiments had come about simply because Tyderman could n't resist a small swindle on the side, even when he was engaged in a bigger one."," K manévrování s koněm došlo jenom proto, že Tyderman nemohl odolat žádné příležitosti k menšímu podvodu, nemohl odolat dokonce ani tehdy, když připravoval podvod veliký."
"resist","resist","odolat","odolat","pf"," The manoeuvring with Rudiments had come about simply because Tyderman could n't resist a small swindle on the side, even when he was engaged in a bigger one."," K manévrování s koněm došlo jenom proto, že Tyderman nemohl odolat žádné příležitosti k menšímu podvodu, nemohl odolat dokonce ani tehdy, když připravoval podvod veliký."
"got","get","přiměl","přimět","pf"," Tyderman had got Annie to introduce him to the Duke so that he in his turn could produce Carthy-Todd."," Tyderman přiměl Annii, aby ho představila vévodovi, aby sám mohl uvést na scénu Carthy - Todda."
"introduce","introduce","představila","představit","pf"," Tyderman had got Annie to introduce him to the Duke so that he in his turn could produce Carthy-Todd."," Tyderman přiměl Annii, aby ho představila vévodovi, aby sám mohl uvést na scénu Carthy - Todda."
"introduce","introduce","uvést","uvést","pf"," Tyderman had got Annie to introduce him to the Duke so that he in his turn could produce Carthy-Todd."," Tyderman přiměl Annii, aby ho představila vévodovi, aby sám mohl uvést na scénu Carthy - Todda."
"needed","need","potřebovali","potřebovat","impf"," Goldenberg was incidental, needed only for placing bets."," Goldenberg se do toho připletl jen náhodně, potřebovali ho kvůli sázkám."
"making","make","Dělali","dělat","impf"," "" Uncle and I were making out the list for the next week."," "" Dělali jsme se strýcem program na příští týden."
"wants","want","chce","chtít","impf"," "" Yes ... he wants us Tuesday, Friday, Saturday and Sunday. """," "" Ano, domluvil ... chce s námi letět v úterý, v pátek, v sobotu a v neděli. """
"nodded","nod","Přikývl","přikývnout","pf"," I nodded and went back across the track."," Přikývl jsem a šel zpátky přes trať k tribunám."
"went","go","šel","jít","impf"," I nodded and went back across the track."," Přikývl jsem a šel zpátky přes trať k tribunám."
"took","take","Donesl","donést","pf"," I took it over to the aeroplane and Colin put it on Kenny Bayst 's empty seat."," Donesl jsem baliček do letadla a Colin ho položil na prázdné místo, na kterém předtím seděl Kenny Bayst."
"put","put","položil","položit","pf"," I took it over to the aeroplane and Colin put it on Kenny Bayst 's empty seat."," Donesl jsem baliček do letadla a Colin ho položil na prázdné místo, na kterém předtím seděl Kenny Bayst."
"got","get","dostaly","dostat","pf"," They got both, and were delighted."," Obě dostaly peníze i autogram a byly celé šťastné."
"looked","look","Podíval","podívat","pf"," I looked at the map, picked out a heading, planned the return journey in terms of time and the cross references I 'd need to tell me when I 'd got to Buckingham, if the radar should be out of service."," Podíval jsem se na mapu, stanovil letovou trasu a začal jsem plánovat poslední úsek letu, pokud šlo o časy a různé údaje, které jsem musel žádat, až doletím nad Buckingham, kdyby radiolokátor nefungoval."
"planned","plan","plánovat","plánovat","impf"," I looked at the map, picked out a heading, planned the return journey in terms of time and the cross references I 'd need to tell me when I 'd got to Buckingham, if the radar should be out of service."," Podíval jsem se na mapu, stanovil letovou trasu a začal jsem plánovat poslední úsek letu, pokud šlo o časy a různé údaje, které jsem musel žádat, až doletím nad Buckingham, kdyby radiolokátor nefungoval."
"need","need","musel","muset","impf"," I looked at the map, picked out a heading, planned the return journey in terms of time and the cross references I 'd need to tell me when I 'd got to Buckingham, if the radar should be out of service."," Podíval jsem se na mapu, stanovil letovou trasu a začal jsem plánovat poslední úsek letu, pokud šlo o časy a různé údaje, které jsem musel žádat, až doletím nad Buckingham, kdyby radiolokátor nefungoval."
"need","need","žádat","žádat","impf"," I looked at the map, picked out a heading, planned the return journey in terms of time and the cross references I 'd need to tell me when I 'd got to Buckingham, if the radar should be out of service."," Podíval jsem se na mapu, stanovil letovou trasu a začal jsem plánovat poslední úsek letu, pokud šlo o časy a různé údaje, které jsem musel žádat, až doletím nad Buckingham, kdyby radiolokátor nefungoval."
"sat","sit","seděl","sedět","impf"," After that I sat and stared at the flight plan and told myself to get on with it."," Potom jsem jen tak seděl, civěl na mapu a snažil se sám sebe přemluvit k činnosti."
"shut","shut","zavřel","zavřít","pf"," After that I rested my head on my hand and shut my eyes."," Pak jsem si dal hlavu do dlaní a zavřel oči."
"told","tell","Řekla","říci","pf"," "" She told our cleaner she had met an old art school friend in Liverpool and was spending a few days camping with her near Warwick. """," "" Řekla uklízečce, že potkala spolužačku z Liverpoolu a že s ní pojede na pár dní tábořit někam k Warwicku. """
"met","meet","potkala","potkat","pf"," "" She told our cleaner she had met an old art school friend in Liverpool and was spending a few days camping with her near Warwick. """," "" Řekla uklízečce, že potkala spolužačku z Liverpoolu a že s ní pojede na pár dní tábořit někam k Warwicku. """
"asked","ask","Ptal","ptát","impf"," I asked our Mrs. Williams, and she then said she thought Nancy said "" her "", but of course she would think that, would n't she? """," Ptal jsem se paní Williamsové a ona říkala, že si mysli, že Nancy řekla spolužačka, jenže paní Williamsová by stejně nevěřila svým uším, kdyby šlo o spolužáka, aspoň si to myslím. """
"said","say","říkala","říkat","impf"," I asked our Mrs. Williams, and she then said she thought Nancy said "" her "", but of course she would think that, would n't she? """," Ptal jsem se paní Williamsové a ona říkala, že si mysli, že Nancy řekla spolužačka, jenže paní Williamsová by stejně nevěřila svým uším, kdyby šlo o spolužáka, aspoň si to myslím. """
"said","say","říkala","říkat","impf"," I asked our Mrs. Williams, and she then said she thought Nancy said "" her "", but of course she would think that, would n't she? """," Ptal jsem se paní Williamsové a ona říkala, že si mysli, že Nancy řekla spolužačka, jenže paní Williamsová by stejně nevěřila svým uším, kdyby šlo o spolužáka, aspoň si to myslím. """
"said","say","řekla","říci","pf"," I asked our Mrs. Williams, and she then said she thought Nancy said "" her "", but of course she would think that, would n't she? """," Ptal jsem se paní Williamsové a ona říkala, že si mysli, že Nancy řekla spolužačka, jenže paní Williamsová by stejně nevěřila svým uším, kdyby šlo o spolužáka, aspoň si to myslím. """
"said","say","řekla","říci","pf"," I asked our Mrs. Williams, and she then said she thought Nancy said "" her "", but of course she would think that, would n't she? """," Ptal jsem se paní Williamsové a ona říkala, že si mysli, že Nancy řekla spolužačka, jenže paní Williamsová by stejně nevěřila svým uším, kdyby šlo o spolužáka, aspoň si to myslím. """
"thought","think","nevěřila","věřit","impf"," I asked our Mrs. Williams, and she then said she thought Nancy said "" her "", but of course she would think that, would n't she? """," Ptal jsem se paní Williamsové a ona říkala, že si mysli, že Nancy řekla spolužačka, jenže paní Williamsová by stejně nevěřila svým uším, kdyby šlo o spolužáka, aspoň si to myslím. """
"think","think","nevěřila","věřit","impf"," I asked our Mrs. Williams, and she then said she thought Nancy said "" her "", but of course she would think that, would n't she? """," Ptal jsem se paní Williamsové a ona říkala, že si mysli, že Nancy řekla spolužačka, jenže paní Williamsová by stejně nevěřila svým uším, kdyby šlo o spolužáka, aspoň si to myslím. """
"thought","think","myslím","myslet","impf"," I asked our Mrs. Williams, and she then said she thought Nancy said "" her "", but of course she would think that, would n't she? """," Ptal jsem se paní Williamsové a ona říkala, že si mysli, že Nancy řekla spolužačka, jenže paní Williamsová by stejně nevěřila svým uším, kdyby šlo o spolužáka, aspoň si to myslím. """
"think","think","myslím","myslet","impf"," I asked our Mrs. Williams, and she then said she thought Nancy said "" her "", but of course she would think that, would n't she? """," Ptal jsem se paní Williamsové a ona říkala, že si mysli, že Nancy řekla spolužačka, jenže paní Williamsová by stejně nevěřila svým uším, kdyby šlo o spolužáka, aspoň si to myslím. """
"occurs","occur","napadne","napadnout","pf"," Then tell me if anything occurs to you."," Jestli vás něco napadne, tak mi prosím vás dejte vědět."
"prevent","prevent","předejít","předejít","pf"," If you care at all to find out what happened, that is, and maybe prevent it happening again. """," Pokud vás ovšem vůbec zajímá, jak to bylo, a pokud chcete předejít eventuálnímu dalšímu pokusu. """
"think","think","myslíte","myslet","impf"," "" You think I do n't care? """," "" Vy si myslíte, že mi to je jedno? """
"said","say","řekl","říci","pf"," "" I would care, now, "" I said slowly, ' if Colin Ross were blown up. """," "" Nebylo by mi jedno, kdyby se něco stalo Colinu Rossovi, "" řekl jsem pomalu."
"did","do","nejdou","jít","impf"," Why did n't they come?"," Proč pořád nejdou?"
"come","come","nejdou","jít","impf"," Why did n't they come?"," Proč pořád nejdou?"
"told","tell","říct","říci","pf"," After I 'd told the Duke, he 'd have to go off somewhere and stay safely out of sight until the Board of Trade had dealt with Carthy-Todd ..."," Najdou - li vévodu, musím mu říct, aby se někam uklidil a zůstal uklizený, dokud si ministerstvo neporadí s panem Carthy - Toddem ..."
"stay","stay","zůstal","zůstat","pf"," After I 'd told the Duke, he 'd have to go off somewhere and stay safely out of sight until the Board of Trade had dealt with Carthy-Todd ..."," Najdou - li vévodu, musím mu říct, aby se někam uklidil a zůstal uklizený, dokud si ministerstvo neporadí s panem Carthy - Toddem ..."
"watched","watch","díval","dívat","impf"," I dispassionately watched the blood drip from my fingers on to the grass."," Nezúčastněně jsem se díval, jak mi do trávy z ruky ukapává krev."
"breathing","breathe","dýchal","dýchat","impf"," Sweat stood out in fine drops on his forehead and he was breathing in short shocked gasps."," Na čele mu vystoupily drobné kapičky potu, dýchal rychle a přerývaně."
"watched","watch","díval","dívat","impf"," Holding Annie Villars I stood beside them and watched the death throes of the aeroplane."," Stál jsem vedle nich, Annii Villarsovou v náručí, a díval se na smrtelné křeče našeho letadla."
"ignited","ignite","chytily","chytit","pf"," The first explosion had blown it apart and almost immediately the fuel tanks had ignited and finished the job."," Roztrhlo se již při první explozi, pak chytily nádrže a oheň dovršil dílo zkázy."
"rang","ring","Volal","volat","impf"," "" I rang the police in Cambridge to tell them, but Nancy had already been through to them, when she called home."," "" Volal jsem policii v Camdridgi, ale tam to už věděli od Nancy."
"called","call","Volal","volat","impf"," "" I rang the police in Cambridge to tell them, but Nancy had already been through to them, when she called home."," "" Volal jsem policii v Camdridgi, ale tam to už věděli od Nancy."
"remember","remember","pamatovala","pamatovat","impf"," All she could remember about the driver was that he wore glasses."," Nancy si prý pamatovala jen to, že řidič měl brýle."
"wore","wear","měl","mít","impf"," All she could remember about the driver was that he wore glasses."," Nancy si prý pamatovala jen to, že řidič měl brýle."
"thought","think","měl","mít","impf"," She thought he might have had dark hair and perhaps a moustache."," Možná že prý měl tmavé vlasy a knír, ale tím si nebyla jistá."
"concentrating","concentrate","soustředila","soustředit","pf"," She only glanced at him for a second because she was concentrating on Tyderman."," Řidiče si neprohlížela, soustředila se na majora Tydermana."
"feel","feel","Cítil","cítit","impf"," I could feel that all the back of my coat was soaked."," Cítil jsem, že mám celá záda saka promočená."
"let","let","nedovolí","dovolit","pf"," The Board of Trade doctors would n't let me fly again for weeks and weeks."," Doktoři z ministerstva mi určitě nedovolí lítat celé měsíce."
"went","go","začala","začít","pf"," But if she went down too soon, or in the wrong place, she could all too easily fly into a cloud-covered hill."," Pokud by ovšem začala klesat příliš brzo nebo na nevhodném místě, mohla by snadno naletět do nějakého kopce, schovaného v mracích."
"find","find","najít","najít","pf"," I said, with the same studied artificial calm, "" Can the RAF radar stations find her and trace her where she goes?"," "" Nemohly by se vojenské radiolokátory pokusit ji najít a zjistit, na jakém kursu letí? "" zeptal jsem se klidně."
"trace","trace","najít","najít","pf"," I said, with the same studied artificial calm, "" Can the RAF radar stations find her and trace her where she goes?"," "" Nemohly by se vojenské radiolokátory pokusit ji najít a zjistit, na jakém kursu letí? "" zeptal jsem se klidně."
"find","find","zjistit","zjistit","pf"," I said, with the same studied artificial calm, "" Can the RAF radar stations find her and trace her where she goes?"," "" Nemohly by se vojenské radiolokátory pokusit ji najít a zjistit, na jakém kursu letí? "" zeptal jsem se klidně."
"trace","trace","zjistit","zjistit","pf"," I said, with the same studied artificial calm, "" Can the RAF radar stations find her and trace her where she goes?"," "" Nemohly by se vojenské radiolokátory pokusit ji najít a zjistit, na jakém kursu letí? "" zeptal jsem se klidně."
"thinks","think","Předpokládám","předpokládat","impf"," She is likely to stick to it, as she thinks it is still clear at Cambridge."," Předpokládám, že se plánu bude držet, protože očekává, že v Cambridgi je jasno."
"stick","stick","držet","držet","impf"," She is likely to stick to it, as she thinks it is still clear at Cambridge."," Předpokládám, že se plánu bude držet, protože očekává, že v Cambridgi je jasno."
"insured","insure","pojistil","pojistit","pf"," "" Colin Ross has insured with us."," "" Colin Ross se u nás pojistil."
"send","send","pošlete","poslat","pf"," Cut out the proposal form printed below and send it with five pounds to the Racegoers ' Accident Fund, Avon Street, Warwick."," Vystřihněte formulář, který najdete pod tímto textem, vyplňte, přiložte šek na pět liber a vše pošlete na adresu : Dostihové pojištění, Avon Street, Warwick."
"thinking","think","myslíte","myslet","impf"," "" You must be thinking the same, "" I protested."," "" Vy si myslíte jistě totéž, co já."
"smiled","smile","usmál","usmát","pf"," He smiled thinly."," Mírně se usmál."
"sighed","sigh","Vzdychl","vzdychnout","pf"," He sighed."," Vzdychl."
"handed","hand","podal","podat","pf"," He had handed me the most biting, the most damaging, of the tabloid accounts of my trial and conviction for negligently putting the lives of eighty seven people in jeopardy."," To, co mi podal, byla ta nejlacinější, nejurážlivější reportáž o mém soudu a rozsudku, o tom, jak jsem neodpustitelnou nedbalostí ohrozil život osmdesáti lidí."
"lying","lie","ležela","ležet","impf"," But always lying there in the files, if anyone wanted to dig it up."," Záležitost, která ležela někde zahrabaná, ale kterou kdokoli mohl kdykoli v případě potřeby vytáhnout na světlo."
"take","take","potrvá","trvat","impf"," I judged it would take thirteen minutes at her speed to reach the sea, five to ten to let down, and twenty or so more to return underneath the cloud base to Cambridge."," Předpokládal jsem, že nám potrvá asi třináct minut, než se dostaneme nad moře, tak pět až deset minut, než sestoupíme pod mraky, a dvacet minut, než doletíme nad Cambridge."
"take","take","dostaneme","dostat","pf"," I judged it would take thirteen minutes at her speed to reach the sea, five to ten to let down, and twenty or so more to return underneath the cloud base to Cambridge."," Předpokládal jsem, že nám potrvá asi třináct minut, než se dostaneme nad moře, tak pět až deset minut, než sestoupíme pod mraky, a dvacet minut, než doletíme nad Cambridge."
"hitting","hit","narazí","narazit","pf"," Her fuel by the time she got there would be low, but there was less risk of her running dry than of hitting a hill or trees or a building by going down over the land."," Nancy vyčerpá skoro všechny pohonné hmoty, ale to ji ohrozí míň, než kdyby riskovala, že narazí do stromů nebo vysokých budov, kdyby se snažila dostat pod mraky nad zemí."
"got","get","dostat","dostat","pf"," Her fuel by the time she got there would be low, but there was less risk of her running dry than of hitting a hill or trees or a building by going down over the land."," Nancy vyčerpá skoro všechny pohonné hmoty, ale to ji ohrozí míň, než kdyby riskovala, že narazí do stromů nebo vysokých budov, kdyby se snažila dostat pod mraky nad zemí."
"says","say","řekla","říci","pf"," "" Miss. Nancy Ross says it contained a large fancy bottle of bath oil. """," "" Slečna Rossová nám řekla, že v něm byla veliká ozdobná láhev s kolínskou vodou. """
"came","come","Přiletěli","přiletět","pf"," They came up because of that horse Rudiments which Kenny Bayst rode for Annie Villars, but they are n't down in the racecard as its owners. """," Přiletěli kvůli koni, kterého jel Kenny Bayst pro Annii Villarsovou, ale podle programu jim ten kůň nepatří. """
"rode","ride","jel","jet","impf"," They came up because of that horse Rudiments which Kenny Bayst rode for Annie Villars, but they are n't down in the racecard as its owners. """," Přiletěli kvůli koni, kterého jel Kenny Bayst pro Annii Villarsovou, ale podle programu jim ten kůň nepatří. """
"thought","think","pomyslil","pomyslit","pf"," There was, I thought to myself, with a small internal smile, a truce in operation in that area."," Zdá se, že tam vzadu uzavřeli příměří, pomyslil jsem si s úsměvem."
"Hope","hope","Doufám","doufat","impf"," "" Hope the tide 's in, "" I said facetiously."," "" Doufám, že je příliv. """
"hide","hide","zakrývala","zakrývat","impf"," She was so conscious of the strength and range of her power that she deliberately manufactured the disarming exterior in order not exactly to hide it, but to make it palatable."," Byla si vědomá své sily a moci, což zakrývala maskou mírné vlídnosti ne proto, aby svou silu utajila, ale aby ji učinila přijatelnější."
"make","make","učinila","učinit","pf"," She was so conscious of the strength and range of her power that she deliberately manufactured the disarming exterior in order not exactly to hide it, but to make it palatable."," Byla si vědomá své sily a moci, což zakrývala maskou mírné vlídnosti ne proto, aby svou silu utajila, ale aby ji učinila přijatelnější."
"Tell","tell","Povídejte","povídat","impf"," "" Tell me some thing else."," "" Povídejte mi ještě něco."
"need","need","Potřebuju","potřebovat","impf"," I need something else. """," Potřebuju ... """
"thrust","thrust","Vrazil","vrazit","pf"," I thrust my balled fists into my pockets."," Vrazil jsem ruce do kapes a zaťal pěsti."
"thinking","think","myslet","myslet","impf"," Not the slightest use thinking about it."," Bylo opravdu zbytečné na to myslet."
"Concentrate","concentrate","soustředit","soustředit","pf"," Concentrate on something else."," Musím se soustředit na něco jiného."
"Look","look","prohlédnout","prohlédnout","pf"," Look at everything the wrong way up."," Musím si všechna fakta prohlédnout i z rubu."
"decided","decide","rozhodl","rozhodnout","pf"," The Whiteknight parents were walking back across the apron by the time I 'd decided what to do."," Když jsem se konečně rozhodl, co udělám, vraceli se právě Whiteknightovi k letadlu."
"do","do","udělám","udělat","pf"," The Whiteknight parents were walking back across the apron by the time I 'd decided what to do."," Když jsem se konečně rozhodl, co udělám, vraceli se právě Whiteknightovi k letadlu."
"told","tell","říkala","říkat","impf"," "" I told you you 'd get involved. """," "" Vidíte, říkala jsem vám, že vás to chytí. """
"get","get","chytí","chytit","pf"," "" I told you you 'd get involved. """," "" Vidíte, říkala jsem vám, že vás to chytí. """
"see","see","podívejte","podívat","pf"," But ... you can see over there, on that big board ... see? ..."," Ale podívejte se tamhle na tu velikou tabuli, vidíte?"
"see","see","podívejte","podívat","pf"," But ... you can see over there, on that big board ... see? ..."," Ale podívejte se tamhle na tu velikou tabuli, vidíte?"
"see","see","vidíte","vidět","impf"," But ... you can see over there, on that big board ... see? ..."," Ale podívejte se tamhle na tu velikou tabuli, vidíte?"
"see","see","vidíte","vidět","impf"," But ... you can see over there, on that big board ... see? ..."," Ale podívejte se tamhle na tu velikou tabuli, vidíte?"
"mean","mean","znamená","znamenat","impf"," "" What does it mean, to lay a horse? """," Prosím vás, můžete mi vysvětlit, co znamená naložit na koně? """
"go","go","jít","jít","impf"," In fact, if you happen to be in Greece, you can go into any hardware shop and buy it over the counter."," V Řecku si kupříkladu můžete jít koupit výbušniny do kteréhokoli železářství a klidně vám to tam bez ptaní prodají."
"buy","buy","koupit","koupit","pf"," In fact, if you happen to be in Greece, you can go into any hardware shop and buy it over the counter."," V Řecku si kupříkladu můžete jít koupit výbušniny do kteréhokoli železářství a klidně vám to tam bez ptaní prodají."
"need","need","potřebujete","potřebovat","impf"," You also need something to ignite the gunpowder before it will detonate the plastic."," Ten ovšem také ještě nestačí, potřebujete něco, čím ten střelný prach zapálit."
"ignite","ignite","zapálit","zapálit","pf"," You also need something to ignite the gunpowder before it will detonate the plastic."," Ten ovšem také ještě nestačí, potřebujete něco, čím ten střelný prach zapálit."
"fracturing","fracture","zlomila","zlomit","pf"," Three hundred pounds had been paid to a stable girl in Newmarket in respect of fracturing her wrist in a fall from a two-year-old at morning exercise."," Pak tam byl ještě doklad o výplatě tří set liber stájnici z Newmarketu, která si zlomila zápěstí při pádu z dvouletého koně při ranním tréninku."
"Thought","think","Myslel","myslet","impf"," Thought only of Nancy with her limited experience having to deal with a total electrical failure."," Myslel jsem jen a jen na Nancy, na to, jak málo má zkušeností, co si počne, když jí v letadle selže elektrika."
"Thought","think","má","mít","impf"," Thought only of Nancy with her limited experience having to deal with a total electrical failure."," Myslel jsem jen a jen na Nancy, na to, jak málo má zkušeností, co si počne, když jí v letadle selže elektrika."
"trying","try","Snažil","snažit","impf"," I was trying to get myself up off the grass."," Snažil jsem se vstát."
"do","do","neudělal","udělat","pf"," He would n't do a thing like that. """," Ten by takovou věc neudělal. """
"sent","send","poslala","poslat","pf"," The Board of Trade had sent the same two men, the tall one and the silent one, complete with notebook and bitten green pencil."," Vyšetřovací komise ministerstva obchodu poslala opět tytéž dva pány, toho dlouhého hubeného a toho mlčenlivého s notesem a okousanou zelenou tužkou."
"think","think","Nemysli","myslet","impf"," "" Do n't think about it, "" Colin said."," "" Nemysli na to, "" řekl Colin."
"said","say","řekl","říci","pf"," "" Do n't think about it, "" Colin said."," "" Nemysli na to, "" řekl Colin."
"looked","look","Podíval","podívat","pf"," He looked at me."," Podíval se na mě."
"come","come","chodit","chodit","impf"," "" She should n't have come over ... """," "" Neměla tam chodit. """
"lying","lie","ležel","ležet","impf"," "" I had to ... you were lying there, "" she protested."," "" Musela jsem ... když jsi tam tak ležel, "" bránila se."
"looking","look","díval","dívat","impf"," He went on looking at me."," Colin se na mě upřeně díval."
"looked","look","nedíval","dívat","impf"," I 've never looked inside it."," Dovnitř jsem se nedíval."
"nodded","nod","přikývl","přikývnout","pf"," The tall man nodded."," Vysoký pán přikývl."
"started","start","nastartovalo","nastartovat","pf"," Outside on the airfield the trainer started up and taxied away."," Zaslechl jsem, jak venku cvičné letadlo nastartovalo a odjíždělo."
"faded","fade","slábl","slábnout","impf"," The engine noise faded."," Hluk motoru slábl."
"stirred","stir","pohnul","pohnout","pf"," Finally he stirred."," Konečně se trochu pohnul."
"come","come","přijít","přijít","pf"," "" All in all, for all our trouble, we have come up with only one probability."," "" No, mohu říct, že po vší naší námaze se nám podařilo přijít jen na jeden detail."
"thought","think","myslela","myslet","impf"," "" I thought it was solved already. """," "" Já myslela, že záhada je už vysvětlená. """
"appeared","appear","neobjevil","objevit","pf"," But however strong a motive he had to kill Colin or ruin Derrydowns, and none had so far appeared bar a few trivial frauds, if it was true it was a radio and not a time bomb he could n't have set it off because when it exploded he was in Turkey."," Zatím nikdo neobjevil žádný motiv, proč by byl Larry chtěl zničit firmu, snad kromě několika bezvýznamných, drobných podvodů, kterých se dopustil, ale i kdyby nějaký motiv existoval, třeba i velmi závažný, nemohl to udělat, protože nemohl způsobit explozi bomby pomocí vysílačky, když byl v okamžiku výbuchu na cestě do Turecka."
"kill","kill","zničit","zničit","pf"," But however strong a motive he had to kill Colin or ruin Derrydowns, and none had so far appeared bar a few trivial frauds, if it was true it was a radio and not a time bomb he could n't have set it off because when it exploded he was in Turkey."," Zatím nikdo neobjevil žádný motiv, proč by byl Larry chtěl zničit firmu, snad kromě několika bezvýznamných, drobných podvodů, kterých se dopustil, ale i kdyby nějaký motiv existoval, třeba i velmi závažný, nemohl to udělat, protože nemohl způsobit explozi bomby pomocí vysílačky, když byl v okamžiku výbuchu na cestě do Turecka."
"ruin","ruin","zničit","zničit","pf"," But however strong a motive he had to kill Colin or ruin Derrydowns, and none had so far appeared bar a few trivial frauds, if it was true it was a radio and not a time bomb he could n't have set it off because when it exploded he was in Turkey."," Zatím nikdo neobjevil žádný motiv, proč by byl Larry chtěl zničit firmu, snad kromě několika bezvýznamných, drobných podvodů, kterých se dopustil, ale i kdyby nějaký motiv existoval, třeba i velmi závažný, nemohl to udělat, protože nemohl způsobit explozi bomby pomocí vysílačky, když byl v okamžiku výbuchu na cestě do Turecka."
