"said","say","řekl","říci","pf"," “ No, no, it is not so bad as that, ” said Holmes, smiling."," "" Snad to nebude tak hrozné, "" řekl Holmes s úsměvem."
"call","call","neříkejte","říkat","impf"," “ No, no, don ’ t call it a pose."," "" Ne, ne, neříkejte tomu role."
"enjoy","enjoy","Těší","těšit","impf"," I enjoy it. ”"," Těší mne to. """
"play","play","hrajete","hrát","impf"," You yacht against them, you hunt with them, you play polo, you match them in every game, your four-in-hand takes the prize at Olympia."," Závodíte s nimi na jejich regatě, účastníte se jejich honů, hrajete pólo, vyrovnáte se jim v každém sportu, vaše čtyřspřeží získá na olympiádě cenu."
"match","match","vyrovnáte","vyrovnat","pf"," You yacht against them, you hunt with them, you play polo, you match them in every game, your four-in-hand takes the prize at Olympia."," Závodíte s nimi na jejich regatě, účastníte se jejich honů, hrajete pólo, vyrovnáte se jim v každém sportu, vaše čtyřspřeží získá na olympiádě cenu."
"takes","take","získá","získat","pf"," You yacht against them, you hunt with them, you play polo, you match them in every game, your four-in-hand takes the prize at Olympia."," Závodíte s nimi na jejich regatě, účastníte se jejich honů, hrajete pólo, vyrovnáte se jim v každém sportu, vaše čtyřspřeží získá na olympiádě cenu."
"asked","ask","zeptal","zeptat","pf"," “ Well? ” asked Von Bork eagerly, running forward to meet his visitor."," "" Tak co? "" zeptal se von Bork dychtivě, když doběhl k návštěvníkovi."
"waved","wave","zamával","zamávat","pf"," For answer the man waved a small brown-paper parcel triumphantly above his head."," Ten místo odpovědi zamával vítězoslavně nad hlavou malým balíčkem v hnědém papíru."
"cried","cry","zvolal","zvolat","pf"," “ You can give me the glad hand to-night, mister, ” he cried."," "" Dneska mi můžete zatleskat, vašnosti, "" zvolal."
"bringing","bring","Nesu","nést","impf"," “ I ’ m bringing home the bacon at last. ”"," "" Nesu si pěknou vejslužku. """
"said","say","slíbil","slíbit","pf"," “ Same as I said in my cable."," "" Jak jsem to slíbil v telegramu."
"set","set","dát","dát","pf"," There was a good deal of tidying up to do inside his study and he set himself to do it until his keen, handsome face was flushed with the heat of the burning papers."," Musel dát v pracovně do pořádku ještě mnoho věcí a pustil se do díla, až jeho bystrý, hezký obličej celý zrudl od žáru spalovaných listin."
"stood","stand","měl","mít","impf"," A leather valise stood beside his table, and into this he began to pack very neatly and systematically the precious contents of his safe."," U stolu měl připravený kožený kufr, a do něho se teď jal úhledně a systematicky skládat drahocenný obsah sejfu."
"started","start","začal","začít","pf"," He had hardly got started with the work, however, when his quick ears caught the sounds of a distant car."," Sotva však začal, už svým jemným sluchem zachytil zdáli hukot automobilu."
"caught","catch","zachytil","zachytit","pf"," He had hardly got started with the work, however, when his quick ears caught the sounds of a distant car."," Sotva však začal, už svým jemným sluchem zachytil zdáli hukot automobilu."
"follow","follow","Sleduji","sledovat","impf"," “ It is my business to follow the details of Continental crime."," "" Sleduji z odborných důvodů dopodrobna zločiny na kontinentě."
"read","read","přečetl","přečíst","pf"," Who could possibly have read what happened at Prague and have any doubts as to the man ’ s guilt!"," Kdo si přečetl, co se odehrálo v Praze, sotva mohl zůstat na pochybách, zda je ten člověk vinen."
"happened","happen","odehrálo","odehrát","pf"," Who could possibly have read what happened at Prague and have any doubts as to the man ’ s guilt!"," Kdo si přečetl, co se odehrálo v Praze, sotva mohl zůstat na pochybách, zda je ten člověk vinen."
"saved","save","Zachránila","zachránit","pf"," It was a purely technical legal point and the suspicious death of a witness that saved him!"," Zachránila ho pouze právnická firma a podezřelé úmrtí jistého svědka."
"killed","kill","zabil","zabít","pf"," I am as sure that he killed his wife when the socalled ‘ accident ’ happened in the Splugen Pass as if I had seen him do it."," Jsem tak skálopevně přesvědčen, že při takzvané ' nehodě ' v Splugenském průsmyku svou choť zabil, jako kdybych ho byl pozoroval při činu."
"seen","see","pozoroval","pozorovat","impf"," I am as sure that he killed his wife when the socalled ‘ accident ’ happened in the Splugen Pass as if I had seen him do it."," Jsem tak skálopevně přesvědčen, že při takzvané ' nehodě ' v Splugenském průsmyku svou choť zabil, jako kdybych ho byl pozoroval při činu."
"observed","observe","poznamenal","poznamenat","pf"," “ I have the ordinary knowledge of the educated medical man, ” he observed with some stiffness."," "" Vím o nich tolik, co každý vzdělaný lékař, "" poznamenal pan Kent poněkud škrobeně."
"agree","agree","souhlasit","souhlasit","impf"," “ I have no doubt, sir, that you are fully competent, but I am sure that you will agree that in such a case a second opinion is valuable."," "" Vůbec nepochybuji o vaší odborné způsobilosti, milý pane, ale budete se mnou zajisté souhlasit, že v takovýchto případech bývá užitečné vyslechnout další názor."
"avoided","avoid","Vyhnuli","vyhnout","pf"," You have avoided this, I understand, for fear that pressure should be put upon you to segregate the patient. ”"," Vyhnuli jste se tomu, jak jsem vyrozuměl, z obav před nátlakem, aby byl pacient přemístěn do izolace. """
"said","say","řekl","říci","pf"," “ That is so, ” said Colonel Emsworth."," "" Přesně tak, "" řekl plukovník Emsworth."
"dominated","dominate","ovládl","ovládnout","pf"," The big, masterful aristocrat dominated the little room."," Vysoký, energický, sebejistý aristokrat ovládl nevelkou místnost."
"turned","turn","obrátil","obrátit","pf"," Then he turned upon me, gazing at me in the utmost amazement."," Pak se obrátil a zahleděl se na mne s nesmírným úžasem."
"asked","ask","zeptal","zeptat","pf"," ‘ How in the world did you come here? ’ he asked in amazement."," ' Jak jste se sem, pro všechno na světě, dostal? ' zeptal se, jako by svým očím nevěřil."
"played","play","hrál","hrát","impf"," For a short time he played polo at Hurlingham, but then this Prague affair got noised about and he had to leave."," Krátký čas hrál pólo v Hurlinghamu, ale pak se začala přetřásat ta pražská aféra a on se musel odporoučet."
"collects","collect","Sbírá","sbírat","impf"," He collects books and pictures."," Sbírá knihy a obrazy."
"written","write","sepsal","sepsat","pf"," He is, I believe, a recognized authority upon Chinese pottery and has written a book upon the subject. ”"," Pokud vím, je uznávanou autoritou na čínský porcelán a sepsal na toto téma knihu. """
"said","say","řekl","říci","pf"," “ A complex mind, ” said Holmes."," "" Složitá duše, "" řekl Holmes."
"tell","tell","vyprávím","vyprávět","impf"," Alas, that I should have to show my hand so when I tell my own story!"," Běda mi, že musím tak odhalovat karty, když vyprávím vlastní příběh!"
"heard","hear","Slyšeli","slyšet","impf"," We heard his quick, heavy step in the passage."," Slyšeli jsme jeho rychlé těžké kroky na chodbě."
"seen","see","neviděl","vidět","impf"," The door was flung open and he rushed in with bristling beard and twisted features, as terrible an old man as ever I have seen."," Dveře se rozletěly a on vtrhl dovnitř, vousy celé naježené a tvář zkřivenou : hrozivějšího starce jsem snad ještě neviděl."
"shown","show","uvedl","uvést","pf"," I was shown straight into his study, and there I found him, a huge, bow-backed man with a smoky skin and a straggling gray beard, seated behind his littered desk."," Lokaj mne uvedl přímo k němu do pracovny, a tak jsem ho poznal osobně : rozložitý, nahrbený muž snědé pleti, s ježatými prošedivělými vousy, usazený za přeplněným psacím stolem."
"saying","say","nemluvil","mluvit","impf"," “ I could deceive you by saying so, Mr. Holmes, but it would not be true."," "" Mohl bych vás oklamat, kdybych přitakal, pane Holmesi, ale nemluvil bych pravdu."
"examine","examine","vyslýchat","vyslýchat","impf"," It is said that the barrister who crams up a case with such care that he can examine an expert witness upon the Monday has forgotten all his forced knowledge before the Saturday."," Říkává se, že advokát, který prostuduje nějaký případ s takovou péčí, že v pondělí může vyslýchat svědka předvolaného jako znalce, do soboty všechny ty zhltané vědomosti zapomene."
"forgotten","forget","zapomene","zapomenout","pf"," It is said that the barrister who crams up a case with such care that he can examine an expert witness upon the Monday has forgotten all his forced knowledge before the Saturday."," Říkává se, že advokát, který prostuduje nějaký případ s takovou péčí, že v pondělí může vyslýchat svědka předvolaného jako znalce, do soboty všechny ty zhltané vědomosti zapomene."
"like","like","nechtěl","chtít","impf"," Certainly I should not like now to pose as an authority upon ceramics."," Jistěže bych nikde nechtěl vystupovat jako znalec čínského porculánu."
"shown","show","Neukázal","ukázat","pf"," I ’ ve never shown you my little store."," Neukázal jsem vám dosud svůj archiv."
"adjusted","adjust","vyrovnal","vyrovnat","pf"," He then closed the door behind the bulky form which followed him and carefully adjusted the heavy curtain over the latticed window."," Zamkl pak za mohutnou postavou, která mu vstoupila v patách, a pečlivě vyrovnal těžký závěs na zamřížovaném okně."
"write","write","napsal","napsat","pf"," For a long time he has worried me to write an experience of my own."," Už dlouhý čas na mne naléhá, abych některé své zážitky napsal sám."
"accuse","accuse","obviňoval","obviňovat","impf"," Perhaps I have rather invited this persecution, since I have often had occasion to point out to him how superficial are his own accounts and to accuse him of pandering to popular taste instead of confining himself rigidly to facts and figures."," Snad jsem si toto pronásledování vysloužil, jelikož jsem si často našel důvod mu vytknout, že líčí události příliš povrchně, a obviňoval jsem ho, že se podřizuje líbivému vkusu, namísto aby se přísně přidržoval fakt a čísel."
"remain","remain","zbývá","zbývat","impf"," It may well be that several explanations remain, in which case one tries test after test until one or other of them has a convincing amount of support."," Stává se, že zbývá několik vysvětlení, v kterémžto případě je podrobíte dalším a dalším ověřovacím zkouškám, a pro to či ono získáte přesvědčivé důkazy."
"apply","apply","Použijme","použít","pf"," We will now apply this principle to the case in point."," Použijme nyní toho principu v daném případě."
"presented","present","předložena","předložit","pf"," As it was first presented to me, there were three possible explanations of the seclusion or incarceration of this gentleman in an outhouse of his father ’ s mansion."," Když mi byla poprvé předložena fakta, nabízely se tři možné výklady, proč je dotyčný pán nucen dlít v odloučení nebo ve vazbě v malém domku na otcově panství."
"meet","meet","setkávám","setkávat","impf"," I like to meet him eye to eye and read for myself the stuff that he is made of."," Rád se setkávám s protivníkem osobně, abych posoudil, co utváří jeho povahu."
"written","write","psal","psát","impf"," But the letter was written in the afternoon, and a good deal has happened since then."," Ale psal jsem ten dopis odpoledne, a od té doby se toho přihodilo ještě mnoho."
"glanced","glance","pohlédla","pohlédnout","pf"," She curtseyed with a smile to Mr. Holmes, but glanced with some apprehension at the figure upon the sofa."," Udělala panu Holmesovi pukrle a usmála se na něho, ale pohlédla úzkostlivě na postavu ležící na otomanu."
"hurt","hurt","neublížili","ublížit","pf"," He has not been hurt at all. ”"," Vůbec jsme mu neublížili. """
"wanted","want","Chtěl","chtít","impf"," He wanted me to go with his wife to Germany yesterday, but that would hardly have suited your plans, would it, sir? ”"," Chtěl, abych zůstala s jeho paní, když včera odjížděli do Německa, ale to by se vám asi nehodilo, viďte? """
"see","see","starat","starat","impf"," It ’ s up to you to see that they don ’ t fall down."," Takže se máte starat, aby se nedostali do maléru."
"sat","sit","seděl","sedět","impf"," He was out of bed now, though you would not have guessed it from the published reports, and he sat with his much-bandaged head resting upon his hand in the depth of his favourite armchair."," Vstal již z lůžka, ač by se toho podle novinových zpráv nikdo nenadál, a seděl zabořen v oblíbeném křesle, podpíraje si důkladně ovázanou hlavu rukou."
"said","say","řekl","říci","pf"," “ Why, Holmes, ” I said, “ if one believed the papers, you are dying. ”"," "" Ale, Holmesi, "" řekl jsem, "" podle novin máte ležet na smrtelné posteli. """
"intended","intend","hodlal","hodlat","impf"," “ That, ” said he, “ is the very impression which I intended to convey."," "" Přesně takový dojem, "" odvětil, "" jsem hodlal vzbudit."
"tried","try","snažil","snažit","impf"," “ At least I have tried to. ”"," "" Přinejmenším jsem se snažil. """
"said","say","pravil","pravit","pf"," ‘ I rather thought I should see you sooner or later, Mr. Holmes, ’ said he."," ' Tušil jsem, že se dříve či později sejdeme, pane Holmesi, ' pravil."
"engaged","engage","Najal","najmout","pf"," ‘ You have been engaged, no doubt by General de Merville, to endeavour to stop my marriage with his daughter, Violet."," ' Najal si vás bezpochyby generál de Merville, abyste se pokusil překazit můj sňatek s jeho dcerou Violet."
"succeed","succeed","uspět","uspět","pf"," It is not a case in which you can possibly succeed."," V tomto případě nemůžete uspět."
"told","tell","vyprávěl","vyprávět","impf"," Then I pursued him, as I have told you, but without result. ”"," Pak jsem za ním běžel, jak jsem vám vyprávěl, leč bezúspěšně. """
"described","describe","popsal","popsat","pf"," When, after a considerable drive, we arrived at the strange old rambling house which my client had described, it was Ralph, the elderly butler, who opened the door."," Když jsme po delší jízdě dospěli k podivnému rozlehlému starobylému sídlu, jež můj klient popsal, přišel nám otevřít onen starý lokaj Ralph."
"arrived","arrive","přišel","přijít","pf"," When, after a considerable drive, we arrived at the strange old rambling house which my client had described, it was Ralph, the elderly butler, who opened the door."," Když jsme po delší jízdě dospěli k podivnému rozlehlému starobylému sídlu, jež můj klient popsal, přišel nám otevřít onen starý lokaj Ralph."
"opened","open","otevřít","otevřít","pf"," When, after a considerable drive, we arrived at the strange old rambling house which my client had described, it was Ralph, the elderly butler, who opened the door."," Když jsme po delší jízdě dospěli k podivnému rozlehlému starobylému sídlu, jež můj klient popsal, přišel nám otevřít onen starý lokaj Ralph."
"looking","look","vyhlíží","vyhlížet","impf"," From below the two glowing ends of their cigars might have been the smouldering eyes of some malignant fiend looking down in the darkness."," Kdyby sem byl někdo vzhlédl zdola, mohl pokládat žhnoucí špičky jejich doutníků za ohnivé oči nějaké zlolajné nestvůry, která vyhlíží do tmy."
"matched","match","nevyrovnal","vyrovnat","pf"," A remarkable man this Von Bork-a man who could hardly be matched among all the devoted agents of the Kaiser."," Ten von Bork byl pozoruhodný muž - ze všech oddaných agentů císaře Viléma se mu hned tak někdo nevyrovnal."
"think","think","pomyslel","pomyslet","pf"," It was a relief to him, however, to think that they were all in safety and that, but for that one old woman who had lingered in the kitchen, he had the whole place to himself."," S úlevou si však pomyslel, že jsou všichni v bezpečí a že až na tu starou služku, která tak dlouho šukala po kuchyni, má celé sídlo pro sebe."
"think","think","má","mít","impf"," It was a relief to him, however, to think that they were all in safety and that, but for that one old woman who had lingered in the kitchen, he had the whole place to himself."," S úlevou si však pomyslel, že jsou všichni v bezpečí a že až na tu starou služku, která tak dlouho šukala po kuchyni, má celé sídlo pro sebe."
"said","say","Říká","říkat","impf"," He is said to have the whole sex at his mercy and to have made ample use of the fact. ”"," Říká se, že je mu ženská bytost vydána na milost a nemilost a že této skutečnosti vždy hojně využíval. """
"paid","pay","platilo","platit","impf"," The company, though select, paid their own passages."," Byla to sezvaná společnost, ale za lodní lístek se platilo."
"led","lead","pohnula","pohnout","pf"," I could have wept over the ruin had I not remembered very clearly the vile life which had led up to so hideous a change."," Taková zkáza by mne byla pohnula k slzám, kdybych nebyl měl v živé paměti, jak zlotřilý život vedl k té ohavné proměně."
"led","lead","vedl","vést","impf"," I could have wept over the ruin had I not remembered very clearly the vile life which had led up to so hideous a change."," Taková zkáza by mne byla pohnula k slzám, kdybych nebyl měl v živé paměti, jak zlotřilý život vedl k té ohavné proměně."
"arrived","arrive","Přibyl","přibýt","pf"," An inspector of police had also arrived, and to him I handed my real card."," Přibyl také inspektor od policie a tomu jsem dal svou pravou navštívenku."
"handed","hand","dal","dát","pf"," An inspector of police had also arrived, and to him I handed my real card."," Přibyl také inspektor od policie a tomu jsem dal svou pravou navštívenku."
"finishing","finish","Končil","končit","impf"," I was finishing this little analysis of the case when the door was opened and the austere figure of the great dermatologist was ushered in."," Končil jsem právě rozbor tohoto případu, když se dveře otevřely a v nich se objevila výrazná postava slavného dermatologa."
"opened","open","otevřely","otevřít","pf"," I was finishing this little analysis of the case when the door was opened and the austere figure of the great dermatologist was ushered in."," Končil jsem právě rozbor tohoto případu, když se dveře otevřely a v nich se objevila výrazná postava slavného dermatologa."
"bring","bring","přinášet","přinášet","impf"," “ It is often my lot to bring ill-tidings and seldom good, ” said he."," "" Často bývá mým údělem přinášet zprávy zlé a zřídkakdy dobré, "" řekl."
"said","say","řekl","říci","pf"," “ It is often my lot to bring ill-tidings and seldom good, ” said he."," "" Často bývá mým údělem přinášet zprávy zlé a zřídkakdy dobré, "" řekl."
"asked","ask","požádal","požádat","pf"," I had requisitioned the carriage for the day and had asked my elderly friend to remain within it unless we should summon him."," Najal jsem kočár na celý den a požádal jsem nyní svého váženého přítele, aby počkal ve voze, dokud bychom pro něho neposlali."
"wore","wear","Měl","mít","impf"," He wore brown leather gloves, which at sight of us he instantly shuffled off, laying them down on the hall-table as we passed in."," Měl na rukou hnědé kožené rukavice, které stáhl, sotva nás spatřil, a odložil je na stolek v hale, kam jsme vstoupili."
"notified","notify","uvědoměny","uvědomit","pf"," It is not illegal, however, to keep a lunatic upon private premises so long as there is a qualified person in attendance and that the authorities have been duly notified."," Zákon však dovoluje, aby choromyslný zůstal v soukromé péči, pokud se o něho stará kvalifikovaná osoba a úřady o tom byly patřičně uvědoměny."
"remained","remain","Zůstávala","zůstávat","impf"," There remained the third possibility, into which, rare and unlikely as it was, everything seemed to fit."," Zůstávala však třetí možnost, sice ojedinělá a nepravděpodobná, která však vysvětlovala všechny známé skutečnosti."
"smiled","smile","usmál","usmát","pf"," Holmes smiled."," Holmes se usmál."
"help","help","pomoct","pomoci","pf"," “ If I can help to put him where he belongs, I ’ m yours to the rattle, ” said our visitor with fierce energy."," "" Jestli vám můžu nějak pomoct, aby se dostal, kam patří, jsem vám k službám, "" zvolala naše návštěvnice divoce."
"signed","sign","podepsal","podepsat","pf"," Steiner is the fifth man you ’ ve lost since I signed on with you, and I know the name of the sixth if I don ’ t get a move on."," Steiner je pátej malér, co jsem vám to podepsal, a já vím, kdo bude šestej, jestli se nevypařím."
"explain","explain","vysvětlíte","vysvětlit","pf"," How do you explain it, and ain ’ t you ashamed to see your men go down like this? ”"," Jak mi to vysvětlíte, a nestydíte se, že vám vaši lidi takhle kapou? """
"speak","speak","mluvit","mluvit","impf"," “ How dare you speak in such a way! ”"," "" Co si to dovolujete, takhle se mnou mluvit! """
"say","say","Řeknu","říci","pf"," To say that she loves him hardly expresses it."," Řeknu - li, že ho miluje, nevystihnu skutečnost ani zpola."
"loves","love","miluje","milovat","impf"," To say that she loves him hardly expresses it."," Řeknu - li, že ho miluje, nevystihnu skutečnost ani zpola."
"cure","cure","vyléčili","vyléčit","pf"," Everything has been done to cure her of her madness, but in vain."," Nelitovali jsme námahy, abychom ji z toho šílenství vyléčili, ale vše nadarmo."
"added","add","dodal","dodat","pf"," Besides, ” he added, not unkindly, as he laid his hand upon the shoulder of the prostrate man, “ it is better than to fall before some ignoble foe."," Ostatně, "" dodal, nikoli bez pochopení i soucitu, a sevřel ležícímu muži rameno, "" je to lepší než padnout do ruky nedůstojnému protivníku."
"fall","fall","padnout","padnout","pf"," Besides, ” he added, not unkindly, as he laid his hand upon the shoulder of the prostrate man, “ it is better than to fall before some ignoble foe."," Ostatně, "" dodal, nikoli bez pochopení i soucitu, a sevřel ležícímu muži rameno, "" je to lepší než padnout do ruky nedůstojnému protivníku."
"help","help","Pomůžete","pomoci","pf"," If you will help me with our prisoner, I think that we may get started for London at once. ”"," Pomůžete - li mi se zajatcem, můžeme se bezodkladně rozjet do Londýna. """
"move","move","Přemístit","přemístit","pf"," It was no easy task to move Von Bork, for he was a strong and a desperate man."," Přemístit von Borka do auta nebyl lehký úkol, protože to byl silný a v zoufalství ke všemu odhodlaný člověk."
"stand","stand","má","mít","impf"," The old man was sometimes a bully, and young Godfrey had too much spirit to stand it."," Plukovník je starý tyran a Godfrey má příliš prudkou krev, aby si dal líbit nějaké poručníkování."
"get","get","dostanu","dostat","pf"," No, I wasn ’ t satisfied, and I determined that I would get to the root of the matter."," Ne, nemohl jsem se s tím spokojit a umínil jsem si, že se dostanu věci na kloub."
"mention","mention","zmínit","zmínit","pf"," I have not had occasion to mention Shinwell Johnson in these memoirs because I have seldom drawn my cases from the latter phases of my friend ’ s career."," Neměl jsem dosud příležitost zmínit se v těchto pamětech o Shinwellu Johnsonovi, jelikož jsem si jen zřídkakdy volil případy z pozdějšího údobí přítelovy životní dráhy."
"made","make","nucen","nutit","impf"," Johnson, I grieve to say, made his name first as a very dangerous villain and served two terms at Parkhurst."," Jsem nucen s politováním konstatovat, že zprvu proslul jako nebezpečný zločinec a odseděl si dva tresty v Parkhurstu."
"obtaining","obtain","získával","získávat","impf"," Finally he repented and allied himself to Holmes, acting as his agent in the huge criminal underworld of London and obtaining information which often proved to be of vital importance."," Poté se obrátil na cestu ctnosti a přidružil se k Holmesovi, v jehož službách se pak pohyboval rozlehlým zločineckým podsvětím Londýna a získával informace, které pro nás často měly cenu zlata."
"assure","assure","ujistit","ujistit","pf"," It is important that I should be able to assure him that his honoured name has been in no way dragged into the matter."," Je nezbytné, abych ho mohl ujistit, že jeho vážené jméno nebude do této záležitosti žádným způsobem zataženo."
"need","need","Nemusím","muset","impf"," I need not say that your fees will be assured and that you will be given a perfectly free hand."," Nemusím ani zdůrazňovat, že váš honorář je zajištěn a že budete mít ve všem volnou ruku."
"assured","assure","zajištěn","zajistit","pf"," I need not say that your fees will be assured and that you will be given a perfectly free hand."," Nemusím ani zdůrazňovat, že váš honorář je zajištěn a že budete mít ve všem volnou ruku."
"said","say","řekl","říci","pf"," “ I am sorry, ” said Holmes."," "" Bohužel, "" řekl Holmes."
"led","lead","vedl","vést","impf"," There was a curious secretive streak in the man which led to many dramatic effects, but left even his closest friend guessing as to what his exact plans might be."," Ten člověk měl v sobě zvláštní sklon k tajnůstkářství, který vedl k mnoha dramatickým překvapením, avšak způsoboval, že i jeho nejdůvěrnější přátelé mohli jen hádat, co vlastně zamýšlí."
"guessing","guess","hádat","hádat","impf"," There was a curious secretive streak in the man which led to many dramatic effects, but left even his closest friend guessing as to what his exact plans might be."," Ten člověk měl v sobě zvláštní sklon k tajnůstkářství, který vedl k mnoha dramatickým překvapením, avšak způsoboval, že i jeho nejdůvěrnější přátelé mohli jen hádat, co vlastně zamýšlí."
"gripped","grip","Uchopil","uchopit","pf"," I gripped the old man by the shoulder, but he shrank away."," Uchopil jsem starce za rameno, ale on přede mnou ustoupil."
"shrank","shrink","ustoupil","ustoupit","pf"," I gripped the old man by the shoulder, but he shrank away."," Uchopil jsem starce za rameno, ale on přede mnou ustoupil."
"mean","mean","myslíte","myslet","impf"," ‘ I don ’ t know what you mean, sir."," ' Nerozumím vám, jak to myslíte, pane."
"Ask","ask","Zeptejte","zeptat","pf"," Ask the master about Master Godfrey."," Zeptejte se našeho pána na mladého pana Godfreye."
"leaving","leave","odejít","odejít","pf"," He was leaving the room, but I held his arm."," Chtěl odejít, ale já mu svíral paži."
"held","hold","svíral","svírat","impf"," He was leaving the room, but I held his arm."," Chtěl odejít, ale já mu svíral paži."
"said","say","řekl","říci","pf"," ‘ Listen, ’ I said."," ' Heleďte, ' řekl jsem."
"answer","answer","Zodpovíte","zodpovědět","pf"," ‘ You are going to answer one question before you leave if I have to hold you all night."," ' Zodpovíte mi jednu otázku, než vás pustím, kdybych vás tu měl držet celou noc."
"hold","hold","měl","mít","impf"," ‘ You are going to answer one question before you leave if I have to hold you all night."," ' Zodpovíte mi jednu otázku, než vás pustím, kdybych vás tu měl držet celou noc."
"hold","hold","držet","držet","impf"," ‘ You are going to answer one question before you leave if I have to hold you all night."," ' Zodpovíte mi jednu otázku, než vás pustím, kdybych vás tu měl držet celou noc."
"said","say","řekl","říci","pf"," “ I ’ ve been in the study, ” said Holmes."," "" Byl jsem v pracovně, "" řekl Holmes."
"started","start","začal","začít","pf"," You haven ’ t been slow on the job if you only started this morning."," To vám jde teda práce od ruky, když jste s tím začal až dneska."
"think","think","domníváte","domnívat","impf"," ‘ So you think. ’"," ' To se domníváte vy. '"
"Let","let","dovolit","dovolit","pf"," Let me make the thing clear to you, for my own hand is so strong that I can afford to show it."," Objasním vám situaci, jelikož držím v ruce tak dobré karty, že si mohu dovolit vyložit je na stůl."
"afford","afford","dovolit","dovolit","pf"," Let me make the thing clear to you, for my own hand is so strong that I can afford to show it."," Objasním vám situaci, jelikož držím v ruce tak dobré karty, že si mohu dovolit vyložit je na stůl."
"win","win","získal","získat","pf"," I have been fortunate enough to win the entire affection of this lady."," Měl jsem to štěstí, že jsem získal bezvýhradnou náklonnost oné dámy."
"given","give","Věnovala","věnovat","impf"," This was given to me in spite of the fact that I told her very clearly of all the unhappy incidents in my past life."," Věnovala mi ji přesto, že jsem ji nezastřeně obeznámil se všemi neblahými okolnostmi svého minulého života."
"speaking","speak","hovořil","hovořit","impf"," But you were speaking of your papers. ”"," Vy jste však hovořil o svých dokumentech. """
"sat","sit","Usedl","usednout","pf"," He sat in the armchair with the light shining upon his broad bald head, while he puffed sedately at his cigar."," Usedl do křesla pod lampu, jejíž světlo mu oblévalo širokou holou hlavu, a bafal důstojně z doutníku."
"assured","assure","ujistil","ujistit","pf"," Our friend upon the sofa has assured me that it is from Franz Josef ’ s special cellar at the Schoenbrunn Palace."," Tuhle náš přítel na otomanu mne ujistil, že pochází z vybraných sklepů Franze Josefa v Schönbrunnu."
"trouble","trouble","obtěžovat","obtěžovat","impf"," Might I trouble you to open the window, for chloroform vapour does not help the palate. ”"," Směl bych vás obtěžovat, abyste otevřel okno, neboť chloroformové výpary otupují chuťové vnímání. """
"open","open","otevřel","otevřít","pf"," Might I trouble you to open the window, for chloroform vapour does not help the palate. ”"," Směl bych vás obtěžovat, abyste otevřel okno, neboť chloroformové výpary otupují chuťové vnímání. """
"examining","examine","prohlédl","prohlédnout","pf"," The safe was ajar, and Holmes standing in front of it was removing dossier after dossier, swiftly examining each, and then packing it neatly in Von Bork ’ s valise."," Sejf byl dokořán, Holmes stál před ním a vybíral jeden svazek listin za druhým, každý rychle prohlédl a pak jej úhledně narovnal do von Borkova zavazadla."
"passed","pass","míjel","míjet","impf"," I had a good look at the little house as I passed it, but the windows were heavily curtained, and, so far as one could see, it was empty."," Dobře jsem si ten domek prohlédl, když jsem jej míjel, ale v oknech visely těžké záclony a na první pohled připadal člověku neobydlený."
"spoil","spoil","pokazil","pokazit","pf"," I might spoil my own game and even be ordered off the premises if I were too audacious, for I was still conscious that I was being watched."," Obával jsem se, že bych si pokazil rozehranou partii a riskoval třeba i vyhazov, kdybych postupoval příliš odvážně, neboť jsem si uvědomoval, že jsem stále pozorován."
"watched","watch","pozorován","pozorovat","impf"," I might spoil my own game and even be ordered off the premises if I were too audacious, for I was still conscious that I was being watched."," Obával jsem se, že bych si pokazil rozehranou partii a riskoval třeba i vyhazov, kdybych postupoval příliš odvážně, neboť jsem si uvědomoval, že jsem stále pozorován."
"says","say","povídá","povídat","impf"," ‘ Nothin ’ doin ’! ’ says he, and he meant it, too, but the last hundred did it."," ' A šmytec! ' povídá a myslel to dovopravdy, jenže ta poslední stovka to dokázala."
"meant","mean","myslel","myslet","impf"," ‘ Nothin ’ doin ’! ’ says he, and he meant it, too, but the last hundred did it."," ' A šmytec! ' povídá a myslel to dovopravdy, jenže ta poslední stovka to dokázala."
"give","give","dám","dát","pf"," It ’ s cost me two hundred pound from first to last, so it isn ’ t likely I ’ d give it up without gettin ’ my wad. ”"," Stálo mě to vod počátku dvě stě liber, takže vám to sotva dám bez mýho paklíčku. """
"smiled","smile","usmál","usmát","pf"," Von Bork smiled with some bitterness."," Von Bork se trochu hořce usmál."
"said","say","řekl","říci","pf"," “ You don ’ t seem to have a very high opinion of my honour, ” said he, “ you want the money before you give up the book. ”"," "" Zdá se, že nemáte příliš vysoké mínění o mé cti, "" řekl, "" když chcete peníze, než mi dáte dokumenty. """
"want","want","chcete","chtít","impf"," “ You don ’ t seem to have a very high opinion of my honour, ” said he, “ you want the money before you give up the book. ”"," "" Zdá se, že nemáte příliš vysoké mínění o mé cti, "" řekl, "" když chcete peníze, než mi dáte dokumenty. """
"give","give","dáte","dát","pf"," “ You don ’ t seem to have a very high opinion of my honour, ” said he, “ you want the money before you give up the book. ”"," "" Zdá se, že nemáte příliš vysoké mínění o mé cti, "" řekl, "" když chcete peníze, než mi dáte dokumenty. """
"Start","start","Nastartujte","nastartovat","pf"," Start her up, Watson, for it ’ s time that we were on our way."," Nastartujte, Watsone, musíme se už vydat na cestu."
