"found","find","našlo","najít","pf"," ‘ The garment found on the strand was placed there in order to mislead?"," "" To tílko, které se našlo na pobřeží, tam bylo nastražené, mělo svést ze stopy?"
"left","leave","odešel","odejít","pf"," When he left the room he closed the door softly behind him and stood for a moment in case there was anything to listen for, then moved away when there was not."," Při odchodu z místnosti za sebou tiše zavřel a chvíli stál u dveří pro případ, že by se zevnitř cokoli ozvalo, ale nic se neozvalo, a tak odešel."
"talk","talk","mluvila","mluvit","impf"," Once she used to talk on this journey, asking Henry to tell her about Paddy Lindon, how he would appear in Kilauran once a year at the time of Corpus Christi, a wild figure with mushrooms in a red handkerchief."," Kdysi na téhle cestě mluvila, vyptávala se Henryho na Paddyho Lindona, jak se objevil v Kilauranu jednou v roce kolem svátku Božího těla, divoch s houbami v červeném šátku."
"tell","tell","mluvila","mluvit","impf"," Once she used to talk on this journey, asking Henry to tell her about Paddy Lindon, how he would appear in Kilauran once a year at the time of Corpus Christi, a wild figure with mushrooms in a red handkerchief."," Kdysi na téhle cestě mluvila, vyptávala se Henryho na Paddyho Lindona, jak se objevil v Kilauranu jednou v roce kolem svátku Božího těla, divoch s houbami v červeném šátku."
"appear","appear","objevil","objevit","pf"," Once she used to talk on this journey, asking Henry to tell her about Paddy Lindon, how he would appear in Kilauran once a year at the time of Corpus Christi, a wild figure with mushrooms in a red handkerchief."," Kdysi na téhle cestě mluvila, vyptávala se Henryho na Paddyho Lindona, jak se objevil v Kilauranu jednou v roce kolem svátku Božího těla, divoch s houbami v červeném šátku."
"attempted","attempt","pokusila","pokusit","pf"," The first embroidery she attempted was of the pear tree in the yard, the second of the crossing stones she and her father had arranged at the shallow part of the stream, another of the pinks that thrived on the cliffs."," Na první výšivce, o niž se pokusila, byla hrušeň na dvoře, na druhé kameny, které s otcem poskládala v mělké části potoka, a na další hvozdíky, jimž se dařilo na útesech."
"seeing","see","podívejme","podívat","pf"," ‘ Well, I never! ’ Mr Sullivan exclaimed with genuine admiration, seeing this work for the first time."," "" No to se podívejme! "" zvolal pan Sullivan s nefalšovaným obdivem, když její dílo poprvé spatřil."
"exclaimed","exclaim","zvolal","zvolat","pf"," ‘ Well, I never! ’ Mr Sullivan exclaimed with genuine admiration, seeing this work for the first time."," "" No to se podívejme! "" zvolal pan Sullivan s nefalšovaným obdivem, když její dílo poprvé spatřil."
"seeing","see","spatřil","spatřit","pf"," ‘ Well, I never! ’ Mr Sullivan exclaimed with genuine admiration, seeing this work for the first time."," "" No to se podívejme! "" zvolal pan Sullivan s nefalšovaným obdivem, když její dílo poprvé spatřil."
"come","come","přišel","přijít","pf"," Five years it was since the man had come to the house, thirty-four since he had come before."," Uplynulo pět let od té doby, co k nim ten chlap přišel domů, a čtyřiatřicet od chvíle, kdy přišel prvně."
"come","come","přišel","přijít","pf"," Five years it was since the man had come to the house, thirty-four since he had come before."," Uplynulo pět let od té doby, co k nim ten chlap přišel domů, a čtyřiatřicet od chvíle, kdy přišel prvně."
"come","come","přišel","přijít","pf"," Five years it was since the man had come to the house, thirty-four since he had come before."," Uplynulo pět let od té doby, co k nim ten chlap přišel domů, a čtyřiatřicet od chvíle, kdy přišel prvně."
"come","come","přišel","přijít","pf"," Five years it was since the man had come to the house, thirty-four since he had come before."," Uplynulo pět let od té doby, co k nim ten chlap přišel domů, a čtyřiatřicet od chvíle, kdy přišel prvně."
"remembered","remember","pamatovala","pamatovat","impf"," Bridget remembered walking down the avenue from the gate-lodge the morning after the first time and Henry saying something was wrong, how he had mentioned the dogs being poisoned a week or so ago, how he ’ d cleared away the gravel pebbles because they had blood on them."," Bridget si pamatovala, jak šla alejí ze strážního domku ráno po té první návštěvě a jak Henry říkal, že se něco děje, jak se zmínil, že psi byli tak před týdnem otráveni, jak zametl oblázky, protože na nich ulpěla krev."
"walking","walk","šla","jít","impf"," Bridget remembered walking down the avenue from the gate-lodge the morning after the first time and Henry saying something was wrong, how he had mentioned the dogs being poisoned a week or so ago, how he ’ d cleared away the gravel pebbles because they had blood on them."," Bridget si pamatovala, jak šla alejí ze strážního domku ráno po té první návštěvě a jak Henry říkal, že se něco děje, jak se zmínil, že psi byli tak před týdnem otráveni, jak zametl oblázky, protože na nich ulpěla krev."
"saying","say","říkal","říkat","impf"," Bridget remembered walking down the avenue from the gate-lodge the morning after the first time and Henry saying something was wrong, how he had mentioned the dogs being poisoned a week or so ago, how he ’ d cleared away the gravel pebbles because they had blood on them."," Bridget si pamatovala, jak šla alejí ze strážního domku ráno po té první návštěvě a jak Henry říkal, že se něco děje, jak se zmínil, že psi byli tak před týdnem otráveni, jak zametl oblázky, protože na nich ulpěla krev."
"mentioned","mention","zmínil","zmínit","pf"," Bridget remembered walking down the avenue from the gate-lodge the morning after the first time and Henry saying something was wrong, how he had mentioned the dogs being poisoned a week or so ago, how he ’ d cleared away the gravel pebbles because they had blood on them."," Bridget si pamatovala, jak šla alejí ze strážního domku ráno po té první návštěvě a jak Henry říkal, že se něco děje, jak se zmínil, že psi byli tak před týdnem otráveni, jak zametl oblázky, protože na nich ulpěla krev."
"poisoned","poison","otráveni","otrávit","pf"," Bridget remembered walking down the avenue from the gate-lodge the morning after the first time and Henry saying something was wrong, how he had mentioned the dogs being poisoned a week or so ago, how he ’ d cleared away the gravel pebbles because they had blood on them."," Bridget si pamatovala, jak šla alejí ze strážního domku ráno po té první návštěvě a jak Henry říkal, že se něco děje, jak se zmínil, že psi byli tak před týdnem otráveni, jak zametl oblázky, protože na nich ulpěla krev."
"coming","come","přišla","přijít","pf"," She remembered Lucy, dressed up, coming into the kitchen when the man came again, saying she ’ d carry the tea in."," Vybavovala si, jak nastrojená Lucy přišla při druhé návštěvě toho muže do kuchyně, jak řekla, že tam odnese čaj."
"came","come","přišla","přijít","pf"," She remembered Lucy, dressed up, coming into the kitchen when the man came again, saying she ’ d carry the tea in."," Vybavovala si, jak nastrojená Lucy přišla při druhé návštěvě toho muže do kuchyně, jak řekla, že tam odnese čaj."
"saying","say","řekla","říci","pf"," She remembered Lucy, dressed up, coming into the kitchen when the man came again, saying she ’ d carry the tea in."," Vybavovala si, jak nastrojená Lucy přišla při druhé návštěvě toho muže do kuchyně, jak řekla, že tam odnese čaj."
"found","find","našly","najít","pf"," Two petrol tins were found behind a tree."," Za stromem se našly dva kanystry."
"thought","think","myslel","myslet","impf"," Captain Gault thought it would be all right then : a lesson had been learnt."," Kapitán Gault si myslel, že teď už to bude v pořádku : dostali za vyučenou."
"wrote","write","Napsal","napsat","pf"," He wrote to Father Morrissey in Enniseala, asking him to pass on his sympathy and his regret if the priest happened to hear who it was who ’ d been wounded."," Napsal otci Morrisseymu do Ennisealy, že pokud by se náhodou doslechl, kdo to byl zraněn, ať vyřídí, že mu je to líto."
"wounded","wound","zraněn","zranit","pf"," He wrote to Father Morrissey in Enniseala, asking him to pass on his sympathy and his regret if the priest happened to hear who it was who ’ d been wounded."," Napsal otci Morrisseymu do Ennisealy, že pokud by se náhodou doslechl, kdo to byl zraněn, ať vyřídí, že mu je to líto."
"kept","keep","hlídá","hlídat","impf"," He had not sought to inflict an injury, only to make it known that a watch was being kept."," Nechtěl nikoho zranit, jen dát najevo, že se u něj hlídá."
"ask","ask","Prosím","prosit","impf"," ‘ Please don ’ t ask me to go back, ’ she whispered, her tone so soft, so much without expression, that the words were hardly there."," "" Prosím, nechtěj po mně, abych se vrátila, "" zašeptala tak měkce, tak bezvýrazně, jako by v té větě vůbec nebyla slova."
"whispered","whisper","zašeptala","zašeptat","pf"," ‘ Please don ’ t ask me to go back, ’ she whispered, her tone so soft, so much without expression, that the words were hardly there."," "" Prosím, nechtěj po mně, abych se vrátila, "" zašeptala tak měkce, tak bezvýrazně, jako by v té větě vůbec nebyla slova."
"visited","visit","navštívil","navštívit","pf"," When Ralph had twice again visited Lahardane on Wednesday afternoons, when he had been shown the house, had gone from room to room, had seen the books in the several bookcases, the bagatelle in a corner of the drawing-room, the billiard table on the upper landing, Lucy said :"," Když Ralph ve středu odpoledne dvakrát navštívil Lahardane, když ho Lucy provedla domem, když si ho prošel pokoj po pokoji, prohlédl si knihy v několika knihovnách, tivoli v rohu obýváku a kulečníkový stůl na horní podestě, Lucy se zeptala :"
"seen","see","navštívil","navštívit","pf"," When Ralph had twice again visited Lahardane on Wednesday afternoons, when he had been shown the house, had gone from room to room, had seen the books in the several bookcases, the bagatelle in a corner of the drawing-room, the billiard table on the upper landing, Lucy said :"," Když Ralph ve středu odpoledne dvakrát navštívil Lahardane, když ho Lucy provedla domem, když si ho prošel pokoj po pokoji, prohlédl si knihy v několika knihovnách, tivoli v rohu obýváku a kulečníkový stůl na horní podestě, Lucy se zeptala :"
"visited","visit","prohlédl","prohlédnout","pf"," When Ralph had twice again visited Lahardane on Wednesday afternoons, when he had been shown the house, had gone from room to room, had seen the books in the several bookcases, the bagatelle in a corner of the drawing-room, the billiard table on the upper landing, Lucy said :"," Když Ralph ve středu odpoledne dvakrát navštívil Lahardane, když ho Lucy provedla domem, když si ho prošel pokoj po pokoji, prohlédl si knihy v několika knihovnách, tivoli v rohu obýváku a kulečníkový stůl na horní podestě, Lucy se zeptala :"
"decorating","decorate","zdobí","zdobit","impf"," Thunderflies lie beneath the glass of her embroideries where they have crept, tiny corpses decorating rock pools and flowers."," Pod sklo výšivek jí nalezly třásněnky a jejich drobné mrtvolky teď zdobí skalní jezírka a květiny."
"hangs","hang","visí","viset","impf"," the electric bulb hangs without a shade."," žárovka tu visí bez stínítka."
"walks","walk","Chodí","chodit","impf"," She walks about the drawing-room, touching the surfaces with her fingertips – the glass of a cabinet door, the edge of a table-top, the writing-desk beneath the portrait of the unknown Gault, a shepherd ’ s head."," Chodí po obýváku, bříšky prstů se dotýká povrchů - skla prosklených dveří, okraje desky stolu, psacího stolu pod portrétem neznámého Gaulta, pastýřčiny hlavy."
"touching","touch","dotýká","dotýkat","impf"," She walks about the drawing-room, touching the surfaces with her fingertips – the glass of a cabinet door, the edge of a table-top, the writing-desk beneath the portrait of the unknown Gault, a shepherd ’ s head."," Chodí po obýváku, bříšky prstů se dotýká povrchů - skla prosklených dveří, okraje desky stolu, psacího stolu pod portrétem neznámého Gaulta, pastýřčiny hlavy."
"lifted","lift","zvedla","zvednout","pf"," Bridget lifted a sheet from one of the armchairs."," Bridget zvedla potah z jednoho křesla."
"welcomed","welcome","přivítal","přivítat","pf"," Aloysius Sullivan was a big man, and welcomed the offer."," Aloysius Sullivan byl rozložitý muž a tu nabídku přivítal."
"aching","ache","bolela","bolet","impf"," The calves of his legs were aching, even though he had driven to Lahardane in his car."," Lýtka ho bolela, ačkoli do Lahardanu přijel svým autem."
"told","tell","říkal","říkat","impf"," Some instinct told him that the aching was caused by the weight of responsibility that these new circumstances unfairly placed upon him."," Nějaký instinkt mu říkal, že příčinou bolesti je tíha odpovědnosti, která za těchto nových okolností nespravedlivě dopadla na jeho bedra."
"called","call","zavolala","zavolat","pf"," Bridget called him and he called back, saying he was in the dairy."," Bridget na něj zavolala a on jí stejně hlasitě odpověděl, že je v mléčnici."
"called","call","zavolala","zavolat","pf"," Bridget called him and he called back, saying he was in the dairy."," Bridget na něj zavolala a on jí stejně hlasitě odpověděl, že je v mléčnici."
"saying","say","odpověděl","odpovědět","pf"," Bridget called him and he called back, saying he was in the dairy."," Bridget na něj zavolala a on jí stejně hlasitě odpověděl, že je v mléčnici."
"called","call","zavolala","zavolat","pf"," He wondered why she didn ’ t know, why she just called out."," Zauvažoval, proč to neví, proč na něj jen zavolala."
"Leave","leave","Nech","nechat","pf"," ‘ Leave off, ’ she shouted and from her tone he knew that something was wrong."," "" Nech to být, "" zavolala a z jejího tónu poznal, že se stalo něco zlého."
"shouted","shout","zavolala","zavolat","pf"," ‘ Leave off, ’ she shouted and from her tone he knew that something was wrong."," "" Nech to být, "" zavolala a z jejího tónu poznal, že se stalo něco zlého."
"Leave","leave","Nech","nechat","pf"," ‘ Leave off and come in. ’"," "" Nech to být a pojď dovnitř. """
"come","come","pojď","jít","impf"," ‘ Leave off and come in. ’"," "" Nech to být a pojď dovnitř. """
"say","say","řekl","říci","pf"," If you wouldn ’ t mind, on balance I ’ d say it would be better than taking her up to the gate-lodge. ’"," Kdyby ti to nevadilo, tak bych po zralé úvaze řekl, že by to bylo lepší než vzít Lucy do strážního domku. """
"taking","take","vzít","vzít","pf"," If you wouldn ’ t mind, on balance I ’ d say it would be better than taking her up to the gate-lodge. ’"," Kdyby ti to nevadilo, tak bych po zralé úvaze řekl, že by to bylo lepší než vzít Lucy do strážního domku. """
"conjectured","conjecture","domníval","domnívat","impf"," With no prediction of how long the time being he had spoken of would last, Mr Sullivan conjectured that moving out of the house and passing so often its boarded windows and locked doors would be more upsetting for the child who ’ d caused all the trouble than remaining in her familiar surroundings."," Pan Sullivan neměl tušení, na jak dlouho by se to jeho "" prozatím "" mohlo protáhnout, a domníval se, že kdyby se to dítě, které způsobilo všechny potíže, vystěhovalo z domu a častokrát procházelo kolem jeho zabedněných oken a zavřených dveří, trápilo by se tím mnohem víc, než kdyby zůstalo v dobře známém prostředí."
"caused","cause","způsobilo","způsobit","pf"," With no prediction of how long the time being he had spoken of would last, Mr Sullivan conjectured that moving out of the house and passing so often its boarded windows and locked doors would be more upsetting for the child who ’ d caused all the trouble than remaining in her familiar surroundings."," Pan Sullivan neměl tušení, na jak dlouho by se to jeho "" prozatím "" mohlo protáhnout, a domníval se, že kdyby se to dítě, které způsobilo všechny potíže, vystěhovalo z domu a častokrát procházelo kolem jeho zabedněných oken a zavřených dveří, trápilo by se tím mnohem víc, než kdyby zůstalo v dobře známém prostředí."
"remaining","remain","zůstalo","zůstat","pf"," With no prediction of how long the time being he had spoken of would last, Mr Sullivan conjectured that moving out of the house and passing so often its boarded windows and locked doors would be more upsetting for the child who ’ d caused all the trouble than remaining in her familiar surroundings."," Pan Sullivan neměl tušení, na jak dlouho by se to jeho "" prozatím "" mohlo protáhnout, a domníval se, že kdyby se to dítě, které způsobilo všechny potíže, vystěhovalo z domu a častokrát procházelo kolem jeho zabedněných oken a zavřených dveří, trápilo by se tím mnohem víc, než kdyby zůstalo v dobře známém prostředí."
"insisted","insist","trvala","trvat","impf"," It was she who had wallpapered their bedroom when first she came to Lahardane, she who had insisted that the smoking of the breakfast-room fire could be cured and had been right, she who gave their summer parties and in December had a Christmas tree in the hall for the children of Kilauran."," To ona nechala po příchodu do Lahardanu vytapetovat ložnici, to ona trvala na tom, že s kouřem z krbu v salónu se dá něco dělat, a měla pravdu, to ona pořádala v létě večírky a v prosinci měla v hale vánoční stromeček pro děti z Kilauranu."
"gave","give","dá","dát","pf"," It was she who had wallpapered their bedroom when first she came to Lahardane, she who had insisted that the smoking of the breakfast-room fire could be cured and had been right, she who gave their summer parties and in December had a Christmas tree in the hall for the children of Kilauran."," To ona nechala po příchodu do Lahardanu vytapetovat ložnici, to ona trvala na tom, že s kouřem z krbu v salónu se dá něco dělat, a měla pravdu, to ona pořádala v létě večírky a v prosinci měla v hale vánoční stromeček pro děti z Kilauranu."
"gave","give","pořádala","pořádat","impf"," It was she who had wallpapered their bedroom when first she came to Lahardane, she who had insisted that the smoking of the breakfast-room fire could be cured and had been right, she who gave their summer parties and in December had a Christmas tree in the hall for the children of Kilauran."," To ona nechala po příchodu do Lahardanu vytapetovat ložnici, to ona trvala na tom, že s kouřem z krbu v salónu se dá něco dělat, a měla pravdu, to ona pořádala v létě večírky a v prosinci měla v hale vánoční stromeček pro děti z Kilauranu."
"look","look","podívat","podívat","pf"," He turned on his bedside lamp to look at the faded roses of the wallpaper, then turned it off again."," Rozsvítil lampičku vedle postele, aby se mohl podívat na zašlé růže na tapetě, pak ji zase zhasl."
"said","say","řekla","říci","pf"," Ralph thought of her as Lucy when she said that, the first time he had in her company."," Když tohle řekla, Ralph o ní vůbec poprvé v její společnosti přemýšlel jako o Lucy."
"thought","think","přemýšlel","přemýšlet","impf"," Ralph thought of her as Lucy when she said that, the first time he had in her company."," Když tohle řekla, Ralph o ní vůbec poprvé v její společnosti přemýšlel jako o Lucy."
"saw","see","Viděl","vidět","impf"," Lucy Gault, he saw written down, as she had written it."," Viděl podpis Lucy Gaultová, tak, jak ho napsala."
"written","write","napsala","napsat","pf"," Lucy Gault, he saw written down, as she had written it."," Viděl podpis Lucy Gaultová, tak, jak ho napsala."
"written","write","napsala","napsat","pf"," Lucy Gault, he saw written down, as she had written it."," Viděl podpis Lucy Gaultová, tak, jak ho napsala."
"passed","pass","Prošli","projít","pf"," They passed from one field to another, then along the edge of one in which potatoes grew."," Prošli z jednoho pole na druhé, pak kolem okraje dalšího, kde rostly brambory."
"grew","grow","rostly","růst","impf"," They passed from one field to another, then along the edge of one in which potatoes grew."," Prošli z jednoho pole na druhé, pak kolem okraje dalšího, kde rostly brambory."
"said","say","řekla","říci","pf"," ‘ The O ’ Reillys ’, ’ she said."," "" To je O ' Reillyových, "" řekla."
"carried","carry","nosily","nosit","impf"," There were summer parties, picnic baskets carried through the fields to the strand, children playing in the orchard and the garden."," V létě se tu pořádaly večírky, piknikové košíky se nosily přes louky až na pobřeží, děti si hrály v sadu a zahradě."
"playing","play","hrály","hrát","impf"," There were summer parties, picnic baskets carried through the fields to the strand, children playing in the orchard and the garden."," V létě se tu pořádaly večírky, piknikové košíky se nosily přes louky až na pobřeží, děti si hrály v sadu a zahradě."
"came","come","Jezdila","jezdit","impf"," Lady Roche from Monatray came, and Colonel Roche, and the three Ashe sisters, and old Mrs Cronin and her flighty middle-aged daughter who once in greeting kissed the Captain."," Jezdila sem lady Rocheová z Monatray a plukovník Roche a tři sestry Asheovy a stará paní Croninová a její přelétavá dcera středního věku, která kdysi místo pozdravu políbila kapitána."
"kissed","kiss","políbila","políbit","pf"," Lady Roche from Monatray came, and Colonel Roche, and the three Ashe sisters, and old Mrs Cronin and her flighty middle-aged daughter who once in greeting kissed the Captain."," Jezdila sem lady Rocheová z Monatray a plukovník Roche a tři sestry Asheovy a stará paní Croninová a její přelétavá dcera středního věku, která kdysi místo pozdravu políbila kapitána."
"seen","see","neviděl","vidět","impf"," Henry hadn ’ t seen any of them since the winter of 1920, and wondered about them now."," Henry neviděl nikoho z nich od zimy roku 1920 a teď o nich přemýšlel."
"wondered","wonder","přemýšlel","přemýšlet","impf"," Henry hadn ’ t seen any of them since the winter of 1920, and wondered about them now."," Henry neviděl nikoho z nich od zimy roku 1920 a teď o nich přemýšlel."
"say","say","říkali","říkat","impf"," People would say it in Logan ’ s bar, the evening drinkers, the women who came to shop in the grocery, people who had known Ralph all his life."," Lidé to říkali v Loganově baru - večerní pijáci, ženské, které sem chodily nakupovat potraviny, lidé, kteří znali Ralpha celý život."
"came","come","chodily","chodit","impf"," People would say it in Logan ’ s bar, the evening drinkers, the women who came to shop in the grocery, people who had known Ralph all his life."," Lidé to říkali v Loganově baru - večerní pijáci, ženské, které sem chodily nakupovat potraviny, lidé, kteří znali Ralpha celý život."
"told","tell","řekl","říci","pf"," If ever he had told her what he had suppressed she would have listened in her careful, serious way, not interrupting."," Kdyby jí někdy řekl, co zamlčel, pečlivě a vážně by si ho vyslechla, neskákala by mu do řeči."
"accosted","accost","oslovila","oslovit","pf"," The enthusiast was an English woman, younger by maybe twenty years than he was, not at all like the woman who had accosted him in Paris."," Ta nadšená žena byla Angličanka, asi o dvacet let mladší než on, vůbec se nepodobala té Francouzce, jež ho oslovila v Paříži."
"welcomed","welcome","uvítal","uvítat","pf"," He wondered if it happened that lone old men on their travels were naturally the subject of such attention and although, again, he welcomed it, he was more cautious than he had been in the Place de la Concorde."," Napadlo ho, zda osamělí staří muži na cestách přirozeně přitahují takovou pozornost, a přestože to opět uvítal, byl opatrnější než tenkrát na náměstí Svornosti."
"come","come","Přišel","přijít","pf"," Disappointed but safe at least, he had come back from war."," Přišel z války, zklamaný, ale konečně v bezpečí."
"growing","grow","rostlo","růst","impf"," The child who had been born was growing up;"," Dítě, které se před lety narodilo, teď rostlo;"
"offered","offer","skýtal","skýtat","impf"," Lahardane offered a living as well as a way of life."," Lahardane skýtal jak živobytí, tak způsob života."
"married","marry","oženil","oženit","pf"," Yet if Everard had married differently, the unforgiving end of this chain of circumstances would not have come about;"," Ovšem kdyby se Everard oženil jinak, nemilosrdný konec tohoto řetězce okolností by nenastal;"
"come","come","nenastal","nastat","pf"," Yet if Everard had married differently, the unforgiving end of this chain of circumstances would not have come about;"," Ovšem kdyby se Everard oženil jinak, nemilosrdný konec tohoto řetězce okolností by nenastal;"
"shoot","shoot","zastřelím","zastřelit","pf"," ‘ If ever they come back I ’ ll shoot them dead. ’"," "" Jestli se někdy vrátí, já je zastřelím. """
"displaced","displace","vytlačeny","vytlačit","pf"," The nuns will be displaced, as the family that is still hers was, as the Morells of Clashmore were, the Gouvernets of Aglish, the Priors of Ringville, the Swifts, the Boyces."," Jeptišky budou vytlačeny, tak jako se to stalo rodině, k níž stále patří, tak jak byli vysídleni Morellovi z Clashmoru, Gouvernetovi z Aglishe, Priorovi z Ringvillu, Swiftovi a Boyceovi."
"hurt","hurt","zranilo","zranit","pf"," But it would hurt her visitors to say that maybe it has to be again and she holds that back, an unimportant lie of silence."," Ale její návštěvnice by zranilo, kdyby řekla, že se to možná musí stát znovu, a tak si to nechá pro sebe, nedůležitá lež z opomenutí."
"say","say","řekla","říci","pf"," But it would hurt her visitors to say that maybe it has to be again and she holds that back, an unimportant lie of silence."," Ale její návštěvnice by zranilo, kdyby řekla, že se to možná musí stát znovu, a tak si to nechá pro sebe, nedůležitá lež z opomenutí."
"began","begin","začne","začít","pf"," And when she was old, if she began to believe that Ralph had been a figment, and this summer too, it would not matter because time turned memories into figments anyway."," A až bude stará, už bude jedno, jestli začne Ralpha i tohle léto pokládat za smyšlenku, protože čas proměňuje vzpomínky ve smyšlenky tak jako tak."
"wish","wish","přál","přát","impf"," ‘ In all the world, Ralph, what would you wish for most? ’"," "" Co by sis přál nejvíc ze všeho na světě, Ralphe? """
"touched","touch","dotkl","dotknout","pf"," Twice, then three times, it touched the surface and bounced on."," Kámen se dotkl hladiny dvakrát třikrát a odrážel se dál."
"run","run","procházeli","procházet","impf"," When they were on the strand she talked about the nameless dog who ’ d run away again in the end, but didn ’ t touch upon the part it had played in what had happened."," Když se procházeli na pobřeží, vykládala mu o tom bezejmenném psu, který nakonec zase utekl, nedotkla se ale role, kterou sehrál v tom, co se stalo."
"run","run","utekl","utéci","pf"," When they were on the strand she talked about the nameless dog who ’ d run away again in the end, but didn ’ t touch upon the part it had played in what had happened."," Když se procházeli na pobřeží, vykládala mu o tom bezejmenném psu, který nakonec zase utekl, nedotkla se ale role, kterou sehrál v tom, co se stalo."
"played","play","sehrál","sehrát","pf"," When they were on the strand she talked about the nameless dog who ’ d run away again in the end, but didn ’ t touch upon the part it had played in what had happened."," Když se procházeli na pobřeží, vykládala mu o tom bezejmenném psu, který nakonec zase utekl, nedotkla se ale role, kterou sehrál v tom, co se stalo."
"saw","see","spatřil","spatřit","pf"," When he turned the pages of the photograph album in the drawing-room he saw, through a brown mist, a couple standing by a pram among the apple trees."," Když v obývacím pokoji listoval stránkami fotografického alba, spatřil skrz hnědou mlhu pár stojící u kočárku mezi jabloněmi."
"wrote","write","napsala","napsat","pf"," Ralph, you must live your life, she wrote herself."," Ralphe, musíš žít vlastní život, napsala mu."
"found","find","zjistil","zjistit","pf"," In wrenching off the worn sole of a boot, Henry found it did not come cleanly, held by a few remaining brads, which he loosened with pliers."," Při páčení ošoupané podrážky z boty Henry zjistil, že se neutrhla čistě kvůli několika zbývajícím hřebíčkům, a ty vytáhl kleštěmi."
"gone","go","začal","začít","pf"," Some time in the past, well before his own time at Lahardane, a Gault had gone in for shoe-making."," Dávno předtím, než on nastoupil do služby na Lahardanu, se jeden Gault začal věnovat ševcovskému řemeslu."
"tidied","tidy","Uklidila","uklidit","pf"," She tidied the cushions and the chairs, closed the doors of the corner cupboard, easing them where they stuck and had to be pushed a little."," Uklidila polštáře a židle, zavřela dvířka rohové kredence - opatrně s nimi pohnula tam, kde byly zaseknuté, a musely se trochu přistrčit."
"closed","close","zavřela","zavřít","pf"," She tidied the cushions and the chairs, closed the doors of the corner cupboard, easing them where they stuck and had to be pushed a little."," Uklidila polštáře a židle, zavřela dvířka rohové kredence - opatrně s nimi pohnula tam, kde byly zaseknuté, a musely se trochu přistrčit."
"achieved","achieve","dosáhla","dosáhnout","pf"," Two hundred and ten was her highest score, achieved when she was six, and she did not better it tonight."," Nejvyššího skóre dosáhla ve svých šesti letech, dvě stě deset bodů to bylo, a ani dnes večer ho nepřekonala."
"better","better","nepřekonala","překonat","pf"," Two hundred and ten was her highest score, achieved when she was six, and she did not better it tonight."," Nejvyššího skóre dosáhla ve svých šesti letech, dvě stě deset bodů to bylo, a ani dnes večer ho nepřekonala."
"Learning","learn","dozvěděla","dozvědět","pf"," Learning then that Heloise ’ s present whereabouts were not known, she had confidently instructed Miss Chambré to place an advertisement in several English newspapers."," Když se dozvěděla, že Heloisino místo pobytu není známo, sebejistě slečnu Chambréovou pověřila tím, aby do několika anglických novin zadala inzerát."
"expect","expect","neočekávala","očekávat","impf"," I myself did not expect otherwise, Miss Chambré wrote, but for the sake of an old lady ’ s peace of mind I feel it to be my duty to request you to inform me when you receive news of Heloise Gault."," Nic jiného jsem ani neočekávala, psala slečna Chambréová, ale pro klid duše staré paní pokládám za svou povinnost požádat vás, abyste mne informovali, pokud o Heloise Gaultové dostanete jakékoli zprávy."
"wrote","write","psala","psát","impf"," I myself did not expect otherwise, Miss Chambré wrote, but for the sake of an old lady ’ s peace of mind I feel it to be my duty to request you to inform me when you receive news of Heloise Gault."," Nic jiného jsem ani neočekávala, psala slečna Chambréová, ale pro klid duše staré paní pokládám za svou povinnost požádat vás, abyste mne informovali, pokud o Heloise Gaultové dostanete jakékoli zprávy."
"request","request","požádat","požádat","pf"," I myself did not expect otherwise, Miss Chambré wrote, but for the sake of an old lady ’ s peace of mind I feel it to be my duty to request you to inform me when you receive news of Heloise Gault."," Nic jiného jsem ani neočekávala, psala slečna Chambréová, ale pro klid duše staré paní pokládám za svou povinnost požádat vás, abyste mne informovali, pokud o Heloise Gaultové dostanete jakékoli zprávy."
"receive","receive","dostanete","dostat","pf"," I myself did not expect otherwise, Miss Chambré wrote, but for the sake of an old lady ’ s peace of mind I feel it to be my duty to request you to inform me when you receive news of Heloise Gault."," Nic jiného jsem ani neočekávala, psala slečna Chambréová, ale pro klid duše staré paní pokládám za svou povinnost požádat vás, abyste mne informovali, pokud o Heloise Gaultové dostanete jakékoli zprávy."
"going","go","Pojedou","jet","impf"," They would be going to England, Heloise said at last to her child, after she ’ d promised Kitty Teresa to look out for another position for her and had given old Hannah notice."," Pojedou do Anglie, řekla Heloise nakonec svému dítěti, když slíbila Kitty Terese, že se jí poohlédne po nové práci, a když dala staré Hannah výpověď."
"said","say","řekla","říci","pf"," They would be going to England, Heloise said at last to her child, after she ’ d promised Kitty Teresa to look out for another position for her and had given old Hannah notice."," Pojedou do Anglie, řekla Heloise nakonec svému dítěti, když slíbila Kitty Terese, že se jí poohlédne po nové práci, a když dala staré Hannah výpověď."
"said","say","slíbila","slíbit","pf"," They would be going to England, Heloise said at last to her child, after she ’ d promised Kitty Teresa to look out for another position for her and had given old Hannah notice."," Pojedou do Anglie, řekla Heloise nakonec svému dítěti, když slíbila Kitty Terese, že se jí poohlédne po nové práci, a když dala staré Hannah výpověď."
"promised","promise","slíbila","slíbit","pf"," They would be going to England, Heloise said at last to her child, after she ’ d promised Kitty Teresa to look out for another position for her and had given old Hannah notice."," Pojedou do Anglie, řekla Heloise nakonec svému dítěti, když slíbila Kitty Terese, že se jí poohlédne po nové práci, a když dala staré Hannah výpověď."
