"remove","remove","odstranit","odstranit","pf"," And the way to remove the mistake is to get a more sophisticated concept of causation."," A tento omyl je možno odstranit tak, že zpřesníme pojem kauzality."
"feel","feel","cítím","cítit","impf"," This subjectivity is marked by such facts as that I can feel my pains, and you can ’ t."," Tato subjektivita se vyznačuje například tím, že já cítím svou bolest, kdežto vy ji necítíte."
"feel","feel","necítíte","cítit","impf"," This subjectivity is marked by such facts as that I can feel my pains, and you can ’ t."," Tato subjektivita se vyznačuje například tím, že já cítím svou bolest, kdežto vy ji necítíte."
"want","want","Chtěl","chtít","impf"," I want to conclude this chapter by putting together the thesis of the last chapter and the thesis of this one."," Chtěl bych tuto kapitolu uzavřít tím, že shrnu teze této a předchozí kapitoly."
"conclude","conclude","uzavřít","uzavřít","pf"," I want to conclude this chapter by putting together the thesis of the last chapter and the thesis of this one."," Chtěl bych tuto kapitolu uzavřít tím, že shrnu teze této a předchozí kapitoly."
"understand","understand","nerozumím","rozumět","impf"," The[ ]idea here is that though I, the person in the room manipulating the symbols do not understand Chinese, I am just the central processing unit of the computer system."," Tím se vlastně myslí, že ačkoli při manipulaci se znaky nerozumím čínsky, jsem přece pouze centrální procesní jednotka počítačového systému jako celku."
"understands","understand","rozumí","rozumět","impf"," They argue[ ]that it is the whole system, including the room, the baskets full of symbols and the ledgers containing the programs and perhaps other items as well, taken as a totality, that understands Chinese."," Dále se pak argumentuje, že systém jako celek, to znamená pokoj včetně koše se znaky a seznamu programů a možná ještě některých dalších věcí, čínsky rozumí."
"do","do","nejde","jít","impf"," The problem about the freedom of the will is not about[ ]whether or not there are inner psychological reasons that cause us to do things as well as external physical causes and inner compulsions."," U problému svobody vůle nejde o to, zda vedle vnějších fyzikálních příčin a vnitřních nutkání jsou při způsobování našeho chování ve hře ještě jiné vnitřní psychické důvody."
"do","do","jde","jít","impf"," Rather, it is about whether or not the[ ]causes of our behaviour, whatever they are, are sufficient to determine the behaviour so that things have to happen the way they do happen."," Spíše jde o to, zda příčiny našeho chování, ať už jakékoliv, budou s to determinovat chování tak, že se děje, co se dít musí."
"equals","equal","rovná","rovnat","impf"," It is a law of ‘ nutrition science ’ that caloric intake equals caloric output, plus or minus fat deposit."," Třeba zákon ' vědy o výživě ', že příjem kalorií se rovná jejich výdeji plus, respektive mínus to, čím si zakládáme na špek."
"eat","eat","jíme","jíst","impf"," It has the consequence known to most of us that if you eat a lot and don ’ t exercise enough, you get fat."," Jeho důsledkem, který většina z nás dobře zná, je skutečnost, že tloustneme, když hodně jíme a málo cvičíme."
"means","mean","znamená","znamenat","impf"," As long as all[ ]I have is the symbol with no knowledge of its causes or how it got there, I have no way of knowing what it means."," Mám - li jenom symbol a neznám - li jeho příčiny, respektive nevím - li, kde se tu vzal, nemohu ani vědět, co znamená."
"see","see","vidět","vidět","impf"," Again, you can see this if you contrast the normal case of[ ]action with the Penfield cases, where stimulation of the motor cortex produces an involuntary movement of the arm or leg."," To lze vidět i na srovnání normálního případu jednání s případy Penfieldovými, při nichž dráždění motorického centra v mozkové kůře vyvolává reflexivní pohyb paže nebo nohy."
"produces","produce","vyvolává","vyvolávat","impf"," Again, you can see this if you contrast the normal case of[ ]action with the Penfield cases, where stimulation of the motor cortex produces an involuntary movement of the arm or leg."," To lze vidět i na srovnání normálního případu jednání s případy Penfieldovými, při nichž dráždění motorického centra v mozkové kůře vyvolává reflexivní pohyb paže nebo nohy."
"experiences","experience","prožívá","prožívat","impf"," In such a case the patient experiences the movement passively, [ ]as he would experience a sound or a sensation of pain."," Pacient v takovém případě prožívá pohyb pasivně, jako by to byl zvukový vjem nebo pocit bolesti."
"experience","experience","prožívá","prožívat","impf"," In such a case the patient experiences the movement passively, [ ]as he would experience a sound or a sensation of pain."," Pacient v takovém případě prožívá pohyb pasivně, jako by to byl zvukový vjem nebo pocit bolesti."
"drink","drink","napít","napít","pf"," To be thirsty is to have, among other things, the desire to drink."," Mít žízeň mimo jiné znamená chtít se napít."
"determines","determine","stanoví","stanovit","pf"," Thirst is therefore an intentional state : it has content; its content determines under what conditions it is satisfied, and it has all the rest of the features that are common to intentional states."," Následkem toho je žízeň intencionálním stavem : má obsah, který stanoví, za jakých podmínek bude uspokojena, a má i všechny ostatní vlastnosti běžné pro intencionální stavy."
"satisfied","satisfy","uspokojena","uspokojit","pf"," Thirst is therefore an intentional state : it has content; its content determines under what conditions it is satisfied, and it has all the rest of the features that are common to intentional states."," Následkem toho je žízeň intencionálním stavem : má obsah, který stanoví, za jakých podmínek bude uspokojena, a má i všechny ostatní vlastnosti běžné pro intencionální stavy."
"impressed","impress","zapůsobily","zapůsobit","pf"," In the case of cognitivism, I have been especially impressed by[ ]David Marr ’ s work on vision and by the work of various people on ‘ natural language understanding ’, that is, on the effort to get computers to simulate the production and interpretation of ordinary human speech."," Pokud jde o kognitivismus, zapůsobily na mě především práce Davida Marra o vizuálním vnímání a práce řady dalších autorů zabývajících se ' osvojováním přirozených jazyků ', to znamená práce, které si vzaly za cíl simulovat na počítačích produkci a interpretaci běžné lidské řeči."
"seems","seem","zdá","zdát","impf"," But it seems empirically very unlikely that all human behaviour is like that."," Empiricky se však zdá velmi nepravděpodobné, že veškeré lidské chování by bylo tohoto druhu."
"control","control","ovládnout","ovládnout","pf"," Sometimes people are suffering from the effects of hypnosis, and sometimes we know that they are in the grip of unconscious urges which they cannot control."," Někdy jsou lidé vystaveni působení hypnózy, někdy jsou zase pod vlivem nevědomých nutkání, která nedovedou ovládnout."
"try","try","Snažíme","snažit","impf"," If we try to treat psychological determinism as a factual claim about our behaviour, then it seems to be just plain false."," Snažíme - li se mentální determinismus chápat jako faktické tvrzení o našem chování, pak děláme očividně chybu."
"mapped","map","zmapovat","zmapovat","pf"," According to this view, mental states come in complex, interrelated networks, and so cannot be systematically mapped onto types of brain states."," Podle tohoto názoru se mentální stavy vyskytují v komplikovaných, usouvztažněných sítích, a nelze je tudíž systematicky zmapovat pomocí typů mozkových stavů."
"Suppose","suppose","Předpokládejme","předpokládat","impf"," Suppose, for example, that Noam Chomsky is right in thinking that each of us has a complex set of rules of universal grammar programmed into our brains at birth."," Předpokládejme, že Noam Chomsky má pravdu, když si myslí, že se všichni rodíme s komplikovaným systémem pravidel univerzální gramatiky předem naprogramovaným do našeho mozku."
"thinking","think","Předpokládejme","předpokládat","impf"," Suppose, for example, that Noam Chomsky is right in thinking that each of us has a complex set of rules of universal grammar programmed into our brains at birth."," Předpokládejme, že Noam Chomsky má pravdu, když si myslí, že se všichni rodíme s komplikovaným systémem pravidel univerzální gramatiky předem naprogramovaným do našeho mozku."
"thinking","think","má","mít","impf"," Suppose, for example, that Noam Chomsky is right in thinking that each of us has a complex set of rules of universal grammar programmed into our brains at birth."," Předpokládejme, že Noam Chomsky má pravdu, když si myslí, že se všichni rodíme s komplikovaným systémem pravidel univerzální gramatiky předem naprogramovaným do našeho mozku."
"Suppose","suppose","myslí","myslet","impf"," Suppose, for example, that Noam Chomsky is right in thinking that each of us has a complex set of rules of universal grammar programmed into our brains at birth."," Předpokládejme, že Noam Chomsky má pravdu, když si myslí, že se všichni rodíme s komplikovaným systémem pravidel univerzální gramatiky předem naprogramovaným do našeho mozku."
"thinking","think","myslí","myslet","impf"," Suppose, for example, that Noam Chomsky is right in thinking that each of us has a complex set of rules of universal grammar programmed into our brains at birth."," Předpokládejme, že Noam Chomsky má pravdu, když si myslí, že se všichni rodíme s komplikovaným systémem pravidel univerzální gramatiky předem naprogramovaným do našeho mozku."
"prevents","prevent","bránilo","bránit","impf"," There is nothing about the complexity or interdependence of the rules of the universal grammar that prevents them from being systematically realised in the neurophysiology of the brain."," V komplexnosti a vzájemné závislosti pravidel univerzální gramatiky však není nic, co by jim bránilo, aby se systematicky realizovaly v neurofyziologii mozku."
"want","want","Chceme","chtít","impf"," If we want some[ ]empirical proof of this fact, we can simply point to the further fact that it is always up to us to falsify any predictions anybody might care to make about our behaviour."," Chceme - li empirický důkaz tohoto faktu, můžeme poukázat na možnost kdykoli falzifikovat něčí spekulace o našem chování."
"do","do","udělám","udělat","pf"," If somebody predicts[ ]that I am going to do something, I might just damn well do something else."," Předpovídá - li někdo, že něco udělám, mohu zatraceně snadno udělat něco jiného."
"do","do","udělám","udělat","pf"," If somebody predicts[ ]that I am going to do something, I might just damn well do something else."," Předpovídá - li někdo, že něco udělám, mohu zatraceně snadno udělat něco jiného."
"do","do","udělat","udělat","pf"," If somebody predicts[ ]that I am going to do something, I might just damn well do something else."," Předpovídá - li někdo, že něco udělám, mohu zatraceně snadno udělat něco jiného."
"do","do","udělat","udělat","pf"," If somebody predicts[ ]that I am going to do something, I might just damn well do something else."," Předpovídá - li někdo, že něco udělám, mohu zatraceně snadno udělat něco jiného."
"cause","cause","způsobeno","způsobit","pf"," In the case of human rule-following, meanings cause behaviour."," Řídí - li se člověk podle pravidel, jeho chování je způsobeno jejich významem."
"Drive","drive","jezdí","jezdit","impf"," For example, consider the rule : Drive on the left-hand side of the road in Great Britain."," Vzpomeňme si například na pravidlo, že ve Velké Británii se jezdí vlevo."
"come","come","přijedu","přijet","pf"," Now, whenever I come to Britain I have to remind myself of this rule."," Kdykoli přijedu do Anglie, musím se na toto pravidlo upamatovat."
"does","do","funguje","fungovat","impf"," How does it work?"," Jak to funguje?"
"work","work","funguje","fungovat","impf"," How does it work?"," Jak to funguje?"
"means","mean","znamená","znamenat","impf"," And this means that there can ’ t be any systematic[ ]connections between the physical and the social or mental properties of the phenomenon."," A to znamená, že neexistují systematická spojení mezi jejich fyzikálními a jejich společenskými či mentálními vlastnostmi."
"determined","determine","určují","určovat","impf"," The social features in question[ ]are determined in part by the attitudes we take toward them."," Jejich společenské vlastnosti zčásti určují postoje, které vůči těmto fenoménům zaujímáme."
"constrained","constrain","omezeny","omezit","pf"," The attitudes we take toward them are not constrained by the[ ]physical features of the phenomena in question."," A tyto postoje nejsou omezeny fyzikálními vlastnostmi příslušných fenoménů."
"speak","speak","mluvíme","mluvit","impf"," Just as we continue to speak of ‘ sunsets ’ even though we know the sun doesn ’ t literally set; so we continue to speak of ‘ acting of our own free will ’ even though there is no such phenomenon."," A podobně jako mluvíme o ' západu slunce ', třebaže víme, že slunce - doslovně vzato - nezachází, mluvíme možná i o ' jednání ze svobodné vůle ', třebaže takový fenomén vůbec neexistuje."
"speak","speak","mluvíme","mluvit","impf"," Just as we continue to speak of ‘ sunsets ’ even though we know the sun doesn ’ t literally set; so we continue to speak of ‘ acting of our own free will ’ even though there is no such phenomenon."," A podobně jako mluvíme o ' západu slunce ', třebaže víme, že slunce - doslovně vzato - nezachází, mluvíme možná i o ' jednání ze svobodné vůle ', třebaže takový fenomén vůbec neexistuje."
"speak","speak","mluvíme","mluvit","impf"," Just as we continue to speak of ‘ sunsets ’ even though we know the sun doesn ’ t literally set; so we continue to speak of ‘ acting of our own free will ’ even though there is no such phenomenon."," A podobně jako mluvíme o ' západu slunce ', třebaže víme, že slunce - doslovně vzato - nezachází, mluvíme možná i o ' jednání ze svobodné vůle ', třebaže takový fenomén vůbec neexistuje."
"speak","speak","mluvíme","mluvit","impf"," Just as we continue to speak of ‘ sunsets ’ even though we know the sun doesn ’ t literally set; so we continue to speak of ‘ acting of our own free will ’ even though there is no such phenomenon."," A podobně jako mluvíme o ' západu slunce ', třebaže víme, že slunce - doslovně vzato - nezachází, mluvíme možná i o ' jednání ze svobodné vůle ', třebaže takový fenomén vůbec neexistuje."
"falling","fall","nepadáme","padat","impf"," But we actually know that this sort of mental theory is not necessary to account for[ ]the achievement of walking without falling over."," Ve skutečnosti ale víme, že nepotřebujeme mentální teorii tohoto typu, abychom vysvětlili, proč při chůzi nepadáme."
"follows","follow","vyplývá","vyplývat","impf"," And this second conclusion follows from conjoining the[ ]first premise together with our first conclusion."," Tento druhý závěr vyplývá ze spojení první premisy a našeho prvního závěru."
"do","do","způsobena","způsobit","pf"," That is, from[ ]the fact that brains cause minds and that programs are not enough to do the job, it follows that the way that brains cause minds can ’ t be solely by running a computer program."," Z toho, že mysl je způsobena mozkem, a nikoli programem, vyplývá, že příčinný vztah mezi mozkem a myslí nespočívá výhradně v realizaci počítačového programu."
"cause","cause","způsobena","způsobit","pf"," That is, from[ ]the fact that brains cause minds and that programs are not enough to do the job, it follows that the way that brains cause minds can ’ t be solely by running a computer program."," Z toho, že mysl je způsobena mozkem, a nikoli programem, vyplývá, že příčinný vztah mezi mozkem a myslí nespočívá výhradně v realizaci počítačového programu."
"follows","follow","vyplývá","vyplývat","impf"," That is, from[ ]the fact that brains cause minds and that programs are not enough to do the job, it follows that the way that brains cause minds can ’ t be solely by running a computer program."," Z toho, že mysl je způsobena mozkem, a nikoli programem, vyplývá, že příčinný vztah mezi mozkem a myslí nespočívá výhradně v realizaci počítačového programu."
"ask","ask","Zeptáte","zeptat","pf"," ’, the answer is:[ ] ‘ It adds three to itself seven times. ’ But if you then ask : ‘ And how does it add three to itself?"," Zeptáte - li se však, jak přičítá trojku, odpověď početního typu nedostanete;"
"adds","add","přičítá","přičítat","impf"," ’, the answer is:[ ] ‘ It adds three to itself seven times. ’ But if you then ask : ‘ And how does it add three to itself?"," Zeptáte - li se však, jak přičítá trojku, odpověď početního typu nedostanete;"
"add","add","přičítá","přičítat","impf"," ’, the answer is:[ ] ‘ It adds three to itself seven times. ’ But if you then ask : ‘ And how does it add three to itself?"," Zeptáte - li se však, jak přičítá trojku, odpověď početního typu nedostanete;"
"caused","cause","vyvolány","vyvolat","pf"," But if pains and other mental phenomena are caused by[ ]processes in the brain, one wants to know : what are pains?"," Jsou - li však bolestí a jiné fenomény vyvolány procesy v mozku, pak mě zajímá, co tyto bolesti vlastně jsou?"
"tell","tell","neříká","říkat","impf"," But that[ ]answer leaves us unsatisfied because it doesn ’ t tell us how pains fit into our overall conception of the world."," Tato odpověď nám nicméně nestačí, neříká nám totiž nic o tom, jak se bolesti začleňují do naší globální představy světa."
"think","think","myslím","myslet","impf"," Once again, I think the answer to the question is obvious, [ ]but it will take some spelling out."," Jasná je, myslím, i odpověď na další otázku, je však třeba ji poněkud rozvést."
"see","see","pochopit","pochopit","pf"," You can see this if you imagine that[ ]I am the computer. Inside a room in the robot ’ s skull I shuffle symbols without knowing that some of them come in to me from television cameras attached to the robot ’ s head and others go out to move the robot ’ s arms and legs."," Snadno se to dá pochopit, když si mě představíte jako počítač, který v robotově lebce pořádá symboly, aniž ví, že některé z nich přinášejí televizní kamery připevněné na robotově hlavě a jiné jsou zase vysílány, aby uvedly do pohybu robotovy ruce a nohy."
"imagine","imagine","představíte","představit","pf"," You can see this if you imagine that[ ]I am the computer. Inside a room in the robot ’ s skull I shuffle symbols without knowing that some of them come in to me from television cameras attached to the robot ’ s head and others go out to move the robot ’ s arms and legs."," Snadno se to dá pochopit, když si mě představíte jako počítač, který v robotově lebce pořádá symboly, aniž ví, že některé z nich přinášejí televizní kamery připevněné na robotově hlavě a jiné jsou zase vysílány, aby uvedly do pohybu robotovy ruce a nohy."
"allows","allow","připouští","připouštět","impf"," Such a ‘ bottom up ’ picture of the world allows for top-down causation ( our minds, for example, can affect our bodies ). But top-down causation only works because the top level is already caused by and realised in the bottom levels."," Podobný ' vertikální ' obraz světa sice připouští také kauzální působení shora dolů ( naše mysl například může působit na naše tělo ), kauzace nicméně působí směrem dolů jen proto, že vyšší rovina byla již způsobena rovinou nižší, v níž se také realizovala."
"affect","affect","působit","působit","impf"," Such a ‘ bottom up ’ picture of the world allows for top-down causation ( our minds, for example, can affect our bodies ). But top-down causation only works because the top level is already caused by and realised in the bottom levels."," Podobný ' vertikální ' obraz světa sice připouští také kauzální působení shora dolů ( naše mysl například může působit na naše tělo ), kauzace nicméně působí směrem dolů jen proto, že vyšší rovina byla již způsobena rovinou nižší, v níž se také realizovala."
"works","work","působit","působit","impf"," Such a ‘ bottom up ’ picture of the world allows for top-down causation ( our minds, for example, can affect our bodies ). But top-down causation only works because the top level is already caused by and realised in the bottom levels."," Podobný ' vertikální ' obraz světa sice připouští také kauzální působení shora dolů ( naše mysl například může působit na naše tělo ), kauzace nicméně působí směrem dolů jen proto, že vyšší rovina byla již způsobena rovinou nižší, v níž se také realizovala."
"caused","cause","působit","působit","impf"," Such a ‘ bottom up ’ picture of the world allows for top-down causation ( our minds, for example, can affect our bodies ). But top-down causation only works because the top level is already caused by and realised in the bottom levels."," Podobný ' vertikální ' obraz světa sice připouští také kauzální působení shora dolů ( naše mysl například může působit na naše tělo ), kauzace nicméně působí směrem dolů jen proto, že vyšší rovina byla již způsobena rovinou nižší, v níž se také realizovala."
"affect","affect","působí","působit","impf"," Such a ‘ bottom up ’ picture of the world allows for top-down causation ( our minds, for example, can affect our bodies ). But top-down causation only works because the top level is already caused by and realised in the bottom levels."," Podobný ' vertikální ' obraz světa sice připouští také kauzální působení shora dolů ( naše mysl například může působit na naše tělo ), kauzace nicméně působí směrem dolů jen proto, že vyšší rovina byla již způsobena rovinou nižší, v níž se také realizovala."
"works","work","působí","působit","impf"," Such a ‘ bottom up ’ picture of the world allows for top-down causation ( our minds, for example, can affect our bodies ). But top-down causation only works because the top level is already caused by and realised in the bottom levels."," Podobný ' vertikální ' obraz světa sice připouští také kauzální působení shora dolů ( naše mysl například může působit na naše tělo ), kauzace nicméně působí směrem dolů jen proto, že vyšší rovina byla již způsobena rovinou nižší, v níž se také realizovala."
"caused","cause","působí","působit","impf"," Such a ‘ bottom up ’ picture of the world allows for top-down causation ( our minds, for example, can affect our bodies ). But top-down causation only works because the top level is already caused by and realised in the bottom levels."," Podobný ' vertikální ' obraz světa sice připouští také kauzální působení shora dolů ( naše mysl například může působit na naše tělo ), kauzace nicméně působí směrem dolů jen proto, že vyšší rovina byla již způsobena rovinou nižší, v níž se také realizovala."
"works","work","způsobena","způsobit","pf"," Such a ‘ bottom up ’ picture of the world allows for top-down causation ( our minds, for example, can affect our bodies ). But top-down causation only works because the top level is already caused by and realised in the bottom levels."," Podobný ' vertikální ' obraz světa sice připouští také kauzální působení shora dolů ( naše mysl například může působit na naše tělo ), kauzace nicméně působí směrem dolů jen proto, že vyšší rovina byla již způsobena rovinou nižší, v níž se také realizovala."
"caused","cause","způsobena","způsobit","pf"," Such a ‘ bottom up ’ picture of the world allows for top-down causation ( our minds, for example, can affect our bodies ). But top-down causation only works because the top level is already caused by and realised in the bottom levels."," Podobný ' vertikální ' obraz světa sice připouští také kauzální působení shora dolů ( naše mysl například může působit na naše tělo ), kauzace nicméně působí směrem dolů jen proto, že vyšší rovina byla již způsobena rovinou nižší, v níž se také realizovala."
"turn","turn","obraťme","obrátit","pf"," Well then, let ’ s turn to the next obvious question."," Dobrá, obraťme teď pozornost k další otázce."
"do","do","děláme","dělat","impf"," So once again, don ’ t we have the result that everything we do was entirely written in the book of history billions of years before we were born, and therefore, nothing we do is free in any philosophically interesting sense?"," Nedostáváme se tím však opět k závěru, že všechno, co děláme, bylo už bilióny let před naším narozením vepsáno do knihy života, a že naše jednání tedy není svobodné ve smyslu, který by byl filosoficky zajímavý?"
"do","do","děláme","dělat","impf"," So once again, don ’ t we have the result that everything we do was entirely written in the book of history billions of years before we were born, and therefore, nothing we do is free in any philosophically interesting sense?"," Nedostáváme se tím však opět k závěru, že všechno, co děláme, bylo už bilióny let před naším narozením vepsáno do knihy života, a že naše jednání tedy není svobodné ve smyslu, který by byl filosoficky zajímavý?"
"remain","remain","zůstávají","zůstávat","impf"," Nonetheless, the problems remain, and in this book I am going to attack some of them."," Problémy nicméně zůstávají, a tak některé z nich hodláme vzít útokem v této knize."
"think","think","myslet","myslet","impf"," In[ ]general they have to think that ’ s what it is."," Obecně řečeno musejí si myslet, že to tak je."
"get","get","nabýt","nabýt","pf"," So, for example, in[ ]order to get married or buy property you and other people have to think that that is what you are doing."," Abyste se tedy například mohli oženit nebo se vdát, popřípadě nabýt majetku, musíte si vy i ostatní lidé myslet, že to právě děláte."
"think","think","myslet","myslet","impf"," So, for example, in[ ]order to get married or buy property you and other people have to think that that is what you are doing."," Abyste se tedy například mohli oženit nebo se vdát, popřípadě nabýt majetku, musíte si vy i ostatní lidé myslet, že to právě děláte."
"doing","do","děláte","dělat","impf"," So, for example, in[ ]order to get married or buy property you and other people have to think that that is what you are doing."," Abyste se tedy například mohli oženit nebo se vdát, popřípadě nabýt majetku, musíte si vy i ostatní lidé myslet, že to právě děláte."
"do","do","děláme","dělat","impf"," The idea that our states of mind are sufficient to determine everything we do is probably just false."," Myšlenka, že stavy naší mysli mohou determinovat všechno, co děláme, je podle všeho mylná."
"filled","fill","zaplňuje","zaplňovat","impf"," And that ’ s where the gap gets filled."," A právě tady se zaplňuje zmíněná mezera."
"understand","understand","nerozumíme","rozumět","impf"," Because we do not understand the brain very well we are constantly tempted to use the latest technology as a model for trying to understand it."," Jelikož příliš nerozumíme mozku, máme sklon užít každou novou technickou vymoženost jako model, s jehož pomocí se mu pokoušíme porozumět."
"understand","understand","nerozumíme","rozumět","impf"," Because we do not understand the brain very well we are constantly tempted to use the latest technology as a model for trying to understand it."," Jelikož příliš nerozumíme mozku, máme sklon užít každou novou technickou vymoženost jako model, s jehož pomocí se mu pokoušíme porozumět."
"use","use","užít","užít","pf"," Because we do not understand the brain very well we are constantly tempted to use the latest technology as a model for trying to understand it."," Jelikož příliš nerozumíme mozku, máme sklon užít každou novou technickou vymoženost jako model, s jehož pomocí se mu pokoušíme porozumět."
"tempted","tempt","pokoušíme","pokoušet","impf"," Because we do not understand the brain very well we are constantly tempted to use the latest technology as a model for trying to understand it."," Jelikož příliš nerozumíme mozku, máme sklon užít každou novou technickou vymoženost jako model, s jehož pomocí se mu pokoušíme porozumět."
"trying","try","pokoušíme","pokoušet","impf"," Because we do not understand the brain very well we are constantly tempted to use the latest technology as a model for trying to understand it."," Jelikož příliš nerozumíme mozku, máme sklon užít každou novou technickou vymoženost jako model, s jehož pomocí se mu pokoušíme porozumět."
"understand","understand","porozumět","porozumět","pf"," Because we do not understand the brain very well we are constantly tempted to use the latest technology as a model for trying to understand it."," Jelikož příliš nerozumíme mozku, máme sklon užít každou novou technickou vymoženost jako model, s jehož pomocí se mu pokoušíme porozumět."
"understand","understand","porozumět","porozumět","pf"," Because we do not understand the brain very well we are constantly tempted to use the latest technology as a model for trying to understand it."," Jelikož příliš nerozumíme mozku, máme sklon užít každou novou technickou vymoženost jako model, s jehož pomocí se mu pokoušíme porozumět."
"amused","amuse","pobavilo","pobavit","pf"," ’ ) I was amused to see that Sherrington, the great British neuroscientist, thought that the brain worked like a telegraph system."," A tak mě pobavilo, když jsem zjistil, že velký britský neurolog Sherrington si myslel, že mozek pracuje jako telegraf."
"thought","think","myslel","myslet","impf"," ’ ) I was amused to see that Sherrington, the great British neuroscientist, thought that the brain worked like a telegraph system."," A tak mě pobavilo, když jsem zjistil, že velký britský neurolog Sherrington si myslel, že mozek pracuje jako telegraf."
"worked","work","pracuje","pracovat","impf"," ’ ) I was amused to see that Sherrington, the great British neuroscientist, thought that the brain worked like a telegraph system."," A tak mě pobavilo, když jsem zjistil, že velký britský neurolog Sherrington si myslel, že mozek pracuje jako telegraf."
"compared","compare","srovnával","srovnávat","impf"," Freud often compared the brain to hydraulic and electro-magnetic systems."," Freud zase mozek často srovnával s hydraulickými nebo elektromagnetickými systémy."
"turn","turn","Obraťme","obrátit","pf"," Now let ’ s turn to the argument for the freedom of the will."," Obraťme nyní pozornost na argumentaci ve prospěch svobody vůle."
"done","do","jednat","jednat","impf"," The problem about compatibilism, then, is that it doesn ’ t[ ]answer the question, ‘ Could we have done otherwise, all other conditions remaining the same? ’, in a way that is consistent with our belief in our own free will."," Problém kompatibilismu tedy spočívá v tom, že otázku, zda bychom za stejných podmínek mohli jednat i jinak, nelze zodpovědět tak, aby to bylo slučitelné s naší představou svobody vůle."
"said","say","Řekl","říci","pf"," I said that we have a conviction of our own free will simply based on the facts of human experience."," Řekl jsem, že jsme na základě naší zkušenosti hluboce přesvědčeni o svobodě naší vůle."
"believe","believe","Myslím","myslet","impf"," I believe the notion of information-processing embodies a similar massive confusion."," Myslím totiž, že se v tomto obratu skrývá podobná zásadní záměna."
"takes","take","přijímá","přijímat","impf"," The idea is that since I[ ]process information when I think, and since my calculating machine processes information when it takes something as input, transforms it, and produces information as output, then there must be some unitary sense in which we are both processing information."," Její podstatou je, že člověk při myšlení zpracovává informace a že informace zpracovává také počítač, přijímá - li něco na vstupu, transformuje - li to a vytváří - li nějakou informaci na výstupu, z čehož údajně vyplývá, že smysl, v němž oba systémy zpracovávají informace, je jednotný."
"produces","produce","vytváří","vytvářet","impf"," The idea is that since I[ ]process information when I think, and since my calculating machine processes information when it takes something as input, transforms it, and produces information as output, then there must be some unitary sense in which we are both processing information."," Její podstatou je, že člověk při myšlení zpracovává informace a že informace zpracovává také počítač, přijímá - li něco na vstupu, transformuje - li to a vytváří - li nějakou informaci na výstupu, z čehož údajně vyplývá, že smysl, v němž oba systémy zpracovávají informace, je jednotný."
"follows","follow","vyplývá","vyplývat","impf"," Now, from these four premises, we can draw our first conclusion; and it follows obviously from premises 2, 3 and 4 :"," Z těchto čtyř premis můžeme učinit první závěr, který očividně vyplývá z vět č. 2, 3 a 4 :"
"stimulating","stimulate","dráždil","dráždit","impf"," We already have in neurophysiology experiments, done by Wilder Penfield of Montreal, where by electrically stimulating a certain portion of the patient ’ s motor cortex, Penfield could cause the movement of the patient ’ s limbs."," V neurofyziologii máme experimenty provedené Wilderem Penfieldem z Montrealu, při nichž Penfield elektricky dráždil jistou část motorického centra v mozkové kůře pacienta, a vyvolal tak pohyb jeho končetin."
"done","do","vyvolal","vyvolat","pf"," We already have in neurophysiology experiments, done by Wilder Penfield of Montreal, where by electrically stimulating a certain portion of the patient ’ s motor cortex, Penfield could cause the movement of the patient ’ s limbs."," V neurofyziologii máme experimenty provedené Wilderem Penfieldem z Montrealu, při nichž Penfield elektricky dráždil jistou část motorického centra v mozkové kůře pacienta, a vyvolal tak pohyb jeho končetin."
"cause","cause","vyvolal","vyvolat","pf"," We already have in neurophysiology experiments, done by Wilder Penfield of Montreal, where by electrically stimulating a certain portion of the patient ’ s motor cortex, Penfield could cause the movement of the patient ’ s limbs."," V neurofyziologii máme experimenty provedené Wilderem Penfieldem z Montrealu, při nichž Penfield elektricky dráždil jistou část motorického centra v mozkové kůře pacienta, a vyvolal tak pohyb jeho končetin."
"derives","derive","odvozuje","odvozovat","impf"," No, the radical discontinuity derives from the intrinsically mental character of social and psychological phenomena."," Ne, zásadní diskontinuita se odvozuje z niterně mentálního charakteru společenských a psychických fenoménů."
"want","want","chceme","chtít","impf"," What we want from the social sciences and what we get from the social sciences at their best are theories of pure and applied intentionality."," Neboť od sociálních věd chceme a od těch lepších také dostáváme teorii čisté a aplikované intencionality."
"explain","explain","vysvětlit","vysvětlit","pf"," In order to explain the structure of human behaviour, I need to introduce one or two technical terms."," Abych mohl vysvětlit strukturu lidského chování, jsem nucen zavést několik technických termínů."
"introduce","introduce","zavést","zavést","pf"," In order to explain the structure of human behaviour, I need to introduce one or two technical terms."," Abych mohl vysvětlit strukturu lidského chování, jsem nucen zavést několik technických termínů."
"say","say","řekneme","říci","pf"," To say that a mental state has intentionality simply means that it is about something."," A řekneme - li, že nějaký mentální stav má intencionalitu, znamená to, že je o něčem."
"means","mean","znamená","znamenat","impf"," To say that a mental state has intentionality simply means that it is about something."," A řekneme - li, že nějaký mentální stav má intencionalitu, znamená to, že je o něčem."
"emphasise","emphasise","zdůraznit","zdůraznit","pf"," It is important to emphasise again that we are not talking[ ]about a particular stage of computer technology."," Je, myslím, důležité ještě jednou zdůraznit, že zde není řeč o specifickém stavu počítačové techniky."
