"explain","explain","nevysvětluje","vysvětlovat","impf"," It 's just a word, it does n't explain anything."," Je to jen slovo a nevysvětluje nic."
"avoid","avoid","vyhnout","vyhnout","pf"," For where he had expected to find nothing, an erased, closed-off entry, there was instead a continuous stream of data - text, diagrams, figures and images, moving descriptions of surf on Australian beaches, Yoghurt on Greek islands, restaurants to avoid in Los Angeles, currency deals to avoid in Istanbul, weather to avoid in London, bars to go everywhere."," Tam, kde čekal, že nenajde nic, vymazané, zrušené heslo, nalezl plynulý proud údajů - textů, grafů, čísel a obrázků, dojímavé popisy surfování při australských březích, jogurtu na řeckých ostrovech, restaurací, kterým se má člověk vyhnout v Los Angeles, směnáren, jimž je nutno se vyhnout v Istanbulu, počasí, kterému je radno se vyhnout v Londýně, barů, do kterých se dá jít kdekoli."
"avoid","avoid","vyhnout","vyhnout","pf"," For where he had expected to find nothing, an erased, closed-off entry, there was instead a continuous stream of data - text, diagrams, figures and images, moving descriptions of surf on Australian beaches, Yoghurt on Greek islands, restaurants to avoid in Los Angeles, currency deals to avoid in Istanbul, weather to avoid in London, bars to go everywhere."," Tam, kde čekal, že nenajde nic, vymazané, zrušené heslo, nalezl plynulý proud údajů - textů, grafů, čísel a obrázků, dojímavé popisy surfování při australských březích, jogurtu na řeckých ostrovech, restaurací, kterým se má člověk vyhnout v Los Angeles, směnáren, jimž je nutno se vyhnout v Istanbulu, počasí, kterému je radno se vyhnout v Londýně, barů, do kterých se dá jít kdekoli."
"avoid","avoid","vyhnout","vyhnout","pf"," For where he had expected to find nothing, an erased, closed-off entry, there was instead a continuous stream of data - text, diagrams, figures and images, moving descriptions of surf on Australian beaches, Yoghurt on Greek islands, restaurants to avoid in Los Angeles, currency deals to avoid in Istanbul, weather to avoid in London, bars to go everywhere."," Tam, kde čekal, že nenajde nic, vymazané, zrušené heslo, nalezl plynulý proud údajů - textů, grafů, čísel a obrázků, dojímavé popisy surfování při australských březích, jogurtu na řeckých ostrovech, restaurací, kterým se má člověk vyhnout v Los Angeles, směnáren, jimž je nutno se vyhnout v Istanbulu, počasí, kterému je radno se vyhnout v Londýně, barů, do kterých se dá jít kdekoli."
"avoid","avoid","vyhnout","vyhnout","pf"," For where he had expected to find nothing, an erased, closed-off entry, there was instead a continuous stream of data - text, diagrams, figures and images, moving descriptions of surf on Australian beaches, Yoghurt on Greek islands, restaurants to avoid in Los Angeles, currency deals to avoid in Istanbul, weather to avoid in London, bars to go everywhere."," Tam, kde čekal, že nenajde nic, vymazané, zrušené heslo, nalezl plynulý proud údajů - textů, grafů, čísel a obrázků, dojímavé popisy surfování při australských březích, jogurtu na řeckých ostrovech, restaurací, kterým se má člověk vyhnout v Los Angeles, směnáren, jimž je nutno se vyhnout v Istanbulu, počasí, kterému je radno se vyhnout v Londýně, barů, do kterých se dá jít kdekoli."
"go","go","jít","jít","impf"," For where he had expected to find nothing, an erased, closed-off entry, there was instead a continuous stream of data - text, diagrams, figures and images, moving descriptions of surf on Australian beaches, Yoghurt on Greek islands, restaurants to avoid in Los Angeles, currency deals to avoid in Istanbul, weather to avoid in London, bars to go everywhere."," Tam, kde čekal, že nenajde nic, vymazané, zrušené heslo, nalezl plynulý proud údajů - textů, grafů, čísel a obrázků, dojímavé popisy surfování při australských březích, jogurtu na řeckých ostrovech, restaurací, kterým se má člověk vyhnout v Los Angeles, směnáren, jimž je nutno se vyhnout v Istanbulu, počasí, kterému je radno se vyhnout v Londýně, barů, do kterých se dá jít kdekoli."
"written","write","napsal","napsat","pf"," It was all there, everything he had written."," Bylo to tam, všechno, co napsal."
"stop","stop","přestanete","přestat","pf"," Exuberance and Hall and Woodhouse best bitter was a mixture to be wary of, but one of the first effects it had is to stop you being wary of things, and the point at which Arthur should have stopped and explained no more was the point at which he started instead to get inventive."," Bujaré veselí a Hallovo a Woodehouseovo skvělé hořké vytvářely směsici, před níž je třeba mít se na pozoru, jenomže jedním z jejích prvních účinků je, že se přestanete mít na pozoru, takže Arthur začal být vynalézavý právě v okamžiku, kdy měl přestat a dál už nic nevysvětlovat."
"stopped","stop","přestanete","přestat","pf"," Exuberance and Hall and Woodhouse best bitter was a mixture to be wary of, but one of the first effects it had is to stop you being wary of things, and the point at which Arthur should have stopped and explained no more was the point at which he started instead to get inventive."," Bujaré veselí a Hallovo a Woodehouseovo skvělé hořké vytvářely směsici, před níž je třeba mít se na pozoru, jenomže jedním z jejích prvních účinků je, že se přestanete mít na pozoru, takže Arthur začal být vynalézavý právě v okamžiku, kdy měl přestat a dál už nic nevysvětlovat."
"started","start","začal","začít","pf"," Exuberance and Hall and Woodhouse best bitter was a mixture to be wary of, but one of the first effects it had is to stop you being wary of things, and the point at which Arthur should have stopped and explained no more was the point at which he started instead to get inventive."," Bujaré veselí a Hallovo a Woodehouseovo skvělé hořké vytvářely směsici, před níž je třeba mít se na pozoru, jenomže jedním z jejích prvních účinků je, že se přestanete mít na pozoru, takže Arthur začal být vynalézavý právě v okamžiku, kdy měl přestat a dál už nic nevysvětlovat."
"stop","stop","přestat","přestat","pf"," Exuberance and Hall and Woodhouse best bitter was a mixture to be wary of, but one of the first effects it had is to stop you being wary of things, and the point at which Arthur should have stopped and explained no more was the point at which he started instead to get inventive."," Bujaré veselí a Hallovo a Woodehouseovo skvělé hořké vytvářely směsici, před níž je třeba mít se na pozoru, jenomže jedním z jejích prvních účinků je, že se přestanete mít na pozoru, takže Arthur začal být vynalézavý právě v okamžiku, kdy měl přestat a dál už nic nevysvětlovat."
"stopped","stop","přestat","přestat","pf"," Exuberance and Hall and Woodhouse best bitter was a mixture to be wary of, but one of the first effects it had is to stop you being wary of things, and the point at which Arthur should have stopped and explained no more was the point at which he started instead to get inventive."," Bujaré veselí a Hallovo a Woodehouseovo skvělé hořké vytvářely směsici, před níž je třeba mít se na pozoru, jenomže jedním z jejích prvních účinků je, že se přestanete mít na pozoru, takže Arthur začal být vynalézavý právě v okamžiku, kdy měl přestat a dál už nic nevysvětlovat."
"explained","explain","nevysvětlovat","vysvětlovat","impf"," Exuberance and Hall and Woodhouse best bitter was a mixture to be wary of, but one of the first effects it had is to stop you being wary of things, and the point at which Arthur should have stopped and explained no more was the point at which he started instead to get inventive."," Bujaré veselí a Hallovo a Woodehouseovo skvělé hořké vytvářely směsici, před níž je třeba mít se na pozoru, jenomže jedním z jejích prvních účinků je, že se přestanete mít na pozoru, takže Arthur začal být vynalézavý právě v okamžiku, kdy měl přestat a dál už nic nevysvětlovat."
"lost","lose","zhubnul","zhubnout","pf"," "" It 's why I 've lost so much weight. """," "" Proto jsem se tolik zhubnul. """
"See","see","Chápeš","chápat","impf"," "" See what I mean? "" he thought to himself as he ploughed swiftly through it."," "" Chápeš, jak to myslím? "" myslel si pro sebe, když hbitě brázdil kaluž."
"mean","mean","myslím","myslet","impf"," "" See what I mean? "" he thought to himself as he ploughed swiftly through it."," "" Chápeš, jak to myslím? "" myslel si pro sebe, když hbitě brázdil kaluž."
"thought","think","myslím","myslet","impf"," "" See what I mean? "" he thought to himself as he ploughed swiftly through it."," "" Chápeš, jak to myslím? "" myslel si pro sebe, když hbitě brázdil kaluž."
"mean","mean","myslel","myslet","impf"," "" See what I mean? "" he thought to himself as he ploughed swiftly through it."," "" Chápeš, jak to myslím? "" myslel si pro sebe, když hbitě brázdil kaluž."
"thought","think","myslel","myslet","impf"," "" See what I mean? "" he thought to himself as he ploughed swiftly through it."," "" Chápeš, jak to myslím? "" myslel si pro sebe, když hbitě brázdil kaluž."
"drifted","drift","hnal","hnát","impf"," It drifted down and away whipped by the wind until it was a speck which finally vanished, and for various complicated reasons revolutionized the life of a family on Hounslow, over whose washing line it was discovered draped in the morning."," Odpluly kamsi dolů a vítr je hnal pryč, až vypadaly jako malý flíček, který nakonec zmizel, a z různých složitých důvodů pak způsobily revoluci v životě jedné rodiny v Hounslow, která je ráno objevila omotané kolem své šňůry s prádlem."
"vanished","vanish","zmizel","zmizet","pf"," It drifted down and away whipped by the wind until it was a speck which finally vanished, and for various complicated reasons revolutionized the life of a family on Hounslow, over whose washing line it was discovered draped in the morning."," Odpluly kamsi dolů a vítr je hnal pryč, až vypadaly jako malý flíček, který nakonec zmizel, a z různých složitých důvodů pak způsobily revoluci v životě jedné rodiny v Hounslow, která je ráno objevila omotané kolem své šňůry s prádlem."
"discovered","discover","objevila","objevit","pf"," It drifted down and away whipped by the wind until it was a speck which finally vanished, and for various complicated reasons revolutionized the life of a family on Hounslow, over whose washing line it was discovered draped in the morning."," Odpluly kamsi dolů a vítr je hnal pryč, až vypadaly jako malý flíček, který nakonec zmizel, a z různých složitých důvodů pak způsobily revoluci v životě jedné rodiny v Hounslow, která je ráno objevila omotané kolem své šňůry s prádlem."
"opened","open","Otevřel","otevřít","pf"," He opened the door to the lavatory ... "" and so on."," Otevřel dveře záchoda ... "" a tak dále."
"get","get","nedostanete","dostat","pf"," It makes for nice fat books such as the American market thrives on, but it does n't actually get you anywhere."," Pravda, jsou z nich složeny pěkně tlusťoučké knihy, z jakých žije americký knižní trh, ale ve skutečnosti se s nimi nedostanete nikam."
"want","want","nechce","chtít","impf"," You do n't, in short, want to know."," Stručně řečeno, takovéhle věci nikdo nechce vědět."
"says","say","říká","říkat","impf"," The Hitch Hiker 's Guide to the Galaxy, in a moment of reasoned lucidity which is almost unique among its current tally of five million, nine hundred and seventy-five thousand, five hundred and nine pages, says of the Sirius Cybernetics Corporation product that "" it is very easy to be blinded to the essential uselessness of them by the sense of achievement you get from getting them to work at all."," Stopařův průvodce po Galaxii v okamžiku logické jasnosti, který je při současném rozsahu pěti miliónů, devíti set sedmdesáti pěti tisíc pěti set devíti stránek téměř ojedinělý, říká o výrobcích společnosti Sirius Cybernetics Corporation, že člověk zaslepený pocitem vítězství, když je přiměje, aby vůbec fungovaly, často nepostřehne jejich naprostou zbytečnost."
"get","get","přiměje","přimět","pf"," The Hitch Hiker 's Guide to the Galaxy, in a moment of reasoned lucidity which is almost unique among its current tally of five million, nine hundred and seventy-five thousand, five hundred and nine pages, says of the Sirius Cybernetics Corporation product that "" it is very easy to be blinded to the essential uselessness of them by the sense of achievement you get from getting them to work at all."," Stopařův průvodce po Galaxii v okamžiku logické jasnosti, který je při současném rozsahu pěti miliónů, devíti set sedmdesáti pěti tisíc pěti set devíti stránek téměř ojedinělý, říká o výrobcích společnosti Sirius Cybernetics Corporation, že člověk zaslepený pocitem vítězství, když je přiměje, aby vůbec fungovaly, často nepostřehne jejich naprostou zbytečnost."
"getting","get","přiměje","přimět","pf"," The Hitch Hiker 's Guide to the Galaxy, in a moment of reasoned lucidity which is almost unique among its current tally of five million, nine hundred and seventy-five thousand, five hundred and nine pages, says of the Sirius Cybernetics Corporation product that "" it is very easy to be blinded to the essential uselessness of them by the sense of achievement you get from getting them to work at all."," Stopařův průvodce po Galaxii v okamžiku logické jasnosti, který je při současném rozsahu pěti miliónů, devíti set sedmdesáti pěti tisíc pěti set devíti stránek téměř ojedinělý, říká o výrobcích společnosti Sirius Cybernetics Corporation, že člověk zaslepený pocitem vítězství, když je přiměje, aby vůbec fungovaly, často nepostřehne jejich naprostou zbytečnost."
"work","work","fungovaly","fungovat","impf"," The Hitch Hiker 's Guide to the Galaxy, in a moment of reasoned lucidity which is almost unique among its current tally of five million, nine hundred and seventy-five thousand, five hundred and nine pages, says of the Sirius Cybernetics Corporation product that "" it is very easy to be blinded to the essential uselessness of them by the sense of achievement you get from getting them to work at all."," Stopařův průvodce po Galaxii v okamžiku logické jasnosti, který je při současném rozsahu pěti miliónů, devíti set sedmdesáti pěti tisíc pěti set devíti stránek téměř ojedinělý, říká o výrobcích společnosti Sirius Cybernetics Corporation, že člověk zaslepený pocitem vítězství, když je přiměje, aby vůbec fungovaly, často nepostřehne jejich naprostou zbytečnost."
"felt","feel","cítila","cítit","impf"," Mrs E. Kapelsen of Boston, Massachusetts was an elderly lady, indeed, she felt her life was nearly at an end."," Paní E. Kapelsenová z Bostonu ve státě Massachussetts byla starší paní, ano, cítila, že její život je téměř u konce."
"seen","see","Viděla","vidět","impf"," She had seen a lot of it, been puzzled by some, but, she was a little uneasy to feel at this late stage, bored by too much."," Viděla toho v životě spoustu, něčemu z toho nerozuměla, a poněkud ji znepokojovalo zjištění, že valná část ji nudila."
"seen","see","nerozuměla","rozumět","impf"," She had seen a lot of it, been puzzled by some, but, she was a little uneasy to feel at this late stage, bored by too much."," Viděla toho v životě spoustu, něčemu z toho nerozuměla, a poněkud ji znepokojovalo zjištění, že valná část ji nudila."
"bored","bore","nudila","nudit","impf"," She had seen a lot of it, been puzzled by some, but, she was a little uneasy to feel at this late stage, bored by too much."," Viděla toho v životě spoustu, něčemu z toho nerozuměla, a poněkud ji znepokojovalo zjištění, že valná část ji nudila."
"began","begin","začaly","začít","pf"," Ford squatted on a garbage can while information began to flood over the screen of the Guide."," Ford se usadil na popelnici a obrazovkou Průvodce začaly proudit informace."
"located","locate","našel","najít","pf"," He located his entry."," Ford našel své heslo."
"wait","wait","čekejte","čekat","impf"," "" Please wait, "" said the messages."," "" Prosím čekejte, "" objevilo se poté."
"tore","tear","odtrhla","odtrhnout","pf"," With infuriating slowness, and prim theatricality, if there was such a thing, the woman tore off two tickets and handed them to Arthur."," S pomalostí dohánějící k zuřivosti a s úpravnou teatrálností, jestli něco takového vůbec existuje, odtrhla žena dva lístky a podala mu je."
"handed","hand","podala","podat","pf"," With infuriating slowness, and prim theatricality, if there was such a thing, the woman tore off two tickets and handed them to Arthur."," S pomalostí dohánějící k zuřivosti a s úpravnou teatrálností, jestli něco takového vůbec existuje, odtrhla žena dva lístky a podala mu je."
"hope","hope","doufám","doufat","impf"," "" I do hope you win, "" she said with a smile that suddenly snapped together like a piece of advanced origami, "" the prizes are so nice. """," "" Opravdu doufám, že vyhrajete, "" dodala s úsměvem, který se náhle složil jako skládanka pokročilého adepta origami, "" ceny jsou tak pěkné. """
"win","win","vyhrajete","vyhrát","pf"," "" I do hope you win, "" she said with a smile that suddenly snapped together like a piece of advanced origami, "" the prizes are so nice. """," "" Opravdu doufám, že vyhrajete, "" dodala s úsměvem, který se náhle složil jako skládanka pokročilého adepta origami, "" ceny jsou tak pěkné. """
"keep","keep","pokračuj","pokračovat","impf"," No, keep going. """," Ne, pokračuj. """
"going","go","pokračuj","pokračovat","impf"," No, keep going. """," Ne, pokračuj. """
"think","think","myslíš","myslet","impf"," What do you think of it so far? """," Co si o tom zatím myslíš? """
"like","like","líbí","líbit","impf"," "" I like it."," "" Zatím se mi to líbí."
"think","think","Myslím","myslet","impf"," I think it 's moving well."," Myslím, že tvá příhoda má spád."
"think","think","má","mít","impf"," I think it 's moving well."," Myslím, že tvá příhoda má spád."
"done","do","neprovozoval","provozovat","impf"," Luckily there was a strong updraft in the alley because Arthur had n't done this sort of thing for a while, at least, not deliberately, and deliberately is exactly the way you are not meant to do it."," Naštěstí byl v uličce silný stoupavý vzdušný proud, protože Arthur už nějaký čas tuhle činnost neprovozoval, alespoň ne záměrně, což znamená přesně způsobem, jak se to dělat nemá."
"do","do","neprovozoval","provozovat","impf"," Luckily there was a strong updraft in the alley because Arthur had n't done this sort of thing for a while, at least, not deliberately, and deliberately is exactly the way you are not meant to do it."," Naštěstí byl v uličce silný stoupavý vzdušný proud, protože Arthur už nějaký čas tuhle činnost neprovozoval, alespoň ne záměrně, což znamená přesně způsobem, jak se to dělat nemá."
"meant","mean","znamená","znamenat","impf"," Luckily there was a strong updraft in the alley because Arthur had n't done this sort of thing for a while, at least, not deliberately, and deliberately is exactly the way you are not meant to do it."," Naštěstí byl v uličce silný stoupavý vzdušný proud, protože Arthur už nějaký čas tuhle činnost neprovozoval, alespoň ne záměrně, což znamená přesně způsobem, jak se to dělat nemá."
"done","do","dělat","dělat","impf"," Luckily there was a strong updraft in the alley because Arthur had n't done this sort of thing for a while, at least, not deliberately, and deliberately is exactly the way you are not meant to do it."," Naštěstí byl v uličce silný stoupavý vzdušný proud, protože Arthur už nějaký čas tuhle činnost neprovozoval, alespoň ne záměrně, což znamená přesně způsobem, jak se to dělat nemá."
"do","do","dělat","dělat","impf"," Luckily there was a strong updraft in the alley because Arthur had n't done this sort of thing for a while, at least, not deliberately, and deliberately is exactly the way you are not meant to do it."," Naštěstí byl v uličce silný stoupavý vzdušný proud, protože Arthur už nějaký čas tuhle činnost neprovozoval, alespoň ne záměrně, což znamená přesně způsobem, jak se to dělat nemá."
"speak","speak","promluvit","promluvit","pf"," Arthur was at sea, could hardly speak, and felt it wiser, therefore, for the moment not to try."," Arthur tonul v nejistotě a nebyl schopen promluvit, a tak usoudil, že bude moudřejší ani se o to pro tu chvíli nepokoušet."
"try","try","nepokoušet","pokoušet","impf"," Arthur was at sea, could hardly speak, and felt it wiser, therefore, for the moment not to try."," Arthur tonul v nejistotě a nebyl schopen promluvit, a tak usoudil, že bude moudřejší ani se o to pro tu chvíli nepokoušet."
"think","think","domnívají","domnívat","impf"," Orbiting this at a distance of roughly ninety-two million miles is an utterly insignificant little blue green planet whose ape-descended life forms are so amazingly primitive that they still think digital watches are a pretty neat idea."," Kolem něj zhruba ve vzdálenosti sto padesáti miliónů kilometrů obíhá naprosto zanedbatelná nepatrná modrozelená planeta, na níž jsou formy života vzešlé z opic tak úžasně primitivní, že se dosud domnívají, že digitální hodinky jsou docela šikovný nápad."
"realized","realize","uvědomil","uvědomit","pf"," He realized with a sudden twinge that something else must have dropped out in the small spacecraft that had brought him to Earth, kindly going out of its way to drop him right beside the A303."," S náhlým úlekem si uvědomil, že mu v malém plavidle, které se natolik obtěžovalo, že ho dopravilo na Zemi a laskavě ho vysadilo přímo vedle dálnice A 303, muselo vypadnout ještě něco."
"dropped","drop","vysadilo","vysadit","pf"," He realized with a sudden twinge that something else must have dropped out in the small spacecraft that had brought him to Earth, kindly going out of its way to drop him right beside the A303."," S náhlým úlekem si uvědomil, že mu v malém plavidle, které se natolik obtěžovalo, že ho dopravilo na Zemi a laskavě ho vysadilo přímo vedle dálnice A 303, muselo vypadnout ještě něco."
"drop","drop","vysadilo","vysadit","pf"," He realized with a sudden twinge that something else must have dropped out in the small spacecraft that had brought him to Earth, kindly going out of its way to drop him right beside the A303."," S náhlým úlekem si uvědomil, že mu v malém plavidle, které se natolik obtěžovalo, že ho dopravilo na Zemi a laskavě ho vysadilo přímo vedle dálnice A 303, muselo vypadnout ještě něco."
"helped","help","pomohla","pomoci","pf"," He had lost his battered and spaceworn copy of the thing which had helped him find his way across the unbelievable wastes of space he had traversed."," Přišel o svůj omlácený a kosmem omletý výtisk knihy, jež mu pomohla najít cestu v neuvěřitelných rozlohách vesmíru, které překonal."
"find","find","najít","najít","pf"," He had lost his battered and spaceworn copy of the thing which had helped him find his way across the unbelievable wastes of space he had traversed."," Přišel o svůj omlácený a kosmem omletý výtisk knihy, jež mu pomohla najít cestu v neuvěřitelných rozlohách vesmíru, které překonal."
"lost","lose","Ztratil","ztratit","pf"," He had lost the Hitch Hiker 's Guide to the Galaxy."," Ztratil Stopařova průvodce po Galaxii."
"needing","need","potřebovat","potřebovat","impf"," Well, he told himself, this time I really wo n't be needing it again."," Tentokrát už ho opravdu potřebovat nebudu, utěšoval se."
"talk","talk","mluvit","mluvit","impf"," There are things I must talk to you about, and things I must tell you ... a story I must tell you which would ... """," Musím s vámi o něčem mluvit a musím vám něco říct ... musím vám vyprávět příběh, který ... """
"tell","tell","mluvit","mluvit","impf"," There are things I must talk to you about, and things I must tell you ... a story I must tell you which would ... """," Musím s vámi o něčem mluvit a musím vám něco říct ... musím vám vyprávět příběh, který ... """
"tell","tell","mluvit","mluvit","impf"," There are things I must talk to you about, and things I must tell you ... a story I must tell you which would ... """," Musím s vámi o něčem mluvit a musím vám něco říct ... musím vám vyprávět příběh, který ... """
"tell","tell","říct","říci","pf"," There are things I must talk to you about, and things I must tell you ... a story I must tell you which would ... """," Musím s vámi o něčem mluvit a musím vám něco říct ... musím vám vyprávět příběh, který ... """
"tell","tell","říct","říci","pf"," There are things I must talk to you about, and things I must tell you ... a story I must tell you which would ... """," Musím s vámi o něčem mluvit a musím vám něco říct ... musím vám vyprávět příběh, který ... """
"talk","talk","vyprávět","vyprávět","impf"," There are things I must talk to you about, and things I must tell you ... a story I must tell you which would ... """," Musím s vámi o něčem mluvit a musím vám něco říct ... musím vám vyprávět příběh, který ... """
"tell","tell","vyprávět","vyprávět","impf"," There are things I must talk to you about, and things I must tell you ... a story I must tell you which would ... """," Musím s vámi o něčem mluvit a musím vám něco říct ... musím vám vyprávět příběh, který ... """
"tell","tell","vyprávět","vyprávět","impf"," There are things I must talk to you about, and things I must tell you ... a story I must tell you which would ... """," Musím s vámi o něčem mluvit a musím vám něco říct ... musím vám vyprávět příběh, který ... """
"wanted","want","Chtěl","chtít","impf"," He wanted something along the lines of "" Thy knotted and combined locks to part, and each particular quill to stand on end like quills upon the fretful porpentine "" but did n't think he could carry it off and did n't like the hedgehog reference."," Chtěl říct cosi jako "" Tvé zcuchané a zvlhlé kadeře tak rozčesávat a každičký jeden vlas tak napnout, jak ostny hněvivého ostnosrsta "" ale tušil, že by to nedokázal správně zarecitovat a navíc se mu nelíbila narážka na ježka."
"trying","try","snaží","snažit","impf"," The lights winked briefly, the ramp paused in its ascent, and then in obedience to the signals from the Thumb ( which half the electronic engineers in the galaxy are constantly trying to find fresh ways of jamming, while the other half are constantly trying to find fresh ways of jamming the jamming signals ), slowly ground its way downwards again."," Světla krátce zablikala, rampa se na okamžik zastavila, načež, poslušna signálů vysílaných Palcem ( polovina inženýrů elektroniků v Galaxii se neustále snaží přijít na nové způsoby, jak tyto signály rušit, zatímco druhá polovina se neustále snaží přijít na nové způsoby, jak vyrušit rušící vlny ) a znovu se zvolna a vrzavé spustila."
"trying","try","snaží","snažit","impf"," The lights winked briefly, the ramp paused in its ascent, and then in obedience to the signals from the Thumb ( which half the electronic engineers in the galaxy are constantly trying to find fresh ways of jamming, while the other half are constantly trying to find fresh ways of jamming the jamming signals ), slowly ground its way downwards again."," Světla krátce zablikala, rampa se na okamžik zastavila, načež, poslušna signálů vysílaných Palcem ( polovina inženýrů elektroniků v Galaxii se neustále snaží přijít na nové způsoby, jak tyto signály rušit, zatímco druhá polovina se neustále snaží přijít na nové způsoby, jak vyrušit rušící vlny ) a znovu se zvolna a vrzavé spustila."
"jamming","jam","rušit","rušit","impf"," The lights winked briefly, the ramp paused in its ascent, and then in obedience to the signals from the Thumb ( which half the electronic engineers in the galaxy are constantly trying to find fresh ways of jamming, while the other half are constantly trying to find fresh ways of jamming the jamming signals ), slowly ground its way downwards again."," Světla krátce zablikala, rampa se na okamžik zastavila, načež, poslušna signálů vysílaných Palcem ( polovina inženýrů elektroniků v Galaxii se neustále snaží přijít na nové způsoby, jak tyto signály rušit, zatímco druhá polovina se neustále snaží přijít na nové způsoby, jak vyrušit rušící vlny ) a znovu se zvolna a vrzavé spustila."
"trying","try","snaží","snažit","impf"," The lights winked briefly, the ramp paused in its ascent, and then in obedience to the signals from the Thumb ( which half the electronic engineers in the galaxy are constantly trying to find fresh ways of jamming, while the other half are constantly trying to find fresh ways of jamming the jamming signals ), slowly ground its way downwards again."," Světla krátce zablikala, rampa se na okamžik zastavila, načež, poslušna signálů vysílaných Palcem ( polovina inženýrů elektroniků v Galaxii se neustále snaží přijít na nové způsoby, jak tyto signály rušit, zatímco druhá polovina se neustále snaží přijít na nové způsoby, jak vyrušit rušící vlny ) a znovu se zvolna a vrzavé spustila."
"trying","try","snaží","snažit","impf"," The lights winked briefly, the ramp paused in its ascent, and then in obedience to the signals from the Thumb ( which half the electronic engineers in the galaxy are constantly trying to find fresh ways of jamming, while the other half are constantly trying to find fresh ways of jamming the jamming signals ), slowly ground its way downwards again."," Světla krátce zablikala, rampa se na okamžik zastavila, načež, poslušna signálů vysílaných Palcem ( polovina inženýrů elektroniků v Galaxii se neustále snaží přijít na nové způsoby, jak tyto signály rušit, zatímco druhá polovina se neustále snaží přijít na nové způsoby, jak vyrušit rušící vlny ) a znovu se zvolna a vrzavé spustila."
"started","start","začal","začít","pf"," Ford Prefect grabbed his megaphone from out of the taxi and started bawling at the crowd through it."," Ford Prefect hrábl do taxíku pro megafon a začal jím štěkat na davy."
"reached","reach","došla","dojít","pf"," The lost figure, shivering desperately, presently reached a junction, where a side road turned off to the left."," Ztracená postava, zoufale se třesoucí, teď došla až na křižovatku, z níž odbočovala postranní silnice doleva."
"read","read","přečíst","přečíst","pf"," It was a stupid dog, could not even read an autocue, which way why some people had protested about its name, but it should at least have been able to recognize Arthur instead of standing there, hackles raised, as if Arthur was the most fearful apparition ever to intrude upon its feeble-witted life."," Byl to hodně hloupý pes, nedokázal ani přečíst text na čtecí tabuli, a proto někteří lidé proti jeho jménu protestovali, ale měl by alespoň být schopen Arthura poznat, místo aby tam stál se zježenou srstí, jako by Arthur byl nejděsivější zjevení, jaké se kdy vetřelo do jeho slabomyslného života."
"protested","protest","protestovali","protestovat","impf"," It was a stupid dog, could not even read an autocue, which way why some people had protested about its name, but it should at least have been able to recognize Arthur instead of standing there, hackles raised, as if Arthur was the most fearful apparition ever to intrude upon its feeble-witted life."," Byl to hodně hloupý pes, nedokázal ani přečíst text na čtecí tabuli, a proto někteří lidé proti jeho jménu protestovali, ale měl by alespoň být schopen Arthura poznat, místo aby tam stál se zježenou srstí, jako by Arthur byl nejděsivější zjevení, jaké se kdy vetřelo do jeho slabomyslného života."
"standing","stand","měl","mít","impf"," It was a stupid dog, could not even read an autocue, which way why some people had protested about its name, but it should at least have been able to recognize Arthur instead of standing there, hackles raised, as if Arthur was the most fearful apparition ever to intrude upon its feeble-witted life."," Byl to hodně hloupý pes, nedokázal ani přečíst text na čtecí tabuli, a proto někteří lidé proti jeho jménu protestovali, ale měl by alespoň být schopen Arthura poznat, místo aby tam stál se zježenou srstí, jako by Arthur byl nejděsivější zjevení, jaké se kdy vetřelo do jeho slabomyslného života."
"recognize","recognize","poznat","poznat","pf"," It was a stupid dog, could not even read an autocue, which way why some people had protested about its name, but it should at least have been able to recognize Arthur instead of standing there, hackles raised, as if Arthur was the most fearful apparition ever to intrude upon its feeble-witted life."," Byl to hodně hloupý pes, nedokázal ani přečíst text na čtecí tabuli, a proto někteří lidé proti jeho jménu protestovali, ale měl by alespoň být schopen Arthura poznat, místo aby tam stál se zježenou srstí, jako by Arthur byl nejděsivější zjevení, jaké se kdy vetřelo do jeho slabomyslného života."
"mentioned","mention","zmínil","zmínit","pf"," "" So, er, what were the jumps, these jumps you mentioned? "" he went on to say as quickly as he could."," "" Takže jak to bylo s těmi vlnami, co skáčou, jak jste se zmínil? "" pokračoval jak nejrychleji dovedl."
"went","go","pokračoval","pokračovat","impf"," "" So, er, what were the jumps, these jumps you mentioned? "" he went on to say as quickly as he could."," "" Takže jak to bylo s těmi vlnami, co skáčou, jak jste se zmínil? "" pokračoval jak nejrychleji dovedl."
"Look","look","Podívejte","podívat","pf"," "" Look, this is my sister, I do n't even know why I 'm talking to you about ... """," "" Podívejte se, je to moje sestra, a já nevím, proč se vlastně s vámi bavím o ... """
"passed","pass","minula","minout","pf"," At the moment he said it, it became impossible, because the storm which had passed them by suddenly erupted again."," Jenže v okamžiku, kdy to dořekl, to najednou nebylo možné, protože bouře, která je prve minula, se znovu rozpoutala."
