"close","close","zavřít","zavřít","pf"," I have to close the hatch behind us. '"," Musím za námi zavřít příklop. """
"trickled","trickle","stékaly","stékat","impf"," Globules of sweat trickled down over the enlarged pores of his cheeks."," Jenom veliké kapky potu mu stékaly po bledé pórovité pleti."
"realized","realize","pochopil","pochopit","pf"," Suddenly I realized that he had not heard a word I was saying."," Pojednou jsem pochopil : vůbec mě neposlouchá!"
"heard","hear","neposlouchá","poslouchat","impf"," Suddenly I realized that he had not heard a word I was saying."," Pojednou jsem pochopil : vůbec mě neposlouchá!"
"occur","occur","Nenapadlo","napadnout","pf"," It did n't occur to you that it might be a hallucination?"," Nenapadlo tě, že je to halucinace?"
"thought","think","Myslel","myslet","impf"," I thought it was a mirage."," Myslel jsem, že je to fata morgána."
"felt","feel","cítil","cítit","impf"," It never occurred to me that it was a hallucination because I felt perfectly well, and I had never seen anything like it before."," Halucinace to nebyly, protože jsem se cítil úplně dobře, a také proto, že jsem nikdy v životě nic takového neviděl."
"seen","see","neviděl","vidět","impf"," It never occurred to me that it was a hallucination because I felt perfectly well, and I had never seen anything like it before."," Halucinace to nebyly, protože jsem se cítil úplně dobře, a také proto, že jsem nikdy v životě nic takového neviděl."
"corresponded","correspond","shodovaly","shodovat","impf"," As I had predicted, the two series of numbers corresponded up to the fourth decimal point."," Obě řady výsledků se shodovaly, jak jsem předpokládal, až do čtvrtého desetinného místa."
"existed","exist","existuje","existovat","impf"," So the computer existed independently of me;"," Počítač tedy existuje nezávisle na mně;"
"meant","mean","znamená","znamenat","impf"," that meant that the Station and its inhabitants really existed too."," to znamená, že reálně existuje i stanice a vše, co je na ní."
"existed","exist","existuje","existovat","impf"," that meant that the Station and its inhabitants really existed too."," to znamená, že reálně existuje i stanice a vše, co je na ní."
"closing","close","zavřít","zavřít","pf"," As I was closing the drawer, I noticed that it was stuffed with sheets of paper covered with hastily scribbled sums."," Už jsem chtěl zásuvku zavřít, když tu jsem si všiml, že v ní leží celý svazek listů s netrpělivě črtanými propočty."
"noticed","notice","všiml","všimnout","pf"," As I was closing the drawer, I noticed that it was stuffed with sheets of paper covered with hastily scribbled sums."," Už jsem chtěl zásuvku zavřít, když tu jsem si všiml, že v ní leží celý svazek listů s netrpělivě črtanými propočty."
"say","say","říct","říci","pf"," ' What are you trying to say? ' he asked calmly."," "" Co tím chceš říct? "" zeptal se klidně."
"asked","ask","zeptal","zeptat","pf"," ' What are you trying to say? ' he asked calmly."," "" Co tím chceš říct? "" zeptal se klidně."
"hid","hide","schoval","schovat","pf"," ' He injected himself with pernostal and hid in the locker, right?"," "" Vstříkl si pernostal a schoval se do skříně, ano?"
"told","tell","říkala","říkat","impf"," ' I 've already told you that I do n't know how I came to be here."," "" Už jsem ti říkala, že nevím, jak jsem se sem dostala."
"tell","tell","říct","říci","pf"," But if you do know, and you ca n't tell me now, will you tell me one day, later on?"," Ale jestliže to víš a nemůžeš mi to teď říct, tak mi to řekneš později, jednou, ano?"
"tell","tell","říct","říci","pf"," But if you do know, and you ca n't tell me now, will you tell me one day, later on?"," Ale jestliže to víš a nemůžeš mi to teď říct, tak mi to řekneš později, jednou, ano?"
"tell","tell","řekneš","říci","pf"," But if you do know, and you ca n't tell me now, will you tell me one day, later on?"," Ale jestliže to víš a nemůžeš mi to teď říct, tak mi to řekneš později, jednou, ano?"
"tell","tell","řekneš","říci","pf"," But if you do know, and you ca n't tell me now, will you tell me one day, later on?"," Ale jestliže to víš a nemůžeš mi to teď říct, tak mi to řekneš později, jednou, ano?"
"taken","take","použito","použít","pf"," Some scientists adopted a position at the other extreme, and agitated for more vigorous steps to be taken."," Hlasy, že je nutno výzkum omezit, se střídaly s voláním těch, kteří požadovali, aby bylo použito radikálněji působících prostředků."
"look","look","očekávat","očekávat","impf"," At the moment, I am on the ALARIC, where I look forward to receiving your reply."," teď právě jsem na Alariku a budu tady očekávat tvou odpověď."
"caught","catch","zasáhl","zasáhnout","pf"," Now and again a polished surface caught and reflected the light."," Tu a tam proklouzl sutinami sluneční paprsek a zasáhl místo, kde jsem stál."
"mean","mean","myslíte","myslet","impf"," I know what you mean."," Rozumím, co myslíte."
"laid","lay","uložil","uložit","pf"," Avoiding the ragged edges of the broken panel, I carried her into the room and laid her on the bed."," Protlačil jsem se rozbitými dveřmi, odnesl ji do pokoje a uložil do postele."
"saw","see","uviděl","uvidět","pf"," When her hands turned upwards, I saw that the palms were cut to the bone."," Když rozevřela pěsti, uviděl jsem dlaně s kůží strženou až na živé maso."
"turned","turn","obracel","obracet","impf"," Absently, I turned it over in my fingers."," Chvíli jsem jej obracel v prstech, nevěda co s ním."
"put","put","položil","položit","pf"," Finally I put it down on the table."," Nakonec jsem ho položil na stůl."
"occurred","occur","Napadlo","napadnout","pf"," It occurred to me suddenly that I might need a weapon."," Napadlo mě, že snad budu potřebovat nějakou zbraň."
"need","need","potřebovat","potřebovat","impf"," It occurred to me suddenly that I might need a weapon."," Napadlo mě, že snad budu potřebovat nějakou zbraň."
"calmed","calm","uklidnilo","uklidnit","pf"," Then a curious change came over me : at the thought that I had gone mad, I calmed down."," A tu se stalo něco, co bych byl spíš neočekával : pomyšlení na to, že jsem zešílel, mne uklidnilo."
"provoked","provoke","vyvolávala","vyvolávat","impf"," When I look back on those moments today, I have a strong conviction that this atmosphere of uncertainty and suspense, and my presentiment of impending disaster, was provoked by an invisible presence which had taken possession of the Station."," Když na to myslím teď, zdá se mi, že ten pocit nejistoty, provizória, blížícího se zemětřesení vyvolávala nijak jinak nezjistitelná, všechny paluby a prostory stanice vyplňující - přítomnost něčeho."
"took","take","Udělal","udělat","pf"," I took a step forward."," Udělal jsem krok k němu."
"believe","believe","neuvěřila","uvěřit","pf"," He talks about such terrible things ... so far fetched ... if it did not fit in with everything else I would certainly have refused to believe him. '"," Ten Gibarian povídal tak hrozné, neuvěřitelné věci, že kdyby to všecko nesouhlasilo, asi bych tomu neuvěřila! """
"needing","need","nepotřebuju","potřebovat","impf"," ' Oh, things like not needing sleep, and being compelled to go wherever you go."," "" No, že nepotřebuju spát, že musím být pořád blízko tebe ..."
"needing","need","musím","muset","impf"," ' Oh, things like not needing sleep, and being compelled to go wherever you go."," "" No, že nepotřebuju spát, že musím být pořád blízko tebe ..."
"think","think","myslila","myslit","impf"," When I think that only yesterday I was miserable because I thought you detested me."," Ještě včera ráno jsem si myslila, že mě nenávidíš, a byla jsem proto nešťastná."
"thought","think","myslila","myslit","impf"," When I think that only yesterday I was miserable because I thought you detested me."," Ještě včera ráno jsem si myslila, že mě nenávidíš, a byla jsem proto nešťastná."
"detested","detest","nenávidíš","nenávidět","impf"," When I think that only yesterday I was miserable because I thought you detested me."," Ještě včera ráno jsem si myslila, že mě nenávidíš, a byla jsem proto nešťastná."
"caught","catch","chytala","chytat","impf"," She seized my hand and, with a gesture I knew well, threw it up and caught it again, then played with my fingers."," Zvedla mou ruku a začala si s ní pohazovat starým způsobem : odrážela bříška mých prstů a opět je chytala."
"saw","see","vidím","vidět","impf"," I saw several objects on the floor which I had not noticed when I went to bed."," Na podlaze vidím spoustu věcí, kterých jsem si včera před spaním ani nevšiml."
"noticed","notice","nevšiml","všimnout","pf"," I saw several objects on the floor which I had not noticed when I went to bed."," Na podlaze vidím spoustu věcí, kterých jsem si včera před spaním ani nevšiml."
"wake","wake","probudím","probudit","pf"," When I wake up, I told myself, I shall check whether these things are still there or whether, like Rheya, I only saw them in a dream."," Až se probudím - řekl jsem si - budu se muset podívat, zda tady leží skutečně, anebo jsou jen produktem snu podobně jako Harey ..."
"told","tell","řekl","říci","pf"," When I wake up, I told myself, I shall check whether these things are still there or whether, like Rheya, I only saw them in a dream."," Až se probudím - řekl jsem si - budu se muset podívat, zda tady leží skutečně, anebo jsou jen produktem snu podobně jako Harey ..."
"saw","see","podívat","podívat","pf"," When I wake up, I told myself, I shall check whether these things are still there or whether, like Rheya, I only saw them in a dream."," Až se probudím - řekl jsem si - budu se muset podívat, zda tady leží skutečně, anebo jsou jen produktem snu podobně jako Harey ..."
"went","go","Šel","jít","impf"," I went over to the medicine chest."," Šel jsem ke skříňce s léky."
"sitting","sit","Seděla","sedět","impf"," Rheya was sitting up, looking at her bleeding hands with astonishment."," Seděla na posteli a hleděla ustrašeně na své zkrvavené ruce."
"looking","look","hleděla","hledět","impf"," Rheya was sitting up, looking at her bleeding hands with astonishment."," Seděla na posteli a hleděla ustrašeně na své zkrvavené ruce."
"hurt","hurt","Poranila","poranit","pf"," ' You hurt yourself trying to break down the door, ' I answered curtly."," "" Poranila ses, když jsi vyrážela dveře, "" řekl jsem suše."
"began","begin","otevřel","otevřít","pf"," The letter he sent me ended a chapter of my life, and began a new one ..."," Jeho dopis uzavřel jednu kapitolu mého života a otevřel novou."
"accompanied","accompany","provázeno","provázet","impf"," As each ring of waves breaks and sinks, the fall of this mass of hundreds of thousands of tons is accompanied for an instant by a viscous rumbling, an immense thunderclap."," Každé takové zřícení tisíců tun hmoty je provázeno na celé vteřiny rozloženým - dalo by se říci - lepkavým, mlaskavým zahřměním, protože tady se všechno odehrává v nestvůrných rozměrech."
"like","like","nelíbí","líbit","impf"," ' I do n't like it. '"," "" Tohle se mi nelíbí. """
"touched","touch","dotýkali","dotýkat","impf"," Must I go on living here then, among the objects we both had touched, in the air she had breathed?"," A tedy celá léta mezi tím nábytkem, mezi těmi věcmi, kterých jsme se dotýkali společně, v tom vzduchu, který si ještě pamatuje její dech?"
"persisted","persist","setrvávaje","setrvávat","impf"," I knew nothing, and I persisted in the faith that the time of cruel miracles was not past."," Nevěděl jsem, setrvávaje v neochvějné víře, že ještě neminul čas krutých zázraků."
"start","start","začnou","začít","pf"," And eventually, the screens of all the videophones would start to blink and all the communications equipment would spring to life again, revived by an impulse originating billions of miles away and announcing the arrival of a metal colossus."," Jednoho krásného dne se začnou všechny obrazovky videofonů třepotat světlem, celá, odedávna mrtvá elektronická signalizace ožije, uvedena do provozu impulsem vyslaným ze vzdálenosti statisíců kilometrů, a zvěstuje, že se blíží kovový kolos, který se pak za táhlého hřmění gravitorů snese nad oceán."
"originating","originate","začnou","začít","pf"," And eventually, the screens of all the videophones would start to blink and all the communications equipment would spring to life again, revived by an impulse originating billions of miles away and announcing the arrival of a metal colossus."," Jednoho krásného dne se začnou všechny obrazovky videofonů třepotat světlem, celá, odedávna mrtvá elektronická signalizace ožije, uvedena do provozu impulsem vyslaným ze vzdálenosti statisíců kilometrů, a zvěstuje, že se blíží kovový kolos, který se pak za táhlého hřmění gravitorů snese nad oceán."
"tell","tell","říci","říci","pf"," Should I tell him?"," Mám mu to říci?"
"expected","expect","Myslil","myslit","impf"," I should have expected your air-conditioning to work better than this! '"," "" Myslil jsem, že klimatizace funguje líp. """
"work","work","funguje","fungovat","impf"," I should have expected your air-conditioning to work better than this! '"," "" Myslil jsem, že klimatizace funguje líp. """
"adjusts","adjust","vyrovná","vyrovnat","pf"," ' It adjusts itself automatically every hour. '"," "" Za hodinku se to vyrovná."
"come","come","přijít","přijít","pf"," ' No, I ca n't come, ' he said quickly."," "" Ne, nemůžu přijít."
"hung","hang","visel","viset","impf"," There I stood, or rather hung suspended, enveloped in my pneumatic suit and yoke to the metal hull."," Stál jsem - či spíše visel - ve vzduchovém lůžku, spojen v jediný celek s kovovou skořepinou."
"suspended","suspend","visel","viset","impf"," There I stood, or rather hung suspended, enveloped in my pneumatic suit and yoke to the metal hull."," Stál jsem - či spíše visel - ve vzduchovém lůžku, spojen v jediný celek s kovovou skořepinou."
"looked","look","Podíval","podívat","pf"," I looked at Rheya."," Podíval jsem se na Harey."
"changed","change","změnila","změnit","pf"," She was in the middle of a yawn which she changed adroitly into a smile."," Otvírala právě ústa k zívnutí, které však obratně změnila v úsměv."
"look","look","hleděl","hledět","impf"," I continued to look at her and once more I felt as though something was crawling along my lower lip."," Stále jsem na ni hleděl a ve spodním rtu jsem opět ucítil ono mravenčení."
"felt","feel","ucítil","ucítit","pf"," I continued to look at her and once more I felt as though something was crawling along my lower lip."," Stále jsem na ni hleděl a ve spodním rtu jsem opět ucítil ono mravenčení."
"do","do","Jde","jít","impf"," You know that as well as I do."," Jde o ... víš přece, oč jde."
"do","do","jde","jít","impf"," You know that as well as I do."," Jde o ... víš přece, oč jde."
"stop","stop","přestal","přestat","pf"," But why stop there?"," "" Proč jsi přestal mluvit?"
"performed","perform","Provedl","provést","pf"," It has performed a series of ... experiments on us."," Provedl na nás řadu ... řadu ... pokusů."
"accustom","accustom","zvykneme","zvyknout","pf"," If we could not get rid of our visitors, we would accustom ourselves to their presence, learn to live with them."," Jestliže nebudeme moci zbavit se "" hostů "", tak si na ně zvykneme a budeme s nimi žít."
"altered","alter","změní","změnit","pf"," If their Creator altered the rules of the game, we would adapt ourselves to the new rules, even if at first we jibbed or rebelled, even if one of us despaired and killed himself."," A jestliže jejich Stvořitel změní pravidla hry, přizpůsobíme se i těm novým, i když snad nějakou dobu budeme váhat a stavět se na zadní, i když si třeba někdo z nás vezme život;"
"adapt","adapt","přizpůsobíme","přizpůsobit","pf"," If their Creator altered the rules of the game, we would adapt ourselves to the new rules, even if at first we jibbed or rebelled, even if one of us despaired and killed himself."," A jestliže jejich Stvořitel změní pravidla hry, přizpůsobíme se i těm novým, i když snad nějakou dobu budeme váhat a stavět se na zadní, i když si třeba někdo z nás vezme život;"
"try","try","Pokoušel","pokoušet","impf"," ' Did you try resuscitation? '"," "" Pokoušel ses ho zachránit? """
"said","say","odpověděla","odpovědět","pf"," Rheya said something, but I was already drifting into sleep."," Něco mi odpověděla, ale co, to jsem už nevnímal."
"dreamt","dream","zdála","zdát","impf"," I had dreamt that I was talking to Gibarian."," Rozmluva s Gibarianem se mi zdála, ale co to potom ..."
"doing","do","dělal","dělat","impf"," You know what he was doing?"," Víš, co dělal?"
"heard","hear","slyšel","slyšet","impf"," You must have heard of me."," Přece jste o mně slyšel!"
"arrived","arrive","Přiletěl","přiletět","pf"," I arrived off the PROMETHEUS a few hours ago. '"," Přiletěl jsem před několika hodinami Prométheem! """
"open","open","Otevřte","otevřít","pf"," Please open the door! '"," Otevřte! """
"remain","remain","zůstanu","zůstat","pf"," ' Since I have to remain here, I 'm bound to find out the truth sooner or later."," "" Přece když tady zůstanu, stejně se to dříve nebo později dozvím."
"understand","understand","Pochopíš","pochopit","pf"," ' When you 've received some visitors yourself, you 'll understand. '"," "" Pochopíš to, až budeš mít sám hosty, "" řekl."
"answer","answer","Neodpověděl","odpovědět","pf"," I did not answer."," Neodpověděl jsem."
"left","leave","opustil","opustit","pf"," The hangar-deck was just as I had left it."," Letištní halu jsem našel tak, jak jsem ji opustil."
"keep","keep","udržel","udržet","pf"," It was all I could do to keep her on the operating-table;"," Jen stěží jsem ji udržel, jak visela přes okraj stolu."
"hold","hold","Držel","držet","impf"," I dragged her back, and struggled to hold her down, but violent spasms kept jerking her out of my grasp."," Držel jsem ji a tiskl ke stolu, při každém dalším záchvatu křeče se však vytrhla;"
"kept","keep","Držel","držet","impf"," I dragged her back, and struggled to hold her down, but violent spasms kept jerking her out of my grasp."," Držel jsem ji a tiskl ke stolu, při každém dalším záchvatu křeče se však vytrhla;"
"jerking","jerk","vytrhla","vytrhnout","pf"," I dragged her back, and struggled to hold her down, but violent spasms kept jerking her out of my grasp."," Držel jsem ji a tiskl ke stolu, při každém dalším záchvatu křeče se však vytrhla;"
"pouring","pour","tekl","téci","impf"," I was pouring with sweat, and my legs were like jelly."," pot ze mne tekl a nohy se pode mnou podlamovaly."
"want","want","nechce","chtít","impf"," I just do n't want to get us all killed, Snow. '"," Mně se nechce zemřít, Snaute! """
"generated","generate","vzbudit","vzbudit","pf"," Negative fields can be generated all right."," Antipole je možno vzbudit."
"spilt","spill","polity","polít","pf"," Books with their pages splayed out fanwise were stained with coloured liquids which had spilt from broken retorts and bottles with corroded stoppers, receptacles made of such thick glass that a single fall, even from a considerable height, could not have shattered them in such a way."," Rozevřené knihy s třepotajícími se listy byly polity tekutinami z roztříštěných baněk a lahví se zabroušenými zátkami, většinou tak tlustostěnných, že obyčejným pádem na podlahu, třeba i ze značné výšky, se nemohly rozbít."
"broken","break","rozbít","rozbít","pf"," Books with their pages splayed out fanwise were stained with coloured liquids which had spilt from broken retorts and bottles with corroded stoppers, receptacles made of such thick glass that a single fall, even from a considerable height, could not have shattered them in such a way."," Rozevřené knihy s třepotajícími se listy byly polity tekutinami z roztříštěných baněk a lahví se zabroušenými zátkami, většinou tak tlustostěnných, že obyčejným pádem na podlahu, třeba i ze značné výšky, se nemohly rozbít."
"shattered","shatter","rozbít","rozbít","pf"," Books with their pages splayed out fanwise were stained with coloured liquids which had spilt from broken retorts and bottles with corroded stoppers, receptacles made of such thick glass that a single fall, even from a considerable height, could not have shattered them in such a way."," Rozevřené knihy s třepotajícími se listy byly polity tekutinami z roztříštěných baněk a lahví se zabroušenými zátkami, většinou tak tlustostěnných, že obyčejným pádem na podlahu, třeba i ze značné výšky, se nemohly rozbít."
"lay","lie","ležel","ležet","impf"," Beneath the window lay an overturned desk, an anglepoise lamp crumpled underneath it;"," Pod oknem ležel převržený psací stůl se zdemolovanou pracovní lampou na pohyblivém rameni;"
"told","tell","řekls","říci","pf"," You told her to give me a sleeping pill ..."," A řekls jí, aby mi dala uspávači prostředek? ..."
"give","give","dala","dát","pf"," You told her to give me a sleeping pill ..."," A řekls jí, aby mi dala uspávači prostředek? ..."
"Tell","tell","Mluv","mluvit","impf"," Tell me! '"," Mluv!!! """
"noticed","notice","nezpozoroval","zpozorovat","pf"," He would leave a note at my door, or call me on the videophone, asking whether I had noticed any new event or change, or anything at all which could be interpreted as a response to the repeated X-ray bombardments."," Vyptával se, zda jsem nezpozoroval nějaký nový jev, nějakou změnu, která by se dala vysvětlit jako reakce na tolikrát opakovaný experiment."
"interpreted","interpret","vysvětlit","vysvětlit","pf"," He would leave a note at my door, or call me on the videophone, asking whether I had noticed any new event or change, or anything at all which could be interpreted as a response to the repeated X-ray bombardments."," Vyptával se, zda jsem nezpozoroval nějaký nový jev, nějakou změnu, která by se dala vysvětlit jako reakce na tolikrát opakovaný experiment."
"hung","hang","visely","viset","impf"," Two sets of this equipment, complete with masks, hung down from one of the knobs of the vertical bed."," Dva tyto aparáty i s maskami visely přes pelest sklopené postele."
"touch","touch","dotkl","dotknout","pf"," With a far greater effort than it had taken to touch Gibarian 's corpse, I forced myself to touch one of the bare feet."," Přesvědčil jsem se o tom dotekem, který mi byl mnohem méně příjemný, než když jsem se dotkl mrtvého těla."
"touch","touch","dotkl","dotknout","pf"," With a far greater effort than it had taken to touch Gibarian 's corpse, I forced myself to touch one of the bare feet."," Přesvědčil jsem se o tom dotekem, který mi byl mnohem méně příjemný, než když jsem se dotkl mrtvého těla."
"sprang","spring","vyskočila","vyskočit","pf"," She sprang to her feet at once :"," Když mě uviděla, vyskočila."
"see","see","Vidíš","vidět","impf"," ' You see?"," "" Vidíš?! ... "" řekla a pohlédla na mne třpytícíma se očima."
"control","control","Reguloval","regulovat","impf"," But did it control the eruption and subsidence of the rocky formations buried in its depths?"," Reguloval snad oceán také vynořování a propadání skalistých útvarů ve svém lůně?"
"Gazing","gaze","Díval","dívat","impf"," Gazing at the big flat projection of the two hemispheres, coloured in various tones of blue and purple, I experienced once again that thrill of wonder which had so often gripped me, and which I had felt as a schoolboy on learning of the existence of Solaris for the first time."," Díval jsem se na obrovské polokoule pomalované různými odstíny fialové barvy a modři a pocítil jsem - nevím pokolikáté už ve svém životě - úžas stejně otřesný, jako byl ten první, kdy jsem se jako chlapec dozvěděl ve škole o existenci Solaris."
"experienced","experience","pocítil","pocítit","pf"," Gazing at the big flat projection of the two hemispheres, coloured in various tones of blue and purple, I experienced once again that thrill of wonder which had so often gripped me, and which I had felt as a schoolboy on learning of the existence of Solaris for the first time."," Díval jsem se na obrovské polokoule pomalované různými odstíny fialové barvy a modři a pocítil jsem - nevím pokolikáté už ve svém životě - úžas stejně otřesný, jako byl ten první, kdy jsem se jako chlapec dozvěděl ve škole o existenci Solaris."
"felt","feel","pocítil","pocítit","pf"," Gazing at the big flat projection of the two hemispheres, coloured in various tones of blue and purple, I experienced once again that thrill of wonder which had so often gripped me, and which I had felt as a schoolboy on learning of the existence of Solaris for the first time."," Díval jsem se na obrovské polokoule pomalované různými odstíny fialové barvy a modři a pocítil jsem - nevím pokolikáté už ve svém životě - úžas stejně otřesný, jako byl ten první, kdy jsem se jako chlapec dozvěděl ve škole o existenci Solaris."
"learning","learn","dozvěděl","dozvědět","pf"," Gazing at the big flat projection of the two hemispheres, coloured in various tones of blue and purple, I experienced once again that thrill of wonder which had so often gripped me, and which I had felt as a schoolboy on learning of the existence of Solaris for the first time."," Díval jsem se na obrovské polokoule pomalované různými odstíny fialové barvy a modři a pocítil jsem - nevím pokolikáté už ve svém životě - úžas stejně otřesný, jako byl ten první, kdy jsem se jako chlapec dozvěděl ve škole o existenci Solaris."
"jumped","jump","vyskočil","vyskočit","pf"," I jumped, but it was only my own reflection."," Koutkem oka jsem tam zachytil nějaký pohyb, vyskočil jsem, ale byl to jen můj vlastní obraz."
"think","think","myslím","myslet","impf"," Yet it seems to me that I think as any human being does.. and I know nothing!"," Ale já přece myslím docela normálně ... a nic nevím ..."
"want","want","Chceš","chtít","impf"," ' Is it death you want? '"," "" Chceš zemřít? """
"shouting","shout","křičel","křičet","impf"," I was shouting now, and blinded with tears."," Nic! "" křičel jsem triumfálně, oslepený slzami."
"want","want","chceš","chtít","impf"," ' You want to destroy it?"," "" Ty ho chceš zničit? "" řekl."
"destroy","destroy","zničit","zničit","pf"," ' You want to destroy it?"," "" Ty ho chceš zničit? "" řekl."
"want","want","chceš","chtít","impf"," ' What do you want?"," "" Co chceš?"
"call","call","Nazvěme","nazvat","pf"," ' Let 's call them Phi-creatures, ' Snow interjected."," "" Nazvěme je útvary F, "" navrhl rychle Snaut."
"go","go","šel","jít","impf"," By the third day I was really worried and made up my mind to go back."," ale na třetí den jsem tam přece jenom šel, nedalo mi to."
"arrived","arrive","přišel","přijít","pf"," When I arrived, she was dead. '"," Už ... když jsem přišel, už nedýchala."
"say","say","říkal","říkat","impf"," ' If you say so ... '"," Pohnul jsem nepatrně hlavou, jako kdybych říkal "" dejme tomu "", "" možná ""."
"say","say","neřekl","říci","pf"," Why did n't you say it was you?"," Proč jsi neřekl, že jsi to ty?"
"despise","despise","neignoruje","ignorovat","impf"," The administrative director of the Universal Cosmological Institute ventured to assert that the living ocean did not despise men in the least, but had not noticed them, as an elephant neither feels nor sees the ants crawling on its back."," Ale snad nikdo nezašel tak daleko jako administrativní ředitel Celosvětového kosmologického ústavu, který zarytě hlásal, že živý oceán lidi vůbec neignoruje, ale prostě je nevnímá, podobně jako slon nevnímá mravence, který mu leze po hřbetě;"
"noticed","notice","nevnímá","vnímat","impf"," The administrative director of the Universal Cosmological Institute ventured to assert that the living ocean did not despise men in the least, but had not noticed them, as an elephant neither feels nor sees the ants crawling on its back."," Ale snad nikdo nezašel tak daleko jako administrativní ředitel Celosvětového kosmologického ústavu, který zarytě hlásal, že živý oceán lidi vůbec neignoruje, ale prostě je nevnímá, podobně jako slon nevnímá mravence, který mu leze po hřbetě;"
"feels","feel","nevnímá","vnímat","impf"," The administrative director of the Universal Cosmological Institute ventured to assert that the living ocean did not despise men in the least, but had not noticed them, as an elephant neither feels nor sees the ants crawling on its back."," Ale snad nikdo nezašel tak daleko jako administrativní ředitel Celosvětového kosmologického ústavu, který zarytě hlásal, že živý oceán lidi vůbec neignoruje, ale prostě je nevnímá, podobně jako slon nevnímá mravence, který mu leze po hřbetě;"
"noticed","notice","nevnímá","vnímat","impf"," The administrative director of the Universal Cosmological Institute ventured to assert that the living ocean did not despise men in the least, but had not noticed them, as an elephant neither feels nor sees the ants crawling on its back."," Ale snad nikdo nezašel tak daleko jako administrativní ředitel Celosvětového kosmologického ústavu, který zarytě hlásal, že živý oceán lidi vůbec neignoruje, ale prostě je nevnímá, podobně jako slon nevnímá mravence, který mu leze po hřbetě;"
"feels","feel","nevnímá","vnímat","impf"," The administrative director of the Universal Cosmological Institute ventured to assert that the living ocean did not despise men in the least, but had not noticed them, as an elephant neither feels nor sees the ants crawling on its back."," Ale snad nikdo nezašel tak daleko jako administrativní ředitel Celosvětového kosmologického ústavu, který zarytě hlásal, že živý oceán lidi vůbec neignoruje, ale prostě je nevnímá, podobně jako slon nevnímá mravence, který mu leze po hřbetě;"
"crawling","crawl","leze","lézt","impf"," The administrative director of the Universal Cosmological Institute ventured to assert that the living ocean did not despise men in the least, but had not noticed them, as an elephant neither feels nor sees the ants crawling on its back."," Ale snad nikdo nezašel tak daleko jako administrativní ředitel Celosvětového kosmologického ústavu, který zarytě hlásal, že živý oceán lidi vůbec neignoruje, ale prostě je nevnímá, podobně jako slon nevnímá mravence, který mu leze po hřbetě;"
"do","do","uděláš","udělat","pf"," And then what will you do?"," Co uděláš pak?"
"resembles","resemble","podobá","podobat","impf"," Viewed from above, the mimoid resembles a town, an illusion produced by our compulsion to superimpose analogies with what we know."," Z výšky se mimoid podobá městu, je to však klam způsobený snahou hledat ve všem analogii s tím, co známe."
"raised","raise","Zvedl","zvednout","pf"," I raised my hand slowly, and the wave, or rather an outcrop of the wave, rose at the same time, enfolding my hand in a translucent cyst with greenish reflections."," Zvedl jsem pomalu ruku a vlna, či spíše její úzká odnož, ji následovala vzhůru, obklopujíc stále mou dlaň jasněji a jasněji průsvitnou zelenavou blánou."
"rose","rise","Zvedl","zvednout","pf"," I raised my hand slowly, and the wave, or rather an outcrop of the wave, rose at the same time, enfolding my hand in a translucent cyst with greenish reflections."," Zvedl jsem pomalu ruku a vlna, či spíše její úzká odnož, ji následovala vzhůru, obklopujíc stále mou dlaň jasněji a jasněji průsvitnou zelenavou blánou."
"enfolding","enfold","obklopujíc","obklopovat","impf"," I raised my hand slowly, and the wave, or rather an outcrop of the wave, rose at the same time, enfolding my hand in a translucent cyst with greenish reflections."," Zvedl jsem pomalu ruku a vlna, či spíše její úzká odnož, ji následovala vzhůru, obklopujíc stále mou dlaň jasněji a jasněji průsvitnou zelenavou blánou."
"locked","lock","zamknout","zamknout","pf"," In spite of all her exertions, she could not bear to stay out of sight and earshot for longer than five minutes, so I had abandoned my idea of further tests ( she was even prepared to let herself be locked up somewhere ), asked her to come with me, and advised her to bring something to read."," Všechno její úsilí bylo zbytečné, jakmile jsem byl z pokoje pryč déle než několik minut, a tak jsem se vzdal dalších pokusů, i když Harey naléhala ( byla ochotna dát se dokonce někam zamknout ), a poradil jsem jí, aby si s sebou vzala něco ke čtení."
"advised","advise","poradil","poradit","pf"," In spite of all her exertions, she could not bear to stay out of sight and earshot for longer than five minutes, so I had abandoned my idea of further tests ( she was even prepared to let herself be locked up somewhere ), asked her to come with me, and advised her to bring something to read."," Všechno její úsilí bylo zbytečné, jakmile jsem byl z pokoje pryč déle než několik minut, a tak jsem se vzdal dalších pokusů, i když Harey naléhala ( byla ochotna dát se dokonce někam zamknout ), a poradil jsem jí, aby si s sebou vzala něco ke čtení."
"find","find","najdu","najít","pf"," I was especially curious about what I would find in the laboratory."," Více než úkon sám mě zajímalo, co najdu v laboratoři."
"disappeared","disappear","zmizela","zmizet","pf"," A sudden panic had overwhelmed me after Snow had fixed the electrodes and walked over to the controls : now it disappeared just as suddenly."," Tréma, která mi vyprázdnila hlavu, když skončil s přikládáním elektrod a položil ruku na vypínač, náhle zmizela, skrz řasy jsem uviděl narůžovělá světélka kontrolních žárovek na černé desce přístroje."
"extinguished","extinguish","zhasl","zhasnout","pf"," The last ray of hope was extinguished."," Poslední paprsek naděje zhasl."
"drank","drink","vypil","vypít","pf"," I unplugged the transmitter, drank the remains of the soup in the vacuum flask, and went to bed."," Vypnul jsem vysílačku, vypil zbytek bujónu z termosky a šel spát."
