"kills","kill","zabil","zabít","pf"," Eat it so that the point of the hook goes into your heart and kills you, he thought."," Spolkni to tak, aby ti hrot háku pronikl do srdce a zabil tě, pomyslel si."
"do","do","dělat","dělat","impf"," But his left hand had always been a traitor and would not do what he called on it to do and he did not trust it."," Ale jeho levá ruka byla vždycky zrádná a nechtěla dělat, co na ní chtěl, a on k ní neměl důvěru."
"do","do","dělat","dělat","impf"," But his left hand had always been a traitor and would not do what he called on it to do and he did not trust it."," Ale jeho levá ruka byla vždycky zrádná a nechtěla dělat, co na ní chtěl, a on k ní neměl důvěru."
"did","do","dělat","dělat","impf"," But his left hand had always been a traitor and would not do what he called on it to do and he did not trust it."," Ale jeho levá ruka byla vždycky zrádná a nechtěla dělat, co na ní chtěl, a on k ní neměl důvěru."
"thought","think","pomyslel","pomyslet","pf"," The sun will bake it out well now, he thought."," Teď ji slunce jaksepatří vyhřeje, pomyslel si."
"rises","rise","vyjde","vyjít","pf"," They were only perceptible at first as the light is in the sky before the moon rises."," Byla zprvu patrná jen jako přísvit na obloze, než vyjde měsíc."
"see","see","vidět","vidět","impf"," Then they were steady to see across the ocean which was rough now with the increasing breeze."," Pak je bylo vidět ustavičně přes oceán, který se nyní v zesilující brise prudce dmul."
"thought","think","myslel","myslet","impf"," He steered inside of the glow and he thought that now, soon, he must hit the edge of the stream."," Stařec zamířil za tou září a myslel si, že teď už jistě brzy narazí na okraj proudu."
"hit","hit","narazí","narazit","pf"," He steered inside of the glow and he thought that now, soon, he must hit the edge of the stream."," Stařec zamířil za tou září a myslel si, že teď už jistě brzy narazí na okraj proudu."
"hit","hit","napadnou","napadnout","pf"," They will probably hit me again."," Nejspíš mě ještě jednou napadnou."
"hope","hope","Doufám","doufat","impf"," I hope I do not have to fight again, he thought."," Doufám, že už nebudu muset bojovat, opakoval si úpěnlivě."
"fight","fight","bojovat","bojovat","impf"," I hope I do not have to fight again, he thought."," Doufám, že už nebudu muset bojovat, opakoval si úpěnlivě."
"hope","hope","doufám","doufat","impf"," I hope so much I do not have to fight again."," Tolik doufám, že už nebudu muset bojovat."
"fight","fight","bojovat","bojovat","impf"," I hope so much I do not have to fight again."," Tolik doufám, že už nebudu muset bojovat."
"fought","fight","bojoval","bojovat","impf"," But by midnight he fought and this time he knew the fight was useless."," Ale k půlnoci bojoval a věděl tentokrát, že bojuje nadarmo."
"fought","fight","bojuje","bojovat","impf"," But by midnight he fought and this time he knew the fight was useless."," Ale k půlnoci bojoval a věděl tentokrát, že bojuje nadarmo."
"came","come","Přišli","přijít","pf"," They came in a pack and he could only see the lines in the water that their fins made and their phosphorescence as they threw themselves on the fish."," Přišli v celé smečce a on viděl jenom čáry ve vodě, které rýsovaly jejich hřbetní ploutve, a jejich fosforeskování, když se vrhali na rybu."
"see","see","Přišli","přijít","pf"," They came in a pack and he could only see the lines in the water that their fins made and their phosphorescence as they threw themselves on the fish."," Přišli v celé smečce a on viděl jenom čáry ve vodě, které rýsovaly jejich hřbetní ploutve, a jejich fosforeskování, když se vrhali na rybu."
"see","see","viděl","vidět","impf"," They came in a pack and he could only see the lines in the water that their fins made and their phosphorescence as they threw themselves on the fish."," Přišli v celé smečce a on viděl jenom čáry ve vodě, které rýsovaly jejich hřbetní ploutve, a jejich fosforeskování, když se vrhali na rybu."
"threw","throw","vrhali","vrhat","impf"," They came in a pack and he could only see the lines in the water that their fins made and their phosphorescence as they threw themselves on the fish."," Přišli v celé smečce a on viděl jenom čáry ve vodě, které rýsovaly jejich hřbetní ploutve, a jejich fosforeskování, když se vrhali na rybu."
"rest","rest","odpočinu","odpočinout","pf"," Now I will rest an hour more and feel that he is solid and steady before I move back to the stern to do the work and make the decision."," Teď si ještě hodinku odpočinu a zjistím si, jestli bude tak rovnoměrně a vytrvale plout dál, a pak se teprv dostanu na záď, pustím se do práce a rozhodnu se."
"move","move","plout","plout","impf"," Now I will rest an hour more and feel that he is solid and steady before I move back to the stern to do the work and make the decision."," Teď si ještě hodinku odpočinu a zjistím si, jestli bude tak rovnoměrně a vytrvale plout dál, a pak se teprv dostanu na záď, pustím se do práce a rozhodnu se."
"see","see","uvidím","uvidět","pf"," In the meantime I can see how he acts and if he shows any changes."," Zatím uvidím, co bude ryba dělat a jestli se na ní neprojeví nějaká změna."
"acts","act","dělat","dělat","impf"," In the meantime I can see how he acts and if he shows any changes."," Zatím uvidím, co bude ryba dělat a jestli se na ní neprojeví nějaká změna."
"shows","show","neprojeví","projevit","pf"," In the meantime I can see how he acts and if he shows any changes."," Zatím uvidím, co bude ryba dělat a jestli se na ní neprojeví nějaká změna."
"kept","keep","Má","mít","impf"," He is much fish still and I saw that the hook was in the corner of his mouth and he has kept his mouth tight shut."," Má v sobě ještě pořád dost života a hák, jak jsem viděl, jí trčí z koutku huby a hubu má pevně semknutou."
"saw","see","viděl","vidět","impf"," He is much fish still and I saw that the hook was in the corner of his mouth and he has kept his mouth tight shut."," Má v sobě ještě pořád dost života a hák, jak jsem viděl, jí trčí z koutku huby a hubu má pevně semknutou."
"kept","keep","má","mít","impf"," He is much fish still and I saw that the hook was in the corner of his mouth and he has kept his mouth tight shut."," Má v sobě ještě pořád dost života a hák, jak jsem viděl, jí trčí z koutku huby a hubu má pevně semknutou."
"considered","consider","považovalo","považovat","impf"," It was considered a virtue not to talk unnecessarily at sea and the old man had always considered it so and respected it."," Na moři se považovalo za ctnost nemluvit, když to není nutné, a stařec to tak vždycky bral a dodržoval to."
"considered","consider","považovalo","považovat","impf"," It was considered a virtue not to talk unnecessarily at sea and the old man had always considered it so and respected it."," Na moři se považovalo za ctnost nemluvit, když to není nutné, a stařec to tak vždycky bral a dodržoval to."
"talk","talk","nemluvit","mluvit","impf"," It was considered a virtue not to talk unnecessarily at sea and the old man had always considered it so and respected it."," Na moři se považovalo za ctnost nemluvit, když to není nutné, a stařec to tak vždycky bral a dodržoval to."
"respected","respect","dodržoval","dodržovat","impf"," It was considered a virtue not to talk unnecessarily at sea and the old man had always considered it so and respected it."," Na moři se považovalo za ctnost nemluvit, když to není nutné, a stařec to tak vždycky bral a dodržoval to."
"said","say","vyslovoval","vyslovovat","impf"," But now he said his thoughts aloud many times since there was no one that they could annoy."," Ale teď, když s ním nebyl nikdo, komu by to mohlo vadit, vyslovoval hlasitě své myšlenky často."
"heard","hear","slyšeli","slyšet","impf"," "" If the others heard me talking out loud they would think that I am crazy, "" he said aloud."," "" Kdyby mě slyšeli mluvit ostatní, pomysleli by si, že mně přeskočilo, "" řekl nahlas."
"talking","talk","mluvit","mluvit","impf"," "" If the others heard me talking out loud they would think that I am crazy, "" he said aloud."," "" Kdyby mě slyšeli mluvit ostatní, pomysleli by si, že mně přeskočilo, "" řekl nahlas."
"said","say","mluvit","mluvit","impf"," "" If the others heard me talking out loud they would think that I am crazy, "" he said aloud."," "" Kdyby mě slyšeli mluvit ostatní, pomysleli by si, že mně přeskočilo, "" řekl nahlas."
"think","think","pomysleli","pomyslet","pf"," "" If the others heard me talking out loud they would think that I am crazy, "" he said aloud."," "" Kdyby mě slyšeli mluvit ostatní, pomysleli by si, že mně přeskočilo, "" řekl nahlas."
"said","say","řekl","říci","pf"," "" If the others heard me talking out loud they would think that I am crazy, "" he said aloud."," "" Kdyby mě slyšeli mluvit ostatní, pomysleli by si, že mně přeskočilo, "" řekl nahlas."
"used","use","užívali","užívat","impf"," Some of the younger fishermen, those who used buoys as floats for their lines and had motorboats, bought when the shark livers had brought much money, spoke of her as el mar which is masculine."," Někteří mladší rybáři, ti, co užívali bojí jako splávků pro své šňůry a měli motorové čluny, koupené, když jim žraločí játra vynesla hodně peněz, mluvili o moři v mužském rodě, říkali EL MAR."
"brought","bring","vynesla","vynést","pf"," Some of the younger fishermen, those who used buoys as floats for their lines and had motorboats, bought when the shark livers had brought much money, spoke of her as el mar which is masculine."," Někteří mladší rybáři, ti, co užívali bojí jako splávků pro své šňůry a měli motorové čluny, koupené, když jim žraločí játra vynesla hodně peněz, mluvili o moři v mužském rodě, říkali EL MAR."
"spoke","speak","mluvili","mluvit","impf"," Some of the younger fishermen, those who used buoys as floats for their lines and had motorboats, bought when the shark livers had brought much money, spoke of her as el mar which is masculine."," Někteří mladší rybáři, ti, co užívali bojí jako splávků pro své šňůry a měli motorové čluny, koupené, když jim žraločí játra vynesla hodně peněz, mluvili o moři v mužském rodě, říkali EL MAR."
"spoke","speak","říkali","říkat","impf"," Some of the younger fishermen, those who used buoys as floats for their lines and had motorboats, bought when the shark livers had brought much money, spoke of her as el mar which is masculine."," Někteří mladší rybáři, ti, co užívali bojí jako splávků pro své šňůry a měli motorové čluny, koupené, když jim žraločí játra vynesla hodně peněz, mluvili o moři v mužském rodě, říkali EL MAR."
"spoke","speak","Mluvili","mluvit","impf"," They spoke of her as a contestant or a place or even an enemy."," Mluvili o něm jako o nějakém soupeři nebo o zeměpisném názvu nebo dokonce jako o nepříteli."
"thought","think","myslil","myslit","impf"," But the old man always thought of her as feminine and as something that gave or withheld great favours, and if she did wild or wicked things it was because she could not help them."," Ale stařec na tu vodní spoustu myslil vždycky jako na ženskou bytost, která člověku věnuje nebo odpírá velikou přízeň, a jestliže provádí divoké či zlomyslné kousky, je to jen proto, že nemůže jinak."
"gave","give","věnuje","věnovat","impf"," But the old man always thought of her as feminine and as something that gave or withheld great favours, and if she did wild or wicked things it was because she could not help them."," Ale stařec na tu vodní spoustu myslil vždycky jako na ženskou bytost, která člověku věnuje nebo odpírá velikou přízeň, a jestliže provádí divoké či zlomyslné kousky, je to jen proto, že nemůže jinak."
"did","do","provádí","provádět","impf"," But the old man always thought of her as feminine and as something that gave or withheld great favours, and if she did wild or wicked things it was because she could not help them."," Ale stařec na tu vodní spoustu myslil vždycky jako na ženskou bytost, která člověku věnuje nebo odpírá velikou přízeň, a jestliže provádí divoké či zlomyslné kousky, je to jen proto, že nemůže jinak."
"swam","swim","plaval","plavat","impf"," He was built as a sword fish except for his huge jaws which were tight shut now as he swam fast, just under the surface with his high dorsal fin knifing through the water without wavering."," Tělem se podobal mečounovi, až na obrovité čelisti, které měl teď pevně semknuty, když rychle plaval těsně pod hladinou a vysokou hřbetní ploutví protínal vodu v nechvějící se přímce."
"kept","keep","udržet","udržet","pf"," He kept them straighter than anyone did, so that at each level in the darkness of the stream there would be a bait waiting exactly where he wished it to be for any fish that swam there."," Nikdo jiný je nedokázal udržet rovněji, tak aby ve všech vrstvách temnoty vodního proudění, přesně tam, kde chtěl, čekalo vnadidlo na každou rybu, která by plula kolem."
"wished","wish","chtěl","chtít","impf"," He kept them straighter than anyone did, so that at each level in the darkness of the stream there would be a bait waiting exactly where he wished it to be for any fish that swam there."," Nikdo jiný je nedokázal udržet rovněji, tak aby ve všech vrstvách temnoty vodního proudění, přesně tam, kde chtěl, čekalo vnadidlo na každou rybu, která by plula kolem."
"waiting","wait","čekalo","čekat","impf"," He kept them straighter than anyone did, so that at each level in the darkness of the stream there would be a bait waiting exactly where he wished it to be for any fish that swam there."," Nikdo jiný je nedokázal udržet rovněji, tak aby ve všech vrstvách temnoty vodního proudění, přesně tam, kde chtěl, čekalo vnadidlo na každou rybu, která by plula kolem."
"swam","swim","plula","plout","impf"," He kept them straighter than anyone did, so that at each level in the darkness of the stream there would be a bait waiting exactly where he wished it to be for any fish that swam there."," Nikdo jiný je nedokázal udržet rovněji, tak aby ve všech vrstvách temnoty vodního proudění, přesně tam, kde chtěl, čekalo vnadidlo na každou rybu, která by plula kolem."
"let","let","nechali","nechat","pf"," Others let them drift with the current and sometimes they were at sixty fathoms when the fishermen thought they were at a hundred."," Jiní rybáři si je nechali brát proudem a často měli vnadidlo v hloubce šedesáti sáhů, když byli přesvědčeni, že dosáhli stovky."
"thought","think","měli","mít","impf"," Others let them drift with the current and sometimes they were at sixty fathoms when the fishermen thought they were at a hundred."," Jiní rybáři si je nechali brát proudem a často měli vnadidlo v hloubce šedesáti sáhů, když byli přesvědčeni, že dosáhli stovky."
"thought","think","myslel","myslet","impf"," But, he thought, I keep them with precision."," To já, myslel si stařec, s nimi zacházím přesně."
"taken","take","vzal","vzít","pf"," During the day he had taken the sack that covered the bait box and spread it in the sun to dry."," Dříve během dne vzal pytel, který přikrýval bedničku s návnadou, a rozprostřel ho, aby se na slunci usušil."
"covered","cover","přikrýval","přikrývat","impf"," During the day he had taken the sack that covered the bait box and spread it in the sun to dry."," Dříve během dne vzal pytel, který přikrýval bedničku s návnadou, a rozprostřel ho, aby se na slunci usušil."
"found","find","našel","najít","pf"," The sack cushioned the line and he had found a way of leaning forward against the bow so that he was almost comfortable."," Podložil pytlem šňůru jako polštářkem a našel si způsob, jak se opřít dopředu o příď, takže měl skoro pohodlí."
"leaning","lean","opřít","opřít","pf"," The sack cushioned the line and he had found a way of leaning forward against the bow so that he was almost comfortable."," Podložil pytlem šňůru jako polštářkem a našel si způsob, jak se opřít dopředu o příď, takže měl skoro pohodlí."
"dreamed","dream","zdálo","zdát","impf"," Then he dreamed that he was in the village on his bed and there was a norther and he was very cold and his right arm was asleep because his head had rested on it instead of a pillow."," Pak se mu zdálo, že je doma ve vesnici v posteli, že fouká prudký severák, že je mu velmi zima a že mu zdřevěněla pravá paže, protože si ji podložil pod hlavu místo polštáře."
"took","take","Zabral","zabrat","pf"," He took the bait like a male and he pulls like a male and his fight has no panic in it."," Zabral na vnadidlo jako samec a táhne jako samec a bojuje beze vší paniky."
"pulls","pull","táhne","táhnout","impf"," He took the bait like a male and he pulls like a male and his fight has no panic in it."," Zabral na vnadidlo jako samec a táhne jako samec a bojuje beze vší paniky."
"remembered","remember","Vzpomněl","vzpomenout","pf"," He remembered the time he had hooked one of a pair of marlin."," Vzpomněl si, jak jednou chytil na hák samici z párku marlinů."
"think","think","Myslím","myslet","impf"," I do not think I could endure that or the loss of the eye and of both eyes and continue to fight as the fighting cocks do."," Myslím, že bych takovou bolest nevydržel a že bych nedokázal přijít o jedno či obě oči a pokračovat v boji, jako to dělají kohouti při zápasech."
"endure","endure","nevydržel","vydržet","pf"," I do not think I could endure that or the loss of the eye and of both eyes and continue to fight as the fighting cocks do."," Myslím, že bych takovou bolest nevydržel a že bych nedokázal přijít o jedno či obě oči a pokračovat v boji, jako to dělají kohouti při zápasech."
"continue","continue","pokračovat","pokračovat","impf"," I do not think I could endure that or the loss of the eye and of both eyes and continue to fight as the fighting cocks do."," Myslím, že bych takovou bolest nevydržel a že bych nedokázal přijít o jedno či obě oči a pokračovat v boji, jako to dělají kohouti při zápasech."
"do","do","dělají","dělat","impf"," I do not think I could endure that or the loss of the eye and of both eyes and continue to fight as the fighting cocks do."," Myslím, že bych takovou bolest nevydržel a že bych nedokázal přijít o jedno či obě oči a pokračovat v boji, jako to dělají kohouti při zápasech."
"do","do","dělají","dělat","impf"," I do not think I could endure that or the loss of the eye and of both eyes and continue to fight as the fighting cocks do."," Myslím, že bych takovou bolest nevydržel a že bych nedokázal přijít o jedno či obě oči a pokračovat v boji, jako to dělají kohouti při zápasech."
"come","come","přišli","přijít","pf"," "" Unless sharks come, "" he said aloud."," "" Až na to, kdyby přišli žraloci, "" pronesl nahlas."
"said","say","pronesl","pronést","pf"," "" Unless sharks come, "" he said aloud."," "" Až na to, kdyby přišli žraloci, "" pronesl nahlas."
"try","try","snažit","snažit","impf"," Imagine if each day a man must try to kill the moon, he thought."," Co kdyby se tak nějaký člověk musel snažit zabít každý den měsíc?"
"kill","kill","zabít","zabít","pf"," Imagine if each day a man must try to kill the moon, he thought."," Co kdyby se tak nějaký člověk musel snažit zabít každý den měsíc?"
"runs","run","uteče","utéci","pf"," The moon runs away."," Měsíc uteče."
"try","try","pokusit","pokusit","pf"," But imagine if a man each day should have to try to kill the sun?"," Ale co kdyby se tak někdo každý den musel pokusit zabít slunce?"
"kill","kill","zabít","zabít","pf"," But imagine if a man each day should have to try to kill the sun?"," Ale co kdyby se tak někdo každý den musel pokusit zabít slunce?"
"thought","think","pomyslel","pomyslet","pf"," We were born lucky, he thought."," Narodili jsme se šťastně, pomyslel si."
"eat","eat","jíst","jíst","impf"," Then he was sorry for the great fish that had nothing to eat and his determination to kill him never relaxed in his sorrow for him."," Pak mu přišlo líto veliké ryby, která nemá co jíst, ale jeho odhodlání zabít ji ani na chvilku při té lítosti neochablo."
"kill","kill","zabít","zabít","pf"," Then he was sorry for the great fish that had nothing to eat and his determination to kill him never relaxed in his sorrow for him."," Pak mu přišlo líto veliké ryby, která nemá co jíst, ale jeho odhodlání zabít ji ani na chvilku při té lítosti neochablo."
"hunting","hunt","shánějí","shánět","impf"," But she can be so cruel and it comes so suddenly and such birds that fly, dipping and hunting, with their small sad voices are made too delicately for the sea."," Ale dokáže být tak ukrutná a vymrštit se tak náhle, a takovíhle ptáčci, kteří se vznášejí, hrouží do vln a shánějí potravu s tím svým tenkým smutným pípáním, jsou pro ni příliš něžní. """
"thought","think","Myslel","myslet","impf"," He always thought of the sea as la mar which is what people call her in Spanish when they love her."," Myslel na moře vždycky v ženském rodě, jako na LA MAR, jak mu lidé říkají ve španělštině, když je milují."
"call","call","říkají","říkat","impf"," He always thought of the sea as la mar which is what people call her in Spanish when they love her."," Myslel na moře vždycky v ženském rodě, jako na LA MAR, jak mu lidé říkají ve španělštině, když je milují."
"love","love","milují","milovat","impf"," He always thought of the sea as la mar which is what people call her in Spanish when they love her."," Myslel na moře vždycky v ženském rodě, jako na LA MAR, jak mu lidé říkají ve španělštině, když je milují."
"say","say","mluví","mluvit","impf"," Sometimes those who love her say bad things of her but they are always said as though she were a woman."," Někdy o té mořské spoustě mluví špatně i ti, kdož ji milují, ale říkají to vždycky, jako by hovořili o ženě."
"said","say","mluví","mluvit","impf"," Sometimes those who love her say bad things of her but they are always said as though she were a woman."," Někdy o té mořské spoustě mluví špatně i ti, kdož ji milují, ale říkají to vždycky, jako by hovořili o ženě."
"love","love","milují","milovat","impf"," Sometimes those who love her say bad things of her but they are always said as though she were a woman."," Někdy o té mořské spoustě mluví špatně i ti, kdož ji milují, ale říkají to vždycky, jako by hovořili o ženě."
"say","say","říkají","říkat","impf"," Sometimes those who love her say bad things of her but they are always said as though she were a woman."," Někdy o té mořské spoustě mluví špatně i ti, kdož ji milují, ale říkají to vždycky, jako by hovořili o ženě."
"said","say","říkají","říkat","impf"," Sometimes those who love her say bad things of her but they are always said as though she were a woman."," Někdy o té mořské spoustě mluví špatně i ti, kdož ji milují, ale říkají to vždycky, jako by hovořili o ženě."
"saw","see","viděl","vidět","impf"," But he was that big and at the end of this circle he came to the surface only thirty yards away and the man saw his tail out of water."," Ale byla tak veliká, a když dokončila tenhle okruh, vynořila se k hladině ve vzdálenosti pouhých třiceti metrů a stařec viděl její ocasní ploutev vyčnívat z vody."
"swam","swim","plula","plout","impf"," It raked back and as the fish swam just below the surface the old man could see his huge bulk and the purple stripes that banded him."," Vyčnívala v šikmém úhlu nad hladinu, a jak ryba plula těsně při povrchu, stařec viděl její obrovsky objem a temněfialové pruhy na jejích bocích."
"see","see","viděl","vidět","impf"," It raked back and as the fish swam just below the surface the old man could see his huge bulk and the purple stripes that banded him."," Vyčnívala v šikmém úhlu nad hladinu, a jak ryba plula těsně při povrchu, stařec viděl její obrovsky objem a temněfialové pruhy na jejích bocích."
"keep","keep","nechal","nechat","pf"," The old man would have liked to keep his hand in the salt water longer but he was afraid of another sudden lurch by the fish and he stood up and braced himself and held his hand up against the sun."," Byl by rád nechal ruku ve slané vodě déle, ale měl strach, že sebou ryba zase prudce trhne, a tak vstal, rozkročil se pevně a nastavil ruku slunci."
"keep","keep","měl","mít","impf"," The old man would have liked to keep his hand in the salt water longer but he was afraid of another sudden lurch by the fish and he stood up and braced himself and held his hand up against the sun."," Byl by rád nechal ruku ve slané vodě déle, ale měl strach, že sebou ryba zase prudce trhne, a tak vstal, rozkročil se pevně a nastavil ruku slunci."
"stood","stand","měl","mít","impf"," The old man would have liked to keep his hand in the salt water longer but he was afraid of another sudden lurch by the fish and he stood up and braced himself and held his hand up against the sun."," Byl by rád nechal ruku ve slané vodě déle, ale měl strach, že sebou ryba zase prudce trhne, a tak vstal, rozkročil se pevně a nastavil ruku slunci."
"held","hold","měl","mít","impf"," The old man would have liked to keep his hand in the salt water longer but he was afraid of another sudden lurch by the fish and he stood up and braced himself and held his hand up against the sun."," Byl by rád nechal ruku ve slané vodě déle, ale měl strach, že sebou ryba zase prudce trhne, a tak vstal, rozkročil se pevně a nastavil ruku slunci."
"like","like","nelíbilo","líbit","impf"," He knew he would need his hands before this was over and he did not like to be cut before it started."," Věděl, že před vyřízením téhle záležitosti bude mít práce ještě plné ruce, a nelíbilo se mu, že se poranil ještě dřív, než se do ní dal."
"use","use","použít","použít","pf"," He could only use it effectively with one hand because of the grip of the handle and he took good hold of it with his right hand, flexing his hand on it, as he watched the sharks come."," Mohl jí účinně použít jenom jednou rukou - kvůli tvaru rukojeti - a uchopil kyj pevně pravačkou, svíraje kolem něho prsty, a pozoroval, jak se žraloci blíží."
"took","take","použít","použít","pf"," He could only use it effectively with one hand because of the grip of the handle and he took good hold of it with his right hand, flexing his hand on it, as he watched the sharks come."," Mohl jí účinně použít jenom jednou rukou - kvůli tvaru rukojeti - a uchopil kyj pevně pravačkou, svíraje kolem něho prsty, a pozoroval, jak se žraloci blíží."
"took","take","uchopil","uchopit","pf"," He could only use it effectively with one hand because of the grip of the handle and he took good hold of it with his right hand, flexing his hand on it, as he watched the sharks come."," Mohl jí účinně použít jenom jednou rukou - kvůli tvaru rukojeti - a uchopil kyj pevně pravačkou, svíraje kolem něho prsty, a pozoroval, jak se žraloci blíží."
"watched","watch","pozoroval","pozorovat","impf"," He could only use it effectively with one hand because of the grip of the handle and he took good hold of it with his right hand, flexing his hand on it, as he watched the sharks come."," Mohl jí účinně použít jenom jednou rukou - kvůli tvaru rukojeti - a uchopil kyj pevně pravačkou, svíraje kolem něho prsty, a pozoroval, jak se žraloci blíží."
"let","let","nechat","nechat","pf"," I must let the first one get a good hold and hit him on the point of the nose or straight across the top of the head, he thought."," Musím nechat toho prvního pořádně zakousnout a praštit ho přes špičku čumáku nebo přímo přes vršek hlavy, umiňoval si v duchu."
"hit","hit","praštit","praštit","pf"," I must let the first one get a good hold and hit him on the point of the nose or straight across the top of the head, he thought."," Musím nechat toho prvního pořádně zakousnout a praštit ho přes špičku čumáku nebo přímo přes vršek hlavy, umiňoval si v duchu."
"thinking","think","myslel","myslet","impf"," Or perhaps I was looking at the small bird and thinking of him."," Nebo jsem se možná zadíval na toho ptáčka a myslel jsem na něho."
"eat","eat","sníst","sníst","pf"," Now I will pay attention to my work and then I must eat the tuna so that I will not have a failure of strength."," Teď přiložím ruku k dílu a pak musím sníst toho tuňáka, aby mě neopustily síly."
"rest","rest","Odpočinu","odpočinout","pf"," I 'll rest now while he goes out on the circle and then stand up and work on him when he comes in, he decided."," Odpočinu si, než vykrouží kruh směrem od loďky, a pak, až se zase přiblíží, vstanu a pustím se do ní, rozhodl se."
"decided","decide","rozhodl","rozhodnout","pf"," I 'll rest now while he goes out on the circle and then stand up and work on him when he comes in, he decided."," Odpočinu si, než vykrouží kruh směrem od loďky, a pak, až se zase přiblíží, vstanu a pustím se do ní, rozhodl se."
"rest","rest","odpočívat","odpočívat","impf"," It was a great temptation to rest in the bow and let the fish make one circle by himself without recovering any line."," Silně ho pokoušelo odpočívat na přídi a nechat rybu obeplout celý kruh bez přitažení šňůry."
"let","let","nechat","nechat","pf"," It was a great temptation to rest in the bow and let the fish make one circle by himself without recovering any line."," Silně ho pokoušelo odpočívat na přídi a nechat rybu obeplout celý kruh bez přitažení šňůry."
"ate","eat","Snědl","sníst","pf"," Slowly and conscientiously he ate all of the wedge-shaped strips of fish."," Snědl zvolna a svědomitě všechny klínovité pruhy rybího masa."
"wiping","wipe","otřel","otřít","pf"," He straightened up, wiping his hand on his trousers."," Napřímil se a otřel si ruku o kalhoty."
"said","say","řekl","říci","pf"," "" Now, "" he said."," "" Teď, "" řekl si."
"let","let","nenecháš","nechat","pf"," "" You can let the cord go, hand, and I will handle him with the right arm alone until you stop that nonsense. """," "" Můžeš pustit provaz, ruko, udržím ho jenom pravičkou, dokud nenecháš těch hloupostí. """
"held","hold","držel","držet","impf"," He put his left foot on the heavy line that the left hand had held and lay hack against the pull against his hack."," Stoupl si levou nohou na silnou šňůru, kterou dosud držel v levé ruce, a nalehl pozpátku proti tahu, jenž ho tlačil do zad."
"decides","decide","rozhodne","rozhodnout","pf"," "" If the fish decides to stay another night I will need to eat again and the water is low in the bottle."," "" Jestli se ryba rozhodne, že to vydrží ještě jednu noc, budu muset něco sníst a voda v láhvi dochází."
"need","need","muset","muset","impf"," "" If the fish decides to stay another night I will need to eat again and the water is low in the bottle."," "" Jestli se ryba rozhodne, že to vydrží ještě jednu noc, budu muset něco sníst a voda v láhvi dochází."
"eat","eat","sníst","sníst","pf"," "" If the fish decides to stay another night I will need to eat again and the water is low in the bottle."," "" Jestli se ryba rozhodne, že to vydrží ještě jednu noc, budu muset něco sníst a voda v láhvi dochází."
"think","think","Myslím","myslet","impf"," I do n't think I can get anything but a dolphin here."," Myslím, že tady chytím leda dorádu."
"get","get","chytím","chytit","pf"," I do n't think I can get anything but a dolphin here."," Myslím, že tady chytím leda dorádu."
"eat","eat","sním","sníst","pf"," But if I eat him fresh enough he wo n't be bad."," Ale když ji sním, dokud bude čerstvá, nebude to tak zlé."
"turned","turn","obraceli","obracet","impf"," But they were up to the bow now and driving in one after the other and together, tearing off the pieces of meat that showed glowing below the sea as they turned to come once more."," Ale žraloci se teď táhli k přídi a útočili jeden za druhým a všichni dohromady a rvali kusy masa, které světélkovalo pod vodou, když se obraceli k dalšímu výpadu."
"said","say","řekl","říci","pf"," "" Santiago, "" the boy said to him as they climbed the bank from where the skiff was hauled up."," "" Santiago, "" řekl mu chlapec, když šplhali na břeh, kam pak vytahovali loďku."
"climbed","climb","šplhali","šplhat","impf"," "" Santiago, "" the boy said to him as they climbed the bank from where the skiff was hauled up."," "" Santiago, "" řekl mu chlapec, když šplhali na břeh, kam pak vytahovali loďku."
"go","go","jezdit","jezdit","impf"," "" I could go with you again."," "" Mohl bych jezdit zase s vámi."
"made","make","Vydělali","vydělat","pf"," We 've made some money. """," Vydělali jsme nějaké peníze. """
"taught","teach","naučil","naučit","pf"," The old man had taught the boy to fish and the boy loved him."," Stařec kdysi naučil chlapce rybařit a chlapec ho miloval."
"loved","love","miloval","milovat","impf"," The old man had taught the boy to fish and the boy loved him."," Stařec kdysi naučil chlapce rybařit a chlapec ho miloval."
"said","say","odpověděl","odpovědět","pf"," "" No, "" the old man said."," "" Ne, "" odpověděl stařec."
"went","go","šlapal","šlapat","impf"," As the boy went out the door and down the worn coral rock road he was crying again."," Když vyšel chlapec ze dveří a šlapal po vyježděné silnici z korálového vápence, znovu plakal."
"crying","cry","plakal","plakat","impf"," As the boy went out the door and down the worn coral rock road he was crying again."," Když vyšel chlapec ze dveří a šlapal po vyježděné silnici z korálového vápence, znovu plakal."
"looking","look","dívali","dívat","impf"," That afternoon there was a party of tourists at the Terrace and looking down in the water among the empty beer cans and dead barracudas a woman saw a great long white spine with a huge tail at the end that lifted and swung with the tide while the east wind blew a heavy steady sea outside the entrance to the harbour."," Toho odpoledne byla na Terase společnost turistů, a když se dívali dolů do vody, uviděla nějaká žena mezi prázdnými plechovkami od piva a mrtvými štikovitými soltíny ohromný dlouhý hřbet z bílých obratlů, zakončený obrovskou ocasní ploutví, která se zdvíhala a pohupovala v příboji, zatím co na širém moři za vjezdem do přístavní zátoky vzdouval východní vítr silné a vytrvalé vlnobití."
